12001a7fb7	778c0	ওয়েসলি বারেসি
122bde1adb	5b13f	এখানে জীবন অনেক কঠিন
122bfda586	d9ba9	পাঠক পড়তে পারেন
122d05c5ff	cc18a	মৌসুমে পর্যাপ্ত উৎপাদন হলেও
122d81b1a1	0f047	তিনি রাখিয়াছেন
122d9eb391	95907	নিজ নিজ রুচিমত
122e407d8c	8632b	অসহিঞ্চুতা এবং বিপরীতমুখী
122e4aabbc	2695f	প্রতি সেকেন্ড ২০৫ কিমি বেগে
122f2ff942	ef4f8	এই বনভূমিও বন বিভাগের
122fc6e24d	4c555	ক্ষমতাকে 'তাজমহল'-এর মতো
122fc96298	bd576	তাঁর পরিপূর্ণ বোধ ছিল
1230386c37	b2a62	মুতের হলুদ দাগ
123060d6eb	d8c80	অবমাননা করার পাশাপাশি
12310c138d	1e7c7	চেষ্টা করে বলে গেল
12310e9b0c	6.5E+031	মাখন, চিনি, বেকিং পাউডার
123191f356	7ec1c	আমাদের দাসত্ব
1231faf38e	f280a	ফ্রী ডোমেইন
12326aab40	c6848	সেটা বোবা হয়ে গেল
123295f434	767ff	দিয়ে দেয়া না হয়
1232de5d43	7660	কিছু চুল কালো
12339fbf66	82926	লিফটে উঠলাম
123409e331	903fa	মো. জহুরুল হকের আদালতে
12341523ae	287bd	জানুয়ারি-জুন ১২তম ব্যাচের
123443cfc7	420df	আলোচনার জন্য
12347b9252	d2294	সেটা ইংরেজী গল্পের মধ্যে
123590f68a	f837a	কাতর চোখে নয়
1236249d73	b8bf0	ফোন দিলে চেম্বারে
123643f70a	2d78f	নিহত আনিসুর রহমানের
12368d6322	66c6b	থেকে অন্য সংস্কৃতিতে
12369306fc	29089	আরবি নাম
1236cdda0f	eecdd	অবরোধ দেয়ার জন্য
1236d939c8	3.7E+018	পরিস্থিতির সার্বিক উন্নয়নের জন্য
1236f4eb84	4486f	গানগল্প পরিবেশন করেছেন
1237276300	eecdd	রাত ১টার দিকে
12374847d3	b8ed8	আর্জেন্টাইন
1237a0f668	8edea	এসো মা ফাতেমা মাতা গো
1237f59732	66dcd	মি. চৌধুরীকে
123822226e	ee994	তারা যোগাযোগ করত
12388c4506	d9b11	সেই কথা বুঝিবার জন্য
1238b712bf	43fc0	তার লেখনী
123987f54b	1279e	দামি ধাতুর চূর্ণ
1239880ea6	22096	হরিবংশ ও পুরাণ সকল সংগ্রহের পূর্বে
1239adce4b	d9ba9	বাংলাদেশের ময়মনসিংহে
1239d0b740	ad98d	বাঙালি ছাড়াও এখানে ভিন্ন ভিন্ন ১৩টি উপজাতি বসবাস করে।
1239ef30d2	323f1	আইনটি পাশ হলে
1239fb35a1	c7705	প্রকৃতি তাই প্রাণপ্রাচুর্যে
1239ff604a	7d004	আনিস ভাই
123a60fcaa	6e8cb	সাখাওয়াত হোসেন বিদু্ত
123aadf46c	730c3	১৬১ রান করেছিলেন
123b46ddd8	db181	অমর একুশে গ্রন্থমেলা ২০১০
123bb6a56a	f2097	মি. মার্টিনের নামানুসারে
123d2a5053	430b2	আমাকে রক্ষা করতে গিয়েই
123d70958e	a274b	বাংলাদেশের নড়াইল জেলায়
123d7ce7a1	b618b	ঘরে আগুনের সূত্রপাত হয়
123db3d833	767ff	দারুণভাবে সফল হয়েছেন
123dcaad9f	256f5	বাবার টেলিগ্রাম পেয়ে
123e3194bf	c749e	দূর পাল্লার যাত্রীরা
123e41a50a	85430	ঘরের ভিতর
123e9fb681	f2780	সহযোগীদের মধ্যে ছিলেন
123ed59936	d41be	কিন্তু মধ্যপ্রাচ্য, ভারত
123f511d5d	f83df	১২টা কি সাড়ে ১২টার দিকে
123f734cc9	efc0d	নির্বাচনসহ সবার জন্য
123fbee308	cb1aa	রুকিয়ার কথা ভাবছে
123ff1cc26	6736	ফেসবুকে রয়েছে সবার শীর্ষে
1240137947	9f25e	ঝুঁকে জিজ্ঞেস করে
124015e6d0	b4ea7	পাটক্ষেতে ফেলে রেখে গেছে
12402ce55d	06ea3	ডিসেম্বর ২০০২ সালে
1240b96071	c5479	ক্রীড়া তত্ত্ব ফলিত গণিতের
1240c27bf9	bc81e	বস্তি
12414f4d33	80539	এখন সমাজ বিজ্ঞান অনুষদে
1242d17104	80be1	সারা বাংলাদেশ ছেয়ে যায়
1242dd530f	32b3e	তার আইকিউ লেভেল
1242ead2ff	c4973	ভাবী
1242ff4e4b	14816	ইন্দোইউরোপীয় ভাষা পরিবারের
1243a07990	d9081	ফলে বাজারে
1243dd3953	d711f	যেভাবে তৈরি করবেন
124410b53a	33814	এবং প্রকল্পে যেমন রাজস্ব
12441a8abb	e43d4	আধুনিক বাদ্যযন্ত্রে
12446d237b	2ee04	মাঠের বাইরে ছিটকে ফেলেছে
1244906df2	e9759	কিছুমাত্র তারতম্য আছে কি
1244918947	14d25	অফিসের বস
1244daeb3d	b5fdc	দ্বিতীয় সেমিফাইনালে স্পেনেরই আরেকটি দল রিয়েল মাদ্রিদ মুখোমুখি হচ্ছে বর্তমান চ্যাম্পিয়ন জার্মানির বায়ার্ন মিউনিখের।
1245c588fe	cd3ac	ছাত্রসংখ্যা খুব একটা
1245c6fc77	61820	মে ৬, ১৮৬৫
1245d07c08	a06a1	প্রধানমন্ত্রী মনমোহন সিংয়ের সঙ্গে
12460f1d21	ac904	দু’টি গণভোটের রায়
1246411040	aab0f	মাদারিনগর গ্রামে
1246bff255	730c3	হুকুম
1246e34889	745b7	প্রেম কাহিনীর রহস্য উদ্ঘাটন করা
1246ec01b6	9e923	কাজী নজরুল ইসলামের
12484a2742	256f5	তবে ছেড়ে যাবার আগে
124893ad3d	256f5	এটা নিয়ন্ত্রণ করা যাচ্ছে না
1248cf7c46	8c07c	কেন্দ্রীয় জামে মসজিদে
12496ae1bb	3fb17	অন্যতম হিসেবে সর্বস্বীকৃত
12497a8339	4164f	সাকিবের করা
1249b946cf	a916a	এগুনোর চেষ্টা করলে
124a054bde	ad050	লিপিবদ্ধ করছি
124a201c58	e31e7	চোখকে বেশ পীড়া দেয়
124a3bd88e	f2b7d	অধ্যাপক খালেদা হানুম
124a8cae30	f1ea4	রাসনৃত্যে মেতেছিলেন শ্রীকৃষ্ণ
124ac31a9d	c7a89	এ সুবিধা গ্রহণের
124b2ff896	f0f95	মানবাধিকার লঙ্ঘনের
124ba03b54	bdfc1	অনুসন্ধানে এ তথ্যের
124bb8f787	4dd57	ভোট গ্রহণ বন্ধ রাখা হয়
124bcc5027	e6752	বৈদিক গ্রন্থে পাওয়া যায়
124c2fb21a	b618b	বা প্লাজমিড এর প্রতিলিপি
124c4faf39	92bd8	এখনো সেই লক্ষ্য
124c6aab84	ca088	ফিটিং করা
124c87a3f3	698ff	রেশ না কাটতেই
124db656e5	c749e	অসংখ্য মানুষকে
124df48acd	66dcd	দেখা করে সে
124e8ed3df	bfac7	গুহার ভেতর থেকে বেরিয়ে
124f4bf286	31f2a	ডিন জানান
124fa83e7c	66c6b	রোয়ান রেমন জিমেনেজ
124fb2f4a6	e9fa7	সামরিক তৎপরতাই শুধু বাড়বে
1250c2d337	d1b12	রওনা দিয়েও
1250c4f25a	9c8dd	ক্যাপুলেটদের একটা নিজস্ব ঘর আছে
1250cb436d	0606d	অনেক ভেবে
1251aec1de	976b1	এসব ঘটনা
1251b1c5fd	91dff	মেলে সোনার হরিণ
1252202162	35ef3	সেই সব গুঞ্জনে আপাতত
125234413c	7f71c	ব্যথিত করি কেন
12527a23cc	809cd	কয়েকটি জয়লাভ করেছি
1252c616bb	43199	জনবিচ্ছিন্ন এলাকা
12531bf758	22096	এদেশীয় সহযোগীদের
12534b9841	e3f89	এখানে বিভিন্ন সময়ে
125373611c	ea8fa	সেই মাপ মতো
125397f50f	b8bba	আগামী ২৩ মার্চ ওই আসনে
1253d1f3bb	693cb	সম্পর্ক
125445dd34	7df87	তেমন কোনো রোগবালাই না থাকায়
1254b3f6de	d8c80	শাশুড়ী তার মেয়ের উপর
1254b62e6a	ee852	দুধের বাটি রেখে
1254cc47bb	976b1	পরিবার খুব একটা নেই
1255289275	23b22	তিলের তেল
1255a9eadb	287bd	বক্তব্য শুনে মনে হয়
1255b54bcb	5d12f	এবং পেট্রোলিয়াম বর্জ্য ব্যবস্থাপনা
1255cbb10f	29f8c	নীরবে শেষকৃত্য সম্পন্ন হবার
1255e9e80f	ac904	কোনো রাক্ষস বা দৈত্য বুঝি
1255f42d4d	fcc89	নারায়ণগঞ্জ পুলিশের পক্ষ থেকে
1255fd051c	e68af	তাহলে সুকান্ত সম্পর্কে
1256102e21	153c9	নগর বাঁধিলাম
125636e54e	976b1	শেষ ভাগে
12565413000	0895a	প্রথম লেখা
12566ef45b	536d9	বিজিবি সদস্যরা
1257070614	92bd8	আরাকান এবং পর্তুগিজদের মধ্যে সম্পর্কের ফাটল ধরলে শায়েস্তা খান বেশ লাভবান হন।
12572e6ab1	06ea3	বাংলাদেশের মুক্তিযুদ্ধকে
12573a980f	0633a	বিশেষ আমন্ত্রণে
12579590a6	239f7	তাদের পক্ষে যথেষ্ট
1257ac3b38	d9ba9	জীবিত ফিরে পাবার
125805a96a	0d8c1	বিভিন্ন সংগঠন এবং শিক্ষাপ্রতিষ্ঠানে
12583716bf	a274b	পেছনের অন্ধকারে
1258543d26	3fce2	গরমের সময়
1258553876	b4ea7	বুঝি ছায়াটা
1258555366	0edef	ওবায়দুল কাদের জানান
12588543	10a9f	তিল তিল মরণেও জীবন
1258ba85a0	e3d8b	পলাতক এলানের বিরুদ্ধে
1258c28a0a	acb88	প্রাপ্ত পেনাল্টি থেকে
12592622a9	ee886	মেম আমরা এখন
1259571f9e	95907	ঘুম নেই কারো চোখেই
1259593021	616ec	অভিযোগ করে পুলিশ
12597614f4	7d004	আন্তর্জাতিক মানদণ্ড অনুযায়ী
1259aa1ff0	32b3e	অদৃশ্য হয়ে যেতে
1259b70420	79b06	প্রচারণার জন্য
1259ba6950	88654	তাতে শাসকদল এবং বিরোধীদল
1259dde96f	93bf3	দ্বিতীয় সর্বোচ্চ
1259ec5ddd	09f0d	বাংলাদেশ শিল্পকলা একাডেমীর সহযোগিতায়
125a46723a	4ea73	শেষ হওয়ার আগে
125a496a1a	ad69a	ক্ষুধার্ত মানুষেরা
125ac97240	7ed14	এক জাতীয় পাখি
125b9c85b4	a06a1	লক্ষ্মীপুর সদর হাসপাতালে পাঠিয়েছে
125bedae7e	75626	কিছু কৌশলগত ক্ষেত্রে
125d170c33	79b06	সে দেখন
125d4e0466	9f25e	তাঁহাকে ওজুর জন্য
125d717968	4fd66	বড় বড় কুলীন
125d7b8d2c	e2ff7	আরশি ছুটে এসেছিল
125d81b5f1	c3cca	আমাদের দলে
125eb6a25e	3fc9d	আমার ভীষণ ভয়
12608f6e63	61820	রাষ্ট্রীয় পর্যায় পর্যন্ত
1260919b97	e2f12	পবিত্র মাহাতো আনুষ্ঠানিকভাবে
126099043d	68549	এদের বেশিরভাগই
1260ca3e95	ca831	এই মোবাইলে পাঁচ মেগাপিক্সেল অটো ফোকাস ক্যামেরা রয়েছে, সঙ্গে রয়েছে এলইডি ফ্ল্যাশ।
12610c14f5	d9817	বোলার হিসাবে দলে জায়গা পেয়েছি, সুতরাং প্রধানত নিজেকে আমি বোলারই মনে করি।
1261b4e6f0	ee7b2	আমরা আলোচনা করেছি
12625e4e7f	2909b	ঢালাওভাবে অনেককে আটক করা হয়েছে
12626e6622	f2097	ইবাদত
1262ddef13	7ec1c	বাজারের পাওয়া যাবে বলে
1262ff69a3	52f27	হাতে তৈরি খড়ের দড়ি
126410411c	ff1eb	তারিফ না করে
12641b50e9	8E+099	একটি দেশের
1265014428	442b7	এই সরকার
12651a586e	2d98b	তুলে দেন
126526c25e	315000000000	রাণীক্ষেত ও রাণীগঞ্জ নদীতে
12654f4c9d	3fce2	শিগগিরই নেপালের সঙ্গে
1265bdcddc	404ee	বিদেশি
12660dc85a	cc18a	বার্সেলোনা
12665101ea	bcaa8	রক্তাক্ত জখম রয়েছে
12678c5047	6dff5	প্রাচীন মিসরের উপর
1267f75b23	7027a	পবিত্র প্যাগোডা
1268828ec7	0606d	আবাসন ব্যবসায়ীদের সুবিধার্থে
1268f27249	086dd	ইসলামের প্রাথমিক যুগে
12695c1b9e	58998	মিরপুর বুদ্ধিজীবী কবরস্থানে
126a3b5b3f	717bb	হাইড্রোকার্বনের দহনে
126b03926b	95907	থাকবো ব্যাকুল
126b10cd47	d9081	ধাক্কা দিয়ে
126b1642bf	9d398	তুড়ি দিয়ে
126b519f49	bdd05	ইয়ামা দুকান মুচড়ে
126bffce6f	c463d	ভারতের সঙ্গে
126c31a4bf	da6f0	বিরজা নাম্নী রাধার
126c78ea99	91dff	আমি আরশির হাত ধরি
126c792f80	274ee	নাজিমের খুব প্রিয় ছিল
126c898039	b9a81	গুপির আর বাঘার মনে
126c96f406	14816	কোন আন্তর্জাতিক আদালতে
126cb37879	d2faf	আইএলও ১৬৯ এর
126cc6e20a	0c39f	তার বাড়িতে এসে
126d1dd9c3	cc18a	পরে তাদেরকে
126dbed406	976b1	প্রকাশ করবে না
126dcdc01a	98b81	এই ধর্মকে কেন্দ্র করে
126e2e521d	7df87	সাধারণ মানুষের চাহিদা
126e70725a	e3f89	বরিশালের আলো-হাওয়া
126ef315c6	35ef3	তিনি সক্রিয় হয়ে পড়েন
126ff5f13c	f2097	১৯শে নভেম্বর, ১৯৯৮
127041355f	f29bf	১৫ বছর থেকে
1270d0342b	089ef	পরমার পরাজয়
127191b5ad	16a17	বড় একটা ইউরোপীয় ধরনের
1271d1af61	eb179	ওজন
1272119268	aabe7	রচিত একটি নাটক
1272227c2a	7f2ef	বাংলাদেশ ব্যাংকে
1272b5e045	77f82	সুলতানের পরামর্শে
1272bf857b	d5213	মনের উপর থেকে
1272cc3cd1	ced74	রাশিফল নির্ণয়
1272cd3cbe	fcefa	নির্যাতিতা মহিলার পরিচয়ও
1272f54ec4	355c1	অপব্যবহার করা দোষ
12730791ed	9c8dd	ক্রেতারা পাওনা টাকা দিতে
127317869b	9f25e	রাজধানী ঢাকার দুটি বাজারকে
1273a3353a	7027a	বিবাহ করতে মন চায়
12741885c9	0744c	খোঁজ নিয়েছেন
12754f0d7f	976b1	ইউএসবি টু সংযোগ সুবিধা
1275cb273e	c0965	এরকমই ঘটতো
12766c9629	d711f	কখনো রংপুর, কখনো লালমনিরহাট
12766d0fc3	bfac7	একটি সুস্বাদু আমিষ জাতীয় খাবার
1276d907f1	cb842	স্বল্পকালীন ফুলেল উদ্ভিদ
1276e65d89	91ac1	এবং লজ্জাস্থানে
1277315fd7	a3a6d	আয়োজিত অনুষ্ঠানে যোগ দেয়
1277343ae0	77f82	আজ ৪৯ জন
127771cd02	c7705	বসে বসে উপভোগ করে
1277887d05	b9122	কৃষ্ণ আদৌ মহাভারতে ছিলেন না
1277cd4cd1	66dcd	এয়ারপোর্টে ছুটতে হয় নি
1277e26927	d9817	তারাগণ আকাশে উঠিয়া
127865a4fc	61820	চুলগুলো ভালো করে
12797e2efb	c1e30	কুমিল্লা জেলা শহরে
127983e3cf	dae88	সম্ভবত লজ্জায় তিনি
127a99e0e0	ba2f6	পাকিস্তান সীমান্ত থেকে
127ab10f7d	7ec1c	বেড কাভার, জুয়েলারি
127ad6f819	33814	এখন সময়ের দাবি
127b4eab11	e68af	১০ টা ৫৫ মিনিটে প্রথম মহড়ায় অংশ নেয় ২ লাখ ৫১ হাজার মানুষ।
127b8a8575	7d133	ভয় চলে যাবে
127b9bd94c	d2faf	পদ্মাসেতুর মূল কাজ শেষ
127c1e2192	9642e	হাটের দিন
127c70db31	1e7c6	ড্রেসিং গাউনটা পরে
127cb26881	49d63	অস্ট্রিয়ার পশ্চিম থেকে
127cf376a4	e6203	এক হিন্দু তরুণ
127d6b60b8	95907	সামাজিক, রাষ্ট্রীয়
127d9bef78	e03ce	স্থানীয় ধূসর গ্রানাইট দিয়ে
127da92556	9c8dd	মেজবা বাহিনীর লোকজন
127dfcc05c	92bb2	কৃষ্ণের ষোড়শ সহস্র মহিষী থাকাও
127e2891ac	3fae0	হাফিজা বেগমের বুকফাটা কান্নায়
127e340812	2aecc	ইরানের পরমানু স্থাপনায়
127e4e3d65	9b864	আইসল্যান্ডীয় ভাষা
127e53a24b	ad050	সংক্ষেপে যথার্থ অর্থ প্রকাশিত হয়
127ea7348f	c3cca	আর মানসিকতা সম্পর্কেও
127ebfdaa2	5.4E+069	তাঁহার জমীদারীর মুনাফা প্রায়
127f171bb3	767ff	বিদায় নিতে হয়েছে
127f1ce88e	3fb17	নানা পরিবর্তনের ভিতর দিয়ে
127f99bda9	f837a	একজন অভিযুক্ত
127f9c7b73	a06a1	কবিরা অনেক রকম
12804f4fce	8E+099	নিয়ে আসছে
1280bae97c	195f7	অধরপল্লব অলপ অধীর
1280e9994a	ba2f6	সুভার বাবা-মা
12812046ff	ff0fe	তাদের সঙ্গে শরিক হবেন
12812de7ae	dba43	বর্ণমালার উদ্ভব
128167833f	f29bf	গতকাল রাত থেকে অভিযান চালিয়ে এদের গ্রেপ্তার করা হয়েছে।
1281a7c6a1	46d49	আমি সেখান থেকে
12821d4635	976b1	শুরুতে কেবল টেক্সট মেসেজের ক্ষেত্রেই
1282356001	c11b1	মনে করছেন অনেকেই
1282692fff	3bea8	আবার দেখা দিল
1282b704f5	3.7E+018	সারা দেশে ২ কোটিরও
1282d03c3c	e31e7	খাটের এক পাশে পা ঝুলিয়ে
128332a695	b4ea7	সেখান থেকেই তাকে তাড়িয়ে দেয়
12836cb6ab	c958a	এ রাজবাড়ি
12840cf2af	18460	অবেশ অবতার
12840d96de	3ec4d	গুড নাইট এস এম এস
12844edd0c	778c0	জোহানেসবার্গের বাড়ীতে ফিরে গেছেন
12845e09e7	2d78f	পুরস্কারপ্রাপ্ত প্রতিষ্ঠানগুলো
12857a4afd	92f59	তিনি অ্যাকোয়ারিস্ট নামে
1285a44a75	e6d83	প্রথমে সুযোগ দিতে হবে
12863e8a87	98b81	কাব্যগ্রন্থ - মলয় রায়চৌধুরী
1286ab910d	eb179	স্থানীয় হাসপাতালের সামনে
1286ad0869	c41d8	তেথুসের গর্ভে তার ঔরসে
1286f34229	11915	চীনে, অক্ষরটি পরে
128739a489	9d398	ডেরবান আইল্যান্ড
12873ce66f	d2faf	এমন কোনো তথ্য
12879e4c90	dec2d	রোববারের জনসভায়
1287ad80ea	11bd2	অতি স্থূলতা
1287ba4e7b	baa02	তাদের বহু কর্মীকে
128825ccd1	32c77	জলবায়ু
1288419ffc	6.5E+031	৬-১ ও ৬-২ গেমে হারিয়ে
12888db81f	b7be9	প্রথমবারের মতো
128890a488	4c1eb	হরতালের যে প্রভাব উৎপাদন ও বাজার ব্যবস্থায় পড়ছে, তার ক্ষতি পুষিয়ে নেয়া খুবই কঠিন।
1288a93bc5	ea8fa	বলতে পারছি না
1288bb2905	c5479	সাহিত্য, সংগীত, চিত্রকলাসহ
12893c0722	b8bdd	তাতে তার রাগ
128979086f	c958a	প্রাইভেট সেক্রেটারি ছাড়াই
12897ed319	14d25	জীবানু নাশক পদার্থ
128ab4fe97	14d25	অনুমান করি
128ad66fc0	39293	আন্তর্জাতিক পর্যায়ে চলচ্চিত্রকে
128b72836f	d3e06	লাশ বাড়িতে নেয়ার মতো
128bb43485	355c1	সাদ হত্যার বিচারের দাবিতে
128c57c3f7	ac904	টলিউড চলচ্চিত্রে প্রদর্শিত
128cb6d252	06bb7	মাতা ত্রিপুরা সুন্দরী
