67003329d2	d9081	অন্যভাবে বলা যায়
673c765dc5	1e7c7	মাসুদুল হাসান বলছেন
673cb62a12	64092	ঐতিহাসিক উপন্যাসে মন দিতে
673cbf8c02	d2d71	ভদ্রলোকের গর্জনে চারপাশে যেন
673cc53c30	da6f0	জেনারেটর দিয়ে
673da666f1	121bd	প্রচার হবে এ নাটক
673e05c524	61820	প্যারাবল অব দ্য ক্যাভ কী
673e5ac6c7	c3cca	গোয়েন্দা পুলিশের
673e62e68d	23291	ছবিটি অনেকদিন থেকেই
673e69e0b8	16877	অধিকাংশ লঞ্চ
673e7dc43d	976b1	তিনি কায়রোর
673ee8d29a	75626	পাঁচ লাখ রুপি
673f4644e2	eb179	নিখোঁজ হয়ে যাওয়ার পর
673f63ab25	39dd0	তাকালে আপনারা বুঝতে পারবেন
673fc2285a	8edea	তিন চাকার গাড়িকে
67405d567f	33aef	বাংলাদেশের স্বরাষ্ট্রমন্ত্রী জানিয়েছেন
67408a5cb7	c8f7f	পাশাপাশি বসিয়ে
6740a29064	8143b	অমর হয়ে থাকবে বলেও
6740a5e980	aa820	ওই ব্যক্তি সম্পর্কে
6740ee6eab	5639c	এ পর্যন্ত মোট
6741599a32	4fd66	বিশ্ববিদ্যালয়ের অধ্যাপক হয়েছিলেন
6741a48828	8143b	তারপর একের পর এক
674235d883	a8710	যে উত্তেজনা তৈরি হতো
67423baa3a	37e17	আসামির হাজিরার দিন ধার্য ছিল
67424341e2	d0c70	যথাযথ সম্মান জানানোর জন্য
6742aea284	2695f	মুচড়ে ধরে চেঁচিয়ে বলল
674307fe7e	2c9c5	ওর চৌকিটায় বসল অলি
67430a85d1	3f493	পৌর শহরে
67435d892f	56508	অবতীর্ণ হইয়াছিলেন
674366d7d9	f1ea4	১৫ আগস্ট ১৯৭৫-এ
67444110b5	f1240	কুশঙ্গল ইউনিয়ন পরিষদের চেয়ারম্যান
674491d02d	33814	২ কোটি ৬০ লক্ষ টাকা ব্যয়ে
67449db887	b618b	মোবিক্যাশ
674637e26a	0f047	রাষ্ট্রীয় গণমাধ্যমে
674677a655	aa820	বাস্তবায়ন শুরু করে দিয়েছে
6746bf4a93	f29bf	এই তিনটি মামলায় তাঁকে
6747e10b3c	16877	একটু গোলমরিচের সঙ্গে
6748912c35	d41be	নির্ধারিত কেন্দ্রের সামগ্রী
674914fd42	948d3	ও মতাদর্শগত কারণেই
67496cf1c6	98b81	লোক-সাহিত্যের সংগ্রাহক
6749914aaa	e2f12	তার ছেলে শামস
6749a3e438	0b7ca	মিজোরাম রাজ্যের
6749b55869	b78ec	ম্যাচে দুই দলের
674a0c8fcd	7b900	এমন সম্পন্ন প্রকৃতির দেশটি
674abc252e	0606d	জঙ্গীদের এই ধরনের
674ae17f94	3b1f7	যার মধ্যে রয়েছে
674ae2cdd9	388c9	আমার মতো একজন মন্ত্রীকে
674b1b326f	58998	প্রকাশিত হয় এই উপন্যাস
674babc15d	68549	শিল্পের ভুবনে আমাদের স্বাগত জানায়
674bba2d49	dba43	অন্যের হাড়ও তাঁর ফোটানো চাই
674bc9d4ed	d2d71	এবং উত্তর ভারতীয়
674c740a5f	47e8d	বিমানটি নিখোঁজ হবার পর
674cc80b8e	b8ed8	নিজের নামে তো লিখেছিই
674d1ac93c	fcc89	অনেক কথা উঠলেও
674d66b942	e9759	অন্য কোন বিকল্প নেই
674da1f632	fcc89	ছয় সিলিকেট খনিজের
674de68a8c	194f5	দূরে থাকতে হয় সাত বছর
674dec0763	b4ea7	অ্যামিবা প্রোটোজোয়া পর্বের
674e18f8b1	d3e06	দ্বিতীয় বিশ্বযুদ্ধের সময়
674e493da4	7aed9	পূর্ববর্তীকালে প্রচলিত
674ea94bbf	0744c	মরন
674f42a83f	ff1eb	ওডেসা নগরীর পতাকা ওড়ায়
674f8494e2	bbb22	মার্কেটে চাল ঢুকেছে
6750099965	06e62	অর্থনীতি বইটি
6750562d96	33aef	তাতে মনে হচ্ছে
675064f8de	91ac1	হওয়ার কথা বলা হচ্ছে
6751636800	b8bf0	ভদ্রলোক সম্পর্কে
67517db9f3	903fa	নিয়ে এল
6751acba77	ee886	সরকারি, আধা-সরকারি
6751bc07ff	db181	আদাবাটা ১ টেবিল চামচ
6751f2eab2	3fce2	ঢাকা থেকে কুয়ালালামপুরে
675201db9c	4bede	পরদিন সকালে
67525f1fc3	aab0f	বাংলাদেশ ভাবতে পারে
67528596dd	3d17c	সেটা শ্রম মন্ত্রণালয়ে হলেও
6752b654dc	420df	নিবন্ধন না থাকলে
6752bc0884	4c555	বোঝা গেল
675301f7d3	e2ff7	তাদের অনেক
675366db3e	bcaa8	প্রধানমন্ত্রী
67536c3ff1	c3cca	জাফলং রোড
6753aae7f2	7aed9	ঘোর অন্ধকারে
675414e82d	49d63	রংপুর ছাড়া বাকি
67545f57eb	bd576	১৬ দশমিক ৭৯ শতাংশ
675473fd31	ee886	খবরের শিরোনাম হয়ে ওঠে
6754a08aaf	2556b	তাদের রবিবারের
6754df238f	9d46f	নেতিবাচক কথা
675558ab45	13b6a	মহানায়িকার সুস্থতার জন্য
6755921a4a	bcaa8	ভারতে পলাতক রয়েছে
6755a5f757	c7a89	কিন্তু এরপর থেকে
6755f924f0	72649	আকর্ষণ করে
6756173815	ce629	বিএনপি মঙ্গলবার আগামী দু'দিনে বিভিন্ন জেলায় হরতাল ডেকেছে।
67564ee5e3	7e1d5	অভিযোগ জানান না
67568ae140	14816	অ্যাপলেরও এ সংক্রান্ত
6756a14667	f2780	বহু বৎসর ধরিয়া
675743f4ba	491a5	মানববন্ধন ও আলোচনা সভা
6757f8432a	5dd61	ধরিত্রীতে কি ঘটছে
6757fa7e8e	07660	একজন পুলিশ সজোরে
67582c07d2	f1240	চাইলেই তিনি
675905e255	0b7ca	নারী পুরুষ এসে
675940dad3	b8bdd	ব্যবহার করা
6759632a5d	80539	এরকম একজন নারীর
675a129f0b	2c9c5	সিগারেট, গাঁজা এবং অন্যান্য সরঞ্জাম
675a25bc84	f7a7f	এদিকে বাংলাদেশের কর্তৃপক্ষ
675a33f1cc	14d25	আজকের এই সাক্ষাৎকারের মাধ্যমেও
675af40ed0	6e6fa	মারা গেছে সে
675b4e5839	49543	কুসুমের মাস
675b568c37	17dcd	৮ রানে ৩ উইকেট নিয়ে
675bb125a1	aa820	এবং দোষীদের শাস্তিও
675c13557b	4237e	কালো মেয়ে
675c18be2f	b2a62	প্রায় ৬০০ মিলিয়ন দর্শক
675c2e6397	0d4cb	আন্তর্জাতিক মান রক্ষায়
675c757695	4bede	তাদের অজাচার-ভীতি
675caa6345	4c555	অনেকে নিখোঁজ
675d5b0696	3fc9d	খালি গা শালীন নয়
675dbaf5d5	73629	ভাষণে মালালা বিশ্বের সরকারগুলোকে
675dfa9b8d	88654	ভুল চিকিৎসার কারণে রোগীর মৃত্যুর অভিযোগ এনে রাজশাহীর একজন ডাক্তারের বিরুদ্ধে থানায় মামলা করেছিলেন চাঁপাইনবাবগঞ্জের একজন বাসিন্দা।
675e570daf	8a46d	ঢাকা মেডিকেল কলেজ হাসপাতালের
675e9f02f6	8c120	এবারের লিগে
675f8da5c5	5dec6	যার একটি কবির
675fb89134	49543	বাসচালক বিষয়টি বুঝতে পারেনি
675fc9c2e4	92bb2	হতে চলেছে
6760359ce4	b8bba	আলোকিত রূপায়ণ ঘটায়
6760761dda	d2294	বর্তমানে গানের সাথে
6761011968	e03fc	কোন দায়িত্বের পরিচয় দেননি
6761657337	6aac8	মুহাম্মদ জাহাঙ্গীর বলছেন
6762181f91	520fb	সৈয়দ বেলালকে
67622381de	c11b1	মনোনয়ন পান
6762a35fce	42898	একই অনুষ্ঠানে
6763366276	37d7e	উদ্ধারকাজের সাথে জড়িত
67635b02c2	509f6	১৯১৮ সালে জন্মগ্রহণ করেন ম্যান্ডেলা
67635fa82b	8cf95	স্টেরয়েড নেয়ার বিষয়টি
67643676b8	089ef	সারসংক্ষেপ পড়া হচ্ছে
6764713a11	520fb	একই ব্যাখ্যা দিয়েছে এএসএ
6764a7da08	4bede	মোচন করেছে
6764d41f6a	06e62	মাইনুল হাসান হীরা
6764e02e5a	e6752	বিয়াত্রিস সবসময়
676520c7de	d2294	সংশ্লিষ্ট ব্যক্তি
67652c045d	9351a	ভিড় রয়েছে
67656509f4	65e30	সারা দেশে ২ কোটিরও
67658a3921	33814	শুভরাত্রি
67668ea60b	eecdd	খোলার ছা-পোষা
6766f18e5f	256f5	নির্যাতন, নিপীড়ন রোধে
676741090d	d8c80	ভাল কাজের
67674ea543	b78ec	বহু কাল আগের
6767ae588f	d8c80	সাধারণত কোনো চুলের
6767f11b4c	b08d0	জুভেন্টাস অবশ্য প্রথমার্ধেই
676822224b	d7a68	স্ট্রাইকিং ফোর্স হিসেবে
6768fde62e	24aed	ডলফিনি অক্টোপাস
67691fa777	2396d	যুক্তরাষ্ট্রের পঞ্চম নৌবহরের ঘাঁটি আছে
67694d7277	e2f12	সনাতন হামেশাই
67696b3e09	351dd	রক্ষা করার জন্যে
67698caaaf	d2d71	অগ্নিসংযোগের মতো অপরাধ রয়েছে
67699a00a9	6da0a	যাত্রীদের আস্থা
676a4a88d5	d71a3	গ্রিক পুরাণে
676a5e1822	ce775	এরপর দেশের বিভিন্ন জায়গায়
676a99c135	f83df	১ হাজার ১১৯ জন প্রার্থী
676ac40baf	3fb17	মঙ্গলাচরণ তাঁর বাংলায় প্রগতি-কাব্য
676ad82a96	ea5be	যাতে এখান থেকে সবাই
676b422eed	85430	আর নেই চৈতালির
676b6f9a44	f2780	সিগারেটের কটু গন্ধ এসে লাগছে
676b768b8d	09f0d	আমাদেরই পাপ প্রায়শ্চিত্তে মৃত্যু
676b7fe98b	f2097	আবার কেউ তাকে
676c49b352	da6f0	ইয়াবার চালানটি তারা
676c605786	5dd61	সোহাগকে চট্টগ্রাম মেডিকেল কলেজ হাসপাতাল
676c621dd1	2de86	একুশ উপলক্ষে বঙ্গবন্ধুর ভাষণ
676c870d81	3faff	পরিণত করেছিলেন
676da8e858	2695f	ছুঁড়ে ফেলে দিল
676dca0c17	2de86	রিয়েল টাইম অপারেটিং সিস্টেম
676f437104	58998	সাইমন এসব প্রবণতার
676f765b08	0d4cb	সবাই ভাবল
677052ed81	f1ff2	সড়াৎ করে নেমে এলুম
6770cae5ad	a916a	এনসিসি ব্যাংকের
6770e912df	b4ea7	শরাফ মামা আর ফেলু মামা
67711a89b2	ff0fe	সুইজারল্যান্ডও রয়েছে
67714db7f9	3fce2	তারা যা করছে
6771ee703a	ba2f6	চামেলি
67720ddc19	2b883	সুর ও সংগীতে
6772144c43	880ae	একসময় আমি দুহাতে লিখতাম
67724261a2	2fc12	প্রকল্প সারপত্র অনুমোদিত হয়
6772479c6a	d7a68	এফবিআই তিন থেকে পাঁচ বছর
677293f50f	2d78f	করতে চান
6772a9aea9	23b22	এইচ এস সি ভর্তি ফরম
6772e55a99	cc9fd	তখন আবদুল্লাহ ইবনে
677324bdc9	d5f7b	তাঁহার বিচারে
677326263f	5d12f	পুলিশ হেফাজত কর্মীদের ছত্রভঙ্গ করতে রাবার বুলেট, এবং টিয়ারগ্যাস নিক্ষেপ করে।
6773aea589	66b3c	চৈতালি স্নান করে না খুব
677411a8b5	ff970	বেড়েছে শিক্ষা প্রতিষ্ঠান
677427f566	ee852	প্রায় ১০০ বন্দী রয়েছে
67745497e1	7b132	আজ কোথায় দাঁড়িয়ে
6774561dd8	4a918	সকাল ১০টা থেকে
677495a201	b8bf0	মিডিয়ায় কাজের ব্যাপারে
6774b38e9a	590d0	আল কায়দা
6774dd0293	ad69a	অন্যান্য সিনিয়র নেতারাও ছিলেন
6775da3eb5	b9b98	বাংলাদেশ বিশ্বের সবচেয়ে জনবহুল দেশগুলোর একটি।
6776158e25	b8ed8	তাতে দাঁড়ানোর
6776c4a6fa	54e68	প্রবাহিত করার চেষ্টা পাই
67774851c2	7b900	একেএম এহসান উল্লাহ
677803264c	3b1f7	পরিবেষ্টন করিতে হইবে
67780f233c	c6848	পরোক্ষভাবে সাহায্য করছে
6778628cdf	1652d	কিন্তু তখনো
6778abb778	b8ed8	ডালিয়া
677967ceb1	3fae0	জগৎ সরকারের মেয়ে ঝুমা
6779755706	2bd99	যুদ্ধ শেষে
67799bf45f	53396	তা ছাড়া একেবারে নিজস্ব ভঙ্গিতে
67799c917e	8c120	ঢাকায় ২০০৫ সালে
677a43c418	16877	টনক নড়া উচিত ছিল
677a467bfa	a0277	তার সঙ্গে আমার গল্প
677a88ba73	16877	বিক্ষোভকারীর সংঘর্ষে
677a9ed4da	698a4	অন্য সম্মানের আভাস ছিল
677aa6a680	698a4	ফুঁপিয়ে উঠেছিল আরশি।
677b34f057	29f8c	পূর্বে ম্যাক্রোমিডিয়া ফ্ল্যাশ
677cac4bf0	2396d	১৯৯০ পরিবার এবং বিবাহের পরিসংখ্যান বাংলাদেশ
677d166e0e	809cd	ভাসানীর আদলের
677ecce92c	d2294	এবং সংঘর্ষের জন্ম দিচ্ছে
677f723cd4	ca088	বাংলাদেশের উত্তম-সুচিত্রা
677fa62168	91dff	অধিবর্ষে ২৮২ তম দিন
677fb862f4	88654	বাংলা গীতিকবিতার প্রবর্তক
677fda841d	8edea	থাকতে হবে
678028ea57	3bb15	এ কারণে তিন দিন
678032f180	c749e	অধ্যক্ষ স্যার মাথা নিচু করে
67803c9931	d0c70	ভারতে তৈরি ফোর্ড
6780baf54f	88654	ইয়েমেন, সিরিয়া
6780e0e8ab	8632b	বিক্রয়যোগ্য ওষুধের তালিকা
6780e267c4	3ccf1	আধুনিক প্রাকৃতিক ভূগোল
6781788cfb	18460	ওয়ালটন
6781df8d9c	d711f	অভিধানের চাহিদা বেশি
67824b92ec	6dff5	আবহাওয়ার খবর
67828a8b17	943de	জোড়া গোল পেয়েছেন নেইমার
6782bc57c1	2c9c5	ফুটবল খেলোয়াড়
6782dfd3e4	ad69a	তারা আমাদের অ্যাকাউন্টে আসবেন
67832cf80a	23291	এটা তার প্রথম দীপিকার
67837f22e8	bfac7	গরমকে খানিকটা
6784808f64	11de3	দরজার সামনে কর্তব্যরত সিপাহি
6784962fed	282d3	এরা যে কোনো ধর্ম পালন করে
6784b443aa	2f547	আকরিক মাত্রেই খনিজ
6784eb76e2	cfc65	এমন কোনো কথা নেই
6785e45533	f7a7f	একাকী হইয়া আছেন
6785f57861	4ea73	বলে পৃথিবীর প্রায় সকল জাতিই
6786cdbe76	351dd	লিমনের চোখ গড়িয়ে
67876e9199	5354e	সেদিন কেমন পরিস্থিতির
6787fc0609	75626	জনগণও তাঁকে বিশ্বাস করে
678801993b	282d3	আপনাকে খেতেও যাচ্ছি না
67883fd2d6	239f7	সৎসাহসের প্রয়োজন হয়
678904450e	2ee04	খাল
678928b0b1	0a87a	বিয়ের পর থেকেই
678a688b80	eb179	অতিবাহিত হয়েছে
678a692741	eb179	সে জন্যেই মুসলিম শাসনামলেও
678ac618f2	7b900	উপধর্মকে হিন্দুধর্ম বলিতেন না
678ae710d5	3b1f7	সে আনন্দের সঙ্গে
678b0ef77d	69449	দখল করার গ্রুপে
678b25b247	5639c	তিনটি ছবি নিয়ে
678b41f3a3	7df87	এই কারখানার
678b555cd0	ca831	সব নিরাপত্তাকে বৃদ্ধাঙ্গুল দেখিয়ে
678b5e1a21	4ea73	এ কাজ সহজে হইত
678c1c869c	c7705	তার বয়স যখন
678c3026c0	0606d	বিবিসি বাংলার বিশেষ আয়োজন
678cd144b7	06736	সে অংশটি ব্রাশ করতে চান না
678d0bfb40	7b60a	নজরুল একাডেমীতে
678d3daadf	e3f89	হাত রাখতে রাখতে
678d565305	25696	জাতীয় বিশ্ববিদ্যালয় থেকে
678e156512	1652d	তকের যত্ন
678e64157a	5dd61	না করলেও যে ক্যানসার হয়
678e7274a0	bf530	আবাসিকে ৫০ ইউনিট পর্যন্ত
678e81e461	315e9	পাঁচ বিচারকের বেঞ্চ
678ea382ac	80505	সরকারের সাফল্যের বিষয়গুলো
678ec14fb6	bf530	১৯৬৪ সালের জুন মাস
678f62abe3	6da0a	রসুন দিয়ে ভাজুন
6790008ed0	f2780	হাবিবুল্লাহ আটক হয়েছে
679015f5d1	4c555	স্মরণীয় বাঙ্গালির অভাব নাই
67901e6754	3f493	ছবির সাহায্য নেন
67902a49a3	33814	রিয়ালের পারফরম্যান্সও ভালো নয়
6790a529bc	fcc89	একজন মার্কিন পদার্থবিজ্ঞানী
6790ced33d	536d9	নিবারণ না করার জন্য
6790dceee7	b8ed8	আধুনিক বিশ্বে
6792c8f1c1	83c53	ইরান বলছে
6792d28221	92f59	বাংলা রচনা
67940cf553	76329	যে কোনো মানুষেরই
67940f71bc	9642e	মেয়েরা না হয় পারে
6794e7adfd	d9b11	মাল্টিমিডিয়া সফটওয়্যার
67955ee56a	e6e48	মাকসুদ গ্লিটজকে বলেন
67958ed05c	37d7e	দ্য গাইড টুরস নামের
67959dc642	d9081	সুখ তখন দেখে কে
6795d52f91	0633a	অমনি তিনি
6796bb555e	195f7	একটি কাগজে
6796dfc4a1	a43b5	বিভিন্ন প্রান্ত থেকে
6796fa9cd2	29bab	চা-শিল্পকেন্দ্রিক বিধায়
6797ad7347	e03fc	যৌথবাহিনীর অভিযান শুরু হবে
