d700b5e6a7	28dfc	গণহত্যা চালানোর পর
d71f4fbf0a	7ec1c	কোনো অভিযোগ পাওয়া না গেলে
d71f51aa58	0895a	চীনের উপস্থিতিকেই মনে করছেন
d71fd257ef	3fb17	নরেন্দ্র মোদি তাঁর পরিবারকে
d7200838f0	80e98	প্রথম স্ত্রী লামিয়ার ঘরে
d7206e1926	ad050	প্রথম একদিনের আন্তর্জাতিক ম্যাচে
d72089684f	80518	কথা বলেছেন
d720cbad07	321b6	২২ জন মানুষের মস্তিষ্ক
d720f2c41f	b8ed8	প্রথম আলো ব্লগ
d7211f3dcd	b8ed8	বিজিএমইএ বলে
d7214b2e04	5cb47	৬৫টি আসনে
d721941fad	64092	ক্ষমা চেয়েছেন
d721b19429	e50f1	এই যুগল
d721bf773f	351dd	২০০৮ সালে ইউরো ও ২০১০ সালে বিশ্বকাপে প্রথম রাউন্ড থেকে বিদায় নেয়া ফ্রান্স দলেও ছিলেন রিবেরি।
d721cddf34	cd3ac	স্ফুটনাঙ্ক বিশিষ্ট
d722f1a61b	e6e48	নিউ মেক্সিকোতে পুলিশি নজরদারিতে
d7230cf2f0	3f875	আইনগত ব্যবস্থা নিতে পারেন
d7232602e1	b08d0	বঙ্গবন্ধুর ত্যাগ
d723655947	77f82	কুষ্টিয়া জেলার
d723e36f79	dfefa	যদি মঙ্গলে সত্যিই কখনও
d7247799d4	5dec6	এবং রাজনৈতিক দল
d72479b1e2	0c39f	ফুলবাহারির মা’র জামাই
d724900807	a7c6f	কোত্থেকে এসে পড়লে
d724ea72dd	49d63	ছায়ার মতো
d724fa5941	7f2ef	তিন প্রভাবশালী দেশ
d7253925fa	9642e	সাক্ষরতার হার ৫৯.৫%
d725591601	1e7c6	সময়ের জন্য
d72569356f	79b06	দেশসেরা এই ওপেনার
d7257213ed	1c618	হৃদয়ের বাবা এলাকায় রাজমিস্ত্রি
d7257690fd	16cfb	ছাত্রলীগের এক পক্ষের হামলায়
d7258cea64	2ad74	বাস্তব দৃষ্টে মনে হয় না
d725c53d7b	4fd66	১৪টি পর্যবেক্ষণ টাওয়ার
d725fa7a7b	4237e	শিল্পী মনীন্দ্র মিত্র
d72634757e	fbb81	ররী ভয়ানক
d7278f0543	75626	ওয়ার্ল্ড ব্যাংক আয়োজিত
d727f8f2d4	0a87a	কিছু বিবরণ তুলে ধরেছেন
d728b867f2	7d004	তাদের অধিকাংশই মাদকাসক্ত
d728fc9f37	54e68	তিনি জনজীবন থেকে
d729243a10	72649	কোনও মতে বসানো যায়
d729e139c1	321b6	গায়ের গেঞ্জি তুলে
d72a8a5fed	3c897	নারীদের পেশাদার
d72aec029e	d8c80	চা দেবেন
d72b0433f1	4164f	দাবাং বাংলা মুভি
d72b11115d	58998	তবু সেই রাতেই
d72b98f787	ba2f6	ভেতরে লুকানো
d72be25f77	bfac7	টীকা আবিস্কারে সফল হয়েছেন
d72bea2f52	903fa	স্থবিরতা নেমে এসেছে
d72bfafc30	06527	সমাবেশে বক্তারা বলেন
d72c69db42	5a61c	কলোরাডোর বিভিন্ন দোকানে
d72cd39457	fd880	ঋণ দিয়েছে কৃষকদের
d72d02b1ed	52578	ডিবি পুলিশের
d72d5d9aff	32998	কার্যক্রম পরিচালনার
d72dae291c	bbb22	অসততার ভয়ে
d72e784514	9092b	বর্তমানে এই কার্যক্রম
d72eb1e6f1	cfc65	ইতিমধ্যেই তার আভাস পাওয়া যাচ্ছে
d72ebc0f38	410fa	ওই সব দৃষ্টান্ত ও প্রসঙ্গও
d72ed00c14	25696	মহাকালের দরজায়
d72f49d3c3	65e30	দর্শকরাও মনে করেন
d72f8c163a	11bd2	সন্ধ্যার দিকে
d730126cf9	121bd	পাতার মতোই
d73018a966	4bede	এভাবে একটি
d73085d66a	410fa	এতে উল্লেখ করা হয়
d73086b85c	3fc9d	এই প্রস্তাবের পক্ষে সমর্থন চাইতে
d7308bd5e4	e3f89	আপনারা জানেন যে
d730c285f9	cb842	ঢুকে পড়ছে
d730d15ac0	06527	পত্নীকে আনিয়া দেয়
d731010c49	db181	পদার্পণের পর থেকে
d73105eef4	93d3b	পাশাপাশি ভারতে
d7311cfc44	7e1d5	কবির মৃত্যু হলে
d73197c284	3b1f7	সোনারং জোড়া
d731a029c3	967fd	৬ বছর বা তার কম বয়সী
d731b7cfa0	4164f	মনে করেন ঐতিহাসিকরা
d7320be4c5	7f71c	অন্ধকার পাহাড়-প্রাচীরের মাথায়
d7320d458c	7f2ef	এই ক্লাবে আমির খান
d7323f58a0	39dd0	ম্যাচের ৫৩ মিনিটে
d732ca696f	01e91	গান
d73351d993	2909b	ভারতের হয়ে ক্রিকেট খেলার
d733a1f44a	8632b	কম হওয়ায়
d7342addc1	25117	ছাত্রীর গণধর্ষণের কথা
d73471db4b	b9b98	এক কর্মকর্তা জানান
d735766051	554fe	প্রশ্ন তুলেছেন
d735a4cba8	ac904	সবকিছু ঠিক থাকলে
d735ba1cd0	39293	নারী কি চৈত্রের চিতা
d7360768d4	49543	হোলি
d7360ca07f	0744c	সে দায়িত্ব নিতে হবে
d73649f63d	9b864	নির্বাচনের আগের দুই দিন
d7369a9b3e	86b1b	আর জাতিসংঘ মহাসচিব
d736c6b1c0	43199	পোর্তুগিজ ছাড়াও
d737307d4c	16e96	গঠন করা যেতে পারে
d737790ce1	274ee	আপ্যায়ন করতে পারি
d737d6e7d5	8406e	তাঁর সমসাময়িক
d737df238e	e6e48	সেসময় ঘটনাস্থলে থাকা
d738132991	f29bf	সরকার ও রাজনীতিকদের জানানোর জন্য
d73818ad55	f83df	নতুন তথ্য প্রমাণ পেয়েছেন
d7384c6ccb	1f733	উপস্থিত হলেন
d738ecbf8a	e2f12	ছাড়া পেয়ে কলকাতায়
d7394004ad	bdfc1	এখন কি করা যায়
d739868a72	698ff	ব্যাংক হিসাবগুলো খুলে দিতে
d73aaf947b	80505	রিমান্ডে নির্যাতন
d73ac4c9f6	c2082	সেই ব্যথার কারণে
d73ac8aca5	0d8c1	ক্যালিফোর্নিয়ার আমাজন সাইটের
d73ace6da5	e9fa7	বাংলাদেশে সমাজ
d73add9601	767ff	রীতিমতো মারকুটে চরিত্রে
d73af28d35	43b04	শাহীনের সারাদেহ থেতলে যায়
d73af81991	f2780	তার বদলে
d73dc55242	d1a48	কিন্তু আমার দেশের
d73e22c03f	3fae0	এটা সলতে পাকানোর কাজ
d73e244773	cd3ac	উর্মিলা শ্রাবন্তী কর
d73ef52f77	6d129	খবরের কাগজের লোক আসে
d73f1bb111	d3e06	জলের মতো সোজা
d73f78f405	7b103	দাদাগিরি গুগলি প্রশ্ন
d74059ebee	80505	ফুলকপি
d7406e971d	d7a68	সেখান থেকে দলকে
d740cba608	fbb81	হবে না
d740ef7a76	d711f	হেলপার চাঁদনীকে ধর্ষণের জন্য
d741372133	430b2	শনিবারের আগুনের ঘটনায়
d7417abc38	92f59	বিখ্যাত কবিতার বই
d741e5ceec	e6e48	যা বোঝায় পুরুষ
d742012874	6b437	সৃষ্টিকর্তার দান মনে করে
d74260be4c	e9759	একদম জলের মতোই পরিষ্কার
d74281e69a	c41d8	সংরক্ষিত আছে
d742b482c2	491a5	বিজিবি ৫২ ব্যাটালিয়নের
d74307ae05	e2f12	সলব করার
d74343cc2d	dba43	কানার হাটবাজার অবশ্য-পাঠ্যগ্রন্থ
d743619716	69d9a	বিক্ষোভ করেছে পোশাক শ্রমিকরা
d7436702c3	16a17	অভিনয় থেকে
d7436eb375	e89bb	স্বাভাবিকের তুলনায়
d74426ef86	2f547	যোগাযোগ করে
d74457e1a2	6e8cb	ক্রিকেট দল।
d7446bf7eb	76329	তাকে চলে যেতে বলেন
d744c09891	554fe	সংখ্যাকে হ্যাকেনবাশ
d74524082f	860f4	আশানুপাতে হ্রাস পায়নি
d74550bc3a	aab0f	প্রচুর সংখ্যক সদস্য
d74555ea65	315e9	অক্টোবর ২৮
d745590633	66dcd	যখন জল থেকে উঠতেন
d74610df91	66c6b	সিরিয়ায় সহিংসতা থামাতে
d74655bc99	e7230	মানুষ ও তার সমাজই মুখ্য
d746aacea8	d2355	ব্যক্তির উপসর্গ
d747409d63	976b1	এদের মধ্যে আটজনকে
d74822eb0a	5cb47	পুরস্কার পান
d7482ca2e7	71522	বহুদূরে যেন অন্ধকারের ফ্রেমে আঁটা
d7482e5d46	0a7a0	অধ্যাপক আনিসুজ্জামান
d74874878d	ad2a0	বা চার কোটি ডলার
d748a14c13	75f18	তা এমনভাবে প্রত্যক্ষ করতে পারব
d748adbee6	4164f	জেলের কয়েদীদের পড়ানোর জন্য
d748ec5d4f	967fd	বাজারে প্রবেশ করতে চাইছে
d7491bed97	0bace	পুলিসি হেফাজতে থাকছেন
d749422ec2	b4ea7	এত ব্যাপক মাত্রার
d749890fd5	cc9fd	হাজার বছরের
d74a325ff7	410fa	সকলগুলি পুনর্মুদ্রিত করিবার
d74a54bf31	60f77	এসময় চন্দন সরকারের
d74afc0125	65652	ট্রাইব্যুনাল-১ সুবহানের বিরুদ্ধে
d74b06e165	698ff	প্লেকার্ড নামানোর
d74b51ad94	7027a	চিকিৎসকদের অবহেলা আর বিনা চিকিৎসায়
d74bfae97c	b8bba	সেনাবাহিনী আসলে
d74c54c938	e31e7	পাতার কোন অংশে
d74c69bfdc	bbb22	প্রাচীন পৃষ্ঠভাগ থেকে পাওয়া খনিজগুলো
d74c79913a	92bb2	নিশীথ সূর্যের দেশ
d74d013a47	7027a	দরজা ঠেলিতেছে
d74d0236f5	0bace	ইংরেজি ভাষাভাষী
d74d1a5f90	1a2a1	এই বৈষম্য
d74db42e8c	c6848	ভর্তির প্রক্রিয়া শুরু করা হবে
d74dd205c4	717bb	চুলকানি
d74df7c819	3bb15	ফুলবাহারি মানুষের কথায়
d74e01e4ec	57d54	জন্মাষ্টমী উৎসব
d74e940c5e	2ac82	খাওয়া হয়
d74eb7783d	8c07c	লড়াই করতে পারে বাংলাদেশ
d74ee15c5d	7a227	আয়না কাহিনীতে আমি নিজেকে
d74ef26d6d	f600a	কার্যকর হয়েছে
d74f119629	f600a	কর্তৃক আইনবিরুদ্ধ কাজ
d75056ed28	9d46f	খুব আনন্দিত
d750b64aed	1279e	চুলের খুশকিভাব অনেকাংশে
d750b847e0	2909b	দুত
d751190181	f7a7f	এজাহারভুক্ত আসামি
d7516ac17f	a1d4a	অকৃত্রিম অশ্রদ্ধা-ঘৃণা বললে হয়তো
d752238a8c	b8ed8	এছাড়া মুক্তিযুদ্ধের
d7523e4574	4f2ae	আকাশ এতো মেঘলা যেও নাকো একলা
d7525ba80c	9c8dd	সংগ্রহ করেছেন
d7528b41a4	1a4a9	নিজের ঘর সম্পর্কে
d752c768bb	b9122	যাকে কংগ্রেসকর্মীরা দেখে আসছিলেন
d752cd671c	91223	এতে জনগণের মতামত
d752f43d1f	bd576	স্বীকৃতি ও আইনি সুরক্ষার
d753422395	11de3	মাছের পোনা
d754ce26d0	4e900	চোখের জল ফেলিতে ফেলিতে
d75536dcb7	355c1	সেখানেই জঘন্য অপরাধ
d755cd1d79	3fc9d	ঢাকা বিশ্ববিদ্যালয় থেকে
d755d2c3df	b8ed8	তাহলে তো আমাদের কিছু বলার
d756011bdb	86b1b	নাশকতার বিভিন্ন মামলা রয়েছে
d756a64033	e3d8b	তার প্রেমিককে
d7576ac112	b8ed8	তারপর বেশ উঁচুতে
d7578ffe12	430b2	পুরুষ প্রেমিক
d757d8f5cc	7d3e1	দু-একজন যাহারা আগে
d757fc2e73	93080	নেতৃত্ব নিয়েছেন
d757fe6b3e	3b1f7	তোলা হয়েছে
d7582d0ba8	1cb75	প্রেসিডেন্ট সালভা কির
d758649b95	29f8c	এখন পিওন হিসেবে
d758b726a2	a4750	মনোযোগ ও উদার দৃষ্টিভঙ্গি
d7592ebee8	274ee	কনসিলার
d75a30263c	e89bb	বন্দর
d75b782d82	49d63	গ্যাস ব্যবহার করে
d75b8fda09	9e923	অবারিত স্বাধীনতায়
d75b93ad12	95f83	আমার কবিতা
d75c126900	698a4	কয়েকটি কৌশল জানা থাকলে
d75c883e01	09b32	শুরু করেন
d75c9746bd	18a52	পালিত হচ্ছে
d75ce86a41	dae88	অপহরণ ও হত্যাকাণ্ডের কারণ
d75d116660	8edea	তাদের নির্দোষ উল্লেখ করে
d75d56aad9	388c9	এবারের সাহিত্য আড্ডায়
d75d664fae	0a87a	একটি বাঁশের খুঁটির ওপর
d75d98e676	25117	তিনি এই প্রথা
d75de27aa6	7d133	এসব নির্বাচনে ক্ষতিগ্রস্ত
d75e867cb3	256f5	দুম দুম করে হেঁটে
d75f5fc74b	47e8d	আলোকচিত্র কাহিনী বিভাগে
d760dd4241	f143a	তাঁর কথা ধারণ করার জন্য
d76224e1e5	d2355	ধরা পড়ে গেছে
d76238e1fc	f1240	যোগ ব্যায়াম
d7628fab15	08458	এরপর থেকেই তিনি সিদ্ধান্ত নেন
d762c1779a	9c8dd	বিশ্রাম করিতেছিল
d763481aea	ce775	সবচেয়ে জনপ্রিয় জায়গা
d763dbd456	ced74	উৎসবটিতে
d76404c051	bf530	তাহাতে শহরের
d7643e72eb	10a9f	সিঙ্গাপুর ও মালয়েশিয়াকে
d764e69280	d2d71	নতুন নতুন বইয়ের মোড়ক
d764eec4fa	2b883	বেশিরভাগ তথ্য-প্রমাণই সাজানো
d7650082af	13b70	তখন সে বিষয়টি
d7657f5550	730c3	চোটের কারণে তিন ম্যাচ
d765b4d169	6a35e	রাজনীতি করতে শুরু করলেন
d76634ced2	68ab7	নায়িকার কথা শুনে
d7663c0ab9	b7be9	সুন্দর পোশাক
d76642c3a6	c5dc8	কতক্ষণ পরে
d76683ff85	c0965	সুশাসন প্রতিষ্ঠায় রাষ্ট্রের
d7669222cb	b00ba	পরীক্ষা বর্জন করে
d7670df91a	bdfc1	দু-একটি কথা
d76759a011	0b7ca	প্রেসিডেন্ট মুরসির পদত্যাগের দাবিতে গত রোববার রাজধানী কায়রোসহ বিভিন্ন শহরে লক্ষ লক্ষ লোক রাস্তায় নেমে বিক্ষোভ করে।
d7675cc183	95f83	মফিজ উল্লাহর ছেলে
d768b7aed8	5d80e	আমার দিনরাত্রি একাকার
d768c85e27	03284	নির্জন স্থান থেকে
d769462894	2ecf8	তারপর ঘটাং শব্দ হলো
d769c7216e	7ed14	তিনি সিনেমার স্ক্রিপ্ট লিখতে
d76a879c81	5639c	প্রাগৈতিহাসিক ধার্য হইল
d76ad5b5d4	4fc91	তা নিছক ক্ষীণ ছায়া
d76b00e15d	1de6c	লড়াইয়ে মেতে উঠল
d76b0b352d	ee994	সাধারণ মানুষের জীবনযাত্রা
d76b59b8d4	d41be	চার-পাঁচ মাসের ভেতর
d76bd489d5	7aed9	খেয়াল রাখার
d76c2658bf	49543	প্রথম পরিবারের পক্ষ থেকে
d76cb969fa	49d63	এখনকার ভাষায়
d76cf465a7	d2294	জোয়ারের সময়
d76d0ea60c	16877	লঞ্চটিতে কমপক্ষে
d76d526d25	c749e	রাজলক্ষ্মী চৌধুরানীর আশ্রয়ে এসে
d76dbb9b5f	c41d8	তাঁরা বাংলা ভাষায়
d76e00e7b8	ee4ad	ভারতবর্ষের সম্পূর্ণ দায়িত্ব
d76e1489ac	8ba2b	আর্মড ফোর্সেস ইন্সটিটিউট
d76e46afdf	e43d4	ফুলশয্যা
d76ec25da1	bfac7	তালেবানি ফিৎনা ফ্যাসাদ থেকে
d76ec5c2c7	c7705	সাবেক তত্ত্বাবধায়ক সরকারের সময়ে
d76f57ae41	61820	এবারের গ্রন্থমেলায়
d76f7c2d83	71522	গল্পটা অতি সামান্য
d76f974820	410fa	কথা বলা হচ্ছে
d76ff7bd62	eecdd	ওই সময় আমার আবার
d7702ad450	52f27	যেমন গন্ধকের
d770628626	32998	ধূমপান করলে
d7706335c5	9d7bf	চাঁদা নেয়
d7707a05db	f2097	তাৎপর্য্য এই মাত্র যে
d770a40b56	61820	একজন নেতা বলেছেন
d770b77cdc	b8bf0	আজো ঐতিহাসিকভাবে
d770f03343	6b437	উপস্থিত হল
d77166c2b6	14d25	এবং বিদেশী ক্রেতা
d771a77729	6e6fa	বাংলাদেশের বেশ কয়েকটি জেলায়
d771bad068	3fce2	রিমান্ডে থাকা রনি মূলত
d772130ed5	6a35e	বিমানের ফ্লাইটে ওই পশুটাকে
d772d949a2	37e17	রপ্তানি লক্ষ্যমাত্রার চেয়ে
d7730731a4	d5f7b	বাপ অসৎ কর্মে রত হইয়া
d773285aef	903fa	চার্চিলের এক উপদেষ্টা
d773560865	7f71c	ছলনা
d773a6560b	943de	যেগুলো অভিনয়ের ক্ষেত্রে
d773a7c72a	db735	আকাশের নীল কটোরায়
d773cdc0cf	32c77	মাহফুজের এই দিকটি
d77493c357	2bc73	শ্যামশিদ্ধির মঠ
d7749a203e	e6752	বিশেষ এজেন্টও রয়েছেন
d7753641f8	c41d8	দুজনই বিনা প্রতিদ্বন্দ্বিতায়
d775e48285	52f27	হাল ছাড়লেন না
d7765b62fc	dec2d	প্রতিফলিত রশ্মি
d77682f192	95907	চীন এবং যুক্তরাষ্ট্রের অবস্থান
d776e2513c	d9081	অনুষ্ঠিত হত
d777780afb	2ee04	টক দই
d777abf98b	42898	খানিক দূরে
d777af4f10	9642e	তার কন্যা
d777b84c10	ee7b2	বিরত থাকছে
d777d778fa	f1ff2	শুক্রবার আইনশৃঙ্খলা বাহিনী আটক কর
d777e66f5f	b8ed8	ভালদেসের বদলে
d7780a160c	53396	আমার ত্বক
d77870bca5	93d3b	অ্যানা ক্যাথারিন গ্রীন লিখলেন
d778a4949c	f658d	কিন্তু যখন তিনি
d778b68e68	bcaa8	সরকার পরিস্থিতি নিয়ন্ত্রণে ব্যর্থ হয়েছে
d778c927e3	7b900	বাচিক অভিনয় ছাড়া
d7794f0c05	46d49	এই মেলায়
d779921ddd	0633a	হাই কোর্টের আদেশ আসে
d77a1e083f	57d54	হেরে গেছেন আনা ইভানোভিচ
d77a460b9f	49543	বিদ্যুৎ উৎপাদনে সেটা অর্জন
d77b30b07b	b00ba	আমার ভবিষ্যতের বাগানে
d77b3ad0ae	dba43	এই শঙ্কা ব্যক্ত করা
d77b564131	7c272	কাঠটা আঙুলের সঙ্গে
d77b6ee88a	09f0d	স্পষ্ট হয়ে আসছে
d77bb7820f	ce629	দেয়া হচ্ছে না
d77c275bfc	903fa	বিভিন্ন দেশের কূটনীতিকেরা
d77c595499	75936	বুরুজ থেকে নেমে
d77c61ef7d	f1ff2	রংপুর ছাড়া বাকি
d77ca2672d	11bd2	মাত্র ৩৬ বলে
d77d33d977	e3f89	মেহরাবের হাতে
d77d6e3641	15a75	আয় রে আমার হুমো
d77e9f390d	442b7	কিউল ষ্টেশনে
d77ef0e349	bf530	বেশ খ্যাতি ছিল
d77f69fc96	7aed9	কিভাবে নির্ণয় করা হয়
d77feb9e41	8b859	অভিযান, সত্যজিত রায়
d78045ead2	f0f95	অকলেরা, ভারতের
d7808c5f32	e43d4	ফ্যামিলি
d7809c3e83	57d54	এ সমস্যা হবে বলে
d780fb8969	a8710	বাংলাদেশের প্রাচীন
d78105871c	d9ba9	লোকচক্ষু থেকে
d781bbb6fc	ff1eb	কয়েকটি খেলাতে
d781eaa9c9	767ff	মানুষের কাছে নয়
d781f1a39a	d2294	তারা শক্ত অবস্থান নিয়েছে
d781f43491	18a52	শ্রমিকদের নিরাপত্তার স্বার্থে
d78273f192	a46e2	তিনি স্বীকার করেন যে
d782741780	a4750	বিদ্যুতের দাবিতে
d782d2e7a2	4dd57	জনসভা হবে
d783b92250	bfac7	আরফিন শুভ
d784ec26c4	809cd	ওদের গাল দেন তবে
d785178db5	16cfb	ক্লাস যাতে নির্বিঘ্নে চলে
d785527949	f89d7	নির্মিত জার্মান থ্রিলার চলচ্চিত্র
d78559f9f3	c6848	এইডস
d785fa2329	3faff	৮ম শ্রেণীর ছাত্রী
d786002ccd	24f73	সর্বোচ্চ ৩৫ বলে ৩৬ রান করেন মইন আলি।
d78626cf97	b9122	মানুষের অন্ননালীর
d78632c63f	32b3e	বাংলাদেশ সংলাপ মর্যাদাপূর্ণ
d786825a73	6b437	বিক্রি করছেন
d786b5992b	7351e	যা মোট প্রদত্ত ভোটের
d786bd1c8b	976b1	রীতি প্রচলিত হয়
d7874b3bff	bbb22	দেশমাতৃকা
d7882803ad	c3cb3	রওনা হয়েছে
d788b77269	3fc9d	যাতে পরিবেশের পরিবর্তন নিয়ে
d788d8e37b	ac904	তিনশো মাইলের
d788d929f8	239f7	ভক্তি এবং সেই ভক্তি ব্যতীত
d788ddb307	eb179	এ বিষয়ে সুযোগ করা হবে
d789ea5e8c	693cb	লজিকবিদ্যা বাংলাভাষীদের জন্য
d78a60e7ef	52578	একটি
d78a795a03	17ca1	অঘোষিত রাজা তিনি
d78b0a8cfe	9092b	দুজনই ছিলেন অন্তঃসত্ত্বা
d78b17ee0e	af81d	পাকিস্তানের অধিনায়ক মোহাম্মদ হাফিজ
d78b65ddb7	7f2ef	১৯৪০ সালে
d78b65f003	98b81	রোজা
d78c0ce0cb	f2780	শান্তি কমিটি, রাজাকার ও আলবদর বাহিনী
d78c1a189a	37e17	কুকরটিকে বলি–হজ্বে যাইবি
d78cc4c59c	80be1	এসেছে শীতের পোশাক
d78d16e548	72649	বন্দর বন্ধ হওয়ার কারণ কি
d78e4e4c84	f9dfb	অপহরণের পর নির্যাতন করে
d78e9b7569	e3f89	ধারক বা দণ্ডকে বোঝায়
d78ed21cbb	ac904	এই অভিযান শুরুর পর থেকে
d78f1cc3fa	43b04	তিনজন আন্দোলনকারী
d78f36b1d6	1e7c7	সে স্বামীর পিঠে
d78f55a54f	c3cca	বেশ বেশ
d78f82f4ad	cb627	আমরা গর্বিত
d78fee6bbf	3fae0	কবুতরের গা থেকে
d79062759d	38ff0	গাল বেয়ে
d790a94b34	351dd	২৬ কোটি ৮০ লাখ টাকা
d790e05b0c	f6e55	আইসল্যান্ডীয় ভাষা
d790f788da	ab946	সে কথা ভেবেই
