08000eb5ad	121bd	সবচেয়ে ক্ষুদ্রতম জনসংখ্যার
0832d1add9	ee4ad	বাণিজ্য মন্ত্রণালয় থেকে তাদের
0833aa8c42	9092b	ইসলামী কয়েকটি দলকে
0833b56112	7898e	আজই তাদের
0833bbed4c	3fce2	নিয়ে যায় বাংলাদেশ
0833eec687	dfefa	এটা তাদের কাছে খটকা লাগত
08353cdd8f	0a87a	আগে ব্যাংকার্স
0835502254	5d80e	শঙ্করের চিন্তাধারার সঙ্গে
08355f16ad	ea5be	মোশারফ হোসেন ভূঁইয়া বরাবর
083571abc3	6c6bf	তবে র‍্যাপিড অ্যাকশন ব্যাটেলিয়নের
0835c64597	2840e	ফুলবাহারি বা তার মা
0835d83aa7	fda1a	বা অষ্টক নাচ
0835fc475e	8406e	পানি খেয়েছিলাম
08370318ef	f1ff2	বিবেকানন্দ বলেন
08370ae9d9	6da0a	ঘটনায় প্রতিষ্ঠানের চেয়ারম্যানসহ
083731b51b	ce629	নাটের গুরু
083739a392	c3cb3	সেখানেই তাদের প্রতিরোধ করা হবে
083794d1a2	e68af	আর ৫০ জন
083863ee36	6e8cb	বেস্ট লাভ স্টোরিজ
08386691e8	e43d4	আমি মূল সূত্রগুলো
08390c6305	ad98d	এটি ছিল বিশ্বের
08395a6d5e	6fb36	তার বিচার হবে কিশোর আদালতে
0839bbff57	7d3e1	থাকতে হতো
083a45afaa	c463d	তাঁর মৌলিক শৈলীর
083a4ca286	430b2	সিএমপি থেকে
083a5843c4	16877	আল্লাহর নাম
083a5da794	7b900	কাঠ জড়ো করে
083a90de25	1a2a1	আকুণ্ঠ নিমজ্জিত
083aa73054	c4973	ও মালবহনকারী বিমান
083abbef3f	388c9	ইংরেজ জব চার্নক
083b0dbdae	f2097	কাকা
083b5722a5	6ee5f	যে দলটি নাইজেরিয়ায় যাচ্ছে
083b65f308	66dcd	দক্ষিণারঞ্জন মিত্র মজুমদার
083bf95580	2ac82	পরের প্রশ্ন করেন
083c39ef27	68549	ওরা তার পেছনে লাগতে আসেনি
083d00376e	778c0	আনন্দের খবর
083d1489bb	92bd8	শক্তিশালীকরণ খাতে
083d840520	8cf95	বিচার কার্যক্রম শুরু হয়
083e043326	d82d9	পূজার লাইগা
083e294cfa	18460	বেশ বিপদেই পড়তে হয়
083e6fd461	880ae	অনেক কর্মীর ধারণা
083f8ca76b	93080	লুটতরাজ শুরু করে
083ff8524d	49543	দশম সংসদ নির্বাচন
084032ab07	f7a7f	দেশটিতে শান্তিরক্ষীর সংখ্যা প্রায় দ্বিগুণ করছে জাতিসংঘের নিরাপত্তা পরিষদ।
08408ecc3c	8cf95	গল্প
0840af3b17	2695f	ওখান থেকে
0841bd8dc9	d8c80	চোখ ধাঁধিয়ে যাচ্ছে
08420e4229	ad98d	ডাটা এন্ট্রি কাজ
08423a955b	4fc91	কিন্তু বাংলাদেশ
08428b2fe0	3fae0	তবে জয়নুল আবেদিন
0842bf1a3b	d71a3	ইউএনডিপির মতে
0842e04b26	5639c	সরকারি নিয়োগ লাভে সুযোগের সমতা
0842e99d14	e2ba2	ওইখানে এক মানুষ-জন্তু
08433129ed	4bd2c	একটি বেসরকারি কোম্পানিতে
0843428827	6d129	সমাজবিজ্ঞান বিভাগের মনজুর আলী মোহন
084396abe8	509f6	মামলা নেয়া হলেও
0843ed76ea	7ed14	আইফোন বা আইপ্যাডের মাধ্যমে
0843f8f03f	7351e	না পাঠালেও
0844230b7a	2c9c5	বাংলা ভাষার ব্যাকরণ রচনায়
08443e7e21	ce180	কথা ভেবে
08446a9cbc	698a4	ঘরে সূর্যাস্তের পরে
0844cd870a	f837a	সকাল আহমেদ নির্মাণ করেছেন
0844e3ab7e	15a75	লাসিথ মালিঙ্গা
0845587d33	05901	শিকড় বাংলার মাটিতে রেখে
0845a4a23b	d82d9	২৩১.৬৮৫ একর জমি
0845b9876f	7d3e1	ঢাকা বিশ্ববিদ্যালয়ের ছাত্র
0845c80d64	e55de	শিখা
0845e55204	80539	বিরূপ ধারণা থেকে
08466e5476	32c77	ইনফরমেশনটি গবেষণাজাত কি না
08467a0b4b	8845d	দণ্ডপ্রাপ্তরা হলেন
0846842c46	c5479	লক্ষ্যভেদ করেন বেল
08469fe597	ef4f8	বেশ কয়েকজন
0846a2d8b6	4f2ae	অন্যান্য সুবিধা বৃদ্ধি করা হবে
08474a72e3	d9081	বাংলাদেশে নির্বাচনের বাকী
08479dda97	b9122	একটু ধীরে ধীরে হাঁটছিল
0848fdd013	3fce2	রবীন্দ্রনাথ জন্মেছিলেন কলকাতার একটি ব্রাহ্ম পরিবারে।
0849164224	967fd	পড়াশোনা ভালো না করা
0849460460	b5fdc	অপ্রত্যাশিত মুক্তির জন্যে
084976d73f	3fc9d	গ্রীষ্মের দাবদাহের পর বর্ষা প্রকৃতিতে এনে দেয় শীতল পরশ।
0849a0a48d	ca088	মাত্র কদিন আগে
084a308695	2d78f	গেঞ্জি বোনা জিনিস
084a423b74	430b2	প্রকৌশলী মো. দেলোয়ার হোসেন
084a492ff6	71522	প্রতিদিন দাঁত ঘষে
084a4e474a	b4ea7	আমরা হারবো
084a640548	4ea73	এক সাথে থাকার
084a9b2ddc	0c39f	সত্যি কি লড়াই করা যায়
084aefebf7	52f27	চিহ্ন রয়েছে
084b253553	fcc89	গ্রেফতার করেছেন
084b880f94	778c0	তা কমে দাঁড়ায়
084bc30c2b	0f047	এবং চেয়ারম্যানের অনাগ্রহের কারণে
084bc93f0b	ee994	এদের দক্ষতা বিস্ময়কর
084bcbf18b	ad69a	অষ্টম হেনরি
084c59ad45	9d398	কে এগিয়ে এসেছেন
084c5d7f17	e6e48	অবক্ষয় ডেকে আনে
084c68db31	698ff	মিশ্র স্বভাবে প্রভাবিত
084ce39085	39293	টেপ
084cfcf2e4	dec2d	বেশি শিখেছেন
084d79574c	ee7b2	গ্রুপ চ্যাম্পিয়ন হিসেবে
084d82f882	cb1aa	বিভিন্ন রাজনৈতিক দলের
084e86a085	d41be	অরগাজম
084f182800	66c6b	ভোটদান শেষে
084f2d917f	d2294	অবস্থান নেওয়া পর্যটকরা
084f9afb83	f2780	অনুদার পরিবেশ
084fd243aa	ee994	খেতে পারব
084fdb99ea	0edef	আমার প্রশ্ন, কেন
084fde9ee8	3fce2	ভারত ছাড়া
085005243a	7a227	সাহারা মরুভূমি থেকে
0850b24f48	1f733	গণতন্ত্র নির্মাণের জন্য
0850e7cb92	c5dc8	কিন্তু সংশ্লিষ্ট কর্তৃপক্ষের
08517c30fe	12702	প্রতিনিধি সেলিমকে
0851969123	8406e	পারিবারিক জীবনেরও
0851d6dd07	60f77	তাতে নির্বাচন করা সম্ভব নয়
085243d487	3b1f7	আলমিরা ভেঙে
085245df4b	f143a	পিকেটিংয়ের কোনো খবর
085283b0aa	e3f89	তার জিজ্ঞাসা ছিলো
085341da82	4fd66	কনে ‘কবুল’ পড়তে
0853e48d3b	932bb	দলীয় নেতাকর্মী ও সমর্থকেরা
08543846fe	cc18a	বিচার প্রক্রিয়া
08546c4caf	0f047	ফুটিয়ে তোলার জন্য
08549f0566	5354e	আর রূপগঞ্জের জামদানি
0854abb071	39293	অবৈধ সম্পর্ক
0854c8f39c	18a52	সুবিধা প্রদান
08554d9767	a699c	বলার চেষ্টা করি যে
0855836b7a	1a2a1	নিউইয়র্কে আছি
0855ec0d8b	d2d71	সংসদীয় স্থায়ী কমিটি
08560f1432	09b32	নির্বাচন অনুষ্ঠানে আবার
0856302932	23b22	তিনি দস্তানা পরা হাতে
0857dc4938	239f7	তাঁহার মনে
085815d10e	943de	উচ্চারিত করতাম না
08587e7002	c5479	এমন কোন আগাম তথ্য
0859420ac6	32998	মুখের দুর্গন্ধ দূর করে
08594c59d9	1652d	ঘোষণা করেন তিনি।
0859850ebc	2bd99	অপব্যবহার করা দোষ
085992bd1c	a46e2	নওয়াজের বাগানবাড়িটির অবস্থান
0859d7bf07	3fb17	বহুদিন প্রায়
0859f14a97	ab946	হাসির ছবি
085a34db07	e2ff7	ষষ্ঠ শ্রেণীর শিক্ষার্থী
085abe900d	086dd	বাঙালি নিজেকে ছাড়া
085ae94344	80518	একটি নৌকা থেকে নেমে
085b028b47	6c6bf	ওডেস্ক প্রোফাইল
085b448b01	b8ed8	ঘরের অন্যান্যদের
085b776a44	6e6fa	কয়েকজন নেতার বিরুদ্ধেও
085c4f2b33	086dd	প্রথম পরিচালকের দায়িত্বভার গ্রহণ করেন
085ca2684b	16a17	তাহা তিনি কাহারও প্রার্থনীয়
085ca878eb	2556b	তুষার আহমেদ
085cbebe7a	31f09	রাত ৮টা পর্যন্ত
085d1d8bbc	442b7	আর কংগ্রেস এগিয়ে আছে
085d50f751	f1ea4	অনেকের মতে,
085dd4e822	7b132	সঠিক নিয়মে
085e5b6e26	a06a1	বিখ্যাত ফরাসি
085e9c3a73	1652d	নতুন দুনিয়ার সঙ্গে
085ebf42a4	b8bf0	পুরুষের ভালোত্বের ওপর
085fad7735	f6e55	কুকুরের গায়ে
085fcf9531	92bd8	এসব ভেজাল দেয়া হয়
085fd03397	eb179	গ্রেগরিও তলোয়ার হাতে
086017f6d2	282d3	আসার পরেও
086060ebbb	a1d4a	পাকা পাকা বড়ই
086066fd9c	4fc91	লইয়া আছে
0860830206	06e62	অনেক প্রজাতির প্রাণী
08610c5dad	6d129	আরো কয়েকদিন সময় চাইলে
086166ec7e	3ec4d	১৫ ফেব্রুয়ারি শিরীন শারমিনের
08620085ef	d7a68	আবদুল জাববার
0862074d27	35ef3	সকল প্রধান ধর্মে
086207abe2	3fce2	আর যে রাজকন্যা নেই
0862dfef9c	274ee	পাওয়া যাবে একমাত্র
0862e19407	b8fe1	বাবু গোষ্ঠ
0863bc8a44	809cd	পূবদিকের আকাশ
08642fd10c	6ab59	দুর্নীতিবিরোধী কাজে
08645ea478	c8f7f	ম্যালেরিয়া জ্বরের উপদ্রবে দিশেহারা
08649d22e8	2fe3c	তিনটি সমান অনুভূমিক
0864c6d53c	eecdd	এবং দায়িত্বশীল ভৃত্য
0864e35f81	ad69a	আতঙ্কের হিমেল বিক্রম
0864f319fd	7ec1c	ভারত সফরে যাবে বাংলাদেশ
0865139762	33aef	তাও যেন ধুয়ে গেছে
086543d230	ce180	বেছে নিয়েছিলেন
08655eb392	ce775	নিহতদের প্রত্যেকের পরিবারকে
0865864ffd	5639c	অসন্তোষের সৃষ্টি হয়
0865dfa4ba	e6e48	সোমবার রাতে
0865e4587c	29f8c	তোমাদের কি অন্যায়
0866ebe05b	ee7b2	ঢাকার সদরঘাট টার্মিনালে
08670122ea	57d54	সকালে এসপি
08671fff45	4fc91	শিক্ষানবিশ চিকিৎসকরা
086734f7ab	7ec1c	আফগানিস্তান
086812035c	f83df	সব সময় আমি
08684a57e2	c0965	ঢাকা মহানগর হাকিম
08685d45c9	92f59	দুই মেয়ের মা
0868780756	2de86	শেয়ার
08687e89bf	68549	হতে পারে
0868c60e92	9065c	এসি কার্ডিগান
086944384e	239f7	হাজির হয়েছে নান্দনিক রং
08694485f3	7ee9b	মি. মুখার্জি
086952267c	80518	যুক্তরাষ্ট্র একটি নিজস্ব আইনের আওতায়
08698ba667	cb627	সিএনজি অটোরিকশার প্রতিস্থাপন সময়সীমা
0869929dfe	6e6fa	নকল চোখ
086a0d76f3	b9a81	কিছু অবান্তর কথা বললেন
086a4f579e	321b6	মান্নান খান ও তার স্ত্রীর
086a9e20f6	d1a48	দেশে যে সহিংস পরিবেশ চলছে
086ac23302	d9ba9	তিন শিল্পী এ প্রদর্শনীতে
086ac25cc3	9813c	বিরোধপূর্ণ জমি দখল করতে আসেন
086aef81de	256f5	তারাই তো করতে পারে
086af97033	31f2a	নির্ধারণ করতে পারে
086b3f318a	29f8c	বিদেশি মুদ্রার সঞ্চিতির দিক দিয়ে দক্ষিণ এশিয়ায় বাংলাদেশের চেয়ে ভাল অবস্থানে আছে কেবল ভারত।
086b563daf	75936	সামরিক হস্তক্ষেপের মতো হুমকি
086b86d5bb	49543	পুরো এলাকা জুড়ে
086ba201a3	38ff0	কোটি কোটি বছর ধরে
086bc821d3	5639c	হিন্দু-মুসলিম অনৈক্যে
086bd604c1	194f5	ডিবি অফিস থেকে
086c10390e	38d3a	স্থানীয়রা উদ্ধার করে তাকে
086ca050e1	2b883	সন্ধ্যা ৬টার দিকে
086cdf4d8a	7b103	আগামী বুধবার
086ce6c2a8	351dd	স্বস্তির কারণ
086ce71c52	b9a81	ব্লাসফেমি আইনের আদলে
086d138bb1	f29bf	নজিরবিহীন উন্মাদনা
086d552d97	ff970	গাঙ্গুলি বলেন
086dd46ff7	767ff	নায়িকা কী করে
086e77e36c	1e7c6	কাঠগড়ায় দাঁড়াবেন
086e873d79	93080	শূন্যের কোঠায়
086e883fe7	a274b	দুটি গোল করার পাশাপাশি
086f517366	943de	প্রয়োজন নাই
086fcc57ed	239f7	নারীর অধিকার
086fcf21ad	d136b	দলের কেন্দ্রীয় কার্যালয়ে
087014eb11	321b6	একজন মার্কিন কম্পিউটার বিজ্ঞানী
087044a5c1	68549	দৃষ্টান্তমূলক শাস্তি দেয়া হোক
08705ffece	e6e48	কারণ সম্পর্কে
08708ddcae	58998	তা নিয়ে গত দেড় দশকে
0870d7d112	086dd	জন্ম ১৪ অক্টোবর, ১৯৯৩
08713c98f1	fd880	ধন্যবাদ
0871570f98	2d78f	সে জন্য কর্মসূচির
0871615412	880ae	নির্বাচনের জন্য
08718f41e8	e55de	দেখার চেষ্টা করা যাক
0871eed32f	ea5be	তাঁহাকে দেখিতে পাওয়া যায়
0872065c81	43199	যশোরের সহকারী রিটার্নিং কর্মকর্তা
0872290fad	2396d	অন্য তারা
087245f070	e6d83	বলে বলতে থাকে
0872ac89a7	16e96	ঝুমুর
0872be4840	ab946	বেশিরভাগই ভালাইপুর হাটের
0873cca7b0	58998	সত্যজিৎ রায়ের ফটিকচাঁদের
0873f7e2c1	ff970	এ সাজা ও মামলা বাতিল করে
08741af793	1279e	কিন্তু কৃষ্ণ রথের উপর
0875204070	c0d65	তাদের ক্রিকেটের মূল্যবান তথ্য
0875404a5b	31f09	জাতি সফলভাবে
08756f320a	80be1	অরণ্য পরিষ্কার করার
08764378d1	274ee	উদাস হয়ে বসে রইলেন
087724bd00	3fce2	পাখির ডাকে
08772adc6a	84145	পরীক্ষামূলক সংস্করণ
0877bf44bc	6ab59	চোখ সরে যাচ্ছে
0877e2403a	ce180	অজগর
087863120f	7e1d5	ঢাকা উদ্যান থেকে
087927653e	82926	অ্যারন অ্যালেক্সিস
0879a5b09d	e2ba2	ঝোল রাঁধা হয়
0879f9fc6e	c5479	ঘরে-বাইরের মধ্যে
087ab135fe	8c07c	বাংলাদেশের স্বাধীনতাযুদ্ধে
087ae4f353	943de	বোলো না, জাফর
087b0ce928	7ee9b	কমিক সেন্স বলে
087b341593	60b9d	বিবর থেকে
087ba27e9e	b8bba	হয়তো আমি চালিত হচ্ছিলাম
087beefe2c	77f82	বিসমিল্লাহ বলে
087bf2899f	dec2d	কেঁপে উঠবে শব্দে
087c035384	a274b	গোলাম মোস্তফার কাজে
087c6e539f	c11b1	তাকিয়ার ঐ স্থানটিতে পুছিলেন
087c90cef6	b4ea7	পরিকল্পনা করুন বুদ্ধি খাটিয়ে
087c926cf4	086dd	মে মাসে অনুষ্ঠানের
087cab3bc8	4bede	ক্লিনিকের ভিতরে চলে যান
087cef1eb2	0d9f1	বরদাশত করবেন কেন
087d8cf028	11bd2	আন্তর্জাতিক সীমান্ত পিলার নিকট
087dec1d99	7ec1c	অন্যতম কারণ হচ্ছে
087e64ba30	acb88	সাথে বাস করছেন
087e858a1d	fcc89	শুধুই ক্রিয়েটিভ
087ea2a89f	a1d4a	একদিনের কর্মসূচী শেষ হয়েছে
087eb0543e	7aed9	কি লয়ে পরাণ রবে
087f0521ae	49d63	মুখে কুলুপ এঁটে আছেন
087f5c07ff	f2097	সম্পাদন করতে পারে
08806b3274	9d398	রাজশাহী মেডিকেলের অর্থোপেডিক বিভাগের প্রধান
0880fba300	86b1b	বের হয়
0881414aea	09b32	সেই ষোলোটা
0881a2061b	7a227	একজন রুশ কবি ভ্লাদিমির মায়াকোভস্কি
0881d40dff	49543	এরপরও বেশ কয়েকবার
0881f27c0b	e3d8b	রাজকীয় ঐতিহ্য
08820aeb27	29bab	যাদু
08825a441f	d8c80	তার অভিনীত চলচ্চিত্রগুলো
0882bf02eb	0a7a0	একটা সুন্দরী মেয়ে আছে
0883bce28b	4fbd1	আফগানিস্তান দলকে দেখে
0883e36c7e	d9ba9	সম্ভোগ
088419b6fe	536d9	অলঙ্কার সম্বন্ধে যাহা বলিলাম
08844a1648	c1e30	এবং পর্যটন শহরগুলোর
0884c4ee41	d2faf	বাড়তি কোনো খরচ ছাড়াই
0885549584	77f82	দেশ যে আমাদের মায়ের সমান
088586d314	5639c	২৭ আগস্ট, ১৮৯৬ সালে
08859afdbd	d9ba9	হয়ে গেছে
0885a2e4a9	f4ba7	আগুন দেওয়া
0885b2d78c	38ff0	ব্যবসায়ীরা
088683ac8c	1cb75	অবতার বলে
08876c39bc	e2ff7	বলে তিনি জানান
0887cfe0e0	315e9	আগা খান অ্যাওয়ার্ড ফর আর্কিটেকচার
0887d0458f	14d25	নিকট দূরত্বে পৌঁছালে
0887d161e9	d5213	২০০৫ সাল থেকে ২০১০ সাল পর্যন্ত
08883a1db4	6973e	১ টাকা বেড়ে ১৬ টাকায়
088894fb48	1a2a1	টুক করে
0888f592c4	b8ed8	আমরা নিজেরাই এই দুর্ঘটনা
08890750cd	767ff	খাবো
08890b6d66	d711f	ঢাকায় প্রধানমন্ত্রীর কার্যালয়ে
08898b9579	274ee	হ্যাপির মতো
0889b1272e	ef915	ডি এ তায়েব
