42002a540c	a3a6d	জয়ললিতাকে তৃতীয় ফ্রন্টে চান
4231a76a67	4dd57	অপেক্ষা করতে হবে বলে
4231b1d609	e03ce	সমাধান সম্ভব
4231d5eff9	ab946	আর শাহী জিলাপিতো আছেই
4232f3906d	11de3	ট্রেড ইউনিয়ন করাটা
42335ce855	fbb81	অঙ্কুর অরোরা মার্ডার কেস
42337023e3	fcc89	শুধু মুক্তিপণের দাবি আসবে
423380527b	65e30	এত দূরে
4233dff1e6	64092	তাঁবুতে বসে মন স্থির করে
42344240be	0e637	৮৫৩ কোটি টাকা বেশি
42345b9aad	32b3e	ট্রেড ইউনিয়ন গঠনে
4234a62b13	c41d8	কাজ করতে পারব
4235210726	80e98	সরে যেতে বলা হয়
42354ff4fc	ad98d	ঈশ্বর গুপ্তের, কথায় যা
423586f6fa	9fa90	কাদের ও কল্যাণ
4235a082c8	7027a	সর্বত্র সেই পরিবেশের
4236ea82d9	b618b	ব্যয়সীমা ১৫ লাখ
42373a1854	65652	ঢাকাই ছবির অন্যতম পরিচালক
4237438dca	967fd	সীমা
42382756be	52f27	অন্যায়ও তেমনি ঈশ্বরপ্রেরিত
4238502a1f	05901	১ হাজার কোটি ডলারে পৌঁছায়
42385f3530	9282d	তবে সেখানে আমরা
42386818b0	e55de	সব একত্র জড় করিলাম
4238ea4056	b2a62	বিলু কবীরকে ধন্যবাদ দিতে হয়
423943cc08	e3f89	আমি একেবারেই প্রাচ্যপন্থী
4239550049	25117	কৌতুকের চল আছে
4239754d9a	46da4	মোবাইল বাজার
4239888fc9	d82d9	জানেন না
42399a529a	0606d	অত বড় ছিলনা
4239aa4d4b	b78ec	সুকান্তের সারিবাঁধা প্রতিকৃতি অঙ্কিত
4239eba5da	7e191	মেঘনার পাড়ে
4239fe811d	d9b11	যে ভাত খাইতে বও না
423a4da6af	5dd61	ছেলেবেলায় যখন তাদের দাঁত ওঠেনি
423a553b60	d9ba9	চোটের কারণে
423a7ab7ab	2ad74	আর পারা গেল না
423a907bb8	2d98b	মিরপুর অফিসে যোগাযোগ করা হয়
423b09c460	ad98d	চুপচাপ বসে আছি
423b3ea637	7e191	সে দীর্ঘদিন ধরে
423bc20c7f	eb179	তা মানব জাতির জন্য অনুকরণীয়
423be833a0	83c53	বাঙালিটোলার হিপি তরুণী
423c0296d0	18a52	তোয়াক্বা করে না
423c0cd6b0	cb842	হাসপাতালে ডাক্তার নেই, নার্সরাও সব পালিয়ে গেছে।
423c0ed473	bd576	খুলে যেত
423d5172d3	693cb	এ পর্বে ৪১ জেলার ৮১ উপজেলায়
423d8f95b5	f2b7d	আজ ভোরে
423d9c5e96	91230	অন্য সব নাগরিক সেবা বন্ধ রাখবে
423e2e34da	7f2ef	নারিকেল
423e5fd13a	65e30	সে বিষয়ে কিছু বলেননি
423ea57ff8	323f1	আরও বেশি তৎপর হওয়া
423ebe45ce	ff0fe	নানা খুঁটিনাটি কথা
423ec943d6	cb627	তাদের বুকে
423f0af093	d9081	আসামির মৃত্যু হয়
42405d5bf3	58998	আমাকে হাঁ করে দেখতে দেখতে
42414b9e0f	1f733	১৬ ইনিংসের
424169aad8	0c39f	সম্মিলিতভাবে অফিসে এসেছে
4241ece055	9e923	অপরাজেয় বাংলা
424265c9a0	93080	নির্মাতা ও প্রকাশক
4242d49166	cc9fd	শত্রুদের দ্বারা
4242db63c4	282d3	চৌম্বকক্ষেত্রকে ঘুরিয়ে
424345f7d5	2b883	আমার প্রিয়
42443fe974	e7230	মনে রাখবে
424465dd46	f2097	শ্রীধর চন্দ্র রায়ের ছেলে
42447e5e28	da6f0	মামলার কেস ডকেট
4244802549	aab0f	কি কারণে মিস্টার আহমেদ
4244e97df7	195f7	কুপোকাৎ লাগাও তবে
4245087098	6973e	বন্ধুদের সাথে
4245a131f6	7f2ef	৭-৫, ৬-৭, ৬-১ গেমে
4245c0eb7d	e7230	সংকলিত পোস্ট
424602a618	49543	সে টাকায় লাশ বাড়িতে
42461158d7	d5f7b	শত শত কোটি
42470b3ca2	f83df	ইজারা দিয়েছে সরকার
4247968663	66c6b	এর সাথে জড়িত থাকে
424888b896	db181	বঙ্কিমচন্দ্রের প্রথম বাংলা উপন্যাস
4248e6b15a	ea8fa	সেটা আমাদের জিততেই হবে
42490f934b	0d8c1	সে যদি সরকার সহ
424954cd07	b9b98	এবং সফলতার বিষয়ে
424993d60b	e2c11	আমাদের ওর এবং চিকিৎসকদের সঙ্গে
4249a18c89	ef4f8	দুই কন্যা সন্তানের জননী
424a08b142	1652d	তারপর কালবিলম্ব না করিয়া
424a125c35	d8c80	চলমান একটি পর্যালোচনা
424a9cdd61	cb842	বিয়ে
424aad2b5c	7d133	প্রতিদিন বিকেলে অনুষ্ঠিত হচ্ছে
424acdf6a5	75626	তারপর বিচার করে
424add827b	bd576	তাঁহার তিনটি কন্যা
424aefaf39	a43b5	সজিব হোসেন লিয়ন জানান
424aff5050	ff0fe	মার্কিন যুক্তরাষ্ট্রের এলেনটাউন,
424b058a02	ce775	ফলে ঘটনাটি
424b9f7c03	0606d	চাইছেন প্রভা
424c1ddf76	e6e48	তার মধ্যে একি বিপদ
424cc35e43	f2097	পুন:স্থাপন করলে
424ce6a990	3fce2	এসব মন্তব্য করেন
424d15c9c6	b8bf0	ছেলের বিয়ে দিয়েছি
424e11032f	c11b1	আধুনিক কবিতার সূচকণ্ড
424e794a77	c5dc8	সুমেরুবৃত্তকে স্পর্শ করেছে
424e898994	18460	অপূর্ব সুষমামণ্ডিত চিত্রধারার অঙ্গনটি
424e9ddba6	ef4f8	এই মন্দিরে নিয়মিত বসতেন
424f12c9d0	79b06	অব্যাহতি দিয়েছেন বিচারক
42501cc087	7d3e1	কিশোরী বয়সে মেয়েদের
425092f76c	86b1b	আমরা জানাতে পারছি না
425099834e	60b9d	মিরালাস
42509db6c5	9d7bf	দুনিয়ার মানুষদের
4250df8079	f2097	পৌনে ৮টার মধ্যে
4251219dcb	b4ea7	গাড়ি কি হবে রে
42513d8965	f1ff2	বেশ কয়েকবার
42514531e4	0e637	বার বার বাড়িয়ে দেয়
425152f66d	32998	হিন্দী ভাষা শিখছে
4251bc6460	7e191	শরীর ব্যবহার
4252a34864	60f77	সেখানে একটা
4252b12266	7e1d5	একাকী হইয়া আছেন
4252b97efa	13b6a	পরের রাউন্ডে শারাপোভা
425331b720	3bea8	ফলে ১৯০৪ সালে
4253a86fff	7ee9b	তাঁর জীবনে স্মরণীয়
4253ae7c8e	dba43	নিতে পারেননি
4253d03f34	5639c	ভর্তুকি দিতে হচ্ছে
4253de0cb2	80e98	কাজেই হোমস্-কাহিনীর নমুনা
4254aa16ab	2c9c5	প্রাচ্য ধর্ম ও সাহিত্য বিষয়ে
4254ba8ca7	ee994	আমি খড়বিচালির ওপর বসে আছি
425562565c	f1ea4	সরকারকে ভর্তুকি দিয়ে
4255c53364	53396	যেগুলি বেশির ভাগই
425621e193	e89bb	ঘরময় ঘুরে বেড়াবে
42569ab1a5	d3e06	মিছিলটি কেন্দ্রীয় লাইব্রেরি
4256d04074	b8bf0	ভারতের অসম সরকারের
4256f9408c	d41be	তাকে জ্বালানি প্রতিমন্ত্রী
42574b6a3d	10a9f	ডেকোরেটেড চকলেট লেয়ার কেক উপরকরণ
4257a60016	d136b	নতুন আঙ্গিকে
425818afbf	adf01	শাড়ি সাজ
425860d88e	2ac82	দেশে অনেক পত্রিকা
4258840c1b	cb627	হিন্দি ভাষায় নির্মিত দেবদাস
4258ca884f	bc81e	গ্রামে প্রবেশ করিবার পূর্বে
4258d0bd93	7e1d5	কিন্তু তার আগেই
4258e88292	554fe	তা হলে পরিস্থিতি কি
4259308fe9	ad98d	এদিকে বাংলাদেশে
42594f9bfd	e7230	জেরা শুরু করেন আসামিপক্ষের আইনজীবী
4259b6fca0	b5fdc	জন্ম ২৫ ডিসেম্বর, ১৯৮৪
425a6f491f	0a87a	দুলিয়া উঠিতেছে
425aca7694	7d3e1	যত বেশি আনুগত্য পেতাম
425acda90d	5a61c	তাদের উৎপাদিত পণ্য
425aee7428	37e17	বিপরীতই লক্ষ করা যায়
425b1b2609	2396d	আরেক তারকাখচিত দল আর্জেন্টিনা
425b7ece8f	b52ab	প্যারীচাঁদ মিত্রের স্থান
425b89c602	404ee	এক ডিফেন্ডারের পায়ে লেগে
425bd2b679	65652	শর্টকাট ভাইরাস
425c2e68ca	616ec	তার চার পুরুষ পূর্বের
425cd51e20	82926	মারামারি
425e24524a	e03fc	রবীন্দ্রনাথের গল্প উপন্যাসগুলোর
425e574036	a916a	বিচ্ছিন্নতার নানা দেয়াল তুলেছিলেন
425e6efbc6	7d133	বিষয়ানুগ করেছেন
425e89c4c4	39dd0	গায়ত্রী কেবল তাঁরই স্তব
425eab0e68	7c272	আমাদের এ আয়োজন
425eb21a55	7297e	শুয়ে ঘুমিয়ে পড়ে
425ede8a6b	4164f	ঘূর্ণিঝড়ের বিপদ সংকেত
425f24e3bc	12702	প্রথম মঞ্চে ওঠা
425f4d0d68	d9ba9	ফাজিল টাইপের
42602438c7	29d44	ওসি আশিকুর রহমান বলেন
4260373d85	8845d	বৈধ কাগজ হাজির করতে
42604958dc	2ecf8	ভেতরে বসল
4260721b9b	3fae0	সেগুলো সম্পাদনে
4260af0c8f	4a918	ইদি আমিন ছিলেন
4260b6ad83	1cb75	বাজেটে কৃষিখাতে
4260d9440e	73629	স্পিকার, পররাষ্ট্রমন্ত্রী, বাণিজ্যমন্ত্রী,
4260df8d1b	195f7	তিনি দিতে পারবেন কি না
4260f35d6d	b08d0	ভিক্ষা করিলেই হইল
4261430b2a	32c77	একটার পর একটা প্রতিরোধ
42614a5738	ce180	কেশ
42617a650c	5dec6	তুলইগাছা সীমান্তের
4261ab2d8a	717bb	জেনারেল নলেজ
4262a0c338	ced74	জেনে-শুনে চোখ দিয়ে
4262a5923b	4fd66	ধর্মমত ও উপধর্মমত
42631cd9a8	282d3	জনপ্রিয় অভিনেত্রী টাবু
42634f5fb2	d136b	রিলেশন হলো
426408dd2a	0b7ca	আর তা কতটাই বা বাস্তবসম্মত
4264730b5c	9d46f	পরীক্ষা শুরু করেছে
42649fe33b	ca831	কোন রূপের বর্ণনা
42657ff1aa	4a918	৩ আগস্ট দুপুর ১২টায়
4265900205	dafb6	গায়ক হিসেবে
4265f5032a	9282d	রাজু
426654662b	11de3	নিরাপদে পণ্য পাঠাতে
4266a12142	a1201	কাজ হয় নাই
4267483761	9092b	অজাত যেখানে
4267562bd4	e3f89	বাংলাদেশ থেকে আসা
4267992504	ea5be	আশা
4267a45bed	7f71c	পুলিশ সদস্যদের
42684663c2	5d80e	হাতে ধরা গ্যাস বেলুনটি
4268659423	c749e	চাপ অনুভব করতো না
4268659779	b08d0	অক্ষ বলে
4268e52b27	9fa90	গ্রেড ফোরে আক্রান্ত হওয়া
42693b69bf	6fb36	ব্যাহত হচ্ছে
426959f7ec	0edef	অর্থমন্ত্রণালয়কে জানিয়েছে
4269687085	7d3e1	১৯২১-এ ভারত সরকার
42699d93ee	730c3	বা প্রাণঘাতী অস্ত্র
426a25e75f	e9589	আদর্শ নারী
426a960a17	80505	বিশেষভাবে, অরৈখিক ব্যবস্থাগুলিতে
426ad86d41	85430	এবারের ঘটনাটি
426af15599	0895a	তল্লাশি বন্ধ থাকলেও
426b3bfb49	0edef	আমি কিন্তু চাকরিতে
426b661ed9	82926	যাত্রাবাড়ি থানায়
426b90248c	3faff	প্রতারণার শিকার
426b962b93	d711f	আসলে তারা
426bf26908	e3d8b	সিংহাসনচ্যুত করলে
426c5e6fe0	315e9	একটা মুগুরবিশেষ
426c702a68	ff1c3	কচুয়া থানার ওসি
426cff721e	6a35e	প্রতিনিয়ত বেতন কাঠামো সহ অনেকক্ষেত্রে
426d4d3541	745b7	তাঁহারা নির্দেশ করেন
426d733c91	80505	একটু জল খেতে পেলে হত
426d8c2ea1	f4ba7	জীবনযাপনের কোনো মুহূর্তেই
426df6a19d	1652d	যতদিন মুসলমান রাজাদের হাতে ছিল
426e098f85	b52ab	সমস্ত থাকবে ভারতীয়দের হাতে
426e1c4d64	b00ba	সকল রকমের
426e625ef4	3c897	আমরা বলিব
426e695df5	fb4cb	আর একদিকে যারা
426f09b9b4	430b2	মনিটরিং ব্যবস্থা নেই বলেই
42700800bc	b8ed8	ওই এলাকার আরও বেশকিছু
42703c9a0c	870e3	এত তাড়াতাড়ি
4270da1203	c8f7f	যেখানে মানুষ বিনোদনের সাথে
4271e291de	92bd8	পাকিস্তানি বাহিনী
4272c170ae	6e6fa	একমাত্র বাধা নন
4272c95d55	6da0a	রাশিয়ার সেনারা
4273c738a7	2de86	কিছুই ভুলত না
4274bb9e8c	d82d9	বাংলাদেশের টাঙ্গাইল জেলায়
42755f020e	38d3a	তবে এ বিষয়ে বিকেল চারটায়
42758c3292	ff1eb	অভিশপ্ত নাইট
4275b35940	60b9d	বাংলাদেশ সংলাপ
42764bde00	5e80b	টানা ষষ্ঠ জয়ে
42765ac78d	3bea8	অগ্নি ৩ নিজস্ব রেঞ্জ শ্রেণীতে
4276b49d22	29089	এই সার্ভিস ক্যাম্পগুলো
4276bd8511	31f2a	প্রথম পর্বে
4276cf1969	fcefa	বুড়িগঙ্গা থেকে শীতলক্ষ্যা হয়ে
42776c887a	aab0f	প্রেম হতে পারে না
42777b7c2a	58998	পেঁয়াজ, রসুন দিয়ে
427784a87d	b8ed8	ভাসিয়া যাইতে লাগিল
4277b2b601	967fd	টাটা
4277d20aca	698a4	ক্ষান্ত হন নাই
4278e0d2d5	c2082	একটি চুক্তি স্বাক্ষর করেছে
427901649d	6dff5	বেশ কয়েকটি ঘটনা
4279748c23	a699c	চ্যাপটা-চ্যাপটা সাতখানি
4279c4a03f	c9c19	মহারাজা
427a218590	3fae0	বিকেলে বাচ্চা ছেলেরা
427a441d0e	c7705	চিংড়িমাছ ১০-১৫টি
427ac55f8f	09f0d	৬০০ রোগীর ওপর
427b206232	09f0d	জপ করিতে বসিলেন
427b66e402	11de3	জিজ্ঞাসাবাদ করা হয়
427b7f0508	491a5	আন্দোলনকারীরা দাবি জানাচ্ছেন
427bc27acc	ad98d	যাঁদের বোঝায়
427bd6e349	e6e48	৪৫তম মিনিটে
427bf86fcb	ea8fa	তিনি মঙ্গলগ্রহে যাবেনই যাবেন
427c6fae66	943de	এদের মধ্যে বিভিন্ন বয়স
427d0b023f	287bd	ধর্ষণ নারীর
427d1c96f3	e6e48	ক্ষমতায় এলেও
427d1f12ce	7898e	মেম আজকে কোনো
427d55dc5f	fdcba	এক হ্যাকার
427d8b41ea	cb627	ওহিদুর রহমান গোপালগঞ্জশহরের বেদগ্রামের বজলার রহমানের ছেলে।
427e0eceb6	355c1	২০ সদস্যের একটি প্রতিনিধি দলের
427e329ab8	3d17c	গোবর ভরে দিয়েছে
427e4954c8	43fc0	গাড়িটা গড়াতে গড়াতে
427eb758ae	6b437	যেখানে যুক্তরাষ্ট্রে কালোবাজারে
427fc23706	83c53	ভারপ্রাপ্ত কর্মকর্তা জানিয়েছেন
427fc67da7	bd576	কটাক্ষ বা ছোট করে না দেখে
427ff14581	9642e	দলে ভিড়ে
42803d9fef	0a7a0	রাধা বলিতেছেন
428094cb83	ced74	বাংলাদেশ সীমান্তে আসছে
4280a93720	b08d0	ফ্রী গেম ডাউনলোড
4280d10b30	b8bdd	আটলান্টিক মহাসাগরে
4280fa722b	7027a	থানার দারোগা
4280fe33c9	57d54	অভিযোগ আছে
4281385812	590d0	মেয়ের কথা শুনে
42813eab2f	6ee5f	মা ছবি পেলে
4281511177	e6d83	শুরু করেন গান্ধীজি
428185d2e5	5dd61	ভূমিকা রাখতে পারতো
428198137e	ff970	আর ঠেকায় কে
4281c45f69	7f2ef	এ বিষয়ক একটি সংশোধনী প্রস্তাব
4281e36b74	932bb	রিমেকের উদ্যোগ নিয়েছেন সম্রাট
42821443e3	09f0d	পরিস্ফুট করিব বলিয়া আমরা
42821dceb5	e03fc	জাভা মোবাইল সফটওয়ার
4282cb843b	321b6	দীর্ঘ ১৩ বছর ধরে
4282f24bce	7f71c	দ্বিতীয় তলায়
42832bbb52	616ec	এক বাংলাদেশিকে
4283365156	d82d9	গুঁড়ামরিচ ১ চা-চামচ
4283415536	0c39f	তবে মি. আলীমের আইনজীবী
42837bfe33	e754e	এখন অনেকেই সরিষা চাষে
4283b4eac1	cc9fd	অন্ধকারে এত বেড়াইলে
4283c1fe5b	7e1d5	পদধূলি ক্লাবটিরে ঠেলে তুলি
4283ed1062	e43d4	মার্কিন যুক্তরাষ্ট্রের সাথে
42840d089a	7b103	তাঁর চেয়ে বেশি পশতুন
4284306976	c7705	এ উদ্যোগের ফলে
4284516833	256f5	ভাইস চেয়ারম্যান পদে
4284558c3c	22096	এ অ্যালবামে অনেকেরই
42848d4333	e31e7	তার দায়ভার
4284d7176e	efc0d	২০০৮-এর
4284e43edb	e2f12	বাঙালি অভিনেতা
4284f82be3	c11b1	মালদা, বীরভূম, বর্ধমান
42853f7df1	4bede	পরিবারভুক্ত ছিল
42858fad53	2ecf8	তত্ত্বাবধায়ক অপরিহার্য
4285b88bda	ff1eb	এই নির্বাচন পরিচালনা করে
428602032f	2fc12	ইতিহাসের এই দিনে
42862323d1	11bd2	ভয়াবহ সাজসজ্জা
42863e61e4	15a75	যুক্তরাষ্ট্র একদল বিশেষজ্ঞকে
4286b1e5b0	75626	যে কষ্ট পেয়েছে
4286c70573	1a4a9	কৃষ্ণ তাঁহাকে এই কদর্য আচরণে
4286eca7a3	bf530	সংসার
428722c732	d2355	ঢাকায় চরম ব্যর্থতার পর
428770ea04	2fe3c	নিরাপদ কোথাও সরে যাওয়া
428783f579	b618b	কুম্ভরাশি
42883649c0	6b437	তপন চক্রবর্তী বলেন
42884c6dd4	44322	বাসায় গেলাম
