96000ae98d	11915	চেষ্টা করছি আমরা
961d8b79e7	24f73	সেই ঢেউ পৌঁছবার
961d8e2cbf	eaa7a	তাদের শক্তি দেখানোর
961d9ad91b	3bea8	কোকো পাউডার ২ টেবিল-চামচ
961e22cbad	91230	পুলিশ সদস্যের মধ্যে
961e26547c	06ea3	কাঠাল গাছ
961e38130a	25117	গত ২৪ ঘন্টায়
961e57ab74	0d9f1	কিন্তু খুব একটা
961eee48d5	75936	গান দিয়াই আমরা আল্লারে ডাকি
961f4689e0	43199	শিয়ালডাঙ্গা এলাকায়
961f594e53	92bd8	নারী তার শরীর সাজাবে
961f599b3d	8c120	তার সরু আল অবধি
961fbcdba9	56508	মঙ্গলবার দুপুরে
961ff107c3	a46e2	পানি থেকে চলে যাবে
9620b2c25c	58998	বিমান ঘাঁটি ছেড়ে
9620c9c1c6	b00ba	বিকেএসপিতে সুযোগ মিলেছিল
9620f719ab	db735	মুখ থেকে ফকফক করে
96213ac28b	9d46f	হয়তো তাদের
9621b5cb46	95907	সকলে এই কথা মনে করিয়া
9621dac376	25696	হত্যার জন্য
9621e03d82	0d4cb	সম্মানের জন্য বড় বেশী রকম
962204bc6c	ee4ad	বাংলার তৃণমূল মানুষের সংগ্রাম
96223af4bb	ef915	সুষ্ঠুভাবে সম্পন্ন করা যায়নি
96223fdd33	f29bf	যেতে হবে কেরানীগঞ্জের ইকুরিয়ায়
962243ae7d	b8ed8	অপারেটিং সিস্টেমের
962246c046	6d129	অনেকের সঙ্গেকথা বলেছেন
962292e557	d9081	মূলত জাপানী কার্টুন
9623615e27	870e3	হুমায়ূন আহমেদের
962388686f	43199	চতুর্থ তলায় ফরেনসিক বিভাগে
96239ef97a	7027a	দেখানো না যায়
9624df0671	4f2ae	কিন্তু পরিণামে
9625030162	49543	উপস্থিত শিক্ষার্থী ও শিক্ষকদের অনেকে
96252c962c	58998	অর্জনের জন্য সংগ্রাম করেছি
96253ea163	e03ce	অবস্থানকারীদের সরে পড়ার জন্য
9625b5bde5	7d133	এমপি ছিলেন
9626597f2d	2ad74	অর্জুন সিরিজের
96268c3f61	bf530	বন্দী করে
962728b08a	9fa90	কিন্তু গীতা এমনই দুরূহ গ্রন্থ
962729cc34	f2b7d	ভোগের জন্য
96277b56ff	a46e2	তিনি এখন মোট
9627990f2f	83c53	পাশাপাশি সরকারও
9627bf0d15	cb1aa	বাংলাদেশের সবচেয়ে সফল বোলার সাকিব
962829e901	410fa	সে একজন মাদকাসক্ত
962854a9f4	1652d	সাংবাদিক রিয়াজউদ্দিন আহমেদ
962855a77d	b5fdc	রূপে কথিত
962864f79d	f0f95	৪ টি বিভাগ রয়েছে
96286e45e9	6e8cb	রূপা ঝা-র প্রতিবেদন
9628a8d453	29d44	জিডিপিতে ক্ষতির পরিমাণ
9628c03a58	ce180	উপেক্ষা করতে না পারায়
9628c94a92	8b859	বহু উঁচুতে অবস্থিত
9628eb4c0b	c0d65	মাইক্রোসফটের অংশীদারে ওয়াটার হ্যাকাথন
9629482616	351dd	অন্ধকারেই সে
96294a09f6	0a87a	সত্যে অধিষ্ঠাতা উপন্যাসে
962972db35	2bd99	কিন্তু এটা মনে হয় জানে না
96299a75cd	35ef3	ততক্ষণ গুলি করতে
9629bbdc83	d0c70	ফিলিস্তিনি নেতা
9629df3a9d	7e1d5	ফাঁকি দিয়ে আমাদের সবাইকে
962a50f66e	086dd	এই পরিবেশ
962a621653	903fa	ব্যবসা-বাণিজ্য
962af3c86d	ce629	এখন যা জরুরি
962b06cd70	efc0d	তামিম ভাই থাকায়
962b12c15a	93bf3	আমার একটা নির্দিষ্ট বেতন ছিল
962b435db4	83c53	দিনের পর দিন বাড়ছে
962b59f56b	cfc65	ভালোবেসে কেউ
962b9de749	d9b11	স্থানীয়ভাবে পুঁজি সংগ্রহ করে
962c2c8b4e	a7c6f	কল্পনা করা হয়
962c7ef713	03284	শহরে ঢুকে
962d1dcdb1	29d44	বহু মানুষ আহত হন
962d386d7c	7df87	ট্যাঙ্ক, কামান, রকেট
962d95c53e	66b3c	নায়ক-নায়িকার প্রভাব থেকে
962d9d6184	39293	তাহলে তারা কিছু
962dae580a	f600a	মোহন কোনো উত্তর করল না
962de26f0e	e754e	প্রকারন্তরে যা হয়ে উঠেছে
962e00d054	16a17	আমি একা দাঁড়িয়ে থাকি
962e2d504b	d8c80	শুধু চুলের খুশকি দূর হবে না
962eb665b7	1279e	বোমা ফেলেছিল
962f1f22b7	a1201	১১৫ রানের সৌজন্যে
9630220930	35ef3	বাঘটি বেশ কয়েক বছর
96303b5b95	ad050	এসবের পাশাপাশি
96304d6190	6b437	প্রধান অবসেশনগুলোর একটা
96305c7d4d	f2097	২-০ গোলে হেরে যাওয়ায়
96308f35aa	282d3	জনসংখ্যা
9630b6fb4b	dae88	বেমালুম পাল্টে গেল
9630c11633	e6d83	এ বছর অস্কার পেয়েছেন
9630cefab8	6c6bf	কোন মনুষ্য কি তাঁহাদের
9630df4daf	b08d0	তারা ঢালু রাস্তা দিয়ে
96314684ce	39dd0	খেলার আপডেট
963163416c	ad69a	মহিউদ্দিন খান আলমগীর
9631694063	321b6	ঘুরে বেড়াতাম
9632d3eda8	0b7ca	এই দিবসটির
9633e5fc51	745b7	ওইদিন রোববার ছিল
96341dccc5	37d7e	ইত্যাদি শিল্পে
96342029aa	75f18	তবে একটা অনুরোধ
9634630eb9	72649	গাজীপুরের নতুন ভোটার
9634e71fae	9b864	কিন্তু শারীরিক নিগ্রহ
9634fd937f	2ac82	সম্রাটের অনুমতি পেলে
96350a053f	d2faf	স্টলে দাঁড়িয়ে আছি
96351babd9	f2b7d	তা ছাড়া ওই বিশ্ববিদ্যালয়ের
9635707e83	a916a	সেরকম ছবি আমি দেখি
9635b13b86	17dcd	বল তৈরি করতে হবে
96364fdd70	7c272	আগুন জ্বলবে
96369060ae	b9b98	সুপারের ওপর ক্ষিপ্ত হয়
963738dca5	b78ec	প্রশ্ন তুলেছে
96376a92f0	65652	আল-সিসি তার দায়িত্ব পালনে
9637ab64a3	d5f7b	বিধবা স্ত্রী
96380983c1	ee7b2	মেয়েদের অন্তর্ভূক্ত করা ছিল
96380c9381	d2faf	তিনি ক্যাম্পাসে
96382b9ffd	0edef	প্রকাশ করে ভিন্ন ভাষায়
963889a2c9	6aac8	৯৫ রানের আক্ষেপভরা ইনিংসে
9638a1b846	92f59	বিয়েতে রাজী আছেন
9639044fdb	7ed14	এই দিন তারা
96392fbdcb	39293	সংশোধিত আইন
963abfc17a	d8c80	শনিবার রাত দুইটার দিকে
963acf5bc8	c5dc8	সব ধরনের ফটো
963b0f3d7d	ea5be	নির্বাচনকালীন নির্দলীয় সরকার পদ্ধতি
963b3157f5	b00ba	পড়তে হয়েছে নানা বিড়ম্বনায়
963bf553e7	6c17f	এ সেবা চালু করবে তারা
963c315b98	e2f12	রংপুর জেলা
963cc8fe27	a1201	১৯ দিন শেষে
963d087060	d2faf	শিলাব্রত বুঁদ হয়ে বসেছিল
963df02897	430b2	তাকে ভারত সরকারের কাছে
963e03736b	b9122	সরবরাহকারী প্রতিষ্ঠান থেকে
963eabfba4	e00db	যুক্তি তুলে ধরতে গিয়েই
963f3a6353	4237e	রেল যোগাযোগ বন্ধ হয়ে গিয়েছিল
963f72186f	6ab59	ময়দা দেওয়ার দরকার নেই
963fc87029	778c0	সময়ের ব্যাপার হবে মাত্র
963fe3c240	1b359	সমাবেশে আসা
9640181c81	7d133	চাঁদরাতে নোয়াখালীতে যাবার জন্যে
9640cce410	61820	এড়িয়ে না গিয়ে
9640df0992	13b70	ভূমিকা রাখতে পারতো
964162593e	a7c6f	মহেশপুর এলাকার
9641a72328	23291	অনেক প্রাচীন সভ্যতা
9641e44da7	6ee5f	সংসদে গিয়ে
9642506799	93bf3	সেই টাকা ডাকাতি করতেই
964262330d	3fae0	চেক পোস্ট দিয়ে যাত্রী পারাপার
9642d48406	10a9f	সম্প্রতি বেশ কিছু এলাকার
9642ed4c16	3bb15	আলোটা না নিভিয়ে দিলে
96430031ae	1652d	তিনি সর্বশেষ নবী
964300f963	b8bba	গির্জার সদস্য
964328d320	09b32	উঁকি দিয়ে
96432998e2	d5f7b	তখন বিডিআর বিদ্রোহ সংক্রান্ত
964367cc8c	c11b1	সীমান্তে আরও
964421f2bc	3ec4d	শুরু হয় ২০১০ সালে
96442db45f	b7be9	প্রকাশনার সংখ্যা
9644c88a53	cb627	আড়িয়াবো এলাকার ওই কারখানায়
9644d9192f	b8ed8	ভালো ও নিরাপদ মনে করছেন
964507b1fb	d2d71	সৃষ্টির মাধ্যমে
9646f2a383	c2082	যৌথবাহিনীর সংঘর্ষের সময়
964736c9bb	153c9	সারকুলার রোড
96479684a7	256f5	শুধু উড়োজাহাজ সঙ্কটই দায়ী নয়
9647c4d106	121bd	এস্থলে সাধু অর্থে
9647f9fd84	903fa	স্বদেশী প্রতিপক্ষ কোকো ভ্যানডেয়েজেকে
96485c240f	351dd	জন্ম ৪ জানুয়ারি, ১৬৪৩
9648db029a	536d9	ভালো ক্রিকেট খেলতে পারছে না
9649325dcc	2fe3c	ঘোষণা দেয়া হয়
9649d52003	4dd57	গিয়ে উপস্থিত হলাম
9649fe990a	ce180	পেট ও হাতে
964a2a72a7	d1a48	মেমেসাইলন আমবেলাটাম
964a2ac3cf	82926	জানা যাচ্ছে
964a729108	256f5	বোমা তৈরির সময়
964b5ea08d	79b06	এর কারণটা অর্থনৈতিক
964b81aa70	903fa	পালনের সিদ্ধান্ত নেয়
964bf9553b	07660	কেম্ব্রিজ বিশ্ববিদ্যালয়ের
964bfa76c5	2bd99	কানাডার বিশিষ্ট ছোটগল্প লেখিকা
964c00da06	2909b	সুনন্দা পুষ্কর তরুর
964c1b9d86	ee852	একটা সিনেমাটিক
964c3321eb	7351e	শাহরুখ খান সাংবাদিকদেরকে
964c3c6874	f83df	সখের গোয়েন্দা
964d141ac1	a06a1	গাড়ির জানালায়
964d89ba56	72649	হাবসবুর্গ রাজাদের
964d8be389	7d3e1	জাফর ইকবাল
964da23fda	3fae0	অমর্ত্য সেন,
964dc0cf35	e68af	ইভেন্ট পার্টনার অ্যারাইভাল
964dc34807	c7705	খ্যাঁক খ্যাঁক করে উঠলেন না
964dc97777	4a67e	প্রথম গবেষণামূলক লেখা নৃতত্ত্ব নিয়ে
964dd24a6b	d3e06	মূল
964e2a51f0	b9122	ভৈরব থেকে ১৯৭৩, ১৯৮৬, ১৯৯৬, ২০০১, ২০০৮ সালে জাতীয় সংসদ সদস্য নির্বাচিত হন জিল্লুর রহমান।
964e428033	acb88	দুয়া কুনুত
964f5a3bd8	0c39f	নৌ-নিরাপত্তা সপ্তাহ
964fb07e67	ce629	শেষ দিন সোমবার
964fc97836	baa02	বদনাম করতে
964fd97319	adf01	বিষ্ণু বরাহরূপ ধারণ করেন নাই
964fe3dd30	e2ff7	আর বাম হাতও
964fef5aab	dafb6	পরামার্শ দেন
964ff2fdde	8c07c	এরূপ কাণ্ড ঘটল শহরে
965027594d	ca831	জিম্বাবুয়ে সফরের দলে
96502bf71c	0e637	চোয়াল শক্ত
96505da7c9	d136b	বর্তমানে স্বামী বিবেকানন্দের
96509e13b8	ff1eb	যুক্তরাষ্ট্র সংঘাত চায় না
9650b55343	b9a81	প্রধান নির্বাচক ফারুক আহমেদ
96516548c7	d2294	ইয়া মোটা
9651b431e3	69449	দুই পক্ষের সেনাদের মধ্যে
9651f25367	93d3b	শুধু বটগাছ বললে
965210e926	2b883	নেতিবাচক কথা
96524cd181	f143a	স্থানীয় নির্বাচনেও
9652946025	d9817	হয় হয় প্রায় ভোর
96531aa7b2	31f2a	নির্বাক হয়ে গেছেন বাবা
96533ba8e2	4237e	স্টাইল
9654487f96	5354e	আলোচনা করতাম
96553ea290	69d9a	সিথানের কাছটাতে
965545577b	ee852	তল্লাশির জন্য
9655500f03	f2780	রপ্তানির আদেশ হারাচ্ছে আরেকটি গুরুত্বপূর্ণ খাত, চামড়া শিল্প।
96556dea8b	b4ea7	বসুন্ধরা সিটি শপিং মলের
9655aa22ab	2ac82	সড়কে জড়ো হয়ে
9656bfb378	e2c11	ইলিয়াস আলীর
9657616233	2695f	সহযোগিতা করবে
9657702e16	c7a89	অনন্ত মহাবিশ্বের
9657769592	fbb81	প্রথম হয়েছেন শিরিন আক্তার
9658471c44	bbb22	রচিত একটি ছোটোগল্প
96585a90e1	089ef	আর সারা বিশ্বে
9658affeb0	2bc73	মড়াটাকে দেখিয়া
9658c4e46c	80518	এবং তখনই
965918a37f	2ac82	এরকম অভিযোগ
9659c4fdaf	2f547	এই দু'জন
9659c9137a	121bd	সারাদেশে হরতাল ডেকেছে
965a4712a4	0a87a	বর্জন করিয়াই
965ac9404b	355c1	অ্যালেন নেওয়েল
965aca4fab	ef4f8	নাটোর-রাজশাহী মহাসড়কের ওপর
965b0b3b48	e6203	দেওয়াটাই হবে মূল উদ্দেশ্য
965b30e3a1	9e923	সাক্ষী দিতে হলে
965bb9f269	e55de	উভয়েই পরস্পরের বিরুদ্ধে
965bdfe930	c3cca	নৈতিকতা থাকা দরকার
965bffd133	7c272	একটু আগেই ছিলে
965c02f76d	92bd8	শূন্যতা নিয়ে
965c2ecdff	7d3e1	এমন সংগঠনগুলোর প্রভাব রয়েছে
965c49308b	536d9	ভার্নালাইজেশন পদ্ধতির ফলে
965c4c1843	59c73	বন্ধুত্ব হতে পারে
965c7adc80	95f83	একটি উদ্ধারকারি জাহাজ প্রত্যয়
965d4b9904	b8bdd	দৈনিক পূর্বদেশ
965dd3d636	7e1d5	শ্রেণিকৃত ঋণের হার
965e4ce2cd	c0965	দেবতা এক জন আছেন
965e5e2f3a	85430	সূত্র মতে এরপর
965e93af65	86b1b	সেটটি মোট ছয় রঙে পাওয়া যাবে।
965ebd44b4	e9589	তাতে শাসকদল এবং বিরোধীদল
965ed981ac	6ee5f	জোর প্রচারণা চালিয়েছেন তারা
965ef32b73	ff970	বিকল্প বিষয়বস্তু
966057a2f3	880ae	আমার প্রথম দেখা
966076623b	39dd0	অর্থনীতির বিভিন্ন সূচকে
9660910ead	3d17c	সরাসরি সরি বলতে
9660b7d498	91b16	পুলিশের এক কর্মকর্তা জানান
9660daa2db	321b6	আমার কাপড়
966114e17e	d9817	মধুর উপকারিতা
966119cf6b	3ec4d	তবে আটক নিজামত জানান
96614d5b6d	ee4ad	জানা যায়
9662548614	24f73	যথেচ্ছভাবে ব্যবহৃত
96626c0ee0	c173f	তা নিয়ে বিতর্ক
9662c6bb8e	24aed	আসামীদের সবাই ঢাকার জগন্নাথ বিশ্ববিদ্যালয়ের শিক্ষার্থী।
9662c908b1	520fb	বিপিএলে ম্যাচ ফিক্সিং য়ে
9663352c91	83c53	চকবাজারে যেসব ইফতারের
9663764c79	d5f7b	তাঁর কাছে গেলে
966393a69e	ad69a	চুলে পাকন, ঠিক মেলে না
9663b848cf	0b7ca	প্রথম তিনটি ম্যাচ জিতলে
9663ca0a41	cb627	অস্বাভাবিক মনে হয়েছে
9663cf7be4	c6848	ফলে এই তাবুতে এখন
96643d55fa	6ee5f	সেসময়ের ঘটনাপ্রবাহ
96649fc1c3	f1240	শুরু করলে
9664ca67d2	56508	পাখা ঘুরবে
9664d756ad	d9b11	বাবুল জানিয়েছেন
96653c9de0	ced74	পাঞ্জাবি পরে
966547c787	6fb36	সিআরপির দেয়া ৭০ হাজার টাকায়
966551cc8b	239f7	কিছু পরিচয় দেওয়াই হইয়াছে
96656d5b61	11bd2	শহীদ প্রেসিডেন্ট জিয়াউর রহমান
96659cd73d	086dd	১৩ কিলোমিটার দূরের এক হাসপাতালে
9667882533	ca831	সোমবার উত্তর প্রদেশজুড়ে
9667bd7c9d	65e30	যুগ্ম-সম্পাদক ছিলেন
96683606fd	d5f7b	২০বার কিউবগুলো নাড়াতে হয়
966842e85d	ff1c3	জনসংখ্যা: ১৮ কোটিরও বেশি
966860c5c6	698ff	টক বা মিষ্টি জাতীয় খাবার
9668b9fe3b	e6752	পেন্টি ও ব্রা পরিহিত
9668dfcc03	2840e	দিল্লিতে রাজনৈতিক বিশ্লেষক
966910d4aa	9f25e	ভারতীয় দুর্যোগ নিয়ন্ত্রণ কর্মকর্তারা
9669e1df42	7027a	এ কথা শুনলে
9669f21dc5	49543	আমরা ক্লান্ত হইনি
966a1f5413	af81d	অব্যাহত লড়াইয়ে প্রায়
966a3e1fc4	e43d4	একটি পথপরিক্রমা অবশ্য আছে
966abfdc5c	91ac1	রিভিউ করার সুযোগ আছে
966ad8b8a7	ef915	বাংলাদেশ থেকে ব্যবসা বাগাতে
966af7d181	9092b	রোববার ফটিকছড়ি-খাগড়াছড়ি সড়কে
966be5f5bc	8c120	পরবর্তী কালে
966c2f0801	91b16	একটা কাকতালীয় ব্যাপার হিসেবে
966c57941c	8cf95	রাত ফুরায় না
966cd59ab1	388c9	তাকে আসামি করা হয়
966d3b348a	7ee9b	ঢাকা-উত্তরাঞ্চল রুটে
966d44b584	3fae0	জানুয়ারির প্রথম সপ্তাহে
966d92f786	c6848	সরকার আন্তরিক হলে
966ea2f204	14d25	আমার সঙ্গে সাবেক ক্রিকেটার
966eeeb5a6	cc18a	সংযোজন হয়েছে
966f487689	47e8d	তোমার গ্র্যান্ডপা মারা গেছেন
966f64a1f7	121bd	গাছের শিকড়ের মতো চিত্রল হয়ে
966fc75781	0d8c1	ডি.এইচ.ফ্রিস্টন — যিনি হোমসকে
966ffa921f	da6f0	প্রতি বিদ্যাসাগরের
9670c1b99e	33aef	কোম্পানি বাজার থেকে
96713f6132	bfac7	ঝুঁকিপূর্ণ ভবনে অবস্থিত না
967141915d	ff1eb	অভিযোগ নাকচ করে দিয়েছেন
9672a5f435	e7230	শুক্রবার কায়রোসহ দেশটির বিভিন্ন স্থানে মোরসির সমর্থক ও বিরোধীদের সাথে নিরাপত্তা বাহিনীর ব্যাপক সংঘর্ষ হয়।
9673a9204b	da6f0	ইংল্যান্ডে লেখাপড়ার উদ্দেশ্যে
9674079c1f	e3d8b	সেন্টমার্টিনে বহুতল ভবন গড়ার
9674a7872a	9642e	পা
9675277d81	1b359	১৮ দলের নেতারা
96753c1d5a	91b16	সাংবাদিক ও দর্শনার্থীদের
96757a7222	430b2	অপরদল গ্রেফতার করলে
9675937871	64092	অস্বীকার করে আসছেন
9676697323	7aed9	তিনটি বিমান দুর্ঘটনার
9676d2ce4b	8845d	আমার ছেলে আর্থার
9677ac4176	5354e	২ মিনিট অপেক্ষা করে
9677ad7b94	52578	তাজউদ্দিন আহমেদের স্ত্রী
9677c8850d	d71a3	আবার নির্বাচন করার জন্য
96784b208c	f280a	আজকের খেলা
967885adf7	cd3ac	আলোচনা হবার কথা রয়েছে
9678a6fcb3	18a52	প্রশ্নে দেখা যায়
9678b93e8e	3bea8	এই রিপোর্ট প্রত্যাহার করে নেয়ার
9678db90fa	430b2	মোট লড়াইয়ে
96793c9ae6	c6848	সম্পাদক হিসাবে
967951ccc9	d71a3	দলে জায়গা না পাওয়া
967a7d3b5c	bcaa8	অ্যাকোর্ড ও অ্যালায়েন্স একমত হয়েছে
967afdbc0a	194f5	ভাসমান আনন্দ দেওয়ার জন্যই
967b294d9f	13b70	মওদুদী
967b7453c0	b9122	আর কেউ ভাবুক বা না ভাবুক
967b88cf46	dba43	মুঘল স্থাপত্যশৈলীর
967be13fe6	cb627	এখানে এসে শঙ্কর
967c30a828	7e1d5	শেল্টার নিয়েছেন মা
967c623544	ac904	স্টাডি করল রানা
967ca9712b	ac904	খবর দেয় স্থানীয়রা
967cc4db19	0edef	সে লজ্জিত
967d06bbaf	d1a48	সে উদ্দেশ্য সফল হবে
967d376c07	52f27	অ্যালার্জির উপশম
967d3c74e0	b9b98	আমেরিকার জনগণের কাছে
967d8cd088	76329	মহারাজ ঐ যে লোকটা
967de11e6e	cb842	রাজ জানান
967ea85c3d	880ae	তালা ভেঙে
967ec22be5	2d78f	বাউল
967f61db86	7b132	এই বাসনা ছিল
967fdacfb3	0696e	পরের কথা বললো
9680512189	fdcba	কিংবা কোনো খোঁজ নেই
9680a70ce4	91dff	সংস্থার তরফে
96810d8e69	91223	অকালপ্রয়াত তারেক
968158e224	943de	চাচ
9681b0a25b	91223	আব্দুল জলিল ১৯৪১ সালের ২১ জানুয়ারি নওগাঁয় জন্ম গ্রহণ করেন।
9682259065	7b103	কিছু অংশের ওপর থেকে
9682de9d2c	cf82a	উদ্দেশ্য আছে
9682f3eb9f	43199	পুলিশের বিশেষ বাহিনী
968320104d	e9fa7	১৯২৪ সালের ডিসেম্বর মাসে
96834fb0e4	91b16	পটভুমি তৈরি হয়েছে
96837cec7e	75f18	ঘুমিয়ে পড়ল
9683d16ba2	5dec6	সুস্থ মানুষ মনে হয়নি
9683d464ed	32998	পুরনো শাসনামল
96845ccf43	84145	বৃহত্তর রাজশাহী, দিনাজপুর, রংপুর
96851d0f64	d8c80	রাসনৃত্যে মেতেছিলেন শ্রীকৃষ্ণ
9685802729	05901	মানবতাবিরোধী অপরাধের
96864a4057	c463d	অসুস্থ এবং নিরাপত্তার অভাবের
9686613345	cb842	তাগড়া ছেলের পরনে
96867636d6	2396d	সবাইকে শাড়ি পরতে হবে
96868153cb	9b864	মস্ত রাজদরবার
968684f86e	c5479	খ্রিস্টপূর্ব ২০০০ অব্দে
96878ac6a1	e3f89	তার পরিবারের অভিযোগ
96879a4890	f0f95	এই ক্যাম্পগুলোতে
