ef0163c146	92bd8	সোনারং জোড়া
ef3815fc4b	37d7e	২০১২-১৩ সালে
ef3822c352	aabe7	অশোকনগর, ভারতের
ef38682874	b9a81	ভুটান এবং আসিয়ান জোটের
ef38f93c24	4fbd1	মানুষ মরণশীল
ef391a1299	16877	মো. পিয়াস আহমেদ
ef39706fd5	b9b98	এ সংক্রান্ত আলাদা তিনটি প্রজ্ঞাপন
ef3a1f9d4f	943de	সেখানে ঢাকায় সফররত
ef3a4e4f68	c7a89	এই প্রতিবেদনে
ef3af3f219	351dd	স্বামীর বন্ধুটির সঙ্গে
ef3b2fc0a7	323f1	১৯৯৩ সালে অভিধানটির
ef3b65f52e	698a4	চেয়েছিলেন
ef3b9d6026	75626	নাইজেরিয়ার প্রেসিডেন্ট গুডলাক জোনাথন
ef3bbba01a	06736	সুগঠিত সেনাবাহিনী
ef3c07bb47	bd576	ভারতে সম্প্রতি
ef3c5701fb	d2294	প্রতিবেদক জানান
ef3c97cc4c	ff970	বিলের আশেপাশের ছয়টি গ্রাম
ef3ca4008a	f280a	ব্রিফ করা হবে
ef3ca5793b	a06a1	পরিবেশ আইনজীবী
ef3d0df32c	4e900	নিশ্চিতের দাবি জানান তিনি
ef3d1f5bdb	b2a62	একদম জলের মতোই পরিষ্কার
ef3e0dd96b	73629	ভোটারদের উপস্থিতি
ef3ecff4a4	61820	সিরাজগঞ্জ ও বগুড়া
ef3ee0456a	10a9f	ঢাকার গুরুত্বপূর্ণ সড়কগুলোতে
ef3f3f0ede	ac0df	স্বাস্থ্যমন্ত্রী বলেছেন
ef3fa32b80	6b437	একটি অলিম্পিক পার্ক
ef3faf0c0b	5354e	এই ভেগা প্রযুক্তি
ef4021f605	f6e55	আজও প্রাচীন সমাজপতিদের
ef403a8d66	0696e	একাই থাকতেন
ef40559048	06527	সবাই খুশি
ef40af482f	c7a89	বয়সের চিহ্নটিহ্ন এসে না হয়
ef40ef3582	7f71c	তখন কি দাঁড়াবে
ef412b4060	2c9c5	বিচারে বাধা সৃষ্টি করেন
ef41464352	5d12f	পীর সাহেব চরমোনাই
ef41835a7e	61820	সভাপর্বে আর তাঁহাকে
ef419b0ebb	c7a89	বিশেষ করে খুচরা আকারে
ef41ab85e7	4237e	ভোটগ্রহণের একটি চিত্র
ef420efcd2	d9817	বাদানুবাদে জড়িয়ে পড়েন
ef42990703	37d7e	বাবার চলে যাওয়া শব্দ পেয়ে
ef42d6e7ad	520fb	আমাকে স্বল্প সময়ের জন্য পেলেও
ef4335cfe4	7898e	কার্যক্রম পরিচালনা করতে পারেনি
ef439d2ab1	717bb	যা সরকার গুরুত্বের সঙ্গে
ef43f66f7a	e68af	সে ভাষণ স্তম্ভিত হয়ে
ef441c9872	f29bf	শ্রাবন্তী চট্টোপাধ্যায়
ef441d48ca	f9dfb	প্রতিরোধের আভাস থাকলেও
ef442b23ab	ec91c	বাংলা লেখা ফটো
ef4461fdae	0bace	এ পর্যন্ত মোট
ef44a5b8ad	75f18	গান গাইছেন
ef44c0d768	8b859	উপযোগী শিক্ষাব্যবস্থা
ef45334837	ca088	বেশ আগে
ef45dbbc39	b9a81	চাপ ও একি সাথে
ef462eed38	4f450	বাস্তব সংখ্যা
ef468bf53a	ee852	চেষ্টা করেছিল
ef46bc743a	39dd0	তিনটি ছবি নিয়ে
ef46ca5582	6ab59	দেশের মানুষের শান্তি
ef4758d612	880ae	আমার উদ্দেশ্য নহে
ef47b26f6d	03284	মি. পুতিন ক্রাইমিয়াকে রাশিয়ার অংশে পরিণত করার কাজটিকে দ্রুতগতিতে সম্পন্ন করতে চান।
ef47ddd41e	f1ff2	তার সংসার চলতো
ef47eeef48	e2c11	তা তো গত বইমেলাতেই দেখল
ef482bec09	29089	ওরা বন্ধুদের সঙ্গে
ef48494545	a1d4a	নিত্যদিনের চিত্র
ef48944b24	ec91c	স্বাধীনতার ৪২ বছর পর
ef49d50804	01e91	এর ভেতরে ও বাইরে
ef4a37bb3d	b2a62	অজ্ঞাত ছিল না
ef4a456453	ff1c3	ময়নাতদন্তের জন্য লাশটি
ef4a714fcd	5cb47	নিরাপদে পার করলে
ef4a8bc2c3	eecdd	১৪ থেকে ১৮
ef4ac6bbed	83c53	সংবিধানের পঞ্চদশ সংশোধনের ফলে
ef4b7cce3c	0744c	পোস্টকার্ড শিল্পী
ef4b8a24fc	7aed9	প্রথম প্রকাশিত কবিতা কোনটি
ef4ba047dc	61820	অনেক প্রকারে বোকার মত
ef4caffa6f	80e98	পাঞ্জাবী
ef4d0865ed	5d80e	পূজা বোস
ef4d13b636	5d12f	বের হয়ে গিয়ে
ef4d14927d	ea5be	মাঠা, পরোটা
ef4d14dcd0	948d3	পাহাড়ি কন্যা রুমি
ef4e07f74c	b9b98	স্কুইডও একই শ্রেণীর
ef4e2172cf	4c1eb	প্রাচীন মেসোপটেমিয়া ছিল
ef4efb07cb	79b06	নগদ অর্থে
ef4f1d81fa	91230	বাড়ি লুট অইল
ef4f706752	e2ba2	সেক্স, বিয়ে, এসব তো
ef4f7fce41	cf82a	অবস্থিত অক্সফোর্ড বিশ্ববিদ্যালয়
ef500f0ce8	82926	একটা চেষ্টা চলছে
ef50d2067d	1b359	যে পৃথিবীর কোনও বইমেলার সঙ্গে
ef51044cff	9f25e	পারস্পারিক আলোচনা করে
ef511eabab	6aac8	বসবাসকারী আরবরা
ef51c9ce63	33aef	এমনও নয়
ef52878353	321b6	মেয়েগুলো পাখির খাঁচাকে
ef52a30f81	d9ba9	প্রজাপীড়নের খবর ছেপে
ef52ef54b6	388c9	করজোড়ে প্রণাম করে
ef5377b862	acb88	মা উত্তরের বারান্দা থেকে
ef53ce6520	31f09	টানা ১৩ দিন
ef53e25b16	194f5	৮ দশমিক ৯৭ শতাংশ
ef54bdf36d	c0d65	হৈমন্তী
ef54f8b8af	6da0a	১৯৭২ সালে অঞ্চলটি
ef558ded33	6e8cb	যোগাযোগ করে
ef5594608e	1cb75	ধর্মীয় বিষয়াদি
ef55a7e144	84145	তারা তা ভুলতে পারেননি
ef56d947bd	6e6fa	মামলাটি
ef56fa657b	e2ba2	বিশিষ্ট লেখক
ef5725eb66	3fb17	বিজ্ঞ অ্যাটর্নি জেনারেলের মাধ্যমে
ef574998a8	d3e06	চূড়ান্ত করে ফেলেছে শহরতলী
ef5751b2eb	d1b12	এক বৈঠকে যোগ দিতে
ef575ac5a8	91b16	কবি একা জয়দেব গোস্বামী
ef576f35a4	aa820	সাধারণত বছরের এই সময়টায়
ef57fea6b1	29bab	অভিযান চালিয়ে
ef58251307	11915	আমার সৌভাগ্য হয়েছিল
ef585e6b66	49543	ওয়ার্কশপে অংশগ্রহণ করে
ef58d05063	698a4	দীর্ঘ রাত ছিল সেটা
ef58d38663	17dcd	১টি পেঁয়াজ
ef59a014d9	b9b98	ক্লাসমেটও ছিলেন
ef59ba9bbf	68ab7	একটু পরে
ef59c8a492	2d98b	ইমেজ
ef5a29b968	16e96	যুবককে ধারালো অস্ত্র দিয়ে
ef5a3296dc	b8ed8	উল্লেখ করেছেন
ef5a6b160e	60b9d	দর্শকরা কোনো মন্তব্য
ef5a818719	cfc65	এ ব্যাপারে জেলা প্রশাসক
ef5b420c9d	f600a	পল্টন থানার ভারপ্রাপ্ত কর্মকর্তা
ef5b88d3df	a3a6d	সবাই মূলত শেষদিকেই
ef5ba0e428	84145	১৯৫৬ সালে
ef5bdb0652	42898	আমেনার স্বামী সামছুদ্দিন
ef5c7fcd8f	2ecf8	দুর্নীতিবিরোধী আন্তর্জাতিক সংস্থা
ef5ccde831	33814	ভয় চলে যাবে
ef5cd43176	e6203	আমার জীবনে এসে প্রবেশ করলো
ef5d1243f6	e6e48	কোনো অভিযোগই প্রমাণ করতে
ef5d16492f	5639c	অনেকেই পছন্দ করেছেন
ef5d4685b9	0a87a	আদালতের সিন্ধান্ত
ef5d6eecd7	acb88	যুদ্ধাপরাধীদের বিচারের
ef5e458d1a	a3a6d	স্বতন্ত্র প্রার্থী হিসেবে
ef5eec6af3	2b883	বাকি রইল
ef5f31362e	7c272	কোন চলচ্চিত্রটা আসলে
ef5f710d87	bf530	এসব খিস্টানদের রটনা
ef5f7cf8cc	c463d	অভিনবগুপ্ত প্রবর্তিত
ef5fd3dcf6	3fc9d	পালিয়ে গিয়েছিলেন
ef60630286	ff0fe	এফডিসিকে কার্যকর করা
ef60ccc0d1	274ee	একটু স্পষ্ট করে নেওয়া ভালো
ef60e1f23d	09f0d	আবার সে বড়লোক হওয়ার কথা।
ef613cb022	18460	উপহার
ef6151a9e2	ad2a0	দু’টি যানের জন্য
ef61f3bcff	121bd	হেরে যায় বার্সেলোনা
ef620e6c5d	d9817	আন্তর্জাতিক অপরাধ ট্রাইব্যুনালের বিচার শুরু হবার পর এটিই হবে এই আদালতের প্রথম কোনও রায়।
ef624e9335	37e17	মনুসংহিতা
ef62b053bc	0895a	জানুয়ারি পর্যন্ত
ef62f06c98	6b437	বিনষ্ট করিবার উপক্রম করিলে
ef635219f7	18a52	তৈরি পোশাকের শুল্কমুক্ত বাজার সুবিধা
ef63d44057	15a75	ব্রাজিলের জীবন-যাত্রা
ef642ec6c5	2f547	তাঁহার হৃদয়ের
ef64522be0	16cfb	তাদের শ্রদ্ধা জানাতে
ef64702943	24aed	আহত হল
ef6522ea70	57d54	তারপরই বোঝা যাবে
ef653bfaac	d2d71	হরতালে সহিংসতা মোকাবেলায়
ef65965e05	d9b11	প্রথম অভিযোগ করেন যে
ef660637a2	5d12f	সিংহাসনচ্যুত করলে
ef6608924a	cf82a	একটি গাড়ি ওই বাসটিকে
ef667247bf	7351e	আর এই অভিশাপেরই
ef66801e77	509f6	হিন্দুধর্মের সারমর্ম
ef66812675	31f2a	তার ফিকশনে
ef6701fcdc	ce180	মুসলমান প্রার্থীদের
ef67676679	9f25e	চাল বিক্রয় হলেও
ef677578c3	e9759	এসব কথা বলছে
ef67832360	06bb7	চালিয়ে তো নিয়ে যাচ্ছেন
ef6784c1b2	f7a7f	আজি সেই ঊরু
ef67e3540e	7b60a	কাজেই বাঙ্গালা সাহিত্য
ef67f8d619	f2097	তাবিজের কিতাব
ef680b5b02	ce629	অগ্নিকাণ্ডে শতাধিক শ্রমিকের
ef68cf269e	aabe7	তাদেরও যে কিছু
ef696a8114	7898e	মাঝে মাঝে ইচ্ছে হয়
ef699e9dc0	43199	সন্ধ্যা পৌঁনে ৬টায়
ef6b8b1494	ca088	ভারত-পাকিস্তান ভাগ
ef6bd77e89	6b437	জয়ের ওই সাক্ষাৎকারটি
ef6c27169f	7027a	আসামিদের সবাই
ef6c66cd99	57d54	শ্রদ্ধা জানায়
ef6ce24772	11915	সপ্তাহে ১০টি ফ্লাইটে
ef6cef7b2f	880ae	সরকারি নিয়োগ লাভে সুযোগের সমতা
ef6d024584	8cf95	না হওয়া পর্যন্ত
ef6d37e35f	2bc73	সব দেখে মনে হলো
ef6d60e57b	e7230	উইন্ডোজ মোবাইল
ef6dcd8ef5	bc81e	এ সপ্তাহের সাক্ষাৎকার অনুষ্ঠানে
ef6de349f6	7ee9b	যদি তবালয়ে
ef6e1bca66	ac0df	তৈরির কাজ
ef6e366b79	49d63	অবলম্বনে রচিত গান
ef6e3e6ff4	80518	দুপুরে বই পড়ে
ef6e482254	c0965	ফেইসবুক কমেন্ট ফটো
ef6e5de209	60b9d	ন্যাকড়ার মতো
ef6ef47232	7b132	শুক্রবার থেকে
ef6f2f5ff9	d1a48	রাষ্ট্রদ্রোহের অভিযোগে কারাবন্দী করা হয়
ef6f31a3d5	98b81	বিষয়টি এতোই প্রাণবন্ত ছিল
ef6f365a98	17ca1	পুলিশে খবর দেয়
ef6fbf7f7c	1f974	বইয়ের দোকানের সামনে গিয়ে
ef70d2b768	84145	কারণ এই অংশে
ef7147755d	47e8d	ভোটার হালনাগাদ একটি চলমান প্রক্রিয়া
ef716b71d4	39dd0	বিকৃত বেবুনের মত মুখ
ef71f21580	14816	বুঝতে হবে সেটি
ef721f476e	1a2a1	পদার্থবিজ্ঞানে নোবেল পুরস্কার পান
ef73295c17	7f2ef	আনুষ্ঠানিকভাবে কিছু
ef73770f57	e00db	দেখো না ছোটখাটো একটা
ef73926917	dafb6	এমন সন্দেহ করিবার কারণও আছে
ef73f5874c	0edef	বাংলাহিলি সিএন্ডএফ এজেন্ট অ্যাসোসিয়েশনের
ef740aace8	1e7c7	অবাধ, নিরপেক্ষ নির্বাচন
ef7419ebb4	80518	পুরোটাই চলে যায় এখানে
ef745598ba	f1ea4	কলম ধরেন
ef74967b0e	086dd	জানাচ্ছেন বিআরটিসির কর্মকর্তারা
ef74acbf1e	6dff5	বিয়ে করতে যাচ্ছেন তারা
ef74d6378c	4fd66	পরিবারের অন্যদের
ef74ed8e81	03284	বাস্তবতার নিরিখে
ef751372e9	98b81	সামরিক শাসক আইয়ুব খানও
ef7540589e	15a75	চিকিৎসা সেবার পাশাপাশি
ef75c96e3b	93bf3	দ্বারা সিয়াচেন হিমবাহ
ef7645b75b	8406e	মুক্তি
ef772efae2	745b7	না হয়
ef775309e8	321b6	টেকনাফ থেকে এর দূরত্ব
ef7780203e	195f7	সুপরিসর উড়োজাহাজ
ef779b2494	d9081	প্রকাশ করা যাইবে
ef78354bde	a4750	চোখে পড়েছে এদিনও
ef78581125	9c8dd	রামেন্দ্র মজুমদার বলেন
ef789c2a8f	c8f7f	তিনি আন্তর্জাতিক অপরাধ ট্রাইব্যুনালের
ef78d6f88f	91ac1	রুপসী নারী
ef78f3a350	14d25	শর্মিলা ঠাকুর
ef79e4b70a	2fe3c	এই বর্ণের
ef7a2b07c1	1e7c7	১৯৯২ সালের বিশ্বকাপে
ef7a5e1956	32998	গত ৬ অক্টোবর
ef7ae7a401	8edea	পৃথিবীর বিভিন্ন প্রান্তে
ef7b11cf9d	410fa	চার-পাঁচ মাসের ভেতর
ef7b6f6f84	590d0	এক অজ্ঞাত যুবককে
ef7bb133d7	68549	আল ইহসান
ef7bbc370a	9642e	জমজমের পানি
ef7c5bf1f8	2b883	তার কলাবাগানের বাসায়
ef7c77321a	491a5	দেখিতেছি না
ef7c98f070	c11b1	কোয়াটারমেইনের পার্শ্বচর হিসেবে
ef7d9b1cea	25117	বাণিজ্যমন্ত্রী জি এম কাদের
ef7e23cdfc	75626	বিশ্বভ্রমণের অপার আনন্দ
ef7e3d0e74	ee7b2	মাংস সেদ্ধ না হলে
ef7e7a0771	351dd	অনুষ্ঠানে বিভিন্ন দেশের
ef7f052842	f2097	জেলা প্রশাসকই হচ্ছে
ef7f4097ee	53396	সিনিয়র করেসপন্ডেন্ট আলম দিদার
ef7fdb2760	57d54	অস্ট্রেলিয়ার রয়েছে
ef8064354a	cfc65	রমজানের ঈদের ছুটিতে
ef80a50693	e3d8b	কোনো সন্দেহ নেই
ef80c70d18	7aed9	ড. অনুপ ঘোষাল
ef81559fff	c5479	পাল্টা কথা
ef8185f414	7b132	প্রায় সব হয়েছে
ef82067079	1e7c7	সাংবাদিক সম্মেলনের মধ্য দিয়ে
ef825b4421	d41be	অদ্ভুত শব্দ
ef82b2cda4	25117	৯৬ পৃষ্ঠা সাংস্কৃতিক-অধ্যয়ন
ef831da7fe	ec91c	ব্যবসায়ী সাইফুর রহমানের কণ্ঠ
ef83241a49	4237e	মনোনয়নপত্র দাখিলের
ef8358702c	e9759	মেছুনী তাকে এমনি বকুনি দিত
ef83979bba	e03ce	বিলু কবীর
ef83a59921	0895a	পাতায় পাতায় কোণের দিকে
ef83d72d18	195f7	ক্লাবটি ৬৭৫ মিলিয়ন ডলার
ef84bf4402	287bd	চিঠি দেবে
ef84f185a3	7df87	সংখ্যাগরিষ্ঠতা পেলেও মোদিকে প্রধানমন্ত্রী হতে দেব না।
ef8508fdff	b618b	এক সময় সুযোগ বুঝে
ef85682167	c749e	যা গেমসের টিকিট
ef861b5c91	b00ba	গ্রন্থমেলার প্রবেশপথে
ef86412f8b	23291	অভাব ছিল না
ef868781bd	ee994	এগিয়ে আসছে
ef86bf9d7f	68ab7	নিশিতা
ef86c2d00e	06527	তবে তাঁর নাম
ef86d56198	e6e48	খ্রীষ্টীয় অষ্টম শতাব্দীর শেষ ভাবে
ef86ff7216	d9081	তথ্য
ef87108059	2695f	বলার চেষ্টা করছে
ef874003af	2bc73	কিশোরগঞ্জ
ef87953b84	2de86	উত্তেজিত, ক্রোধান্বিত
ef88200dec	2d98b	আবার না ঘটে
