0a0035c57b	6527	বেশি কইরা পিঁপড়া খা
0a3a6e07f4	e2ff7	নিচু গলায় কথা বলল
0a3a76a25f	f2780	গাড়ি
0a3afb4df5	4bd2c	রাহুলের এসব বক্তব্য
0a3b742880	98b81	গ্রেফতার করে দেশে ফেরত আনার
0a3be72673	ea5be	রিক্তা বেগম নিজেই
0a3c1d0fe5	730c3	মার্চের শেষ থেকে
0a3c6ab616	52578	বেশি রিজার্ভ নিয়ে
0a3c983cb6	25117	শ্যাম্পু করার সময়
0a3cae9aa1	d9ba9	চীন ভারতের উদ্বেগের কারণ হয়েছে
0a3d42427a	dae88	হৃদয়ই সবচেয়ে বড় পবিত্র স্থান
0a3d506d6b	1c618	পলাতক আছেন
0a3dda62f2	acb88	ট্রেড ইউনিয়ন
0a3e0340cd	61820	যথারীতি এবারও ছবিটি ছিল
0a3e08a2f1	2f547	একটি সাইট থেকে
0a3e13a57c	b2a62	বেবি
0a3e4f19d7	8406e	দেউলে হওয়ার ভয়ে
0a3ef33e19	0d4cb	মোদি দাঙ্গাবাজ কমরেড।
0a3f3c02db	351dd	খুশকির সমস্যা
0a3fb2853e	dfefa	শাসক গোষ্ঠী
0a3fcf91ba	1de6c	জারি হওয়ার কথা
0a3feedebe	60b9d	হঠাৎ করেই নন্দিনী
0a40abb41c	6ab59	স্বীকৃতি দেয়
0a40ba03a1	1de6c	নানান কথা
0a40cf46a9	6973e	ঘটনাস্থলের কাছের শহর
0a40f3d5d3	ee852	সঙ্গে দুটি ত্রিদেশিয় সিরিজও
0a40f3f4af	0d9f1	সরকারের অনেক সময় লাগছে
0a4107e626	c0965	বলার সময়
0a410b965a	e9589	শ্রমিকদের ন্যায্য মজুরি
0a412ea86e	1c618	পূর্ব শত্রুতার জের ধরে
0a414e1c7f	d3e06	মোগল সৈন্যরা হজরত আলীর রা. অনুসারী ছিল, তারই নামানুসারে এ জায়গার নাম রাখা হয় আলীকদম, যা এখনো প্রচলিত।
0a4150a152	f2780	জবাব আসে নি
0a41f7c9a2	2b883	আবেদনের সুযোগ রয়েছে
0a425f3f21	adf01	গোজি স্মার্ট লক
0a425f55e3	2556b	নদীয়া জেলার একটি শহর
0a427873e3	a3a6d	এক্ষেত্রে আমরা
0a42cb2c74	2d98b	চলতি পথে সাধারণ মানুষের নিরাপত্তার বিষয়টি দেখার জন্য প্রশসানের সহায়তাও চাওয়া হয়েছে তাদের পক্ষ থেকে।
0a435ab76d	68ab7	অধিকংশ ক্ষেত্রেই ভুক্তভোগিরা কোন আইনের আশ্রয় নেয় না।।
0a43bbacd1	2de86	নকিয়া এক্স এল
0a43bdd582	698ff	২০১৩ সালের নভেম্বরের
0a43d2a852	d3e06	উৎসাহ কারিয়ে ফেলেন
0a43fa76ba	9351a	এ ধরনের গুজব
0a440fddff	e68af	খোঁজার চেষ্টা করেছেন
0a44353c87	194f5	মৌসুম শেষে
0a4436385e	554fe	এক নজর দেখার জন্য
0a44501cca	8c120	মাথা তুলে দাঁড়িয়েছে
0a4462ac3b	8c120	এমন আধুনিক চিকিৎসাবিজ্ঞানী
0a449e40c1	a1201	এই সংকট
0a44d7c7a0	ea8fa	ফায়ার সার্ভিস কন্ট্রোল রুম
0a45342005	c7a89	ভিন্ন ভিন্ন কৌশলে এগোচ্ছে
0a456db108	69449	লাট সাহেব
0a458b8ecd	3fb17	পিডিবির কোনো ভূমিকা নেই
0a45ab58c1	f600a	গাড়ির পার্টস
0a45f43d96	7ec1c	মিছিলের চরিত্র
0a4602b383	29089	মামলাটি নিষ্পত্তি না হওয়া পর্যন্ত
0a468969a0	809cd	রাসূল সা. বলেন
0a46ae5b3c	4237e	যেখানে রাহা তার বন্ধুকে
0a46ee545e	5cb47	বাড়িতে আসার দিন
0a47113624	693cb	টঙ্গীর শিল্পাঞ্চলে
0a4747f08d	f9dfb	নায়িকা সংকট
0a4749b988	554fe	এমন জায়গায় এসে
0a47506927	388c9	ললিপপ
0a482565f0	29f8c	জুতা জোড়াটি
0a48541736	13b70	জনসংখ্যার ঘনত্ব
0a4865bcb1	16a17	মাতাল
0a48b2ac7f	23291	মস্ত কালো
0a490c817f	121bd	সখি ভালবাসা কারে কয়
0a495174af	db181	ধর্মীয় সন্দর্ভসমূহ লেখা হতে থাকে
0a49d1827f	d5f7b	আপিলের সার সংক্ষেপ
0a49d7c8da	3fae0	ওজনের উপর
0a49dadaf3	49d63	দূর করা যায়
0a49ea6ebc	2fc12	জনগণের সেন্টিমেন্ট
0a4afaecf7	9f25e	এরূপ উদাহরণ
0a4b7dcde9	bf530	শিমুল ইসলাম তনু
0a4b97c4ff	58998	শাহাবুদ্দিনের নাম
0a4ba3e9a9	32b3e	দীর্ঘদিন ধরে চলছে
0a4c1d0c50	2c9c5	পুস্তকখানি পাঠ করিয়া
0a4c37ba58	e43d4	দেশের পরাধীনতা
0a4c3cdba8	fdcba	গল্পটা লিখে ফেলে
0a4ca8a8eb	6da0a	সেই দ্বৈরথে জয়ী হয়েছেন
0a4d26380b	14d25	টিভিতে সরাসরি সম্প্রচার করা যায়নি
0a4d2e89c1	b00ba	বাংলাদেশ সংবাদ ৭১ নামে
0a4d8b701a	b8ed8	তিনি তিনটি ছবি
0a4db231dc	f89d7	অল্পকাল-পরবর্তী হইলেও
0a4dfffa71	d1a48	তৈরী করা হয়
0a4e4c5f5d	db735	ওই ব্যাটাকে
0a4e7dcf9a	29089	অনেক সময় সেশনজটের কারণে
0a4f1f19c2	a7c6f	গ্রানাদাকে হারিয়েছে
0a4f425cd2	98b81	শ্রীলঙ্কা
0a4f7d18ff	b5fdc	মডেল-অভিনেত্রী পুনম পান্ডে
0a506a8a4f	976b1	ক্রমাগত পড়ে যাওয়ার মাধ্যমে
0a50874153	f2097	যেমন নির্ধারণ করা হয়েছে
0a50a098ac	4f2ae	আমি কেয়ারটেকার সরকার ব্যবস্থা
0a50a91cc2	7b900	সহজেই বাড়ানো যেতে পারে
0a50c0d79b	76329	প্রকাণ্ড চারমহলা বাড়ি
0a50e9bafe	38d3a	কলিং বেলের সুইচে
0a51b1f266	33814	পরিচিতি তৈরি হয় তাঁর
0a51cc6637	10a9f	ইঁহাদিগের ভাষা সংস্কৃতানুসারিণী হইলেও
0a52419edd	43b04	শাদা পালক বকরা যেথায়
0a52afdfc6	ad69a	তিন প্রভাবশালী দেশ
0a52dfa620	4164f	চলাচলা করতে পারে না
0a52e78423	194f5	ত্বকের যত্ন
0a533992ec	388c9	আগ্রহী হলেন
0a53985651	2c9c5	যেসব ঘটনা ফেঁদেছেন
0a53bffe76	ea5be	কেননা পুরো ব্রাজিল তাকিয়েছিল
0a53d0cbee	0696e	নানির গা থেকে
0a542514d5	6973e	মঞ্জুর বর্তমান ভবিষ্যত
0a5454ef52	2909b	আলোচিত হচ্ছে
0a54a5d95e	616ec	অভিনয় করতেন
0a54fcf0ef	3b1f7	সঙ্গে আমার
0a552dd3f6	d2355	হাতের দুটি আঙুল
0a5553f0f1	47e8d	তাদের মধ্যে তৃতীয়
0a55689c38	91223	ক্ষতি খুব
0a567f21ef	6d129	জনি ও সাইদুলকে ঘিরেই
0a56e44923	ee886	কোয়েল মল্লিক
0a57b3f6fe	38ff0	ডাক্তার-বন্ধু
0a57fd4598	acb88	শালীনতার সংজ্ঞা
0a5838b38a	932bb	কিন্তু খরার সময়ে
0a58abfa8c	976b1	সেখানে প্রায় ৩০০০ লোক ছিলেন
0a58f2edc7	b78ec	পাঁচ বন্ধুর গল্প নিয়ে
0a58fdd28a	17ca1	ঝুমার বিভিন্ন স্থানে যাওয়ার ক্ষেত্রে
0a5915776d	e754e	ফেনীর সোনাগাজী উপজেলার
0a5933dc2b	404ee	বিদ্যুৎ কেন্দ্র ব্যয়বহুল
0a59468f84	e9759	পুলিশের বিশেষ শাখার
0a597ec569	5.4E+069	বর্ধিত ঋণ সুবিধার
0a59af36bf	65652	ঘড়িটির কাঁটা
0a59eefffd	e03ce	প্রথম রাজ্য হিসেবে
0a5a1687aa	bcaa8	তার মনের
0a5a5bf4ec	948d3	অ্যাকটিভিশন ব্লিজার্ড
0a5a7ff7cb	58998	কয়েকটি ঐতিহাসিক ঘটনার আলোকচিত্র
0a5a89fc7d	9813c	বাস্তবায়ন করা যায়নি
0a5ab5e2d3	9fa90	সকাল ৬টা থেকে
0a5ac1f9b1	7b132	যার ধারাবাহিকতা
0a5b3265be	2b883	এর বিচার না হলে
0a5ba4da3d	1c618	দেখা যাবে টেলিছবি
0a5bb5365c	43b04	ফানি ভিডিও
0a5bc034cb	68ab7	এক ডুবন্ত তরীতে
0a5c012618	2ecf8	দর্শকদের মন জয় করার মতো
0a5c14f8ae	8a46d	কিংবা ক্ষেত্রবিশেষে৩প্রাণদণ্ডও প্রদান৩করা হয়ে থাকে
0a5c255836	54cdd	সাহিত্য হয় না বলাতে
0a5c3515f9	323f1	মুরাদের গরিবি ঘুচে যায়
0a5cdf674e	0c39f	তা থেকে সে আগে
0a5d897831	d9081	তালগাছ আমার
0a5dd6e08e	11bd2	নিয়ন্ত্রণ হারিয়েছে রাজ্য কর্তৃপক্ষ
0a5ec69622	cfc65	প্যারেড গ্রাউন্ডের নির্ধারিত অংশটি
0a5ece31b1	ce629	এখন আর যেতে চান না
0a5ef68fe5	2fc12	তবে তার অবস্থা
0a5f1a55dc	0633a	দেখতে পাবেন না
0a5f6fb188	60f77	পথ বেছে নিয়েছে
0a60565a69	f1ea4	আমার পেছনে দাঁড়িয়ে
0a607e76a4	b9122	এবারের আসরের চমক
0a608946c2	ea8fa	ঝড়ের তান্ডবে
0a60a7ae61	69d9a	অন্যের সম্মুখে
0a614355b3	420df	এক খণ্ড প্রকাশিত হইতে পারিবে
0a615077e9	9282d	১০. কল্কি সর্বশেষ অবতার
0a6153a73d	a3a6d	দ্রুত ফল পেতে
0a620046ee	f2097	বহিষ্কার করা উচিত
0a62e43757	c749e	কংস ও দেবকী ভোজবংশীয়
0a62ff2989	e9759	খবর দিয়েছে বার্তা সংস্থাগুলো
0a633d8acf	ee4ad	এবং তারা এখানে প্রায়
0a63818742	18a52	১৯৪২ সালে
0a639254be	16cfb	পরপর কয়েকবার দিয়ে
0a64115b25	4f450	লঞ্চটি ঢাকার উদ্দেশ্যে
0a64848995	7b103	লাশ ঘরের খেতরে রেখে
0a64a5b48c	e6e48	ইসলামী সংগীত
0a653d57c5	323f1	আলোচনা হয়েছে
0a6564c976	47e8d	যাঁরা অর্থনীতি চর্চা করেন
0a65a4b4d7	13b70	বিভিন্ন এলাকার
0a65e58e6b	57d54	এরপর আর
0a66db2541	8cf95	প্রয়োজনীয় স্বাক্ষ্য, উপাত্তের
0a672b956e	ce629	সমাবর্তনে ভারতের রাষ্ট্রপতি প্রণব মুখার্জির হাতে সম্মানসূচক ডক্টরেট ডিগ্রি তুলে দেন বাংলাদেশের রাষ্ট্রপতি ও ঢাকা বিশ্বদ্যিালয়ের আচার্য জিল্লুর রহমান।
0a67943f81	730c3	৯০ দিনের মধ্যে
0a679d2b20	bbb22	প্লাস্টিকের ঝুড়িসহ
0a688c7ebc	315000000000	বিসিবির সাবেক পরিচালক
0a68c5bf2e	06bb7	অবসর নেন
0a68dd4f6e	9d46f	কোনো সমস্যা নেই
0a692d3f26	e754e	স্ত্রী হওয়ার গৌরবে
0a6958628f	b8bdd	আজ হাজার বছর
0a69f1f633	6d129	বুকের যতগুলো হাড়
0a6a235c75	698ff	আবুল কাশেম মাস্টারের
0a6a388721	3bea8	একটা নীল বুটিদার শাড়ি
0a6a4de038	932bb	একটি গোয়েন্দা প্রতিবেদন
0a6a5906d5	54cdd	খান সাহেব ওসমান আলী স্টেডিয়ামে
0a6a735cae	e2f12	গত ৬ এপ্রিল থেকে
0a6a7d8a55	5354e	চাকরি দেওয়া হয়েছে
0a6a89a5cb	28bb3	নানান প্রসঙ্গে
0a6ba3aeed	2fc12	প্রধানত ইতালি রনাঙ্গন
0a6c547fe8	420df	বন্ধুদের কাছ থেকে
0a6c5586cf	f2b7d	ঢাকায় থাকেন শহীদুল ইসলাম
0a6cb9ea8a	086dd	নিরাময়ের গ্যারান্টি দেওয়া হয়
0a6cedda0b	8a46d	তারা আকাশ পর্যবেক্ষণ ক্যাম্প বসায়
0a6d928565	0a87a	মোহন
0a6e9cfb99	66c6b	সেখানে অনন্ত জলিল এই শিল্পে
0a6ea2b4c8	76329	ডেয়ারিং লাভার
0a6eac9894	2c9c5	এ গল্প নিয়ে
0a6f2e7e32	80518	রকমারি
0a6f73af48	25696	কিন্তু অধিকার
0a6fa5956f	7f71c	জন্ম দেবেন
0a6fbb3f25	a43b5	ফেসবুক হ্যাকিং
0a6fc0c3f3	fdcba	বিজিবি ও র‍্যাবের
0a6fcdfd06	7f71c	মেশাতে হবে
0a6fe906ba	1279e	এখানেই সৃজনশীলতার পরিচয়
0a704a41f6	e3f89	ব্যাপক চাঞ্চল্যের সৃষ্টি হয়েছে
0a7070cd0d	e6203	পূর্বাচল প্রকল্প
0a7073ecac	c0d65	নগরীর রাস্তাঘাট
0a70f6416f	d9ba9	মতান্তরে অন্তরীণ
0a70f88dfc	948d3	শপথ পড়াবেন রাষ্ট্রপতি
0a7171b9cd	8edea	শ্রমিকরা তাদের আয় দিয়ে পুরো পরিবার চালান।
0a719f7a93	cfc65	সবশেষে আলোচনার সারসংক্ষেপ
0a71a98fe4	256f5	বেইজিংয়ের উদ্দেশ্যে
0a7206c69e	d1a48	পরিচিতি পেয়ে আসছেন
0a723a183b	d2d71	বিচারাধীন রয়েছে
0a72be0acb	28dfc	ডিম থেকে
0a737cafd4	e50f1	সরু তাকের মত একটা জায়গা
0a7457179c	5354e	গাম
0a7530f641	cc18a	একটি বাটি বা বক্সে রেখে
0a7543c70e	66dcd	চকোলেট এসেন্স ১ চা-চামচ
0a75b4809a	b4ea7	স্থায়ীভাবে শান্তিনিকেতনে
0a75fd4f23	28dfc	বিধানসভার স্পীকারকে জানিয়ে দেন
0a76928968	cb842	আবিষ্কার করেছি
0a770ea7dd	e03fc	স্থায়ী ও অস্থায়ী ঠিকানা
0a7775653e	a699c	সাজু যেতেই হবে
0a77a80aa9	bd576	বেশ সময় লেগে যায় তাদের
0a77b7c2c3	86b1b	শ্যাওড়াপাড়ায়, যাত্রাবাড়ি, উত্তরখানে
0a780e02c6	520fb	সরকারি বাহিনীকে সহায়তা করছে
0a7865700d	e00db	ফেটতে থাকুন
0a786ee60c	cc9fd	সাপখেলা দেখানোর সময়
0a78fa5f3c	a06a1	গ্রহণ করে নি
0a79982828	b2a62	হোয়াইট হাউজ
0a79b5b4a5	da6f0	পিতা কেমন দেখে নাই
0a7a3e9935	2d98b	ভালবাসার লাল গোলাপ
0a7a722ee6	4fc91	পার্বত্য,দ্বীপাঞ্চল ও হাওড় এলাকায়
0a7b04ae07	49543	মিষ্টি দই
0a7c4c6cc2	b00ba	আমির খান সম্পর্কে
0a7cbd5179	0a87a	জ্ঞান বুদ্ধি
0a7ce1a990	c749e	জাতিসংঘ ইরানকে জানানো আমন্ত্রণ
0a7de32d89	aa820	সব সুন্দর
0a7e150860	a1d4a	পরতেন হাঁটু-জোকা ধুতি
0a7e27ae5e	a274b	হতাশ শাবনূর
0a7e68766f	410fa	সাংবাদিকদের বিভিন্ন প্রশ্নের
0a7e709de9	8845d	বিশেষ ধরনের মজাদার
0a7e7a7002	0edef	সাহিত্যের পক্ষে ইহার অপেক্ষা
0a7f21f9b4	b8ed8	তৎপর হয়ে ওঠে
0a7f396fb5	698a4	আমি আশা করি
0a7f9b9ddb	ce180	সাত বছর বয়সী রিহান
0a80249096	e2f12	চালক নিয়ন্ত্রণ হারিয়ে ফেলে
0a8201ac7c	7c272	না মরে নাই
0a823a17b4	83c53	মাছ ধরতে নাই
0a824e0b81	c1e30	এবং বিষয়টি অবশ্যই
0a82f3b278	b78ec	বিমান যুক্ত হবে
0a8310272d	acb88	যদিও বিশ্বকোষে
0a83255f5f	e6d83	অনেকেই জানেন যে
0a8331718a	f0f95	২৭তম সংস্করণ প্রকাশিত হয়েছে
0a8396ddf2	0b7ca	ইজতেমা মাঠ
0a83e00b8f	b2a62	পরে দেয়া হবে বলে
0a845907be	0633a	যেখানে যুক্তরাষ্ট্র
0a84746bae	3284	তারা একটি মিছিল করে
0a84a95400	28bb3	ম্যাজিস্ট্রেট এক দিনের
0a8506ab46	c3cb3	রাষ্ট্রীয় সম্মান
0a850ffbf7	0bace	প্রত্যাহার করতে পারবে
0a8523e6d2	4c555	এর কিছুদিন পরই তারা
0a85695b5a	4f450	আশঙ্কাজনক হারে বাড়ছে
