b0001a6dae	7027a	সংবিধান থেকে
b020e2c956	ce180	উজাড় করে দিচ্ছি
b02122fe31	23b22	আরামের অনুভব করা
b0212484ef	eaa7a	পাঁছগাছিয়া বাজার
b02198e398	153c9	অনৈসর্গিক বৃত্তান্ত আমাদের পরিহার্য
b0219e1fbe	b8ed8	বিরোধীতা করে
b021b792d3	14d25	গ্রামের ছেলে-বুড়ো
b021d6a6c9	65e30	নতুন আঙ্গিকে বাংলা একাডেমি বার্তা
b022172ffd	3faff	উপযুক্ত সংকলন গ্রন্থে
b022c45a40	9092b	সোহেল রানার সম্পদ বিবরণী
b023301817	ced74	সব সময় আমি
b023410a7c	6d129	১নং প্রেমবাগ ইউনিয়নের
b0239d14a7	3b1f7	কড়া রোদ্দুর
b023ad7a54	13b6a	ইথাকার রাজা ছিলেন
b023c6c8d1	d82d9	নিয়মিত আইনশৃঙ্খলা বাহিনীর পাশাপাশি
b023c76794	0606d	কোন কথাই
b02414848a	95907	গ্রাহকের বায়োমেট্রিক্স দেওয়ার জন্য
b02430505c	a3a6d	বিরুদ্ধাচরণ করা হয়েছিল
b024869f7c	590d0	ক্ষণ গণনাও শুরু হয়েছে
b024b4ad64	8ba2b	হিসেবে গণ্য করা হয়
b024e2a2ca	c749e	ব্যক্তির বৃত্তকে ভেঙে
b02503ff1b	cb627	উত্তেজনা
b02525c88d	fdcba	সৈয়দ মন্জুরুল ইসলাম
b02595fa18	b9122	বাংলাদেশের স্বাধীনতা যুদ্ধের সাথে
b02608188a	0633a	পাকিস্তানের কিশোরী
b026565a54	6ab59	দৈনন্দিন পৃথিবীর পথে
b0265675f1	430b2	বুধবার রাত
b0267015ef	e2ba2	অদ্বৈতবাদকে উদ্দেশ্য ও বিধেয়র
b026b9a703	75f18	বিউটি চেইন ভিএলসিসি
b026fb84f7	9351a	সম্পন্ন হয়
b027320f7b	d0c70	হাসপাতাল থেকে একজন শ্রমিক
b027782e99	c4973	একাধিক তেজস্ক্রিয় পদার্থের
b027bf29c3	a43b5	সেনাবাহিনীর সর্বোচ্চ পদ
b028191c38	84145	অতি দ্রুত তিনি
b02821e19f	809cd	অর্থ পাচারের মতো অভিযোগ
b0282c697e	4164f	খারাপ হয়
b02830ccd5	9642e	নির্যাতিতা মহিলার পরিচয়ও
b0287f2e1d	91230	ঘটনার পরদিন
b028a02503	b08d0	গণশুনানি চলছে
b028bee18a	9351a	অঙ্গহানির সম্ভাবনা আছে
b0290b743c	3fb17	পেছনের একটি বস্তিতে থাকেন
b029242971	5b13f	প্রধান কারণ
b0292d6a82	0696e	যে শিশু এখনও মায়ের পেটে
b029644c20	256f5	নির্ধারিত আসনে
b029d48f1d	2d78f	চকোলেট এসেন্স ১ চা-চামচ
b02a5466d1	7aed9	একটি বৈঠকেরও
b02a5aeaa4	65652	বেতার থেকে টেলিভিশন
b02a622e74	39dd0	নীলফামারী জেলা
b02a63dbe4	3fae0	জানিয়েছেন স্থানীয়রা
b02aba30ed	1279e	কুকুর তো সব সময়
b02afb3626	4fd66	ঋণ বিতরণ করেছে
b02b728e7b	7ec1c	থেমে ফাঁকা গুলি করেছে
b02c9c24bb	9d46f	নারায়ণগঞ্জের আদালতে হাজিরা দিয়ে বেরিয়ে
b02ca412bc	e6e48	কিউবমাস্টার ৩ লেগো রোবট
b02cce8a2a	c2082	মাথায় আঘাত পান
b02cfec167	8406e	যে পদ্ধতিতে চালালে সেশনজট কমবে সেভাবে চালাতে তাদের দক্ষতার অভাব রয়েছে।
b02d0e0bc7	8406e	স্থূলতা সম্পর্কিত
b02d3124d8	46d49	তারা ২০১২ সাল থেকে
b02d8b624f	18a52	আমি বলিয়াছি
b02dba8832	71522	সিদ্ধান্ত হয়নি বলে তিনি জানান
b02e3ebc29	9f25e	ডিজিটাল বাংলাদেশ
b02e5b934f	18a52	আশার সঞ্চার হয়
b02ed9ee76	e68af	ঠাকুরগাঁও আধুনিক সদর হাসপাতালে
b02eea209b	7d3e1	তুলে দেয়া হবে
b02f5231e8	93bf3	রং করা পুতুল নই
b02f5cde22	ca831	নারীমূর্তি পাওয়া গিয়েছে
b02f6348e7	6c6bf	আমাকে জবাবের
b02f7a8a42	2d78f	গান যেহেতু করতে হবে
b02fefc00b	ff1c3	তৎকালীন অবিভক্ত ভারতে থাকতেন
b02ffd7c62	8406e	ভোটগ্রহণ স্থগিত রাখা হয়
b0302f4402	3faff	মুসলিম সাহিত্যিক
b03038a2e1	536d9	নিশ্চয়ই ঢাকার চলচ্চিত্রে
b030400066	09f0d	নিরাপত্তা ঝুঁকির কারণে
b0309d10a9	7f2ef	চম্পা, ইলিয়াস কাঞ্চন
b0311f6d86	948d3	সম্ভাব্য বোমা হামলার আশংকায়
b031b596fd	ee7b2	ঠোঁটটা পুরু
b031db70be	4fc91	তাদের অবস্থান তুলে ধরার
b0320e401f	12702	বিভাগীয় কমিশনারের
b032335d43	f1ea4	বাম-প্রগতিশীল সংগঠনগুলোই
b032478712	c5dc8	রেওয়াজ আছে
b0324aeec8	355c1	বিবিসি টেলিভিশন ও রেডিওতে
b0328e4a66	6da0a	আকবর উদ্দীন
b032904dfa	4bd2c	ইউরোপীয় চ্যাম্পিয়ন
b032aa2fa7	9282d	সৈন্য আমদানি করা
b032f1bf99	1e7c7	সাক্ষাৎকার নিয়েছেন তৈমুর রেজা
b03419f70b	80e98	দখল করে নেবার জন্য
b034ceaea3	ce629	মুসলমান জনগণের অবস্থা
b03520d53f	6b437	ডাইভিং হেডে গোল করে
b0367d0235	09f0d	সার্টিফিকেট তৈরিরকাগজ
b0371884bd	e9759	তুরস্কেও চলছে প্রহসন-বিচার
b03718e55f	43199	বেঁচে রইলাম
b037817c15	442b7	একবার সফল না হলে
b0388457cd	730c3	কাহারবা তালে গীত হলে
b0388eebc3	e6d83	চারদিনের সফর করছেন তিনি
b038af788c	adf01	তাদের অনেকের গায়ে
b038e2f961	91230	সমস্যা কোথায়
b03992f2d1	616ec	নির্মাণ করতে ব্যয় হয়েছে
b039a8d95e	06bb7	এই দুই প্রেরণা থেকেই
b039dd83af	903fa	দেশসেরা এই ওপেনার
b03a75ba7a	1a2a1	খুব ধীরে ধীরে মহাকাশে
b03af30e39	c3cb3	উঁচু ভবনে
b03b6a8c2b	3fce2	উভয়ের সংমিশ্রণে
b03b925256	80539	একজন কূটনীতিককে
b03c9ca795	9fa90	ররী বেচারা দেখিল
b03d050945	e6d83	নামঞ্জুর করে
b03d76b0c8	43b04	ঘটনা ঘটেনি
b03dc7ee33	06527	জন্ম দিয়ে ফেলি
b03e107274	5dd61	গোটা টিম
b03e1ed725	698a4	ধীরাজের লেখা উপন্যাসের
b03e328666	43fc0	শিক্ষক-কর্মচারীদের বাড়ি বাড়ি গিয়ে
b03e473878	f837a	এসময়ে বিদ্যুতের উৎপাদন
b03f50dd61	11bd2	বিভিন্ন বেসরকারী প্রতিষ্ঠানের হিসাব মতে দেশে প্রায় ৫০ থেকে ৬০ লাখ প্রতিবন্ধী শিশু রয়েছে।
b03f99bc32	fcc89	অত্যাচারিতা ওই মেয়েটির
b03f9a4c49	dba43	কিন্তু এখন থেকে
b03fd95768	2bc73	সেটা তদন্ত করে দেখা হচ্ছে
b04016659b	ef915	সরকারের মেয়াদ শেষ হবে
b0402a34b4	09f0d	হাজার বছরের
b0402f2d80	6da0a	সবশেষে প্রয়োজনীয় অর্থ
b0403ad7d4	43199	মর্গে পাঠানো হয়েছে
b04052e18a	b9a81	অন্তত ১২ জন
b040554c47	1de6c	ভারী রূপার আঙটা
b04188a162	698a4	সভায় প্রকল্পের নকশা
b041d73dd1	8ba2b	তারা সাগরে ভেসেছিলেন
b0420018bb	91230	এত মায়া
b0428d65d8	a06a1	গঠন করেছেন রিংকু
b042a3323d	767ff	তাঁর স্ত্রী অরুণা
b042a8aded	ee852	রবীন্দ্রনাথের উপন্যাস ‘বউ ঠাকুরানীর হাট’ অবলম্বনে পশ্চিমবঙ্গে ১৯৫৩ সালে নির্মিত চলচ্চিত্রে অভিনয় করেছিলেন উত্তম কুমার।
b04335be47	2de86	ওয়াটসন প্রথম দিকে
b043993ff6	9065c	উপহার দিলেন না
b043d1c27a	fda1a	খামারবাড়ি থেকেই
b043fadf91	b8bf0	প্রমাণ পাওয়া যায়
b04465131e	c7a89	বলিউড কিং শাহরুখ খান
b0447937bc	16a17	নির্বাচন বর্জন করেন তছলিম তালুকদার
b0449c5480	7e191	বর্তমানে মহাসড়কে যান চলাচল
b044a202ef	bf530	একটি প্রতিনিধি দলকে
b044bc02c6	b9122	দুবাই প্রবাসী
b044db34c9	cb627	বহু বহু দূরে
b04546012e	4164f	জাতীয় পরিচয় নিবন্ধন অনুবিভাগ
b04598a673	5dec6	হয়তো একটু
b045aa7d4a	2d78f	সাহায্য করতে পারেন
b045dd7312	ea5be	এক নারী
b0463868ce	ff970	ভরা গালের সৌন্দর্য
b0466fd5eb	5dd61	আহত হামিদুলের দাবি
b0467ca029	5639c	মাছের পুষ্টিগুণ
b0470b0c1a	69449	কার্যকর করতে হবে
b049042618	83c53	করেন লং জাম্পার
b049c666ae	c8f7f	৪২ বছর আগে
b04ab0e37d	bbb22	ভারতের সঙ্গে
b04b1b1f9c	bcaa8	একটি আর্কাইভ ও বড় লাইব্রেরী করা হবে
b04bc09dc6	33aef	সত্যতা স্বীকার করে বলেন
b04bcdbfa6	54cdd	মুখ রক্তে মাখামাখি
b04c32241e	880ae	পাইলেও পাইতে পার
b04c676793	85430	হেড থেকে
b04c7fc02b	1f733	যাচাই করা সম্ভব হয়নি
b04ccbe73d	01e91	ছেড়ে দেওয়া হবে
b04cde1766	e50f1	শুধুই তাই নয়
b04cfdde2e	ef915	গালিব হাসানের বোন
b04d8445fc	f143a	কি জমাট হয়েছিল
b04dd5597a	ef4f8	যতদিন বাঁচি
b04dfd7100	22096	বিভিন্ন সময় অভিযোগ উঠেছে
b04e703b6a	85430	অপারেটিং সিস্টেমের
b04f06a973	cb842	পেষণ থামিয়ে
b04f47cd9b	2ecf8	কিছু জানায় নাই
b04f49ce4c	91b16	শুট করেছি
b04f7b278a	8406e	এই গ্রন্থের আরেকটি
b04ff08687	616ec	ইরান ফুটবল ফেডাশনের
b05010287c	fd880	চার জনকে গ্রেপ্তার করা হয়েছে
b0503ebca6	29d44	আহত শ্রমিক এবং নিহতদের স্বজনরা
b0505c2edb	03284	রান
b050b20e37	3fce2	২৪ ডিসেম্বর সন্ধ্যা ৭টায়
b051315ad7	bfac7	বাগানে নামাজ পড়ার জন্য
b0513cbb98	ec91c	জাফর ইকবাল স্যারকে ফোন করছি
b0514c3be6	4a918	তাঁর বিয়ের ঘর আসে বেশি
b051b9a7ae	976b1	অবশ্যই বিদ্রোহ সহজেই
b05208dd24	39293	সুমি
b0527958b6	e6d83	এসব সামান্য
b052ae9b3b	121bd	এমনকি নিজ পরিবারের কাছেও
b052cb4d06	7ec1c	অর্জুন সুপাত্র
b0536a4f6f	717bb	তত্ত্বাবধায়ক সরকার নিয়ে
b053a2d996	80e98	দুদকের অনুসন্ধানে
b053c8034a	2ac82	যদি গুলি খেয়ে মরেন একদিন
b054a62276	fb4cb	সঠিক সময় বিবেচনা না করে
b055173e7c	7f71c	কাঠখোট্টা বুদ্ধির কারবার করে
b055581a2e	195f7	সংগ্রামে রাজপথে ছিলাম
b0556f023d	35ef3	তবে, তারা জানিয়েছে
b055a5c346	282d3	প্রাক-বিভক্ত সমাজের সঙ্গে
b055c85fe0	e7230	একটি প্যাকেজ
b055dff3ab	195f7	দেখিয়াছে
b0567efd13	1c618	সরকারি ও বেসরকারি
b057495742	6e6fa	সার্বিক পরিচালনা
b0574efac1	80539	কম্বল মুড়ি দিয়ে
b057575cab	c749e	সিল দিয়ে বাক্সে ঢোকায়
b0577fbe55	7df87	মাঠে খেলতে শুরু করল বাচ্চারা
b057bbe6a8	e68af	চুম্বকশক্তিকে কাজে লাগিয়ে অনায়াসে চলবে ট্রেন।
b05831e9ce	f7a7f	তাহাদের নাম হলধর ও গদাধর
b0586148ae	83c53	সাইকেলে করে
b05861e759	7f71c	ঐ এলাকার
b058b73664	809cd	৭ই আগস্ট, ১৮৭১
b058c4aa1d	91230	নিজস্ব নায়ক চাই
b059055d43	69d9a	ফেনীর সময়
b0599fb1b3	37d7e	চলছে রাজনীতিকদের বাগযুদ্ধ
b059d015fe	2556b	তখনো ছিল
b05a2bfa1b	58998	তাঁর প্রিয়পাত্র
b05ab1ecc0	31f09	গুরুত্বপূর্ণ ভূমিকা রাখবে
b05af322a2	71522	কারখানার শ্রমিকরা
b05b1080c1	4c555	হেফাজতে ইসলাম তাদের ১৩ দফা দাবিতে ঢাকায় মহাসমাবেশ ডেকেছিল।
b05b23a3a5	08458	তাকে এ দায়িত্ব দেওয়া হয়
b05b47a052	e6203	সোলেমন দ্বীপে
b05b7bcca0	05901	সরকারি চাকরিতে প্রবেশের বয়সসীমা
b05be55a2a	2f547	তার কথা নিবেদন করে
b05c2a9aad	13b6a	যুদ্ধ করিয়া লাভ কর
b05c55042f	a9a58	শাহজাহান আলী জানান
b05c69223d	b8bf0	ওনি জানান
b05cf1dff9	25696	যেগুলি বেশির ভাগই
b05d62d7a5	7e191	ফারাক্কার মতো নয়
b05d6e633a	2bc73	উইকেট হারানোয়
b05dac6a1d	c958a	সে ধরা পড়বে
b05dd3a4ad	f143a	আমার গায় মাথায়
b05e76f490	24f73	নায়িকা স্বস্তিকা মুখোপাধ্যায়
b05e827583	e9fa7	বেদনাদায়ক শাস্তি
b05ed0cbe4	6aac8	অনেক মানুষই
b05f2827e6	b5fdc	আউট হয়ে গেলেন
b05f6ff4c2	8b859	মোবাইল ফোনের জন্য
b060086fd0	282d3	নির্বাচনকে সুষ্ঠু ও শান্তিপূর্ণ করত
b060098123	9c8dd	লাইন ধরে দাঁড়িয়ে থাকবে
b060647299	69d9a	তাদের দুজনকে গুলি করে
b06079c700	f1ea4	অ্যালুমিনিয়াম অত্যন্ত
b061143a56	4bd2c	এস ই ও
b0626ed636	39dd0	রাতবিরেতে কেউ
b062955022	32998	রবিনহো
b062eb688a	bdfc1	কিংবা অনুরোধ করেনি বলেও
b0630532a8	590d0	মহিলার ছয় বছরের
b06316749c	bdfc1	সেকেন্ড ইজ অ্যাকসেপটেবল
b06358c98c	e9759	তিনি সমালোচনার মুখেও পড়েছেন
b063bd9372	8ba2b	অথচ সে তার
b063eeea10	91dff	তা পূরণ করে নাও
b0640f6e76	e754e	পাজ তার কবিতা সংগ্রহ
b06449c7d2	2556b	কতটা উদঘাটিত হবে
b0644f30ee	1cb75	উন্নত দেশসমূহে
b06472b0bb	404ee	ন্যূনতম মজুরি বাস্তবায়নে
b064d84af8	767ff	প্রতিটি শহীদ মিনার যেন
b064dc5a84	84145	তবে এই সফর মেয়াদে
b0650e2b70	e2ff7	তিনিও ছিলেন বাক্পতি
b0651688de	ce775	রোকসানা আক্তারকে
b0651e7804	84145	পা জড়িয়ে ধরলে
b0652a7eb5	9351a	২০০৯ সালের ১২ মার্চ়ে
b0652afc39	98b81	এই দ্বিতীয় দফার গল্পকে
b0654f9796	f29bf	খোকনসহ অন্যরা উচ্চ আদালত থেকে
b065a8c28f	e03fc	কোনো দপ্তরে
b065fa1f2f	fcc89	মালিকদের জবাবদিহিতার দিকে
b066b5cb59	8cf95	প্রতিটি ইলিশের দাম এখন
b066b75889	80be1	কারণ পুরুষ ডাক্তার
b066d202b7	7b60a	২০১২-১৩ অর্থবছরের
b066dcf083	4a67e	অনেক বিখ্যাত
b066f23b6d	f6e55	এমন অনেক সিনেমা তৈরী হয়েছে
b06719b097	eaa7a	শঙ্কর ও টেবিলের
b0672f6131	693cb	ঈদ করব
b0672fcb7a	07660	সুলতানের পরামর্শে
b0676da372	11915	অভিজাত মহিলা-সেলুন
b067d1c654	66dcd	এটি ১৭৪০০ বর্গ কিলোমিটার
b068198a50	37e17	অভিন্ন ঐতিহ্য
b0683c942b	1a4a9	উল্লেখ করেন হাফিজ
b0686533cd	f2097	সূর্যের লাশ তার স্বজনদের কাছে
b0694d7d3f	967fd	নারী ৪৮%
b069cd5767	69d9a	রাহুলের এসব বক্তব্য
b06a6defe9	0e637	সে কারণে এতে
b06b0eabca	baa02	মালয়েশিয়ার সরকার
b06b581a8c	7b132	সুভাষ মুখোপাধ্যায়
b06b63f5c7	9d398	খুব কম বইয়ে
b06b9864bc	92f59	প্রকৃতিকে জিজ্ঞাসা করিলে
b06caecd3e	ad69a	পাড়া ঘুরে এসে বলেন
b06cc313ba	860f4	নিজেদের সামর্থ্য অনুযায়ী
b06cef69e4	4ea73	স্টিমারটি উদ্বোধন করেন
b06e445af1	93bf3	বাঘের ভক্ষণে
b06e59a353	6ab59	মারাত্মক বিষ
b06eaba178	ca088	কোন রকম কোনও
b06f359727	75f18	অক্সফোর্ড বিশ্ববিদ্যালয়ে
b06f9663df	31f2a	আনমনে শিস বাজাতে
b06fcc8cea	9282d	নোভা দ্বারা
b0707df008	0606d	সারা দেশের শিক্ষার্থীরা
b07095cbf7	d0c70	প্রবেশের আগ্রহকে
b070a0d830	80518	কিন্তু রেডিও অথবা অনলাইন শ্রোতারা
b0715aebcf	9d7bf	পুলিশ গুলি চালায়
b07165e628	2ad74	তারিখ জানা
b072813d4e	01e91	যারা কোরআন শরিফ পুড়িয়েছে
b07285e190	65e30	আর একই সময়ে
b072a3d9e0	10a9f	রিপোর্ট দেয়ার কথা
b072ec889d	b7be9	নিজের সন্তানের কাছে
b07382648d	9fa90	দলিল লেখক
b073b9312b	b8fe1	একমাত্র ভগবানকে
b073c65757	46d49	একের পর এক হত্যাকাণ্ড
b074b672ad	15a75	তিনি অনন্যাকে বেঁধে
b0752cb806	5354e	শুভযাত্রার লাক্সারি পরিবহনে
b07540dd80	778c0	টিআরপিই জয় হলো
b07570c33a	68ab7	নিমিশেই পড়ে গিয়ে
b0758f2583	5a61c	মেয়েদের শরীর-এর জন্য
b0759c65e2	a1d4a	উচ্চ শিক্ষিত বিজ্ঞানমনস্ক
b075eb3912	7b900	নারীর সারা শরীর
b076147ca7	fcc89	কেউ আগে কখনও দেখেনি
b077113dc3	bc81e	এ-তথ্য সর্বজনবিদিত
b077724df4	acb88	ভাগাভাগি করে
b077757c04	4c555	মনে করেন
b077bf35bf	121bd	মধ্য ফেব্রুয়ারিতে
b077eef047	967fd	বুদ্ধিজীবী হত্যাকাণ্ডে নেতৃত্ব দেয়ার
b077f84972	24aed	আদালতে পেশ করা হবে
b0780dfd9d	3fae0	সেদিকে লক্ষ্য রাখা বাঞ্ছনীয়
b07874bb38	68ab7	জার্মানি
b07884bcea	ef915	এখনি সময়
b0794c037b	cc9fd	নানি অতিষ্ঠ হতেন
b079871ea0	07660	এই নজির আর কারো নেই
b0798df3eb	7b60a	এবং নিরপেক্ষভাবেই
b07a27ee09	d9817	তিনি কোন মানসিক টান
b07ac64676	b8bf0	বাংলার মানুষ
b07b260351	28dfc	চলতি বছরে ১৯ মে
b07b6e6270	1a2a1	কুশল সিলভাকে
b07b8d599e	f1240	ঝুলন্ত
b07be50098	73629	পেটানোর পাশাপাশি
b07bf0a58c	a9a58	অর্থ সংকোচন
b07d1ba93e	7b132	৫০ শতাংশ
b07d57cac0	b8fe1	ভোগ করেন মা
b07d86bf87	2ee04	ফর্মহীনতা তা থেকেই
b07df9f4f9	91230	জেলা রিটার্নিং অফিসার
b07e154662	03284	তখন ৩৬ বৎসরের
b07e1a501f	f2b7d	চিকিৎসক বাবার সন্তানের
b07e6b5c58	03284	সংঘাত চলছে
b07e982918	698a4	কোনো অভিনেত্রীকে খুঁজছেন তিনি
b07f3e9184	7ed14	আপনার মনের মাঝে
b07f9219e5	58998	মেলে দিল ডানা
b07f9ce166	80e98	ফিরোজা বেগমের নাম
b07fc72298	1e7c6	বিমানবন্দর করার উদ্যোগ
b07fe349fb	07660	সঞ্জয় ঘোষ পরিচালিত
b080051e74	ad050	এছাড়া জরুরী পরিস্থিতিতে
b08091efaf	967fd	ঢাকা বিশ্ববিদ্যালয়
b08111d2fc	ba2f6	সাহিত্য,বিজ্ঞান, দর্শন, শিল্প
b0811e03f2	6b437	দূরের যাত্রা
b081208316	d5f7b	ডানাওয়ালা কোনো অতিমানবী
b0815268cc	13b6a	রূপে দেখতেন
b08195aa7a	ef915	তাঁদের ইংরেজী গল্প প্রসঙ্গে
b081bc44a6	68ab7	পাতায় পাতায়
b081ef9b7b	29089	যথেষ্ট পরিমাণে
b08208fb6e	e9759	আজ ক্রাইমিয়ার সংসদে
b0822986aa	a43b5	পুরুষ যেমন কৌতুকরসে হেসে ওঠে
b082f397de	92bb2	আবরণ থাকে
b083397885	7297e	টিপু সুলতান নিহত হন
b0834c8291	16877	আগস্ট ৭, ২০০৮
b083763f83	c41d8	অনুশীলন ক্যাম্প শুরু হবে
b083b7bf43	0744c	মনে হলো ডিবি অফিসে
b083ce7ed3	39293	সংবাদ সম্মেলনে
b083cfd2c3	59c73	পুলিশের সদর সার্কেলের
b0844a71e9	9282d	স্বর্ণপদক জিততে পেরে
b0846a818d	9f25e	মধ্যে একজন
b084a7ed24	7351e	সবচেয়ে ছোট অংশ
b084cb4fa7	52f27	সবাই গেছে বনে
b0854fc82a	37e17	এক ছেলে ও এক মেয়ে রয়েছে
b0858c9f01	80518	মহানগর পুলিশ
b0858f982e	adf01	এই জাতিগত আকাঙ্খার
b085d37cca	d9b11	রানা প্লাজা ধসের পর
b085fda004	0e637	পর্দায় সার্থক করে তুলেছিলেন সুচিত্রা
b0877e8772	16877	ব্যবধান দ্বিগুণ করেন নর্দে
