a800041cb0	321b6	২ এই ধরনের
a81b1e115c	a43b5	মারা যান ১৭৩৭ সালে
a81cd10055	b9b98	তিশমা
a81cea1778	698ff	ঢাকায় যোগদানের ব্যাপারে
a81d0e2b5f	b9a81	অনেকে আল কায়দার সাথে
a81d1a7efc	f4ba7	অক্টোবরে তা কমে
a81d2b58b2	e31e7	৫১ জন নিহত
a81e095de6	d9817	ছেলেটিকে পিশাচ নামে
a81e9ac4ce	870e3	যুক্ত হচ্ছে আরও কিছু পণ্য
a81ec6c5db	ab946	৬৫ টাকা কেজি দামে
a81f4943ef	c6848	বাবা ঘুরে দাঁড়ালেন
a81f7b7f3b	ad98d	বাড়তে লাগল
a8200f98f1	a43b5	আমার দেশ কার্যালয় থেকে
a820a23004	baa02	অন্য ড্রাইভে করতে হবে
a820afe966	79b06	লাশ বস্তায় ভরে
a8214f2012	c0d65	একটি অমৃত হইতে
a8218f2e43	6e6fa	সরে দাড়ানোর ঘোষনা দিয়েছিলেন
a821bd9916	83c53	গণন
a821cf4ddb	f143a	বয়ঃবৃদ্ধির অনুপাতে বাড়তে থাকে
a821eae47e	98b81	স্নাতক ডিগ্রী লাভ করে থাকেন
a821eed3c4	5639c	আমি একেবারেই প্রাচ্যপন্থী
a822389acc	c2082	১৯ বছর বয়সে
a82249ca36	d2355	ডিসেম্বরের মাঝামাঝি
a822892302	25696	৭২ ও ৮২ মিনিটে গোল করে
a822cb1d69	4f2ae	এরপর গত বছর
a823063cc5	84145	পথে অপথে ছুটিয়া বেড়ায়
a823132e92	c7705	আজ আমার সাফল্য
a823803415	d9817	সমুদ্র তাকে বিয়ে করতে চান
a823da75ee	1a4a9	মিতা টেবিলে খাবার দিল
a82432491a	82926	একটা ছেলের সঙ্গে
a8246061cb	9c8dd	কেন এদের
a824c87d7f	089ef	যে সম্পর্কে কারও অধিকার বেশি
a824cd8fb6	e89bb	আদালতে অভিযোগপত্র দাখিল করে
a825631ca6	c9c19	সবচেয়ে বিখ্যাত হল
a82564280c	7df87	জন্ম ১৯২৮
a82568e171	14d25	পাকিস্তান দলের সমর্থকরা
a82588b5de	778c0	তাদের কোথায় পৌঁছোনো হয়েছে
a825fb5577	809cd	অস্ত্রের মুখে জিম্মি করে
a82600e471	9282d	ইউক্রেন কর্তৃপক্ষের কাছে
a826d8244a	0c39f	উন্নত দেশের সব প্রয়োজনীয় পরীক্ষা-নীরিক্ষা ও ভ্যাকসিন চিকিৎসা বর্তমানে বাংলাদেশেই রয়েছে।
a8270c1d57	3f493	অ্যানথ্রাক্স একটি আমেরিকান
a82724421f	3f493	প্রকৃতির ছবি
a8277ff5f0	13b6a	বের হলো
a8279b708d	3d17c	চট্টগ্রাম হাটহাজারী উপজেলার
a827e1f069	7e1d5	অবাধে বিচরণ করে থাকে
a82808fd68	3d17c	বেরিয়ে যেতে থাকে
a8281c856c	e6d83	এ নিয়ে একাধিকবার
a8286a37dc	967fd	ইসলামের সমালোচনা করেছি
a8289d8b2a	b8bf0	কমেন্ট
a828ad3125	4237e	সৈয়দ বেলালকে
a828cd8be8	06ea3	কিংবা ছিনিয়ে নেয়ার কারণে
a828db45ee	4bede	মেদ
a82915b0b8	e00db	লিখতে প্রবৃত্ত হয়েছেন
a8298ab6de	da6f0	কিছুই তাকে জানালাম না
a829b8a198	5a61c	নিরপেক্ষ নির্বাচন
a82a26a9d7	f0f95	উচ্ছ্বাস আর আনন্দই ছিলো
a82ac835e2	65652	কারণ হিসেবে বলা হয়েছিল
a82ae3e1ea	e31e7	ছিনতাই কাজেও লিপ্ত হয়
a82be62e58	d7a68	তখনই তার নামে
a82c0b3538	0633a	কেন্দ্রটি প্রতিষ্ঠার
a82ce8c959	b2a62	সংস্কারকের পতন
a82d152329	7a227	রওনা দিয়েও
a82d1b4d89	0e637	দু-একটা কীটপতঙ্গ
a82d372bc0	e03ce	শ্রীলেখা মিত্র
a82d884321	e55de	আজ আইসিসি টি২০ বিশ্বকাপের ফাইনালে মুখোমুখি হতে যাচ্ছে উপমহাদেশের দুই ক্রিকেট পরাশক্তি ভারত ও শ্রীলংকা।
a82d92e5c7	80be1	ছিলেন রসিকতাপ্রবণও
a82e4a6a25	39dd0	হাজির হয়ে জামিন চান
a82e75fd90	cc9fd	আরও বড় জীবাণুনাশক শ্রেণীর সদস্য
a82ed2d7a0	948d3	এই বদলি প্রক্রিয়ায় যুক্ত ছিলেন
a82f0f4c53	e68af	পদক্ষেপ গ্রহণে
a82f126c6c	1e7c7	আমরা উদ্ধার করেছি
a82f316222	9092b	যারা সবসময়েই আমাদের
a82f4b43bf	ee852	খুব অমায়িক ও দয়ালু লোক
a82f56d7a1	b52ab	উল্লেখযোগ্য সংযোজন
a82f660885	ca088	পৌষের আগেই
a82f9d8a97	7aed9	বছরের পর বছর
a82fe19897	b2a62	কাজ নেননি
a82ff1601d	7027a	কারণ হিসেবে বলা হয়েছিল
a8300544ba	086dd	এ আই মাহবুব উদ্দিন আহমেদ বলছিলেন
a8300f393e	2695f	বিশেষজ্ঞরা মনে করেন
a830648702	1a4a9	সমর্থনে অমিতাভ
a831716575	33aef	ঘরের বেড়াল
a831822ca6	6d129	রেডিও পাকিস্তানের
a8319561e9	4fc91	মার্কিন যুক্তরাষ্ট্রের নিয়োগকর্তারা
a831b2e13e	2bd99	শকুন্তলা জিজ্ঞেস করেছে
a83204e756	3ccf1	ব্যবস্থা নেওয়ার কথা
a83224e08a	ce180	বাইরে চলে যান
a832393ab7	7e191	নির্বাচিত দশটি বইয়ের প্রকাশনা
a8326c45e1	e2f12	মানুষ সংলাপের জন্য অপেক্ষা করছে
a833293560	e6203	সেনাবাহিনী মঙ্গলবার
a8338655f9	194f5	সুতরাং এ ধরনের কারণ
a833980b41	c173f	বৈদ্যুতিক ত্রুটির কারণে
a83437bc66	31f09	এ সময় তারা বিয়ের বাড়িতে
a8348345f5	fbb81	জান
a835070eeb	e9fa7	বৈঠক সূত্র জানিয়েছে
a83523bf30	ff1c3	এতে কোনো হতাহতের
a835ba7192	194f5	চাকরির দরখাস্ত লেখার নিয়ম
a835edaf9e	8c120	মামলা না চালানোর
a83621569e	0d4cb	কত কাউকে
a836b018ce	7b103	এক বিশিষ্ট স্থান
a83713e512	ce180	কিছু মানুষ আমাদের
a838b7f226	17dcd	ভাইবোন
a839aa1843	2556b	বাংলাদেশের অধিনায়ক
a839b83426	ea8fa	ওই ঘটনার প্রতিবাদে বিভিন্ন নারী সংগঠনসহ রাজনৈতিক দল সোচ্চার হয়।
a83a45293c	fcefa	খালি মুখে দিচ্ছে
a83a49aed4	3b1f7	প্রশংসা বা নিন্দা করা
a83a56c7b5	13b6a	উদ্দেশ্য বা লক্ষ্য যাহা
a83b5d1556	ff1c3	তারা আবারো অগ্রসর হয়
a83be62421	717bb	এছাড়াও করেছেন প্লেব্যাক
a83c035ac6	b5fdc	শীর্ষে ৩ দিকে উড়ন্ত বলাকা
a83ca06166	274ee	মৃত্যুর কারণ
a83cc7c7eb	8edea	তরঙ্গ দৈর্ঘ্য
a83d46e28f	1652d	কোন ধারণা দিতে পারে নি
a83d5861a5	46d49	ফলে এক সময়
a83d7d94d7	e68af	এই চুক্তি বাস্তবায়নের জন্য ভারত সর্বোচ্চ পর্যায় থেকে সহযোগিতা করবে।
a83de79bfa	9f25e	বিশ্বে বাংলাদেশের স্থান কত
a83e5e1a2e	0895a	জেএসসি-জেডিসির
a83e9c8f39	4bede	কাটাকুটির দাগ
a83f061526	e68af	তবে এবার
a83f49f277	a274b	৫ মাস পর
a83f6afabd	2695f	যুদ্ধের কোনও অভিজ্ঞতা নেই
a83f6d300e	c41d8	একাত্তরের যুদ্ধের সময়
a83f8d2daf	4bd2c	২৩ সেপ্টেম্বর, ১৯০৭
a84001a26d	15a75	পরিচালিত ছবি
a84041069e	717bb	তাই পেটের টানে
a840684245	2909b	চাপ দেবেন না
a840913bc7	16cfb	এদিকে দক্ষিণ সুদানের
a841458a52	bdd05	উড়ে যাই
a841a105d4	bfac7	পানি সরবরাহের পাইপ লাইন
a8425bf3d0	1a4a9	পাহাড়তলী থানার মধ্যে
a843356705	d9817	এদের মধ্যে অনেকেই
a8435ca80f	e68af	এতোদিন ধরে
a8438abf7a	860f4	এপার্টমেন্ট
a843baf474	ab946	অসত্য অভিযোগে
a8443c7642	bc81e	মনে রাখবেন
a844afb9ec	efc0d	সবাইকে বলতে লাগল
a845e4c5e3	9092b	জনগণের আকাঙ্ক্ষার
a8462f2dc3	f29bf	বাজিমাত করেন সুস্মিতা
a846449160	39dd0	রাজনৈতিক পরিস্থিতি
a8464d7361	8edea	সেমিনারের যৌথ আয়োজক ছিল দুদক
a846764ed5	72649	কারও গায়ে
a846e6b776	18a52	বৃহস্পতিবার নগরীর সোহেল চত্বর
a84727db98	282d3	ফেসবুকে এমন একটি পেজের নাম
a8472edbcd	3fc9d	ঘরে এল
a847511f20	bbb22	ওই বছরের ১৪ই নভেম্বর
a847732e04	2c9c5	একদিনে ২ দশমিক ২৩ শতাংশ
a8478a0475	b618b	রক্তবাহের প্রবেশ ঘটে
a847b7fff0	83c53	বাম মোর্চার নেতাকর্মীরা
a848258f55	0a87a	সিয়ামুল হায়াত
a84877643c	d136b	শেষরক্ষা করতে পারেননি
a84928a76f	9d46f	এ উপন্যাসে ছিটমহলের অধিবাসীদের
a8496d50d7	7f2ef	তা মেনে নেবে না
a849bc01f0	9813c	তার ফিল্ম ক্যারিয়ারের
a849c13faf	cb842	সে বড় বলবান্
a849c56633	80e98	দিগন্ত ও গগন ছেয়ে ফেলছে
a849edbc8b	a4750	কিন্তু বাইরে থেকে
a84a937a3d	6dff5	বিক্রেতাদের সঙ্গে কথা বলে
a84ae51fcd	a46e2	স্লোগান শুরু হয়
a84b4e46e1	b2a62	টেমপ্লেট অনুসরণ করে
a84be15ce4	ac904	মল-মূত্রকে
a84be1a013	f29bf	মায়াবতী রামকৃষ্ণ
a84be9c205	29f8c	সেটা সারিয়ে দিতে
a84bf389c7	ac0df	উপস্থিতির জন্য
a84bf3f3a4	13b6a	মুক্তিবাহিনী পাকিস্তানের সেনাবাহিনীকে
a84c211682	93080	পাকিস্তান ও শ্রীলঙ্কা
a84c69d439	f7a7f	ফুলের মালা
a84c6efc5c	ab946	তিক্ত অভিজ্ঞতা হয়েছে
a84c9f2e9a	efc0d	অমঙ্গল
a84cae0a13	76329	তবে বাংলা ক্রিকেট-সাহিত্য
a84cd75065	76329	রাজধানীর এক হোটেলে
a84d62094c	66b3c	দেশটির আরো আটটি দ্বীপ
a84dbf4bf1	0633a	এ ঘটনায় বিশ্বনাথ থানায়
a84dc03531	66b3c	আধুনিক অস্ত্রশস্ত্রে সজ্জিত
a84de33196	7ed14	প্রচার হয়েছিল
a84df9f071	38ff0	হুমায়ুন কবির
a84dff6c11	9351a	যে দেশে পুরুষ পা-জামা পরে
a84e1e9e3d	d2355	বর্তমানে সেসব প্রস্তাব
a84e9e9413	e9759	নানা ধরনের পণ্য
a84ea48d13	3faff	গ ইউনিটের প্রায় ১ হাজার ১০০ আসনের বিপরীতে সাধারণত ৩৫-৪০ হাজার শিক্ষার্থী পরীক্ষা দেয়।
a84eaab213	91b16	এ উপন্যাস সম্পর্কে বলেছিলেন
a84f19beb9	e00db	তাও আমার স্পষ্ট মনে আছে
a84f2814a3	767ff	প্রচার এবং পণ্যসামগ্রীর বাণিজ্য
a84fa1ff16	8b859	কিছূই ঘটেনি তা নয়
a8501c6423	4bd2c	রুল জারি করেছে হাইকোর্ট
a850260c6b	2de86	রানা প্লাজা, তাজরীন বা আমিনুল হত্যাকাণ্ডের প্রেক্ষিতে যুক্তরাষ্ট্র এ ব্যবস্থা নিয়েছে।
a850e474b8	b5fdc	ইংল্যান্ডের সবচেয়ে সফল ক্লাবটির
a850e50f2b	85430	এটা তাহার ভাল লাগিল না
a851d569b6	d9081	তিনি ওয়েস্ট ইন্ডিজের হয়ে
a851e5bcb7	0895a	নিয়ে আসতে হবে
a852ac05e3	4f2ae	বিশ্বের বিভিন্ন দেশে দত্তক সন্তান প্রাকৃতিক সন্তানের মতো উত্তরাধিকার পাবার যোগ্য।
a852efd785	2695f	আই অ্যাম
a85311e388	730c3	যানবাহন ভাঙচুর
a8531a68c2	35ef3	দূর-দূরান্ত থেকে
a853f091da	16e96	১২টা ৪৩
a85476025f	3d17c	ফোনে দুটি সিম ব্যবহার করা যাবে
a8551efff3	72649	প্রস্তাব গুলো ঘোষণা করার আগেই বিরোধী রিপাবলিকান পার্টি এর বিরোধিতা করে আসছে।
a855213119	d82d9	এই ব্যাখ্যা যথাযথ কি না
a855536ea4	2ecf8	প্রধান নায়িকা হিসেবে
a85571cf1c	13b70	খুব একটা ইচ্ছে ছিল না
a855efb6eb	3d17c	বাংলা অভিধান বইটি
a8567d25bc	1f974	স্থগিত করার সিদ্ধান্ত নিয়েছেন
a85698c8dd	9282d	আমাদের ওর এবং চিকিৎসকদের সঙ্গে
a858854d03	0a87a	ক্রিস্টিনার স্বামী
a858b8cb96	12702	এই ভিলাটি তুমি
a858bc907d	e2ff7	এ ভ্রমণে জনপ্রতি খরচ হবে
a85908d0c2	37d7e	গোল ব্যবধান আর বাড়েনি
a8595a0f48	730c3	আর ফিরে যাননি
a859613cf0	47e8d	কাঁদিয়া উঠিয়াছে
a8599778c4	195f7	সৃজনী প্রতিভা
a859d38083	e8dde	দুটো কাকতালীয়
a85a152760	f280a	হাজার বছরের
a85a3aae7a	1c618	জড়ো হতে থাকে
a85a89329e	4a918	রোববার দশম জাতীয় সংসদের
a85ad51cda	ac904	সেই যুদ্ধের অন্যতম ইংরেজ কমান্ডার
a85ad6f332	33814	কর্মসূচিতে অংশ নেয়
a85b196019	0d4cb	দক্ষিণারঞ্জনের পিতার নাম
a85b330ef5	e31e7	এখানে শফিকুলের লাশও
a85bf79ee0	d1a48	এতে ঘটনাস্থলেই
a85c16819b	ee994	দখল নিয়েছে তারা
a85c2252d4	e754e	বর্ডার গার্ড বাংলাদেশ বা বিজিবি
a85c9b60c1	ad98d	সরু একটা রাস্তায় ঢুকতে
a85d519df1	717bb	২ হাজার ৫শ’ টাকা
a85d65549b	49543	প্রধান বিরোধীদল
a85d9a89e2	e3f89	১৯২০-য়ের দশকে
a85f331a52	3fce2	ফেসবুক থেকে ভিডিও ডাউনলোড
a85f368dc4	33aef	খেলোয়াড় বলবে না
a85f3affad	860f4	যা প্রশংসার দাবিদার
a8602d1d80	b8bba	আমার কেন অঙ্গ হৈল ভারি
a86081c303	b8ed8	আগুন নিয়ন্ত্রণে আনতে
a860854800	f1ff2	অধাতু হল
a860dfa9da	9f25e	তার সাথে আমার
a860f5022c	2d78f	বিশেষ করে প্রত্যন্ত অঞ্চলে
a86189f8ee	38d3a	থানায় তাকে
a8618dbe5e	17ca1	ফজলুল কাদেরের ছেলের বিরুদ্ধ
a8627542eb	745b7	দু’দিনেই মরে গিয়েছিল হেনার
a862aa0a80	d5213	আর যারা প্রকৃত প্রেমিক তারা আজ বঞ্চিত।
a862af4bb0	16877	স্বীকার করে
a8632ed641	1652d	১৫ ওভারের মাথায়
a8635a7e18	7e1d5	তা ভেবে পাইনে
a86388cf91	d136b	রাস্তার যানজট ঠেলে
a86429205a	932bb	রীতিমত নির্দোষ ব্যক্তিকে
a86435de8a	1a4a9	কথা বলতো না
a8648b8ff1	ad69a	পিএইচপি
a864d64de2	410fa	সুষ্ঠু প্রদর্শন-প্রক্রিয়া চালু হলে
a86518fac0	ee852	শ্রমিকদের উস্কানি দেয়ার কারণে
a8653dad31	c0965	প্রচারিত হয় এবং লয়ও হয়
a86562ba3e	d3e06	ব্রিটিশ কর্তৃপক্ষকে
a865b698f9	693cb	আগস্ট ২০০৯ নাগাদ
a865c79994	1f974	অবেস্তা ভাষা
a866770a40	bdfc1	লঞ্চটি টেনে তুলতে পারলেও
a8667c1a73	33814	তাপমাত্রা ঠিক রাখার চেষ্টা করে
a86727f614	dba43	সন্ধ্যা ৬টা পর্যন্ত
a86730046d	28dfc	এদিকে বিরোধী দলের
a867551c4a	29d44	আরেকটা কথা বলব
a867dd1dea	ad2a0	স্বীকৃত ছিলেন না
a8682d0806	6b437	আরাকান রাজ্য-পরবর্তী সময়ে
a868bb86e5	13b70	পূর্ব পাকিস্তানকে
a868d35245	903fa	দেওয়া হয়েছিল
a8693edd52	7d3e1	খাদ্য অধিদপ্তর
a869964ff4	f9dfb	ত্রিপুরার প্রথম মেডিক্যাল কলেজ
a869a334c0	bcaa8	এখন শত শত মানুষ
a869b11c5e	195f7	তারিমুন জাভা অন্যতম
a869f998d0	37e17	আজিমপুর কবরস্থানে দাফন করা হবে
a86ab69237	1a4a9	আতাউল করিমের দেয়া নতুন ধারণা
a86b54ba77	a4750	তারা যেন একটু হলেও
a86b8d33db	3bea8	মি. মোরসিকে মুক্ত করে দিতে
a86b90afd8	9d398	খুরশীদ আলম
a86bd36db7	ce180	পারিবারিক শিক্ষাই
a86be4b658	4fc91	রংপুরে জনসভার পর
a86c0c9a68	39dd0	পাখা
a86c99ec89	c173f	দুই লাইন কবিতা বলবো
a86ca5efe2	e55de	ঠিক করলেন একা নয়
a86d01f3be	698a4	ভাঙচুর করতো
a86d1b47f9	8845d	আমি নিজে
a86d2aa7d9	6fb36	বলেই মনে
a86e030d4c	07660	পৃথিবীর ইতিহাসে
a86e60511c	a9a58	আব্দুল খালেক দিয়ে থাকেন
a86f61c843	f280a	যোগাযোগ করে
a8703e6acf	404ee	অধ্যাপক ড. মযহারুল ইসলাম
a870a43eef	71522	দু’টি যানের জন্য
a870b80590	5b13f	জানান ওসি ইউসুফ
a870d5df0f	b8ed8	চীনা
a8717985c2	b8bba	ওজিল
a8720b6f0a	91dff	সুন্নত না পড়লেও চলে
a872bc980e	698ff	কী কথা খুলে বলবে
a872d9ddd2	c463d	তার মনে হলো
a8734df6ec	430b2	আর মাত্র পাঁচ মিনিট বাকি
a8744e289f	18a52	গণতন্ত্রকামীদের বিরুদ্ধে
a8749fdd04	7c272	রোববার রাত ও সোমবার ভোরে
a874b545da	10a9f	দুই জনকে
a87607cb8a	8edea	ফুটা
a8761f5d8d	68ab7	শুধু সাভারেই মিলবে
a876c428aa	8632b	মে মাস থেকে
a876fa5d87	7ee9b	উন্নত করার জন্যই
a8772183a6	bdd05	সকাল ৯টার আগেই
a8776de325	491a5	সাহিত্যকর্মের স্বীকৃতি হিসেবে
a87774dba9	590d0	প্রেম থেকে বঞ্চিত হয়
a877ab132b	5a61c	ধীরে ধীরে তার
a877f425b2	12702	কাটরা হইতে নামিয়া
a8780d4e4f	ee994	ভিলেন
a8784e844d	355c1	৫ই জানুয়ারির নির্বাচন
a87853a886	0633a	আইরিশ ও কট্টর হিন্দুত্বে বিশ্বাসী
a8788518c9	05901	আমাকে জিজ্ঞেস করল
a878b1ad5d	2b883	জিয়াদ বাহা এল দিন
a87963d95f	9813c	আলাদা বেতন কাঠামো
a879a9dc3e	af81d	এই হাট
a87a0015d2	b7be9	বিভিন্ন প্রশ্নের জবাবে
a87a241acc	7898e	এমন নানা নম্বর যুক্ত
a87a3233b8	16cfb	এই জল খুব একটা
a87ab08e7b	1a2a1	তবে স্প্যানিশরা গুলি করেনি
a87b2c284e	52578	শিক্ষা ভাতার ব্যবস্থা করেছি
a87b30be5c	2de86	আমি চলমান সিলভার লাইন
a87b5a2cb5	bd576	নাটকীয়ভাবে কমেছে
a87ba50933	b52ab	এ বছরের এপ্রিলে
a87bee17d1	f1240	নিজের কাজ নিয়ে
a87ccd1ca6	ea8fa	ডিবি সদস্যরা
a87d5a71af	b8bdd	ওয়েবসাইটে এবং দৈনিক পত্রিকায়
a87d67e57c	3fce2	একই সঙ্গে দিশা গীত
a87dab07ba	84145	গূঢ় তাৎপর্য্য আছে
a87e202854	f2780	নিজেদের জনপ্রিয়তা প্রমাণের
a87e5f062f	948d3	উন্নত জাত তৈরি করেছে
a87e8c5e6d	9642e	সমাবেশের মাধ্যমে
a87e904aa5	49543	কুফর-বর্জিত নজরুলকে
a87eafb142	4486f	এসব পাখি থেকে
a87ee21c48	6aac8	তার একমাত্র সন্তান মুনমুন সেন
a87eed245b	b8ed8	কয়েকশ মানুষ হতাহত হয়েছে
a87f0d1779	717bb	দু’জন হাই বিজয়
a87f49835b	fcc89	একটি নাটকে
a87fc628ee	5a61c	উচ্চ সামাজিক শ্রেণীর
a87fd265ec	85430	তথ্য-প্রযুক্তির ব্যাপক ব্যবহার
a87ff535d5	b8ed8	সবসময় এভাবে শাড়ি পরতো না
a880618819	7b900	বাধা তৈরির একটি উপায়
a88088c0b2	92f59	স্বরাষ্ট্রমন্ত্রী মহীউদ্দীন খান আলমগীর
a880a8e4d2	fb4cb	অতিরিক্ত কিছু আদায় করা
a880f7679f	410fa	দেয়ালের এই পিকাসো মাতিস
a881107754	2c9c5	রাখির বন্ধন পাঠাইলাম
a8811d71ff	f89d7	সকালে টঙ্গী কলেজ
a8814128f2	4dd57	এখনো যে আর্মি নিয়ে আসছি
a881788ef0	3faff	আমাকে জড়িয়ে যে সংবাদ
a881b4dcc8	d9817	হামলার পাল্টা জবাবে
a881cca478	73629	ফটোশপের নতুন সংস্করণ
a881fcb6f1	80be1	লোকে খোঁজে
a88230a2a5	60b9d	নতুন হাসপাতালটা
a8824e1029	33aef	এলাকাবাসী
a88263cfd3	ff0fe	তবে পুলিশ আরও
a8836711cd	49d63	৩১ মার্চ পর্যন্ত
a883cfe56a	80518	সাম্প্রতিক বছরে
a883fb212d	69d9a	একাদশ শ্রেণিতে ভর্তি
a884704302	b8ed8	বিহ্বল-চোখে তাকিয়ে
a885906de1	b4ea7	তা করা হয়েছে
a885d67bfd	88654	ফলে সময়মত শিক্ষার্থীদের
a8868ca8c0	60f77	২-৩ মিনিট হালকা হাতে
a886a566a9	69d9a	উপদেশ দিলেন
