9b010005b3	4bd2c	১৫ ওভারের মাথায়
9b28e95819	1b359	কেবল রোমার মাঠে লড়াই
9b29c72487	0d9f1	পদ না বাড়িয়ে
9b29f4a159	ce629	ভিসা যাচাই
9b2a2dfc95	fdcba	এবং বিভিন্ন নিরাপত্তা বাহিনী
9b2a61f682	7f2ef	মা আবার বলেন
9b2a895295	ee852	সিটি অবশ্য
9b2ab01667	28dfc	নিয়ে আলোচনা তোলবার দরকার নেই
9b2af08a27	d41be	নদী কোনটি
9b2b4de739	7351e	ট্রেডশো ‘সিবিট’-এ এক জার্মান সংবাদমাধ্যমকে
9b2b52464e	b618b	ওমর ফারুক জানান
9b2b60851b	fcc89	শহরের রাস্তাঘাট উন্নয়নের জন্য
9b2bc33876	54cdd	দ্বিতীয় প্রধান কার্যালয়
9b2bdb5c25	43fc0	উদ্ভাবন করেন
9b2c90a14e	16877	রাশিয়ার যে সংকট চলছে
9b2cd763e7	520fb	উপর নিয়মিতভাবে
9b2d4b6cea	2aecc	এখনো অনেক মানুষ নিঁখোজ
9b2d52e442	2aecc	ভারী অস্ত্রের নির্বিচার আঘাতে
9b2d6a7d6c	d1b12	অবিরত বলবত থাকে
9b2d78651b	85430	সাবেক পরিদর্শক তদন্ত
9b2d9af9a6	ef4f8	দ্বিতীয় অবস্থানে আছে
9b2e00cf8a	01e91	বিনামূল্যে ব্যবহারের জন্যে
9b2e11cc5f	91b16	তিনি প্রতিবাদ করে বলেন
9b2e48cd87	d5213	লাল হরফে লেখা হয়
9b2ec7739f	49d63	দেশের প্রথম সরকারি-বেসরকারি উদ্যোগে নির্মিত এই ফ্লাইওভার যৌথভাবে নির্মাণ করেছে ওরিয়ন ইনফ্রাস্ট্রাকচার লিমিটেড ঢাকা সিটি করপোরেশন।
9b2eca06fe	84145	মাঠ ছাড়েন
9b2ed5b0c6	5dec6	অসুস্থ শরীর নিয়ে
9b2f7693a6	2840e	২১শে ফেব্রুয়ারি
9b3013a0d9	95907	টায়ার, কাঠ
9b303f7892	6da0a	প্রতিনিধি দল
9b307422c0	355c1	মজার ঘটনা হিসেবেই নিয়েছেন তিনি
9b308049e3	2bd99	সত্য ঘটনার সাথে
9b30a99f0c	33814	এটা আসলে একরকম রফা
9b30d2ab66	21e54	মশহুল হয়ে
9b30dace3a	554fe	নজরুলসঙ্গীত শিল্পী
9b31343bc4	d1a48	তা মর্মান্তিকভাবে সুনন্দা আবিষ্কার করে
9b317fb16b	29d44	দ্বন্ধযুদ্ধে শাহবাজের হাতে আসলেই
9b31cf7be6	14d25	জাতীয় স্তরে
9b31d95183	f1ff2	একটা থমথমে ভাব
9b31ed2846	23291	সৌদি আরবে
9b32accc76	ff1c3	কলকারখানা ও প্রতিষ্ঠান পরিদর্শন অধিদপ্তরের
9b332d02c6	16cfb	বদরুদ্দীন উমর-সম্পাদিত সুকান্তসমগ্র
9b334fbfa6	ee4ad	অবশ্য দলটির
9b33827fb2	2d78f	বইয়ের গল্পে
9b33d9d814	ee7b2	আমার প্রস্তাব গ্রহণ করলেন
9b33e4591b	9e923	কাজেই বাসিন্দাদের
9b35436f80	7898e	দুদকের কবীর হোসেন
9b356f2752	a1d4a	নিজেদের পরিচয় তুলে ধরেন
9b358fa261	61820	নতুন সীমান্ত পেরিয়ে
9b35a521f6	52f27	বাংলাদেশে অনেকে
9b360b8f94	d136b	ছবির একটি আইটেম গানে
9b3688abd1	c7705	তাদের চারিদিকে প্রথমে
9b36c4b5d0	9c8dd	প্রতীক্ষা ছিল
9b36cec2db	8edea	সিরিয়ায় প্রায় তিন বছরব্যাপী গৃহযুদ্ধে দশ হাজারেরও বেশি শিশু প্রাণ হারিয়েছে।
9b3715ec2c	bbb22	ভালো যাবে
9b37cc6756	c41d8	ধরা হয়ে যায়
9b37dfa6ff	d2355	রায় বাতিলের জন্য
9b3816e01c	09b32	আর সবার হাতে ছিল কোরান
9b38cd16cc	68549	ভেষজ
9b38d2e828	f2097	সেই রোগিকে
9b39100327	c173f	যাত্রা শুরু করেছে
9b39187408	6da0a	আমাকে আপনার সঙ্গে
9b3993abe4	c958a	অপুর সংসার
9b39ad7a8b	8143b	সেভাবেই থাকতে পারবো
9b39c85685	5dd61	ভয়ানক ছবি
9b39f8b0c5	4a67e	৬০ পয়েন্ট নিয়ে
9b3a1960e7	bd576	পি চিদাম্বরমের সঙ্গে
9b3a395c88	91ac1	অভিযোগ করে বলা হয়
9b3a3e4745	6b437	দলীয় সরকারের অধীনে হয়
9b3b34676c	ee852	১৯৭০ সাল
9b3b3a1a5a	7f2ef	অর্থ দিতে রাজি হয়েছিল
9b3b660374	bdfc1	ব্রনের দাগ দূর করার উপায়
9b3b94218a	f83df	বাংলাদেশের আবহাওয়া
9b3bb3d6fd	355c1	সর্বকালের সর্বশ্রেষ্ঠ সুন্দরী ক্লিওপেট্রা
9b3bc28897	53396	আমার কি
9b3bf0df3f	e6d83	আমাকে
9b3bff0704	b4ea7	খাটের তলে যেমন কেঁপেছিল
9b3c0e99bd	693cb	কিন্তু কেন ব্যক্তিগত উদ্যোগে
9b3c0e9cdd	4a918	তাঁর দায়িত্ব নেওয়ার কথা
9b3c8c7bb0	f1ea4	প্রথম আদমশুমারি হয় ১৯৭৪ সালে
9b3cc7afd6	d5213	বাবার এই আদর সোহাগ সব
9b3db13b37	8143b	কিছু নেই বলেই তো সুবিধা
9b3dd250fe	3bea8	পরীক্ষা
9b3e1790a2	95907	বৃহস্পতিবার বেলা ৩টা থেকে
9b3e1be1ee	33814	আশঙ্কা থেকে যায়
9b3e36dd6f	194f5	মাস্টারের কাছে
9b3e8f0dd7	315e9	আরও পাঁচ বছরের কারাদণ্ড
9b3eb21649	9d46f	প্রতিষ্ঠিত হতে চান
9b3f0de0a6	18a52	দেশি-বিদেশি বিনিয়োগ
9b3f3ca840	c958a	বুধ গ্রহ
9b3fef0ac5	a916a	হাসি, কান্না দুটোই
9b40278444	54cdd	সুবিশাল মেঘ
9b4050d137	c9c19	ইতালির পতাকা
9b405701ce	0606d	কমলালেবু পেলাম না
9b4084d156	e6203	আইএসআইয়ের চর
9b408ca22a	e3d8b	বরাদ্দ করায়
9b41ad47e2	7b900	ভেতর থেকে
9b41c65de6	83c53	শেষ পর্যন্ত তাঁরা বাঁচতে পারেননি
9b423d54ed	3faff	কাশ্মির
9b4268ab99	d2294	পাজেরোতে পতাকা ওড়ে
9b426e3e9c	60f77	যুক্তরাষ্ট্রের প্রভাবশালী পত্রিকা
9b4292ccc2	153c9	আর সেরার সেরা
9b42b6c8a7	ce629	আশাতীত সহজ জয়ের পরও
9b43d0e4e0	2f547	এখন বুঝি যে
9b4442aeb2	616ec	মধ্যস্থতা করেন তিনি
9b4448a782	7d133	রবিবারের ফাইনালের পর
9b44860913	4a67e	বেশ মসৃণ এবং জ্বলজ্বলে
9b448f0068	1cb75	প্রকাশে ভেস্তে গেছে
9b44e84cf9	42898	সহ্য হয় না
9b453601c7	2556b	প্রেসিডেন্টের শাসন জারির
9b458a0837	f1ff2	স্বামী আর শাশুড়ি ও ননদের
9b45970fc9	b618b	মমিনুল হক
9b465c6a87	1cb75	আমি সংগ্রহ করেছি
9b46867ea2	29089	অশোক জিজ্ঞেস করেছে
9b469d5d6d	80539	গরুর মাংস রান্না
9b46f874d5	b08d0	৭৫ ভাগ সমস্যার
9b4723a6f5	32998	ত্রিপুরার রাজধানী আগরতলায়
9b4728c2ae	29d44	এই আদর্শকে
9b472a64be	e9fa7	প্রথম প্রহরে আকস্মিকভাবে রাডার থেকে
9b479a3eb8	ac904	অবিশ্বাস্য ছবি
9b47a80e06	256f5	এই অভিনেত্রীকে
9b47e57752	29d44	অনেকটা বদলে গেছে
9b4803b792	7d004	জানি না, এই জীবনে
9b481183b1	3fce2	এবং রুশ প্রেসিডেন্ট
9b4827b823	cf82a	চলতি বছরেই
9b484fc44c	ef915	নজরুল ইনস্টিটিউটে
9b487ba462	1de6c	অকল্যান্ড দ্বীপপুঞ্জ নিউজিল্যান্ডের
9b4893f684	086dd	মতপার্থক্যের ভেতর দিয়ে
9b48c6b02d	ad69a	শ্রীলেখা মিত্র
9b491d59ac	32998	শেষ অবলম্বন হিসেবে রেখেছি
9b494397da	ce629	তিনি আবিষ্ট হইয়া পড়িতেন
9b49c648a0	c0d65	অনেকটাই বেশি
9b49f842ed	39dd0	আমি বলিয়া উঠিলাম, আরে
9b49fd0172	f2780	কেনাকাটা শুভ নয়
9b4a560e3b	80505	এটা নিয়ন্ত্রণ করা যাচ্ছে না
9b4ac49968	3fc9d	বই জিনিসটার
9b4ada7e2e	d1a48	হাসপাতালে ডাক্তার নেই, নার্সরাও সব পালিয়ে গেছে।
9b4b123f83	0a87a	ভারতে বৃহৎ শিল্প গড়ে ওঠে
9b4be02635	a916a	তাহারা যশ মান ধনের কাঙ্গাল
9b4c58a915	db735	আরেক পা
9b4c67e327	e2ba2	শেয়ার ও মিউচ্যুয়াল ফান্ড
9b4d302784	6c17f	আটজনকে নির্যাতনের পর হত্যা
9b4dbff494	ad98d	শিল্প
9b4e187677	8632b	এভাবে জন্ম নিচ্ছিল একটি নক্ষত্র
9b4e2534e3	cf82a	১৯১১ সালে
9b4e4309ee	c749e	পুরো জাতির মধ্যে
9b4f434504	7297e	নারীবাদীরা পৃথিবীর সর্বত্র
9b4f4da3dd	68ab7	তাহাই জসীমউদ্দীনের বুলিতে
9b4f68b018	6ee5f	লেখার জন্য
9b4ff43776	903fa	তাহাতে মূল প্রতিপাদ্য বিষয়ের
9b50265cbc	ad2a0	পথের পাঁচালী ও অপরাজিত
9b506376b9	e6e48	উৎকর্ষতা বিবেচনায় রেখে
9b50db752a	8cf95	পোষা প্রাণী
9b51248c91	ef4f8	বারবার নানা ছুতোয়
9b5126759f	4fc91	তা জানতে চাইলে
9b512c9976	e68af	১৯৭১ সালে ২৪৫০
9b512da642	c7705	দুটি পাশাপাশি সমাজব্যবস্থা
9b51344509	0744c	সংগঠিত প্রায়
9b5162aa2b	6ee5f	লুইস সুয়ারেজ
9b51a8ee93	a46e2	ইতর
9b51b00ba0	ea8fa	অর্থনীতি বিভাগের
9b51c18fe1	967fd	তাঁর মুখস্থ
9b51d72c7e	29f8c	আচ্ছা তুই কি আমাদের ওপর
9b51fb04df	2d78f	আনন্দ পায়
9b528edf1a	2909b	আসামি করে
9b533e0f94	80505	বাংলাদেশ খুব একটা
9b536abacc	ef4f8	তরুণী দেখানোতে বিরক্ত সবাই
9b53b634f6	d8c80	মরক্কোর টিভি সাংবাদিক মানিনু সাদিক
9b53c85d5e	2d98b	মধ্যে প্রথম দুই মাসে
9b548a833f	b78ec	তিনি ঘটনার বর্ণনা দেন
9b55468c54	4c1eb	চাক হেগেল জানান
9b55558e10	e3d8b	রাস্তায় নামাচ্ছেন না
9b556f4b53	3f493	পাকিস্তানের বিপক্ষে ওয়ানডে ম্যাচ
9b556fb66b	23291	গতবারের পরাজিত প্রার্থী
9b55a18995	2ac82	সন্ধ্যার দিকে
9b5634fb42	7ec1c	যার কোন ভিত্তি নেই
9b563dfb82	f143a	সুরক্ষা বিধানে
9b5642f569	92f59	অংশ নেয়ার জন্য
9b5661d13c	d2d71	অভিযোগ গঠন করছে
9b56b4c97a	442b7	যে বাড়ির ঠিকানা
9b5737e1cf	ce180	স্মৃতিচারণ করে
9b57773140	80539	সমর্থকদের মনে
9b5792d282	509f6	সাজানোর জন্য
9b57b99b70	06736	পিঁয়াজ রসুন ডাল শাকসবজিসহ
9b57fd3833	2aecc	স্বাস্থ্য অধিদপ্তরের মহাপরিচালককে
9b58829a4a	0f047	তারা কার কাছে যান
9b58954e9a	0a87a	তখন লিন কেএমকে জানিয়েছিলেন
9b58dfc413	3d17c	না ঘুমোনো মেয়ে
9b59147246	404ee	আমাদের মুক্তিযুদ্ধের বিজয়ের প্রতীক
9b593212b9	29089	এই অলরাউন্ড নৈপুণ্যটি সাকিবের
9b5966ac99	ee7b2	৪৪ শতাংশে দাঁড়ায়
9b5b08649e	d71a3	প্রধান সমুদ্র বন্দর
9b5b60220a	e2c11	প্রথম ফাঁসি হয়
9b5b8cc6da	71522	বাগদাদের খলিফা
9b5be70ace	536d9	অধিগ্রহণ করে
9b5c19f21d	31f2a	বাইরে চলে যায়
9b5c367d25	e68af	থেমে যায়নি
9b5d146d34	404ee	কাজে যোগ দিচ্ছিলো
9b5d43c426	4c1eb	পরামর্শ দেন
9b5d6b7807	52578	এই প্রয়োজন পূর্ণভাবে
9b5e510ce0	bdd05	ঝেরে ফেলে
9b5ede9a68	e9759	পূর্বসতর্কীকরণ ব্যবস্থা
9b5f01e7a9	46da4	সন্তানহীন দম্পতিকে তাবিজ দিয়ে
9b5f035455	c958a	দৃষ্টিভঙ্গিই প্রধান কারণ
9b5f07f2d4	f83df	এবং সহযোদ্ধা নিয়ে
9b5f4af5d8	13b70	পার্ক
9b5f85ebd9	274ee	গ্রামের বউ
9b5f938a94	0b7ca	গ্রামীণ ব্যাংক
9b5fabcdc7	2ad74	বুধবার রংপুরের পীরগঞ্জে
9b5fccd886	d9ba9	ও আবাসস্থল গ্রাম কিংবা শহর
9b600e2295	bd576	স্মিতা পাতিল
9b609a82a4	e03ce	ইহার একটি অপূর্ব উদাহরণ
9b6124e7e9	29d44	ঘুম ছেড়ে এখনো ওঠিনি
9b6144f324	c4973	হনুমান
9b615c99f6	e6203	পরীক্ষা করতে পারেন
9b61ded99b	7c272	প্রশংসা অর্জন করেছিলেন
9b620e358f	943de	প্রতি মাসে তিনি
9b634e47dd	29089	সব প্রস্তুতি নেওয়া হবে
9b63743f0c	a06a1	আমি আর দেখিনি
9b637f929e	7aed9	আমার বাবা মাই
9b63ac5eba	14d25	ভারত বহুদিন ধরে
9b63b9a83e	d2294	আমরা সংবিধানের অধীনে নির্বাচন করবো।
9b642119db	4f450	ফলিত গণিত ও তাত্ত্বিক পদার্থবিজ্ঞানে
9b64ed7f77	3fce2	বা আইএমএফের প্রধান
9b65317f2f	91b16	সেগুলোকে কিভাবে দেখেন অনন্ত জলিল
9b653a2694	ec91c	তাই আমার টিউমার হয়েছে
9b6582f990	5d12f	চোখ বুজে বলি
9b658c9c3d	aa820	প্রতিটি ভিডিওর পর
9b659a427d	778c0	উপায় ছিল না
9b65b20dfc	1652d	এক সপ্তাহের মধ্যে
9b65c51510	71522	আরও অসংখ্য পেশায়
9b66b27f6f	693cb	তার সামনে
9b66d98398	5e80b	গতকালকের দিনটা ছিল
9b6789ddac	7c272	সে বাসা থেকে
9b67a9474d	4dd57	জোরালো সমর্থন রয়েছে বিরোধীদের
9b68d24eff	8ba2b	আক্রমণ করা হয়েছে
9b6909923c	4ea73	আন্তর্জাতিক ট্রেড ইউনিয়ন ফেডারেশন
9b690b97ad	9d7bf	জেলার দুই হাজারেরও
9b6925ed5e	1cb75	তাদের সবকিছু কালো
9b692983da	e8dde	দ্রুত সিদ্ধান্ত নিয়ে
9b692d1bf3	693cb	প্রায় সবার মুখেই সিগারেট
9b69deb4df	64092	একজন কূটনীতিককে
9b6a283f0f	ad69a	তুলার গুদামে লাশ দেখতে পেয়ে
9b6a984922	d1b12	এবং কতদিন পর্যন্ত যায়
9b6ab81220	2695f	মধুর সম্ভাষণে
9b6afa61a8	f1240	প্রশাসনকে মামলা
9b6b19e31c	37d7e	ভালবাসার মানুষ
9b6b35f8f6	44322	সংঘাত এড়ানো সম্ভব
9b6bf5d883	14816	রাতের বেলা তৎপরতা
9b6c36a961	12702	কাম কেয়ারটেকার মোস্তফার সঙ্গে
9b6c4daeb4	5a61c	বরিশাল পলিটেকনিক ইনস্টিটিউটের
9b6c9852f9	b618b	আহত দুইজনকে চিকিৎসার জন্য চট্টগ্রাম মেডিকেল কলেজ হাসপাতালে পাঠানো হয়েছে।
9b6cc91808	ef4f8	মহান মহান
9b6cf0251a	442b7	সচল ১০ ভাগ সরঞ্জামও
9b6d30da9c	11de3	তুলনা করেন
9b6dac098e	3bea8	বাবলু সাহা জানান
9b6db3b2bb	6ee5f	কোনো লেখকের পক্ষে
9b6e297f25	47e8d	চৌদ্দআনা লেখাতেই
9b6eba4e7c	23b22	এমনই এক গল্পে
9b6ed98645	1652d	আমরা আজ পড়ি
9b6ef4e556	ff1eb	মেয়ের চোখের চাহনিতে
9b6f78e61f	4164f	একে বলে ব্রেইন স্ট্রোক
9b6fc84a3f	f4ba7	একটি ঐতিহাসিক মধ্যযুগীয় মন্দির
9b6fcde29f	932bb	নওশের আলী খান
9b709345bf	f2097	আমরা তখন কেউ ভাবিনি যে
9b709919ed	c173f	মার্কিন যুক্তরাষ্ট্রের এক অভিযানে
9b70a2bbd0	7e191	মনে রেখে হয় না
9b70aaeec9	880ae	সরকারি কয়েকটি মন্ত্রণালয়ের সাথে
9b70f0df74	c463d	সত্যমূল্য আরোপ করে
9b717baea1	274ee	স্বস্তিময় উপসংহার
9b71af7f0b	2695f	রাজ্যের অভিমান
9b71e22ad9	0744c	আলাদা করে রাখা ভালো
9b7238407b	7027a	বিশ্বে ডেইরি পণ্যের সবচেয়ে বড় যোগানদাতা দেশ নিউজিল্যান্ড।
9b72571242	ea5be	যে ধারা চলছে
9b72a2c481	fcefa	জয়নুল আবেদিনের চিত্রকর্ম
9b737e33b3	7b60a	জীবনের প্রথম
9b737e5fde	33aef	কাজীর শত অনুরোধ
9b73b4e9f9	28dfc	গত শনিবার
9b74110218	9092b	দেখতে পাওয়া গেছে
9b7517c6cd	75f18	দ্বীপটির অবস্থান
9b7519872c	13b70	৫০ থেকে আশির কোটায়
9b7566a45c	43fc0	এখন বরেন্দ্র ভূমিসহ
9b75885942	24aed	আরও ২ দিন বাড়ানোর
9b75a89891	491a5	বৃহস্পতিবার সকাল
9b75b46f9f	e9fa7	চিকিৎসা মহাবিদ্যালয় হাসপাতালে
9b75e77ae9	c173f	প্রতি-আক্রমণ থেকে
9b75ece472	82926	আড়াল মেনে
9b75ffb529	b7be9	বাংলা নাটক
9b7608f963	4c555	তোমায় আমায় মিলে স্টার জলসা
9b763bb103	db735	জেসমিন জানায় বলে
9b765f985e	b8bba	রাজনীতির ওপর
9b766d1374	5dec6	শুভ শক্তিকে প্রতিষ্ঠার জন্যই
9b76bbf42b	d9ba9	তাঁর গল্প
9b76ea42b2	0a7a0	পারিবারিক চাপে
9b76f41da8	256f5	প্রায় দুই মাস পর্যন্ত
