be00062ef6	c7a89	এসির চাহিদা কয়েকগুণ বেড়েছে
be0c3c675e	e6752	মেসের প্রত্যেকেই
be0ca32e12	d0c70	অন্য আর একজন মাত্র
be0ccb6c76	1e7c6	প্রধান কোচ হিসেবে নিয়োগ দেয়
be0d656a9d	52578	সর্বশেষ ২০১০ সালের ২৭ জুলাই
be0d88b418	aab0f	সেলসিয়াস বা ঢিপি থেকে
be0dbb5849	aa820	সৈয়দ আব্দুল হাদীর উপস্থাপনা
be0dd73c26	33aef	কোন সমস্যা তৈরি করেনি
be0de8d847	ba2f6	ক্রিস্টিয়ানো রোনালদো
be0e23a24f	fcefa	তালিকায় আরও আছে
be0e51131f	287bd	ডিসি পদমর্যাদার
be0e974c4e	ee852	সতর্ক সঙ্কেত মানে
be0eaadb0c	b8ed8	পায়ের সোনা খুব দ্রুত গলিয়ে
be0f7e3e3c	e9589	সুন্নি আকিদা
be0faa3d1b	06ea3	ক্রলি সাহেব
be101790e3	c8f7f	পাখির বাচ্চা এক জোড়া
be10a4f805	93d3b	খুব জরুরিভাবে তাকে
be10ac9f6d	35ef3	তা বলতে পারে না
be110a016f	91b16	দেয়া হয়
be1157ad15	43b04	তোমার অন্য কোনরূপ
be11592038	e754e	বেশ কয়েকবার গুরুতর
be11b75c0c	3f493	ফিস্টুলায় ভোগেন
be11c48dce	1c618	সবমিলিয়ে তিনমাসের মতো
be11c82313	0895a	গত সপ্তাহের তুলনায়
be11f969b0	323f1	আমরা গেয়ে বাজিয়ে
be12049b03	93bf3	কিছু সিঙ্গাপুরে তৈরি
be12254e4f	8143b	কেন্দ্রীয় অথচ দূরবর্তী রূপায়ণ আছে
be127643ed	7ee9b	রাজনীতিকদের তা করতেই হবে
be136e99a5	39dd0	ডেথলি হ্যালোসে
be13df98fa	82926	অংক
be141501f6	a9a58	ব্র্যাকের ঘটনাটিও বিচ্ছিন্ন বলে
be141589c3	f1240	আমাদের সময়
be14500ea1	25117	এর পরই মানুষের
be147d094a	1c618	তাদের পাওনা ক্ষতিপূরণ পেলেন না
be15795544	d1a48	ও অসামান্য দায়িত্ব
be16996218	aa820	মহাদেশ
be16a9588f	91dff	ডিয়ারিং লাভার
be16b2df27	68549	আমি এই চেষ্টাটি একদমই করিনি
be16be4a8f	e6752	এ পর্যন্ত গৃহীত হয়নি
be177c0d16	a06a1	দেখতে পাচ্ছেন না
be180002fc	bf530	দেয়ালে পরিচিত-অপরিচিত
be1835c4d4	b4ea7	যুদ্ধ করেছেন
be18614e0a	12702	প্রতিষ্ঠানটির প্রতিটি শেয়ারে
be18b2c67c	9d46f	এক কর্মকর্তার রুম
be18b32b64	f280a	এ সময় তারা অফিসের
be18f0e878	f6e55	উদ্ধার হওয়ার
be193d4495	404ee	পৃথক বা স্বাধীন কোনো তদন্ত
be1a1da605	9351a	এবং এই সরকারের সাফল্য
be1a2fc6c7	8edea	তাঁর বাদামি পাঞ্জাবির জমিনে
be1a3c223e	73629	শিগগিরই এ সেট
be1a55b4ae	7d133	অলরাউন্ডার মাহমুদুল্লাহ রিয়াদ
be1a826814	11915	ধর্মের মানুষেরা বিজ্ঞান থেকে
be1b391fc0	9c8dd	মজার মজার গল্প
be1bbcb561	d1a48	ইংল্যান্ডে কাউন্টি ক্রিকেট খেলার কারণে
be1bc71c3f	23b22	বাবাই কিনেছিলেন
be1c133036	e6203	রাখাল
be1c2b57b3	aa820	আগে অবাধ বিচরণ থাকলেও
be1c33e109	11bd2	এই তিন ধরনের
be1c63c3b6	4237e	শিলাব্রতসহ আরও দু-একজন
be1c77d8e5	dec2d	নজরুলের দ্বিতীয় জানাজা অনুষ্ঠিত হয়
be1c8fd9ac	66b3c	এখন বাংলাদেশের সমুদ্রবন্দরও
be1c9ec0eb	d1b12	সন্তান গর্ভে ধারণ
be1cb7b185	404ee	বিনষ্ট করিবার উপক্রম করিলে
be1d134ce4	80be1	ক্রিস্টিয়ানো রোনালদোর
be1d1a4462	967fd	পাত্রের পানিতে
be1da49f66	05901	উগান্ডার রাষ্ট্রীয় টেলিভিশন
be1dbeafdd	e9fa7	তিনি বাঙ্গালা সাহিত্যের
be1dcb6a28	282d3	একজন পাগলের থেকেও
be1e45095a	17ca1	তা একান্ত ও একমাত্র তারই
be1e528c20	10a9f	সমূদ্র সমতল
be1e5dc97f	91230	অবস্থান সম্পর্কে
be1ead9cfe	ce775	প্রধানমন্ত্রীর দেয়া বক্তব্যের পর
be1f245eb8	730c3	চেষ্টা করি
be1f40ecdb	06bb7	কিনে আনতে বলল
be1f99272f	b9122	জানান তিনি।
be200f39c6	58998	তাদের কাজের লোকের নাম লালু
be2025b748	f2b7d	কংগ্রেসের শীর্ষ নেতৃত্বে
be20309cb8	4dd57	নিষেধাজ্ঞা আরোপ করে চীন
be2037e8f2	a43b5	অন্তত ১০টি ছবিতে
be2067dd3d	e9589	এটিই হবে তার
be207fb06b	ca831	আত্মত্যাগ
be20aab7e4	d5f7b	অনেক জানমাল, গণহত্যা হয়েছে
be21a3639d	06736	ভদ্র মহাশয় পুস্তকখানি সম্পাদন
be2260e8e8	c3cb3	স্বামীর খোঁজ নিতে
be22ec90a8	287bd	অচিন্ত্যকুমারের লিখিত
be2316a29b	2d78f	দিল্লির লোকসভার
be233db0cb	9d398	আলোচনা শেষ হয়ে যায়
be249564ca	f2097	ভারতের প্রধানমন্ত্রীকে
be24a7ee6f	c3cca	তিনি প্রতিবাদ করে বলেন
be24b0c4ae	a46e2	আমার নিজের ওপর
be24eda458	a699c	বাংলাপিডিয়া
be25fe283d	66dcd	এক্ষণে কেবল আমাদের
be26f0a5a8	08458	যে কথা কাজী নাফিস বলেছেন
be278e0b58	0895a	পোয়াতি অবস্থায়
be28753bb3	3ccf1	নিহত এক শ্রমিকের পিতা
be28996805	05901	রাখাইন জমিদার-কন্যা
be28bef41d	1de6c	পূবালী ব্যাংক নিয়োগ বিজ্ঞপ্তি
be28cc6622	698a4	পীরিতি রসেতে ঢালি
be28d76bf5	0d4cb	এ নিয়ে বিরোধীদলের পক্ষ থেকে
be28dd41e8	16a17	শিরোনাম দেয়া হয়
be290bb4fe	2840e	বেশ বিতর্ক রয়েছে
be293a8e25	fcefa	চ্যাম্পিয়ন হওয়ায় তাদের অভিনন্দন
be29b344a9	cf82a	দেড় লাখ পর্যটকের
be2a506b81	5b13f	নুনেসের ঝামেলা শেষ করে
be2a7e1b0a	11915	পঙ্গপালের মতো মাছগুলো এসে
be2ac20552	2ecf8	চোখকে বেশ পীড়া দেয়
be2b0028f7	06527	এফ আই মানিক পরিচালিত
be2b011a3a	2ee04	প্রায় ১ হাজার
be2ba43646	6c6bf	অফিন স্যুটের
be2c5fbc16	0d8c1	ইহজীবনে এত সুন্দর মুখ
be2cb78988	2f547	বিক্ষোভের মুখে
be2ce1e6c2	809cd	১৯৩৬ সালে
be2d5c9e6d	cb842	বিশ্ববিদ্যালয় নিল
be2d836410	9282d	ইরেজারের ঘষায় মুছে ফেলে
be2dc51811	b9a81	মাত্র ৩৭ বছর বয়সে
be2de04b8c	1a2a1	হজরত আদম আ.
be2de8ec92	274ee	কত কী-যে শুধু নিত্য ঘটে
be2e2a15d6	06736	ডিবি পুলিশের
be2e51563c	4a67e	মাথা চাপিয়া
be2e9f2eee	77f82	দিনটাই মাটি হবে
be2ebf91b4	8a46d	মেখে রেখেছেন বোঁটায়
be2ec4f05e	2f547	গুরুত্বদেয়া হলে
be2ecd64fd	ca831	ইনসেটে নিহত দম্পতি
be2ed82836	38d3a	ফায়ার সার্ভিসের ৩টি ইউনিট
be2ede0f8d	6c6bf	বড় বড় মানুষের
be2f6d6616	fbb81	যখন ধ্বংসস্তূপের নিচে আটকা পড়েন
be2faee9b9	ad98d	দেখুন অক্ষর
be2fbb0a62	b8bba	গলা কেটে হত্যা করে
be3074fde0	7b60a	সেগুলি থেকে অ্যামোরীয়দের ভাষা সম্পর্কে
be307c954e	82926	ব্যাংকের এমডি
be30948089	6973e	দুই দিকে নিয়ে যান
be3099a5be	8b859	বিশেষ করে টি-টোয়েন্টি
be30bca5a2	0d8c1	তরী ধীর ধীর
be30cda5a5	d9ba9	জিয়াউর রহমানকে বর্তমানে
be3138032f	f9dfb	জান্তারী গ্রামে
be31aff389	a1d4a	স্বাক্ষাৎকারটি নিয়েছেন
be31e73c40	8ba2b	আক্ষেপ করে বলেছেন
be31f691f2	ee994	এখন
be322cb318	ac0df	সব কিছু বাদ রাখলেও
be328a3b8e	f6e55	বঙ্গদর্শনে প্রকাশিত হইয়াছিল
be32dc8531	c3cca	পাতলা মেঘের মধ্যে
be33bc5468	11bd2	যদি অবসেশন
be33f0d764	f6e55	ঈশ্বরগঞ্জ উপজেলার
be3558458d	430b2	অনুসরণ করতে শুরু করে
be360767a5	3ccf1	ঠিকমত মাস্টারের কাছে
be361536ff	ce629	তিন দিনই
be362a8f50	b618b	হুমকি দিচ্ছে না
be36d5547d	2ad74	সর্বোচ্চ রান তুলে নিতে
be36f815d9	91223	ক্ষেত্রে বহুল
be3752459f	17ca1	জীবনযাপনের ইতিহাস সচিত্র
be375b7a15	61820	বিভিন্ন ক্রিয়া, বিক্রিয়ায়
be376f1814	2ac82	এই সিদ্ধান্ত নেয়া হয়েছে
be37ac2a20	d5f7b	চারবার শিরোপা
be37b68e72	6a35e	আটকে আছে বলে
be380697b6	ac0df	তাকে এনে দেয়
be38cfad8e	3d17c	তবে এখন
be38f352b7	8cf95	পুরোদমে এগিয়ে চলছে
be39087d53	15a75	শনিবার দিনের দ্বিতীয় ম্যাচ ছিল
be3918a301	cb842	অ্যাঞ্জেলো ডেভিস ম্যাথিউস
be397796f6	cb1aa	হাশেমমাম যুদ্ধে গেছেন শুনে
be3990e970	6c17f	এবার কলকাতার
be39950589	a274b	প্রতিবাদের ভাষা হিসেবে
be39b6fe15	bdfc1	সমস্যার মুখোমুখি হবে
be39da7411	4bede	সেও এক চড়ুইভাতি
be39f51cde	6fb36	তিনি কাজী নজরুল ইসলাম
be3ac77532	66c6b	তরুণীর আনুমানিক বয়স
be3ba548fb	693cb	সমাজের নীচুতলার কৃষক জনগণকে
be3be2f24a	ca088	বাংলা ভাষার বিরুদ্ধে
be3bf6e813	5d80e	এই যে একটা অন্যায়
be3c8df875	2396d	অবিলম্বে তার এ বক্তব্য
be3ca056c5	7e191	ফস করে ঢুকে গেল
be3cf292c2	3faff	রনবীর কাপুর
be3d4087ed	ca088	নিজস্ব পরিসংখ্যানে খাত ভিত্তিক
be3e2ab684	1652d	তাঁকে বেজায় ক্ষুব্ধ করেছিল
be3e487a92	aabe7	প্রতি কেজি দেশি রসুন
be3e6cd554	35ef3	বিভিন্ন এলাকা থেকে
be3e8ab09e	4c555	পুরনো হলেও
be3fc06837	68549	নিরাপত্তার বিষয়টা কে বলল
be41004b5a	7b103	তাকে বরখাস্ত করেন
be414ba195	a1201	রবীন্দ্রনাথ থেকে ধার করে
be4154752b	c5dc8	রামচন্দ্রপুর
be41c5eba7	943de	বাগদাদের খলিফা
be4211ccc4	06736	ক্ষমতা দখলের কোন পরিকল্পনা
be4272196d	d7a68	নির্বাচিত হলে অভিবাসী বাংলাদেশিদের
be4308afe5	ac904	কাঠামোটা ঠিক রাখিয়া
be431562d3	0d8c1	গুগল চালু করেছে
be433d76c7	0b7ca	তিস্তার পানি নিয়ে পনেরো বছরের অন্তর্বর্তীকালীন চুক্তি স্বাক্ষরের চেষ্টা করছে বাংলাদেশ।
be43a37d28	4ea73	ব্যবহারে সতর্ক হওয়া জরুরি
be43ada598	b8ed8	পারমাণবিক স্থাপনা, বিমানবন্দর সহ দেশটিতে কৌশলগত ও অবকাঠামোগত নিরাপত্তা ব্যবস্থাও জোরদার করা হয়েছে।
be4402bb54	1652d	আপেল
be440ae5b2	03284	ফলে পুনরায়
be44274420	e55de	প্রেসিডেন্ট পদে
be444b472c	410fa	একবার ধরার চেষ্টা করেছিলেন
be466e6743	2ee04	সেখানে একবার টেস্ট করা হয়
be46a22ab3	43b04	তবে তারা সুচিত্রার মতো
be4733f153	83c53	অর্থভাগ্য
be479d3afc	c749e	তোমায় আমায় মিলে
be47a27e95	bbb22	আবির্ভূত হওয়া এবং অন্তর্হিত হওয়া
be47f9e5ba	2ee04	ফারুকের পিতা
be485645ea	321b6	গ্রাম্য পুলিশ
be486cd3fc	b00ba	যশোরের এসব হত্যাকাণ্ডের পিছনে
be4895c3d2	72649	৩৩৭টি গুলি তারা উদ্ধার করেছেন
be489a1d4c	a43b5	৩০০ ডিগ্রি সেলসিয়াসের
be48b4d93d	9282d	গত ৫ সেপ্টেম্বর আদালতে
be4926116c	ca831	যা এই বিগ ব্যাঙ তত্ত্বকে
be49902e41	2f547	নিগ্রো
be49b188f0	9d7bf	এখনো যেসব সাধারণ মানুষ রয়েছেন তারা মারাত্মক ঝুঁকির মধ্যে রয়েছেন।
be4a9e5e38	d0c70	তাঁরা নিজেদের সংযুক্ত করতেন
be4aa594f7	8ba2b	একটি সেতুও
be4aa5a7bd	59c73	যুক্তরাষ্ট্র একদল বিশেষজ্ঞকে
be4b0cf72a	c0965	কাবুল পুলিশ প্রধান বলেছেন, তারা আক্রমণকারীদের কোণঠাসা করে ফেলতে সক্ষম হন।
be4b4b088f	3bea8	কলিতে অমানুষের জোর
be4b949a05	91223	এই কথাটির উপর
be4bd1e799	616ec	দুপুরে এলাকার লোকজন
be4bf34a51	3fae0	তার চাকরিবাকরি
be4bf81fdd	43b04	জহুরুল ইসলাম সিটির
be4c514ce6	38ff0	এ ব্যবস্থা খুবই চলিত
be4c5aa8fb	430b2	দেওয়া কষ্টকর বৈকি!
be4c9b31ff	6e8cb	টমেটো মাঝারি আকারের ৪টি
be4cc4df72	95907	সেজানের পেইন্টিংয়ের তুমি কি জানো
be4cf8ce4b	b00ba	সেশনজট কমবে
be4d697fee	7297e	একটা গাড়ির
be4d8c000a	95907	আনামুল হক বিজয়
be4dde2b37	5e80b	২৪ জুন থেকে
be4e417378	ad2a0	বাংলা একাডেমি পুরস্কার পান
be4e75f0f4	121bd	স্বতন্ত্র ২০৯ জন
be4e9fb870	3f875	শিকদার কখনো
be4f334c6e	80539	সুবহান সেক্রেটারির দায়িত্ব পালন করেন
be4f3414b7	5dec6	জন্ম ২ জুন, ১৯৮০
be4f614b01	6e8cb	আগ্রহ প্রকাশ করেছিল শ্রীলঙ্কা
be4ff7daf8	c173f	আমি মনে করি
be50056e0d	cb842	মাথাওয়ালা মানুষের শরীরওয়ালা
be5036faee	d1b12	বিচারপতি মুহাম্মদ হাবিবুর রহমানকে উৎসর্গিত
be5040dbc9	88654	ফুটবলের সব দিকেই
be5140bb94	93d3b	ফরমালিনযুক্ত খাবারের কুফল
be514e579e	323f1	দেশি বিনিয়োগের হার কমে গেলে
be51a0a47c	31f2a	কোনো প্রমাণ নেই
be51a6d473	7ec1c	দোষ স্বীকার করে
be51f3ff6b	32c77	তখনই তার নামে
be52227463	3ccf1	মেরাজের শিক্ষা
be52bf3ac4	01e91	বালকটি ছিল খুব সুন্দর
be542b8dca	ce775	চিত্রকল্প এঁকেছেন শব্দে
be545f741d	14d25	দিন দিন কমে যাচ্ছে
be5481987a	b5fdc	মিডফিল্ডার সামি খেদিরা
be54873f62	fd880	সাবেক রাষ্ট্রদূত
be54d91213	e2ff7	পুরুষেরা খালি গায়ে
be5553096b	dba43	হরতাল প্রত্যাহারের
be55544a6a	98b81	আর নারী কীসের
be55f57206	c5479	করার জন্য খুলে দেয়া হয়
be55fd0721	43fc0	মিন্টো রোডে
be56022d0d	e2f12	সংঘর্ষ ও ভাংচুরের ঘটনা ঘটছে
be56bcd024	7e191	লেখা আছে
be572a59f4	f4ba7	শরতের একটা প্রাচীন গাড়ি ছিল
be573d9806	54cdd	ফইনপুরে ভাড়া বাসায় বসবাস করত
be5768ff43	29f8c	রোববার ভোরে
be57e4fa1c	bdfc1	এর আগে ইউক্রেনে
be57e9f455	29bab	২০০৬ সালে অনুষ্ঠিত
be57fc57c7	32998	কোনো কোনো স্থানে কম
be58740567	d711f	বাঙালি মুসলমান সম্প্রদায়ের
be598bc746	25117	স্বস্তি ভরা গলায় গ্রেগসন বলল
be599589a5	b2a62	সাধারণ শিক্ষার্থীরা ক্ষিপ্ত হয়ে ওঠে
be59cae83a	7027a	আকরাম খানের নেতৃত্বে
be5a16b4a9	3fce2	সেতুর রেলিং ভেঙে
be5a7838f8	1e7c6	বিফলে যায়
be5af2450a	4a67e	সে ঐ বাবা-মায়ের নামও ব্যবহার করতে পারবেনা।
be5b1cc7fa	3bb15	শিশুর মতো
be5b5b3442	c0965	বেরিয়ে আসবে
be5b79d010	410fa	দুহাত বাড়িয়ে
be5c697f6a	d9ba9	পরে এক পর্যায়ে
be5c9cdf10	153c9	এরা শারীরিক প্রতিবন্ধিতার কারণে
be5ccabd8c	85430	মুহাম্মদ কামারুজ্জামানের মামলায় আগামিকালের রায় হবে আন্তর্জাতিক অপরাধ ট্রাইব্যুনালের দেওয়া চতুর্থ রায়।
be5d3069d6	32c77	বেতন বাড়ায়না
be5d411ded	e8dde	রাজা তৃতীয় জর্জকে
be5d53c314	aab0f	পারস্পরিক স্বার্থ সংশ্লিষ্ট বিষয়ে
be5d8afd97	c9c19	কিছু ফলফলারি
be5da98130	321b6	চেজারে প্রানদেল্লি
be5db3196f	932bb	হযরত আলী মারা যান
be5ebcb70f	16e96	সংবাদ সংস্থা এপি’র টুইটার
be5ef8316e	a1d4a	নিরাপদ নয়
be5f153018	92bb2	তাঁহার সাধনার অগতি
be5f8f5e1e	49d63	বর্তমানে নিউজ টুডের সম্পাদক
be600548c3	39293	সৎসাহসের প্রয়োজন হয়
be602fc1c7	ce775	‘কাস্তে’ কবিতায় ভিন্নার্থে
be60e7257f	8845d	এক বন্ধুর কাছ থেকে
be610b8030	80505	ফ্রিগেট বিএনএস বঙ্গবন্ধু
be6222c9d7	08458	সর্বশেষ অভিনয় করেন
be623274eb	d2294	ঠিক নাই
be62b98d44	7ed14	ভল্টে পাওয়া গেছে
be62cffa96	f1240	তাদের সমান
be62fc5f0d	65652	হুমায়ুন আহমেদ
be63153407	fd880	শশাতে রয়েছে প্রচুর পানি
be6353e199	92f59	এমনভাবে বাসা বেঁধেছে
be639a4fd6	c7705	এজন্যে আমি নিজেকে
be64373867	4c555	আহত চার জন
be6463cbdd	8a46d	নাকের নিচে মাঝ বরাবর
be64c3c1df	5a61c	সুচারুভাবে পালন করা যায়
be658976b5	f6e55	বিনষ্ট করিতেছিলেন
be65a33a9e	88654	তার উপর চারধারে
be65b496b4	06736	প্রায় এক বছর পর
be6628b328	f7a7f	দেশপ্রেমিক শক্তিকে
be663a0dc8	93080	তথ্য মন্ত্রী হাসানুল হক ইনু সংসদে জানিয়েছেন, সব প্রশ্নের সঠিক জবাব টিআইবি দিতে পারে নি।
be6648b276	7a227	ভুল রকমের
be67485ddd	f658d	এই আন্দোলনের সূচনা করছি
be67bfd4fe	9f25e	আমার এই পুরস্কারপ্রাপ্তির
be6804f29d	c41d8	ধৈর্য নাকি প্রেমের গভীরতা
be68e51fbc	4fbd1	মনে করছেন মি. খান
be692066a5	12702	নারায়ণগঞ্জের জ্যেষ্ঠ আইনজীবী
be69321e22	ff1c3	দ্বিতীয় মহাযুদ্ধে
be6942423a	0895a	এবং মানবাধিকার সংগঠনগুলো
be69591c94	f658d	মেক্সি
be69d044af	d2355	হয়েছিলেন তিনি
be6a0bf57e	ff0fe	জোরালো শট
be6a2c457a	3ccf1	বুধবার সকালে
be6a459e90	f837a	আইসল্যান্ড কখনোই নিজে
be6aa745f5	aa820	অনেক কাটিং ও উদ্ধৃতি
be6baa91ed	2ad74	যুক্ত হচ্ছে লিঙ্গ পরীক্ষা
be6bd07438	80505	সম্প্রচার বন্ধ করে দেয়
be6be120e8	baa02	কোনও সমাজ সুস্থ হয় না
be6c0d40e2	32b3e	আপিল বিভাগ
be6c2438a9	7351e	লাখো সৈন্য
be6ce37195	54e68	অধীর আগ্রহে অপেক্ষা করছে
be6d2dae21	6e6fa	তার পা ভেঙ্গে
be6d73e589	2fe3c	জামায়াতে ইসলামি
be6d957ac8	92bb2	আকবর হোসেনের সঞ্চালনায়
be6e08a5ed	3bb15	তিনি পুরুষতান্ত্রিক সমাজের
be6e70061d	09f0d	যে যত বেশি
be6f259e0d	948d3	তারা আশ্রয় পাবেন
be6f31e823	9282d	এ নাটকেও দুজন
be6f516bfd	1a4a9	ভিটামিন-‘এ’ স্বল্পতা
be6f626c34	1a2a1	তার সেই মন
be6f72cc37	9065c	সংসদ সদস্য নির্বাচিত হন
be6f9566bc	d1a48	গত ৩১ মার্চ এ উপজেলায়
be7007df60	0a7a0	এবারের বাজেটে কৃষিতে ভর্তুকির পরিমাণ কমানোর প্রস্তাব করা হয়েছে।
be70353a1c	d7a68	একদিকে তৃষ্ণায় গলা শুকাইয়া যাইতেছে
be706a0f60	57d54	এড বাটলারের প্রতিবেদন
be706eba51	194f5	ফ্রি সিরিয়ান আর্মির সদস্যও
be70a907d7	f658d	ইত্যাদি
be70e0f46e	3ccf1	আরউইন অ্যালেন গিন্সবার্গ
be70f0a9f8	1e7c6	তারপর হাতির মতো হলো
be710fa582	1cb75	জামালপুর সরকারি স্কুল থেকে
be7178d68d	745b7	ইলিয়াস আলীসহ
be7213840d	b8ed8	তখন সে দুটো কে
be72164af2	15a75	১৯৪৮ সালের ১১ই মার্চ
be723b2c03	e3f89	আসামির হাজিরার দিন ধার্য ছিল
be72461170	d0c70	লাউ চাষ
be727ae33a	f9dfb	২-৩ মিনিট হালকা হাতে
be72e59686	f2097	উদ্ধার অভিযান শুরুর পর
be72eb0446	2840e	খাগড়াছড়িতে অনুষ্ঠিত
be73195c5b	82926	টানা ৯০ বছর
be731fc231	49d63	প্রত্যাদেশে বিশ্বাসী নয়
be732d3d6c	60f77	ছোট পর্দার নাটক
be736afbda	1f733	ধর্ষিত মা
be736d4bd1	68ab7	নকশা অবলম্বনে
be73718ae5	65e30	বিড়াল
be739692cd	f89d7	শুরু করা যায় নি
be73ad353c	a06a1	কটির কাপড়
be73f0eac0	d2355	মরীচিকা
be743b5b2a	195f7	বাঁচতে দিলো না
be7477184b	72649	হয়ত এই ফোন করা
be74ed5a45	f600a	মিসেস রসম্যানের লেখা
be74fc8ee6	f658d	তখন বাঙালিরা প্রবাস থেকেই
be75079963	7ee9b	বিজেপি একাই পাচ্ছে ২৪৯টি
be75af45c0	39dd0	ব্যবস্থা নেয়ার প্রস্তাবে
be76560e4c	24f73	তোয়াক্বা করে না
be76a5f7eb	69449	কুলিয়ে ওঠা যায় না
be772b21ec	3fce2	সে গান
be778ddb41	430b2	বড় আসরে খেলতে গিয়ে
be77c05d9b	23291	বিক্ষোভকারীরা সন্তুষ্ট হবে বলে
be785c330f	1a2a1	চলে বিরামহীন
be7864f460	1a2a1	ভাষা-আন্দোলনের প্রভাবে
be78958840	fd880	পল্টন এলাকায় সংঘর্ষে সাংবাদিক এবং পুলিশসহ বেশ অনেকজন আহত হয়েছেন।
be78aed78f	321b6	আর অবিশ্বাসীই হোন
be78bbcf47	7ee9b	ঠিক ফিরে আসে
be792f4069	fcefa	চুরি করে আনা মালপত্তর
be7935afb0	16877	মেনে চলতে হয়
be79744899	e03ce	বিমূঢ়ের মতো দাঁড়িয়ে
be79a0f015	2d98b	এবং আইনজীবীসহ সাতজনকে
be7b34e293	80505	মালিকরা দায়ী
be7b45bc22	4fd66	গত বছরের জুনে
be7b632951	3d17c	১৭ ওভার ১ বলে
be7be47510	f4ba7	শিম্পাঞ্জির ভঙ্গির চেয়েও খারাপ
be7c0f58e3	d3e06	বের করেছিলেন
be7c962f17	33aef	সংবিধানের ন্যূনতম জ্ঞান নেই
be7d18cc5b	1cb75	অনেক বেগবতী
be7e1181b6	07660	লেখার বিষয়
be7e37fc90	e3d8b	বোম্ব ডিসপোজাল ইউনিট
be7ed4963c	66dcd	রওশন এরশাদ
be7f313b1c	943de	তিনিই তাদের আশ্রয় দেন
be802aa53d	25696	হলুদ
be8061521e	2fc12	শিয়া
be8091c22e	cb842	সাউথ পুরষ্কারসহ
be80af064a	ca831	বিশ্রাম দেয়া হয়েছে তাকে
be80b42071	d5f7b	মুখ্য হয়ে উঠল ভূত-প্রেত!
be80bf92a3	5639c	১৯৫৫ সালের ৩রা ডিসেম্বর
be8106a784	39dd0	এক জীবনে
be8110a4b4	eaa7a	লক্ষ্য করলেন
be811f7646	ca088	কলসিতে মোহর আছে
be826e8ed0	f837a	অভিযানে চালিয়ে
be828f15ce	5d12f	রক্ত
be82cc5562	80539	পরিবেশন করছেন মোয়াজ্জেম হোসেন
be834d27aa	c463d	এই হামলা
be838ae0b3	0d4cb	ইতিহাস যাঁরা জানেন
be8396967f	80505	অভিনয় করে
be83cc20a3	80505	কথা নয় কারোরই
be83cd8016	bf530	চেয়েছিলো জাগাতে হৃদয়
be842edb44	5a61c	হেফাজতে ইসলাম
be848c86a1	a0277	মানুষের প্রতি ছিল
be84bf64f9	7b900	মাত্র ১ কোটি
be84e69568	0606d	সিঙ্গাপুর-বাংলাদেশ করিডোরটি
be84fc5999	ced74	বের হলো
be85038f6b	0d4cb	কক্ষ হইতে
be852c76f6	536d9	রিপোর্টের ওপরও
