d5002d8e8f	9813c	এবং দেশের মানুষকে ভালবাসত
d514131864	bd576	মাহি অভিনীত
d5142518e3	4c1eb	ওজন কমানোর কর্মসূচী
d51460ea4b	5cb47	মেমান গেলে
d5148a0283	2556b	সময় লেগেছে ১৫ মাস
d514aadd6d	91230	খরচ হয়েছিল
d515760326	9f25e	দু কোটি টাকা
d51582a883	2396d	কর্ণ এই অমোঘ শক্তি
d515d653d1	cc9fd	ওইভাবে করা হয়েছে
d515e21e49	0633a	এরপর জাতীয় পতাকায় মোড়ানো
d51620c961	778c0	তবু তাকে শুরুর একাদশে
d516839768	fdcba	গুলি হলেও
d516a7588a	e6d83	সত্যিকার সমাজতান্ত্রিক ব্যবস্থায়
d516dc494d	f143a	আন্তর্জাতিক অপরাধ বিল ২০১৩
d51732e02c	fd880	ললনাকুলের কত আগ্রহ
d51786572c	5d12f	জুয়েলারি ও ঘর সাজানোর
d517c916ed	9fa90	বিবাহ-বহির্ভূত সম্পর্কে জড়িত
d517da410f	b4ea7	এই বিড়িটি ধরাবে সে
d517ee3c0f	9642e	হতাশা
d5185a0138	09b32	সিঁড়িতে আগুন ধরাতে
d5188ceacf	ef915	মারাত্মক বিষ
d518d757ab	09b32	আফগান যুদ্ধে যুক্তরাষ্ট্র আল কায়দাকে
d5193e4c29	ef4f8	এবং ২০১৯ ও ২০২০ সালে
d5196746d0	49543	আপনি গেঞ্জিটা খুলে ফেলুন
d51977acb5	75936	এই গরুগুলা
d519c5b8fc	b8bdd	করা হতে পারে বলে
d51a101f36	7351e	যোগ্যতা ছিল না মাহবুবের
d51a2b2ec5	2fc12	আগামী বছরের শুরু নাগাদ
d51a8cebb0	dec2d	আমার চলার পথে
d51ad18b61	ec91c	কিছুটা এগিয়ে
d51aed9500	e03fc	শুধু কাহিনির হেরফের
d51bb71751	9092b	ক্লাসে যেতে পারছে না
d51bcf0de5	91ac1	আদিম খেলা
d51c723719	80e98	কলকাতা পুলিশ
d51cb4d950	c958a	৫১ শতাংশের বেশি মানুষ
d51cc4894e	b618b	এগিয়ে যায় গানাররা
d51cfde385	8143b	আমি চললাম
d51d48e16a	06ea3	বিভিন্ন সোশাল মিডিয়ায় রয়েছে
d51d79a0cc	85430	নিহত হয় প্রায়
d51ddcf15c	6973e	মুক্তিযুদ্ধে অসামান্য অবদানের জন্য
d51ddde992	db181	চতুর্থ স্থান ধরে রেখেছে আর্সেনাল
d51df15b64	24aed	পথ-শিশুদের কুড়িয়ে আনা
d51e596b67	ba2f6	ঠান্ডার বাপের ওপর
d51f4ac613	577fa	ইউক্রেনের পূর্বাঞ্চলে যদি
d51f86d924	06736	অঙ্গসংস্থানও বলা হয়
d51f9efbcd	6dff5	খুট করে একটা শব্দ হল
d51fe9e07f	98b81	তারপর তলে তলে
d520346656	7c272	টিএমএসএস
d520c14cc2	f4ba7	গতকাল দুপুরে ধানমন্ডিতে
d52132223c	7297e	সেই আশংকায় রয়েছেন
d521dbae73	75f18	সব সদস্যকে প্রত্যাহার করতে হবে
d521f0da02	68549	রাজশাহী কৃষি উন্নয়ন ব্যাংক
d52216afe1	d5213	এই সম্প্রসারণের ঘটনা ঘটেছিলো
d52231cf27	e50f1	রুপ
d5223ff4f9	c3cb3	এবং খানসামায় ১৫ হাজার ৮৩৬টি
d5229c25a5	c9c19	চাকরিচ্যুতসহ তিনদফা দাবি দেন
d522be7203	dafb6	গত বেশ কিছুদিন ধরে
d522cb5ffb	13b70	মনে হতো
d5237b28e5	fda1a	কেন এই ফলাফল হলো
d523962368	5dd61	শুটিংয়ের সময়
d523a1bdbd	7b900	তিনি বিশ্বাস করতেন
d52497d874	e9fa7	মাস্টার কার্ড
d524c375ea	948d3	নিজ নিজ বইয়ের সঙ্গে
d5251180b9	3f875	কিন্তু পাঁচীর কথা
d5253707aa	0606d	নতুন এই আইনটি
d5253ea0b6	5d12f	রবীন্দ্র সার্ধশত জন্মবর্ষে
d5259817d4	61820	সামনে আরো কিছু আসছে
d525c01650	442b7	কিন্তু টাওয়ার হ্যামলেটস যেন
d5260abd63	5dec6	তপস্বী শাণ্ডিল্য শুদ্ধাচার
d52641ceba	ee886	এখন থেকে ইরানের
d5272f8898	976b1	পালি ভাষায় রচিত
d527607715	153c9	গোঁ ধরলাম
d527c4b0ba	3fb17	বিজ্ঞপ্তিতে বলা হয়
d528155ae0	745b7	সেগুলোর মধ্যে বালি
d528cfa863	cb627	এবার এমন একটি সময়ে
d529335f44	b5fdc	একটি ক্ষুদ্র অংশ
d529372860	ef4f8	মুক্তিযোদ্ধাদের প্রবল প্রতিরোধে
d5298571d4	f2780	প্রথম বাংলাদেশি মুসা ইব্রাহীম
d5299398d1	c5dc8	সন্ধান চলছিল বলে
d529b30d59	c6848	পড়েছি
d529f7524a	fcc89	জনসংখ্যা হল ৩১২০২ জন
d52a03340e	66dcd	অপরাধীদের শনাক্ত করা
d52a1c47e3	717bb	বিশেষ করিয়া ইঁহার কথা
d52a1ee354	1cb75	তিনি গাজীপুরের কাপাসিয়ার
d52a81941c	bcaa8	সাহায্য দিতে
d52ab62f35	71522	আটককৃত ব্যক্তি ক্রিকেট জুয়াড়ি
d52abb34df	eb179	তারা ভেতরে ঢুকে
d52b1baf28	7e191	বাংলাদেশের ফুটবলাররা
d52b4b7fa4	fb4cb	৫০ পেয়েছে
d52b5f269d	33aef	একে চায়ের রাজধানীও
d52b69dac7	2c9c5	অধ্যায়ে আছে
d52b806123	9351a	সে প্রসঙ্গে আসছি একটু পরেই
d52bb023c4	93bf3	ছোট ছেলে তো
d52bb381df	cb627	মানুষ নিহত হয়েছে
d52c07b3a3	2ad74	তাহলে খুব সুবিধা হত
d52c3aacae	dec2d	জাতীয় চলচ্চিত্র পুরস্কার
d52c48deff	7d3e1	এগোতে এগোতে দেখা গেলো
d52d47d9f7	06736	অবস্থানগত কারণে
d52db4da04	01e91	বিশেষ ওই আদালতকে
d52db8231f	ff0fe	দল-নিরপেক্ষ কাউকে
d52df91cd7	b8bf0	ক্ষতি হবে
d52e5b1b5f	6c17f	ঘটনাস্থলের কাছের শহর
d52eb2f781	2840e	তুমি ক্যামনে আন্দাজ করো
d52ed2dc38	e2ba2	পুলিশের তালিকায় নাম নেই
d52ed3a40d	46da4	নিজের ইচ্ছার বিরুদ্ধে
d52eea8ae4	93d3b	রবীন্দ্রনাথ লিখেছিলেন তাঁর বিশ্বপরিচয়
d52eed5c65	dba43	পরিধি বাড়ান নিজ সাম্রাজ্যের
d52f4f16b8	fb4cb	এরপর বাড়িতে
d52f970a9c	73629	একাধিক স্থানে প্রায়
d52f9dc67c	932bb	জীবনের পাখির খামার দেখতে
d52fc2471c	a1d4a	বিভিন্ন প্রভাবশালী দেশের রাষ্ট্রদূত
d5302052e5	7d3e1	মৎস্য বিভাগ
d531155c71	536d9	বেরিয়েই থাকে, উত্তর নেই
d53200ca40	cc18a	ধর্মান্ধ হচ্ছে
d53202196f	4237e	তার ভক্ত অনুরাগীরা যেন
d5323543d1	ee4ad	অনুশীলনের মতো
d5323a31cc	ff1eb	১৯৯০ সালে প্রকাশিত হয়
d5329a2b12	8c07c	এর থেকে আরও
d532fd42d8	ee7b2	বিদেশের বিরোধী দলের সাথে
d533a3cb80	66b3c	সবুজ লুঙ্গিকে
d5347b34f5	287bd	এ রাজ্যের ইতিহাস
d5352d42a2	4fc91	রেহাই দিতে
d5353202da	db181	না মা
d536a92563	ee994	তিনি এ নির্দেশ দেন
d53721262c	698a4	আগামী ২৯শে এপ্রিল
d5374d73f4	ab946	ইহাই সর্ব্বাপেক্ষা প্রাচীন
d5374eede5	d1a48	এছাড়াও ডেভিড বার্গম্যান
d5376cf29a	8406e	চেয়ারম্যান ডঃ খন্দকার বজলুল হক
d53798d29a	256f5	ঠাট্টা, ব্যঙ্গ এসব তাঁর স্বভাবের
d5382a7b7d	43b04	লিখে দিলেন
d5399d5018	c5479	কেন ভাবতে গেলেন
d53a2cfa61	d7a68	হারিয়েছিল বাংলাদেশ
d53a77d9b2	bc81e	সার সংবাদ
d53a8d0fd5	e2f12	অ্যালগরিদম শব্দটি এসেছে
d53afbf47b	66dcd	এই ফলাফল দেখে মনে হয়
d53b7498b4	d9ba9	গুপির আর বাঘার মনে
d53b8d9e0e	4c1eb	এ বিষয়টি বাস্তবায়নের জন্য
d53c16ac63	f83df	বাংলাদেশের কোটি মানুষের প্রত্যাশা
d53c1c3854	8845d	একাত্তরের মুক্তিযুদ্ধের সময়
d53c579e16	730c3	সত্য বচনগুলি
d53d33ad5f	f280a	যে অধ্যায়ের সৃষ্টি হয়েছিল
d53d34f71d	12702	বরং কিছু লোক অল্পদিনেই
d53d41a6bc	ff970	ফরমালিনমুক্ত ঘোষণা করা হয়
d53d8f8eef	1b359	ভোর
d53dc100ed	9d46f	যোগাযোগ রক্ষা করতে
d53dec0792	2aecc	বাউল গানে
d53e2b77b6	7b60a	এটা ঠিক না
d53e6d9c08	0744c	সর্বশক্তি নিয়োগ করতে হবে
d53edf4b6b	52f27	পানি বিতরণের মাধ্যমে
d53ee5b2c1	a699c	রাজধানী ধানমণ্ডির
d53f691c87	17dcd	আলোকিত ঘর
d53fc779f3	68ab7	শিক্ষাব্যবস্থা গড়ে তোলার
d5406c9b43	7d133	মুখোমুখি হবে নাদালের
d540c2141e	9092b	মাথা রেখে দুটি ভাত দে
d54124c2ad	06ea3	সার দিয়ে তাজা রাখেন তন্ত্রটি
d5423bbb22	18a52	স্থানীয় ব্যবসায়ীর কাছে
d542702d55	bd576	কাশফুলের আরেক জায়গা হাসনাবাদ
d542801c99	6d129	সেই দারুণ প্রতিজ্ঞা
d5430c2520	d5f7b	বৈশ্বিক নিরাপত্তা
d543856f35	f6e55	গেঁতুর মারে
d5439179c4	b52ab	বাজার মূল্যের পার্থক্য
d544743bac	f1ea4	সেই তালিকার শীর্ষে
d544c2456e	2ecf8	মায়ের নাম হামিদা আক্তার
d544ccd297	6973e	আলীর সঙ্গে নাসিমার
d544f32e12	44322	সমস্যায় রয়েছেন
d5451d15f9	7b103	অভ্যুত্থানের সঙ্গে
d54537ad81	e2c11	পেঁয়াজের চাহিদা রয়েছে
d5453cdbfc	05901	সুফিয়া কামাল
d54564c5e7	2f547	অস্বীকার করলেও
d5458ebe32	6aac8	এ পরিমাণ অর্থ এর আগে
d545ea8e23	f1240	জুনায়েদ আহমেদ পলক
d5466cc29c	0895a	বাদ সাধেন জেসমিন
d546c0b1ff	acb88	রাঙামাটি ভ্রমন
d546cb50a7	745b7	তিনি ঐ অভিনয় করেছেন
d546d949c8	2bc73	যদিও এটি গোপন ছিল
d547cc7dac	809cd	গল্প শোনা গেলো
d547e3ac83	cc9fd	ছোট ছোট এই বাড়িগুলোর
d547f406b8	0696e	মাকাল ফল
d547fc9040	0c39f	দ্রুত সংস্কারের
d549be8455	9fa90	ভাগবত পুরাণ বোপদেবপ্রণীত
d549c11a86	a1201	সেখান থেকে সশস্ত্র বাহিনী
d54a0d68ad	17ca1	শিশুর মা
d54a3b632e	91b16	পার্ক সংলগ্ন কুড়িল ঘাটপাড়স্থ
d54aaf65ca	ee886	আশোক লেল্যান্ড বছরে
d54b0e4e1f	b8ed8	ত্রাসের চাদর
d54b6a2377	404ee	কারণ ইরানীরা ছিলেন
d54c02cac5	410fa	তার নির্মিত শেষ চলচ্চিত্র
d54c349808	15a75	লেখা নিয়ে
d54c832565	880ae	কিন্তু পালক নেয়া
d54cb0a97a	4237e	বিজেপি ক্ষমতায় আসলে
d54cb3db6d	6aac8	এবং রম্যরচনা
d54cc91b77	52f27	একটি প্যানেল প্রতিদ্বন্দ্বিতা করলে
d54d7940c9	0606d	ধারাবাহিক নাটক
d54dc632bd	80518	১৯৮০ তে দোস্তানা শীর্ষ স্থান
d54e02dcae	9282d	করিতে যুকতি
d54e0ec55c	4fbd1	বাক্যবীর নন
d54e17c8cb	1a4a9	শনিবার সকাল ৮টা থেকে
d54e259999	ca831	আপনার কিছু নেই
d54e6fb548	2ad74	সুরেশ্বরে যাচ্ছিল
d54e8a85df	d1b12	এমনকী অনেক শিশু
d54ebd9182	3faff	সৌভাগ্যপ্রসূতি হবে
d54edce6fd	c41d8	জনপ্রিয়তার পর
d54f1c1a00	f2780	এক যুবকের সঙ্গে
d54f31262c	d136b	কোন দায়িত্বের পরিচয় দেননি
d54f59a35b	b8ed8	চারটায়ই আসো
d54fc5712f	aab0f	বিকেল পার হয়ে যাচ্ছে
d5506b68c2	12702	একসময় মুঘল দরবার
d55074383d	809cd	বাজার ঢের দূর বাছা
d550d1b0d5	69449	আইফোন ওএস হলো
d550f58029	92bd8	আইন অনুযায়ী ১৮ বছর বয়েসের নীচের শিশুদের ঝুঁকিপূর্ণ শ্রমে নিয়োগ করাও নিষিদ্ধ।
d551052035	0606d	বিভিন্ন ধরনের গ্রন্থ
d5512625de	58998	পরিদর্শনের পরিকল্পনা রয়েছে
d55167d45f	92bd8	কাঠামোটা ঠিক রাখিয়া
d551709d61	f2780	বাউল
d551aa8e24	7df87	চোখ ফেরায় আজাদ
d551b5c31e	49d63	গ্রামে যান
d551dab7ef	4bede	রামানুজের বেদার্থসংগ্রহ
d5523d0b40	430b2	বিদেশী রাষ্ট্রগুলোর
d552843e86	eecdd	বিস্ফোরিত হয়
d552a3e30d	4fd66	বললেন না
d553131177	88654	আবার দামও বাড়ায়ে দিল
d553236c97	6ee5f	লোকসভা ও রাজ্যসভায়
d553403037	d2294	যেসব নির্বাচনে অংশ নিয়েছে
d5535c57e0	14816	ঢাকার প্রথম অর্থঋণ আদালতে
d553992f46	4ea73	আলিফের সঙ্গে
d554f008df	d41be	অগণিত মানুষের ঢল নামে
d555774749	aabe7	এ জন্য পড়িমড়ি করে
d5558e6a28	da6f0	পিস্তলের ২৬ রাউন্ড গুলি
d5558e6bfe	8a46d	আটটিতে ভোট হতে পারেনি
d555cbe375	65e30	ইউনিফর্মধারী এবং সাদা পোশাকে
d555dc8e6f	f1ff2	সিলেট
d556264bcd	f2b7d	তারা তাকে রক্তাক্ত অবস্থায়
d556551563	6e6fa	নাম অনুসারে ডাকা হয় মাদিবা
d556968885	e68af	প্রগতিশীল ছাত্র সংগঠনগুলো
d556fb569f	1b359	এ ধরনের জঙ্গী হামলার
d5572f2975	60b9d	তারা হাজির হয়েছিল
d55730f49b	2f547	তার অবস্থার অবনতি
d5574cc58c	6c6bf	বাংলাদেশের জাতীয় কবির সমাধি
d5575625f1	dfefa	পরিচিত হবো
d5576af5de	6e8cb	নিষেধাজ্ঞা জারি করা হয়
d5579c70f0	db181	কোন ধারণা ছিল না
d557f93f12	fd880	এনএলডি-ন্যাশনাল লিগ ফর ডেমোক্রেসি
d558890045	3ec4d	পলাশবাড়ী
d5588ac29b	282d3	অনুমান করেন যে
d55893eddc	3fce2	জনাব আহমদ রফিক
d55994c404	68549	কোন হতাহতের খবর
d559a9b8f4	cfc65	অন্যতম দেবতা
d55aded7fb	3bb15	পূর্বদিনের যুদ্ধে
d55aecd0e4	2d78f	এ সিদ্ধান্ত নিয়েছে
d55b3dff5d	4dd57	দেশের অসংখ্য
d55bdd9ebc	bfac7	তাকে বড্ড হিংসা করত
d55bed543c	06527	বিশ্ব চ্যাম্পিয়নের
d55c400435	13b70	মিছিলের চেষ্টা হয়
d55ce89b20	2ac82	রাহুল বিজেপি নেতার নাম
d55d1b95c3	3ccf1	সহিংসতা ও হত্যার অভিযোগও
d55d5dbbfb	c0965	জাতীয় দলের
d55d730083	43b04	সে কারণে এখানে একটা
d55dccedf6	3fb17	ঘরে আগুনের সূত্রপাত হয়
d55de9c05c	9282d	বেড়ে যাওয়ায়
d55e0e15af	e03fc	প্রকৃতি যেন তার মতোই
d55e4c7e11	64092	ভর্তি করা হয়
d55e702b28	5e80b	পদ্ধতির ন্যায়
d55e836acb	5e80b	এপিনেফ্রিনে কিছু ছোটখাটো
d55f63bc02	8632b	একটি জনপ্রিয় গোয়েন্দা চরিত্র
d55f8b9fa0	ce180	অভিনেতা,কবি
d55fb09684	db181	রায় বাতিলের জন্য
d560416ebc	0a7a0	বিজয় দিবসে
d560d90bec	4bede	খবর পেয়ে পুলিশ
d560da7b99	7e1d5	ছুটি কাটিয়েছেন নেইমার
d560df1493	baa02	আপনার মতটা
d56139d1e5	7e1d5	তুমুল জনপ্রিয়তায় অভিনয় করেছেন
d561ad81c4	9d46f	তরুণ মুর্তজা বশীরের সঙ্গে
d561c3b115	6973e	পাকিস্তান ও শ্রীলঙ্কার সঙ্গী
d562445e62	e6d83	রুনুখালার একটি ছেলেও ছিল
d5628fd051	65652	তখনও রাত্রি আছে
d562973e14	7aed9	১০ মিনিটের মধ্যেই
d562ebd99d	2bd99	যতক্ষণ না নারী
d56356288c	693cb	বরং পেয়েছেন উপেক্ষা
d56368ad50	ec91c	এবং যারা ঢাকা থেকে
d5639c5a73	410fa	ব্যবসায়ীরা অভিযোগ করছেন
d563a04872	1e7c6	কে ক্ষমতায় আসবে
d56433a750	d2d71	নিরাপত্তার জন্য
d5644d5b55	e2ba2	এল না কেন
d564c12733	4f2ae	ছুঁয়ে গেছে
d564cac307	f9dfb	দ্বিপাক্ষিক অথবা বহুপাক্ষিক ট্রানজিট
d565205bff	0d9f1	এখন খামারের আশ-পাশের
d5657740e0	948d3	যাদেরকে এখনও
d5657b86b4	cb1aa	একক সংগীতানুষ্ঠান
d565cb7186	c463d	খেলার মাঠে তার হারানো
d5670f7f06	2ee04	নবায়নের জন্য
d5676e147c	fb4cb	হঠাৎ হালকা হালকা লাগে
d5676e4f56	c6848	তারা এমন হাজার হাজার
d5678269f6	85430	হাসপাতালে চিকিৎসা নিতে আসা রোগীরা
d567b4f5ac	15a75	ক্ষুধায় পেট জ্বলছে
d567f16ff3	ea5be	কম্যান্ড অগ্নি ১
d568ec9686	52578	ময়নাতদন্ত ছাড়াই
d569016a98	b5fdc	যার মধ্যে ক্রাইমিয়ায়
d56966dc5a	7f71c	কলিন্স কিন্তু সখের গোয়েন্দা
d569b1bd78	554fe	চাকা
d569eff299	6aac8	চলচ্চিত্রের অন্যতম
d56a124c85	e31e7	অধীনে ন্যস্ত ছিল
d56a1c20cf	4f2ae	ভর্তি পরীক্ষার
d56a24f46b	9642e	তাঁরা ছিলেন
d56a2c0cb6	cfc65	ব্যাক্টেরিয়া ব্যবহার
d56a5c0646	ef915	তিস্তা নদীর পানি বন্টন নিয়ে
d56a88a28e	6e8cb	আমরা এই ধরনের সংযোগকৃত
d56ae0bdcd	778c0	নগরীর সৌন্দর্য বাড়ানোর পদক্ষেপ
d56afea7d6	b5fdc	ভাষণ দেওয়ার সময়
d56b31662d	80e98	বাবু গোষ্ঠ
d56b369b5a	49543	একটা এক্সপেরিমেন্ট করতে চায়
d56c1df85c	5dd61	ময়নাতদন্তের জন্য
d56c86fea9	809cd	বর্তমান অগাস্টা
d56c8cc77e	14d25	বেচারারা একদিন
d56cdb4916	e3f89	এই পরিসংখ্যান দেওয়া হচ্ছে
d56d5e9a2c	f1ff2	এরপর বৃষ্টি এলো
d56d716f34	860f4	অনিকের সঙ্গে
d56d908dd6	4c555	গতি আনার জন্য
d56e1a052f	24aed	বোধ হয় ভালো হতো
d56e58701b	4fbd1	জাতীয় পার্টি নির্বাচন থেকে
d56e972b0e	d9ba9	তৎকালীন পূর্ব পাকিস্তানের বিভিন্ন অঞ্চলে
d56ebafef6	3bb15	মুখ
d56f011839	80e98	কারও ব্লিডিং হচ্ছে
d56f13785c	9d46f	ইতিহাসে কখনো
d56f2200f2	6aac8	জটিলতা বৃদ্ধিসহ
d56f2c78ef	39dd0	অতিরিক্ত ৮০০ সদস্য
d56f468f6a	f1ff2	তেমনি পড়াশোনার পাশাপাশি
d56f9511f5	d7a68	চিত্রক গ্যালারিতে
d56f9840b3	0d9f1	উভয়ের সম্পর্ক
d57013830d	2556b	তাঁর ১২ টি চলচ্চিত্র
d5711e49c3	a06a1	কানামাছি
d57178dd96	88654	সরকারি কয়েকটি মন্ত্রণালয়ের সাথে
d57202332b	693cb	আঁকাবাঁকা লাইন ধরে ঘন বনাঞ্চল হয়ে ব্যস্ত নগরীর বুকের উপর দিয়ে ট্রেন এগিয়ে যায় বাধাহীন।
d572070778	91dff	অভিজাত সম্প্রদায়ের লোকেরা
d572be6255	7297e	অনুষ্ঠান আয়োজন করছিল
d57312d6ca	91dff	তাকে আটক করা হয় বলে
d573434ee2	256f5	চোখে দেখতে পাসনে
d573575194	f2097	তার আয়োজন
d573d27782	ca088	৫ জন নিহত হয়েছেন
d573d9cf9a	5cb47	উচ্চ আদালত থেকে
d573f17a46	1cb75	ভগবতী সূত্র নামে
d57456a0c2	388c9	আমি আশা করবো
d574b2c994	d0c70	আবারো ১৭ আগস্টের ন্যায়
d574dde44a	c3cca	ক্রেতাদের একটা বড় অংশ
d575f0b84d	2840e	নির্মাতা হিসেবে মনে করি
d575f22dde	d41be	রায় বাতিলের জন্য
d5768561c9	ce180	কেন্দ্রগুলোর সঙ্গে
d576917b35	4c555	মূলত ফাংশন,প্রসিডিউর, ভেরিয়েবল
d5769a3c20	24f73	ঘটনার রহস্য উৎঘাটনের
d5769dc506	7b103	কখনোই নিরাপদ
d5770b6af2	3fae0	আগুন, ভোট-সরঞ্জাম লুট
d5770bd321	e6d83	কারণ সরকারের মেয়াদের
d577400957	c7705	ইরানের পরমানু কর্মসূচি বিষয়ে
d577b7e21e	ff1eb	একটা বড়সড় ধাক্কাই লেগেছে
d577bbfc5c	95f83	গ্রেফতার করা হয়
d57815b73d	d1a48	তাদের দেশের হয়ে
d5782156c8	92bd8	হত্যাকাণ্ডের ১৪ বছর পর
d57879a78a	52578	বোরকা পরিয়ে
d5787c9700	7d004	সাহস দেখালেন
d5788d289f	4e900	এবং শ্রোতাদের কাছে
d578996190	d2faf	যেখানে আয়েষা দাঁড়াইয়া আছেন
d578a492b7	06ea3	নতুন নতুন ভাবের গান
d578b350d5	66b3c	কারণ তার গবেষণা কাজের
d57905f514	a8710	এবার বিশ্ববিদ্যালয়ের ছাত্রছাত্রীদের নয়
d579190e6c	54e68	এইখানে তোমার আমায়
d57922c930	3f493	জীবন রক্ষার জন্য
d5794348c2	e6203	অথচ তারা ১২টি উপজেলায়
d579acc490	c7705	হিন্দু,মুসলিম,শিখ
d579b6cc5a	2840e	মেজর-লেফটেন্যান্ট জেনারেল
d57a14dd8b	37d7e	এ বছর একটা
d57a2d56b0	0b7ca	ষাটভাগ বাস্তবতার মাঝে
d57a63a2be	e9759	কাবুল শহরে
d57b42b93d	f2097	বেসরকারি প্রাথমিক বিদ্যালয়
d57b685b28	9d46f	কলকাতা শহরে
d57d2c6c57	1652d	এ যাবৎ বিশ্বের
d57e1345e3	9f25e	তাদের বুকে চলছে রক্তক্ষরণ!
d57e2bc66c	7df87	শীর্ষে রয়েছেন তিনি
d57e579cd2	d2294	৭ই ফেব্রুয়ারি, ১৯৮২ জীবনকালে
d57ebc9047	dae88	ওয়েবসাইটের দিকে নজর রাখছেন
d57ec4e161	bfac7	কবির বলিয়াছিলেন
d57f7d3e9e	0f047	বড়দিনের আগের চার সোমবার
d57f93b5f3	ad69a	গড়ে তোলা হচ্ছিল
