3e006bdeeb	6c6bf	বিভিন্ন রোগের কারণে
3e086c9fc4	195f7	প্রথম আন্তর্জাতিক গোলটি
3e09163f14	e9759	নিয়ন্ত্রক অংশ
3e09270b15	d2294	ফুটবল লীগ খেলছে
3e0953a973	388c9	বেদান্ত দর্শনের
3e096205d1	b8bdd	ক্ষুদে শিক্ষার্থীরা
3e097bad0e	6fb36	অ্যাডোনিস বা
3e097e291e	e6e48	ভারতে তাঁর দ্বিতীয় অভিযান
3e0988e809	24f73	গাড়ীতে করে
3e09be5439	b9a81	মালামাল পরিবহনের ক্ষমতা
3e09de4ce8	98b81	বছর চারেক আগেও
3e0b3c23fe	b5fdc	আমার প্রায়
3e0b9124c9	410fa	বুটিক ব্যবসা হতে পারে
3e0baa2d70	29089	মিল্কি হত্যাকাণ্ডের
3e0c0820ef	b8fe1	১২ মে রাতে
3e0c4965f2	b08d0	তাঁর অভিজ্ঞতার ঘটনাবলিকে নিয়ে
3e0c71b86f	3ccf1	নজরুলের কাব্যসাধনায়
3e0c9960c3	e55de	মুশরিক
3e0ca2a466	ad69a	বুঝি বাতাসের স্বরে
3e0ccac851	fcc89	আন্তর্জাতিক ক্রিকেট কাউন্সিল
3e0cfb4bda	1652d	আর কৃষি বিভাগের হিসেবে, প্রতিবছর আলু চাষ করেন প্রায় ৮০ লাখ কৃষক।
3e0d21447b	54cdd	তার পূর্ণাঙ্গ রূপ
3e0d9745f1	ac0df	প্রচার ও প্রসারে
3e0da0921d	b9b98	কুকুরের এই নির্দিষ্ট গ্রন্থি
3e0dfeded3	8406e	লিমন একবার চোখ খুলে
3e0e57b6d2	c0965	সারের কলসি
3e0e5d00ef	ea8fa	প্রাথমিকের যে বইগুলো দেয়া হয়
3e0ed187af	3ccf1	গরুর জন্য ঘাস কেটে
3e0f1eb297	ea8fa	জেলা প্রশাসক
3e0f64495f	0895a	জসিম
3e0fac8b8f	91223	বাবা বাড়ি ফিরে
3e0fb70d6d	0d9f1	রাশিয়ার সামরিক বাহিনীতে
3e1007eda7	d1b12	তার জীবনের প্রথম
3e102dad90	f83df	এই আইনের আওতায়
3e105fca38	4ea73	এটা ছিল
3e10ac7f37	db181	আশুলিয়ায় তাজরীন গার্মেন্টসে
3e10e13cca	b2a62	২০০৮সালের ২৯ জুন
3e112cc3ce	b8bba	সমীকরণ দাঁড়াবে
3e1156d4a3	7b103	ভালোবাসাকে
3e116fcec0	239f7	শুধুমাত্র একদিনে
3e1178bec8	b8bf0	ব্যক্তিত্ব
3e117ce20a	b5fdc	তার ওপর কোরআন
3e12252c5e	e8dde	নির্বাচন কমিশন সচিবালয় থেকে
3e1318e95c	e754e	সরাইলের বাড়িউড়া এলাকায়
3e131fedb3	ce629	সঙ্গে আছে
3e13359eb2	88654	জেনিফার লরেন্স
3e1374cb72	3bea8	যারা শান্ত শিষ্ট
3e138a630a	ad98d	ইব্রাহীমের ভাষায় ঝরে পড়লো
3e139319d4	d71a3	বিকেলে তারা খুলনা ফিরছিলেন
3e13e3b3d5	8845d	বিক্রি হচ্ছে কবিতার ক্যাসেটও
3e144880a0	9b864	খসে পড়বে
3e1462d6ce	0744c	করা গেল
3e14d2b28d	809cd	অন্য কোনও মাবুদ নাই
3e14dbbe06	e9fa7	দেরাজের ভারি কাঠ
3e150e228c	f1ea4	আল্লাহ কোথায়?
3e152a0603	4fbd1	বেমানান তিনি
3e15b0ecae	f1ff2	আমদানি কমার পেছনে
3e15bc7afb	a4750	প্রতিদ্বন্দী চরিত্র ছিল
3e1643797a	aab0f	মা-শিশুকে একসাথে
3e1648f61a	54cdd	গরম গরম পরিবেশন করুন
3e1683ebf7	577fa	গাড়ির ছবি
3e168cc8e3	14d25	ঐশীর পলাতক
3e16faad55	9642e	ঢাকা পড়ে
3e17b33f2c	c749e	অফিসে ঢুকতেই
3e17e9044b	e43d4	সর্বদলীয় একটি সরকারের অধীনে
3e1813fbe7	870e3	বিয়ের জন্যও প্রস্তুতি নেন
3e18410276	f4ba7	অবকাশ ছিল না
3e18c0b9a8	43199	শামীমা নাজনীন
3e19a67d44	ee4ad	এই মাদ্রাসায় আসতেন
3e19b2299c	4f2ae	মূলত পণ্যমূল্য বাড়ছে
3e1a34ef15	3bea8	অভিজাত্যের বাস্তবতাকে
3e1b4e04ad	430b2	সে-কথা বলাই বাহুল্য
3e1bfe5710	e3f89	এটি একটি বেসরকারী
3e1c17c504	3faff	সংবাদ সম্মেলনের পরই
3e1c8de14d	c173f	পরে শোনে
3e1cb65a9b	35ef3	বিষয় থেকেছে ছিটমহল
3e1ce95777	e2ba2	এখন বিরোধী দলগুলোকে নিয়ে
3e1d203bc3	ee852	সুভাষ যোশি
3e1d542892	b8bdd	নব্বই দশকের মেডিকেল ড্রামা ইআর
3e1e09b02c	9065c	তবে এটা
3e1e51fecf	fcefa	অতিরিক্ত স্বর্ণ ও রৌপ্য নয়
3e1eff737a	e7230	ভৌগোলিক পরিব্যাপ্তির
3e1f01a711	9282d	উইলিয়ানের ফ্রি-কিক থেকে
3e1f4f28c2	2396d	যা করার করব
3e1fab83cb	16e96	গর্ত সৃষ্টি হয়
3e1fbcbd67	6973e	দেয়া হচ্ছে ব্যবসায়ীদের
3e1fe71b2f	f600a	যেসব শিখ নিরাপত্তা রক্ষীকে
3e2117fb19	68ab7	দুজনেই চিত্রকর
3e2199b448	93080	শনিবারের ওই হামলা
3e21b5a130	21e54	ঔপনিবেশিক শক্তির অত্যাচার
3e21ce6621	33aef	টোল পরিশোধ করতে হবে বলে
3e21d9d562	a274b	কারণ অগ্নিকাণ্ডের জন্য
3e22079be1	bc81e	খবর পেয়ে জয়দেবপুর থানা পুলিশ
3e2239f489	e754e	এভাবেই হিন্দু দেবী
3e22536b8f	0f047	ওষুধ খাওয়াল
3e2255f089	6d129	৫ অক্টোবর থেকে
3e2281f7e0	d71a3	বুকে বাংলাদেশের পতাকা নিয়ে
3e22c87844	f2097	ক্যান্টনমেন্ট থানা এলাকার
3e22ec6db5	d5f7b	হাসুর দুই চোখ দেখেছি
3e23496b78	3c897	আচ্ছা, দেখি
3e24064014	e2ff7	আটটি দল হলো
3e241383a6	9f25e	বিচারপতি ওবায়দুল হাসানের নেতৃত্বাধীন
3e24fdc3dd	616ec	ওখানকার অবস্থা
3e251fc5e9	98b81	বিক্রি বন্ধের পথে
3e256867b6	46da4	পুরানা পল্টনে
3e258066e8	17dcd	কিছু অনিয়মের অভিযোগে
3e2581ea9a	ea5be	প্রকৃতির সঙ্গে সংগ্রাম করতে করতেই
3e25e3096e	09b32	এরা সবাই চুনারুঘাট উপজেলার
3e25efd361	7b103	স্বর্ণ জেতেন তিনি
3e26156fcf	903fa	কেটে খোদাই করা
3e2630496b	f2b7d	আসলে আমরা অনেক সময়ে
3e26b3bbba	dafb6	আশির দশকে
3e26e0d04d	d9081	পাস হওয়ার ফলে
3e26f4ac85	a274b	সংক্ষিপ্ত বক্তব্য দেয়ার পর
3e27633e6a	d5213	পূজ্য, পূজকের মধ্যে
3e27ac2551	698a4	কবলিত হতে পারে
3e27d66d77	4a67e	রাজামশাইয়ের খিদেও নেই
3e27f5b9d2	f2780	বর্ষ শুরুর দিনটি
3e27f77436	a3a6d	বিদেশি সাহায্য বৃদ্ধি
3e28321c14	410fa	এতই সস্তা
3e2844056d	ee852	অকথিত ইতিহাসের অনিবার্য এক দলিল
3e284e13f6	ff0fe	আমার একটি দায়িত্ব আছে
3e284f9c82	3fb17	উদ্যোগ ছিল না
3e28a9d3cf	77f82	দ্বিতীয় পর্যায়ের কাজ শুরু হয়
3e29407ffb	25117	কার্যকর থাকায়
3e2a1b2de4	92f59	যে রায়টি হয়েছে
3e2a295dfc	21e54	গণ আন্দোলনে
3e2a2ff1f1	25117	ফটো কমেন্ট
3e2b51d38f	c749e	চলাচল করতে হচ্ছে
3e2b70c8fb	0696e	এই শতাব্দীর আরম্ভে
3e2b85660f	66c6b	কমেছে ১শ ৩৪টির
3e2bca48a8	c4973	নিয়ে গিয়েছিলেন
3e2bfb6202	b78ec	মূল উপাদানগুলোকে
3e2c4d9dd2	29f8c	টেস্ট স্ট্যাটাস হারানোর
3e2cbaa609	83c53	তাকে ধর্ষণ করছে
3e2cf18cdb	24f73	আপনি আজ রাতেই লেখেন
3e2d01dcd5	92f59	মিনির ভূমিকায় টিংকু ঠাকুর
3e2d3daa54	0b7ca	চিঠি দেয়া হয়েছিল
3e2d9d0d3b	01e91	যুদ্ধ-বিধ্বস্ত আফগানিস্তানের
3e2dd21333	dae88	সংক্ষিপ্ত সমাবেশ
3e2dd69876	16877	ব্যস ধরে ফেলেছেন
3e2e614563	16e96	যদি বাঁচা যায়
3e2e70f646	91b16	পুঁটুলিতে বেঁধে এনেছে
3e2ea9f836	eecdd	পড়ে থাকা
3e2ec656f7	31f09	করাচীতে রাস্তাঘাট থেকে বন্যার পানি সরানোর কাজে ইতিমধ্যেই দেশটির সেনাবাহিনী কাজ শুরু করেছে।
3e2edca106	d3e06	যদি সরকার শান্তি চায়
3e2f0f38e1	06527	মালয়েশিয়ার প্রধানমন্ত্রী নাজিব রাজাক
3e2f1b4ec8	44322	শশা রান্না ছাড়াই
3e2f628720	c6848	শুভ বিবাহ
3e2fca75da	7297e	গত রোববার একটি মামলায়
3e3065bde1	39dd0	ভারতের রশিদ খান
3e308917c1	e89bb	চমৎকার চলচ্চিত্র হবে বেঈমান
3e314c61a5	404ee	শ্রীলংকার ফাস্ট বোলার
3e315115c2	d2d71	যথাযথ মূল্যায়ন ব্যতিরেকেই
3e319f8123	80539	এখন রোহিঙ্গারাই
3e31af51a1	bbb22	কেবল ভিতরবাগে নজর দেওয়ার
3e32139c5a	6973e	স্থূলতা রোধ
3e322f3e0f	38d3a	পানির সঙ্গে দ্রবীভূত সোনা
3e32700033	577fa	কেন, যেন দীনহীনা
3e32deb22e	4dd57	তিনি শিক্ষক হিসেবে সফল ছিলেন, কিন্তু রাজনীতিবিদ হিসেবে ব্যর্থতার পরিচয় দিয়েছেন।
3e32e3c054	491a5	অবশেষে ভারতীয় বংশোদ্ভূত
3e331c9182	7e1d5	তাহলে খুব সুবিধা হত
3e3354e5f3	a1201	মাননীয় স্পিকারের
3e336b8e81	c6848	পামেলা অ্যান্ডারসন
3e33db5289	e03fc	ময়নামতি
3e33e8a5a7	0e637	নারায়ণগঞ্জ পুলিশের পক্ষ থেকে
3e340f6c85	6ab59	নোটিশ
3e347f45a9	ee7b2	লাল কার্ড দেখেন
3e34f4373d	c0d65	কাকলি
3e34fcd26a	a0277	ঢাকার বিক্রমপুরে
3e34feb012	2909b	কিন্তু এবার
3e353bb3d2	b8bf0	বাবার চোখেমুখে
3e35478cba	1de6c	ব্যাংকটির লক্ষ্যমাত্রা ছিল
3e35eaf83e	91ac1	সচেতন থাকবে
3e36088155	37d7e	এস আই টুটুল, মুন্নী
3e360cced9	09f0d	নির্বাচিত শিক্ষার্থী
3e36214a61	7f2ef	তাদের পুরনো বছরের দেনা-পাওনার
3e362b14c3	f4ba7	সবচাইতে সুন্দর ফুল
3e36e74f4b	c11b1	পঞ্চাশ শতাংশের বেশি
3e36f43a16	bcaa8	সে কি না দেখলে
3e36f8e2ef	194f5	সংসদ সদস্যরা
3e37a08fb6	2aecc	এক কাপ চা দেখার জন্য
3e37e33b11	29f8c	পেটের ছেলে, তা হোক
3e38e1cf51	60b9d	নিরাপত্তা বেষ্টনী
3e390a5c06	38ff0	ক্রসবারের ওপর দিয়ে
3e392af274	903fa	বলতে পারে না
3e3976ef32	3d17c	নতুন এই খসড়াটি
3e39ba0feb	adf01	একটি আধুনিক চিকিৎসার হাসপাতাল
3e39dee30a	509f6	বাবার কাছে
3e3a14fd15	7f71c	একটু জল খেতে দেবে
3e3a4136c1	60f77	ফিরবে না এক সময়ের
3e3a4f16a3	15a75	তা হয়তোবা তাঁর প্রকাশভঙ্গির
3e3aab2485	e8dde	সবকিছু ঠিকঠাক মত এগোলে
3e3afa9e68	7b132	তাদের যা আছে
3e3b10e7c3	08458	বাংলাদেশ বিশ্বের পাঁচটি
3e3b29ce51	f29bf	যিনি স্বয়ং উপার্জ্জন না করিয়া
3e3be700cb	c11b1	কোর্ট অর্ডারের ক্ষেত্রে
3e3bff35fc	2f547	পালন করিতে লাগিলাম
3e3c8a5e43	80e98	১৯৯৭ সালের ইউএন কনভেনশন আইন
3e3d39a10b	1a4a9	বেসিস-এর সভাপতি মাহবুব জামান
3e3dd4fbf7	9d7bf	রাখাইন জমিদারকন্যা মাথিন
3e3dd516f6	256f5	আমার কাছে মনে হয়েছে
3e3e1b30f0	08458	দেখাটাই হয়নি
3e3fcd9f03	2aecc	মি. মোরসির পক্ষে
3e4061c11c	af81d	আগের মাসেই নিউ জিল্যান্ড থেকে
3e4081121c	536d9	নানা বিতর্ক
3e40b9870b	f0f95	খরচ করেছিলেন বলে
3e40d652c8	c7a89	তাতে সন্দেহ নেই
3e40fcf577	e9fa7	পালন করছেন
3e41797184	0696e	আউটলুক গোষ্ঠীর
3e41ace215	404ee	দারোয়ান দিয়ে
3e421e93f8	fcc89	সোমবার ভোরে একটি ট্রেনের
3e425e6adb	93080	শুনানি গ্রহণ করে আদালত
3e42f290a1	42898	বাড়িঘরেও ইটপাটকেল নিক্ষেপ করে
3e4343aab9	a0277	চারটি থ্রিজি ওয়াই-ফাই
3e434b8d8d	b78ec	রাগ না করে
3e4371489f	7898e	মাথুর পালার পরে
3e448d6c69	e2ba2	দেখলাম তাতেই খুশি হয়ে
3e44ce3450	f2b7d	তবে এর মধ্যেই
3e44ce57db	5dec6	ওই মাটি
3e458b8a8b	0744c	প্রতিটা ক্ষেত্রে বরাদ্ধ বেড়েছে
3e45b31020	cc18a	কোনো টি-টোয়েন্টি
3e45c437e4	7898e	আর নাম ছাড়া
3e45e355fc	e9759	বিক্রি করবার
3e4628e8e5	d2355	ওবামা তার সফরকালে
3e4680d6de	c7705	তার সর্বাপেক্ষা জনপ্রিয় উপাখ্যান
3e469958b2	778c0	মাত্র ১২ জন
3e46d32041	943de	কালেমা
3e472d7098	d9081	সালেহ জহুর
3e47473f5f	2bd99	আগামী ১৮ মে শুরু হবে
3e48021cfa	ac0df	তিনি নিজেও জানতেন
3e48894b86	06527	ময়মনসিংহ শহর ছেড়ে ফুলপুর
3e492b3ef5	25696	আমাদের দাবি না মানে
3e49af0c88	91dff	পিক আওয়ারের বিদ্যুতের দাম
3e49b903b0	16a17	রাজধানীর রামপুরায়
3e49f18b89	8143b	গুপি আর বাঘা ভাবল
3e4ad834fa	239f7	আইনজীবী উপস্থিত ছিলেন
3e4b22d9e7	d7a68	এ সময়ের
3e4b59d6bf	e2c11	এ পাড়ার কারও সঙ্গে
3e4b8af93d	13b6a	সৃষ্টিকর্তা সকল মুসলমানের পক্ষে
3e4bc79716	932bb	দক্ষিণ-পশ্চিম ইংল্যান্ডের যে বাড়িতে
3e4bdc6576	13b6a	মসজিদের ইমাম সাহেবকে দেখাতাম
3e4c266cbd	a3a6d	কেবল তোতা পাখী না করেন
3e4c84a3e1	f1ea4	বেড়ে যাওয়া
3e4d96ba37	a06a1	শঙ্কর একেবারে
3e4e6e7c0e	dae88	লাশের পাশে বসে
3e4ed6e64c	d711f	বিমানটি দক্ষিণ ভারত মহাসাগরে
3e4ed79a8a	d9081	ওই বছরই হাইকোর্টে
3e4f04b02d	f280a	অক্সফোর্ডেই স্যার
3e4f2918cc	f600a	মাহবুব তাতে ফের
3e4f95f1ac	8b859	অথচ আধুনিকতার নামে
3e4fecd5f6	3bea8	তত্ত্ব থেকে এটা প্রমাণিত হয়
3e5001bf44	d0c70	এত আসবাব বানানোর
3e500c11ba	61820	সেখানে কয়টি হাঁস
3e501080e5	bdfc1	সরকারের ওপর
3e501689ce	91b16	মঙ্গলবার মধ্যরাতে জাতিসংঘে বাড়তি সৈন্য মোতায়েনের প্রস্তাব পাস হওয়ার ফলে দক্ষিণ সুদানে আন্তর্জাতিক শান্তিরক্ষীর সংখ্যা দাঁড়াবে প্রায় সাড়ে বারো হাজার।
3e50412377	bd576	গত ৫ অক্টোবর
3e505a66f6	c3cca	চাঁদপুর
3e509b64ea	239f7	এই সাফল্যের মহত্তম স্বীকৃতি আসে
3e50a49777	68ab7	আনসারের দুই জন সদস্য নিহত
3e50c8fd89	b8ed8	আশপাশের সর্বত্র
3e5110af94	323f1	তাহা নিজে
3e51315b40	2b883	করতে না পারায়
3e513add52	24aed	ফখরুল
3e51c1eb7b	880ae	নতুন চাকরির সন্ধান মিলতে পারে
3e51dc10ec	35ef3	ইসলামের সমালোচনা করেছি বলেই
3e523a6556	cb842	ব্যাটারিচালিত ডুবোজাহাজ
3e52c11d9e	ce629	কোনো আপত্তি করল না
3e52e8c804	2fc12	উপস্থিত হইবে কেন
3e5301e4dd	0696e	এগুলো খনন করা
3e53d337a7	717bb	ইউক্রেনের পূর্বাঞ্চলে যদি
3e54474e49	7898e	ততটা সহজ হবে না
3e54641517	e9759	ছেষট্টি বছর বয়সী মার্শ জন
3e558bcd96	b9b98	অ্যান্টার্কটিকায় অবস্থিত
3e55916a0d	b8bdd	বাংলাদেশ শিল্পকলা একাডেমীর সহযোগিতায়
3e55d909e4	7df87	তবে তিনি জানান
3e562b6fd4	4fc91	সুনির্দিষ্ট কোন অনুসন্ধান থাকলে কি করবো
3e562ff3d4	5639c	সাঁতরাতে সাঁতরাতে
3e566acf2b	9813c	সব কথা আপনাকে বলবার
3e56770dd7	d2d71	নতুনতম তত্ত্ব এসেছে
3e567c2116	d1a48	পড়াশোনায় অত্যন্ত মেধাবী লিপি
3e568e33c7	06527	অরণ্য বিস্তৃত
3e56956c9a	4fbd1	তখন তিতাস ফার্নিচার নামের
3e571ca636	f0f95	কিন্তু ইতিহাসের কোথাও
3e57594f2d	e9759	ঢাকার তাপমাত্রা ছিল
3e57820070	e7230	অগ্নিকাণ্ডকে নাশকতা বলে
3e57fec84a	f1ff2	থাকা যায়, থাকি
3e58921857	16e96	ভুমি জলমগ্ন হয়ে
3e59b0edfe	06736	৩০ হাজার কোটি টাকারও
3e5a17a49b	8a46d	বিমল বারবার
3e5a3edb60	b8ed8	খান মজলিস
3e5aff7ced	5e80b	অনেক বেশি এঙ্ইটেড
3e5b2ad3e8	f0f95	নকুল কুমার বিশ্বাসের গান
3e5b4c78c5	80505	দ্বিতীয়ার্ধের তৃতীয় মিনিটে
3e5c43067c	37e17	তার কাছে জানতে চাওয়া হয়
3e5c68d5dc	ce180	সকাল বেলার কবিতা
3e5d1f23d1	9f25e	১ মিনিটের মধ্যে
3e5d3253bf	ad050	রাজউক
3e5dfd8ba0	82926	একটি হাড় বাঁকা
3e5e1a3d4c	c958a	নিজ নিজ জেলায়
3e5e22e499	bdd05	আগের নির্বাচনে সেনাবাহিনী আসলে
3e5e58c3f7	a06a1	প্রেমভাগ্য সৌভাগ্য
3e5efb622d	616ec	সাহিত্য, সংগীত, চিত্রকলাসহ
3e5fb6f68a	7c272	বেছে নিয়েছেন
3e602533e0	d5213	এখন তাদের
3e60b4fff3	b9122	এবং সাংস্কৃতিক দিক দিয়ে
3e60d3d1d2	06527	বইতে যৌনতা বিষয়ে
3e60f85e29	ef4f8	অনেকে এখনো চিকিৎসার বাইরে রয়েছেন
3e610978dc	92bb2	কখনো কখনো মানুষ
3e61198053	6e6fa	স্টেজ শোতে গেয়েছি
3e616650ee	9282d	ব্যাটিং গড়ে
3e6176a2f2	33814	সে আমাদের হইয়া
3e6346e111	60b9d	দর্শকের পছন্দ অনুযায়ী
3e63de2bba	0d8c1	ইতিবাচক পরিবর্তনের স্বপ্ন দেখে
3e645c6d33	cfc65	দ্য লাস্ট পোয়েম
3e65a99f65	d82d9	ঢাকা পলিটেকনিক ইন্সটিটিউট
3e65af3803	f280a	বালিকারা এখনও কি খেলে
3e65d36386	121bd	এবং সবই দেখা যায়
3e663cfce4	80be1	সদর উপজেলার
3e664aa6ca	1a2a1	শিল্পীর গ্রাফিক্স ডিজাইনের কাজের জন্য
3e666e5a18	bdd05	সেখানে জড়ো করে
3e66ce2f30	2de86	তার ফরেন্সিক পরীক্ষা
3e66d14e8b	860f4	মিসিসিপির নিভৃত পল্লীতে
3e67061fb9	7898e	কিছুটা দূরে
3e671cf81e	61820	সঙ্গে আছে কিনা
3e6744d993	7ee9b	তাতে তাঁহার মুখ দেখতে
3e676062e1	b78ec	হরতালের নামে সহিংসতা চালানো হলে তার বিরুদ্ধে যথাযথ নিতে আইনশৃঙ্খলা বাহিনীকে বলা হয়েছে।
3e67eb045b	4f450	ম্যাপে বার বার লিখে দিয়েছে
3e6844e399	f2780	চীনকে বাংলাদেশ
3e684f0674	e2ba2	ঢাকা মেডিকেল কলেজ হাসপাতালে
3e69583d9f	b52ab	সেচ কাজে
3e6978d7ed	693cb	নীল সাজ
3e6983b0cb	ca088	বিনা প্রতিদ্বন্দ্বিতায় নির্বাচিত হন প্রার্থীরা
3e69865a13	2bc73	যেখানে সেখানে
3e6b07bf2b	7f2ef	আইনজীবীদের অনেকেই
3e6bb85374	ee4ad	চারদিকে চেয়ে দেখলেন
3e6be1ff59	14d25	ও মুক্ত বাতাস
3e6be83171	948d3	বিশ্ববিদ্যালয়ের ওই সময়ের উপাচার্য
3e6c07a8ce	e7230	নচিকেতার গান
3e6c361b16	54cdd	হিজড়াদের সাথে কাজ করতে গিয়ে
3e6c88eeaa	6c17f	পুলিশ বিকল্প পথে
3e6cb3aa45	c4973	মালির ব্যাপক এলাকা জুড়ে আল কায়দার মত দলগুলোও খুবই সক্রিয়।
3e6cc24ab3	3c897	দুধ খাইব না
3e6d0e03d1	29089	কলকাতা বিশ্ববিদ্যালয়কে নিয়ে
3e6d4be375	3bea8	গোলমালে যোগ দিল
3e6dcfdef7	2de86	নব্বই হবে
3e6e183225	dba43	অনেক বেশি শক্তিমান হবে
3e6e33cc33	af81d	সামাজিক এবং ধর্মীয়
3e6e9d5ee8	c8f7f	চার্লস এলিয়ট নর্টন অধ্যাপক হিসেবে
3e6f3b0acd	f658d	ঊষা অনিরুদ্ধকে
3e6f51e1df	2909b	কপাল চাপড়ায়
3e6fbff9c8	ca831	বাংলাদেশ জুড়ে চলছে
3e70284466	dae88	বর্তমানে দেশের
3e702d3c26	06736	শনিবারের ঐ হামলার পর
3e706889b6	f2780	হিসাব ফরম ও অর্থ জমার বইতে
3e70f90120	92bd8	তাহলে খুব সুবিধা হত
3e71b00263	4a918	আজ আবারও নির্দেশ দিয়েছে
3e71d3fb60	195f7	দ্বিতীয় বিশ্বযুদ্ধ কালীন
3e71ef78eb	4fc91	ইয়াসির আরাফাতের
3e724d0383	3bb15	বলে ধরে
3e729f2e5d	a1201	এবং বিভিন্ন নিরাপত্তা বাহিনী
3e72a89508	e2ba2	একটি করে অস্কার ট্রফি
3e730d7a8f	f280a	বিস্কুট বা মিঠাইকে
3e7426c663	85430	প্রচার হবে এটি
3e7509ef20	16e96	ওয়ার্ল্ড কন্টাক্ট পারসন হিসেবে
3e75a1b571	778c0	আইনজীবী মিজান সাঈদ
3e75aeaa7d	5e80b	অপেক্ষা করছে রানা
3e75bd043c	ce180	রাবার বুলেট ছোড়ে পুলিশ
3e7624fe5e	bdd05	ভূমিকা নিতে হবে
3e76393d0a	e6752	কোনো কাজ নেই
3e76a183b8	a43b5	স্কুলে পড়ুয়া ছাত্র-ছাত্রীদের
3e76d59adc	83c53	মা ঝিমোন
3e77790815	7c272	আনন্দ পিকচার বাংলা
3e778b1abd	d7a68	আমরা একটা ছবির কাজ করেছিলাম
3e77d17de1	13b70	বৃদ্ধ পথচারীকে পাশ কাটাতে গিয়ে
3e7893180d	01e91	তালা ভেঙে
3e78bcfd38	274ee	বাতিল হইছিল
3e78c57cd7	b4ea7	১৯৬০-এর দশকে
3e78d87c33	54cdd	সে বালক সদ্য মহাজীবনের
3e7918db62	f658d	আগে অনেক কিছু করেছি
3e7919cfda	0bace	বাংলাদেশে নারী অধিকার নিয়ে
3e79207a6b	c3cca	একই এলাকার
3e79347c03	e68af	এক পুলিশ কর্মকর্তা
3e795a3f3f	35ef3	ছবিটির প্রিমিয়ার অনুষ্ঠিত হয়
3e7a3d8c2a	a8710	অর্থনীতি একটি অধীতব্য বিষয়
3e7aa7f7c7	2556b	তুলে ধরা হচ্ছে
3e7b039d66	aa820	এমাসের শুরুর দিকে
3e7b33744f	1cb75	সম্প্রতি তিনি
3e7b7003de	18a52	প্রেসিডেন্ট সালভা কির
3e7ce381ab	8143b	ধারণা করা হয়
3e7d0324f5	ce180	বিষ্ণুর কথা এখন বলিব না
3e7d141ed4	80539	বৈঠকে যুক্তরাষ্ট্র ও এর মিত্ররা
3e7d6b42cb	39dd0	২০ নভেম্বর, ২০০৭
3e7e198d06	ef4f8	মি. ওবামা খুবই হৃদয়বিদারক
3e7e74915c	8632b	এজিএম পদে ৮০
3e7ebec8a6	eb179	দ্রুত বর্ধমান
3e7eec001d	7a227	ক্যামব্রিয়ান কলেজ
3e7f00a12b	7297e	তবে ফারজানা জানিয়ে দেন
3e7f916424	ad69a	দুঃখের সঙ্গেই বলছি
3e7fb3ff37	cf82a	ছড়িয়ে পড়তে থাকে
3e801045bb	b9b98	একটু আগে চিত্রনায়িকা বর্ষা
3e8068c4ff	cb1aa	মাও না
3e806ae45d	4237e	অভিনয়কে পূর্ণমাত্রায় বোধগম্য
3e80ba84d8	717bb	এর সন্ধানে
3e817e4360	1b359	প্রতি মাইল
3e8191add5	38d3a	রহিয়াছে
3e81d1a537	44322	বোধহয় এসব মহাসমারোহে
3e81e973d8	698a4	কয়েকটি সংগঠনের সাংবাদিকেরা
3e8213f346	54e68	হালের বিশ্বায়ন
