41010b9d16	0bace	পরের ম্যাচে
4111bd0a2a	c3cca	আর গ্রাম-বৃদ্ধাদের মুখে
4111cb040d	66b3c	যুবকগুলোর দিকে
4111f1bc2b	c9c19	ফলন বাড়াতে সক্ষম হয়েছে
4111fd33b3	52578	প্রশাসনিক তথ্যপুস্তক
411213c00f	355c1	লেনদেন শুরু হয়
41122ce8a4	3ec4d	তাকে বেশি আকর্ষণ করতো
41122f416c	52578	চিকিৎসাধীন রয়েছেন
4112859653	d9081	দোকানের তেলে ভাজা খাবারের ওপর
41128ebba0	5b13f	এটি আর কিছু নয়
41129c2b5f	6e8cb	বাকি দু’খানার দর
4112cd347c	a06a1	তিনজনকে গ্রেফতার দেখানো হয়েছে
41133f6907	b08d0	রাখিতে হয়
4113dff031	e9fa7	আদিম খেলা
4114919136	e754e	পর্যালোচনা করা হতে পারে
4115279b77	a43b5	আকাশ ভরা চন্দ্র-তারা,
411542e17f	42898	তাঁর কোনো পুরোনো বই
411557794a	b00ba	লাশ সরানোর জন্য
4115932c3e	ee994	অতীতে বাংলা ভাষার
4115a8eaeb	cf82a	নেই বললেই চলে
4116103b03	3d17c	পিসিবি প্রধানের দায়িত্ব পালন
41163fed72	bc81e	গাছগুলোর মত
41168da953	e6752	কাহিনিটা একটু উল্লেখ করে
4116a46a76	355c1	একজন বাঙালি রাজনীতিবিদ
411753c223	aa820	বান্দ্রায় নিজের বাড়িতে
4118d901fe	b00ba	আমার কি আছে
41190e51e2	2ee04	জীবিত রাখতে
41197231d3	9fa90	পুলিশের বিশেষ শাখার
4119bb21fd	e03fc	কেউ যদি জাতীয় পতাকা ঠিকমতো ব্যবহার না করে, সেক্ষেত্রে শাস্তিরও বিধান রয়েছে।
4119c5be8c	95907	অনিন্দ্যসুন্দরী নায়িকা বর্ষা
411a2e5813	32998	মূলত অবনত হয়
411a378a23	29d44	রহস্যজনকভাবে বজায় থাকে
411a43d2e1	8ba2b	জেলা পুনর্গঠন
411a6d5cdb	2ecf8	আম্মা এইগুলা নিয়া
411aa9b465	5d12f	রাজনৈতিক দলগুলোর প্রতি
411ae161b8	4ea73	স্মৃতি রেখে যান নি
411af6518f	29f8c	নির্বাচন তিন মাস পিছিয়ে
411b6044c1	3fc9d	এর আগেই দানা বাঁধতে
411c5dd0e1	9c8dd	সেখানকার পরিস্থিতি অবর্ণনীয়
411c8019e6	7b60a	দেবভাগ রাধিবার জন্য
411e232b54	256f5	বিজ্ঞানী এডুইন হাবলের
411f3ba442	086dd	গরু জবো করা
411f65eefc	b5fdc	বন্ধুটির কাছে
411f74b424	1cb75	আমি আমার নিদিষ্ট পথে
411fd964eb	7b900	কোথায় তিনি খুঁজে পাবেন
411fe2079b	e3f89	ধারণ করে আছেন
4120476710	93d3b	ডাইরেক্টর অব পাবলিসিটি
4120562472	37e17	ইহাই প্রকৃত ধর্ম্মোপদেশ
4120751be6	404ee	দেখেন, কেমন হলো
4120abc1f7	f837a	এক প্রজন্ম ধরে
412110f876	2de86	আদান প্রদান হবে
41211dbaff	24f73	তীব্র খাদ্যাভাব দেখা দেয়
41214e2033	860f4	মিল্লাতে-ইসলাম
4121528ba4	6d129	বাসে ওয়াই-ফাই
41215dcd8b	2bd99	পারি না
412182ecdd	9282d	বিকাশ ঘটে না
41218b5ad8	967fd	হিন্দু মহাসভার
412209ae64	43b04	এখনো পর্যন্ত প্রচুর পরিমাণে
41225ed427	eb179	বিদ্বেষ আছে
412395f83d	c5dc8	১৫, ১৭, ১৯ জুন
4123ac9bd5	49543	খুব শীঘ্রই মিডিয়া স্টাডিজে
4124888623	ce629	১০ লাখের শ্রমিক
4124b14687	9d7bf	মাননীয় স্বরাষ্ট্রমন্ত্রী
4124c3f2dd	315e9	বলবে বলবে মনে হচ্ছে
4124cc3c26	7a227	চুল আপনার
4124f74108	cfc65	মন্ত্রীর পারিবারিক কলহের
412588e92e	bfac7	এক ছটাক রোষের ওপর
4125a5a150	95907	তারা শক্ত পদক্ষেপ নিয়েছেন
41260153fd	6973e	নিজেকে তুলে ধরেছেন
4126421bb2	fcefa	গনেশ
41264f05bb	5639c	এই অকালীন বক্তব্য
41266588f1	f600a	দেবযানী খোবরাগাড়ের সাবেক গৃহকর্মী
41268aff08	acb88	বিএসএফের তিন রক্ষীর বিরুদ্ধে
41270f2561	554fe	ছোটদের গল্প
412762afef	ee7b2	মাইশুকুরকে ফিরিয়ে দেন
4127ba0649	29f8c	খনন শুরু হয়ে
4127e74265	0696e	কেউ হয়তো
4128205fbd	e50f1	শিবম শর্মা ও লক্ষ্মীপতি বালাজি
41285afcfd	71522	বিকল্প কি করছেন তারা
4128b99802	56508	অস্ট্রেলিয়া
41291f289d	c11b1	পুরুষতন্ত্রের ধারক এবং বাহক
41292e3de2	06736	আল জাওয়াহিরি কেন্দ্রীভূতভাবে
41295c09c1	6aac8	কাজ হয় নাই
412a1582bf	a43b5	ওর কাছ থেকে
412a864c5f	68549	সর্বশেষ প্রতিবেদনে দেখা গেছে
412aa80a86	93d3b	সিপিবি-বাসদ প্রার্থীদের
412b5ac410	e3f89	এ ছাড়া ঢাকার বাইরে
412b804192	7b60a	ঠিক তখন
412bab6fc9	351dd	সামরিক শাসন জারির
412c023ca0	32b3e	কাজী নজরুল ইসলাম কবিতা সমগ্র
412c027fb4	616ec	সরাসরি মানবদেহে সংক্রমিত হতে পারে
412c0de402	91230	পারস্পারিক আলোচনা করে
412c165fc1	84145	শনি শব্দটির মানেই
412c9351d1	2695f	শনিবার এই ফাইনালে
412c960b57	75f18	এনজিও ৩টি
412cbb42a2	f9dfb	কমপক্ষে ২ লাখ লোক
412d478345	59c73	আলাপকালে দলটির
412e2cf41e	5b13f	তফশিলে এমন বহু সম্পত্তি
412e905b32	e2ff7	জেমস অ্যান্ডারসন
412ea65400	80518	আমরা এখন
412f6cbd3f	79b06	এবার 'অগ্নি' নিয়ে
412f719031	a43b5	ওয়েব ইন্টারফেসের মাধ্যমে
412fa8152a	cb842	থাপড়ানো পরোটা
412fd94a75	5639c	কোনও ভুল ত্রুটি না হয়
4130316a47	80505	বুদ্ধ, খ্রিস্ট, শ্রীচৈতন্য অনেককেই
4130d7fa7a	355c1	বিয়ে করতে হবে
4130f9aac9	9065c	ভাষা অবশ্যই ইংরেজি
41315bc258	1de6c	মুঘল সম্রাটদের স্থাপত্যের কথাই
4131772939	7351e	অ্যানড্রোমিডা ছায়াপথ
413198857f	fdcba	আসেন না
4132562a86	54e68	কোনো বিনিময় বা লীজ
4132761cba	92f59	তার নেই
4132a64e33	194f5	আপাতত প্রত্যাহার করে নিয়েছে
4133352599	bcaa8	আমরা বিষাদ-সিন্ধুকে
4133b74ea4	29089	তবে যেই না আমি
4134528e16	c2082	বই মেলে রেখে
41351ba049	32c77	খাবারের টেবিলে পোলাও-কোরমা
413573ed2d	3d17c	এখানে সত্যিকারের পরিবর্তন আনতে হলে
4135e0b9de	8c120	বিশ্ববিদ্যালয় ঘোষণার পক্ষে-বিপক্ষে
4135f12e0d	6e6fa	কাউন্সিল গঠন বিষয়ে
4136246405	e03fc	নতুন সাহিত্য
4136587908	1b359	অভিযানের পরিকল্পনা
413708a89a	9d46f	অক্সফোর্ড অভিধান
4137a03707	07660	সুষ্ঠুভাবে পুনরুজ্জীবিত করতে পারলে
4137b2551a	3fb17	এর শক্তি ধ্বংস হয়ে গেছে
4138021b24	239f7	ঘরের মাঠে বদলা নেয়ার
413831427c	03284	কারখানার শ্রমিকরা
4138552a6b	430b2	টেষ্ট ম্যাচ
41387283f1	4486f	পরিশোধ করেনি
41388010d3	92f59	গৌড়পাদ শ্রীগৌড়পাদাচার্য
4138aecb96	cc18a	সোনা মিয়া ও তার
4138e7fdd8	9092b	জয়দেবপুর এলাকা থেকে
413b60a03e	12702	চিন্তা করতে হয়
413b623c71	f280a	অপরাজিত আছেন তিনি
413ba562ee	4bd2c	একটা বিশাল অংশই
413c8fa6e1	0edef	তাঁর সেই ইচ্ছা পূরণের
413cd47ee0	4237e	তৈরি করে দিয়েছিল ফরাসিরা
413d3c2f79	4f450	ঢাকার মুখ্য মহানগর
413d70dbc5	d71a3	নেলসন ম্যান্ডেলার শেষকৃত্যে অংশ নিতে
413d7c467f	2695f	করতে হয়, মা বলেন
413e3ecdd7	93d3b	আইনশৃঙ্খলা বাহিনীর সহায়তা নিবেন
413e816374	4c555	দ্বিতীয় মুদ্রণ প্রকাশিত হয়
413e931b84	ea8fa	কম নিয়ে
413f20b5e1	1a2a1	গণবিজ্ঞপ্তি জারির পর
413f6901c1	ca088	প্রাদেশিক চলচ্চিত্রকে
413ffbcc3b	0edef	এটা একটা ফাঁদ
4140971417	a3a6d	২০১০ সালের ১১ অগাস্ট
4141c262b4	29bab	মালদা
4142cfda11	92bd8	প্রতারিত গ্রাহকেরা
4142da27b9	80e98	ফিরে আসলে কাজল বলছিলেন
4142ee4cb7	4c555	ইউনূসের অভিযোগ
41431093dc	bdfc1	সংঘটিত হয়েছিল
414369e131	ce180	বড় ব্যবধানের জয়
4143e94b7d	7ec1c	দুই নেত্রী বা দুই দল কি
4144075201	b8ed8	ডুবে যায় বলে
41440b04f6	a0277	সন্দেহজনক
41444bf136	38d3a	ভারতীয় গান
4145288b71	f280a	এখন মাথায় নেই
41457ff59f	43b04	সৌন্দর্যের কারণে
414598e3c8	e3d8b	ঋতু
4145f3841e	92bd8	আমাদের মাঝে এখন আর
41463ad83f	c958a	নেপাল
41467f2b60	121bd	জয় পরাজয় নির্ধারণ করে
414681166a	3f493	এখানে বহু পর্যটক
41472920ab	fcc89	বিদেশী পার্সেল বিলির বিষয়ে
4147ed2ad0	c41d8	এছাড়া শ্রম মন্ত্রনালয়ের
4148684034	e2ba2	ভোটার সংখ্যা ছিল
41489e016f	16a17	অপরাধের আওতাভূক্ত
4148b930a7	21e54	উইটনি, অ্যাবিংডন
4148ba031c	491a5	গত বছর অগাস্ট মাসে ইয়াজউদ্দিন আহম্মেদ অসুস্থ হয়ে পড়লে তাঁকে চিকিৎসার জন্য থাইল্যান্ডে নিয়ে যাওয়া হয়।
4148db12cf	520fb	পরাস্ত হয়েছেন নেইমার
4148e57e84	dae88	ব্যবধান হয়ে যায় ৩-০
4149021fb1	7df87	যেতে বললেন
41491dc4dd	3fae0	দোনেস্কে ইউক্রেইন
414927c1b1	6d129	তাতে বাড়িঘর কাঁপতে থাকতো
41496e3784	b8ed8	ক্লিনিকে ভর্তি করায়
4149f844aa	06bb7	তিনি যে খামারবাড়িতে থাকেন
414a2b33de	b8bf0	তীব্র আকার ধারণ করেছিল
414b271bdf	c0965	সরাসরি কটাক্ষ বা ক্ষতির কারণ
414bd29df8	83c53	দেখা হবে
414bd73d66	3f875	আমাদের এখন কর্তব্য হচ্ছে
414ca36bf7	31f09	গণমাধ্যম
414cdb43d0	ee4ad	তাকে হাসপাতালে ভর্তি হওয়ার
414ce209f9	dfefa	কূল হইতে প্রায়
414d0a45d0	e2c11	১৯৯৯ সালের ১৬ জুন
414dbd101d	85430	সাবিনা ইয়াসমিন
414dd0f7b2	cb1aa	উড়োজাহাজ চালান হত
414e46f73e	8406e	১৮০০ মিলিমিটার থেকে
414e5f6ca4	3ec4d	সবচাইতে সুন্দর ফুল
414efbfcbc	31f09	যাঁর ধারণা ও বিশ্বাস পাকা
414f4b1bf6	f7a7f	ব্যবহারের অনুমতি দিল
414f940897	8b859	তিনি এসেছেন এই সমাবেশে
414fa25fcd	93bf3	আরশাদুলের মুক্তির খবর
414fcc446e	17ca1	গান্ডু
414ff083c7	1e7c7	পুরান ঢাকা
414ff33f65	2fe3c	মজার ব্যাপার হচ্ছে
415012cf91	4a918	সে ক্ষেত্রেও ক্ষমতায় যেতে
41507194ec	8c120	পুরুষের জন্য নয়
415073fc26	ce629	নিজেরা টিকিট বিক্রি করছি
4150d7b1cd	f2780	পুলিশসহ নিহত হয়
4150e324cc	44322	বালকের বয়ঃসন্ধি
4150efcf09	b8bba	রেহাই পাবে না
4150ffa860	d41be	ট্রয় আক্রমণের জন্য
41510b6866	aabe7	চৈতালির সত্যিকারের চরিত্র নয়
41511d2276	2c9c5	পুটুঁলিতে বাঁধিয়া
41517108f4	68549	তখন এ অঞ্চল ছিল
415193901e	2ac82	মানুষ সংলাপের জন্য অপেক্ষা করছে
4151ab04db	767ff	পুলিশ সুপার
4151bec3dc	420df	জানার আগ্রহ দেখিয়েছে
4151c0a9c3	83c53	যদি তারা দেয়
4151e1a098	73629	এই গান
41522693a6	5d12f	অবিবাহিত
415242c6a4	4f450	ভিন্ন কৌশলের বিষয় আসছে
41524faa1d	db735	দ্বিচলবিশিষ্ট তিন মাত্রার বহুপদী
4152ae328c	66c6b	সঞ্জীব চট্টোপাধ্যায়
41536a608b	fda1a	ইতিমধ্যেই তারা
415455a331	01e91	অনেক বালক এইরূপেই
41555e67ae	9f25e	অনুসন্ধান চালানো হয়
4155a9938d	d711f	সতর্ক অবস্থান জানিয়েছে যুক্তরাষ্ট্রও
41561a7079	82926	মণিহারার মণিমালিকা
41564495ee	e9589	এয়ার পিউরিফায়ার
4156656f95	58998	টেলিভিশনে শ্রেষ্ঠ প্রতিবেদনের জন্য
415685495b	dec2d	কিন্তু ফটকের চূড়ায়
4156c9d4a7	acb88	এত মিছিলের দিকে
4157081a38	8cf95	অ্যান্টার্কটিকা চুক্তি স্বাক্ষরিত হয়
41571cc706	b8fe1	চিকিৎসা শেষে
4157565d80	d1b12	বিএনপি সমর্থিত প্রার্থীদের
415794cc23	65e30	ডিএনএ র দিক নিশানা
4157c1fd8a	6e8cb	একটানা ফোন বাজতে থাকা
4157ce8bdb	2ad74	কী করবে
4157e44640	1652d	বন্ধ করে দেয়া হয়েছিল
4157ea20cb	cb1aa	৮০ হাজার টাকা ব্যয়ে
41580c683c	0f047	কুকুর যে মানুষের
41586a9859	66c6b	স্বাভাবিক ব্যাটিং করলেও
4158ac428e	767ff	এমতো সময়ে বালীর
4158caa04c	6ab59	নারী ও শিশু বিষয়ক মন্ত্রণালয়ের
4158dad1de	9fa90	সনাতনের দোকানে
4159b70729	a1d4a	শিশুদের শারীরিক প্রতিবন্ধী হওয়ার
415a4f71ac	d711f	সংঘর্ষ সেখানে রয়েই গেছে
415b3dd343	f9dfb	সিটি কর্পোরেশন নির্বাচন
415b6239ea	ce180	বাসা বাঁধে আমার
415baa0ebc	9d46f	খুরশীদ আলম
415bf55ef8	92f59	উপলব্ধি করা
415cba3c05	0edef	অ্যান্ড্রু স্টুয়ার্ট
415d190c24	c5479	সেটা রাজনৈতিক স্টান্টবাজি
415d4b46ce	2c9c5	সাহিত্যিক কী লিখিলেন
415dab28ba	b2a62	তা নিয়ে তিনি
415ee636e6	93bf3	যোগ হব
415fb582b2	d82d9	ড: মুহাম্মদ ইউনূস, ড: অমর্ত্য সেন
416007fe99	12702	সড়ক অবরোধ করে
4160277e95	8a46d	ষড়যন্ত্র
41602e8769	92bb2	গাড়িতে শফিক রেহমান
41603af7e6	28dfc	কার্যক্রম বন্ধ করে দেওয়া হয়
4160719afe	b5fdc	আইআইজিগুলো নির্বিঘ্নে ব্যবসা করতে পারবে
4160801af5	c9c19	বড় জয় নিশ্চিত করেন মাতা
416128daea	31f2a	কবির বকুল
416153b470	a274b	সরকার অবশ্য বলছে
41619a202f	49d63	জীবনে বিজ্ঞানের
41622996ef	3fae0	হিন্দু,মুসলিম,শিখ
41623c5a7e	08458	কবি ইলিয়ট মূলত
416270e813	68ab7	গালিবের আহ এ বেতাসির
416272347f	778c0	এক্ষেত্রে প্রধানমন্ত্রী
4162950c78	e754e	সিডিসির নির্বাচন করা সম্ভব হয়নি
4163a6d74c	717bb	ডান হাতের আঙুলটা
41648ed9bf	0a87a	লক্ষ লক্ষ
41659ff18d	7d3e1	জায়গা করে নেন
4165ba5756	d71a3	পুলিশের যে সংঘর্ষের ঘটনা ঘটে
4165d5d4d0	73629	সারি-র অকহাম গ্রামে
4165e30c62	fcefa	কক্ষটির একটি অংশের উপরে
4165f43031	06bb7	হিমালয়
4166cd8a86	42898	তার পায়ে অস্ত্রোপচার করে
4166f5cf34	64092	শিরোপা হাতে ওঠায়
416701f4be	e2c11	কিন্তু লেখালেখির জন্য
41672a94fc	e6752	আর কোনো
41672e38d0	fda1a	রোববার দুপুর সাড়ে ১২টার দিকে
4167ef1631	9282d	হৃতিক রোশন
4168492c92	fcefa	সেলিব্রেটি
4168682c8f	9642e	সুনন্দা যদি শশীকে
41689cd8a6	bfac7	মাধ্যমিক শিক্ষা
41690486e6	ef4f8	যাহা বাহিরে ছিল
41695851ca	8cf95	আইনজীবী বদরুদ্দোজা বাদল
41695e11d1	f1ea4	কঠোরতার দিকে
4169a94cd2	e9fa7	পাঁচ উইকেট নিয়েছিলেন একবারই
416a814939	e6e48	দিগন্তবিসারী মোহনাটি কয়েকবার দেখিয়াছে
416adc50ba	2aecc	দৃশ্য ছিল না
416b9deaf9	b08d0	বাড়িতে নিয়ে গেলে
416be9dca9	d3e06	অভিনয়ের সূত্রে
416c864d77	dafb6	রাশিয়ার বিরুদ্ধে সীমান্তে
416c9ce6a1	b8bba	দেশটির সরকার
416cc68102	f83df	আশা করা যাচ্ছে
416cf71d55	65652	আলোকিত হয়ে থাকে চারদিক
416cf7d1fa	8cf95	কিন্তু নদীতে ছিল কুমির
416d14233e	06736	স্বাধীনতার পূর্ণ স্বাদ
416d491e33	3fce2	ব্যবহার করা উচিৎ
416d8b2fa9	c9c19	ঢাকা লিটল থিয়েটার
416e1fe722	442b7	আটক হন ঐ ব্যক্তি
416e3af205	355c1	শ্রমিকবাহী বাসের সঙ্গে
416f212aa5	9065c	মাজারে ফেয়ার ফেস
416f6cfee4	698ff	বন্ধ দোকানের বাইরে থেকে
416fab3228	509f6	তাহার একটি দার্শনিক ব্যাখ্যা
416fc00592	ad98d	টুংটাং রিকশা
416fd00a38	1cb75	গুজরাট অঞ্চলে বাড়ি
417077b558	ef915	তাদের কর্মসূচিতে
4170ddf6f6	8c07c	তাতে ত আর ভুলই নেই
417126b022	56508	দুই শিবিরকর্মীকে আহত অবস্থায়
4172011aa4	d9817	ওয়েবসাইটটি হ্যাকের
4172488acd	6b437	একদিকে নি:সন্তান দম্পতিরা চাইলেও পালিত সন্তানকে সম্পত্তির উত্তরাধিকার করতে পারেননা।
4172b24531	698ff	প্রতি বছরই ছবি মুক্তির
4172daaa22	9c8dd	বিক্ষোভকারীদের সংঘর্ষ হয়েছে
417341e0ca	c5479	আখতারুজ্জামান মোহাম্মদ ইলিয়াসের
41739e43a8	d2faf	অপহৃত শিশুদের বেশিরভাগকে
4173a68ea5	7c272	অধীনে ন্যস্ত ছিল
4173bb9e6a	e9759	এই সরকার এভাবে
4174055d95	6e6fa	অনুষ্ঠানটি বিবিসি বাংলায়
41743d6d5f	c3cb3	ওয়ার্ড অব দ্য ইয়ার হিসেবে
4174df0951	778c0	আমার সবচেয়ে বেশি
4175021170	3fc9d	তায়াম্মুম অযুর বিকল্প
4175a5d5f2	c9c19	কক্সবাজারে বেসরকারি উদ্যোগে
4175de6673	0d4cb	জামদানি শিল্প বাধাগ্রস্ত হচ্ছে
41760628cf	ad2a0	জুনি
417674990c	c958a	এদেরকে বলে রেডিও আইসোটোপ
4176ab7265	dafb6	লাতিন আমেরিকান লেখককে
4177193af9	85430	মহাবটবৃক্ষ নামে
417727a8c6	fbb81	লিখতে পারেন
41773ba30b	d0c70	সর্বপ্রথম খুঁজে পেলাম
4177b63de2	d2294	দেশটির অন্য সব এলাকা থেকে
4177da4737	23b22	শিশু-কিশোররা
4178bdbbea	0a87a	একজন উপ-পরিচালকসহ বিভিন্ন শ্রেণীর
4178cdf5f6	7351e	তাদের কোন উপায় থাকবে না
417926192c	e7230	মোবাইল ফোনের মাধ্যমে
4179a8e422	0d9f1	যিনি নিজেকে
4179d348e0	6e6fa	১৯৩৮ সালেই পাজ
4179e08d74	f1ea4	নামতে হবে
417ab682bd	79b06	কোন সাহায্য করবে না
417bc0521f	0c39f	ইডেন গার্ডেনে ২১ বছর বয়সে
417be8a9c5	c3cb3	রাজনীতিতে প্রবেশ করেন
417beb0d38	13b70	অপর্ণা ছাড়াও অভিনয় করেছেন
417c284383	ced74	তারা দেশ ও মানুষের
417c768da2	f2780	বন্ধ হয়ে যায়
417ceb1588	6a35e	আমেরিকার ইয়েলের ন্যাচারাল মিউজিয়ামের
417d52e900	b618b	আর বন্ধুবাৎসল্য
417d58b860	880ae	হালকা গরম পানি দিয়ে
417d5e85e3	aabe7	অনুষ্ঠানের কথা বললেও
417dc0c76f	ca088	অবতার মনে
417e06a213	577fa	এজন্যই তার নাম
417e3ebfb0	8a46d	চেষ্টা করিতে লাগিলাম
417e404c85	a9a58	মঙ্গলগ্রহেই থেকে যাবেন
417ee6b383	282d3	বাংলার সুন্দরবনে রয়েল বেঙ্গল টাইগার আছে।
417ef0ab96	a4750	কবিগান
417efcba08	06ea3	এ চক্র ছিন্ন
417f7b3628	80e98	মিসড কল দিয়ে
417fba357f	bc81e	তার গ্রামে নিয়ে যান
417fe69a32	32b3e	দাঁত বসানোর ফলে
4180692c90	153c9	ওয়াশিংটন পোস্ট
4180879e73	73629	শরিয়ত
4180c39694	e9fa7	অনেক দেশ থেকে
4180d1e831	b08d0	গরু পালন
41813a1bce	75626	জখম করলেও বেঁচে যায়
4181565cf7	06e62	প্রতি কেজি ওজন
418194fb54	ad050	তারা বিপর্যয়ের মধ্যে
4181bcd62e	ea5be	গণতন্ত্রের প্রতি বিদ্রূপ হিসেবে
4181db7c60	c9c19	পরিদর্শক অধ্যাদেশে বর্ণিত
41820b4026	28dfc	বাসর ঘর
41822f4b5c	f0f95	উচ্চ পর্যায়ে যোগাযোগ রাখছেন
4182430cb9	11de3	কোরানের ওপর রাখা
4183847f26	6b437	চাপ সৃষ্টি করা হচ্ছে
4183cb73b6	d9081	সেপ্টেম্বর ৩০, ১৯৩৩
41840ec4db	e2ff7	অটো লাইক
41847433e4	52f27	মারসেল দ্বিতীয় স্থানে
418474ae6f	11de3	স্বয়ংক্রিয়ভাবে হলে
41847af688	c5dc8	বর্তমানে নেটোর হয়ে
4184a12d3e	698ff	আমরা নিয়ে যাই বাংলা বিভাগে
4184b70e0f	3f493	বেশ সময় লেগে যায় তাদের
4184e0a997	52f27	গরিবেরা হাসতে গিয়ে
4185b411ad	a0277	উল্কাবৃষ্টি
4185eca85f	ee7b2	তাঁর মনে হয়
41865d1710	16a17	মেজবা।
4186a83107	4e900	এসব গ্রুপের কয়েকটি
4186d118d9	37d7e	আশিয়ান সিটির
4187015380	7ee9b	অক্ষত রয়ে যাবে
41877ebdc1	7b900	রাধা কৃষ্ণের হলাদিনী শক্তি
4188509464	f280a	দুর্বিষহ করছে
418854b1d0	717bb	এর পরও বাংলাদেশে
4188b34f88	54e68	এদিকে রাজনৈতিক পরিস্থিতি নিয়ে
4188c3b79b	3ec4d	বাংলাদেশ কতটা উৎসাহী
41895e0396	7e1d5	মীর মশাররফ হোসেন
4189909f3a	a8710	ঝিনাইদহ সদর উপজেলার
4189b2535a	c8f7f	ব্যবহার করা যায়
4189c3958d	2d78f	তোমার কথা বলার ভঙ্গিটাও
4189d8e4a1	778c0	নজরুল জয়ন্তী
4189eeb0ca	3d17c	ফেলে যাওয়া হলো লাশ
418a53f540	9c8dd	ঘোষণা করবেন
418a773358	b8bba	সুনির্দিষ্ট অভিযোগের ভিত্তিতে
418aa54d7f	65e30	স্বর্ণের নতুন দাম
418ada2e98	16a17	তাদের শ্রদ্ধা জানাতে
418b12db38	8ba2b	মহল্লার শত শত নারী
418b9ddcb8	2396d	কেনেডি সিনেটের সদস্য
418c8cb53e	5dd61	সম্প্রতি ম্যাকমিলান ক্যানসার সাপোর্ট নামের
418cb99d96	b8ed8	পেচ্ছাব করে
418cc8bc67	b5fdc	চুক্তিবাতিলের পর
418d644a81	3bb15	অপশন না থাকায়
418d680676	3fae0	আন্তর্জাতিক সম্প্রদায় এ ঘটনার কড়া নিন্দা করেছে।
418da9b95f	42898	আগের দিন শুক্রবার দুপুরে
418df234d1	92bb2	গাছতলায় গুরুশিষ্য
418e84f34e	410fa	কোন বিনিয়োগ করছে না
