ce001ce2c6	0633a	ঠোঙাটা দাদুর হাতে
ce31d5fbf0	767ff	কিংবা ফেনিল সিন্ধু
ce32cb7e04	06736	ঘোষণাটি তারা দিয়েছিল
ce33083024	ced74	ছেলের কাছ থেকে
ce33f4518b	4a918	অধিকাংশ লঞ্চ
ce340217d7	8c120	হিসাবে দেয়
ce34026d4c	fbb81	নিয়োগ দেয়া হবে
ce34588094	31f2a	3g mobile
ce34f4ba99	d71a3	রাতে কোথাও কিছু হওয়ার
ce350d69be	6ee5f	কবির মৃত্যু হলে
ce3523b8b7	ca088	দেশ বিদেশ
ce353e381d	c749e	হতে না পারার আক্ষেপ
ce35435cd0	2d78f	দীর্ঘদিন গাড়ি বন্ধ থাকায়
ce35701444	121bd	কেন্দ্রীয় ব্যাংক, পরিসংখ্যান ব্যুরো
ce35fe6511	7351e	তার আইডিয়া ঠিক করি
ce36317707	9813c	অনুষ্ঠানে শিশুদের সঙ্গে
ce36841ccd	ef4f8	দুর্নীতির দায়ে দণ্ডিত
ce37117e57	7e1d5	তবে নানা পরিপ্রেক্ষিত বিবেচনায়
ce3728f0e7	eaa7a	তাদের অনেকেই বললেন
ce373fa4e0	79b06	সহিংস আচরণের সঙ্গে
ce3783f095	42898	ফলে তাদের বিপদের
ce37a9d698	14816	অন্যদিকে বিল ক্লিনটন
ce3880c116	e2ba2	সবাই বলে
ce3886df32	ea8fa	এই মনোনয়ন পত্র
ce3b23ec90	880ae	বিচিত্র পেশা ও শ্রেণীর মানুষের
ce3b3e7976	404ee	১৯৪৭-এর পর
ce3b5e2108	b8ed8	চোখে গোলাপ জল দিতে গিয়া
ce3b6aa467	29f8c	রাস্তায় ব্যারিকেড দিয়ে
ce3b8f9d3f	d1a48	বর্তমানে প্রশাসকের মাধ্যমে
ce3bbeee4b	ff970	বার্তা বহন করে টেলিফিল্মটি
ce3be3fd66	c0965	একটি বাটন দেখানো হয়
ce3be99ea1	f1240	তাহলে এই শক্তিকে চেনো
ce3c157293	c3cca	ব্যবহৃত জাবুলানি বলটি
ce3c26e286	aabe7	ক্রিমিয়ায় তাতাদের ঐতিহাসিক রাজধানী
ce3c814f01	c463d	এই আকাঙ্খা সকলেরই আছে
ce3d0c7811	1c618	মাথায় হাত বুলিয়ে বলল
ce3d0d6106	fd880	২৮ এপ্রিল
ce3ded7df4	ad69a	স্টেডিয়ামে বসছে কৃত্রিম ঘাসে
ce3e4a44d1	4486f	এ জুটির ছয়টি ছবি
ce3eb40a8e	f89d7	পতাকা নিয়ে ঢুকতে পারবেন
ce3f0e60f1	7ed14	জানতে চান
ce3f2ea92c	c5dc8	তাজমহল
ce3fb96e69	c749e	ফলে সেটি
ce40203f13	6dff5	দুপক্ষের মধ্যে
ce40d64e21	e9fa7	এবং খনিজ সম্পদ খনন নিষিদ্ধ
ce4120772b	0edef	বিশ্বকাপের মূল পর্বে
ce4128d931	f2097	অনিয়মের চিত্র তুলে ধরে
ce41abb43a	39293	তিন জনের নাম
ce41cfa32d	93bf3	এই পূজার কেন্দ্র
ce41dc4833	53396	সূর্য দিয়ে হিসাব করলেই
ce422c806c	d5f7b	দিনের শুরুতে পাকিস্তান টসে জিতে প্রথম ব্যাট করার সিদ্ধান্ত নেয়।
ce427762de	e9759	একটু জটিল
ce42b025ab	7898e	বাংলাদেশকে টার্গেট করছে
ce42feece5	1a2a1	কামিনী গাছের নিচে
ce440caf37	28bb3	মেরিন ক্যাডেটদের
ce4453ae76	8c120	১৯৭১ সালের সেপ্টেম্বর মাসে
ce4456c478	e03ce	একটি স্কোয়াড্রনের
ce4471e37d	ff1eb	কোনো খোঁজ-খবর
ce44883c14	a0277	শরতের গাড়ি
ce44b76adf	b2a62	ঢাকার সম্মিলিত সামরিক হাসপাতালে
ce44f98e36	2bc73	আরও একটি
ce45ca7e84	3ccf1	অতি ভীষণ, জনমানবহীন
ce45e4c588	b9b98	রাষ্ট্রদ্রোহের মামলার
ce4624b184	2840e	ভোট ডাকাতি রুখে দিতে
ce467826d6	69d9a	আলোচনা করেছেন তারা
ce467bdecb	ac0df	তোমার আঁচল ঘিরে
ce46987bf1	ca831	শঙ্কর ও টেবিলের
ce46eceb31	80518	বা এ জে সি বোস রোড
ce474e7c81	c8f7f	এসব বিষয়ে ফয়েজের কী ভাষ্য
ce4763d413	06527	১১পাউণ্ড
ce48b3eb13	b9122	অজগরকে ময়াল নামেও
ce49144790	4e900	যৌনপত্রিকায়, গবেষণাপত্রিকায়
ce49a10292	d711f	বন্দীর মনে
ce49a2451d	410fa	নিকট দূরত্বে পৌঁছালে
ce49c6346e	5354e	দাদা পায়খানায় গেলে
ce4a17ecd9	5a61c	বেলা ১টার পর
ce4a85d115	7e191	তোয়াক্কা নেই মেয়েগুলোর
ce4aa6247c	bcaa8	ভাংচুরের পর আগুন দেয়
ce4b0b07f1	acb88	সিটের বাসিন্দারা
ce4b2d1a80	fda1a	শেষকৃত্যের বিষয়ে
ce4baf64cf	cfc65	অভাব অনটনের সংসারে
ce4c0399dd	32c77	কিন্তু সেই বিতর্ক
ce4c127cde	2909b	বই না পেয়ে
ce4c2d8dd1	b8ed8	এদিকে ঈদের মৌসুমে
ce4ca042a8	3d17c	পথে বিপরীত দিক থেকে আসা
ce4ce3e370	93080	সাধারণত খাবার কারখানায়
ce4da6f242	2fc12	সারাদেশ থেকে
ce4dc01886	3f493	মো. রাশেদুল ইসলাম জানান
ce4dce577d	1a4a9	কমিউনিস্ট পার্টি চলে যায় আন্ডারগ্রাউন্ডে
ce4ddada87	dec2d	যে যতক্ষণ এই পৃথিবীতে
ce4e2c9b3f	91223	মজলুম জননেতা
ce4fb7451d	e6203	খাবার ছিল না
ce501318eb	3bb15	প্রথম আলো নিউজ
ce5019b353	16877	প্রিন্স নেশার টাকার জন্য
ce50a734ec	3ccf1	মাত্র ২১০ থেকে ২১৫ মিলিয়ন ঘনফুট গ্যাস
ce50b84350	d711f	তাকে নোটিশ দিলে
ce50c38393	12702	যার ফলে কারখানা
ce51282968	72649	রানা প্লাজা ধসের বছর পূর্তিতে
ce519d8503	31f09	ঘূর্ণিঝড় প্রস্তুতি কর্মসূচির
ce525eb29a	c749e	সুরেশের প্রেমও
ce52b8a4ff	121bd	গ্রহণের অনুমতি থাকলেও
ce530b29ae	693cb	ঢাকা বিভাগ
ce53140132	0d9f1	ভূমি প্রদানপত্র
ce53c4f114	6b437	হাসপাতাল সংলগ্ন চানখারপুলে
ce53e743eb	14d25	মন্ত্রী বলেন
ce5412d441	13b70	বাঁধন
ce5429c55d	6fb36	মনোনীত হন
ce54c56550	c463d	এরূপ পাকা হিন্দুর সঙ্গে বিচার করা
ce54d91232	13b70	ড. মাহমুদুর রহমান
ce54ee3121	d0c70	পতন আটকাতেও
ce555cb33b	73629	ঠিক তেমন কিছু চিঠিতে নেই
ce555fd74a	b8bba	তাদের পোশাক দেখে
ce556285d6	c958a	রাত ১০টা থেকে
ce55c91993	75936	গুজরাটি ভদ্রলোকটির কাছ থেকে
ce55d2d755	1652d	বিশেষ প্রতিবেদন
ce55f2af20	ff970	তদন্ত অব্যাহত থাকবে
ce560b7d44	3bea8	দীর্ঘক্ষণ বাড়ির বাইরে
ce562281d0	9065c	রক্ত দিয়েছিলেন
ce56b245af	3fc9d	আমেরিকার ক্রেতাদের মধ্যে
ce5725616f	2d78f	আমার খুব মায়া হতে থাকে
ce574259b8	8c120	বলিউডি সেলিব্রেটিরা
ce577c1f51	5639c	একটি বিখ্যাত চরিত্র
ce579f9b31	06527	তার পরেও তাঁরা কী করে
ce57cf3fe2	75936	এলাকায় পুলিশ মোতায়েন করা হয়েছে
ce57ec5bd4	ef915	বিশ্লেষকদের অনেকেই মনে করেন
ce5803a266	83c53	শাশুড়ী তার মেয়ের উপর
ce5830b7f3	e6e48	কঠোর অবস্থান নিয়ে
ce5867ddfe	39293	তার গাড়ি চালক
ce5882444d	ee852	অস্ট্রেলিয়ার বিভিন্ন
ce58f62c06	b9122	চিঠি শেষ করি
ce59072a9c	ce775	তাতে নতুন করে
ce592cf1d7	06ea3	৪০ মিলিয়ন মার্কিন ডলার
ce5948f38c	9fa90	আইনজীবী উপস্থিত ছিলেন
ce5a612d3c	85430	এই চলচ্চিত্রের মূল উপজীব্য
ce5b1f3cfc	56508	বইগুলি পাশ্চাত্যে
ce5b4c90ac	64092	বাংলার দুনিয়া
ce5c60ac08	2ee04	প্রদীপ জ্বালাইল না
ce5cc67e66	1652d	কপাল
ce5cc77d28	efc0d	বিষয়টি এখন আর শুধু
ce5de34409	355c1	এদিকে মানবতাবিরোধী অপরাধীদের
ce5e236bb8	bd576	দক্ষিণারঞ্জন মিত্র মজুমদার
ce5e5b8a0b	ff1eb	সুরাইয়া মুলতানিকার
ce5e886b39	0d9f1	ফৌজাদারি আইন অনুযায়ী
ce5ed6211b	2840e	মাত্র ১৭ কোটি রুপি
ce5f0b729b	e2c11	হাজির না হওয়ায়
ce603d1456	e2f12	সিজোফ্রেনিয়া নামে
ce60a4d833	2840e	যেখানে সড়ক যোগাযোগের চেয়ে
ce6134f73e	6dff5	সব শেষ
ce613b57b5	ef915	ও মহড়া হয়েছে সারা দেশে
ce61a3fb6f	9d398	তুলে ধরেনি
ce629a540a	f600a	নিজ নিজ প্রতিনিধি দলের
ce62a0db41	acb88	পরাজিত হয় জয়নাল
ce62b610f7	13b6a	ফোরে উঠবে না
ce634d7054	bd576	দ্বিতীয় পুরোনো পতাকা
ce637aa15f	4237e	প্রতিমা, কল্যাণী, ইন্দিরা
ce6416057a	1e7c6	তারা বুঝতেই পারেন না
ce64517a7d	410fa	বিমানের ফ্লাইটে ওই পশুটাকে
ce6460215b	cb627	একটি ফেলোশিপ পান
ce65434450	fcc89	আরও সময় প্রয়োজন বলে
ce6551ab43	9d7bf	৩২ ম্যাচে ৮৪ পয়েন্ট পাওয়া
ce6568eb0f	69d9a	তরুণ শ্যামল পূর্ব বাংলা
ce658ebab7	5d12f	অপটিক্যাল টেলিফোন সিস্টেম
ce65c55a23	69d9a	নারায়ণগঞ্জ শহর
ce66353357	06bb7	অন্যায় করলে
ce6678267a	1e7c6	একটি মিলাদের আয়োজন করার
ce66d2710e	4dd57	সমাধির ভিত্তি কাঠামোটি
ce6722d525	7b60a	কাউন্সিলের মধ্য দিয়ে
ce6898e0a9	f2780	এক সূত্রের বরাতে জানিয়েছে
ce68da1a65	b5fdc	বিয়ে করব না করব না
ce69133c32	9e923	কোনো আলামত পাওয়া যায়নি
ce693ff271	509f6	অংশ নেন
ce6988e63d	d5f7b	গান
ce6a1a86a6	d5f7b	পুলিশ-বিজিবির সমন্বয়ে
ce6a40a4bb	4fc91	নীরব হয়ে গেলেন তিনি
ce6b08bfd9	a9a58	৪১ মিনিট পর্যন্ত
ce6b148b68	46da4	পশ্চিমবঙ্গে ১৯৫৩ সালে
ce6c14f156	cd3ac	সাভারের তালতলায়
ce6d45679c	2ac82	অবস্থিত একটি রাষ্ট্র
ce6d5b4fa1	54cdd	বন্ধ রাখতে হয় খেলা
ce6e73ccf0	53396	ইন্টারনেট ব্যবহার করতে পারবেন
ce6e9982a3	24f73	জাম ফল
ce6f0d1a85	d41be	জগন্নাথ হল ও ইকবাল হলের কথা
ce6f2d4580	4fc91	শান্তি
ce6f3e6039	8a46d	চালাতে পারে
ce6f647da3	2556b	না পারার কারণে
ce6f65e312	6fb36	এমন একটা জোট
ce6f86150d	e6e48	রচনার সঙ্গে ইহার
ce6f8a6ef4	f143a	আমাদের যথেষ্ট সাহায্য
ce6fd8cd37	6ab59	লেমিনেটিং মেশিন
ce7038bdf1	1f733	এমন একটি বইয়ে
ce706debfa	f0f95	এসব থাকা প্রয়োজন ছিল
ce71672ab6	eb179	সেখানে ওই ঝান্ডাই তাঁর দিশারি
ce716dfafd	e6752	ধকল কাটাতে
ce72aff7fa	93bf3	বাতাস ও পানির দূষণ ঠেকাতে উচ্চ মানের কয়লা এবং সর্বাধুনিক প্রযুক্তি ব্যবহার করা হবে।
ce72b02e36	25696	জনমেজয় কহিলেন, হে মহর্ষে
ce72bbc5f4	9b864	ক্রিকেটপাগল কলকাতা রাজনীতিবিদ
ce732ac347	2ac82	এরকম অ্যাডভেঞ্চার
ce73498f2e	e43d4	বেদান্ত মতবাদ
ce7367a06d	bdd05	নির্বাচনে অংশ নেবেন কি নেবেন না
ce739c5d92	d82d9	সকালে অফিসযাত্রী ভরা ট্রেনগুলোতে
ce743af2ae	ad050	সংঘর্ষচলাকালে কেন্দ্র থেকে
ce743fd3f6	39dd0	একজন বর্তমান
ce744c18e9	c7a89	ডোরিমন নামের এ কার্টুনটি
ce748c8747	16a17	এই স্কুলের শিক্ষার্থী থাকা সময়েই
ce74a10a3e	2d98b	অহিংস স্বাধীনতা আন্দোলন
ce750d3e06	491a5	দর্শক-শ্রোতারা
ce75111c53	8406e	আমি জিজ্ঞাসা করলাম
ce75d87b5f	420df	আস্ত একটি নরকঙ্কাল দেখেছিলাম
ce76219b93	23291	রাজধানীর আগারগাঁও
ce763205b7	59c73	২১শে ফেব্রুয়ারি
ce769c39b5	29bab	এনজিও ৩টি
ce76d3a8b4	717bb	তাহার দিকে চাহিলাম
ce773614b1	0d8c1	আপনাদের কৃপায়
ce77abe0dd	9b864	প্রতি আউন্স গাজা
ce77e2d2af	e03ce	তারপর থেকেই
ce7895198a	0b7ca	মুখোশ পরা ১০-১২ জন ডাকাত
ce78a329e4	4c555	চীনা বাহিনীর রক্তাক্ত
ce78b97820	b8bf0	আবুল ফজল রচনাবলী
ce78e33716	c11b1	সাবধানতা কাম্য
ce78e4ceb6	e3f89	যত ভালোভাবে উপস্থাপন করা যায়
ce79f99dc9	57d54	হ্যাঁ বা না শোনা
ce7a1357b2	86b1b	বাসাটা অবশ্য আমি চিনি না
ce7a3ac6cb	7d3e1	এছাড়া ডক্টর পেলি জানিয়েছেন
ce7a985568	c8f7f	সারা পৃথিবীর ইতিহাসে
ce7ac412f5	0696e	কৈশোরের স্মৃতি বিজড়িত
ce7b1dd737	ce180	বিখ্যাত চলচ্চিত্র
ce7b49985a	9e923	আপিল বিভাগ
ce7baa6c16	65e30	সেই নেজামে ইসলাম পার্টির
ce7c4f46f0	baa02	সারা পৃথিবীর ইতিহাসে
ce7c5fa7c4	09b32	১,৮০০ কোটি
ce7c83b175	7d133	তার পিত্তথলীতে
ce7cbd1ae7	7d133	অভিষেক এবং অ্যাশ জুটি হিসেবে সর্বশেষ অভিনয় করেন 'রাভান' সিনেমায়।
ce7cc48268	54cdd	জিম্বাবুয়ের কাছে হেরেছে
ce7cd2859f	4c1eb	চাই সমন্বিত উদ্যোগ
ce7d26780f	2b883	দ্য শ্যাডো লাইন
ce7d3630c9	3bb15	এর কারণ কি
ce7df044cf	bbb22	নাগার্জুনা দুটি জাতীয় চলচ্চিত্র পুরস্কার
ce7e2331d8	3ccf1	জামিনের মেয়াদ বর্ধিতকরণের জন্য
ce7e2c64fa	fb4cb	ক্ষমতার কেন্দ্রবিন্দু
ce7e9de572	7ed14	পানি তা কিডনির সাহায্যে
ce7e9f1110	66b3c	কেন্দ্রটিতে যেসব সুযোগ সুবিধা আছে
ce7f731652	7297e	মন্ত্রিপরিষদ বিভাগ থেকে
ce7fa89aac	509f6	নির্বাচনের সব সামগ্রী
ce7faeafb1	9c8dd	কাজে যোগদান না করে
ce812e4c62	0d9f1	ছয়টি সংশোধনের জন্য
ce81c5645d	c5dc8	ভর্তি পরীক্ষা
ce81d7e304	71522	ভাষা দিবসের জন্য
ce82016809	7d004	মোটরসাইকেল শোভাযাত্রা নয়
ce820305aa	17ca1	লবণাক্তও ছিল না
ce824997c1	09b32	মিয়া, রাত ১২টায় এসে
ce8391de72	f7a7f	ওই বিয়ের কয়েক মাস আগে
ce83bd9ab2	ad050	বাংলাদেশ সংলাপ রূপ
ce8404de1d	d2d71	আমি আসলে মনে মনে
ce840e52df	3c897	পিরোজপুর জেলার শিয়ালকাঠী গ্রামের বাসিন্দা
ce844e5333	58998	কিন্তু কৃষ্ণকান্তের এরূপ
ce84866dde	e9759	রচনার সঙ্গে ইহার
ce84b7e193	0606d	আর জেনেভা-ভিত্তিক
ce8529fab7	35ef3	হাত মিলিয়ে
ce8569bbd7	7d3e1	মাত্র ১৪.২ ওভারে
ce863e6c61	46da4	সার্বিক পরিস্থিতি
ce864407a7	7351e	আমি বেঁচে আছি
ce8671b3c6	d9ba9	রবীন্দ্রসংগীত দিয়েই
ce86940ac7	68ab7	ইহুদীদের জন্যে
ce87638e8c	2fe3c	সরাসরি দণ্ডায়মান
ce876a90fc	d71a3	পাশ কাটিয়ে
ce87a38c45	cb842	কম হওয়ায়
ce87b8ea04	29089	আমি উগান্ডা প্রজাতন্ত্রের প্রেসিডেন্ট
ce87bbf94d	84145	গা মুড়ে বসেছিলেন
ce88784aed	65652	গজল হতে পারে
ce8880b591	1e7c6	মুক্তিযুদ্ধের বহুমাত্রিকতা কিছুটা হলেও
ce899155ab	f280a	ফয়েজের সম্বন্ধে জানতেন
ce89a43edf	ef915	করার উপর বিধিনিষেধ
ce8a0622b6	11915	কাঁচামরিচের কুচি
ce8a53e353	cfc65	পরিবারের মতো সময় দেই
ce8a99a41b	880ae	সেই অবধি তিনি
ce8a9d8a27	a1d4a	ক্যাপাসিটর
ce8addc4d2	ea8fa	শাড়ি সাজ
ce8b32a596	bfac7	মালভূমি এলাকা
ce8b5783cc	31f09	করমচা
ce8b7fbed5	430b2	নতুন নতুন উদ্ভাবন না হলে
ce8bac1ad0	68549	সাহারা খাতুন
ce8bf866e5	6a35e	অসমে সরকার গঠন করে
ce8ca740c1	c5479	চরিত্রে অভিনয়
ce8ccc47fe	0d4cb	মাথা নীচু করেই মাঠ ছাড়তে হয়
ce8cdcc022	b08d0	ভাবিলে তাহাতে আমাদের
ce8cfc9cb6	ad69a	ভাঙচুর, অগ্নিসংযোগ, মদ
ce8d6af404	8632b	মুসরিভুজা থেকে
ce8d7628a9	aa820	নতুন নেতৃত্বের খোজ
