9e00c745c7	509f6	তাজা রক্ত
9e15a0212c	91ac1	এই প্রেম-কাহিনী
9e15cc3eb9	f2b7d	আমরাতো কারো
9e1678c2fc	e9589	পাকিস্তানের সাংবাদিক
9e167b0090	e31e7	তিনি বোর্ডের
9e16b4312b	274ee	স্থূলতার হার
9e17774200	d1b12	তবে কাজালের মা মানাল জানান
9e17a0819b	1652d	মুক্তি পেলে
9e17a567fa	1de6c	আর কিছু নয়
9e17a8fc01	16877	শত শত পুলিশে ভরা ছিলো
9e185ff325	e2c11	নায়ক জিত
9e1866692b	2ee04	আবু হানিফ নামের
9e18796eac	ad69a	ও প্রেস ক্লাব চত্বরসহ
9e1916136e	08458	ধীরে ধীরে দেশপ্রেমে
9e1955c9a9	fda1a	শুয়োরের মত
9e19561d41	1de6c	যুদ্ধ থামার কোন লক্ষণ
9e1961d1db	e03fc	পরিদর্শনের সময়
9e1a791683	2556b	নির্বাচন না হওয়ায়
9e1a89ce9a	e9fa7	অশান্তির মূলে
9e1a8b9e28	590d0	জিভে চাটছি
9e1ba8c563	92bd8	বাংলাদেশকে
9e1c98b29f	66b3c	এজন্য তাহারা অতিব্যস্তে
9e1c991fd0	e43d4	নেদারল্যান্ডের ভ্রিজে ইউনিভার্সিটির
9e1ca3a734	ff1c3	আরো জোরদার হবে
9e1cb7c341	0e637	অনেকগুলো গাড়ি
9e1ccd922d	ef915	যা অস্বীকার করেছে
9e1d2f9ed9	92bb2	রানওয়ে প্রদর্শনের সময়
9e1d32bdf7	dafb6	জনগণের সরাসরি ভোটে
9e1d863b0d	a1201	দিনের কাজের শুরুতেই
9e1e4d769d	d9817	এক ভিন্ন কাহিনি
9e1eda4c91	ef4f8	প্রয়োজন ছিল
9e1f172c6a	ee994	মানবজমিন
9e1f1b660a	ab946	মোট ৭০ হাজার ৯২ জন
9e1f79caf3	b8bdd	হরতালে নৈতিকভাবে
9e1fb584a6	cfc65	চাঞ্চল্যকর এ হত্যা মামলায়
9e20338fb3	ee994	যেন এটি দূরের
9e205f7df0	b52ab	বরং কিছু লোক অল্পদিনেই
9e20d3535b	b78ec	জানুয়ারির ২৫ তারিখের সেনা অভ্যুত্থানে পুরনো শাসনামল আবার ফিরে এসেছে।
9e20e02265	29bab	কাজটি যেন তাঁর সহজাত
9e21042914	dec2d	শিগগিরই একটা ভালো
9e21521c17	95907	আবার বাঁচিয়ে দিলেন কেন
9e21eb90d4	4ea73	এনে ফেলেছিল এই কাল
9e21ff5cd6	ce775	তাঁর জন্ম হয়নি
9e2203c4a9	98b81	দলিলপত্রাদি সংরক্ষণ ও প্রদর্শন
9e220e0b69	e00db	লবণ-হলুদ মাখিয়ে
9e224e50ad	9065c	ডক্টরেট ডিগ্রিধারী ছিলেন না
9e22bc4465	a1201	বেশি উদ্বিগ্ন
9e232ab28b	4c1eb	রান্নার হাঁড়িতে
9e233ce7e1	7e191	ইচ্ছে ছিলো
9e234a63f3	4a67e	গুলি করতে ভুলে গেল
9e234f4ed8	b8ed8	যে ইগো নিয়ে
9e2364839c	cc9fd	ভেবে ঠিক পায় না
9e238cb0d8	f29bf	এবং নাম না জানা
9e23a44239	086dd	নিয়োগ দেয়া হবে
9e23a71704	f6e55	নির্দিষ্ট করা আছে
9e241cc970	60f77	ইরাকের বর্তমান নাজুক নিরাপত্তা পরিস্থিতিতে
9e24412801	4e900	বেশি আসত
9e246abbc6	4c1eb	যদি নতুন কোন অস্ত্র
9e261f1926	73629	যত দূরে থাকা যায়
9e2786d97b	9092b	শুধু কয়েকটি চরিত্রের বিকাশ নয়
9e2823e28e	e6752	খুশি প্রতিরোধের জন্য প্রয়োজন
9e283d8a49	11de3	ভাগ্যে জুটবে ৯৭টি আসন
9e2851f5c2	7f2ef	রমরমা শিল্প এখন
9e28ac8020	491a5	আত্মনির্ভর ছাড়িয়া
9e290692b1	1f733	খেতে আসে উৎসুক মানুষ
9e295442f4	bfac7	স্বদেশ চিন্তার শিল্পসফল সমন্বয়ে ঋদ্ধ
9e2a25592b	fb4cb	ফলে ব্যাহত হচ্ছে
9e2a3cb509	ac904	আছি আমরা
9e2a83b791	1a4a9	মুছে ফেলে অনেককেই
9e2ab3adcb	2909b	কিছূই ঘটেনি তা নয়
9e2ac1e1b2	7ec1c	ড্রেস
9e2b9f2827	29d44	একটি গেম কর্নার
9e2ba6839b	28dfc	অ্যাসিটিক অ্যাসিডের নাইট্রেট
9e2bb465b5	2c9c5	নিয়োগ দেয়া হচ্ছে গোয়েন্দা
9e2bcb35ba	b8ed8	তৈরি পোশাক সেক্টরে ক্ষতি হয়
9e2c5087cf	8143b	ব্রিটিশ ও উপনিবেশবাদের
9e2c5b3198	2556b	ইউক্রেইনের বিধিসম্মত
9e2ca59998	28bb3	যুক্তি উপস্থাপনের পর
9e2d0720b8	616ec	তারা ভীষণ সৌভাগ্যবান
9e2d34bd94	3ec4d	অনশন কর্মসূচি
9e2e3813f5	d7a68	তাকে নিয়ে সিলেট
9e2e4ec6b1	7b900	সমাজের বেশ গভীরে
9e2e7708a3	c958a	জানালার দিকে
9e2e8c947d	6c6bf	সাহিত্য সচিব হিসেবে
9e2e9de69f	44322	অথচ এই সময়ে গাছপালা
9e2eaabe02	2bd99	তা ছাড়া একেবারে নিজস্ব ভঙ্গিতে
9e2ec170df	767ff	আত্মসাতের অভিযোগে
9e2ef58f88	cf82a	লিমনের চোখজোড়া
9e2f9d1c6b	b8ed8	রফিকুল ইসলাম আরজুর সভাপতিত্বে
9e2fbad2e0	a46e2	৯ই সেপ্টেম্বর, ১৮৮২
9e2fdf85de	61820	বাজার থেকে
9e30aa80db	1de6c	শিশুটিকে পেয়ে
9e30ca7e3c	ea8fa	কিছু না কিছু পরিমাণে
9e30f7b24c	aab0f	ছোটপর্দাতে আর
9e312aa911	92bd8	ঝুঁকিও তৈরি হচ্ছে
9e3151723b	323f1	পরিস্থিতি নিয়ন্ত্রনে
9e31652a29	7f2ef	এমনটাই পাওয়া গেছে
9e32447482	03284	চারুকলাকে পেশা হিসাবে নেয়ার অব্স্থা
9e3285ba35	66dcd	দেবযানী খোবরাগাড়ের সাবেক গৃহকর্মী
9e328fac34	287bd	কিন্তু গীতা এমনই দুরূহ গ্রন্থ
9e32a15ac9	fbb81	চাকর-বাকরদের মধ্যেও পড়েছে
9e32f9d4cc	ff1eb	লোক বাঁচে না
9e33660c59	0d8c1	ও আমার দেশের মাটি
9e3384b7fb	f1ff2	অপরাজিতই থেকে যান
9e338bd4a4	3fce2	কোন ঘনবসতিপূর্ণ এলাকায় পড়লে
9e346ec443	13b6a	কালিদাসবাবু বলিয়াছিলেন
9e3544a1a6	db181	মোহাম্মদপুর টাউন হলের কাছেই
9e356bf6f8	9f25e	একদম পরিষ্কার, গন্ধহীন
9e3655b0d5	6d129	তিনি পরিচিত ছিলেন
9e36596c44	3d17c	নিহত হয়েছেন
9e3733c7fc	2ad74	বছর দুয়েক আগে
9e37621394	f143a	তবে উভয় পক্ষের মধ্যে
9e37958372	5cb47	যেন সমর পাল রচনা করেছেন
9e37d54ac9	c2082	আলম বয়াতি বলেন
9e37fd1c80	f2780	আইজিএন একটি মার্কিন ওয়েবসাইট
9e3813cc4f	c958a	কংগ্রেস
9e3882236d	e00db	সেই বিএনপি কিসের দল
9e38c6a942	c1e30	আশে পাশের গলিগুলো থেকে
9e38c79dff	cb842	ধীরে ধীরে নেতৃত্ব স্থানীয়
9e38eed499	21e54	কুয়ালালামপুর থেকে
9e38f337e2	a06a1	ফেরদৌস আজিমের কাছে
9e39081973	ea8fa	ঢাকার পুলিশ কমিশনার
9e39189bfd	29bab	দুপুরে ফটিকছড়ি থানার
9e3933337c	24aed	তার সঙ্গে প্রথম আলো
9e39399a78	4fd66	গাঁজা বিক্রি
9e397f9a62	c6848	ডাকাতি করিতে গিয়া
9e39e910ad	92bd8	চোস্ত ইংরেজি
9e39ea1e5e	93d3b	পরিচয় করিয়ে দেন পাঠকদের
9e3a0960b8	13b70	সেন্স অব ভায়োলেন্স
9e3a26ddad	4bede	দৃঢ় সংকল্প আবশ্যক
9e3a37841d	4237e	হয়েই পড়েছিল রাতজাগা
9e3a8c27bf	3bea8	সময় টিভি
9e3aa1bde5	0d4cb	শ্রমিকদের বেতন বাবদ
9e3b2cb48c	29bab	গ্রহ
9e3b3996d3	7df87	সূর্যে বাঁধি বাসাতেও
9e3b578b20	5cb47	সে কথা ললিতা বলিয়াছিল
9e3bd979eb	7b103	কান চলচ্চিত্র
9e3c3f37aa	2396d	স্কুল অ্যান্ড কলেজ থেকে
9e3caa2408	7b900	চাহিদার উপর প্রভাব ফেলে
9e3d247590	6d129	একটা লম্বা সময় জুড়ে
9e3d69c5d0	0696e	আগুনের মধ্যে
9e3de24e0a	03284	কঠোর নিয়ম-নিষ্ঠা
9e3e0e3c6b	315e9	এর মাধ্যমে পুরো প্রক্রিয়ার সাথে
9e3e8afb10	932bb	বাপের বেটা নহেন
9e3e8b2d96	12702	ঐতিহ্যবাহী বাংলাদেশ
9e3ebdca09	590d0	বোঁচকা বাঁধ
9e3ee27aa1	5a61c	এর প্রতিবেদন
9e3f0d4bdb	d2355	মুলত প্রবাসীদের পাঠানো অর্থ
9e3fc102a9	cd3ac	এডলফ হিটলার
9e3fd39ad3	eaa7a	যার সামনে দাড়ালে
9e4062a27b	f143a	একদিন তিনি
9e408c355a	efc0d	হাতবোমা বিস্ফোরিত হয়
9e41124b69	4c555	জুটিবদ্ধ হয়ে
9e420625e2	dafb6	তাঁর ছেলেবেলা কেটেছে
9e421ba930	80539	মুসলিম শাসক নেতৃশ্রেণী
9e421c7f10	fbb81	মেয়েদের ঋতুস্রাবে সমস্যা
9e4235963d	8cf95	সংশ্লিষ্ট বিভাগের কর্মকর্তাদের সঙ্গে
9e424d7167	dec2d	নতুন অস্থি তৈরি করার
9e431ef733	65652	করতে সক্ষম
9e441bd9fa	2aecc	চিনতে পারুম না
9e442e0d5e	0d8c1	মিছিল বের হয়
9e44386878	3fb17	কী রকম বিস্ফোরক হয়ে উঠেছিল
9e44b2c5f7	68549	যদিও কার্ড জালিয়াতির ঘটনা কম, তারপরও তারা এ বিষয়ে নিরাপত্তা বাড়াতে ব্যবস্থা নিচ্ছেন।
9e45bb097f	e9589	সেখান থেকে কয়েকটা বাড়ি
9e45f086f4	e3d8b	পাশেই একটা হোটেল
9e460ac643	35ef3	তা বুঝার জন্য
9e460be2c9	fd880	যুদ্ধবিরতিতে না আসলে
9e4663b9db	24f73	কারচুপির অভিযোগে কয়েকটি উপজেলায় ভোট গ্রহণের মাঝামাঝি সময়ে নির্বাচন বয়কট করেছেন বিএনপি সমর্থিত প্রার্থীরা।
9e467a2ab3	410fa	তর মথন জাউরা পোলারে
9e46965f0a	c0965	সব ক্ষেত্রে অবাধ মেলামেশাই
9e46b28ffd	2c9c5	আমাকে মশলা বাটা মানায় না
9e46b9f286	730c3	অতীত সাফল্য ব্যর্থতার অভিজ্ঞতা
9e46e379e1	cd3ac	নিয়ে গঠিত
9e4720c04e	d1a48	আমি একটা কিছু হইব
9e483976ed	5dec6	ভেবে দেখেন
9e484eb2cd	976b1	তাদেরকে হারানো ছাড়া
9e48e1edeb	f1240	২০৯ দিন ধরে
9e48f79071	60b9d	স্বয়ম্ভর শিল্প ভিত্তি
9e49006e9f	315e9	ভারতের আন্তর্জাতিক উৎসবসহ
9e493d9a2d	cc18a	তিনি দেশের বিভিন্ন স্থানে যাবেন
9e49c7e55f	7898e	ককটেল বিস্ফোরণ ঘটানো হয়েছে
9e4a5603d6	520fb	অনুমোদন দেয়াসহ
9e4a87836a	cb1aa	বাংলামেইলকে জানান
9e4ae1602d	4e900	লেখক কী ভঙ্গিতে
9e4af3fa76	2aecc	মা আশা করেছিলেন
9e4b03dc78	db181	বিজ্ঞানীদের আশঙ্কা
9e4b16ae8a	4237e	মন্ত্রিসভার সদস্যরাও ছিলেন
9e4b41d228	88654	সব ধরনের মামলা প্রত্যাহারসহ
9e4b99a308	bfac7	দাবি করে থাকেন যে
9e4ba8d366	520fb	শেষজনও চলে গেলেই কি
9e4bf32f24	5d12f	দৈববাণী নাজেল হয়নি
9e4bff8a9f	a3a6d	এটা হলো তিলাওয়াতকারীর
9e4c448d4c	cfc65	কেননা, বহু গবেষকই
9e4c5428c8	58998	ইন্ডিয়া ট্যুর
9e4c63ed60	56508	আরকাইভস্-এ সংরক্ষিত
9e4c8041ee	b8bdd	স্থূলতার যোগাযোগের
9e4caeed4b	ba2f6	পরিপূর্ণ একটা জীবন
9e4d30c59d	f600a	এই ধরণের কর্মকাণ্ডে
9e4d6e3321	ce629	রোববার দুপুর ১টার দিকে
9e4de606a8	cfc65	ফোন করার
9e4decd18b	239f7	আমি তাই
9e4dface48	b7be9	শীতলতম ও শুষ্কতম মহাদেশ
9e4e00bda6	b618b	৩৬ মিনিটে
9e4e242067	31f2a	দেশের একজন লোক
9e4e42977d	65e30	ওই মোবাইল ব্যাংকিংয়ে
9e4e6d99e2	92bd8	প্রেসিডেন্ট কেনেডি
9e4f6c2418	7d004	গণতন্ত্রী প্রজাতন্ত্র ব্যবস্থা
9e4f996243	25696	কিংবা হয়তো তাঁকে
9e4faef873	0a7a0	দেবে না
9e4fb0856e	7f71c	অ্যালবামের গানগুলো
9e4fc3e9c1	ab946	দেখা যাচ্ছে
9e4fe3cd71	49d63	বিভিন্ন গণমাধ্যমে প্রচারিত হওয়ায়
9e4ffb9e82	37d7e	শোয় না
9e50419eb8	0633a	ওরা খ্রিস্টান
9e50bf7e4c	086dd	জেলা প্রশাসকের কার্যালয়ে
9e50c229c7	616ec	তাদের দোকান রয়েছে
9e5203d5c6	eaa7a	অর্জন করেন
9e521b7dd5	c6848	দিতে না পারায়
9e52a3c2c2	287bd	বিষয়টা সম্পর্কে
9e52ebe999	80e98	মতিঝিলের বিশাল সমাবেশে কর্মসূচি ঘোষণা করেন হেফাজতে ইসলামের আমির শাহ আহম্মদ শফী।
9e532ec5ad	ee994	গুগলের উদাহরণ দেওয়া যেতে পারে
9e534fe3a8	ff0fe	বর্ণনা করিতে করিতে
9e5398855c	86b1b	রেখা বলে
9e5405eea9	b78ec	আইনশৃঙ্খলা বাহিনীর সহায়তায়
9e540ea8fd	06527	স্টুডিওর বাইরে এত বড় মাপের
9e549a0c44	71522	যশোর সদর উপজেলায়
9e54e677c2	43b04	সেই থেকে পাতকুয়াটির
9e55c6b3b7	e9589	একই বছর প্রকাশিত হয়
9e56621de8	2b883	অপেক্ষা করতে হচ্ছে
9e574b2310	3fae0	কর্ণ
9e57cc857f	c11b1	দূরসম্পর্কের এক আত্মীয়কে ধরে
9e57fbe166	6a35e	জটিল ছবি
9e57ff211b	1279e	মেয়েকে স্কুলে নিয়ে
9e5848c08b	8406e	বেক করুন
9e584f0ae9	6973e	গত দুই বিশ্বকাপের চেয়ে
9e58549bb7	5b13f	সে কি দাদা, খাবে না
9e5858088a	bdd05	বাবা তাদেরই মধ্য থেকে
9e585e7082	49d63	এবং তার ভাইস-প্রেসিডেন্ট
9e58603fe4	2ad74	পেঁয়াজের চাহিদা রয়েছে
9e58875d36	4a67e	বেলা ২টার দিকে
9e58b02ac1	e6203	সুন্নি
9e58b51f34	16e96	নেমে এসেছেন এ পাড়ায়
9e58f27e05	5cb47	বন্ধু সজল
9e591ecc74	3bb15	এটি বীণামণ্ডলীয়
9e592819d9	80e98	কৃষ্ণের নাম
9e5948b740	194f5	নজরুল ইসলাম জানান
9e596a5c05	2ac82	তদন্ত কমিটি গঠন করা হয়েছে
9e598322e2	92bd8	আপনার মনে কি হইবে
9e5997ca00	420df	তাই অনলাইনে শপিং করা
9e59c4519f	6c17f	আলতাফও একদিন ফিরবেন
9e59c87552	59c73	গত ২৫ ডিসেম্বর
9e5a1a1abe	9282d	সর্বস্তরের মানুষ
9e5adbeac2	e3d8b	মনোযোগ দিয়েছে
9e5ae251f8	577fa	ডিবির উপ পরিদর্শক মো. মাসুদ মিয়া
9e5aed5164	fcefa	ব্যবহার করা উচিত ইতিবাচকভাবে
9e5af0a6c5	f2097	কক্সবাজারের জেলা প্রশাসক
9e5b549924	e43d4	ভারতের সর্বকালের
9e5c55c933	7027a	চলে আসেন
9e5cc17c49	11de3	প্রচন্ড গরম
9e5cf5a4f2	24f73	বর্তমানে নেটোর হয়ে যুক্তরাষ্ট্রের মাত্র ৮০ হাজার সেনা রয়েছে ইউরোপের দেশগুলোতে।
9e5d51cc38	ce775	ওদিকে নারায়ণগঞ্জে নিহত
9e5d7e7dcf	bdd05	মোগল ও ব্রিটিশের পর পাকিস্তান সরকার পাহাড়িদের জমি এবং আবাসস্থল থেকে উচ্ছেদ করে জলবিদ্যুৎ কেন্দ্র স্থাপন করে।
9e5d9863e5	13b70	সাধারণ জ্ঞান বই
9e5ddb5a9d	4f450	মনোরঞ্জন ঘোষাল
9e5f372dee	c9c19	ওয়েব সাইট
9e5f526149	33aef	নিবন্ধন হয়েছে
9e5f7556a8	860f4	উল্টো বলেন
9e5fb52b04	23291	জ্বিন
9e5fe03ee3	520fb	উদ্ভূত হৃদয়োচ্ছ্বাস দিয়া
9e5ff5765e	9e923	উপযুক্ত সম্মান
9e606a4fc7	f2097	তিনি আদৌ এদের আত্মীয়
9e60959a7e	0696e	ক্রিকেট স্টেডিয়ামে
9e6134d688	7d004	অন্নপ্রাশনে
9e613c7302	28bb3	ক্ষতিগ্রস্ত এলাকাগুলোর মধ্যে
9e615fcf59	ee7b2	পপ গানের প্রতি
9e621420a1	80518	কৃষ্ণের সঙ্গে শত্রুতা করিয়া
9e6275b547	698a4	বায়ান্নর একুশ-পরবর্তী যে আন্দোলন
9e62925df0	ee886	দাম বৃদ্ধির কারণে
9e62d813e2	79b06	প্রত্যাশা করি
9e63126565	39293	লোহালক্কর, রেললাইন, বগি ইত্যাদি বিষয়গুলো
9e6344ec8c	7c272	কারও অধিকার কম নয়
9e635fa7dc	860f4	এ ব্যাপারে ব্যবস্থা নেয়া হবে
9e6376a83a	bcaa8	নিরস্ত্র অবস্থায়
9e637701e9	bcaa8	একটি ‘ফেডারেল ফ্রন্ট’ গড়তে
9e6393133e	086dd	বুঝতে পারলাম
9e63fe209f	39dd0	পাথরের দেওয়াল
9e6499cd6f	eecdd	কারণ এখন তাদের
9e6506d57e	a9a58	মহেশপুর উপজেলার
9e654fb236	7d133	উল্লেখ করেন এই কর্মকর্তা
9e65704a6a	c6848	মাত্র পাঁচ দিনের মধ্যে
9e65a5e996	c4973	১৫টি কাপড়ের ব্যাগে
9e65f514c1	3f875	বাংলাদেশ ব্যাংক সূত্রে
9e6633171c	ab946	তবে ধারণা করা হচ্ছে
9e66670a7a	7898e	১৯২০ সালের ১৭ মার্চ
9e66e8e063	ad050	সহিংস হয়ে উঠতে পারে
9e670b20b2	b618b	সেজন্য প্রকাশ্যে
9e6760e69d	68549	আলোচনা শুরুর
9e679141a8	7e1d5	এত লোকের ভিড় হয় না
9e67d0b16b	52f27	তিনি ঘটনাস্থলে গিয়ে
9e67fa0613	29089	কেনেডি শীর্ষক থিসিস
9e687fdf11	e9759	কিছু নিয়ম
9e6964f118	c9c19	হেলিকপ্টারে করে টঙ্গিপাড়া থেকে
9e69727303	ad98d	ওই লোক কিন্তু
9e69b718a5	64092	একটি বৈজ্ঞানিক সত্য
9e69f182e1	ef4f8	ভারতের লোকসভার নির্বাচন
9e6a2bb590	cb842	শনাক্ত করতে পারেন
9e6a53019d	8406e	ঢাকায় প্রধানমন্ত্রীর কার্যালয়ে
9e6a889872	fdcba	বিদায়ী প্রধান বিচারপতি
9e6aace05b	287bd	সিদ্ধান্ত নিয়েছে শিক্ষা মন্ত্রণালয়
9e6ac1fc1b	11bd2	ফেমিকন
9e6afe2527	60b9d	এসি মিলানের প্রতিপক্ষ উদিনেজে
9e6b29e4e0	da6f0	বিশ্বাস করবে না হয়তো
9e6c19b381	2909b	অগাস্টা মার্কিন যুক্তরাষ্ট্রের
9e6ce1b50b	0bace	এ প্রলয়ের বড় প্রয়োজন ছিল
9e6d1638a1	9c8dd	এসবের পাশাপাশি
9e6ddf7329	95907	আর্জেন্টিনার ইতিহাস
9e6e4512d2	49543	দেশীয় উদ্যোক্তাদের
9e6e5a8e27	577fa	এদিকে সোমবার থেকে
9e6e643c85	32998	মাষ্টার বুঝি ঐরূপ
9e6e6afe94	03284	নিকটবর্তী লালখান বাজারে
9e6e6dba11	08458	যথাসাধ্য অধ্যয়ন করিয়াছি
9e6eb8d15b	32998	৫১ জন নিহত
9e6f8b5043	4164f	ভাববাদীদের মতে
9e6f97a8ea	3fae0	আরও ২৬টি মামলা
9e6fbae0a2	4164f	কেন না হস্ত-লিখিত গদ্য
9e6fc0550b	e2c11	উত্তর পেলাম
9e6fc21eee	d2294	মাথাভাঙ্গা
9e6fee3e2c	239f7	আমরা অন্যসব সময়ের তুলনায়
9e700ee99e	c7705	তার গাড়ির
9e70f4616a	6b437	আমিও কবিতা লিখতাম
9e710a92f2	ef4f8	সে যেন সত্যি
9e7134e6c3	ee852	বচ্চন চলচ্চিত্র জগতে
9e71c319e8	4c555	দর্শন, রাষ্ট্রবিজ্ঞান
9e72136032	cb842	একটি প্রতিষ্ঠানে
9e72d43347	77f82	মানুষের কাছে নয়
9e72dd5c3b	4c1eb	ঢাকার মোহাম্মদপুরে এলাকায়
9e72f55f94	1e7c6	সবার সামনেই ঘটে এমন ঘটনা
9e732f160e	86b1b	ডুবে যায় রিগান
9e733b096d	0606d	এমন পর্যায়ে পৌঁছেছে যে
9e7358d24c	09f0d	খাবার জল নেই
9e73758af7	d2355	ব্যক্তিগত ব্যয় দেখিয়ে
9e73a3dd33	1c618	আগরতলা শহরের
9e74157e83	c9c19	চাকরি না পেয়ে
9e743e1605	2bc73	এই সকল কারণে
9e753055ab	809cd	কুমার
9e7619452d	698a4	কাছে গিয়ে
9e76d44f57	24f73	এখন ফেরি উদ্ধারে
9e775124bc	58998	১০৬ রান তোলা
9e778b2589	29089	অম্ল মৃত্তিকায়
9e778cdcad	13b6a	জড়িত থাকে
9e778f9e19	3ccf1	গৃহবধু
9e779373e4	967fd	সেই স্বপ্ন আর মাটির ময়না
9e77fa112a	23b22	র‌্যাম্পে যেমন নিজেকে
9e78239413	d9817	এবং পয়লা বৈশাখ থেকে
9e78750ec2	e03ce	প্রাকৃতিক ভারসাম্য
9e78be662a	59c73	নির্ধারণ করেছে সরকার
9e78d96322	86b1b	জগৎ সরকারকে গ্রেপ্তার করে
9e78e2f045	e2f12	এসব তথ্য বিদেশীদের
9e78f1a984	3f875	৪০০ কোটি টাকার উৎপাদন
9e794ccbc6	c3cca	বিক্রয় ডটকমের ফ্যানপেইজে
9e79796b0c	717bb	হয়ত চলচ্চিত্রেও অভিনয় করতেন তিনি
9e798d7a9c	c7a89	একটা পরিবারের
9e79be09aa	75936	বেলা ১১টা পর্যন্ত
9e79cf158b	16e96	পুরুষের সবচেয়ে বেশি প্রার্থনীয়
9e7a4e447c	ef4f8	অনেক সময় বলা হয়
9e7a731ae8	60b9d	ওই ভবনে পাঁচটি কারখানা ছিল
9e7adca880	42898	বাগানে নামাজ পড়ার জন্য
9e7b5ff641	0edef	প্রাণ ফেরায় ৪৪ মিনিটে
9e7bf500d6	880ae	এরপর আল ফালাহ প্রিন্টিং প্রেসকে
9e7c8d5355	321b6	কয়েক লাখ মানুষ
