db00588c17	9b864	তাকেও রিমান্ডে নিয়েছে পুলিশ
db3c0b3258	8cf95	স্বাভাবিকভাবেই তাদের সমর্থনের ওপরই
db3c3ec308	66dcd	নির্বাচনের তফসিল ঘোষণার
db3cc6f0e7	880ae	শেষে পড়েছে
db3d4e8192	ee7b2	ওরা মারে কত রাজা
db3d7b984a	554fe	প্রকাশিত হয়েছিল
db3da9b5af	8ba2b	আর ভবনটি এখনও রয়েছে
db3e12602b	88654	মুক্তিযুদ্ধের পর ১৯৭৪ সালে
db3eb9c453	05901	মহামূল্য প্রস্তরে খচিত
db3f24af7b	dae88	জঘন্যতম কাজে লিপ্ত হয়েছে
db3f75fbd9	bfac7	অদ্ভূত এই চিত্রাঙ্কণ
db3f9467f7	06736	তবে কাল সকালে উঠে
db3fbf5dcc	410fa	তাঁকে বলবেন
db4020c6fe	a1d4a	১৯২৮ সালে
db409c0dd3	92bd8	প্রাথমিক পদক্ষেপ সফল হয়েছে
db40c8fb9b	92f59	একইসঙ্গে শিল্পে ব্যবহৃত যন্ত্রপাতি
db40cafc51	db735	শিক্ষণ তাঁর মাধ্যমেই
db40f5eeeb	80e98	মঞ্চ নেই
db41216e0e	f837a	বিবিসি ওয়ার্ল্ড সার্ভিস ট্রাস্টের কথা
db413bbea9	a06a1	সেই আহুতি
db418df81c	4dd57	তার স্ত্রীর সঙ্গে
db41b75f0a	cfc65	ই-কমার্স
db41f0c92d	2de86	প্রকাশ করে চলছে
db421c9b06	089ef	ঘন ঘন স্থান বদল করেন
db4259918e	7b60a	বেশির ভাগ ‘বাণিজ্যিক’ ছবি
db42711973	7027a	একই সঙ্গে সারাদেশের
db42c6d4f8	af81d	আকাশ দেবতা, সূর্য্য দেবতা
db42f23dad	72649	সুরক্ষা দেয়া হবে না
db433ddf59	2556b	দাদি মাথা উঁচু করে
db4359c87b	16877	রাজনৈতিক ইতিহাস রয়েছে
db43bded83	9642e	আমার ত্বক
db44666db8	943de	মধ্যেকার সাদৃশ্যের
db44fcff48	91223	তোমার রাজনৈতিক
db45ab7db9	1a4a9	সেই যুদ্ধের অন্যতম ইংরেজ কমান্ডার
db461c6960	d71a3	এক যুবককে
db47f0b1be	1f733	২৪ ঘন্টাই আমরা
db48340bd4	e00db	২০১২ তে
db483c2dcf	f7a7f	বেতন চাওয়ায়
db48a3ea70	91b16	গ্রহণযোগ্য বলার
db48bea9a7	c2082	গত প্রায় দেড় দশক ধরে
db496da145	79b06	শটগানের গুলি লেগেছে
db49c982e0	0a87a	তবে সে গুলিগুলো
db49ff23c3	2bd99	এই পিটুনের মুখে পড়ে
db4a1cd3df	54e68	দু-জোড়া চাকর
db4a1f795d	239f7	নির্বাহী ম্যাজিস্ট্রেট
db4a478551	ea5be	সিঙ্গাপুর এবং চীন
db4b22c25f	1652d	ফেসিয়াল
db4b52fd09	fcc89	আজাদের পিঠে
db4bc3332c	07660	দ্বিতীয় সিনেমা
db4c0da6e5	61820	শিক্ষানবিস চিকিৎসকদের বিরুদ্ধে
db4c1f83f0	e00db	যারা জনপ্রিয়
db4c44df0b	e50f1	গত পরশু মার্কেটে
db4c83606f	2fe3c	স্থগিত শুল্কমুক্ত প্রবেশাধিকার সুবিধা
db4cac769b	f600a	নিজে বামপন্থী হয়েও
db4cc05203	06bb7	ঢাকার পরিবহন ব্যবস্থা
db4d023620	fcc89	বন্দীদশার অন্যান্য অধিকারগুলো
db4d82b734	8ba2b	বলে রাখা দরকার যে
db4d85a755	73629	আমি নিজে ব্যক্তিগতভাবে
db4de495ff	68ab7	ভারতের আদালতে
db4e7e5320	0744c	শুনছি পাঞ্জাবিরা মানুষ মাইরা
db4e8f4008	948d3	১৯১৪-১৯১৮
db4ed93b07	42898	এই সময়টাকে
db4efc1d36	17ca1	অসমর্থ হইবেন
db4f2def69	0bace	দুই কপি
db4f35f3a9	29bab	প্রকৃত দোজখের রূপ দেখার জন্য
db502ef8c5	9282d	কিন্তু হরতাল-অবরোধের কারণে
db507fe8b5	18460	মুক্তি পায়।
db50ea3bd4	68549	সকাল আটটার কিছু পরে
db50f77054	9092b	সঙ্গে একজন ইন্সপেক্টরকে নিয়ে
db515c3bb7	948d3	আমি নিজে জ্ঞানের সন্ধানে ফিরি
db52798773	d711f	খাটের পাশে
db52a382f5	351dd	তা নীতিমালায় বলা হোক
db537826ed	2ee04	যুক্তরাষ্ট্র মনে করে
db53e4e11c	6fb36	রবি ঠাকুরের গান
db549cba63	c6848	এই অনুমতি দেয়ার
db555623a4	d3e06	জন্মগ্রহণ করেন তিনি
db557719dd	9d398	শখ আহ্লাদ
db55df27f7	ad050	৫৪তম মিনিটে চেলসির একটি প্রচেষ্টা
db56c58b8e	ee994	একটি মোর্চা
db56d2cefe	089ef	নানা ধরনের পেইন্টিং
db57809012	e6752	বলেন এসআই
db58096325	e2f12	পলিটেকনিক
db5856e253	aa820	আগামী নির্বাচন নিয়ে
db58ceafcf	31f09	জৈব বিন্যাসের ক্ষতি
db590eb039	cc9fd	দিলীপ বড়ুয়া
db592a3a1c	c0965	ওই বছরই ম্যান্ডেলা যোগ দেন
db59fcf89d	b52ab	কারণ সেটি তার নিজের এলাকা
db5a3a714d	ced74	থ্রিফ্টি জিন হাইপোথিসিস
db5a6a7bae	11915	আস্তে আস্তে স্লো হয়ে যাবে
db5ba1a79f	8632b	আগামীর ভবিষ্যত
db5bb48f33	6da0a	এ সপ্তাহের শুরুতে আলোচনায় বসার জন্য ইরানের প্রস্তাবে সম্মত হয় ক্ষমতাধর ছয় দেশ।
db5bba45eb	38d3a	ক্যালিফোর্নিয়ার আমাজন সাইটের
db5bcc4a21	4c555	ফেব্রুয়ারিতে মস্কোপন্থি
db5c2392ba	ad69a	৩২ বছর পূর্ণ হবে
db5c3f99ba	28bb3	হাইড্রোকার্বনের দহনে
db5c60b758	07660	চুরি করতে পারে না
db5caddddd	9092b	আগাম ধান কাটা শুরু করেছেন
db5d1c80fa	88654	এ মানুষটিকে আমি
db5d493dc1	967fd	মৌখিক অনুমতি দেয়
db5d97ed4e	2de86	নিরাপদে পার করলে
db5ddb8616	f2097	দিচম্বর লং মার্চ ঠেকাল
db5df01baa	a06a1	করতে শুরু করেছে
db5e3666a6	404ee	এটা একটা চক্রান্ত
db5e716c55	c463d	সতর্ক পাহারার মধ্যেও
db5e775431	b8fe1	বাহিরের সেবা স্তুতি
db5e85d336	3f875	কারাগারে আটক
db5e871876	18a52	শাহবাগের আজিজ সুপার মার্কেট
db5ec9c0ec	7b900	তাজুল ইসলাম প্রমুখ
db5ecc9fbf	7c272	টগর ফুল
db5ef7e104	b8bdd	তারা লজ্জায় রাস্তাঘাটে
db5f45321c	b2a62	রানা প্লাজা ধসের চার দিন পর
db5fa67883	c958a	এনে রেখেছেন
db5fdcac8f	10a9f	গুরুত্ব বা মর্যাদা
db606e5a14	23291	এল কাঠের পিঁপে
db607c11e8	c6848	১৯৭২ সালের ১৭ই মে
db60eb4fb9	c9c19	অভাব নাই ওই বাড়িতে
db610b6e1f	bbb22	অভিমন্যুর জন্ম হয়
db615b6a9b	84145	১৫ লাখের মতো
db6185acb3	68549	আঁতনিউ দামাজিউ
db62041e0e	0744c	আপনি চলচ্চিত্র নির্মাণ করেন
db6327fba1	c9c19	অনুষ্ঠানে প্রবাসী বাংলাদেশিদের
db63730d19	8845d	এজন্য তিনি
db63a470c7	282d3	ড্রাগনমুখো এক লোক
db63f12a75	c0d65	স্বাধীন বাংলা বেতার কেন্দ্রে বেলাল মোহাম্মদের সহযোগী ছিলেন আরেকজন রেডিও কর্মকর্তা আবদুল্লাহ আল-ফারুক।
db64124704	351dd	তাদের আত্মীয়স্বজন
db645bb803	bbb22	এই মহার্ঘ বস্তু
db64925004	a9a58	রাজধানীর পতনের পর
db64e24a00	16877	দু কোটি টাকা
db64ef3487	d5213	বা অলিম্পিক নিশান
db64f0ece7	5dec6	মাহমুদুল্লাহ রিয়াদের
db6609e3cc	80539	চেতনায়
db6624874d	e9fa7	কথাই বলছে না
db6700e468	66dcd	যাত্রা শুরু করেছে
db6741df76	577fa	ধর্মীয় পরিচয় নিয়ে
db6756faba	79b06	পুরুষের এক শিকার
db6822c4e4	ce629	ঐ গ্রন্থে কৃষ্ণকে
db6897062f	4fc91	পাহাড়ের কারণে কি
db68bb2584	3b1f7	মহামারি চলে গেলে
db68df9031	cb627	মিস ইংলাকের ভাই থাকসিন চিনাওয়াত ২০০৬ সালে সেনাবাহিনীর হাতে ক্ষমতাচ্যুত হওয়ার পর থেকেই দেশটিতে ক্ষমতা লড়াই চলে আসছে।
db69670451	eaa7a	২০১১সালে বিশ্ব ব্যাংকের সঙ্গে
db69832d70	9351a	বা মানিক মিয়া সাহেব
db6a4382f5	09f0d	সেটা বল না
db6a6d0de6	dec2d	বিবিসির জোনাথন হেডের প্রতিবেদন
db6adb6c17	ee886	এটি গবেষক এবং দর্শনার্থীদের
db6b2ed458	0606d	লেখেন তাঁর
db6b6f170f	66dcd	ঢাকায় যে মাত্রায়
db6bbb8464	7d004	নেতৃত্বে দেন
db6c97d66c	4bd2c	তাঁকে গত বছর জুলাইয়ে
db6cd505f4	2d98b	সৌরমণ্ডলের একেবারে
db6ce126be	43fc0	এই শহরের এই অদ্ভুত পীরবাড়িটির
db6cfd06e1	c3cca	সরষে পিষে তা
db6d18e27d	9065c	বাওয়া, যে বই কিনব
db6d7e6fda	f1ff2	টিপু সুলতানের বাঘ
db6dc3b707	2aecc	স্বাতী তারার
db6df35f8e	4c555	তার জন্য ঝরবে
db6e003009	3fce2	তারেক রহমানকে ইন্টারপোলের মাধ্যমে
db6e124cff	8c07c	বহিষ্কার করা হয়েছে
db6e5a3dd4	086dd	সূর্যের আলোর অভাবে
db6ef908e3	8143b	সীতু ফের ডাকে, দিদি
db6f121063	5dd61	সাতটি করে চার ও ছক্কার
db6fa5949c	65652	কেবল খাবার সময়
db6fc8340f	ab946	অংশগ্রহণকারীদের সংবর্ধনা দেয়া হয়
db6fe79f11	1de6c	অনেকের কাছে
db709b9909	1a4a9	বাবুগণ দ্বিতীয় অগস্ত্যের ন্যায়
db70c08147	bfac7	বিদায় নিয়েছে
db71bef248	01e91	সমসংখ্যক ইউক্রেইনপন্থী
db7200657e	ce629	দাদুর আঙুল থেকে
db7220f4d4	8845d	আমি চিনতাম
db7277e477	7f2ef	একটি নতুন দেশের সূর্য
db727fe845	75626	ভোটকেন্দ্রগুলোতে সর্বত্র মানুষের
db72a8bccd	7d133	আমন্ত্রণ জানানো হলেও
db7313de5c	fcc89	নেতার চামচা যাবে
db734399e9	05901	জনসংখ্যা বৃদ্ধির হার
db7357b40d	860f4	বিবিসি বাংলার শুভজ্যেতি ঘোষ
db7360fe4c	153c9	তার নেতিবাচক প্রভাব পড়বে
db738560c3	a46e2	ইংল্যান্ডের রাজা তৃতীয় জর্জের জন্য
db7385b1aa	29f8c	জাহাঙ্গীর হোসেন
db73a76a10	68549	গ্ল্যাক্সোস্মিথক্লাইন এর দাবি
db743bffba	c749e	যা-ই হোক
db7453bafc	f1ff2	কার্যালয়ে প্রবেশ করে
db7509eb0b	870e3	অংশগ্রহণ করেন
db75326705	91230	অবৈধ নিয়োগের প্রজ্ঞাপন
db75d20d15	59c73	তারকাখ্যাতি পাওয়া গেলেও
db75e7912c	256f5	অ্যামি লাইন হার্টজলার
db760ae907	2ee04	ফাঁকায় দাড়িয়ে থাকা
db7664611d	bcaa8	বেড়েছে ১০ দশমিক ৩৭ শতাংশ
db76aba10d	d2faf	ও জনগণের সংগ্রামী চেতনা
db76c11afe	06e62	বসে খেতে পারে
db77023bfe	ff1c3	ইতিহাস কীভাবে হিসেব কষবে
db779ed47f	d2faf	যাত্রা
db77b29c19	e03fc	গত ছয়দিনের মতো আজ সোমবারও বিক্ষোভে উত্তাল শাহবাগে যুদ্ধাপরাধীদের ফাঁসির দাবিতে অনড় বিক্ষোভকারীরা।
db7810be90	5dec6	যাদের বিরুদ্ধে অভিযোগ আনা হয়েছে
db78564124	91b16	কেহ খুঁজিয়া না পায়
db789be2a3	13b6a	নজরুলের স্মৃতিচিহ্নিত জায়গাগুলো নিয়ে
db78e5de8d	08458	গ্যাসের চাপ বেশি বলে
db78fb89ca	d1b12	রবীন্দ্রনাথ তার লেখা কাহিনিকবিতা
db797ce3eb	0895a	তা নীতিমালায় বলা হোক
db797f3c89	089ef	ইউরো ফাইনালে
db79ea276e	49d63	জামশেদ টাটা প্রতিষ্ঠিত করেন
db7a0716c1	0e637	দেশের এই পরিস্থিতি
db7a165235	33814	আশংকা রয়েছে
db7a21e4b7	4ea73	অন্যান্য
db7a2f5c8a	778c0	তার পরও দেখি
db7a426829	730c3	কৃষকদের যথাযথ মূল্যায়ন
db7a9de129	b78ec	৩২ বছর ধরে
db7ab4730a	82926	ডানে বাঁয়ে
db7acb4f67	baa02	বা অস্থিকোষে
db7b1f0f74	5639c	বৃক্ষছেদন বা অরণ্য বিনাশের ফলে
db7bcd07a9	ee7b2	অভিনেতা,কবি
db7be496cf	dba43	বাংলাদেশ থেকে সবচেয়ে বেশি পাকা চামড়া ইউরোপে রপ্তানি করে বেঙ্গল লেদার নামের একটি কোম্পানি।
db7c11f107	6aac8	কলকাতায় চলে যান
db7c4d99a5	3f493	পরে ভারতের মালদহ হাসপাতালে
db7c65fc49	d3e06	আমি বলিলাম
db7c9fef4f	086dd	দলীয় কার্যালয় থেকে
db7ce27ff2	dba43	পৃথিবীতে যে ভাবে থাকি
db7d26efa1	e7230	আইপিএল সপ্তম আসরের
db7d7f8409	4e900	তারা একাজে
db7d84a746	fd880	সপ্তাহ দুয়েক আগেই
db7dd2e3a9	10a9f	দশম মিনিটে
db7e11b4ce	bbb22	২০৮০ সাল নাগাদ
db7ea9f018	3c897	নির্বাচন হয়ে
db7f8ee02d	25117	এখনো পর্যন্ত
db7f9de277	dfefa	অপটিক্যাল কনসেপ্ট
db7ffa42c3	7b900	কিন্তু প্রতিবছর দেশটিতে
db82051bd3	6e6fa	ফেসবুক আইডি হ্যাক করার পদ্ধতি
db8236f07f	fda1a	যিনি গোয়েন্দাসাহিত্যে এলেন
db82acbe26	b7be9	এমন কিছু যন্ত্রপাতি রাখা হয়েছে
db82b300d1	16877	শেষ দিকে ১৭ রানে
db82e66c0e	321b6	সেই লালবাতি
db8316e8e1	7297e	পেলেউস, পেলিয়ন পর্বত নিবাসী সেন্ট্যুর
db836c7fa7	3fce2	পরের ক’দশক ধরে চলল
db839056d0	4bede	চাকরি থেকে ছাঁটাই করেছেন
db83a8d631	536d9	বাবার ডাকে
db83e99e8d	e2ba2	দুজনের সঙ্গেই
db83f2c3b1	29089	পূর্বমুখে প্রবাহিত হয়ে
db8464263c	616ec	সোমবার বিচারপতি ফারাহ মাহবুব
db8465e3fd	f0f95	আসক্তরা বাষ্পে পরিণত হওয়া
db84cec305	aa820	দেখা করবেন তিনি
db84fd688e	ea5be	ইংরেজ জাতির আগমনের পরে
db84fd6ffd	5d12f	ঢাকার মূল অনুষ্ঠানের সঙ্গে মিল রেখে একই সময়ে সারা দেশের শিক্ষার্থীরা ও সাধারণ মানুষ জাতীয় সংগীত গান।
db8528cd12	29bab	এর ভঙ্গিটি ব্যবহার করি
db8593b95e	25117	এরপরই মূলত মার্কিন যুক্তরাষ্ট্র
db85a0408f	6c17f	এসব গুজব এখন সয়ে গেছে
db860f89b4	66c6b	কারণ সংবিধান তো
db861530ca	6fb36	অনাকাঙ্ক্ষিত আচরণে
db868c7abf	09f0d	মস্ত কালো
db86bc8412	355c1	কোন প্রাণী থেকে ছড়িয়েছিল
db86c06ece	25696	এর ওর বাড়ি
db86cbd62c	16877	অনিশ্চয়তা কাটেনি উল্লেখ করে
db86e52e6f	11bd2	মেড ইন চিটাগাং এর
db86f890ca	65652	বাসের পেছনের দিকে
db874034e6	c5479	মৌলিক অধিকার
db8750cc81	1a4a9	বচ্চন মুম্বাই ফিল্ম জগতে
db88516416	07660	কোম্পানি বাজার থেকে
db889ceeba	ec91c	উত্তরাধিকার, কালবেলা, কালপুরুষ
db88ae3338	79b06	শেষমেশ নতুন বাড়ীর
db88d8fbda	0bace	মামলা নিষ্পত্তি করতে হবে
db88dc5ab0	745b7	তিনি তার সৈন্যদের
db8933db3e	93080	চাটুকারদের কাছে
db895a15ec	76329	যদি আমি
db8994d477	ce180	নিউ ইয়র্কে আসেন তিনি
db8a259309	88654	আলফা’র দিক থেকে
db8a4e928d	9351a	প্রেম-কাহিনীর শুরু
