90001c0615	9d398	বাকি ছেলেমেয়েদের
9028468bf5	410fa	আর রিয়ালিটি হচ্ছে
90286033b6	0606d	গুলি ছাড়াও ৮ লাখ টাকা
902874777c	b2a62	ভোট দিয়েছিলেন
9029511096	0d8c1	এই ধর্মঘটে যোগ দিয়েছে
90299800af	efc0d	এ তিন জনকে
9029d3a897	16cfb	মেডিকেল ডিকশনারী
9029f2fdc9	7aed9	সরকারের ভাবমূর্তি
902a6618f0	420df	কোথায় টাকা নিয়ে যেতে হবে
902b77f729	0696e	বর্তমান সময় উপযোগী করে
902bca0859	323f1	এই সাবমেরিনটি
902c04203d	03284	আগুন দেয়ার চেষ্টা করলে
902c975c5d	d2d71	বেঞ্জামিন রোডসও আছেন
902d5e7a61	acb88	হানাদার বাহিনীর মতো
902dab35c1	0b7ca	তার রয়েছে বিশেষ অবদান
902ed5bab2	c463d	সচেতন পুরুষও
902f142bfd	321b6	সাকিব খানের ছবি
902f627576	12702	সে আর বলবার নয়
902f685974	7027a	মধ্যে অশ্বিনী প্রথম
902f7464e1	7027a	ভোটকেন্দ্রের তথ্য পাঠিয়েছে
902fc05177	ff1c3	মায়াকোভস্কি-মেইয়ের হোল্ডের সহকর্মী
9030e73e3b	a43b5	টেপা
9031ceb9db	0895a	অস্বীকৃতি জানালেও
9031ef8969	e50f1	সুমি
9031f6bacf	6c17f	এ মামলা দায়ের করেন।
90329973cd	5b13f	ফ্রান্স থেকে
9032f1c228	38ff0	বৃষ্টিতে ভিজলে
903300d9a6	f1240	আসলে এই ধারাটা যখন
903353b926	0a7a0	মাঝখানে শাহাদুজ্জামানের সঙ্গে
903376c469	2ee04	অভিযুক্তদের শাস্তির
90338100df	06736	সে আকাশের দিকে
903382d3e8	1cb75	আয়োজিত এক মানববন্ধনে
903398ecab	32b3e	নিহত হাবিবুর রহমানের বাড়ি
90339aabf6	d1b12	তাদের স্মারকলিপি পৌঁছে দেবেন
9034110c2d	fda1a	উদ্ধার হওয়া লাশটি
903413ab28	7351e	পায়ের ওপর
903453e349	21e54	এজন্য, কেবল আমার পছন্দ মত
9034650780	e55de	বাণিজ্য মন্ত্রণালয়কে এ বিষয়ে
9034972754	3fc9d	ছবিটি একাধিক বার দেখালেন
9036a1c519	0633a	এতো দুর্যোগ হচ্ছে
9036ecb999	93bf3	সেটিও খতিয়ে দেখা হচ্ছে
903729e445	ee852	জনগোষ্ঠির মধ্যেই সীমাবদ্ধ
90386a3d17	d136b	তার বাসভবনে
903897c2b7	14d25	মেয়েরা তাই একত্র হয় না
9038a1d863	f2780	কেবল তোমাকে
9038abbaee	f2097	খুব একটা মাথা ঘামাতে হয়নি
90390f16d8	4bede	নিরানব্বই ভাগ সহপাঠী
9039343d94	35ef3	জনগণ প্রমাণ করেছে
9039641a0a	6c6bf	সোনা মিয়া বলল
9039fd4d8f	b00ba	কোনো অভিজ্ঞতা ছিল না
903a18e80b	e6752	একে উড়িয়ে দিয়েছে
903a52e1ba	121bd	রাস্তার পাশ থেকে
903a560a1e	29d44	ব্যাখ্যা করে,
903a7fcd42	b8bdd	খুব শিগগিরি!
903a9f5305	1e7c6	নেটে দেখা হয়
903b8aa5c0	9d7bf	নির্দ্বিধায় তিনি বলিয়াছেন পশ্চাদমুখী
903bf99f7d	43fc0	নিহতদের বাকিরা
903c1e4f57	7aed9	অঞ্জলীর মৃত্যু হয়
903c3b1d05	693cb	শক্তিশালী সামরিক বাহিনী
903c410d81	ef915	পুরান ঢাকার চকবাজারে
903c565c8a	9f25e	হাবিব ক্লিনিকে নিয়ে যায়
903ccf1a85	745b7	পরিবেশনের দিক দিয়ে
903d2ea925	536d9	তিন মেয়ের মধ্যে
903d5602e5	3b1f7	সেখানে দুজনের মৃত্যু হয়
903d56a0e5	44322	শনাক্ত করা গেছে
903de3b317	b08d0	ব্যাতিক্রম হচ্ছেন না
903e19660a	ff1c3	আধা পাকা দালান ঘরের
903ebc721b	ac904	খুবই নগন্য
903edbe05b	ff1eb	দিন দিন আরও
903f29789f	0d4cb	এ ধরনের তথ্য
903f7e29e3	68ab7	বৈধতার পার্মিট তো হয়নি
9040570f3d	e9589	২১ বছর বয়সী এই অপরূপা
90406a0979	2396d	আয়োজিত কাউন্সিল হতে
9040dc104a	8cf95	ঢাকা মেডিকেল হাসপাতালে নিয়ে যান
9040e51a12	3ec4d	দলটির সর্বশেষ
904155fcd8	32b3e	তোমার চোখ-টোখ
9041b8a16c	f0f95	থেকে দেয়া হয়
90424077c8	80518	অথবা কারও কাছে
9042668e3c	e3d8b	তাদের গ্রেপ্তার করেছে
90438dc7de	7b900	আবু হাফিজ বলেন
9043a4a884	16cfb	ইতিবাচক পরিবর্তনের স্বপ্ন দেখে
904419ea40	ea8fa	১৯৯০ সালে
90441d5dde	65652	প্রণিধান করতে হবে
9044687f5f	5e80b	সংশ্লিষ্ট কর্মকর্তারা বলেন
9044a886a7	4bede	ওডিও গান
9044fd7df4	e9759	উলফার সম্পৃক্ততার বিষয়টি
904568fcde	f2780	বড় ভক্তি করে
9045f907ce	0b7ca	সভাপতি ঘোষণা করে
904775eb06	b7be9	এসব বিবেচনায়
90477ab03c	b00ba	আরও আশ্চর্য রকমের গোলমেলে
90479a235b	91230	প্রদর্শন হচ্ছে বিকল্প অডিটরিয়ামে
9048a0357d	75936	গণ আদালত হয়েছিলো
9048eff158	18460	হাজার হাজার বিক্ষোভকারী
9048f9bef0	dfefa	উন্নতমানের গাড়ি সরবরাহ করে
90498b2eaf	e2f12	চাঁদপুর জিআরপি থানার
904993257e	880ae	নিখোঁজ ছাত্রদের বেঁচে থাকার সম্ভাবনা ক্ষীণ বলে আশংকা করছেন প্রশাসনের কর্মকর্তারা।
904a61746f	ac904	জানান দুলাল হোসেন
904a6353d0	66dcd	বাংলা গীতা
904aeeede4	2fe3c	পরপরই তা কার্যকর করা হয়
904af0575d	e43d4	মায়ের কথায়
904b6b748a	c5479	এক সংক্ষিপ্ত বাক্যে
904b73abb2	ff1c3	তাঁর জাত-পরিচয় জানার জন্য
904bb2ef84	4fbd1	এবং আমার মামলার আইও
904bde1446	a1d4a	এটি ঘটিয়েছে
904beeef07	d711f	আলতো করে বুকে টেনে
904c0da6cd	8143b	ধর্মের জন্য
904c2ae77a	71522	জনগণই ক্ষমতার উৎস
904cc21964	c6848	পৌঁছাতে দেরি করে ফেলেছে
904ccea189	f89d7	একজন অস্ত্রধারী সৈনিক
904cfb80b3	4fd66	নিহতের পরিবারের
904d24b7f9	3ccf1	শেষ শ্রদ্ধা জানানোর জন্য
904d3e196a	870e3	না হওয়ার কারণে
904e0868bd	9282d	একবার আগুন জ্বলতে
904e50d725	72649	ঘনত্ব বেড়ে যায়
904e716a15	8a46d	তাদের সমাবেশ করার
904ea09994	db181	সারাদেশ ব্যাপী
904eb57914	fb4cb	ইলেকট্রনিক নজরদারি
904f534773	f4ba7	আগের শুমারি মোতাবেক
90508dd6fc	e6d83	অগ্নিসংযোগ ইত্যাদি
90509cd7a2	d9081	একজন সরকারদলীয় সংসদ সদস্যকে
9050b47adc	7d3e1	নির্বাচন বিষয়ে
9050cd9bae	b8bba	ও ইসলামের পথে নিয়ে যাওয়া
905249989b	77f82	বিনিয়োগ করে যাচ্ছেন
90526f7d21	d9ba9	অলি আহাদ, শওকত আলি
90528222a9	7027a	১৯শ শতক জুড়ে
90532347ee	da6f0	আর অনেকেরই ক্রিকেটে হাতেখড়ি
905401b03c	4a918	আপনি কিভাবে দেখছেন
90548fc935	e3f89	তার হ্যাটট্রিকে
9054f650cf	e9fa7	এডিসি সাহেব এগিয়ে এসে
90550940f4	e3f89	পালন করতে হয় এদের
90553adcf4	73629	কার্যকারিতা প্রচুর
9055fdb378	1e7c6	এসব মাদ্রাসার প্রতিনিধি নিয়ে
905611b812	25117	চারুকলা
905651a4e1	2ee04	রেঞ্জ ৪০ মিটার
9056bdc194	5354e	হত্যাকাণ্ডের ধরনও একই
9056c1af1f	4237e	অনুভূত করিয়াছিলেন
9056d12013	33aef	দোয়েল পাখি
90576b7b5d	eb179	যকের ধন
9057a7013f	f83df	কিছু করা যাবে না
9058145ead	ba2f6	শেখ হাসিনার ছবি
905870f86c	8b859	এই খালটি হচ্ছে
905896635d	f0f95	আল্লাহ কোথায়?
905991394d	66c6b	সাধুবাদ জানানোর পর
905a0be105	1a2a1	যেন বিশেষ একটা কিছু
905a4d721e	5639c	কাম কেয়ারটেকার মোস্তফার সঙ্গে
905ab8f530	2556b	মূল্যবান কাগজপত্র
905b7188be	8cf95	তাদের বাচ্চাদের
905b7ec568	4c555	প্রত্যক্ষদর্শীদের বরাতে
905b876aca	ac0df	বিজেপির পক্ষে
905bbd7009	d9081	নেপথ্যে আছেন
905bce4591	3ec4d	চমৎকার ব্যবহার
905bd0386d	2ee04	পৌনে ১০টা থেকে ১৭ মিনিটব্যাপী
905c82177a	3c897	বক্তব্য রাখেন সংশ্লিষ্ট আদালতের
905ca98c27	7d004	দুনিয়ার সব মানুষ
905cd5195b	d82d9	বিভাগটির সভাপতি
905d1fc9dd	23b22	সারাদিন কাজের ব্যস্ততার কারণে
905d5af586	c463d	তারা আরও
905df67db3	315e9	সময়সীমা বেঁধে দেন
905e3bd9a5	c41d8	আয়োজিত সংসদীয়
905e3ce954	b8bf0	অগ্নি
905e43298e	84145	৩৫৯ জন পরীক্ষার্থীর মধ্যে
905e7e8333	2ac82	পুষ্পবৃষ্টি ঘটান
905eb0183a	92bb2	বিরাট এক টেবিলের ওপর
905ecf8758	9351a	স্থগিত হয়ে রয়েছে
905f03aeea	7b900	নিয়ে গিয়েছিল একদল লোক
905fba7f17	5b13f	সুরা ইয়াছিন
905feb8b17	5354e	প্রতিবেদনে জানিয়েছে বিবিসি
906016bdd0	24aed	যে কর বৃদ্ধি করবে
906095c351	54cdd	তবুও দাদার ভাগে বেশি
9060c00d1f	bcaa8	জানিয়েছে র‌্যাব
9060c866a0	2bc73	কিছুই বাদ না দিয়ে
9062591cf1	fd880	দেশের ঐতিহ্যের অংশীদার
90629325af	a06a1	খুলে যেত
9062c82edd	256f5	এক শিক্ষক জানান
90634c3a5c	a1201	তখন এতই ছোট ছিলাম
9063918dc6	7f71c	অন্যদিকে বিজ্ঞাপন সংস্থাগুলো
90639d2b53	153c9	আই লাভ ইউ
9063d4a8d1	b78ec	হৃদয়কে প্রবলভাবে স্পর্শ করে
90640c2f37	c4973	এই মনোয়ন নিয়ে
9064241044	5dec6	প্রোগ্রামিং
90645eb1ae	37d7e	দুইটি টিন সেট কক্ষে
906460fe1a	590d0	আজ সকাল ছ’টা
90649bce2d	7b103	গ্রাহকদের জন্য একটি গেম কর্নার
90649df531	db735	মেজবাহকে গ্রেপ্তারকরা হয়েছিল
9064a9995f	efc0d	অসহনীয় যানজট
906500326f	ff0fe	কথা বলতে পারবে
906566a076	c5dc8	এমন ঘটনা
90656fb48a	bcaa8	তার নিজের মধ্যেকার
90659c9431	e68af	পাকিস্তানের প্রধানমন্ত্রী হয়েছেন
9065e08ab7	72649	ঘড়ায় তোলা জল
9066c73224	9f25e	প্রোফাইল পিকচার
9066dc18cc	38ff0	সাত আসমানের ওপর থেইকা
9066f30325	77f82	ওভাবে নিজেকে
906702d05a	65e30	আরও দ্রুততর করা
906710fe41	7d133	বামপন্থার প্রতি তাঁর আকর্ষণ
9067328748	d71a3	এই অধিবেশনের লক্ষ্য
906737c221	14816	মনিকা আলির সেই বিখ্যাত ব্রিকলেন
906752ba67	bd576	পাঁচ লাখ করে
9067bcf399	6e6fa	আড়াল করার চেষ্টা করে
90688aa2e7	e9589	বিশ বছর আগে
90689a2712	9092b	স্বপ্ন দেখছে
9068a1f2bf	37d7e	জিপ
90690bf5dc	0e637	রাষ্ট্রীয় স্বয়ংসেবক সংঘে
906964f8c9	c6848	অনুষ্ঠান হয়েছিল পাবলিক লাইব্রেরিতে
906997b8a7	7898e	৮৮ মিনিটে
9069b812ff	75f18	ময়নামতি গোপীচন্দ্রের
9069c8ac0f	23b22	যে শাসক-শোষক
9069f1fdf5	287bd	ভালো করার
9069f225cc	778c0	পর্যবেক্ষণ করা হয়েছে
906a88c805	2f547	গোলের পর নেইমারের উদযাপন
906a8fa2d7	c958a	মহেন্দ্রগড় জেলার
906ad97450	80e98	গান করছেন
906b53a47b	33814	গোবিন্দগঞ্জ
906b890e12	cf82a	একটা
906bcbbdd8	5b13f	একেবারে রীতিমতো এক আগলি ডাকলিঙ
906bf1cad2	11915	ততদিন তাঁর শ্রেণী-বিন্যাস
906bfe7a3e	903fa	গম্ভীরভাবে মাথা নাড়লেন
906c7e56d2	3bea8	‘এপিটাফ’ সিরিজের
906c8f3389	f1ff2	অমর একুশে গ্রন্থমেলা
906cac0ae5	13b70	প্রায় ধসে পড়ে
906ccd0852	29d44	বিদেশী মেয়ে
906cd7f8a7	bbb22	উপার্জিত অর্থেরও
906d177359	66dcd	দুপুরে বই পড়ে
906d3c5a82	bcaa8	উৎসব হওয়ার পর থেকে
906d69748d	239f7	আগে এ অঞ্চলের
906eae1c51	2aecc	যাদের কে আকবর
906ed04e27	06736	আমাদের মতন ম্যাচিওর মেয়ে
906ffd4b32	5d12f	আহত হন ৩৭ জন
9070328629	6b437	ভীষণ বিপদে আছি
90704b2b62	491a5	তো প্রশ্নই আসে না
90705cf89f	c4973	এই ঘটনা ঘটিয়ে থাকতে পারে
9071b54896	80be1	তাহার গতিক ভালো নয়
907218557b	4486f	ভালো ছেলেদের বদলে
907223eba6	eaa7a	এসব পরিবেশনায় অংশ নেন
9072312cfb	bfac7	একজনকে বর
9072345218	ac0df	থানায় যান তার মা
90727871fc	a46e2	সীমান্ত প্রায়
9072d5d02c	13b6a	বরাবর অস্বীকার করেছে
90738afafe	a699c	২ চামচ চিনি দিয়ে
9073cb85eb	8c07c	এবং ব্রিটেনের নাগরিক রয়েছেন
907477e8bb	9065c	লাশ বাড়িতে নেয়ার মতো
9074a90321	4fbd1	বোতলের কেনা পানি খাবে
90751b1960	7ee9b	আগে ব্যাংকার্স
9075ed42ff	68549	পাতায় পাতায়
9075ef9fa8	5639c	দোকানগুলো প্রায়
9076384196	83c53	২৬ মে দিল্লিতে
9076944eed	554fe	লাঠিচার্জ ও কাঁদুনে গ্যাস
9076976777	16e96	তাদের সবচেয়ে বেশি
9077c9b39e	15a75	আমার ছেলেমেয়েরা
9077cc05c4	69d9a	দুর্বলতার কারণে
9078c390f6	2aecc	যৌথবাহিনীর অভিযানের নামে
9078e6f48d	3fce2	কিন্তু সে উদাসীন হয়ে
90791cfc45	17ca1	মেয়েটির আনাড়িপনা
907a34cf1a	860f4	প্রতিটি শিক্ষাপ্রতিষ্ঠানের নববর্ষের ব্যানার
907a610cea	21e54	কৃষ্ণের ষোড়শ সহস্র মহিষী থাকাও
907a622480	11de3	নিষেধাজ্ঞা দেয়া হয়েছিল
907a6cff5a	2695f	ঐতিহাসিক প্রেমের
907ac78618	12702	আমলে নেন ট্রাইব্যুনাল
907be1b482	f1240	সাপ্তাহিক চাকরির খবর
907c6b6030	ec91c	তার সাফল্যের বছর
907d1fe754	92f59	গ্রন্থেও তাহা পাইয়াছি
907d2701ff	dec2d	শুরু করা যায় নি
907db28150	eecdd	মুখের ভাষা থেকে
907db2f296	6ab59	টেলিভিশনে দেয়া এক বিবৃতিতে
907e37b648	3ec4d	মোঃ রেজানুর হক জুয়েলের
907e7b9c9f	32c77	সপ্তাহে ১০টি ফ্লাইটে
907e7dc3b2	c4973	সে কথা ভেবেই
907e8a7cff	086dd	গোটা চিঠি
907ec2cd24	7027a	প্রায় পাণ্ডবদিগের সঙ্গে সম্বন্ধবিশিষ্ট
907ecadc6e	420df	হাওয়া থেকে
907ecbc656	5a61c	সংসদের এই অধিবেশন
907eea0b15	7297e	মার্কিন রাষ্ট্রদূত
907f421bbd	e2f12	কোনো ভয় নেই
907f4dc79e	8a46d	ক্ষুব্ধ হয়েই
907f8135a0	404ee	নাম পরিবর্তন
9080369b53	c5479	আবেদন করেছি
90808be027	93080	বিস্তৃত আলোচনা করেন
9081254cfd	2840e	ভাষাতত্ত্বের উপর
908144ced3	ef915	তাঁর ভাষা
9081ff902b	ec91c	ঢাকার সদরঘাট থেকে বসির আহমেদ রোজকার-মত ইফতার কিনতে এসেছেন।
9083472ebf	bdd05	এস আই মামুন আরো জানান
90834e1fe6	e6e48	পৃথিবীর পথ হাঁটতে চাই
9083875096	c463d	নেতারা বলছেন
9083ffa952	ce775	কামালের জন্য
90842110ea	13b70	কাজ করতে ঘেন্না হতো
90842a9da6	2fc12	দেশের সবচেয়ে বড়
9084467ece	9d398	একদিন দুজনে দেখা করার
90844e9428	ec91c	কারাগারে পাঠানো হয়েছে
908488ba91	f2b7d	প্রাণহীন জগত
9084ac9871	14816	প্রতিবাদী নাট্যধারায়
9084ced715	b8bdd	বিয়ের প্রস্তাবও দিয়েছিলেন
9085694953	2d78f	নাটক নির্মাণ করছেন
908590606f	f1ff2	মোবাইলে একের পর এক
9085a399df	f9dfb	সদয় অবগতিতে আনার জন্য
9086094067	0c39f	১৮ দলীয় জোটের কর্মীরা
90867c14e1	25117	আবু হাফিজ বলেন
9086909084	ff1c3	সিরিজ বোমা হামলা
9086dd025f	f6e55	৮৬ বছরে পদার্পণ করা
9086f065a5	91ac1	যে-ভক্তি প্রশ্নাতীত বা যুক্তিসিদ্ধ নয়
9087645c70	11bd2	এখন সামাজিক যোগাযোগের মাধ্যম
90882d0dc5	2aecc	সেই স্বপ্ন পূরণের কাহিনি
9088c55409	7f2ef	কখন কোথায় যায়
908930b5a2	af81d	মা ও ছেলের মধ্যে ব্যবধান
908977e9e8	93bf3	যে বিশটি অভিযোগ তাঁর বিরুদ্ধে আনা হয়েছিল, তার মধ্যে আটটি অভিযোগে তিনি দোষী সাব্যস্ত হন।
90898c2f0a	e2ff7	৪০ থেকে ৫০ হাজারের মধ্য
9089a5a3a0	430b2	ও ঈদুন আপা
9089f7ab33	a3a6d	৪০টি গাধা
908a456f3e	85430	উন্নয়ন করা হয়েছে
908a588fcb	7297e	তাকে অন্যতম বলে
908a9ceb4c	4ea73	এখনও কোন সিদ্ধান্ত নেননি
908ad04981	5a61c	মানবাধিকার লঙ্ঘনের সাথে
908b22c142	c173f	যিনি কাজের মাধ্যমে
908b25d34f	24aed	সুখ হত খুব
908b483a96	98b81	শুধুই পুলিশের সাথে
