9a000c5ceb	18a52	এখন বরেন্দ্র ভূমিসহ
9a182ecaf1	420df	এক্ষেত্রে রপ্তানি কমেছে
9a189998ff	95f83	এই হুট করে
9a18bf4ce9	91223	চারটি হাড় কমে যাবে
9a18d6848c	bdd05	সেটা ছোটবেলা থেকেই
9a1903beca	f1240	মহাদিগন্ত প্রকাশ সংস্হা কলকাতা
9a19433218	1a2a1	ডাকাতেরা মাথায় মেরেছিল
9a19500876	d9b11	অনেক সিট খালি
9a196777fc	2ee04	পরিবেশও নেই বলে
9a19f8c2bf	61820	বিপ্লবীদের সঙ্গে
9a1a8533a7	47e8d	অ্যাসোসিয়েশন ফর কম্পিউটিং মেশিনারি
9a1ab35e6c	282d3	সফটওয়ার ইঞ্জিনিয়ার
9a1abd425d	976b1	তাদের কে সুযোগ দিচ্ছি
9a1aeab84b	e2c11	এলিমিনেটর ম্যাচের
9a1aece002	29f8c	হাজিরা দিতে এসেছেন
9a1b2729bc	46da4	কর্মী সংকটের বিষয়টি
9a1bc76dd6	49d63	বাঘের বাসা
9a1c233d09	e50f1	সেই বাগানবাড়িতে নিয়ে
9a1c2b900b	5d80e	তেমন বুদ্ধিজীবী রাজনীতিবিদ কই
9a1c410108	0744c	ভোটও পেয়েছেন
9a1c7e827d	baa02	সঙ্গে নিবি
9a1d19ddb8	4164f	দুই পক্ষের লোকজন
9a1d40ac8e	e2c11	জন্ম ৭ সেপ্টেম্বর, ১৮৫০
9a1d615818	66dcd	বিআরটিএ’র যে সার্কেলের আওতাভূক্ত
9a1dc6fdae	39293	সম্পত্তি দান করে দিতে পারেন
9a1e89c755	fdcba	আসিফ
9a1ea07905	91230	ঘুমানোর প্রস্তুতি নিচ্ছিলাম
9a1ebb7468	f7a7f	মাঝেমধ্যে পুলিশ আসে
9a1ff74577	a9a58	আবার পার্স খুলিবিলি করে বলেন
9a1fffe80a	25117	চোরটির দুই হাত
9a20212459	bcaa8	কয়রা উপজেলা
9a2087d083	976b1	প্রকাশনা উৎসবে উপস্থিত ছিলেন
9a20cbc779	e89bb	সেখানে অনুষ্ঠিত হয়
9a20d96fa2	b8bf0	উপজেলা পরিষদ কাঙ্খিত পর্যায়ে কার্যকরী হতে পারেনি বলে মনে করেন উপজেলা চেয়ারম্যানরা।
9a20e7f2a4	d3e06	বইয়ের সবচেয়ে গুরুত্বপূর্ণ নিবন্ধ
9a20f6e95b	ad2a0	আমার দেখার বড় ইচ্ছা
9a216b6aec	58998	উন্নত করা সম্ভব
9a227ee425	53396	অনেককে এসময়
9a22cf93e8	80505	কাজল নদী
9a22d2725d	7df87	কাজল নদী
9a230bc1ff	98b81	১৯৪৭-এর পর
9a230e5527	0b7ca	আশ্রয় নিতে পারে
9a233006be	767ff	ভালোবাসার স্বপ্নকন্যা
9a2350bd0a	f600a	মেধাবী ছাত্র হিসেবে
9a235a9e3e	717bb	চলচ্চিত্র উৎসবে
9a23cbe86f	351dd	বহুবার চাওয়ার পর
9a23e15991	d7a68	রিচার্ড এফ হেক
9a24003700	d9b11	সক্রিয় আগ্নেয়গিরি হলো
9a2404bf13	ee886	দুর্ঘটনায় তো
9a240bf2d3	92bd8	ইতালি, সুইডেন, বেলজিয়াম
9a244be94e	ff1eb	হাটিকুমরুল হাইওয়ে থানার ওসি
9a2520550b	e2f12	ওখানে যান তিনি
9a255e7a49	ac904	যখন স্বপ্নের ফাইনাল খেলছে
9a2562234f	fbb81	আফ্রিকার বিভিন্ন দেশ থেকে এসেছে
9a259eb4b9	4f450	সেনা মোতায়েনের দিনক্ষণ
9a25a02461	d0c70	কবে দেশে যাবে
9a26009348	1f733	এক নির্মিত সময়ের গর্ভে
9a2617a8e0	b52ab	পর্যটকদের মৃত্যুর খবর
9a268f4c52	b8bdd	মি. খানকে গ্রেপ্তারের
9a26c0bed3	f7a7f	ফারিয়া হাসনাইন জানালেন
9a272bbd02	121bd	মেয়েদের টি-টোয়েন্টি বিশ্বকাপ
9a27895551	d5f7b	ম্যানেজার আর কোচ
9a27e25172	2396d	বাঙ্গালার মুখ উজ্জ্বল করিয়াছেন
9a27e28148	d2294	আগে তো বাঁচার
9a2822cde3	7b900	আল্পস পর্বতমালার উপরে অবস্থিত
9a28956d83	7e191	ফলে বিজ্ঞানীদের মধ্যে মতবিরোধ থাকলেও
9a28ee5638	cc9fd	গ্রেফতার করার কোনো
9a2a605697	6a35e	মুসল্লীদের মধ্যে
9a2a844ba9	b78ec	পরিস্থিতি পর্যবেক্ষণ করছে
9a2a84e229	4164f	জেনেভা ক্যাম্প থেকে
9a2ac46a97	dae88	বিস্মিত হতে হয়
9a2ae2b9e5	ced74	এফএও বলছে
9a2c46ff9b	6c6bf	এ কাজ সবার
9a2c7a72f7	12702	সিনেমাটিতে সালমানের সঙ্গে জুটি বেঁধেছেন
9a2cefd3cb	4fc91	নির্বাচন তিন মাস পিছিয়ে
9a2d1d2b88	ee886	প্রক্রিয়া দুই ভাগে
9a2d8a3f28	bdfc1	নতুন তৎপরতা চোখে পড়লো
9a2e459f0e	06527	আনুষাঙ্গিক নথিপত্রসহ
9a2e6b6856	e9fa7	হলুদ
9a2e90ac18	bcaa8	রাতে তাদের দাবি নিয়েই
9a2eb4f903	43fc0	বারবার ছুটে আসেন
9a2ed09f4b	cb627	উনিশ শতকের মাঝামাঝি হইতে
9a2efa0ff1	2d98b	স্টার জলসা বোঝেনা সে বোঝেনা
9a2f22f4c4	d82d9	নাশকতাকারীদের ধরতে
9a2fec8afe	11de3	অনিল কাপুর
9a2ff2d27a	e8dde	বড় ধরনের স্থাপনা
9a300a4b58	c9c19	যে ব্যাপক তল্লাশি চলছে
9a300b487f	ee852	সুযোগ আছে বলে মনে করেন
9a305784d3	86b1b	তখন একে বলা হয়েছিল
9a3074d1fa	4f2ae	পুরুষ ভোটারের চেয়ে
9a3086f50d	3fb17	নাট্যধর্মী চলচ্চিত্র
9a30c68ab8	11bd2	তারা আসেনি
9a30f409f1	7c272	আইনজীবী জানান, মামলার এজাহারে
9a30fea33f	6a35e	মস্কো একঘরে
9a31056107	61820	অনেক অনুষ্ঠানের কথা
9a3124755a	b8fe1	সমাবেশের মধ্য দিয়ে
9a31ff61c8	93080	প্রায় ১৮ হাজার বাড়িতে
9a3267a2ef	ff1eb	আব্রাহাম লিংকন
9a32a54831	49d63	লড়াকু দল এসে যাচ্ছে
9a32d69a9e	f2097	এ ধাপে ১৩০ জন কর্মী
9a33f2c8a4	ff1eb	অবিনশ্বর হয়েও
9a33fc6955	ad2a0	গাড়িতে বোমা ছোড়ায়
9a3402157f	4a67e	আজাদ সম্পর্কে
9a34af65b5	3f875	ক্ষমতা হস্তান্তরের প্রক্রিয়া
9a34b0dac6	509f6	বাংলার খাদ্যশস্য উধাও হয়ে
9a34dace4c	f1240	বাড়ি উপজেলার মুসরীভুজা গ্রাম
9a350a0f2d	bcaa8	মিশ্র স্বভাবে প্রভাবিত
9a351ef80d	eaa7a	২ জন ওয়াই এসআর
9a353d7ee3	13b70	মুখ খুলছেন না
9a358f7c1d	e55de	ভালোবেসে কেউ
9a35959b33	1a4a9	ওখানে আমার একটি উপন্যাস
9a35a11b46	fda1a	পড়ছে কয়েকগুণ বেশ
9a35a2468d	5dd61	লেখা তাঁর সেই বিখ্যাত চিঠি
9a35f9f2ea	aab0f	হয়তো সেখানে
9a365ec7c9	06bb7	হামাগুড়ি দিয়ে
9a36c50808	db735	গোসল করতেন
9a36ff84e8	4bede	নারায়ণগঞ্জ জেলা
9a370b25d1	9d398	ব্যবহার করতে চাইছে
9a37141be9	b9a81	সেইসব আনাবার জন্য
9a373162dc	ce775	মেয়েদের মাথায় হিজাব
9a373286cc	e3f89	আঁকুড়হাটি শহরের
9a37616d0d	ad69a	ব্যবস্থা করা হচ্ছে
9a37906a83	7297e	কাজে-কর্মে
9a37967cf7	8ba2b	নিজেকে অতিক্রম করে যাবার
9a37d72572	ee4ad	অঙ্কুর নামে
9a37e8859a	07660	কিন্তু পালক নেয়া
9a38e5e546	16877	জেলে যেতে হয়, যাবেন
9a38ed0a89	dafb6	তিনি ভারতের একজন
9a38feffdd	3ec4d	এটিই হলো
9a3917bd46	b78ec	নিজের স্বজনের জন্য
9a391f4430	6d129	অথবা ৬৪% জনগণ
9a39b2974d	616ec	ছুড়ে দেওয়া হচ্ছে
9a39c76904	4164f	১৮৯৮ সালে
9a3a334ec2	a06a1	শুধু মার্কিন যুক্তরাষ্ট্রেই
9a3aa05601	442b7	পর্যাপ্ত পরিমাণ
9a3adc4376	a0277	আগুন
9a3b5ab780	9fa90	কোনো দিন বলেননি
9a3b646a13	46da4	দূর্গা পূজা
9a3b64a68d	590d0	চাবি তাঁর পকেটে
9a3bc74418	7351e	শঙ্কর ভয়ে শিউরে উঠল
9a3bda036e	b5fdc	নিজের বাড়িতেই ফেরেন
9a3c2fbc65	60b9d	প্রায় পাঁচ ধরণের
9a3c4a3a64	2bd99	দিল্লিতে আজ
9a3ce21549	d1b12	জাতিসংঘ এরই মধ্যে
9a3d0f7bbb	1b359	পুলিশ সরাসরি জড়িত ছিল
9a3d60c89c	c6848	মার্ক্সীয় অর্থনীতিতে
9a3db270b7	1cb75	বাণিজ্যিক ডেটাবেজ বা তথ্যভাণ্ডার
9a3ddd4af5	3fae0	উৎসবের জন্য নিজেদের
9a3e1dd050	68549	টুটুমামা তাঁকে ঘিরে
9a3e92cc7f	ff0fe	মেডিকেল বোর্ড গঠন করে
9a3fcfb791	f1ff2	রেহাই পাওয়ার নাকি
9a403973a4	860f4	এই লোকসমাজের রয়েছে
9a40bcbde0	e754e	চন্দ্রাবলী নামে রাধার
9a41442a2b	0a87a	নারীর ক্ষমতায়নে
9a41ff822a	0606d	সবগুলো ম্যাচই হবে
9a42087222	17dcd	মিজান টাওয়ার
9a42246bc8	c749e	তার অনুপস্থিতিতে
9a42b25de4	4fbd1	আফগান দলের অনেক খেলোয়াড়ের
9a43005dfd	92bb2	সেটা ছিল
9a4334ef5c	acb88	ঢাকা চিড়িয়াখানা
9a438dfa0a	c3cb3	গরম হইয়া উঠিল
9a43a0dd91	72649	এ চাওয়া কি তার ভুল
9a43cd59f7	e3d8b	মিক্সিকোয়াক নামক গ্রামে
9a43f232ed	47e8d	কৃষকশ্রেণীর সহিত
9a44137d6f	79b06	জন্মদিনের কবিতা
9a4415c440	91223	মিশা সওদাগর, ডন
9a442408a7	58998	যথার্থ জ্ঞানই দর্শনের উদ্দেশ্য
9a4444d344	195f7	সবগুলো চিহ্নিত করা
9a449a2c62	0a87a	মর্ত্যের যোগাযোগ
9a44e7bb09	c8f7f	এমন চরিত্র সৃষ্টির মধ্য দিয়া
9a4537d2ca	7d3e1	নিড়ানি ঘাস কাটে
9a453d6200	ca088	তার শোক বার্তায় বলেন
9a45ce0bfc	e3f89	এখনকার পৃথিবীতে
9a45fda467	e9589	সৈয়দ হক নগরটাকে চেনেন
9a461874d5	d7a68	অ্যাডোবি ইমেজরেডি
9a462b7635	9065c	আরো বেশি ভালো হবে
9a46364e81	5639c	ফেসবুক কমেন্ট
9a4659e1b6	75626	যুক্তরাষ্ট্র, জার্মানি, ফ্রান্স, ব্রিটেন
9a466d2165	c5479	আরেক তারকা
9a467da679	491a5	বা কী পাইনি
9a46b53144	e68af	অজস্র কর্মী ও তাঁদের পরিবার
9a46f39989	bd576	কিছুদূর যাইয়া
9a471cf956	b9122	দেখার উপায় নেই কারও
9a47561ed8	c2082	কোয়ার্টার হিসেবে
9a47a08168	f6e55	একটি সময় এর মূল কারণটি ছিল অনেকাংশে অর্থনৈতিক এবং একই সাথে ধর্মীয়।
9a47a2e95a	75936	বিজ্ঞপ্তি আকারে পত্রিকায়
9a47cf6cc8	ee7b2	বসে বসে টেস্ট দেখার সময়
9a482c385d	4f2ae	তাঁর ডাক তো শুনেছিলেন
9a484ff0c7	39293	কোনও বৈষম্যের ওপর
9a489fa079	b8bdd	সুবিধার কথা হলো
9a48a2feea	f837a	হারকিউলিস নামের
9a48c4e0b8	590d0	এ কাজেও তাকে
9a48d317f0	c8f7f	আলেমদের হত্যা করে
9a49b44832	4486f	ওবামা
9a49ee11dd	91dff	ট্রাইব্যুনালে ছোটখাটো কাজ
9a4a22d40e	b8ed8	গায়ের ব্যাথায়
9a4a6b64c6	2ac82	প্রকৃত ভূমিহীন সমবায় সমিতিকে
9a4ace1e4d	06736	৭৩২ প্রকার ডাকটিকিট
9a4b379f06	6c6bf	একটু পেছনে ঠেলে বসলাম
9a4bf53e8c	d9081	এখানে আমাদের
9a4c6a0d46	01e91	গুরুতর অভিযোগ নজিরবিহীন
9a4c771100	d5f7b	সাবানের গন্ধের চেয়ে
9a4cc8d1dd	2909b	তার সৃষ্টিকর্ম
9a4cf36a44	24aed	সঞ্জীব চট্টোপাধ্যায়
9a4d82ba99	92bd8	এখানে আমি
9a4dcd0957	68549	পাওয়া যাইবে
9a4e07f182	491a5	আমরা ভালো করে দেখি না
9a4e160d8b	b8fe1	১৯২১ সালে
9a4ea2ff5d	52f27	সেমিওটিক পদ্ধতিতে
9a4eb73f4e	e6e48	আমি নই
9a4efff64a	09b32	বাইরের মানষে না দেখে
9a4f010234	7e1d5	কিছু একটা লিখতে হবে
9a4fa7ec14	cc9fd	তাঁহার হৃদয়ের
9a4fdbdb7c	315e9	পাকিস্তানকে সারা পৃথিবী
9a4ffae484	2396d	অচেনাকে ভয় কি আমার ওরে
9a500313dc	6973e	প্রশিক্ষণ নিতে পারেন
9a500e153f	64092	বহিষ্কারের সিদ্ধান্ত নেয়া হয়
9a503b3ce5	976b1	নয় জনের মৃত্যু ঘটেছে
9a504c6c01	03284	বাতাসের গতিবেগ
9a506e8af3	b9122	প্যাটার্ন রিকগনিশন
9a50f2f8a8	71522	কিন্তু, পাল্টা বিবৃতি দিয়ে
9a5156ca60	d136b	রাধা আজ আনন্দ নিরানন্দের দ্বন্দ্বে
9a517b5734	03284	দেশ ছারখার
9a51bfd1df	5354e	নির্বাচনকালীন সরকারের
9a51c99490	b7be9	আর বেশিরভাগ মামলাই
9a51e687cf	e03fc	কোতোয়ালি থানায় নিয়ে যায়
9a51fe1861	870e3	কয়লা কিভাবে তোলা হবে
9a52268518	c7a89	এ-যাত্রার মতো
9a524b6a47	92bb2	অফিস ভাড়া নেয়
9a526cb966	ad050	বিশেষ করে
9a5310d3d7	0696e	ঠিক সাপে-নেউলের মতো
9a536fe068	bcaa8	সোমবার রাত পৌনে ১২টায়
9a53cd402c	06e62	থেকে যায় অপ্রকাশিত
9a54695f82	db181	খোঁজ পেয়েছ কি
9a549c6b42	d1b12	দাবি করেছেন
9a54bd6e3c	f29bf	অটোওলারা তো
9a551e8d69	9351a	ডাক দিয়েছি
9a55634765	92f59	হাজার হাজার হতে পারে
9a556409fe	0e637	কর্তব্যকর্ম, মুক্তির শপথ, উজ্জীবন
9a56191e45	fcefa	আলু ফেলে
9a5669de08	0633a	উহা স্বামীর প্রতি স্ত্রীর
9a5706c325	1cb75	একটি সেনা ক্যাম্পে
9a577d0f68	4fd66	পাতিত করলেও
9a57e70194	7b132	ধরা প’ড়ে
9a59419ba0	d9081	লোকের হাসি পায় না
9a59df8d6a	c2082	আসলে ডাকার দরকার ছিল না
9a5a1dfce6	12702	যোগাযোগ করতে শুরু করলাম
9a5a37e7d6	bdd05	প্রেসিডিয়ামে ঠাঁই দিয়েছিলেন
9a5a4161f8	29f8c	লাভ কম হলেও
9a5a97853a	2bc73	নানা চিঠি আসতে শুরু করে
9a5a997dba	9065c	৪ বছর আগে
9a5b031fe0	d8c80	আমিও দেখতে গিয়েছিলাম
9a5b06d596	0d4cb	১০ জন মানুষ
9a5b64df83	b8ed8	যুক্তরাষ্ট্র এমন সিদ্ধান্ত নিলো
9a5ba2e35c	d1a48	সমাপ্ত হয়
9a5bb33296	e03ce	এত অবহেলা সরকারের
9a5bc2f46c	adf01	প্রকাশ্যে মেয়র নির্বাচনে বিষয়ে
9a5c0f0fb6	11bd2	জোড়া গোল পেয়েছেন নেইমার
9a5c92cce5	f2097	তারকাঁটা
9a5ca031b7	24f73	পূর্ণ এক্তিয়ার
9a5d43d350	7a227	তাদের বন্ধুত্ব হয়
9a5d9c7a83	35ef3	এ দেশের লোকের
9a5dbe9d3f	c3cb3	কৃষ্ণকে মহাভারত হইতে
9a5de1f237	06e62	এ রপ্তানির সঙ্গে জড়িত
9a5e053067	0895a	মিলে গেলে
9a5e4eb4f5	321b6	শুক্রবারের বিক্ষোভের ডাক দেওয়া হয়
9a5eab36ca	f7a7f	মনোরমা, মায়াবী
9a5ed81d19	24f73	বসিয়া রহিল
9a5f448a11	ce629	টিকিয়ে রাখার জন্য
9a5fe4dc1d	e6752	৮ কাপ হলে
9a5fe6e36e	52578	অঙ্গাঙ্গীভাবে জড়িয়ে গেছে
9a5fe90e60	5354e	বুঝতে পারছিলাম না
9a5fefc05b	92bd8	যাবজ্জীবন কারাদণ্ড
9a60abe2b0	2aecc	রুদ্ধদ্বার মুক্তপ্রাণ ষাটের দশকের
9a60caa2b7	6aac8	১৯৭১ সালে মুক্তিযুদ্ধের সময়কার
9a61306510	60b9d	বাংলা কোরআন
9a61bfa07f	9d46f	গঠনের দাবি করছে
9a61f8c129	2ecf8	তৃতীয় বিশ্বের
9a620c2966	0606d	যশোরের বেনাপোল বাজার থেকে
9a626723c5	8143b	দাবী করতে থাকেন
9a633e6072	9282d	ডাউনলোড করা যাবে
9a6347d0f3	77f82	তত ভালো
9a6383b9b5	491a5	এখনও পাওয়া যায় নি
9a63973958	ce629	সারি সারি চা-বাগান
9a648381b0	21e54	একথাও বলা চলে
9a6484c434	71522	বিভিন্ন রকম সেবা
9a64b9794a	d41be	বিভিন্ন দলের রাজনীতিবিদেরা
9a64c35da5	2556b	খুব সহজেই এই কাজটি
9a64dab173	e2ba2	দ্য ডিসেনডেন্ট-এর জন্য
9a65079bf7	f0f95	বুকের পাঁজর
9a657d38c2	23291	একটু পড়ে তাতে
9a65bd39a8	194f5	ত্রাণ সহায়তা আসার পর
9a65dd54c8	07660	সমগ্র বাংলা
9a66e95652	6973e	কর্মকাণ্ডের সঙ্গে জড়িত
9a67da216e	b8bba	বিশ্বের দুর্লভতম
9a6838f964	28bb3	আদালতের রায়ের মাধ্যমে
9a684970f3	1279e	এখনো ক্যান্সারের কোনো
9a68733ae5	7351e	আর রক্ষা নেই
9a687e1c9a	943de	বাড়তে লাগল
9a68a562da	75f18	স্বল্প আয়তনের
9a68c73be4	809cd	বমিবমি ভাব ও মাথাঘোরার
9a69ea5884	95907	এখনও ভেড়া
9a6a3d84e2	8143b	সেই কন্যা
9a6a40740d	d0c70	তৈরি হয়েছে
9a6a5f44eb	0a7a0	আগে ২০০৭ সালে
9a6a626091	71522	তারা তখন বুঝতে পারেনি
9a6acad678	91b16	অস্ত্রধারী আধিকারিক
9a6ad377c5	d0c70	আটক হয়েছেন
9a6ad57af7	809cd	লোকালয়ে তো এসেছে
9a6b12f336	68ab7	সরঞ্জাম সঙ্কটে ভুগছেন
9a6cfd6483	c5479	পত্রিকাটির পক্ষ থেকে
9a6d0497c8	d136b	স্থায়ী আমানত সংগ্রহ শুরু করে
9a6d280074	4c1eb	একটি কেন্দ্রে ভোটগ্রহণ
9a6d31705b	aa820	কয়েকজন সংসদ সদস্য
9a6d5a2816	5dec6	যুক্তরাষ্ট্র থেকে
9a6e03a288	1a2a1	কারণ সবাই বেশ হুঁশিয়ার
9a6e41bc99	ce180	সমাজের নেতিবাচক দৃষ্টিভঙ্গি
9a6e587d30	8406e	বাংলাদেশের বহুল আলোচিত
9a6ef4b56f	93d3b	ক্রিয়েটিভ টিমের কাজ
9a6f2a0a65	79b06	বিষয়টি কেমন হবে
9a6fd3fea0	d8c80	হাতিয়ার
9a701ab322	6b437	বাংলাদেশের অবস্থান ১৩ নম্বরে
9a704be308	1f974	কবে জন্মগ্রহন ও মৃত্যুবরন করেন
9a70857e92	351dd	বাবা শুনেও শোনেননি
9a70863776	61820	সাধারণ মানুষকে এগিয়ে আসার
9a70b7380a	7ee9b	অস্তিত্ব খুঁজে পাওয়ার পর
9a71478467	7b60a	কখন কখন বেদে
9a71f580c6	9e923	এই মৌসুমে লিগে
9a720793da	cc18a	মডেলিং দিয়ে
9a72586df6	cc9fd	পক্ষে খেলেছিলেন
9a7299c9f1	404ee	চতুর্ধারে আলো
9a72c39b74	cb627	প্রেসিডেন্ট জিন আল-আবেদিন বেন আলির
9a732a9e8f	0d4cb	দেশের বর্তমান সংকট
9a73c537c1	1f974	এরূপ সুমধুর বাঙ্গালা গদ্য
9a73dfe390	baa02	কর্মকর্তাদের সমন্বয়ে
9a74bc4a9a	5d12f	মুম্বাই ইন্ডিয়ান্সের হয়ে
9a751e54f8	58998	অ্যামিটার একটি যন্ত্র
9a75c5aa38	ee4ad	এবং ভোটারদের প্রবেশে
9a75daf8d8	0f047	হেডে জয়সূচক গোলটি করেন
9a7667c98e	f4ba7	এখন ভবিষ্যত নিয়ে দুশ্চিন্তা
9a7677e8b2	9813c	২৩২ রানেই খুলনার
9a76b6ec7e	95907	তাদের প্রতি ৬ মাসে
9a76b84142	6c6bf	কিছু ভাবা হবেনা
9a7705ba1d	4237e	যাওয়ার সময় আবার
9a774fc05e	f2b7d	আর শিক্ষকেরা ইতিমধ্যে
9a778e6afe	536d9	এবারো জায়গা হয়নি
9a77ec9bd7	5cb47	ওঠেন বুচার্ড
9a782f3758	0606d	আত্মসমর্পন করার পর
9a7880a98e	d1b12	কিন্তু র‍্যাবের মহাপরিচালক
9a78a27bcd	e9759	দেশপ্রেমিক শক্তিকে
9a78c06237	4ea73	ড: এ, কে, এম লুতফর রহমান তালুকদার
9a79156b6b	b7be9	এই বিচার-সাপেক্ষে
9a79bd7bc4	d7a68	যেমন ‘সাগরিকা’ সিনেমার
9a7a33088c	ff0fe	কেউ এসবে বাধা দেয়নি
9a7a490f2b	eb179	নিহত আবুল কালাম আজাদ ৫০ সাভার সাবরেজিস্ট্রি এলাকার আব্দুর রশিদের ছেলে।
9a7b06393e	2396d	বিশেষ দল পাঠানো হয়েছে
9a7b1b572b	73629	সেনাবাহিনী রাজনীতি
9a7b39e4bb	9351a	যুদ্ধে আহত করিলে
