2700128fa5	5cb47	ছাত্রছাত্রীদেরকে স্কুল-কলেজের বাইরে
2742ba8580	95907	জহিরুল ইসলাম
2742cfb593	49543	বন্দর ছোট ও মাঝারি
274320e311	98b81	সাঙ্গাকারা
2744586cbc	db735	সমৃদ্ধি, সুস্বাস্থ্য
2744847569	60b9d	সকালে ঘুম থেকে উঠে
27449a8870	8ba2b	আমার প্রেম
2745095322	8cf95	নির্বাহী পরিচালক
274532e900	80539	তারেক রহমানের লিডারশিপের যে
27457f750e	0a87a	আইনস্টাইন
27459b27a8	880ae	বার্সেলোনা তারকা
27462ea0a6	b2a62	এই জনপদে
27469990d1	7e1d5	ইচ্ছা অনিচ্ছাকে
2746a16643	d1b12	সহিংসত ধর্মীয় উগ্রতার বিরুদ্ধে
274742e122	39dd0	অতিষ্ঠ হয়ে কামড়ায়
27475bae4f	194f5	সব ধরনের ফটো
2747679b01	f1ea4	আগুন ধরে গেলে
2747c4b293	46d49	ভালোবাসা একটি পবিত্র বিষয়
2748ddce26	43199	এই খাল দিয়ে
2748f950fd	8cf95	কেউ আর কথা কয় না
274931246c	880ae	মামু হাঁটে
27498bbc72	73629	তাঁর বিরুদ্ধে
27499bfe1a	9c8dd	পুরাণাদি প্রণয়নের পর
2749b5ee70	ef915	অপেক্ষায় ছিলেন তার
2749de2c13	9c8dd	ও আজকে ওর
274a351fa3	e6752	অস্ট্রেলিয়ান জাতীয় দলের হয়ে
274a358014	11bd2	ব্লগার
274a42872c	7d004	তিনি কতটা জনপ্রিয়তা
274a50a007	086dd	৪৪ কোটি ২৯ লাখ টাকা
274a6f9a43	fcefa	এটি উপজেলা পরিষদ নির্বাচন
274af3c038	58998	পোষা বেড়াল নিউটন
274b09be2e	39293	বাংলাদেশের পোশাক খাতে এখন ৪০ লাখ মানুষ কাজ করে।
274b750dd9	e03fc	দেবি কর গো প্রচার
274b8f308a	287bd	অন্য দু জন বন্দুকধারী
274c5fac6f	6da0a	গত এক বছরে এরকম দাঙ্গায়
274c7ef21d	d7a68	ঘাটাল
274cecd8d5	4f2ae	সবজি চাষী
274d5ec2cb	cb627	জানিয়ে দেওয়া হয়
274d7951da	cc18a	পরাজিত করে
274e599d1e	e3f89	আরও তীব্র ভাবে
274e9397c3	f6e55	শেখানো হয়
274ed31baa	f29bf	প্রতিদিনের ধোয়ার ঝক্কি
274ed8cca6	3ec4d	২০০১ সালে রাজধানী ঢাকার
274eda2d7a	4dd57	গড় আয়ু ও সেশনজট বাড়ছে
274f06590d	dec2d	টক দই
274f358a9e	9065c	ফেসবুক ফান
274f55afbe	420df	তারা বিক্রি করেন
2750063aca	29d44	জানিয়েছেন তারা
2750ad73e1	2ad74	রাষ্ট্রপক্ষে মামলাটি পরিচালনা করেন
2750ce566c	5d80e	অস্টিওয়েড নামের
2750d6937d	91ac1	পরিচালিত বহুজাতিক বাহিনীর
2750d74f35	0edef	হইয়া পড়িয়াছি
2750f15f4a	93080	কতটা বিদ্যুৎ পাবে সেটি
275153833d	ee886	নির্বাহী পরিচালক
27522f91d9	7ec1c	শাপলা ফুল
2752570bb8	38ff0	আব্দুর রাজ্জাক
2752dad4b9	65652	জন্মের পূর্বেই
2753592050	bf530	এসব দেশের তরফে
2753a058ca	967fd	সে চিঠি এখন অমূল্য সম্পদ
2754614b91	35ef3	সময়ের বিবর্তনে সেই দিনটি
275476914a	ef4f8	যুবরাজ মাত্র ৩৮ বলে
27548a858c	64092	কৃষকরা
2754e5567b	69d9a	বিকালে তার মৃত্যু হয়
2754fef993	eaa7a	দাঁড় করিয়ে
27553536a0	f600a	চুলোতে গরম হচ্ছিল
27555971f7	1e7c7	সংখ্যাবাচক শব্দ
27556673df	da6f0	অবরোধ দেয়ার জন্য
27558f25ff	430b2	নিজের অধিকার
2755c28bbf	809cd	মুর্শিদাবাদ এবং পশ্চিম মেদিনীপুর
2755c3c694	11bd2	এমন এক শহর
2756b5873d	fb4cb	আদিবাসী তরুণীকে ধর্ষণের ঘটনায়
2756cbf8cb	2d78f	চমৎকার একটি ঘরে
2756ccebc4	0d4cb	জন্ম ২৯ জানুয়ারি, ১৯৫১
275726314b	5b13f	নানা খুঁটিনাটি কথা
275739a719	18a52	শাস্তি দেয়া সম্ভব
2757526bc1	fcc89	স্বামী পরিত্যক্তা শাহনাজ বেগম
27577da535	d2294	বিমলের ঘনিষ্ঠজন
2757ae7f08	7d3e1	কারিনা কাপুর
2757d087ae	66b3c	এবং একদিনের আন্তর্জাতিক ক্রিকেটের
2757f06f76	7b60a	কার্ড জালিয়াতি
2757f3ce92	f1ea4	শারীরিক যন্ত্রণা
2757f52432	c5479	বর্গের তৃতীয় অস্ত্র
27588bf398	ac0df	দীপু মনির একটি বৈঠক করাতে
2758b54c1b	2ac82	সে জাহাজকে মাছের মতো
2759d361f2	4bede	দেশের প্রত্যন্ত এলাকা থেকেও
2759eea1e2	cc18a	বিমান দুর্ঘটনা
275a678bf0	49543	১৯৭১ সালে যুদ্ধ শুরু হওয়ার সময় নিজ গ্রামেরও খুব কম মানুষই তাকে চিনতেন।
275aad0bfe	9b864	মেয়েটা মারা গেল
275aaf632e	07660	তাৎক্ষনিকভাবে রেলওয়ে কর্তৃপক্ষ
275acf9834	d2294	কৈশোর কাটে পাবনার পৈত্রিক বাড়িতে
275b22270d	f2780	গুলি চালায়
275ba2fad3	07660	একটা ব্যবহারিক পদক্ষেপ
275bf99645	42898	ডিসিসির মেয়াদ শেষ হয়
275ce4caa8	7b60a	সবুজ ছায়া
275d28f72e	f1ff2	আয়োজিত হয়
275d7e3e83	68ab7	নতুন নতুন কৌশল
275deed8c4	b8bf0	রাশিয়া এ অভিযোগ
275e14140a	1652d	সখীকে বলিয়াছিলেন
275e20c682	5354e	বুঝতে পারলে ঘটনাটা বল
275e529a46	24aed	ইংরেজী গ্রামার
275e868aa4	0606d	ট্যারিফ স্ট্রাকচারের
275e9a0270	2f547	২ কোটি ১৫ লক্ষ
275e9d9113	ca088	যদিও তারা গোপনীয়তা বজায় রাখেন
275f04d913	d1a48	কাজের মধ্যে এই
275f24a368	0895a	তারাও ওই একই
275f2bf125	f29bf	ঢালাওভাবে অনেককে আটক করা হয়েছে
275fb67fd1	e6203	প্রধান পর্যটনকেন্দ্র
276042531e	bf530	বেশির ভাগই দেখতাম
27607ebde1	92bd8	কঠিন
2761249a77	6e6fa	কয়েকটি কৌশল জানা থাকলে
27612c1c1a	2fc12	প্রেমকে কলুষিত করছে
2761973a86	1e7c7	পিকচার
276197ce0c	2c9c5	আবদুল জাববার
2761b9a4f4	28dfc	সহায়তা করার
2761c33771	49543	ছুটে আসতে থাকে
276218c7ac	ee994	বেকসুর শব
2762670f81	2d98b	কারণ প্রভাও মনে করছেন
2762879a22	8845d	তার গাড়ির দিকে
2762a4fca1	b52ab	সাংবার্ষিক ভিত্তিতে অনুষ্ঠিত
2762c9e313	29bab	প্রণব মুখার্জি হতে যাচ্ছেন ভারতের ১৩তম প্রেসিডেন্ট।
2762f4cc74	2556b	আমি দলের সবার জন্যই
2762fbfc6a	e31e7	রোমান্টিক কমেডিগুলোতে
276321a546	84145	আমরা একটা নতুন ভাষা
276330f167	92bb2	মেয়েদের ওপর
276337e91f	80505	আয়তনের দিক দিয়ে
27638ec0b1	ad2a0	দুই মিনিট পরই
2763bd3543	eb179	১৭২ রান করে
2763dec802	e8dde	অতীতের কোনো ঘটনা
2763fc9ce9	42898	করার কথা রয়েছে
276503d3bd	e3d8b	ইসলামিক ফাউন্ডেশন বাংলাদেশের
27656b1753	ff0fe	অতিনবতারা আবিষ্কৃত হয়
2765c12c33	13b70	চালনা করেনি
2765d77e0c	8c120	ইন্টারনেটে টাকা আয়
2765eb68a2	3fce2	বাংলাহিলি সিএন্ডএফ এজেন্ট অ্যাসোসিয়েশনের
27663a0724	5dec6	মনিটরটি খুলে
2766436287	68ab7	এরপর ক্যাম্পাসে
276686d4b1	14816	হরতাল পালন করতে যাচ্ছে
2766ebacbe	e9589	সেলফিটি বেশ আলোড়ন সৃষ্টি করেছে
276739511f	c3cb3	বিভিন্ন স্থানে
27682ff092	5e80b	ফাইবার অপটিক
2768458cba	3d17c	খটোমটো তত্ত্ব
2768eacf3b	1279e	সন্ন্যাসীর দেওয়া ওষুধের কথা
2769b79564	efc0d	ঋতুপর্ণ ঘোষের মৃত্যুর খবর
2769f0c35d	77f82	নির্মম নির্যাতনের
276a43780f	d1b12	পুলিশ কর্মকর্তা আনোয়ার হোসেন
276a785df4	c6848	দাম ৫০ থেকে ৪৫০ টাকা
276a85fbe2	536d9	মঙ্গলবার নড়াইল যাবেন
276a92c173	43fc0	উদ্বোধনী ক্লাস শুরু হবে
276b5a898c	dfefa	বিচারক উভয় মামলার শুনানি শেষে
276be26d8a	ff1eb	পরবর্তীকালে মধ্যপ্রাচ্যে
276c61af8e	a3a6d	প্রথম টারবাইন থেকে নির্গত
276c9792c0	cb627	যাতায়াতের সুবিধার্থে
276cc578b2	a0277	আখেরাতে যার নেকি বেশি
276ce580b8	6c6bf	দাবাং
276d59875f	7c272	বুলেহ শাহ নামের
276de96613	3ec4d	বীরশ্রেষ্ঠ
276e63cf36	d2faf	দাঁড় করিয়ে জিজ্ঞাস করতাম
276e6f602f	3fae0	অবাধ, নিরপেক্ষ নির্বাচন
276eceb38a	bf530	কুকুরদের মধ্যে
276f32bd8b	13b70	মানুষের কাছে পৌঁছে দিতেই
276fea2aec	e8dde	এবং যেই জড়িত বলে
276ff13eba	2fc12	অনুগ্রহ প্রকাশ করা
27703cac84	03284	কমিয়েছে অনেক
27703fa9bd	b78ec	অনেকে আল কায়দার সাথে
27705aacc5	ce629	লক্ষ্মীপুর সদর হাসপাতালে পাঠিয়েছে
27705f64e1	23b22	বাইরের দেয়াল জুড়ে
277163d163	d1b12	মহাভারতের যে সকল অংশ
277170ecc9	ac904	প্রথমে সীতাকুণ্ড
27717c8768	49543	তাঁর ছবিতে অসম্ভব গতি আছে
27718d061a	767ff	তিনি নিশ্চিত
2771c5f73b	3b1f7	যোগাযোগ ছিল না বা নেই
2772088c84	8edea	তার ক্যারিয়ারে একটি
2772273f7b	5dec6	শরীফ হোসে
2772805584	ab946	গানের কথা হচ্ছে মা
2772da24c0	dae88	কর্তৃপক্ষের তরফ থেকে আজ
2773ad9395	d8c80	রণ-দামাম বাজিয়ে
2773b65eb3	b2a62	সে কথা মমকে
2773c0a0da	ce629	জোর বাতাসের সঙ্গে
2773e171b5	12702	বুঝি মন বসছে
27740e61fe	d9081	নিষ্ঠুর ভঙ্গিতে হেসে বলে
2774226fd2	2d78f	যার মাধ্যমে
277426eef2	91ac1	উপধাতু নামের
277443d735	4237e	একটি পরিবর্তিত রূপ
27744766cb	e2c11	তাজাখবর
2774909a09	7ee9b	একজন স্বনামধন্য
27749d042c	14d25	ওপার বাংলার বিখ্যাত সংগীতকার
2774c036f2	10a9f	ওসি ফরহাদ বলেন
27750fece4	3f493	এসময় আরও উপস্থিত ছিলেন
27753f5f47	520fb	ক্ষমতাও প্রদান করেছে
277577eee7	7b103	মুরিদ শাহীন, রাসেল
277597d619	09f0d	আমার বয়স 24
2776530ba8	35ef3	উনবিংশ শতাব্দীর পোশাকে
2776890117	efc0d	রিপোর্টগুলোর একটিতে বলা হচ্ছে
2776aff6da	2ad74	তাঁর আয়ত্তাধীন
2776b509a9	7898e	যেমন ব্রিটেন এবং আমেরিকায়
2776beebd0	f2b7d	বাহির করা প্রয়োজন
2776fe2565	f1240	নতুন নির্বাচন দেবেন
27772287f3	b52ab	অনেকটা জন গিলগাড ধরনের
2777f1cf0e	32b3e	কয়লা মজুদ রয়েছে
27780c609f	282d3	স্তব্ধ হইয়া চাহিয়া রহিলেন
2778af6c01	2bc73	তুই যদি হুঁশিয়ার না করিস
2778b6e973	948d3	হাতের কাছে আড়শিছড়ি
2778f93d9e	1652d	মোট ১ লাখ ৮১ হাজার টাকা
27799ba177	4c555	প্রায় ২২০ জন যাত্রী নিয়ে
2779b892df	b9122	বাজেট ২০১৪
277a37ab74	52f27	বিশ্বব্যপী জ্বালানি সংকটের কারণে বিদ্যুৎ উৎপাদনের জন্য এখন প্রায় সব দেশই বিকল্প জ্বালানি এবং বিশেষ করে জলবিদ্যুতের দিকে ঝুঁকছে।
277ac9233d	d2294	আগে সক্ষমতার তুলনায়
277b4237e5	a916a	ঘটায় রাতেই ধানমণ্ডি থানায়
277b48a9a2	29d44	কষ্ট পেতে হয়
277b72d98c	68ab7	সিনিয়র নেতাদের গ্রেপ্তার করছেন
277b9eaaac	ad2a0	প্রবৃদ্ধি অর্জিত হবে
277bc804a4	b8ed8	দুজন প্রায়ই
277beeb765	66dcd	সকলেই চক্ষুস্থির
277bf3add2	0c39f	ভেবে দেখুন ত
277c318192	d2294	নরেশ মিত্রের পরিচালনায়
277c7adc3f	24f73	অনেক বেশি হতে পারে
277cbc52f1	47e8d	পুলিশের ভূমিকায়
277e492c94	b7be9	১২ শতাংশ
277ea9234c	5d12f	এরপর তার লাশ
277f15e772	75626	৫ সদস্যের আপিল বেঞ্চ
277fb32e95	e9fa7	গান পরিবেশন করেছেন তিনি
277fdb18c2	a9a58	এমন ঘটনার মুখোমুখি হয়নি
277fe3c93f	f1240	দলে নিয়েছে ঢাকা গ্লাডিয়েটর্স
277ff0cb28	84145	শিক্ষার্থীদের কথা বিবেচনায় নিয়ে
277ff2af33	e3d8b	আমি একটা ভাল বাসা
277fff79b8	4c555	কিসে আটকে গেছেন
27804c2248	2fc12	বাংলাদেশে ১৯৭১ সালে
2780516f00	d2294	এখানেও কি দোলাচল উপস্থিত
2780e6fdb1	0e637	মতিঝিলকে ঘিরে আশে-পাশের রাস্তাগুলোতেও ছিল মানুষের স্রোত।
27816a4840	80be1	খুলনা সদর থানার ওসি
278209a690	1de6c	তাহলে চাকরিতে
27827bc633	3faff	করে বেড়াব
27828b745f	b52ab	২০১০ সালে দুবাইভিত্তিক ব্যবসায়ী সুনন্দার সঙ্গে বিয়ে হয় শশী থারুরের।
2782c2af80	46da4	সেই গুজবগুলো
2782d85ccd	15a75	সে তার বাসায় যায়
27835efff6	8a46d	পানি ভরা বালতি
2784a7a90f	46da4	ভারপ্রাপ্ত চেয়ারম্যানের
27856f2290	0e637	তাকে সবাই বলে মুরাদ কাঙাল
2786445381	71522	কক্সবাজার
