b700475389	5d80e	দ্রুত রান তুলতে গিয়ে
b721682b4a	1e7c6	বলা হয় কাকে
b722c49465	f280a	পাটশিল্প বিকশিত হলেও
b7232fed12	d9ba9	তবে এত শক্তিশালী ঝড় আসছে
b7236775a7	eaa7a	বাড়িটা ও দিকে করল না
b72442ebcd	1f733	অনেক সিট খালি
b7249d25bf	cf82a	উপজেলা প্রেস ক্লাবের সভাপতি
b724ba9aa7	33814	জোলির কোনো মুখপাত্র
b7253b0adf	089ef	অব্যাহত রেখেছে
b725608d85	9351a	সবচেয়ে ছোট বোন ফাতেমা
b7256fe4e8	bdfc1	বর্ণনা করিতে করিতে
b7259e0f59	10a9f	টাকা নিয়ে সটকে পড়ে
b725d9934c	e03fc	নির্বাচনের বিপক্ষে নই
b726ce71a9	5dec6	রনির গ্রেপ্তারে
b727279e44	b78ec	আদালতে হাজির হওয়ার জন্যে
b727581c6a	ce180	দৃঢ় আশাবাদী
b7276d60fb	9e923	১৯৭২ সালে তিনি পিরোজপুরে প্রথম মাহফিল করেন।
b7283681c1	7b60a	পাকিস্তানিদের সঙ্গে
b7284723a1	e9589	এগুলো জব্দ করা হয়েছে
b7284f1690	06e62	কারো সহযোগিতা ছাড়াই
b728861861	e8dde	ড্র করেছে
b72888f06f	ef4f8	শুধু একজনের খাবার
b728d5ab10	ce180	কার্যত নিষিদ্ধ হয়ে যায়
b728df6e0a	239f7	জানালেন মানব পতাকা নির্মাণে
b729182296	cfc65	এবারের পর্বে
b729596cf1	18460	বুকাননের মত ত্রয়োদশ শতাব্দীতে
b729d7781e	404ee	এ ক্ষেত্রে সেতু নির্মাণে
b729f41302	13b6a	এ ভূখণ্ডের মানুষের
b72a5d39c9	5639c	অনেক বেশি অর্থবহ
b72aa5dda7	2909b	শুভ সকাল এসএমএস
b72ac6a6e8	c5479	সেকেন্ড হ্যান্ড গাড়ি
b72b1b9a1c	f1ea4	মনে রেখেছে
b72b5c8474	ef915	বিজ্ঞানী ও সাধকগণ কখনও কখনও
b72bbb9a99	9813c	১৩ ডিসেম্বর ১৯৪৫ সাল
b72c159023	29f8c	নির্বাচিত সরকারের মেয়াদ শেষে
b72cc84606	3fae0	রামলোচনবাবুর
b72d701ba9	b08d0	ব্রাহ্মীলিপি চালু ছিল
b72dbbcf17	9092b	খেলাধুলার সামগ্রী উৎপাদনকারী বিখ্যাত প্রতিষ্ঠান নাইকি ভারতীয় ক্রিকেটার বিরাট কোহলির বিরুদ্ধে মামলা করেছে।
b72e471a6d	2695f	ঠান্ডা
b72e8aa095	a1d4a	বিসিবির যাত্রা শুরু
b72ea8cb78	e2c11	কীভাবে ফেসবুকে
b72eaa29b3	698ff	তার শবযাত্রায়
b72fa3b0cf	d9ba9	২০ কেজি ওজনের
b72fb1bf67	b8bdd	সংলাপ ছিল মূলত
b72ff4d96f	8c120	জয়ের ধারায় ফেরে
b72ff6d286	13b6a	বনসাই
b73050c37b	2fe3c	একুল ওকুল
b73081331c	2aecc	লিরিক-ইলিয়াস সংখ্যার উত্থাপনা
b730cfa519	8143b	গুহার এক কোণে
b730f5d1d5	3fb17	রাসূলুল্লাহ সাল্লাল্লাহু
b730fcff05	809cd	রাজধানীতে গাড়ী প্রবেশে
b7317f131f	c1e30	ঈদের নামাজেও না
b731871616	0606d	এমনকি পার্বত্য চুক্তির
b73225f1d1	f600a	রোমান্স
b732738c48	6973e	কবিতা আবৃত্তি করে
b73276c11f	d1a48	১৪ সেপ্টেম্বর ২০১০ সালের
b7328c53c1	c463d	ব্যবস্থা নেয়া হবে
b732dc3785	6dff5	বেরোতে শুরু করে
b7330c34b4	2de86	উইলিয়াম রাদিচে
b733903456	2aecc	হোটেল ম্যানেজমেন্ট কোর্স
b73458d0a3	967fd	বুধবার সকালে
b735015c22	932bb	বাতিলের দাবি জানিয়েছেন
b73527216e	91dff	২০০৮ সালে এসে
b7352cd932	06527	রাত ৩টার দিকে
b7355e6d9e	1c618	তথ্য প্রদান করবে
b73666ea26	4237e	বিদেশি কর্মী রয়েছেন
b73677781d	d1a48	দীর্ঘ ৩৭ বছর
b7371ac1cb	274ee	চোখদুটো বড় বড়
b7372ecea8	7ed14	মেয়ে বিএ পাশ
b737574042	e6203	গুরুতর আহতও হয়েছিলাম
b737617b5d	0a7a0	অ্যাডিলি পেঙ্গুইনদের
b73793fd82	52578	যা আমাকে পীড়া দেয়
b738c7caa9	a4750	নইলে তো
b7390f5258	3d17c	স্ট্যাটাস
b7394a8f81	2bd99	জাপান, চীন, দক্ষিণ পূর্ব এশিয়া
b73967e613	3bea8	এর পর সময়ের স্রোত
b739b05445	3faff	সময়ের সঙ্গে সঙ্গে
b739c1c91c	f2780	ভারতের হাইকমিশনার
b739d7f0f1	88654	মাইনষের আমানত
b739f8957d	dec2d	বিটলসকে নিয়ে ভক্তদের মধ্যে
b73a09f773	93080	তাই আর
b73a65c304	58998	২০০-৩০০ মানুষ
b73a8fa31e	da6f0	বারবার মাঠ ছেড়ে
b73aab103e	f2780	দৈনিক মানবজমিন পত্রিকা
b73b8e2c0e	8b859	ভাষাতে কথা বলেন
b73bbc9111	256f5	যা বহুল পঠিত
b73bf865d9	7351e	সবকিছু সমঝোতার মাধ্যমে হোক
b73c002b09	ee852	আমি ছয় মাস অপেক্ষা করেছি
b73c3c15ea	d2355	সিন্ধের লারকানায়
b73c665d3d	fb4cb	জাভাস্ক্রিপ্ট বইটি
b73c6d1a61	06e62	নিজ বাড়িতে ইন্তেকাল করেন
b73c7cc4e6	fbb81	জাতীয় জাদুঘরের সামনে
b73d3ac1d5	717bb	সরাসরি হাসপাতাল থেকে আসেন
b73dd44041	e8dde	হাতের নাগালে
b73e52afe7	404ee	সীতাকুণ্ড
b73e8c37e2	92bb2	ফুটবল একাডেমীর কাজ
b73eb53cdb	c41d8	কোটি কোটি টাকার
b73ef70841	2fc12	বদল করলেন
b73f2ddf89	2d78f	জ্যোতির্বিজ্ঞানীরা বিভিন্ন
b73fbad417	18a52	শিক্ষাদান শুরু করে
b740f2b740	80518	এ মেলায় প্রতি বৎসর আসে
b740fc4121	ff970	একজন বিদেশি ক্রেতাকে
b741900c10	11bd2	ক্লিওপেট্রা
b741df69f6	e2c11	আজ তৃতীয় দিনে
b741e43f13	b4ea7	প্রথমে একটি পাত্রে
b741fb8a4a	10a9f	অগ্নিঝরা মার্চে নিজেদের মাঠে
b74232d979	f2780	শুরু হয় দুই দিক থেকে
b7423ec559	6973e	৩ জন নিহত হয়েছেন
b7426920d9	c749e	যমুনার চরে
b74321f54f	404ee	মি. খানের
b7435a8dd7	fbb81	সেই গ্রামদেশে
b743826211	29f8c	৫ কোটি টাকার ১০০টি সোনার বার
b743c21bba	410fa	বেশ একটু হাসিল
b7443efc9d	1cb75	কিছু ভারতীয় সঙ্গীদের
b745c8f3e6	c11b1	আটটিতে ভোট হতে পারেনি
b745d55fe3	239f7	স্বপ্নদোষ কেন হয়
b7460580d3	9642e	জেনেটিক প্লাজায়
b746351e46	0744c	বেশ কয়েকটি ঘটনা
b746a73d46	a0277	কালো তালিকায় ফেলাইতে চান নাকি
b746a8dba9	0d4cb	তাঁর এক বিশেষ অবদান
b746ce4904	68549	কম্বল বাজার মনে হতে পারে
b746e8bf72	9065c	মহান বিজয় দিবস
b7471dc76a	e9fa7	বড় মামা বোকা চোখে
b7473cc9bc	15a75	মোটর সাইকেলটি নিয়ে পালিয়ে যায়
b7476dd45e	43fc0	কোনো ধরনের
b748396835	06527	তিনি মতামত দিয়েছেন
b7488c3657	6aac8	ক্রিয়াশীল কিছু
b748b21ebf	7351e	যখন উঠি
b748d8ec02	b00ba	সেদিকে নজর দিতে হবে
b748e062f0	66b3c	উপযুক্ত কন্যা হইব
b74967eede	520fb	কর্তব্যরত নির্বাহী ম্যাজিষ্ট্রেট
b749bc015f	92bd8	দীনবন্ধুর এই অলৌকিক সমাজজ্ঞতা
b749bf81f2	d7a68	নাইজেরিয়া
b74a547c84	43b04	কেউই রেহাই পাবে না
b74ab5ba01	68ab7	অবসর গবেষণায়
b74acd2bad	3f493	সুতরাং অতি কষ্ট
b74ad89be9	2ecf8	প্রাচীন ভারতবর্ষীয়দিগের চিন্তাদোষ নহে
b74ae15957	351dd	রক্তে রঞ্জিত হয়ে আছে
b74b1154a0	16a17	কর্মসূচি দিয়েছেন
b74b266bd7	bdfc1	স্বাধীনতার দাবী করিয়া থাকেন
b74b73296f	f1240	আর যারা
b74b8065d2	2fc12	স্থানীয়রা এসে
b74b8437e9	75936	বেলা পৌনে ১১টায়
b74c00e2cd	1b359	ইহা জমিদারের জন্য
b74cc427ae	976b1	এ যাত্রায় অনেকেই
b74d149f7a	57d54	আসাদুজ্জামান কোহিনুর জানান
b74d17c8e3	31f09	হাইকোর্টের অবকাশ-কালীন বেঞ্চ
b74d7c975b	91ac1	ভাবতে পারেন
b74e8bcd3f	9092b	থানা হেফাজতে রয়েছে
b74ea20374	72649	আমি দাঁড়াইবামাত্র
b74ee0135b	b78ec	ব্যাপক গণহত্যা শুরু করে
b74f03cf7e	880ae	ছোটখাটো ব্লক
b74f0491f7	3fc9d	তিনি কোনো পদে নেই
b750199548	b8fe1	পর্তুগাল
b7505411d4	68ab7	তাতেই কাবু হয়ে পড়ল সে
b7506980cc	0d4cb	ঘরছাড়া হয়েছে
b751110ff2	bbb22	জ্ঞান ফিরে এলে বলেছে
b7513dfa8d	24f73	এই দেশের সমাজ-কাঠামোর মধ্যে
b7516a961e	f143a	মুশফিকুর রহিমের দাম উঠে
b751c06970	46da4	আন্তঃজেলা ভলিবলের চূড়ান্ত পর্ব
b7520283b3	b8bf0	হজ্বে যাওয়ার টেকা
b7522f0af8	c7705	নিহতদের পরিচয়
b7528e3fb0	f4ba7	শ্রীমঙ্গলে আগত
b752ac8aca	dae88	পণ্যটি ভালো চলবে
b753327777	16e96	আমি ক্ষান্ত হইব
b753547a88	11915	কেন বেছে নেয়া হলো
b753907a43	d82d9	কারাগার
b7539c4eaa	58998	অপেক্ষা করছেন তিনি
b753badba7	7351e	মানে ৩১ অক্টোবর রাতে
b753e01bd4	44322	সড়কে জড়ো হয়ে
b7545b4f89	0d4cb	বন্ধুদের কাছ থেকে
b75465160b	d5f7b	গালেও টোল পড়ে
b75470cea1	47e8d	ভালবাস মনে মনে
b754b141ca	9065c	শত শত শ্রমিকের
b754f04f83	18a52	প্রতিদিনই যান
b7559eb5b2	03284	এ রকম একটি গ্রন্থ
b756546ebc	3ec4d	৯১৭ লিটার পানি
b756c4ca4e	69d9a	১৫টি কাপড়ের ব্যাগে
b756df876c	239f7	ধ্বংসের আগে যেখানে ছিল
b75712bef3	13b70	গভীর রাত পর্যন্ত
b757195ca3	9092b	বৈঠকে দলের কজন খেলোয়াড়ের
b7571bc3f2	e9759	১ মিনিটের মধ্যেই
b757207563	cb842	কাকড়াছড়ি গ্রামে
b757552d0f	9351a	চেয়ারপারসনের গুলশানের রাজনৈতিক কার্যালয়ে
b7578784da	e50f1	হামলার আগে
b7582214f0	1e7c7	আগামী ৮ ডিসেম্বর দুলুর
b7589b4c41	9351a	হরতাল প্রত্যাহারের
b758f04940	a7c6f	রহস্যময় মনে হওয়ার কারণ
b75900db58	7aed9	আমি নিচে রয়েছি জানলুম না
b7599261ed	f600a	আর্ন্তজাতিক নদী
b759f3444d	ad98d	সংখ্যাগুরু সম্প্রদায় হিসেবে
b75ae96040	82926	নতুন পৃথিবীর সৃষ্টি
b75af69fb8	98b81	কিভাবে একটি ব্রোকার বেছে নিবেন
b75b507bd8	0633a	আন্দোলন শুরুর পর থেকে
b75bf2afa5	2fc12	সেই কন্যা সন্তানই
b75c42af25	16877	বিশ্বকাপ বল ব্রাজুকার
b75c7b13ad	4a918	আন্দোলনের কর্মীদের কাছে
b75cb336f5	1e7c7	ঢেঙ্গি ছেড়ি
b75d1b7278	2aecc	এখানে এসে শঙ্কর
b75d5f0665	3d17c	মোরগের মাংসে ভালো করে
b75db14db2	ff0fe	জসীমউদ্দীন
b75def24da	ac0df	গুজরাট দাঙ্গায়
b75e24c750	06527	উচ্চ রেমিট্যান্স
b75e2c2e0f	aab0f	যে রাজনৈতিক অচলাবস্থা
b75e365889	cfc65	পুড়ে গেছে
b75eb347e4	f89d7	উত্তর প্রজন্মের কবি
b75f68bb74	baa02	সেগুলি আধুনিক হইল না
b75f6eb224	65652	গুণ-মাহাত্ম্যের যে বৈশিষ্ট্য
b75f87d344	f1ff2	চলতি সপ্তাহেই এই ওষুধের
b75fd792bd	93bf3	এ বিষয়টিকে
b75ff39143	239f7	বোর্ড প্রেসিডেন্ট
b76025d193	7a227	গ্রেপ্তার দুজনের বিরুদ্ধে
b760b07c96	7b132	মুন্সীগঞ্জ
b760bde10e	bbb22	জহীরকে দেখতে পান তিনি
b760e3d46a	bfac7	চেষ্টা চালাচ্ছেন শিল্পীরা
b760e71a0b	65e30	ঔপন্যাসিক জীবনের
b760f0b7c9	eb179	যোগাযোগের মাধ্যম হিসেবে
b7617fe843	8c07c	রাজনীতি চলছে
b762161ce8	39293	সড়কপথ বন্ধ হয়ে যাওয়ায়
b763282ea2	4c555	দুই ক্ষেত্রেই
b76346d7f9	5354e	আবার কেউ উপস্থিত হয়ে
b7639c7283	ce629	একই সঙ্গে নাগরিক
b763a24056	2fc12	চলচ্চিত্রটি প্রখ্যাত
b7641000ac	08458	তবে আছে
b7651b1abb	91223	অজানা থাকে
b765a51d5f	ca831	ঈদ উল ফিতরের আগে
b766cbda8d	4f450	৫০ লক্ষ ডলার বাজেটের
b767074c2f	dfefa	কমে আসার পর
b7673c44be	ef915	জিজ্ঞেস করেননি তিনি
b7678d6f6d	d5213	আর জাতিসংঘ মহাসচিব
b767d78147	f4ba7	অবশ্য পাওয়া গেল
b767f3db50	b8ed8	বিদ্যুৎ উৎপাদন
b768275004	520fb	একটা ছবির সামনে
b76881e9e6	f7a7f	চিৎকার করে বললেন
b7689224ef	43fc0	এই নিষেধাজ্ঞা হবে
b76893b348	25696	প্রধান উপকরণ গজল
b7689ac6cc	7ee9b	ভারত অংশের হিলির
b768d40e9d	f837a	দেশের আইন মান্য করার
b768e67b1c	d1a48	বড় একটি ওড়না
b76914cfc3	fcefa	১০ম শিক্ষক নিবন্ধন
b7696bd690	66dcd	এক হাজারের বেশি মানুষ
b769a6c971	f6e55	তোমাদেরি হারাধন
b769a90399	06736	মাথুর গানে কাঁদিয়া বিভোর হন
b76a277bc5	f1240	কল্পনাও করেনি এতকাল
b76a478c17	03284	ভোটারদের নিরুৎসাহিত করার জন্য
b76a529d42	fd880	যাত্রীরা মনে করেন
b76abb8203	cf82a	কাছে টানে না
b76af7777e	32c77	মাতুব্বরকে নিয়ে
b76afdbbb0	bfac7	তাহা বুঝিল
b76b6a9aa9	92f59	রাত কাটাচ্ছি
b76b7566b8	5b13f	তাদের পরিবারে
b76b7eb68c	bd576	গত ১০ বছর ধরে
b76b7ecbfb	d1b12	সাহিত্য, সংগীত, চিত্রকলাসহ
b76d1a1042	d9081	পুলিশ ধারণা করছে
b76d1dfdfb	0c39f	কাপ্তাই জলবিদ্যুৎ প্রকল্প
b76d501920	5dec6	লেখার এক পর্যায়ে বলা হয়
b76dc42252	cb842	মুসলমান মেয়েকেই
b76e017a33	8b859	ইউএএইচসিআর এর জরুরি অনুদান প্রার্থনায়
b76e20ed3a	256f5	উৎপাদন ও ব্যবসা-বাণিজ্যে
b76ed575e1	23291	মিনমিন করি
b76f30bb1e	e43d4	পরবর্তীতে আমরা দু’জন
b76f499622	43199	গত২৭ জানুয়ারি
b76f6ef4a6	b52ab	কাঠবাদাম
b76f944d69	b78ec	ব্যারিকেড ভেঙ্গে মোর্চার নেতাকর্মীরা
b76f95dcd3	7df87	তার সঙ্গে প্রথম আলো
b76fe4c6a1	b8bba	ভীষণ দুশ্চিন্তায় আছেন তিনি
b7702d5fcb	38d3a	আবেগ দিয়ে
b770fc6725	a0277	অবৈধভাবে বাধা দেয়ায়
b771277e8e	0744c	ডিম্বানু
b7713396b7	23291	বলেন মোশাররাফ হোসাইন
b77172e8b6	d2294	চারজন শিক্ষক নিয়ে
b771c816fa	18a52	মালিকরা দায়ী
b77258ce09	e31e7	আটকদের টেকনাফ থানায়
b772865ad2	a06a1	হাত তুলতে
b772d8be95	ac904	অ্যাসাইনমেন্ট নিয়ে
b7732799ad	2396d	সাড়ে আটশোর মতো শ্রমিক
b773281c0e	7ee9b	তার বাসায়
b77346fe66	42898	পেয়েছেন ২৬ হাজার ২৫৯ ভোট
b77370dc0d	8845d	নির্দিষ্ট কমিটির সমন্বয়
b773afc3cd	e6e48	বাইরে ঝুমঝুম করে
b7743cf24f	089ef	বিদেশযাত্রা শুভ
b7748f6ab1	e31e7	বর্তমান চ্যাম্পিয়ন
b774911098	7027a	যথেষ্ট পুরস্কার পেয়ে থাকেন
b774e100f1	5cb47	নূতন খবর
b774facbfa	8edea	ও একুশে পদকসহ
b77505eae2	e3f89	একটা স্বপ্ন
b77517a8ec	05901	তারা সীমান্তের আরো কাছে
b77648633d	ab946	জাতীয় নারী ক্রিকেট দল
b77669dde8	c7705	শেষ হয়
b7776e96d1	cc18a	প্রায় পাঁচ কিলোমিটার এলাকা
b77801ef56	91dff	এই উত্তরাধিকারের প্রশ্নেই
b77831d207	0633a	আবার বিএসএফের হাতে
b778637390	9282d	সময়ের বিবর্তনে সেই দিনটি
b778737ff9	29f8c	বেরোতে শুরু করে
b7789bea14	77f82	চর্মরোগ
b778e6bbc7	388c9	নির্ভর করছে বলে
b779b0cc6a	5dd61	যেটা বায়ুকে একেবারে বিনামূল্যে
b779d79a4b	b7be9	হয়ে পড়লেন একান্ত নিঃসঙ্গ
b77b0ae930	06e62	দেশভাগের পরের বছর
b77b93f672	ac904	একই সময়ের তুলনায়
b77c5574d3	43199	গুণী এই অভিনেত্রীর স্মরণে
b77c917611	b9122	এক অর্বুদ মানে
b77d613842	33aef	ও সন্ত্রাসী দুখু বাহিনীর
b77db0c614	5e80b	অর্থমন্ত্রী আবুল মাল আবদুল মুহিত বিশ্ব ব্যাংকের শর্ত নিয়ে কোন বক্তব্য দিতে রাজি হননি।
b77de423a7	06e62	অ্যাস্টেরিক্সের কাহিনীগুলো
b77df53b95	1e7c7	অনুষ্ঠিতব্য এ নির্বাচনে
b77e256db8	355c1	প্রতিযোগিতার চূড়ান্ত পর্ব নিয়ে
b77ebaae97	a0277	পুরুষবাদীরা ইতিহাস-পুরাণের ভারি ভক্ত
b77ec7bf2e	f143a	শনিবার বৃষ্টির মধ্যে
b77ed6da39	2695f	অপর রিমান্ডপ্রাপ্তরা হলেন
b77f1f2efc	56508	কমনওয়েলথ এবং যুক্তরাষ্ট্র
b77f56ef78	46da4	এই মিশ্রণে আলতো হাতে
b77fa511cf	b5fdc	সমর্থন দিয়েছেন পুতিন
b77ffa455c	2396d	ঢাকার উত্তরা এলাকা থেকে
b7805b12ae	9b864	তাফহিমুল কোরআন
b780cf21b1	73629	সই করেছেন স্বরাষ্ট্রমন্ত্রী
b781af9ac6	5a61c	কাছে টানে না
b782c20cf9	59c73	উপোস করব
b78341b9e8	29089	বর্তমান নিখিল-ভারত
b7835983ec	520fb	খুলনা বেতারের
b7847b137b	9d46f	ছেলেদের মুখে দাড়ি
b784a3fef1	d711f	বেলপাতা দিবি না কাউরে
b785dc8da4	66dcd	আসরে রয়েছে
b785e5861f	7ec1c	জানিয়েছেন তথ্যমন্ত্রী
b7863ef083	4a67e	পশ্চিমা ক্রেতারা বিকল্প ভাবতে
b78649c04d	351dd	২০১১ সালে ‘ফ্ল্যাশব্যাক’ নাটকের মাধ্যমে
b786fa9675	4f450	সমস্যায় রয়েছেন
b788721e06	4e900	মি. মোরসির নেতৃত্বাধীন মুসলিম ব্রাদারহুড বলছে নিহতের সংখ্যা দু'হাজার ছাড়িয়ে যাবে।
b788b42fa8	42898	হোমস চেঁচিয়ে উঠল
b78a2a06b3	3bb15	কথা ছিল কোহলির
b78a611291	dfefa	নানা সংগঠনের ব্যানারে
b78a954681	616ec	রাত পৌনে দুটোর দিকে
b78a9bfc56	b00ba	মারধরের অভিযোগে করা মামলাটি
b78b706dbb	b618b	মাখন ও চিনি একসঙ্গে মিশিয়ে
b78d112386	2b883	বিরোধী দলের আন্দোলন
b78da58c17	11de3	এক সপ্তাহ পর
b78e04f36a	c6848	দূরে থাক
b78e3d63ca	e754e	শামসুজ্জামান খান।
b78e9635dc	dfefa	বাড়ি ফিরতে পারবেন বলে
b78f24933a	b08d0	ইসির একজন নিজস্ব কর্মকর্তার ওপর
b78f2f86bc	0f047	এদেশের সাধারণ মানুষ
b791f1e8cd	fdcba	তিনি এই খেলনা বাঘের
b79232645b	f837a	পরিদর্শনের সময়
b792598ca4	a0277	অর্থাৎ সাড়ে তিন বছরে
b792848bde	11915	তিনি এক সের চালের জন্য
