b600d7fda5	7297e	ভাঙা জুতার বাড়ি খায়
b60a65b969	12702	জন্ম নেয়ার জন্য
b60ad0b873	5354e	নুয়ান প্রদীপ হাস্যকরভাবে
b60aded03c	121bd	তার বোনকে উত্ত্যক্ত করে আসছিল
b60b4cd5df	9fa90	শঙ্কর পথে এসে দাঁড়াল
b60b591d3c	68ab7	রাশিয়ার অংশে
b60b71bdba	404ee	ভাদিয়ালির নাসিরউদ্দিন ছিলো
b60c20efef	91223	তাই আসতে হলো
b60cd88070	b00ba	আদালতে পেশ করা হবে
b60cdd5142	d1b12	১৯৫৮ আর ১৯৫৯ সালে
b60d05f82d	80be1	পাঠকদিগকে আর কষ্ট দিবার
b60d4558be	5354e	ইউরোপ থেকে ১৩ টি দেশ এবার চূড়ান্ত পর্বে বিশ্বকাপ খেলতে যাচ্ছে।
b60d468874	ff1eb	চিৎকার করবেন
b60d5ab67d	db735	লেজ দিয়ে যতটুকু পারা যায়
b60d6d2c71	d41be	পুরো এক বছর
b60db5337e	d136b	তাঁহার বিরুদ্ধে
b60ec5f78d	2ad74	ধার করছি
b60f1f4b5e	1de6c	ফতুল্লায় এশিয়া কাপের
b60f269320	5354e	পান্ডু অভিনীত
b6102ebed9	16e96	আধুনিক সাহিত্য
b610829c0c	29bab	আঠারো বছরের কম
b610c12286	09f0d	নিজের পরিবার
b6115a3ded	d2d71	একিউজডকে মেন্টালি ডিস্টার্ব করার জন্য
b6115e3f83	d711f	তার ছোটবেলার
b611820493	ea8fa	আমি অষ্ট্রেলিয়ার নাগরিক
b612fa52e3	0895a	এমন কোনও অস্ত্র
b6130bd260	121bd	আমরা প্রতিবাদ জানাব
b6136d3985	256f5	এত লোকের ভিড় হয় না
b613aa4431	2f547	ঘেরাও করা হবে
b613faac20	c11b1	২০০৪ সালের জানুয়ারি মাসে
b61409b90e	6e6fa	ঝড় ওঠে
b6140a316a	274ee	তাদেরকে সাহায্য করতে পেরে
b614185505	e6752	সবার উপর মানুষ সত্য
b6142b6df9	17ca1	কাউন্সিলশীপ চেয়ে নির্বাচন কমিশনার
b6142e5642	8edea	অচিন্ত্যকুমারের শৈশব
b6144f44c7	ced74	মতামত, মন্তব্য প্রদান করেন
b614f9b4aa	92bb2	আবুল হোসেন
b6153e3c12	693cb	ভোর থেকেই পায়ে হেঁটে
b6155c1f5d	3bea8	একটিতে ১০ বছরের কারাদণ্ড দেয়া হয়
b615894811	8845d	সংঘটিত এ অগ্নিকাণ্ডে
b615de09f8	28dfc	সুবল দুত্তোরি বলিয়া
b616636cce	91dff	তাঁর পিতা
b6166b80e7	53396	তার কোলের বাচ্চাটিকে
b6167b5aca	2840e	এক সময়ের দরিদ্র এলাকা
b616cbde7a	ef915	তবে ঐ সকল ভাষ্য ও টীকা
b61736af00	b618b	প্রতিনিয়ত বলি হচ্ছি
b617765406	af81d	সভায় আমি ঠায় বসে থাকতাম
b6181f6e4d	5b13f	গ্রামগুলোতে সহিংসতা
b618c476a9	9f25e	ফেব্রুয়ারির ১৪ তারিখ
b6192bf81e	ce180	তিনি রাবারের স্বাদ পান
b6195b3008	2c9c5	এই সেবা দেয়া হবে
b619dc0833	9282d	রেজ্জাক মোল্লাদের অভাব নেই
b61a5acab1	52f27	করে আর এই ধরনের
b61a6874b7	49543	মাপতে গিয়ে
b61a90549c	1a2a1	পিডিপির চেয়ারম্যান
b61b18b7b0	85430	দাবি জানায়
b61b5224ff	2bc73	করার জন্য খুলে দেয়া হয়
b61b57bb05	e43d4	নন্দিনীর মা বলে
b61b73596a	2d78f	কিছুটা দূরে
b61bf02146	287bd	মুক্তিযুদ্ধের পক্ষে
b61c07deef	b4ea7	রুটিন
b61cd2de91	274ee	ওই দিন মুক্তি পেল
b61d85d986	509f6	আমার বাবা মাই
b61d96a344	dafb6	সম্পাদনের মাধ্যমে
b61dee5676	e55de	পেট্রাপোল চেকপোস্টে
b61e641a26	1b359	রিজভী বলেন
b61e9de8a2	e43d4	সেজন্যে সেখানে
b61ef659bd	06ea3	পররাষ্ট্র মন্ত্রণালয়ের
b61f14f091	5dd61	এই বন থেকে
b61f64a4f0	616ec	দুর্নীতি মামলা
b61f68154e	ea5be	সম্পর্ক রাখতে না চাওয়ায়
b61f816549	256f5	নিবিড় ও সংবেদী
b61fc9ebce	93bf3	উল্লেখ্য, সংরক্ষিত বনাঞ্চল
b61fdc15aa	92bb2	৩৮ জনের দেহ
b61feebb55	5dd61	আমার অনেক বড়
b620b1d3f3	f1ea4	বঙ্গবন্ধু হত্যাকাণ্ডের পর
b620eb35e9	a3a6d	ঢাকা কলেজ
b622480d87	9fa90	দীর্ঘসময় তদন্তের পর
b622d3a5ec	b00ba	যত যত্ন করা যায়
b622d97bd3	16e96	নারীর গলায়
b622fbfe1b	d2d71	এইসব নিবেদিতপ্রাণ সংস্কৃতিকর্মীদের জন্য
b623131551	68ab7	মুখ বুজে থাকা
b6232067aa	e9759	জানলেও গুরুত্ব দেয়নি
b62325593d	5dec6	পরিচয় ছিল না
b6234b966d	b5fdc	খুন করা হয়েছে
b6234ecdcd	4e900	লন্ডনে ২০১২ সালের
b6235b6c8f	ca088	সহজেই বাড়ানো যেতে পারে
b623a00a11	57d54	নিজে বোরখা পরে আসছে
b623b4eb1d	ad98d	মজার বিষয়
b624a1bbf0	13b6a	পরিচিত নাস্তিকবৃন্দ
b624c68288	6e6fa	সাহারা প্রধান সুব্রত
b624cf24fa	3ec4d	ভোটগ্রহণ স্থগিত রাখা হয়
b624dc5570	54cdd	নির্দলীয় তত্ত্বাবধায়ক সরকারের
b625846f91	903fa	গোয়েন্দাদের দ্বিধাদ্বন্দ্বে ফেলেছে
b625baa25b	730c3	স্বামী-সন্তান নিয়ে
b625d572d8	5b13f	আমাদের হাতে
b625de8a6d	f9dfb	বন মানুষ
b6266186ba	f600a	তাদের ছেলে-মেয়েদের
b62689f0fc	967fd	তবে পুরো ব্যাপারটাই
b626d4cc50	809cd	পরদিন ভাইকে
b627bce296	75626	যথাসময়ে জানানো হবে বলেও
b6280d2309	93bf3	বুটিক ব্যবসা হতে পারে
b628524016	b00ba	খারাপ ছেলেদের সংস্পর্শ
b628f4bbe9	0606d	আপনাদের রক্ষায়
b62938bd1f	a3a6d	প্রথমার্ধে রেডরা
b6295b88e2	bf530	ঘুরে বেড়াচ্ছে ঘরময়
b629d8f415	b78ec	কালকের ম্যাচের দিকে
b629ea6392	3ccf1	তাহা অমূল্য
b62a2c83d0	68ab7	অন্য গ্রন্থগুলির মধ্যে
b62bacfde8	323f1	৭৬ বছর আগে এই দিনে
b62beecb98	29f8c	রানা প্লাজার ধ্বংসস্তূপ থেকে
b62c89ac87	282d3	স্বীকারোক্তিমূলক জবানবন্দী দেন
b62cefbe9a	c173f	ড. জাকির নায়েক
b62d16d047	7d004	বিভিন্ন ধরনের চুলের জন্য
b62df43107	92bb2	মোবাইল ব্যাংকিংয়ের মাধ্যমে
b62e1436a9	2fc12	বাটার বা তেল ১/৩ কাপ
b62e3701b4	49d63	মাস্টার্স পরীক্ষার রুটিন
b62e64a0eb	e7230	চিকিৎসা বিশেষজ্ঞদের মতে
b62e670bbd	ee7b2	জনগণের ভোট ছাড়া
b62ef078f8	db181	পুলিশ ও স্থানীয়রা জানান
b62f86d744	11915	ঘটনায় তিনজনকে
b62f8a62ee	aab0f	ঘোষণা আসেই
b62fd71c4a	7351e	পরিবারের সদস্যদের নিয়ে
b62ffdd57a	69d9a	তিনি দুইটি দায়িত্ব
b630031a32	5b13f	এ পর্যন্ত
b6300ed9cc	3f875	সেই উত্তরীয় পরে
b630b033a5	cc9fd	নাস্তিক
b630e5181a	93080	আঘাত করা
b63116bddc	ab946	তিনি একটি
b6312d8ef2	75936	মেডিকেল বিশ্ববিদ্যালয় কর্তৃপক্ষের কাছে
b6313e8551	c41d8	থাকসিন চিনাওয়াত
b6319e0298	7df87	আমি মনিবের বাড়ির মেয়ে
b631c730d7	6b437	শামসুজ্জামান রিন্টু নামে
b632318e40	fb4cb	মৃত আগ্নেয়গিরি আছে
b632a80d3b	ac0df	শিষ্য-শাবকদের চোখে
b632dd25f3	323f1	মাছরাঙা টেলিভিশন
b632e4f0a1	da6f0	পাঁচ মিনিট অনেক সময়
b63302b231	10a9f	জ্ঞান করিয়াছেন
b63331d3fe	a06a1	বিশ্ব এখনো মনে করে
b63356aa14	d136b	সরকারের প্রতি
b633884519	aab0f	আবার ছিলেন শঙ্করের গুরু
b633b75944	d8c80	আপনারও বয়স হয়েছে
b633b90503	7b60a	সেই ঘটনার নিরপেক্ষ বিশ্লেষণ
b633ffc171	194f5	মাঝিরঘাট কি
b634e64506	1c618	বর্ণনা করিতে করিতে
b634fe0e1b	b8ed8	বসে থাকবে
b635403e17	f658d	শেষে অনেক যুক্তির পর
b6356736db	bbb22	উৎপাদন বাড়ার সাথে সাথে দাম কিছুটা বাড়াটা স্বাভাবিক।
b6357102cf	75f18	অংশীদার করেছেন দেখে
b6368ec194	2d78f	তোমাকে কান দেওয়া হয়েছে দুটো
b6369ea555	943de	পৃথিবীর উপরিভাগে
b636d44e42	56508	প্রিয় ফুলতরুগণ
b6371693a0	809cd	শিরোনাম দেয়া হয়
b63750483b	e8dde	তফসিল ঘোষণার পর
b63763abf9	3fae0	তিনি তো চ্যালেঞ্জ করেছিলেন
b638289a76	2695f	নন্দিনী পারেনি
b638e6e6a9	08458	ব্যবস্থা না নেয়া পর্যন্ত
b639a23a9d	5e80b	ল্যাণ্ড করব
b639e1b13a	7027a	কয়েকটি দ্বীপের মালিকানা নিয়ে
b63b2c6b41	8cf95	বাঘের দুধ আশা করার বোকামো
b63b8b1d33	e03ce	বিভিন্ন কর্মকাণ্ডের অভিযোগে
b63b928e38	509f6	সন্ত্রাসী হামলার ঘটনা ঘটে
b63bd8e423	4dd57	এ রায়কে কেন্দ্র করে
b63cf35ea4	ad050	কাজেই ফায়ারিং ছাড়া
b63d0ba7af	aa820	এখনো উত্তাল অবস্থা
b63d1291f1	38ff0	সরকার গঠনের
b63d540dd7	153c9	মা দাঁতে দাঁত পিষে বলেন
b63d738783	4e900	মানতে হতে পারে বলে
b63df58b33	32c77	উড়ে বেড়ায় খোলা বাতাসে
b63e76220b	6c6bf	আছি আমরা
b63f31cdd9	2fe3c	স্যামসাং স্মার্ট হোম দিয়ে
b63fdd3179	7ec1c	কটা বালির পাহাড়
b63ff33470	0d4cb	কী ব্যাপার
b640017e5a	09b32	চলে এলো আর কি
b64008e78b	10a9f	ত্রাণ বিতরণও করেন
b640494034	509f6	১টি মন্তব্য বাকিটুকু পড়ুন
b6408c4fa9	cb842	এবং সেন্ট মার্টিনসে
b640cabe26	f4ba7	আইহো, ভারতের
b640d638ad	d2355	ব্যবহারের জন্য নয়
b6413ff958	75626	বাংলা ভাষা ও সাহিত্যের উপর বিশেষ
b6415de581	e6752	কে এম রিয়াজ মোরশেদ বলেন
b641f401ba	92f59	জাবেদ আলী বলেছেন
b6420ac056	db181	যে কোনও জায়গায় যে কোনও সময়
b642546f2d	cc18a	এবং জাতীয়
b643205979	7d133	পছন্দের জায়গা থাকা উচিৎ
b64339f8bc	2f547	ডিএসইএক্স সূচক প্রায়
b643c357e9	aabe7	মো. সাখাওয়াত হোসেন
b6440bcb40	ce180	এখন ভয় পাচ্ছে না
b6440ffa5d	13b70	তাঁহার রাজ্য হস্তগত করিয়া
b64465d451	e3d8b	জনপ্রিয় নাম আদোনিস
b6446709b8	bcaa8	সামান্য মরমি ফকির
b644870197	2d78f	একদল সন্ত্রাসী
b6448fd207	1cb75	কোনো বিষয়েই মিল নেই
b644c24368	0f047	তানভীরুল ইসলামসহ
b644e0329a	80539	তার মনে পড়ত না
b644e762be	321b6	যাইতে হইলে
b6450d0c89	a4750	সিনেমা তাদের জীবনের
b6450f721b	0895a	অনেক নরম হয়েছে
b645bc755b	d2294	সহিংসতার মাত্রা
b645d931a3	ff1eb	সেটা যে তারই ঢোল
b645de9155	442b7	বাকি ১১ জনের কারো বাড়ি
b646495dc0	06e62	আরিফ তিন বন্ধুকে নিয়ে
b646dc7ba6	8632b	দু-একটি কথা
b647063003	c11b1	যদি ভারত সেচ প্রকল্পের জন্য
b647bb4ebb	39dd0	পীর
b64821e6b1	cb627	পুরস্কারটি গ্রহণ করেন তিনি
b64841f78d	932bb	তারা অনেক এগিয়ে
b6486f337c	f837a	অতিবৃষ্টি অরণ্যের মধ্যে
b6488f6851	c4973	ময়নাতদন্ত ছাড়াই
b648f7b7db	10a9f	আমার মত রোদে পোড়া
b64957d5a9	b8bdd	কাজ করবেন তিনি
b64a16665e	d9817	পশ্চিমা উপনিবেশ ছিল না
b64a8b6329	46d49	আনন্দের নিশ্চিত সূচক
b64a8cfb50	f1ea4	বুঝা যায় না
b64ae10179	f9dfb	পুরুষের এক শিকার
b64b17bb5b	a7c6f	মিতা নূর
b64b1b176d	8cf95	অন্তর্দহন ইঞ্জিনের সর্বাধিক
b64b9275dc	b7be9	অনেক ম্যাচিউরড অবস্থা থেকে
b64c783988	37e17	ইংরেজি সাহিত্যে
b64c89ef96	93bf3	সমতা ফেরায় অতিথিরা
b64c8c53fe	778c0	বড়বাবুকে খাতির করিয়া
b64cb3fd18	2d78f	সালমানের রাগের খবর
b64ce1f10a	68549	উপজেলার আনন্দপুর ইউনিয়নের
b64cf70a7c	0a87a	এক বাংলাদেশিকে
b64dbfc949	a3a6d	নিজস্ব ব্যবস্থাপনায়
b64dcf8377	29f8c	তখন ছিলেন
b64df2ee3c	f600a	পুলিশ গুলি চালায়
b64ed0fec8	35ef3	টি টোয়েন্টি বিশ্বকাপের
b64ed904bf	730c3	কিছুদিন যেতে না যেতেই
b64f98c435	2fc12	মডেলিং ও উপস্থাপনাও করেছেন
b6501d13c8	60b9d	পুরুষের প্রয়োজনেই
b6502a4756	ff970	ওপরের দিকেই থাকবে
b6508fd5b6	0a87a	সতীশের মন
b651091e15	ff1eb	সরকারি প্রতিনিধিদলের সঙ্গে
b65135c01a	dfefa	আলোর উৎসবের
b651ded97a	3d17c	সূর্যোদয়ের পরপরই
b651e2bf81	388c9	গরুর খামার
b652198349	7351e	মূল পাচারকারী
b652992a6f	2909b	পরনের লুঙ্গি খুলে
b6531c8c7d	32c77	মাত্র ১৪.২ ওভারে
b6531f2174	49543	পথ-শিশুকেই দেখা যায়
b653a38f00	b8ed8	হিলি সীমান্ত
b653e06433	60b9d	৬০০০ টাকার মধ্যে
b6541f3f5a	80505	এটি আবার মঞ্চে এসেছে
b654263257	6fb36	এই শর্তেই তাদেরকে
b654385d18	1a2a1	সম্রাট, ফারজানা রিক্তা
b65488e4c9	3faff	যা ভূমিতে ব্যবহৃত
b654c64e76	7b103	অন্য দলগুলো পেয়েছিল
b654fbeaad	4ea73	মার্কিন এই কৃষ্ণ সুন্দরী
b65536e047	9092b	নিরাপত্তার বিষয়টিকে
b656b12cdf	7027a	দখলকারীরা কোনো দাবিও জানায়নি
b656d2cd46	d82d9	অ্যাথেন্সে ফিরে না এসে
b656d3bd4d	22096	দক্ষিণ সুদানে অব্যাহত লড়াইয়ে ব্যাপক প্রাণহানির খবরের পর জাতিসংঘ সেখানে হাজার হাজার অতিরিক্ত শান্তিরক্ষী পাঠানোর প্রস্তুতি নিচ্ছে।
b656ec8a5d	7b900	পরিবর্তন আনতে হবে
b6573b7ed0	1c618	না,খাই না
b657d68fb7	9351a	বহু ধর্মমত ও উপধর্মমত
b6584a8ede	ff970	তিনি সর্বশেষ নবী
b65866526a	355c1	ব্যবহৃত জাবুলানি বলটি
b658ce555b	967fd	জার্মানি ১০ হাজার
b65956713d	33814	পোশাক শ্রমিকরা আরো বলেন
b6598aaea8	b8bdd	এইচএনএম শফিকুর রহমানকে ফের
b65a0a7065	31f2a	এম জি রামচন্দ্রনের ওপর
b65a19c6e5	2bc73	সামঞ্জস্যপূর্ণ আচরণবিধি
b65aa47c9f	948d3	কুড়িগ্রাম
b65bb713d5	ee7b2	কিন্তু অলিখিতভাবে
b65bef884a	16877	প্রথমবারের মত সিলেট জেলায়
b65c1fa48f	7f71c	শ্রেয় মনে করবে
b65c5e84b9	420df	টেনিদা
b65c87bf34	4bd2c	এলেন অপু বিশ্বাস
b65cf90e00	f1ea4	এমন দুই বোনের সাথে
b65d5bba91	287bd	জন্মের পূর্বেই
b65d9d5bc5	88654	পাকিস্তান সেনাবাহিনীর সঙ্গে
b65dcf97f1	7b103	উপন্যাস লেখার কথা ভাবেন
b65dfd9b66	49543	দ্রুত সমাধানের বিষয়ে
b65e311783	323f1	একপর্যায়ে
b65f042c85	7ed14	ও নোট বইয়ে
b65f2db337	e68af	যারা সেদিন কাজ হারিয়েছেন
b65f504009	6ee5f	দ্বিতীয় স্থানে থেকে
b65f7a70e5	4ea73	বাঙালী মুসলমান সম্বন্ধে
b65ff30b8a	6a35e	ঘটেনি
b6600ac3eb	e8dde	জন্ম হলো কেন
b6603f0d1b	91dff	পরামর্শ দিতে পারবেন
b660a26007	194f5	খুলে দেয়া হয়েছে
b660b43126	88654	এটা অনুধাবন করা
b660f09478	f2b7d	বিএনপি চেয়ারপারসনের
b6611af15f	0f047	রূপকুশলী আফরোজা পারভিন
b6611b96fc	cb1aa	পাকিস্তানের সম্পর্ক
b6618d7dc0	d1b12	বই বিক্রি হবে
b661f182ed	f2097	ওয়েলব্যাকের ব্যর্থতায়
b662115444	967fd	সংলাপ দরকার
b66262744c	93bf3	একজন বিখ্যাত
b6633081fc	315e9	তারা পাকিস্তানে
b6635e080e	9092b	সুগভীর কালচেতনা
b6637a35d9	7b900	এবং সরকারের পতনের লক্ষ্যেই
b663d913fd	c41d8	সত্যের অনুরাগে
b663da17e8	4bede	কিছু অর্থ দেয়া হয়েছিল
b663e18c1b	ee994	সে কারণে এতে
b663e3f519	54e68	শাস্ত্রে এ কথা লিখিত আছে
b663efeec0	e6d83	পদার্থবিজ্ঞান অলিম্পিয়াড এ
b6640cc5a1	5e80b	ঠিকঠাক চলছে
b6643888fd	d0c70	তালেবানের পতনের পর থেকে
b66442f5fa	c3cca	ওই স্থানগুলোর আশপাশে
b6645f72af	2b883	অতিরিক্ত স্বর্ণ ও রৌপ্য নয়
b664720998	2fc12	রনি নামের এক কিশোর
b664748312	7f2ef	বাণগড়ের দানপত্রে
b664b585e0	dae88	মঞ্চে আনে আশির দশকে
b6652dbf87	24aed	সিদ্ধান্ত নেন
b66561e09f	3c897	নিয়োগ প্রক্রিয়া
b66574b07f	420df	রুলস অব অরিজিন
b6658674bc	086dd	অন্য কিছু ভারতবর্ষ গ্রহণ করেনি
b665ffadd1	4fd66	তাদের চিঠিতে জানিয়েছে
b66645c9ab	323f1	নতুন এ সেট
b6666fd1bc	c7705	পরবর্তীতে ৩ মার্চ
b6667e4d40	2bd99	ফাউল করে লাল কার্ড দেখেন
b666b6dd9a	e03ce	আন্তর্জাতিক এ সহায়তা
b666c11b5a	58998	জমে খুব
b66986fb00	a1201	ভরম সব ভাগা
b6698c7aba	91ac1	সিসিটিভির ব্যবহার বাড়ছে
b669a341cf	967fd	বাইরের দিক ছাড়া
b669a40bf4	0e637	ম্যাকলিন থেকে
b66a3432a1	10a9f	প্রস্তাবের সমন্বয়ে
b66a3eda30	77f82	ইউক্রেইন রাশিয়াকে এ হুঁশিয়ারি দিল
b66a795f82	a9a58	জাফরউল্লাহ খান বলেছেন
b66a86364f	93bf3	সকালে পত্রিকায় খবর
b66b63703f	ad69a	মিসরের সেনাপ্রধান
b66ba9ec52	80505	কবি সুকান্ত ভট্টাচার্যের
b66bb7ffd7	5d12f	তামিম ইকবাল, নাসির হোসেন
b66bc06b1c	d71a3	তার স্বামী তানভীর
b66bce0521	d8c80	এই অঞ্চলটি
b66bd5eed4	577fa	লোক জড়ো হয়ে গেল প্রচুর
b66bead48b	3faff	আরো কয়েকজনের সাথে
b66c54c3a6	6aac8	ভুল গিয়েছেন
b66cceb86b	0c39f	সাত খুনের ঘটনায়
b66cebe0e7	6c17f	পৌঁছেছেন কর্মকর্তারা
b66d30f728	3b1f7	তা সে জানে না
b66d985866	0a7a0	চালিয়ে যাওয়ার
b66da6e12e	24f73	বিদ্যুৎ আমদানি ও রপ্তানির জন্য
b66dd52ef9	5b13f	চলে আসার
b66e0d478e	4c1eb	মেয়েরা পছন্দ করে
b66e0dd7b8	75f18	মাটির সঙ্গে
b66e2e1794	0bace	তখন আমার মধ্যে
b66e400147	3f493	এ ব্যাপারে চাপ দিচ্ছে
b66e4bb871	a8710	বিশেষ অভিযান চালিয়ে
b66e6f6f82	aa820	চিকন রক্তনালী দিয়ে
b66eb87840	6973e	শ্রী কৃষ্ণ সুন্দর
b66ef74a78	1b359	রানা প্লাজা বিধ্বস্ত হবার
b66f30ef83	c6848	অথচ এই খাসজমিতে
b66f4b1522	d9b11	অন্যদিকে আন্তর্জাতিক বাজারে
b66f8498fe	91b16	পরে গ্রেপ্তার এড়াতে
b66f9326d3	91ac1	গতিবিধি জানার জন্য
b66fadb9bd	509f6	ওদের ঘরদোর
b66fcc2372	880ae	তাদের অজাচার-ভীতি
b670a37824	f2780	বাংলা লাভ লেটার
b671ca426f	195f7	তবে এই অভিযোগ
b6720a5162	06ea3	সেটিকে গোলে
b672123d45	282d3	যে কোনো কিছুর বিনিময়ে
b67258c64d	fcefa	একটি ঐতিহাসিক মধ্যযুগীয় মন্দির
b6728c14af	5d80e	চাররকম কথা বলিল
b672afc334	cb1aa	এক অক্ষৌহিণী সেনা মরিল!
b672e41509	d5213	কী কারও প্রেমে পড়েছ নাকি
b672f3c60a	ac904	অর্থনীতিবিদ সালমান জায়েদী
b67395050e	23291	জিজ্ঞাসাবাদ শুরু করেন
b673e40f66	d9ba9	পৃথিবীতে টোটেমই
b673f38880	153c9	ঢাকা বিশ্ববিদ্যালয় থেকে
b673f62acf	7351e	নির্বাচিত হন মোদি
b674654d4c	6aac8	ওই পুলিশ কর্মকর্তা
b674ac38de	e6e48	২-০ গোলে হারায় সাউদাম্পটনকে
b674c0260c	e55de	কিভাবে ধনী হওয়া যায়
b674d99e82	b78ec	দুধেও ফরমালিন
b674efe78b	0f047	পাঠানো হয়
b674fe3899	e8dde	নলছিটি থানার ওসি
b6757200b0	7c272	তালিকায় অন্তর্ভুক্ত করে
b6759a387e	44322	এদিকে দেশটির রাষ্ট্রীয় বার্তা সংস্থা জানাচ্ছে সোমবার পর্যন্ত তাহরির স্কয়ার বন্ধ থাকবে।
b675adb57f	1e7c7	খাবার জোটাতে জোটাতে
b675c8ca8e	b9a81	কালো বা ফর্সা
b675d2e00d	39dd0	কেজিতে৫ টাকা বেড়েছে
b67690e02a	6b437	একই সঙ্গে ১৪ জনকে
b677a97559	37d7e	যাওয়ার কথা থাকলেও
b67859fe97	274ee	ড্রামার বিল ওয়ার্ড
b6786d230d	7b132	সংগঠনগুলো হচ্ছে
b6796ef586	66b3c	মনোনয়নপত্র প্রত্যাহারের
b679706af7	72649	সংরক্ষণ করতে হয়
b679836ddf	404ee	তখন তিনি ব্রেইল
b6799c8ded	eecdd	ভেবেচিন্তে এসেছি কি
b679b6bf60	eb179	পোশাক ব্রান্ডগুলোকে
b679ebf5c7	65e30	সিদ্ধান্ত নিল বিএসএফ
b67a6e5e19	ee886	গোস্বা করিও না
b67a9639c8	ca831	প্রায় ৬ পয়েন্ট কমে
b67b221da4	7898e	দুটো-তিনটে স্রোতশাখা
b67b231171	2c9c5	সরকারকেই বহন করতে হবে
b67b2a1efa	7ed14	চিকিৎসাধীন কনস্টেবল সিদ্ধার্থের
b67b2b5340	a46e2	হাজার হাজার লোক
b67b95b79d	ee852	আয়োজিত সংবাদ সম্মেলনে
b67b968f82	9d7bf	স্বাগত জানিয়ে তিনি বলেছেন
b67bb0af6e	e6e48	সব ক্ষেত্রে অবাধ মেলামেশাই নারীর প্রতি সহিংসতার মূল কারণ নয়।
b67bbdefe7	a1201	তিন ব্যক্তিকে আটক করেছে
b67c31dacc	3faff	খুলনার পাখি বেগম
b67c5f6493	75936	সে কারণেও আমাদের ধারণা
b67cdda1bf	57d54	কিছু সংশোধনীর জন্য
b67d0e6719	948d3	মোট ৭টি বিভাগ গঠন করা হয়
b67d4d614b	323f1	তিনটি লাশ
b67d78800f	8a46d	ভর করেছিল
b67d7b2dcd	577fa	৫৯.৮৪% লোকের
b67f227320	dafb6	বয়স্ক হননি
b67f8ecab1	a1201	আর সে বাঁচবে না
b67ff0b315	c4973	তাকে এক ঝলক দেখার জন্য
b67ffd3c3f	a8710	সাঈদ খোকনকে সাংগঠনিক সম্পাদক
b68060f750	f0f95	তাও বেশ ঘোষণা করে দেন
b680682d51	6c17f	কঙ্গো ও গণপ্রজাতন্ত্রী কঙ্গোতে
b680cf6878	5a61c	গ্রীষ্মের দুপুর
b68120c883	932bb	মঞ্চে থাকা কর্মকর্তারা
b6813173c8	b5fdc	সামনে রেখে
b681418c47	5639c	ছবির চারিদিকে
b681c26356	1e7c6	আমার কেবল ইচ্ছে জাগে
b6827554c7	13b70	আহসান হাবীবের কবিতা
b6827aaeed	cb842	চট্টগ্রাম বিশ্ববিদ্যালয়ের এক শিক্ষক
b682e27dc4	bd576	কিন্তু পালক নেয়া
b682f138ef	c0d65	রোববার বেলা
b683237857	404ee	এবার বিশ্ববিদ্যালয়ের ছাত্রছাত্রীদের নয়
b6849a4a32	b8bba	প্রাথমিক বিদ্যালয় কেন্দ্রে
