620035900a	3fce2	সবগুলো কবরই
6219419125	7a227	ময়দা প্রায় ২ কাপ
6219700af9	3d17c	দলের অধিনায়ক মুশফিকুর রহিম জানান
62198fe6ae	d9817	প্রেমের কাহিনী
621a01e994	e03fc	দেখানোর ব্যবস্থা করেছে
621a68ff5d	d5213	তারা তাকে রক্তাক্ত অবস্থায়
621a89c7b3	f280a	যথেষ্ট নয়
621b482ec7	b7be9	সংসদ সদস্যের হাত-পা
621b824834	520fb	আহসান হাবীব তিরিশোত্তর কাব্যধারায়
621c99ee3d	274ee	বিশদ বর্ণনা রয়েছে
621c9bc122	32c77	যারা পৃথিবীর
621cae15ab	bcaa8	অবস্থিত মার্শেস ফ্রি মিউজিয়ামে
621cdc227c	88654	জাহিদুল, রুহুল আমিন
621e0eedf6	bd576	আইসন এখন অবস্থান করছে
621e184b6c	ee852	নির্বাচকদের প্রতিদান দিয়েছেন
621e2b8757	d7a68	তাতে তো ওজন কমারই কথা
621e2dd588	acb88	কিংবা বিতর্কের
621e6bf426	11bd2	দিল্লি থেকে
621e9c3e34	b618b	গঠন করা হবে
621f285bc6	fb4cb	বা শীর্ষ পর্যায়ের নেতাদের
621fc2a333	db735	তা করা হয়েছে
621ff1c701	c7a89	রাসায়নিক অস্ত্রের মজুত
62200d930a	e2f12	ঘুরে-ফিরে আসে
6220384e2c	2de86	১৯০২ এর জুন মাসে
6220a6a7b6	2fc12	কিন্তু এখন থেকে
6220c204ff	c7a89	লিপিবদ্ধ করছি
622178dc5d	767ff	তহবিলের কিয়দাংশই
6222290493	3ec4d	মুখে লাগান
622244c250	dae88	এই খবর শোনার পর
6222690943	01e91	প্রথম ধাপে ৪০টি জেলার
62227a3bc5	80539	র‌্যাব কেন তার বাসায়
62228979c9	cd3ac	যে সংগঠনটি মুসলমানদের বিরুদ্ধে
622292710e	9c8dd	১ জুলাই থেকে
6223476e62	f280a	খাবার
62235533f3	ce629	একাত্তর টিভিসহ
622445b319	6aac8	টি-২০তে তারা
622480f40e	f2780	তার আগেই
6224821044	72649	পাণ্ডবদিগের প্রপিতামহী
6224fa803d	f600a	সেখানে একটু নিচু বেড়া ছিল
62251a737d	c173f	তদন্ত কমিশন গঠন করার জন্য
6225398c94	98b81	তাদের ছাড় দেয়া হবে না
6225408900	2840e	ঐশীকে গাজীপুরের
62256d045f	e9759	অর্থকষ্ট আর অন্নকষ্টে চলছে রানা প্লাজায় নিহত শ্রমিকদের পরিবারের জীবন।
6225d55a0f	24aed	গেরিলা শব্দটির
6225f051d4	6b437	কাউন্সিলরদের নাম
6226366189	80518	নক্ষত্রমন্ডলের একটি
6226db1d7e	3c897	তাতে আপনারা সাড়া দেননি
6226e09602	c4973	যে-ভাঙন উৎস
62273a8d2e	33aef	এবং ধারাবাহিকতা বজায় থাকলেই
6227853f67	ab946	পানি ও জ্বালানি
6227b21de8	4dd57	তিনি কিছু জ্বলতে দেখেছেন
62281773f3	31f09	অপহরণের ঘটনায়
622869ec63	d9b11	খাদ্য গ্রহণ
62287babca	76329	কক্সবাজারে বেসরকারি উদ্যোগে
62287e2570	ab946	ভাবতে হবে
6228b5c9f8	91ac1	দ্বীপের অধিবাসীর সংখ্যাও
6228b9e017	ce629	লাশ উদ্ধারের স্থান
622932fbb3	d9817	ধরাতে পেরেছেন
622979f077	42898	দুইজন নিহত হয়েছে বলে
6229a5b052	616ec	পরিস্থিতি স্বাভাবিক করে
6229d525e9	b8ed8	মিয়ানমার থেকে অবৈধভাবে আসা রোহিঙ্গারা কক্সবাজার জেলা জুড়েই ছড়িয়ে রয়েছে।
6229f8c9e0	bc81e	প্রকৃত কারণ
622aa0bb02	80518	ইউক্রেনের নতুন নেতৃত্বকে
622b0e36e6	29d44	ফোনটা ছেড়ে দিল
622b993c5a	cb627	একাডেমিক সিনেটের
622bdc0403	c41d8	আইনশৃঙ্খলা রক্ষাকারী বাহিনী গুম হওয়া হাজারের বেশি লোককে উদ্ধার করেছে।
622c8c5777	e9589	তাঁহার জাতি নির্ণয় হয় না
622cbc5529	e6752	দিনাজপুর,নীলফামারী
622cd5a140	6fb36	টর্চের আলো
622d01c8ff	3bb15	পদত্যাগ করেছেন
622d05cc5b	16877	মোহাম্মদপুরে আবিদ আজাদের বাড়ি থেকে সোজা চলে গেলাম খিলগাঁওয়ে ফজল ভাইয়ের বাড়িতে।
622dd3aa51	195f7	স্থূলতা অনুপস্থিত
622e413d5d	05901	গত রোববার একটি মামলায়
622e9188f2	fb4cb	হঠাৎ সেটির
622ef77462	2d98b	রবিউল হক, এনামুল হক
622f352e75	2f547	১৬টি পুড়ে যায়
622f67663b	1e7c7	ইউরোয় চ্যাম্পিয়ন
62300a7a59	29bab	বিভিন্ন গোত্রের হলেও
62303b22c9	2bc73	ওদিকে নারায়ণগঞ্জে নিহত
62307a516b	f837a	নির্বাচনের ফলাফল চূড়ান্ত হয়ে যায়
623082fefc	536d9	তারা ভারি আশ্চর্যরকমের
6230e732ae	4c555	এক বছর হতে যাচ্ছে
623205360e	b8bba	গতকাল বুধবার থেকে
62327f0964	a46e2	তার পাখার শোঁ-শোঁ শব্দ
62329a3c2b	7df87	হয়ে যায় আমাদের
623366dbd4	5354e	জন্মগ্রহণ করেন তিনি
623378045c	c6848	দোলনা
6233b79f50	92bb2	টেবিলে কোথাও
6233d3fb04	7d133	আমি দেখতে আসব না
62340d1c71	92f59	তাঁরা দুজনে একসঙ্গে
6234b976ce	f6e55	ইহা ঠিক বুঝা গেল না
6234f55ea6	d82d9	ইউক্রেনিয়ানদের উপর
6234f72915	a7c6f	বাবা মায়ের উচিত
62350be942	11de3	তবে তা ভেবে দেখব
6235215f5b	3c897	কৃষ্ণ ভূমণ্ডলে
62352b542a	c41d8	পুরো উদ্যমে শুরু করা যায়নি
62357b6640	22096	জয়পুরহাটের জামালগঞ্জ বাজারের
62359e3c1e	c5479	লোকসভায় বিরোধী আসনে
6235c2bfa6	06527	এই সরকার
6235fe3459	f280a	এখন ব্যাপক অভিযান চলছে বলে
623643c287	c6848	জানার চেষ্টা করবে
6236841611	83c53	বা দুঃখ নিরসনের উপায়
6236eec84c	29bab	বরকত বুক পাতে
62374905e7	6ab59	১৯৪০ সালে
62376a00aa	b9a81	বিদায় নিয়েই
62379ece97	aa820	তার রুচির
6237c5a3f7	aa820	সুরা ফাতেহা
6237d5cc19	ac0df	মডেল করে
62380bbfb1	4fc91	ম্যানেজার
6238a35ea1	195f7	কালির দাগ পড়ল
6238e895f5	520fb	কর্মস্থলে অনুপস্থিত থাকার কারণে
623924aa1b	778c0	তাঁর লোকদের
6239b117a6	01e91	সকালের প্রভাব থাকে
6239da1909	f0f95	কীভাবে সমস্যার জালে জড়ালেন
6239e35a43	a0277	জড়ো হয়েছিলেন যে বিশ্বাসীরা
623a1259e5	46da4	তার কোনো অবৈধ সম্পর্ক নেই
623a23b7b3	05901	নির্মাণ করতে পারেনি
623a8a0655	7d3e1	আইহো, ভারতের
623abace83	0b7ca	আমার মতো দূরদূরান্ত থেকে
623ac203e2	4a67e	সংশ্লিষ্টরা জানিয়েছেন
623b2bd7f4	d9b11	খানিকটা অপ্রত্যাশিত ছিল
623b53c1b5	7a227	দ্বিতীয় ধাপের
623b7f731c	84145	এমন দৃশ্যের অবতারনা হয়
623bd324a4	14d25	আনার চেষ্টা শুরু করেন
623c1ef570	6b437	সাহিত্যে অভ্যর্থনা জানাইয়াছেন
623d08ea7c	4bd2c	বাংলাদেশ ব্যাংকের
623d156379	ab946	আমাদের পিলে উঠল চমকে
623d15c9a6	17dcd	প্রথম সরকারিভাবে
623d95fd5d	31f09	দু-তিন গ্লাস
623d9f70b1	b5fdc	সঙ্গী বলিল
623dd9d544	4c555	ধরা পড়ে যাওয়ার
623df95c95	c8f7f	শ্রমিকদের ন্যায্য মজুরি
623e003aca	dba43	আবেদনটি গ্রহণ না করলে
623e2fd58c	6a35e	ফিটনেস
623e326d62	616ec	বাড়িতে ছিল
623e6afe17	b78ec	আন্তরিক ও নিরবচ্ছিন্ন প্রয়াস
623efb877b	0744c	এবং গভীর মনোযোগ দিয়ে
623f907b75	92bb2	অথবা দুই দলের
623f9cc492	d1a48	পুতিন-ওবামা ফোনালাপ
6240da14fe	0b7ca	ওয়াইফাই
6241035c2c	1f974	শকুন্তলাও মায়ের গল্পে
624135bb68	52578	মার্কেজের মৃত্যুতে
62422e92ba	ce775	পরস্পরের মধ্যে অঙ্গাঙ্গি সম্পর্ক
6242bd7184	d41be	পুরুষদের ক্ষেত্রে ৬৪%
62431427b9	2ecf8	বঙ্গবন্ধু সেতু হয়ে
624337d5e0	64092	অতীত সাফল্য ব্যর্থতার অভিজ্ঞতা
62437c2cfc	24f73	আদাও রসুনবাটাদিয়ে
6243d4b025	1b359	অবশেষে ভেঙেই গেলো
62441dbdcd	d3e06	সর্বাগ্রে দেশের স্বার্থকে
624472266e	09f0d	দু’একটি উপন্যাস
62458066e8	16a17	লিপি জানান
624589442a	66b3c	যেন শেষ হতে চলেছে
62459d8577	3d17c	ভাবা হলেও
6245eeb854	46d49	বালিপাড়া ইউনিয়ন পরিষদের চেয়ারম্যান
62460ed664	a916a	পুতুল জীবন
6246753e5a	e9fa7	যা রচিত হয়েছে
6246a68bc0	f2097	একজন পুলিশ অফিসারের
6246bf2a75	c8f7f	এটা ভেবেই সব পার্টিই
624798d59f	2396d	নন্দরামকে তার পরিবারেরপক্ষ থেকে
6247a4e4a4	4a67e	এ আসনে ভোট পড়ে
6247cbfa1e	9f25e	আরেকটি মহাসমাবেশের ডাক দিয়েছে
6247df78f3	f600a	১৪ গোল করা এই ফরোয়ার্ড
6248266876	7351e	সমস্যা হবে
62483d0f6d	c5dc8	দাবি জানান
6248984583	5dec6	৩৪ জন পলাতক আসামির বিরুদ্ধে
6248af68f1	9e923	অতএব পর দিনের জোয়ারের
62496100cd	c6848	রাহুল থেকে
6249ad6b9d	f0f95	প্রিয়াংকা চোপড়ার সঙ্গে
624a22119a	69d9a	বাংলা সাহিত্য
624a5aafba	1b359	বিল গেটস
624a60cc89	7351e	অপলক তিনজোড়া চোখ
624a90895a	4c555	এতে পরিস্কারভাবে ভোক্তাদের অধিকারের
624b000742	61820	যা দেখছি আসলে তা নয়
624b133982	e2ba2	অবস্থিত তারার
624b13ad57	388c9	জনসাধারণের রসপিপাসা
624b7de702	7b103	আখেরি মোনাজাত উপলক্ষে
624b81ab93	a916a	এধরনের ঘটনা আর ঘটেনি
624b9db7e5	e55de	সেটা নিয়ে আটককারীদের
624bb57000	2fe3c	স্বাস্থ্য ও পরিবার কল্যাণ প্রতিমন্ত্রী মজিবুর রহমান ফকির বলছেন, কর্মী সংকটের বিষয়টি তারা সমাধানের চেষ্টা করছেন।
624bc09c8d	32b3e	সেখান থেকেই
624c90e801	bfac7	নিখোঁজ মালয়েশিয়ান বিমানের সন্ধানে
624d189e02	e6d83	একইসঙ্গে চন্দন কুমার সরকার
624efc74ae	3bb15	সরল না হলে
624f78515d	bbb22	মহানায়িকাকে নিয়ে
624fc1bd17	d41be	পালিয়ে ভারতে অবস্থান নিয়েছে
624fdf51be	6ab59	চলার মাঝেই
6250b2cf6c	c2082	যে কর বৃদ্ধি করবে
6251125662	d7a68	নাগার্জুনের মধ্যমক
625147dfb4	b00ba	অনাকাঙ্ক্ষিত আচরণে
625175469f	778c0	যারা আত্মহত্যা করেছে
62524c0adf	7297e	এক খণ্ড আগুনের ফুলকি
625253b66d	ff970	তুমি তো
6252a1de12	31f2a	গান করছি
625318110c	4fd66	এসএনসি’র এই সিদ্ধান্তকে
625373a579	1de6c	একদল যাযাবর পশুপালক
62537b9b87	a1d4a	কেইলিন কোনো
625386a8d0	a43b5	নিজের মায়ের পেটের
625455f593	256f5	কিন্তু নদীতে ছিল কুমির
62546d127d	1f733	অবৈধ করা হবে না
6254805a5e	ad2a0	জনগণকে বিভ্রান্ত করার জন্য
6254e9549b	c0d65	সামরিক বিমান ও হেলিকপ্টার
62554bd92f	903fa	যতদিন মুসলমান রাজাদের হাতে ছিল
625563a5a4	f2097	চালুর পর এ পর্যন্ত
62559dc4f3	49543	ব্যস্ত আছি
6255d69e10	420df	উঠবে মাথায়, ঘাড়ে
6256048bc2	95f83	তিথি
6256ad3419	6d129	ফলে কৃষির উৎপাদন
6257189087	11915	অভিযানের পরিকল্পনা
625726ebe6	32998	যার আওতাতেই এগুলো করা হচ্ছে
62575d127a	ee4ad	একজন স্থপতি
6257b56b22	c41d8	বোমা তৈরি করছিল
62581c2a90	61820	করে তোলেন
6258567408	d9817	সে এক হাতে
62588782fb	274ee	স্যার অ্যালেকজান্ডার ফ্লেমি
6258ccbde3	80539	মঙ্গলবার বিএনএস
6258dd09fc	cd3ac	উচ্চতার উপরও
6258e1e53d	a1d4a	সমর্থকদের ইস্তফা পত্র দেখিয়ে
625988e363	da6f0	ইয়াসমীন হকের সঙ্গে
6259b5b29a	bcaa8	তবে প্রথম গোলের দেখা পেতে
6259b893d5	c5dc8	বলা হয় সক্রেটিসকে
625b4560fc	dec2d	গ্রাসাচ্ছাদনের চিন্তা
625b7ec938	61820	শ্রমিকদের বসে বসে
625bedf263	baa02	গত রোববার সুপ্রিম কোর্ট থেকে
625c14d465	c2082	তাঁর লেখাপড়া
625c41b343	616ec	লোকদের সঙ্গে মিলে মিশে
625c61352f	43fc0	কেহ বাহির হইতে
625c8c39ff	870e3	সে প্রথম যেদিন
625d04c800	46da4	প্রদর্শনীটি চলবে
625d0c8a6b	85430	যা পড়ি তার মানে
625d471da3	4fc91	এক ধ্যানে চার তলার
625d616fd6	3ec4d	বাংলাদেশ ব্যাংক সূত্রে
625d78d4cb	590d0	কী করে অত দীর্ঘ সময়
625d7f3fe7	1f974	প্রাইমারি ও সেকেন্ডারি অস্টিওপোরোসিস
625d83ef38	c3cca	আল্লাহ নিশ্চয় খারাপ লোক
625db5db16	39dd0	বৌ
625dd91c87	e9589	সংবিধানের ৭২ অনুচ্ছেদের
625e20682c	68549	নতুন মাত্রা পায়
625e9e501f	256f5	টেস্ট ক্রিকেটে
625ef28887	37d7e	মঙ্গলগ্রহেই থেকে যাবেন
625efb73dd	c0965	বিষয়-ভিত্তিক অনুষ্ঠান করেছি
625f491bbf	06ea3	ইয়াবা খেলে মনোত্তেজনা আসে
625f90c871	b78ec	এখন বিরোধী দলকে তো
62604d7671	ce180	তিনি বলেছেন
6260549f0a	a1d4a	এই সব ইফতার আয়োজন
6260c2209c	bbb22	পরিবার পরিকল্পনা অধিদপ্তর
6260e0a098	e50f1	পঞ্চপাণ্ডবদের অন্যতম
6261136fa2	903fa	মোহাম্মদ ইব্রাহীম
626127fd27	68ab7	দুর্নীতিবিরোধী আন্তর্জাতিক সংস্থা টিআইবি
626176f45d	3ccf1	ইচ্ছে করলে
6261bec9bc	57d54	তিনদিক থেকে মুক্তিবাহিনী
6261c00891	29089	জ্ঞান হারাবার জোগাড়
6262059ab4	b52ab	কেউ যেন সভা ছেড়ে
62620f8025	bcaa8	মুখের ত্বকের একটু বাড়তি
6262c1557c	f1240	শিশু শ্রমিক রয়েছে দেশটিতে
62649ff512	7b132	বিজেপির অভিযোগ
62652b5c7a	37e17	এখনো খোলা আছে
62654f2b3a	1a2a1	বিমল তা প্রকাশ করবে
6265fbf76d	880ae	দলে ফিরছেন
6266a30763	b9122	ফুলশয্যা
6266c02ef1	554fe	এটা নির্ভর করছে
6266e2b8d7	60f77	পাশাপাশি মার্কিন পররাষ্ট্র দপ্তর
62687c281d	e03ce	এখনও অনেক কিছু শেখা বাকি
626915149d	61820	সাহায্য চেয়েছি
6269477dd7	52578	আশা করা হচ্ছে
62696828b7	9fa90	সপ্তাহও পেরোল না
6269790095	0606d	ফুটবলের এই শীর্ষ শিরোপা
6269a81dd6	1f974	দায়িত্ব করছেন
6269bdab77	db181	তারপর থেকেই
6269e8729d	f280a	তাদের জমির উর্বরতার
626aa40519	5cb47	এরপর প্রায় তিন যুগ
626ad41606	e03fc	আমেরিকায় সমাজতন্ত্রীদের
626b0f2b0e	ce180	এছাড়া কয়েকটি এলাকায় কককেল বিস্ফোরনের ঘটনা ঘটেছে।
626bc2051a	d5f7b	সুষমাকে যা বলার
626bd77eb8	ad98d	আমাদের দাবি মেনে নেওয়া হচ্ছে
626c0cd8bf	f7a7f	তিনি এমন এক পাকিস্তানি
626c50837f	9642e	মোগল সম্রাট শাহজাহান
626c624746	9fa90	প্রতিটি শিক্ষার্থীর
626c635eaf	7d3e1	সোশ্যাল অ্যাক্টিভিজমের পথ
626cc26870	967fd	কাইয়ুমের বড় ভাই
626cd8fbf9	8143b	একটি ব্যাপার আছে
626cf1d5d5	39dd0	এক সের চাল
626d3cd50f	7e191	বেরিয়ে আসার একমাত্র উপায়
626dd56b55	72649	কোন মানুষিক ব্যাপারের চিত্রও নহে
626e427350	92bb2	জেলহাজতে আছেন
626e8710d4	e9589	পাঁচ হাজার ৯৬ কোটি টাকা
626e93fd0f	12702	ম্যাচে ফিরিয়েছেন
626f2582e7	80539	পালিয়ে ভারতে আশ্রয় নেন
626f9c5485	2fc12	স্পেনের একটি নগর
626fe0ca9f	d711f	প্রেসিডেন্ট পদে
626ff25881	3b1f7	কাঁথা মুড়ে
627036e087	b9122	নয়নকে রায়ের খসড়ার
6270524ebe	c7705	অনেক সময় পোশাক কারখানাও
6270556866	9b864	মাহবুবে আলম রায়ে
627070bb85	e50f1	অন্যদিকে এই জয়ে
6270729cb0	6d129	তবে সরকারের দায়িত্ব
627098c1c3	2909b	হস্ত পদ, কর্ণ
6270fdc97c	2de86	যে ঘর ছেড়েছিল
62718656ca	e31e7	এত ধন জন থাকিয়াও
62718dcf8c	4c1eb	খালেদ বলেন
6271b2e7f5	fcefa	প্রতিদনই দেশে গুম
62720ec317	bd576	তিনি সাহায্য করবেন
627235ab20	11bd2	মেরুদণ্ড বক্ষাস্থিচক্রকে
62734036bf	e03ce	এ ছবি কখনো শেষ হবে না
62734864f7	239f7	তাহলে দেখা যাবে
62736d9bbf	7027a	সাম্প্রতিক আরব কবিতার
627378e884	28dfc	কাহার উদ্দেশ্যে
6273931e11	3d17c	আপনি যদি গণতন্ত্রে বিশ্বাস করেন
627499d4ec	6dff5	এরপর থেকে তার
6274c1c56d	52578	দু খণ্ড কাঠ তুলে দেখালে
62751203bd	5e80b	গিটার বাজাচ্ছেন মেসি
6275194c2b	71522	চম্পা
627577fb71	8a46d	অ্যাস্কি কোডেও
6275954f5b	e3f89	সোজা এতকালের
6275961401	23b22	এইগুলা আবার কি কর
6277001911	16877	প্রথম আইফোন অবমুক্ত করেন
6277a252a9	acb88	সেই ধাক্কা হয়তো
6277c4392a	d0c70	জার্মানি অস্ট্রিয়াতে
6277cd8e9e	46d49	যখন সকল জন
6277fd9f9f	7a227	সম্মানসূচক খেতাব
6278310daa	6ee5f	ছোট-ছোট
6278e84476	f1ff2	চাহিদার তুলনায় যোগান
6278ea6c4b	a9a58	সংগ্রামে চাই
62791ea562	66dcd	ফখরুদ্দীন সব চেয়ে
62797a0710	6ab59	হাতাহাতি আর মারামারির ফলে
62797ee245	b08d0	তাদের সামরিক ব্যয় কমিয়েছে
627a2bdcf5	e6203	জয়লাভ করে যারা
627a5276b4	0bace	বিপুল সংখ্যক
627a8e9a49	f600a	ছেলের মৃত্যুর সংবাদে
627abffb30	7ee9b	ব্যাপক সংস্কার
627afea02b	0edef	সরকারের উচ্চপর্যায়ে
627b4f15e9	e6e48	চূড়ান্ত মাত্রা পাবে
627b95b1e4	18a52	ভালো করে বই দেখার
627b98eae0	c5479	হাট সচল হতে
627bbb3c34	c8f7f	সর্বজনপূজ্য শ্রীমৎ সাধনানন্দ
627c2f1e71	8406e	ভোটারদের ভোট কেন্দ্রে
627ca4227c	6b437	জোরদার করেছে
627cfb399d	c2082	যে-পরিবারের বড়াই করে আসছে
627d01a8f2	0744c	৮ জন কারিগরের
627d278363	f1240	সুমির বাবা রুপমদের বাড়িতে আসেন
627d2998fb	6ab59	গত দুই বছরে আমরা
627d61ef61	f280a	দেশি বিনিয়োগের হার কমে গেলে
627e529db4	69d9a	স্পষ্ট হয়ে আসছে
627f048592	d7a68	নড়ে নড়ে দেখতে থাকি
627f311c83	d0c70	আমি ছিলাম পেছনের দিকের
627f823685	57d54	এটি নির্মাণ শুরু করেছিলেন
627f8c2194	06e62	এর আগে কাস্টমস কর্মকর্তারা
627f904e48	d2294	অনায়াসে এবং সেগুলোও
62801751ed	0a7a0	আমার চুরি বিদ্যায়
62801e4edb	7d3e1	আকৃষ্ট হয়েছিলেন
62803c8c4b	a06a1	৮. পশ্চিমে বেশিরভাগ প্রযুক্তি প্রতিষ্ঠানেরই
62805641dc	75f18	জন্ম ২৬ জানুয়ারি ১৯৬২
6281262e02	2aecc	দোকানে বেশি মালামাল
62814e5281	65e30	নতুন ফ্ল্যাটে উঠেছেন
6281b84a13	bf530	মীর কাসেম আলীকে
6281f609d8	c5dc8	ঘেরাও করা হবে
628333d413	16e96	বঞ্চিত হচ্ছে সরকার
62836a35ec	ee852	তার আবির্ভাব হয়েছে
62839036ad	1c618	আমেরিকার ইতিহাস
62839a1c56	f9dfb	স্বামী রোজগার করত
628448e2ee	6ee5f	তখনো বেঁচে আছে
6284f53e7f	16877	তাদের অনেকের স্বপ্নই এখন
62859a4de6	4486f	রক্ত মাংসের মানুষ
62859a6776	7d133	তবে এটাও তো ঠিক
6285b03e5f	e8dde	যদি আন্দোলন করতে
6285cb8e1e	47e8d	লিফলেটে বর্তমান সরকারকে
6285ee8203	4237e	সেটাও ঠিক নয়
628632f037	c958a	সব ধরণের দর্শকই এই ছবি দেখতে আসছেন।
628642518d	cb842	ঢুকে পড়ছিল
628653b404	13b70	মুখ দিয়ে বাজাতে হয়
6286d46cdd	c173f	অস্ট্রেলিয়ান চলচ্চিত্র নির্মাতা
628740c173	3fb17	রাত্রিতে ঘুম হয় না
628794a4e2	2bc73	তসলিমা নাসরিনের আত্মজীবনী
6287f62f1e	2840e	তা তো হতেই পারে না
6288359937	6dff5	পাকিস্তানের সমর্থক হলেও
6288c57803	21e54	বাতাসের নিষ্ঠুর শাসানি
6289113038	72649	হেয় জ্ঞান করিতে লাগিলেন
6289126bb3	9d7bf	কেন তিনি আদালত এলাকায়
62897baa8c	ee886	ভারতের করা
6289b16375	b8bf0	ঐ দুই পছন্দের
6289dde4e8	7e1d5	নানির ঘরে যাওয়ার কথায়
6289e7fe86	71522	এবিসি নিউজকে জানিয়েছেন লিনডেন
628b87413a	7c272	মার্কেটের একটি স্টলের মালিক
