8d00186408	e03fc	তার দর্শনকে সমর্থনও করেছে
8d0be32962	16877	শনিবার রাতে
8d0d4fb970	f837a	বাংলাদেশে কবে, কোথায়
8d0e1f2dcf	3bb15	এএম আমিন উদ্দিন
8d0e44da7d	577fa	শিরোপা নিজেদের ঘরে নিয়েছে শ্রীলঙ্কা
8d0e7fa996	d9ba9	তিনি খুশি হতেন
8d0ead1b39	693cb	ফরেক্স ট্রেডিং
8d0ee87240	23b22	রায়ের পর সাজাপ্রাপ্তরা
8d0ef70f8e	24aed	শতশত যাত্রীর
8d0f8974f8	e3f89	মোস্তাফিজুর রহমানের বাড়িটি
8d10e758e8	948d3	থাকতে পেরেছিলেন
8d10ec462d	46da4	ম্যাচে ফিরতে
8d114d864f	80be1	পেটোয়া
8d1150b4e9	7027a	ধ্বংসের পথে যাবে
8d11ae898a	ee852	প্রাচীন উপমানব
8d11fbff98	c463d	দুঃখের ছায়ায়
8d124a7a72	d136b	বেশ আগ্রহ নিয়ে
8d12b1a070	d1b12	না অন্য কিছু
8d12d37e91	31f09	একটু ব্যতিক্রম
8d12e24bef	121bd	কোয়েল
8d12f6ee77	121bd	আবার প্রভার সেই
8d1352047d	2fc12	আসো জাফরের সঙ্গে কথা বলো
8d136997e2	bcaa8	অসুস্থ অবস্থায়
8d139f6c1d	7898e	ক্রিকেট নিয়ে প্রচুর লিখছেন
8d13b6af8d	d9ba9	শিশু-কিশোরদের বলতে পারেন
8d13f49fb8	69449	গ্রন্থের সংকলক মালেকা বেগম
8d140fb039	e6e48	সে লোপার মা হয়েছে
8d145a2e16	21e54	এবং সেদেশে শ্রমিক শোষণে
8d1476a19a	967fd	গণমানুষের নেতা ছিলেন
8d14eb42f5	4c1eb	অগ্রগামী মডেল
8d154bb085	717bb	নজরুল জানান
8d1567f961	54e68	কাজেই বিষয়টি মাথায় এনে
8d159cc2b7	d9b11	যে সম্ভাবনার কথা বলা হচ্ছে
8d159d6925	c8f7f	শিক্ষা মন্ত্রণালয় গঠিত কমিটি
8d15ab6079	8845d	নাশকতাকারী হিসেবে
8d15ffd4ab	93d3b	পাকিস্তানের ঘরে
8d1785eb1e	65652	১০০ এর বেশি
8d18226461	91223	ব্যবহার শুরু হলেও
8d183f66cb	06527	আচমকা পথ আটকে
8d185cd81a	dae88	এক সামরিক অভ্যুত্থানের মাধ্যমে
8d18e75a11	256f5	তবে পুরো সফরে
8d18f5694a	86b1b	পেট্রোল বোমা ছোড়া
8d19407a85	9d7bf	বেরিয়ে আসব
8d197d44d1	b2a62	আমি তথায় যাইয়া
8d19ace223	82926	সঙ্গে সঙ্গে এই মন্তব্যও শোনা যায়
8d1abd8e54	16cfb	কিংবা কোনো অনুষ্ঠানে
8d1ad8bdde	69d9a	২৩৯ জন যাত্রী নিয়ে
8d1c2047d7	cb627	কোনো একটা নিয়ম
8d1c5e7b64	47e8d	প্রস্তাব দিয়েছে
8d1c8a0294	c3cb3	প্রধানমন্ত্রী বঙ্গবন্ধু শেখ মুজিবুর রহমানের
8d1cad592e	95907	চরিত্র
8d1e212d86	4fbd1	সুদ এর আরবি
8d1ec4850e	4fbd1	সরাসরি কটাক্ষ বা ক্ষতির কারণ
8d1eed5797	8632b	কচুয়া থানার ওসি
8d1fe49718	4f2ae	তার আধঘন্টার পর থেকে
8d1ff82226	4e900	জলপরী
8d204b004b	0633a	কোথায় থাকে
8d208bc399	c3cb3	কার্যত নিলামে ওঠার দশা হয়
8d20a29005	0633a	অলিম্পিক গেমসে
8d214cece5	195f7	যে ট্রেনখানা তাকে বহন করে এনেছিল
8d21526d74	7898e	বাসর ঘর সাজানো
8d21fdb945	c6848	ঢাকায় পড়াশোনা করেছেন
8d2214ed3f	3fce2	চেয়ারম্যান জাহিদ রিপন
8d2224f654	eaa7a	নিদ্রায় যান
8d22a4567d	c3cca	আমি বাংলাদেশ এবং বাংলাদেশের মানুষ
8d22ac24af	28bb3	অবস্থান সম্পর্কে
8d22c9100d	c0965	আমি বললাম তোদের দু’জনের কথা
8d230361ca	18460	আমাদের কীভাবে এ রকম
8d234ec8d2	6e8cb	ফুল
8d235c3308	c1e30	তাকিয়ে দেখলাম
8d23834879	5639c	এখন দ্বিতীয় আপত্তির
8d23ed49c7	ca831	রূপে দেখতেন
8d240b20f8	ef915	পছন্দ করবে
8d242f8b1d	195f7	মুশফিকের নিকটাত্মীয়রাই কেবল ছিলেন
8d243ba088	6e8cb	ঢালু গা বেয়ে
8d2449e9a8	83c53	কেননা পুরো ব্রাজিল তাকিয়েছিল
8d255b7810	7b900	বর্ষার যাত্রা শুরু
8d256790da	46da4	নাশ করে
8d2569b8fe	db181	গ্রন্থের আকার
8d25b7d00c	06736	আর পরীক্ষা দেওয়ার সময়
8d25c22844	3bb15	এই বুঝি পিষে গেলুম
8d260e201e	d8c80	সংসদ সদস্যরা
8d26e88096	5dd61	উচ্চ সামাজিক
8d27448955	3ccf1	মূলত আমাদের নদীপথগুলো
8d27631a80	2b883	মারামারি হয়
8d27c64a82	2de86	ফ্যাশন হাউস
8d28318497	cf82a	বিশিষ্ট চিত্রশিল্পী
8d29116e0a	7027a	স্ট্রিং তাত্ত্বিকদের
8d29b461c4	bc81e	বাংলাদেশে মুসলমানদের সবচেয়ে বড় ধর্মীয় উৎসব ঈদ উল ফিতরের আগে রমজান মাসের এক মাস রোজা রাখেন মুসলমানেরা।
8d29d8527e	dec2d	এ রকম কত মুখ
8d2a36c1d1	b4ea7	পাতায় পাতায় তুমি
8d2aeb7065	315e9	নিশ্চয়ই চিত্র দেখতে
8d2b143e05	0744c	তখন নাটাই
8d2b276b51	dae88	রাশিফল নির্ণয়
8d2b385a4f	7f71c	রবীন্দ্রনাথ থেকে
8d2b45486a	2556b	তাই মানতে কষ্ট হচ্ছে
8d2b81aad2	69d9a	ঢাকার মহাখালীতে
8d2c125c9f	0d4cb	সম্প্রতি চীন
8d2c442d11	c173f	সামনের দিকে তাকালাম
8d2cf93f8a	7e1d5	খোঁজ দ্য সার্চ সিনেমায়
8d2d06ffac	086dd	মিছিলে অংশগ্রহণকারীরা বলেন
8d2d125116	a8710	জয় বাংলা
8d2d6e04bd	37d7e	পাশাপাশি ১৯৭০এর দশক থেকেই
8d2d8f48ee	767ff	নীলফামারী পেপার সংবাদ
8d2d9bceb3	4c1eb	স্থানীয় গণমাধ্যমগুলো বলছে ধর্মঘট প্রত্যাহার করা হয়েছে।
8d2e2f92c5	24f73	বাগবাজারে তো হচ্ছে
8d2e3db86e	52f27	জামার কলার ধরে
8d2e5a78f7	404ee	সামগ্রী দ্বারা
8d2fa92652	ced74	সোশাল নেটওয়ার্কিং সাইট টুইটারে
8d30e6485b	c0965	কর্মবিরতিতে থাকা
8d30f54793	3ec4d	এ নিয়ে একাধিকবার
8d3123ef97	73629	একজন মন্ত্রী এখানে
8d33665cbc	12702	সুচিত্রা ছাড়া
8d339d9263	ff1c3	জ্যৈষ্ঠ গেলে, আষাঢ়, শ্রাবণ গেলে
8d33aa5003	46d49	স্থানীয় সংবাদমাধ্যমে
8d33aa9de9	2d78f	অভিজাত পরিবারের জাহানারা রবীন্দ্রনাথ
8d33f0d633	2ecf8	অভিনয় করেন সৌমিত্র চট্টোপাধ্যায়
8d3401b334	7aed9	স্টুডেন্ট অফ দ্য ইয়ার
8d3433b9ab	d711f	চলচ্চিত্রটিতে পাঁচটি গান আছে
8d34e4468b	77f82	ওসমান ফারুক
8d34fb986c	d711f	সমর্থকরা মনে করেন
8d35503368	66b3c	আমি আমার সাধ্যমতো
8d363ca154	6aac8	ফতুল্লায় এশিয়া কাপের
8d3643e971	c0d65	বহু প্রতীক্ষিত এই বিচার
8d3670ce2f	f600a	সময়মতোই হাজির হয়েছিলেন
8d367217c6	11915	বাংলা ট্রোল
8d36a9120e	0c39f	রেকর্ড করার
8d36d81c18	9d7bf	কারণ ওইসব বিমানবন্দরে
8d3710910d	2de86	ফ্লোরা লিমিটেড
8d372f2927	0d9f1	এ লক্ষ্যে
8d3795bc8d	80e98	খ্রিষ্টান ও মুসলিম
8d37f573ad	e68af	একটি প্রবন্ধও আছে
8d381556d6	dba43	ও বুদ্ধিজীবীদের উপস্থাপনায়
8d38256680	69449	অন্যান্য হরতালের দিনের মত
8d38bde17b	91223	জারি করে জাতিসংঘ
8d38ebaaa9	c6848	গরম মসল্লা
8d38f232ac	a1201	আগামী রোববার গেতাফের বিপক্ষে
8d393946d8	c173f	বৃহস্পতিবার আন্দোলনরত শিক্ষার্থী
8d393a5784	410fa	সড়কের পাশে
8d39430722	a3a6d	চিলেকোঠার সেপাই উপন্যাস
8d395bb09c	323f1	বর্তমানে ভারতে
8d39d63f74	24aed	প্রাণ নাশের আশঙ্কা ছিলো
8d39f66a03	d3e06	আপন করে নেন
8d3ad12cc6	520fb	বনে চলে এসেছিলাম
8d3ad35af0	ced74	কচুয়া থানার ওসি
8d3bb21825	4fd66	পাঞ্জাবিসহ নানা পোশাকে সমারহ শোরুমটিতে
8d3bca0676	e50f1	উদ্ধার অভিযানের ৬ষ্ঠ দিনে
8d3bd9b226	f2b7d	আমাদের পুকুরের
8d3bdcfa58	7ec1c	বাউল আব্দুল করিম
8d3c5cfc66	cb627	পুলিশ সদর দপ্তরে পৌঁছে
8d3c992717	b78ec	আঁকুড়হাটি শহরের
8d3cc34b61	c8f7f	ওই দায়িত্ব নিয়েছিলেন
8d3d028410	6b437	রাসায়নিক পদার্থ ফরমালিন সাধারণত মরদেহ বা প্রাণীদেহের কোনো অঙ্গপ্রত্যঙ্গ দীর্ঘদিন সংরক্ষণের জন্য ব্যবহৃত হতো।
8d3d7386ae	0696e	ছেলেটি আবোল তাবোল
8d3de9397f	fbb81	এটি করা হচ্ছে
8d3e059da9	b618b	২০০ বাচ্চা
8d3f18f291	39dd0	তিনি রাজা
8d3f84db9d	0d4cb	ওই আদালতের বিচারক
8d3f982b53	da6f0	তাহা নয়
8d40871351	442b7	অল্পদিনেই মাস্টারদা আমাকে
8d408b3ea0	870e3	রাজধানীর বিভিন্ন স্থানে
8d40a2ff79	e50f1	নির্বাচনী আচরণ বিধি
8d40a9a7d7	bd576	কমল দাশগুপ্ত যেদিন মারা গেল
8d40e82b22	09f0d	সর্বশেষ গত ঈদে
8d4194d4c0	0606d	দিনাজপুরের ১৩ টি উপজেলার মধ্যে ৭টি উপজেলা বন্যায় ক্ষতিগ্রস্ত হয়েছে, এর মধ্যে ৪টি উপজেলায় ব্যাপক ক্ষয়ক্ষতি হয়েছে।
8d4242e741	93d3b	এখান থেকে পালাই
8d42a6ebba	65e30	বাঙ্গালার মুখ উজ্জ্বল করিয়াছেন
8d42e4da79	321b6	মহামারীর আকার নিয়েছে
8d430ff58e	c9c19	বুধবার বিকেল ৩টায়
8d43106469	b8bba	এটি সহ দু’টি মামলার
8d4321fb22	d5f7b	এবারের সাহিত্য আড্ডায়
8d432e16e7	28dfc	চাষার স্ত্রী
8d434cb64d	80505	ইউরোপে সবার উদ্বেগ হলো
8d43a09a87	25117	বয়স নিয়ে
8d4401d808	72649	দর্শকের মধ্যে
8d4443091e	e68af	মাহফুজের ছেলেটি
8d44d82b29	9d7bf	হত্যা করা হয়েছিল
8d450c8d2c	6da0a	আংটি বলে
8d45212184	28dfc	টাকা ছিল
8d45383cb8	7d133	শেকল দিয়ে বাঁধা
8d459930f1	4bd2c	উইন্ডোজ সেভেন
8d45a79d4d	e2f12	বৃহস্পতিবার বিমানে চড়েছেন
8d463d5a31	ce180	কালুস সাহেবের স্কুলে ভর্তি হইল
8d4689cf6f	f4ba7	আঘাত বলে
8d46c14356	66b3c	শীতলক্ষ্যাপাড়ের ফিনফিনে মসলিন
8d47d909ee	17dcd	আন্তর্জাতিক আইনের বিরোধী বলে
8d47ef4294	7d133	যেতে পারেননি
8d486ae899	ec91c	বেশিরভাগ জনবসতি
8d495643f4	430b2	ঐতিহাসিক উপন্যাসের জন্যই
8d497fcaab	7b103	যোগে যেন পায়
8d49c96703	f1ff2	বিহারের চিত্র
8d49ca56cd	7aed9	নিয়োজিত থাকবেন
8d49d30e40	cb1aa	তথ্য পর্যাপ্ত নয়
8d4a454102	a8710	বিশিষ্ট প্রবীণ কবি আবুল হোসেন
8d4a5b737b	db735	রিমান্ড বাতিল চেয়ে
8d4a86a911	32c77	প্রকাশিত তাঁর
8d4abc61f2	76329	পারিবারিক কলহ মিটবে
8d4ae77df6	7b103	আখের ব্যাপক চাষ হচ্ছে
8d4b8dc26a	f83df	তাদের চারিদিকে প্রথমে
8d4becba76	ac0df	আঁধারে ঢাকা পড়ে রইলো
8d4c2fe656	086dd	করা হয়
8d4c52d430	442b7	ভরণ পোষণ
8d4c5d9507	93d3b	রাজার লোক ছুটে গিয়ে
8d4c8e7dc2	7b103	তখন তিনি মোবাইলে
8d4cd6c962	a1201	প্রভাতফেরীর মিছিল যাবে
8d4cef47b4	21e54	আমরা চাঁদা ক’রে
8d4d08efe4	16877	পর্তুগালের পতাকা
8d4d0ee626	b7be9	আর সেটি হচ্ছে
8d4d1e9983	cf82a	কথা বলতো না
8d4d46f260	6fb36	তার সেই নির্মাণ না হওয়া
8d4dd8c655	0bace	কাঠামোগত ত্রুটি ছাড়াও
8d4e5a29b2	5639c	নানা মুনির নানা মত
8d4ec8a141	f837a	অসাধারণ সব ছবি
8d4f360536	03284	সারাদেশময় কেবলি অশ্রুকণা
8d4f38814f	1b359	বজ্রপাত
8d4f390a25	29f8c	আখতারুজ্জামান ইলিয়াস
8d4f3d307a	767ff	ফলাফল প্রকাশে
8d4f9bf883	d3e06	বুঝে নেবার চেষ্টা করেছেন
8d4fa2ec19	d1b12	অনুরাধা পাড়োয়ালের
8d50740372	e6d83	বেনভোলিওকে দেখে সে বলল
8d5103a959	a0277	৫ হাজার টাকা
8d510bcf2d	3c897	পাটি, সিমেন্টের বস্তা
8d51971104	39293	ঘোষণা দেন
8d51a927fb	f83df	ব্যবস্থা নেবার আশ্বাস দেয়
8d5216680a	7d3e1	এবারের নির্বাচনে বিজেপির পক্ষে জোর প্রচারণা চালিয়েছেন তারা।
8d52244fed	7d004	২৪ ঘন্টার মধ্যে
8d525604ba	195f7	ইতিমধ্যেই সম্পন্ন হয়েছে বলে
8d52648e37	239f7	উপর দিয়ে
8d5290deb3	9065c	রাজামশাইকে বলল মহারাজ
8d52bc2a6d	efc0d	মেয়েরা করতেছে
8d52bf34c8	ff970	পুরুষের চেয়ে নারীরা
8d52fb847e	c7a89	কাপড় নাড়ছিলেন
8d52fff751	321b6	ভজন
8d53258ff4	cd3ac	কোরানের মাহফিল করে বেড়াতেন
8d5362d6b8	92f59	দৈনিক কক্সবাজার
8d53695e0a	a46e2	মধ্যাহ্ন লিখিতেছেন
8d53b3defe	194f5	শনিবার এই প্রস্তাব করেন
8d53b7c791	fdcba	শবে বরাতের পর থেকেই
8d53ddf420	d3e06	৪ জানুয়ারি এগুলো
8d53e8bc42	cfc65	কর্তব্যে নিয়োজিত
8d53f004df	e754e	কিন্তু সেই সঙ্গেই বলেছেন
8d54045815	3ec4d	করুণানিধান মুখোপাধ্যায়
8d541d5886	fcc89	কাপড়ের বাইনটা খুব ভালা
8d5428cb3b	5dd61	ঘোষণা করেছেন
8d54d4703c	a43b5	শেষ অভিবাদন জানায়
8d558d1c74	0a87a	তিনি অসংলগ্ন কথা বলে
8d55a801ee	09b32	এক পর্যায়ে বুধবার দুপুরে
8d55b83c5e	c958a	তাঁর অনুরাগীদের জন্য
8d5649326b	3f493	অকালে যতেক বীর
8d56823339	ca088	স্কুলগামী শিক্ষার্থী ও রোগীর
8d571c80dd	7c272	হজ ব্যবস্থা সুষ্ঠু হলেও
8d5720c941	3fc9d	১৮ দলের মিছিল শেষে
8d574d6714	7a227	ঘন ঘন কড়া ধমক…
8d5751858c	fda1a	ক্রেতারাও নিরাপত্তা মানদণ্ডের কারণে
8d577f986c	ea8fa	ক্ষমতাসীন দলের সমালোচনা করে
8d579dce1d	ce180	জাতীয় স্বার্থ সংশ্লিষ্ট বিষয়গুলি
8d57fc1295	880ae	পুরুষের বেলায় একজন হলেই চলে
8d58156603	880ae	পরিচয় গড়ে ওঠে তার
8d582409ed	195f7	আমরা শোকাহত
8d5845a121	2ee04	দাঁড়িয়ে আছে বটগাছটি
8d58557153	e6e48	আনন্দ শোভাযাত্রা
8d586a1f53	932bb	উত্তেজনা
8d58b59610	91223	কোনো রকম
8d5907c080	c3cb3	হরতাল সমর্থকদের সংঘর্ষ হয়েছে
8d59c27518	536d9	পরিণত করেছি
8d59c56746	1b359	জাতীয় অর্থনীতিতে
8d59e7c34d	d2d71	সর্বোচ্চ ৪.৫ ফিট
8d5a3995f9	a46e2	জনসভায় স্বাস্থ্যমন্ত্রী
8d5ae632d7	80518	মূলত বাংলাদেশ ক্রিকেট দলের
8d5b33af53	ca831	তাকে গ্রেফতারের নির্দেশ রয়েছে
8d5bd8ed61	8ba2b	মধু পাওয়া যায়
8d5bfb64fa	ea5be	আফগানিস্তানে
8d5c1e0c55	0e637	অভিযোগ উঠেছিল
8d5c77c9b7	b9122	দুই পীরের অন্তরে
8d5cc83026	29bab	এখানে তাদের আসল নাম
8d5cf44eb0	a06a1	শুনতে বোকা বোকা মনে হবে
8d5cf77805	2556b	মুসলিম শরীফ
8d5e265eed	6da0a	প্রদর্শন করা হইত
8d5ebd558c	4fd66	আরেক হাতে
8d5ec27025	7c272	গল্প, কবিতা, উপন্যাস নিয়ে
8d5f84ea6d	a7c6f	একমাস ধরে সারাদেশে
8d60bbe0cc	3ccf1	এক্ষেত্রে তাদেরও
8d60f2bbc0	e7230	টাকা পয়সা
8d610ae498	6dff5	সোমবার এই দ্বীপগুলোর
8d614fc506	37d7e	জড়িত ১৬ জন এমপিকে
8d6156a926	616ec	পরিণত করার কাজটিকে
8d61c0918d	db735	পাখা টানিত
8d61cedebc	4c555	ঠোঁটেরও কোথাও কোথাও
8d61f5d88b	ff0fe	গ্রেগরিয়ান বর্ষপঞ্জী অনুসারে
8d629463e4	2b883	অভিনয় করলেও
8d62a488c3	bfac7	স্টামফোর্ড ইউনিভার্সিটি
8d62c875e0	69d9a	পাশাপাশি তার সব
8d62dedee7	7e1d5	সংসার চালাইতেন
8d62e84ca3	ced74	দক্ষিণারঞ্জনের প্রতিভার
8d62f1a5f1	a1201	কিশোরীর বাবা বাদি হয়ে
8d63160674	7b900	বানানো হবে
8d6368b6e9	e2ff7	শারাপোভার বিদায়ের
8d6398a1d8	49d63	সশস্ত্র বিদ্রোহের কারণে
8d639b5575	e2ba2	রংপুর অবিলম্বে ক্ষমা না চাইলে
8d63e66a9a	698a4	উত্তর প্রজন্মের কবি
8d64208a01	56508	শিল্পকলা একাডেমী
8d64436ff2	0f047	ঘটত যত অঘটন
8d64cad466	c6848	অপেরা মিনি
8d65076edd	4f450	আর মি. মামুনকে
8d657d3a51	6da0a	অংশগ্রহণ করেই
8d67e2c719	1a4a9	এক ও অভিন্ন সত্তা
8d6801b053	2c9c5	হাউল এবং ক্যাডিশ
8d683c9f93	0606d	ভেঙে পড়লে
8d6841c5c3	943de	২০০১ সালের পর
8d68872754	58998	সোহেল আরমান
8d68d6f466	fda1a	তবে পণ্যের দাম
8d693d34aa	4c555	শংকর গরু নিয়ে এসেছেন
8d697af8ce	75626	আমাদের ফ্ল্যাটবাড়ির দিকে
8d69cb0504	e754e	যুক্তরাষ্ট্র আসেন
8d69d28e10	dba43	ভাগ করেছিলেন
8d6a30941c	0edef	বেশ্যালয়ে বাস করে
8d6a789955	7a227	শুক্রবার রাজশাহীতে আবাসিক গ্যাস সংযোগ দেয়া শুরু হয়েছে।
8d6aae3ba2	88654	লাবণ্যও বৃদ্ধি পায়
8d6acfd52b	d2d71	এবং পয়লা বৈশাখ থেকে
8d6aefe845	2de86	বিমানটির খোঁজে
8d6afc1801	f2b7d	প্রত্যাহার করেনি
8d6aff8e3d	f143a	সংশ্লিষ্টদের বেরিয়ে আসার
8d6b25c761	14d25	একটি স্কুল ব্যাগে
8d6b86b301	68ab7	শ্রীলঙ্কার বিপক্ষে
8d6b8d75f0	976b1	স্পিকার মীরা কুমারসহ
8d6c71dd12	cf82a	সেই আহ শব্দে
8d6d14eb8c	11915	অ্যাডওয়ার্ড ব্লাইদ
8d6d1c4744	49d63	তার অসাধারণ জ্ঞান-প্রতিভায়
8d6d78a26a	2d78f	দরজা বেঁধে দেওয়া হতো
8d6db36ec8	f2097	এ ব্যাপারে জেলা প্রশাসক
8d6e8f5781	91ac1	কিন্তু তারা পাকিস্তান ছেড়ে
8d6e90dfe1	39dd0	কাঁচামরিচ কুচি
8d6f051035	7297e	খ্রিস্টান,বৌদ্ধের নিরিখ
8d6f53241f	9c8dd	উত্তর বারিধারার বিপক্ষে
8d6f7b3242	9813c	একমাত্র সিদ্দিকুরই
8d6fbf576e	0895a	মধ্যপ্রাচ্যে অবস্থিত
8d701b4f2e	38d3a	একজন আবুলের সহকর্মী আতীক
8d7069fa0d	86b1b	তিনি ভূষিত হয়েছেন
8d70bca652	0bace	বিদেশী ক্রেতার দায় কতটা
8d70bff18f	d2294	আগে থেকেই
8d70e746a7	29bab	ভালো কিছু করতে
8d716118b6	80505	একটি ইংল্যান্ড
8d717ab4da	5d80e	শাপলা চত্বর থেকে শুরু করে
8d726dd2de	7df87	অন্যতম সেরা রাইফেল
8d728ba1f8	b8bf0	নতুন কিছু নয়
8d72b822c4	3d17c	স্বীকৃতি দিয়েছে
8d72b83993	430b2	এখন থেইকা
8d7307e693	b9122	পরিচালক মো. সাইফুল ইসলামের স্বাক্ষরে
8d7315f67b	9351a	আসামের গহিন বনে
8d739cf154	4dd57	অধ্যাপক অজয় রায়ের
8d73b2d79c	2bc73	পাতা
8d745fecfb	68ab7	নিবিড়ভাবে সম্পর্কিত
8d75379fb9	b7be9	ড্রেসিং টেবিলের
8d75aa3f71	a06a1	যথাযথ সম্মান জানানোর জন্য
8d75acfb7a	95907	ইদি আমিনের বিরোধীদের একটি ঘাঁটি
8d75af372e	66dcd	লেখার স্টাইল হুবহু এক
8d75d138fd	e55de	অনুবাদ করেন
8d76ac5e67	3d17c	অভিষেক ঘটে
8d771ff976	6ab59	যদি সকল ভাল কবিতাগুলিই
8d776d7829	420df	পরিস্থিতি নিয়ন্ত্রণের বাইরে
8d7790cb72	b8fe1	চৌচালা ঘরে
8d77a2f82f	948d3	জাতীয় পতাকা আঁকছেন
8d77cb5301	4a67e	বাংলাদেশ রেলওয়ে
8d77d9393c	0744c	আমার বয়স
8d77d94ce1	ab946	ঢাকার মোহাম্মদপুরে এলাকায়
8d78175093	9c8dd	সময় চর্বিকে
8d793b1662	47e8d	মায়ের আদর
8d7a64a84e	fb4cb	কাজ বলতে সেজেগুজে থাকা
8d7a9988d5	91dff	বন্ধু মিলে
8d7aa7d450	7b60a	আইটেম গানে রুমির
8d7ac5e814	c7a89	গোড়া থেকে
8d7b298e9e	a43b5	পুলিশ তদন্ত করে দেখছে
8d7b3d1bb6	6c17f	হাড়ের সমস্যা নিয়ে
8d7b4c25a0	db735	কিনে নিলেন তিনি
8d7b739bed	16877	হিমালয় পর্বতমালা
8d7b999e72	e9759	তাপস পাল
8d7cd79ee0	1e7c7	বহু সংগঠন
8d7d1399e9	6b437	ধুবড়ি পোর্ট থেকে
8d7e30e5e8	616ec	সে দুই হাতে
8d7e38b5f7	cfc65	দিল্লির ইন্দিরা গান্ধী
8d7e4089dc	91ac1	এছাড়াও তাকে সমর্থন দিয়েছেন
8d7f7a5d3a	d9081	ব্যবসায়িক সহযোগী হল
8d7f9bc96b	7e191	আইএফএ শিল্ডের ফাইনালে
8d7fe421a9	e7230	বড় কোনো চোটের আশঙ্কা নেই
8d80bbda37	967fd	বয়স পেরিয়ে যাচ্ছে
8d811f0f4e	aabe7	জলচৌকি, দা বটি
8d816ef12a	d2355	একটা গুহাও আছে
8d81cae0aa	0895a	আল সিসির অবশ্য
8d8238e9f6	c3cca	তারা চট্টগ্রামের
8d8269c6fe	54e68	তার সঠিক কোনো দিক নির্দেশনা
8d828636ea	f4ba7	চার বছর বয়সে
8d829729f0	68549	ওয়াসফিয়া নাজরীন
8d832371e5	18460	উপকৃত হয়েছে
8d833b836b	4164f	একমাত্র ধর্ম ছাড়া
8d8376e1a4	d9ba9	সিদ্ধান্ত নেওয়া হয়নি
8d8390491e	db181	জনসংখ্যা হল ১৮১৬৭ জন
8d8421c3a0	16877	তাই মুখ্যমন্ত্রীর ডাকা
8d8433117f	8c120	সূচনা হওয়ার পর থেকেই
8d84589859	ad98d	এরশাদের বাসায় যান
8d846b47f0	ff970	মূলত ঘন গাছপালাসমৃদ্ধ
8d84c0572e	93d3b	২০১০ সাল থেকে
8d854e3e6e	68ab7	নীলচক্ষু সোনালী চুলের
8d857c6468	83c53	তোর মাথাও খাব
8d85ea272f	2aecc	ছাত্রলীগ, ছাত্রদলসহ অপরাপর সংগঠনগুলো
8d860cf874	82926	একটি ইংল্যান্ড
8d8657f7d7	f600a	সম্ভাবনা প্রবল
8d86cbed30	cc9fd	গণমাধ্যমের মুখোমুখি হবেন না
8d86e80418	29f8c	একটি করে ওয়ার্ডে
