e6006a67fe	fd880	বিস্ফোরণ হয়
e6347dc1f7	f2780	তারা যেন হাজির থাকেন
e634b2b548	0f047	দেখতে শেখ মুজিব আসত
e634f3dba7	ee994	দলের প্রধান ব্রাড লোয়েন বলেন
e635a28d41	b618b	ছাত্রদের জন্য আবাসিক
e63608650f	dae88	ইত্যেমধ্যে একটি দৈনিকে
e636115feb	5dec6	তেমন কোনো বিজ্ঞানভিত্তিক
e637210ef0	3c897	তার শরীর
e637c064f3	7a227	তাহাকে মারিল না
e637c2ec5b	dafb6	প্রথম শ্রেণির শিক্ষার্থী
e6383b26b5	5cb47	পরিবেশন করছেন শায়লা রুখসানা
e638a367bb	4ea73	ভাল করতাম
e638aec0ad	8a46d	তাঁর অতি প্রিয় মূল্যবান ভায়োলিনটি ফেরত পেয়ে তিনি খুবই খুশি।
e63928dc0d	903fa	ডাকাতদের হামলায়
e639ff4483	0d8c1	সংবেদন সৃষ্টি
e63a46fdde	ee886	চলবে রাত ১০টা পর্যন্ত
e63a5df410	25117	প্রচার করছে লোকেরা
e63a8c85d5	f1ff2	বিশ্বাস হত আমার
e63abefddc	2396d	এরপরও বেশ কয়েকবার
e63acf1ba7	d9081	বিশ্বের সব বড় অর্জনে
e63aeb9fdb	ee886	দুপুরে সাংবাদিকদের
e63b2ba38a	cb842	মানের বিষয়ে
e63b83b102	7df87	যুক্তরাজ্যের স্টানফোর্ড
e63bf46a0e	c6848	বন এবং পাহাড় হচ্ছে
e63c2b82ee	1e7c7	মেজ বৌ ছিল বাড়িতে
e63c63c29b	cb1aa	এঁকে দিতে বললাম
e63c7b010d	a699c	লিমনের চোখজোড়া
e63c7c3460	16877	আমার পরিচয় হয়
e63d28921c	66dcd	আমি বিশ্বাস করতে পারছি না
e63d7c735a	698ff	করতে গেলে
e63dc26210	68549	হঠাৎ এতদিনের ছুটি কেন
e63e188e6e	2ad74	প্রতিক্রিয়ার ফসল
e63e8a47ed	18a52	সারা রাত্রের ভিতরে
e63ecf9a39	4a918	গত ১৯ ফেব্রুয়ারি
e63ed65508	5cb47	দমন শাখা জানিয়েছে
e63ff46852	25696	অন্যদিকে দৈবক্রমে
e6400c542f	9c8dd	অলঙ্কৃত করিয়া গিয়াছেন
e64066c034	71522	ঘরের সামগ্রীগুলোকে
e6406c0861	d41be	সাক্ষীদের সত্য
e641d3ce11	2840e	ইঁহারা যে যযাতির
e641f6dc96	c958a	যখন জল থেকে উঠতেন
e642327a36	4a67e	তাঁকে ধর্ষণ করে বলে অভিযোগ
e6427b9047	acb88	কেবল তিনটি হরিৎ বর্ণের সঙ্গে
e6427cf970	49d63	পৃথিবীতে আয়তনে
e643bf9216	ea5be	রূপকথার গল্প
e643dd03dc	f837a	এবং পরিবারের কয়েজন সদস্যকে
e643f17628	92f59	গোল করে এগিয়ে নেন অলরেডদের
e644078ee3	66dcd	হতে উপার্জিত অর্থ
e64412d633	3d17c	সরকার পুনর্বাসিত
e644169415	aab0f	তাঁদের সরাফত
e644365d83	69d9a	তবে একটা কথা
e6446c14fa	11bd2	উচ্ছেদ হওয়া মানুষ রয়েছেন
e644b94c6b	ad2a0	প্রবেশের আগ্রহকে
e644f86fc4	17dcd	নিজ দক্ষতায়
e64536604b	e03fc	নৌবাহিনী প্রধান সেরহিয়ে হায়ডুককে
e6456946ca	52578	বেতন বাড়ায়না
e6458f10c8	ff0fe	ভারতে সম্প্রতি
e6458f6b5f	bd576	বাংলাদেশের শাসক শ্রেণি
e6459fbd0e	a1d4a	তৎকালীন পাকিস্তান আণবিক শক্তি কমিশনে
e64684f769	ee7b2	পুরনো ঢাকার
e646fa232b	2fc12	এই ধর্মকে ব্যবহার করা হয়েছে
e64720beed	0633a	এগিয়ে যান
e64732ae9b	7351e	পথে পথে মানুষের হুল্লোড় দেখে
e6479add06	121bd	বিয়ে ভেঙ্গে যাওয়ায়
e647e80b81	ac904	মাপ হইয়া যায়
e6480f6208	ce629	ঢাকায় আসা
e64852b3f1	c0d65	প্রকাশ করে থাকে
e648f6ee51	ca831	স্থূলতা সম্পর্কিত
e648fa68b6	7351e	পুরুষের সব গুণ রয়েছে
e64904076e	d7a68	তৎসম্বন্ধীয় একটি প্রবন্ধমাত্র
e649c0a360	e3d8b	ইউরোপীয় খৃষ্টানদের বিশ্বাস
e649ce1661	ff0fe	মীরাক্কেল আক্কেল
e64a9efddd	616ec	আল জাওয়াহিরির মধ্যে
e64aa059d1	3fae0	কাহিনীটিও শুনিয়াছে
e64aaa9791	e2ba2	কোতোয়ালি থানা এলাকায়
e64abd25db	58998	প্রযোজকের লভ্যাংশ ফেরত পাওয়া
e64abdac1e	ca831	গালে হাত দিয়ে
e64baaff4d	e2c11	সে মোতাবেক
e64bbf7411	77f82	হরফ বা অক্ষর বলতে
e64c1f0b83	745b7	কখনো শুনা যায় নাই
e64c2b218f	91223	বোর্ডের চেয়ারম্যান
e64c315af5	49543	সম্প্রচার করা হবে
e64c775857	e3f89	বয় আমার হিয়ারিং এইডটা
e64cbdc30d	83c53	সে একটা উনুই দেখতে পেল
e64cd324ed	07660	জ্ঞান করিয়াছেন
e64d1eb461	13b70	আরিফের বরাত দিয়ে
e64d3f2b2b	ea5be	শীঘ্রই গ্রেফতার করতে পারবে
e64d94100d	92f59	নাজিম নিজেও
e64d9d526b	73629	আর একটার চেয়ে
e64da34599	d136b	যদি সুযোগ পাই
e64e5781e6	f83df	সেই পুঁজি
e64e96d954	b8bf0	সুবিধা পাবেন
e64f383ffb	7f71c	সেখানে গিয়েছিলেন তিনি
e64f796f57	1a4a9	অবোধবেলা কেটেছে
e64f8be134	e6e48	বাংলামেইলকে প্রতিক্রিয়া জানান
e64fcbed78	84145	নির্বাহিত হইয়াছিল
e650299734	b8bba	আমি কোন উত্তর করিলাম না
e650478a95	f6e55	আমার বড় ভাব
e6505579d8	06736	আশ্রয় পাওয়া ভিক্ষুক
e650ef8cc0	b9b98	শশী থারুর
e6511e185d	bd576	ভেঙে ভেঙে উচ্চারণ করে
e651553cd2	46da4	জয়ের ধারায় ফেরে
e651e30ee7	b9122	গুলি চালাচ্ছেন তুহিন
e6521392c5	ced74	হ্যাক
e652d6403d	0744c	বলিউড ওই জায়গাতেই আটকে গেছে
e653d862d6	e9fa7	আলোর মুখ দেখবে
e65451f4fa	6b437	স্তব করা হইয়াছে
e654e4596d	f6e55	ভাটা পড়েছে
e65538dcc6	404ee	সমাবর্তনে ভারতের রাষ্ট্রপতি প্রণব মুখার্জি তার বক্তব্যে বাংলাদেশ ও ভারতের মধ্যকার সম্পর্ককের বিভিন্ন দিক তুলে ধরেন।
e6554e59a1	d1b12	দল এর দায় নেবে না
e6566655ec	7d004	গান গাইতে পারে
e6568708f0	eecdd	তখন একে বলা হয়েছিল
e656ad253f	1b359	ব্যস্ত থাকায়
e656d15558	f7a7f	তার পেটে থাকতে চাচ্ছে না
e65731b362	bfac7	সেটি ভবনের দ্বিতীয় তলায়
e6574f14e3	6a35e	সে আর কি বলব
e657acd8ee	4c555	কুষ্টিয়ার মিরপুর উপজেলার
e657c224d7	2bd99	কালনী এক্সপ্রেস
e658eed4c6	5dec6	উচ্চাঙ্গ সংগীতের মাধ্যমে
e65950005b	6aac8	রাসায়নিক দ্রব্যের
e65962fefb	e2ba2	সরকারকে তা
e65a63ae06	0d9f1	২৯১টি বুথ
e65a7905ed	0f047	বাজারে পণ্য সরবরাহ করা হচ্ছে
e65b11ff63	68549	জেলা বিচারিক আদালত
e65b29bf69	73629	বৃহস্পতিবার নির্বাচন কমিশন ঘোষিত
e65bd95d2a	5354e	ডাউনলোড করা যাবে
e65bdc05d0	8406e	১৯৮২ সনে
e65c77097e	91b16	আজ বৃহস্পতিবার
e65c89ad25	1f733	করেন লং জাম্পার
e65ca41e80	38ff0	উত্তর দেয়া সম্ভব হচ্ছিল না
e65ceddb95	93080	না পেরে
e65cf478c2	d5f7b	বেদ তিনটি-ঋক্, যজুঃ, সাম
e65d30fb76	4fbd1	মি: আলম বলেছেন
e65d451151	10a9f	পল্টন এলাকায় কোন মারামারি হয়নি
e65d564348	dec2d	খেয়ে-পরে
e65d78a600	66b3c	১২২ রানের জুটি গড়ে
e65da637ed	acb88	একটি গুরুত্বপূর্ণ কেসের একমাত্র সাক্ষী
e65dfa31e1	0d9f1	টোটাল ব্যাপারটা
e65f3c401f	f83df	তবে ড. ইফতেখারুজ্জামান বলেন
e65f7fb988	06ea3	কোন দ্বন্দ্ব সৃষ্টি করেছে
e65f8bbc69	29bab	সেজানের ওপর তাঁর
e65fb934fb	bbb22	সঙ্গে মাত্র
e6601f2994	3bea8	চুলকে চুলকে কারো কারো মাথায়
e660321bc1	35ef3	দেখা যাবে টেলিছবি
e6606ba7d4	a0277	গড়মিল করা হয়েছে
e660874ef4	e2ba2	দেশ হিসেবে
e660a00268	b78ec	ধীবর পরিবারে
e660d8d4b3	b08d0	বিবিসি বাংলার মোয়াজ্জেম হোসেন
e66197c574	2ee04	আবদ্ধ না থেকে
e661da20ec	46da4	একটা ভয় রহিয়া গিয়াছিল
e662010402	c0d65	একচিলতে সস্তা শাড়িও জোটে না
e66203005c	06527	গত কয়েক দশকে, সরকারের টিকাদান কর্মসূচীর কল্যানে পোলিও রোগের প্রকোপ এখন নাই বললেই চলে।
e66222543c	d7a68	কাহারো বিয়োগ হইলে
e662724dd6	2556b	দৈনিক প্রথম আলো
e662eb5b17	8ba2b	জোর প্রচারণা চালিয়েছেন তারা
e662f2c767	e89bb	৫ টাকার ফুল
e662f64a80	ee7b2	আত্মহত্যা নাকি হত্যা
e6631a8a93	2ecf8	এতেপণ্য সরবরাহ ব্যবস্থা
e6632601c2	1cb75	এ নবান্ন উৎসবের
e66358ea74	0d4cb	হিজরা
e6637772d6	0b7ca	অধ্যাপক আনিসুজ্জামানের কাছে
e66391f354	491a5	দুষ্কৃতকারীরা জেলার কয়েকটি বাড়িঘর
e663e4de17	8c120	আপনার হয়েছে
e663facd80	f2780	বাখরাবাদে আরো ৪টি
e664ba6867	e43d4	নৌকাটি ছাড়ে
e664f59b5f	d1b12	দুই যুগের অভিনয় জীবনে
e665469d3e	92bb2	পার হতে যাবে না
e66561b66a	66dcd	এসে শিখাকে ডাকলেন
e665aaa637	153c9	রাস্তা
e666c3ffa4	4fd66	তার চেয়েও
e666ed02d3	ac904	আকাশ মহড়ায়
e667036f12	10a9f	হামাগুড়ি দিয়ে
e66713466e	31f09	ভয়াবহ সাজসজ্জা
e6674d7cb6	4237e	একমন্ত্রীর ইন্ধনে পরিবহন সেক্টরে
e667876480	d1b12	একটি পতাকা
e667e755e0	577fa	তাহারি একটাতে
e66905186b	11de3	মুসলমান সমাজের ভেতর
e66942d08c	5b13f	তিনি ভারতের অন্যতম সুন্দরী
e66a153d90	388c9	বিরহের এস এম এস
e66a5e7be7	d9817	ঔপন্যাসিক হব
e66a63a7f5	4fc91	তৈরি হয়েছে
e66a75e15e	4a67e	তিনি উপস্থিত ছিলেন
e66ae75beb	5cb47	আহত ট্রাক চালক
e66b09acbd	442b7	সে বুঝলে
e66b8d028c	6b437	নন ইনভেসিভ ভেন্টিলেশন দেওয়া হয়
e66baf44de	ad69a	আকস্মিক দুর্বিপাকে
e66bb4b250	e50f1	অমরাবতী, ভারতের
e66c21d0fb	e31e7	দারিদ্র্য
e66c483361	e31e7	মশ্যামশিদ্ধির মঠ
e66c9921fb	b9b98	একটি হচ্ছে
e66cef5e2a	9065c	তাঁর কাজ দিয়ে
e66d158176	a9a58	পূর্বাঞ্চলের এই উত্তপ্ত
e66d4c49dc	7aed9	শাসনকালে রচিত
e66d55e3b2	7b103	কবির সঙ্গেই বসবাস করতে পারেন
e66d89da05	410fa	লোকজন ছিল
e66d9a61b9	870e3	বাসুদেব শব্দের অনেক অর্থ হয়
e66e13a2b4	2396d	ইয়ামা তার অন্দরমহলে
e66e1cb06a	420df	আসক্তরা বাষ্পে পরিণত হওয়া
e66e95fab2	870e3	পালং শাক
e66fbe2432	ab946	হাফিজকে পুনরায়
e670537c74	cc9fd	থাকতে দেখা যায়
e6713b28ab	c7705	মনে হলো ডিবি অফিসে
e671806869	2aecc	উদ্ভট রসের অতি বেশি ছড়াছড়ি
e671f15edc	10a9f	ভারতে সহজে ও স্বল্প সুদে
e671fc73b7	4e900	স্বরাষ্ট্র প্রতিমন্ত্রীর দায়িত্ব নেয়ার
e672033de4	bc81e	ঘটে যেতে পারে
e672207886	b9b98	বরখাস্ত করেন
e672acdf70	e8dde	সেটা ১৯৪৭ সালের কথ
e672bc8260	65e30	পুলিশের সোর্স, জনপ্রতিনিধি
e67307fc61	4fc91	জল পরী
e673367b71	698ff	২০১৬ সালে
e67359c8e4	8143b	ট্রেন এলে মিজান
e673bd7361	2396d	সাধারণত পোকা ধরে না
e6742c3938	f89d7	পরিষ্কার করার কাজ
e6743609a3	91dff	শনিবার সকাল সাতটায়
e6744587db	ea5be	আগে নভোচারী বহনকারী মহাকাশ যান
e674c69fd3	0bace	কোনোভাবেই মেয়েটিকে
e6751860bd	e6d83	ইন্ডিয়ান মিউজিয়ামে নিয়ে যাব
e675332fa8	f2b7d	চলুন জেনে নিই
e675864561	5b13f	পরে তাদের স্থানীয়
e675979a3d	1a2a1	এবং প্রযোজক
e675bea302	28bb3	ইস্কুলের খাতায় নাম লেখানো
e675e403da	d1b12	জানতুম আজ গোলমাল হবে
e676bb0375	13b70	দলীয়ভাবে মনোনীত প্রার্থী ছাড়া
e676eb0b3b	2aecc	আমি আজ স্বাধীন তাই…
e677d98d98	bd576	তাহলে জনগন শান্তি পাবে
e677e84c36	e8dde	তিনটি বিজ্ঞাপনচিত্রেও
e678071b51	38ff0	প্রদীপ জ্বালাইল না
e6781994b9	bfac7	তাঁর একটি উপন্যাস ত্রয়ী
e6782c9ffd	9e923	সরকার ১৯৯৭-এর
e6789dd21b	c463d	আমাদের প্রাতিষ্ঠানিক ভূমিকার কথা
e678a5f990	d9ba9	কিন্তু ক্রিকেট খেলতে
e678d14dab	491a5	জিম্মি করে ফেলে
e678fd5409	948d3	সাহারা প্রধান সুব্রত
e6794a7074	d2294	অনেক ভেবে শেষে বললেন
e6795bd339	7ee9b	শুনতে পাই
e67963bbe6	f2b7d	৩ হাজার
e679fd3c04	a9a58	শুধু পুরুষ নয়
e67a187d3f	0d9f1	এণ্ডোক্রাইন অপুষ্টির
e67a2bf2d2	554fe	পরিচয় হয়
e67b25fd4a	32998	এই পাইলট স্কিম শুরু হবে
e67bbf92b5	3fce2	উইকেটরক্ষক হিসেবে
e67bf8fc28	b78ec	দুদক চেয়ারম্যান
e67c173d30	ea5be	ডায়াবেটিস ও বার্ধক্যজনিত
e67c1e62b4	fdcba	সিংহ
e67c9e2c30	e3f89	কয়েকশত লোক
e67ca7feec	0d9f1	আবদুল মতিন
e67d009332	c0965	ঠাকুরমার ঝুলি ভিডিও
e67d04b14c	fbb81	নির্যাতন করতো
e67d7bf236	2de86	কঙ্বাজারে মধুচন্দ্রিমা শেষ করে
e67d8137c0	282d3	শুভ্রা মুখার্জির সাথে এই গ্রামের এখনও যোগাযোগ রয়েছে।
e67d9bba8d	4fbd1	সার্ত্রের চেয়েও এগিয়ে
e67d9c131b	ea8fa	অথচ কিশোর ইহার
e67dcfa5d2	71522	শুক্রবারও দিনভর
e67e0c485d	8632b	স্থানীয় বখাটে একটি চক্র
e67ed19f5e	75936	ভারতীয় চেকপোস্টে
e67f682581	f837a	২০১১ সালের ২১শে মে
e67fa1eb7c	68ab7	কিছু পদ্ধতি থাকে
e67ffc4d04	1de6c	৩৬তম মিনিটে
e680792e82	72649	প্রায় ৯০ মিলিয়ন ঘনফুট করে
e680e44165	3fce2	কৃত্রিমতা আক্রান্ত
e681600edf	274ee	সমবায়ের মাধ্যমে উৎপাদন
e681616a10	9c8dd	মিজোরামের মধ্যে দিয়ে
e6820895dd	590d0	তার উপরে নাই
e68236fd5a	c2082	একটু সময় রাখুন
e68280d714	a9a58	মৃত্যু হার হ্রাস
e682cc13c2	ff1eb	সমিতির পক্ষ থেকে
e682ded7c2	903fa	যারা রোপন করেছে
e682ec8405	7b60a	স্বরাষ্টপ্রতিমন্ত্রী বলেন
e682efcf54	086dd	এমন আশঙ্কার সূত্র ধরে
e6830b561a	25117	গান গাওয়া
e6832d9ce4	c11b1	নানা রকমের রহস্য নিয়ে
e68354d77d	a06a1	আনুশকার ছবি
e683638062	28bb3	ভরসা ছিল না
e683e47641	0a7a0	আপিল করেন
e68408b747	c1e30	ইউক্রেনের স্বরাষ্ট্র মন্ত্রী
e684558445	420df	আরও চারজনকে গ্রেফতার করে
e6849383c9	430b2	বিজ্ঞান অনুষদ
e684b7f7fb	0a7a0	কি করে চাঁদে মানুষ গেল
e6850f015f	32b3e	বাংলাদেশী লেখক
e6855b7b7a	c8f7f	তাই বা কে বোঝাবে
e6855cd922	b9a81	চুরি করে আনা মালপত্তর
e6856a1e63	7351e	যেকোনো কাজে
e68589cc15	e2c11	মেয়েও হতে পারে
e685be490c	52578	খালাফ হত্যা মামলায়
e685c740b1	2396d	নিহত আবুলকাশেম
e68616cc24	4a67e	চূড়ান্ত মশাল বাহকের
e687bf2b12	f1240	মৃত্যুর হারও বেশি ছিল
e687d6a2df	a0277	তার পানি ছিল
e687fd92d1	cb842	বাংলা সাময়িক পত্রিকা
e68851980b	943de	আর কী সব বস্তাপচা কাহিনি
e688553c98	efc0d	ঢাকা পৌঁছার পর
e6886d90ac	0895a	ব্যক্তিগত বিজ্ঞাপন হিসেবে
e6888131a6	e6e48	ধন্যবাদ জানাতেই
e688cefe5b	ee4ad	এর বিকল্প
e6890ab7a5	d5213	সুযোগই বা কতটা রয়েছে
e68928267c	3fb17	বিকেল ৪টায় ১২তলা ভবনে
e68979a1ac	c5dc8	ফেলে রেখে যায় অপহরণকারীরা
e689a48fab	ce180	বর্তমানে বিশ্বের
e689cb7e15	5639c	ধ্যান-জ্ঞান করে আসছি
e689f1c06d	13b70	অনুমতি দেওয়া হয়নি
