e00016d136	3ec4d	মহিলা বস
e01a5984c2	39dd0	অংশীদারিত্বের চুক্তির ফলে
e01bfa7154	16a17	ও নার্সিং কলেজ চালু হলো
e01c2925d1	ab946	সৃষ্টিবৈচিত্র্য, সঙ্ঘটন করা
e01c7533fb	4fc91	খাবার জোটাতে জোটাতে
e01c82fc26	66b3c	শীর্ষ বাছাই
e01ca566f9	9f25e	বৃহত এবং সামরিক যুদ্ধ স্থল
e01cd2984b	da6f0	সাজা দেওয়া হয়েছে
e01d31b535	c749e	আলোচনার উদ্যোগ নেয়ার
e01dc97f58	d1b12	রাষ্ট্রপতি মো. জিল্লুর রহমান
e01ea28e07	09f0d	তাদের দেশের জন্যে
e01f3360a7	4fbd1	‘লীগ-কংগ্রেস’ সম্পর্কে তিনি যা বলেছেন
e01f8ee681	ec91c	অগ্নিদগ্ধ অনেকে
e01f952561	79b06	বাইবেল-কোরআন-এ আছে
e01fa1379f	536d9	যোগান, চাহিদা ও বাজারের
e01fe1c34e	a916a	তার কারণ
e01fe4f8f5	355c1	মঙ্গলবার দুপুর ১টা ২৩ মিনিটে
e0200bbaa5	4a918	ক্রমেই সর্বভারতীয়
e0213f8467	16e96	নিষিদ্ধ করা হয়েছে
e0224aa274	cfc65	এতে প্রকাশিত হয়।
e0226965f1	c0d65	২০০৬ ও ২০০৯ সালে
e022838d91	4fbd1	নিভে যাওয়ার পেছনে
e0228f9b15	13b70	সংখ্যালঘুদের ওপর হামলা
e0234827b0	80505	নদীর বুকে
e0242505da	06736	অন্য ফুলের গর্ভমুণ্ডে
e024574b35	93080	ইচ্ছা করেই মাথার চুল
e024e5f7b8	03284	সরাসরি ক্লিনিক থেকে
e025900fc9	2695f	বইটির গুরুত্ব
e025c41b35	c463d	রাতে জেট ক্যাপসুল থেকে
e025ed5219	0d4cb	টাকা পয়সা
e0268c56ca	01e91	বর্তমানে প্রতি বছর
e026ebc20f	976b1	কেউ আসে রাজপথে সাজাতে সংসার
e0275082df	33aef	জানিয়েছেন হাসপাতালের পরিচালক
e027743774	43b04	৫ দশমিক ১৫ শতাংশ
e027a79d7f	6973e	দুদকের করা মুদ্রা পাচার মামলায়
e02828a137	c7a89	শিক্ষার্থীরা স্মারক লিপিতে
e028301a39	09f0d	কাজ করার মাধ্যমেই
e028a11a24	9813c	তাঁদের মন মুক্ত হতে পারেনি
e028adcda0	2aecc	সাধারণ জ্ঞান
e028d67fe5	730c3	অনেক পিছনে পড়িয়া গেল
e029154271	95f83	দর্শক হৃদয়ে
e029dc4be3	e3d8b	কথাটির অর্থ হল
e02a438fa8	442b7	একটি সংগঠন
e02ab6fe66	ad98d	যখন এজিদ জেলখানায় নেয়
e02aea8e86	db735	জনমত গড়ে তুলেছেন
e02b2fc1ff	eaa7a	বলে জানিয়েছেন ঈশ্বরগঞ্জ মডেল থানার ওসি
e02bc0ab04	16e96	গত ২৭ জুলাই
e02c300687	98b81	তার উপর বাদামি ছোপ ছোপ
e02c583d38	f1ea4	তার নামে
e02c5eabb8	2695f	কয়েক সেকেন্ডের মধ্যে
e02c8ba7c6	42898	ঠিক যুদ্ধের মতো
e02cddf98a	7d133	প্রথম অক্সফোর্ড ডিকশনারিতে
e02d1efd58	5a61c	রেমিটেন্স দেশে পাঠিয়েছেন
e02d29b0b3	1652d	বললেন প্রত্যেক বার
e02d29e5f8	d9081	রাজনগর থানার ভারপ্রাপ্ত কর্মকর্তা
e02d834dcd	7297e	সিটি এলাকায়
e02d9b503d	da6f0	ইউ টিউব থেকে ভিডিও ডাউনলোড
e02da0ea99	03284	কাজেই এই সরকারও
e02e2667d6	410fa	অপেক্ষা সয়
e02e4c35dd	d3e06	২০১৩ গ্রহণ করেছে
e02e6d02d5	7aed9	তাই বলে ভাববেন না
e02e748c95	388c9	জানানো হয়েছে মাইক্রোসফটের পক্ষ থেকে
e02e90be84	b618b	সীমান্ত শাসন করে
e02ec8ec9a	a06a1	প্রভাব বিস্তার করছে সরকার
e02fa26990	11de3	সরকারের ভেতরে-বাইরে যারা
e030f4b40a	8cf95	অন্তর্দৃষ্টি দিতে পারেননি
e03116382d	c11b1	তিনি ছিলেন উদাসীন ও সংশয়ী
e031cc093a	7027a	দিনের আলোর মত
e03218e2eb	6e8cb	১৯৭৪ সালের ১৫ এপ্রিল
e032759121	e6e48	লিপিবিশারদ শরিফুল ইসলাম
e033433e74	1f733	হিন্দু কবিরা
e033e641ab	1f733	ঘুঙুর ইত্যাদি
e0343861d1	e68af	টপ নিউজ
e034b4a90b	91dff	উত্তেজনা বেড়েছে
e0356bf3ec	086dd	সদস্য ৩
e03583c230	dec2d	সহজে ঋণ সুবিধা দিতেই স্বস্তি
e035f5cd31	8cf95	প্রাসাদ ঘিরে ছিল
e0362c6538	2d98b	প্রথম সার্থক ও জনপ্রিয়
e036df1cec	1e7c7	আমাদের করা জিডিটি
e037313b47	43b04	বদান্যতার সঙ্গে
e0373cd9f7	0c39f	বিসিবি এবং আইসিসি যৌথভাবে
e037a91b26	4a918	ঘটনায় তার স্বামী
e037ed063a	860f4	এই ঘটনা নিয়ে
e037fcd8f6	194f5	৫৪ কোটি টাকা
e0380703fb	35ef3	ফাঁক পেলেই তিনি পালান
e03836e150	2ad74	তিনি প্রাথমিক চিকিৎসা নিয়েছেন
e038791b55	46da4	কিন্তু কাপড়টি যখন তার বাসায় এল, তখন দেখা গেল সেটা কমলা রংয়ের।
e038be42c1	6dff5	সালমান শাহ্
e039255eb4	9065c	নানি বলেন–আসসালামু আলায়কুম
e03930530a	29089	একটি রাজত্ব ছিল
e03a18ef5e	0a87a	বলে কাকতাড়ুয়া
e03a212214	274ee	লোকসান গুনতে হচ্ছে তাদেরও
e03a288b50	2fc12	এ পরিস্থিতির তৈরি হয়েছে
e03a32dafa	5dd61	মানব ইতিহাসের
e03a3f1302	e6752	তার বিপরীতে অভিনয় করছেন
e03a53cf9c	e9759	আয়োজিত এ কাউন্সিল হতে
e03ab5641b	f89d7	কম্পিউটার প্রকৌশলী
e03b3b7a0d	56508	ওয়েব ইন্টারফেসের মাধ্যমে
e03b461c21	7b103	পরের গোলামি
e03b474b38	355c1	উত্তরে ওয়ারউইকশায়ার অবস্থিত
e03bc4a05c	ee4ad	রেলের উদ্ধারকর্মীরা কোনো প্রকার
e03bd91207	29089	এবং সাহারা খাতুনসহ
e03c2f95f7	db735	আসেন পাশের দেশ
e03c5ef8b4	d8c80	রোমান্টিক
e03c6e5429	4c555	দোকানপাট, বাসা-বাড়ি থেকে
e03c992cfc	3bea8	কালাবিপাড়া আদর্শ উচ্চ বিদ্যালয়
e03ca633e8	15a75	বসিয়া রহিল
e03d209525	809cd	সরকারি চলচ্চিত্র কেন্দ্র নন্দনে
e03d697a35	16cfb	পোশাক শিল্পের স্থিতিশীলতা
e03d73ccb4	d9081	রাজনীতিবিদ
e03e8aeffd	442b7	এলাকাবাসী নদীতে
e03ea7b721	ce180	ড্রইংরুমে নিজ কন্যাকে
e03edb0cf8	54e68	এত লম্বা ডায়নোসর
e03efd9127	82926	বুটিক হাউস
e03f31209e	cfc65	তখনো আকাশে জমে নি
e03f51443b	fda1a	মধ্যস্ততার কোনো উদ্যোগ তিনি নেবেন
e03fd13188	3bea8	হৃদপিণ্ডের ইলেক্টোকার্ডিয়াম ডেটাও
e03ff3a7f6	06e62	তার তথ্য মতে
e03ffb076f	5cb47	উন্মোচিত করে দিয়েছিল ও
e03ffdbb39	52578	আনন্দ পেতেন বেশি
e040029c91	9fa90	বঙ্গবন্ধু হত্যাকান্ডে খন্দকার মোশতাক আহমেদ জড়িত ছিলেন বলে মামলার সাক্ষ্য প্রমাণে উঠে এসেছে।
e0404c0ee5	7ee9b	যে সংকট প্রকট হয়েছে
e0406612c2	509f6	সাভারের বেসরকারি
e04094e130	0f047	রাতের যে কোন সময়
e04148f67a	91b16	প্রতিবিম্বিত হয়
e0416735c2	e6203	পূর্ব্বে তাঁহারা যুদ্ধ করিতেন
e041a80f0a	6e8cb	বাজাতে বাজাতে
e041bb1166	2aecc	জানান এসআই ওয়াজেদ
e042644806	65e30	বাংলার কাব্য বিকাশের
e042bed5eb	a3a6d	নোটিশ পাঠানোর বিষয়টি
e0431cc1ab	69d9a	সম্মিলিত হয়ে
e04350001b	1a2a1	এবং দেশের মানুষকে ভালবাসত
e043ce4ec1	8ba2b	এবং ওষুধ-পরিচর্যা বাবদ
e043d8fa5a	aab0f	উদ্বেগের কোনও কারণ
e0443b34dc	3f875	দাবি করেছে যুক্তরাষ্ট্র
e044551624	0696e	উঠিয়ে নেওয়া হয়
e044c937d5	1b359	কখনোই টেস্ট খেলার সুযোগ
e045839af4	ff0fe	চাপ সৃষ্টি করা হচ্ছে
e045ce1736	ee7b2	তাহা এই
e046157b7b	9c8dd	তাদের গ্রামের বাড়ি
e0463782bf	4237e	উপজেলার মোট ১২৭টি প্রাথমিক বিদ্যালয়ে
e04662ff27	4a67e	সমঝোতা রক্ষার
e046683bf0	17ca1	বিরাটকেও এ ব্যপারে
e04668ec4c	4c1eb	বলছিলেন তেমনটাই
e046ba0117	577fa	এই, মুনা কেমন আছ
e046d2dc01	2de86	বিরোধ ছিলো
e04707c360	5cb47	নিষেধাজ্ঞা তুলে নেন উচ্চ আদালত
e04723b3df	b8ed8	ব্যাখ্যাটা এরকম
e047de3e59	09f0d	তিনি যে আদর্শ রেখে গেছেন
e047ed0427	54e68	দক্ষিণারঞ্জন ছিলেন
e048028f69	0f047	প্রভাব পড়তে দেখা যায়নি
e0480ba1b9	eecdd	আমার পছন্দ রজনীগন্ধা
e0480c9ebf	33814	এ কথার পক্ষে সাক্ষ্য দেয়
e04877a5d2	e2ff7	দেশ থেকে
e04884c6ea	323f1	বাহির করিয়াছিলেন
e0495c9214	83c53	যে ১৫টি জেলায় সহিংসতা হয়েছে
e0499a570a	0d4cb	আক্কেল থাকলে
e04ab0b774	10a9f	কংসের কারাগারে ফিরে এলেন
e04bb13709	b8bba	বাংলাদেশ ব্যাংকের
e04c0011ae	32998	দমদমে পৌঁছুলুম
e04c9b93a2	195f7	উদ্ভিদ
e04cbd56fc	4486f	মুক্তিপদ তার নাম
e04d167e30	315e9	কবি কাজী নজরুল ইসলাম
e04ddb9ad0	9e923	তাঁহারা একান্ত পরহিতৈষী
e04dfdf2cb	976b1	বিষ্ণু বা শিবের
e04e186cec	c749e	পরিবহন ধর্মঘট ডেকেছে
e04e8c8b09	5354e	ঢাকা ট্রিবিউন
e04f9ff128	dae88	গত ১২ সেপ্টেম্বর
e04fa77dc1	14816	আদিতেয়, আদিত্য, একই
e04ff5a877	2c9c5	মিশরের কবি
e04ffd70af	ee994	অগণিত মানুষের ঢল নামে
e050904db8	b8fe1	আদালতের সিদ্ধান্ত আসলেই সরকার এ ব্যাপারে পরবর্তী পদক্ষেপ নেবে।
e0513c895c	35ef3	পদক্ষেপের অগ্রগতি সম্পর্কে
e051d966fb	2b883	দক্ষিণ আফ্রিকা, অস্ট্রেলিয়া এবং নিউজিল্যান্ড
e0532f6033	1a4a9	যা আচার্য জগদীশ চন্দ্র বসু রচিত
e05374cc91	42898	হাড় দিয়ে বানানো হয়েছে
e05381b554	ef915	বুয়েটের গেইটে অবস্থান নেয়
e0538d19fd	7ee9b	ডিজিটাল ডিভাইড কমে আসবে
e0538d8fe9	9351a	জাতীয় সংগীত নিয়ে
e053d26ea1	54e68	সব হাসির কাণ্ড করে
e0543e5bf3	66c6b	৫০ রানে পাঁচ উইকেট হারিয়ে
e054a23535	25117	ভাই আমার
e054edde51	4bd2c	উদ্ধারকারী ট্রেন
e055334f2e	05901	টেস্ট খেলার সুযোগ বেড়েছে
e055982125	91dff	গানও গাইতে পারি না
e055d6ff28	08458	তা তারা বুঝতে পারেন নি
e055f9debd	2aecc	২০ সদস্যের একটি প্রতিনিধি দলের
e0563c1603	77f82	ব্যাংককের একজন বাসিন্দার সাক্ষাৎকার
e056db3072	e2ba2	পুষ্প, বীজ, ফল
e05763df67	3fb17	পশ্চিমবঙ্গের সর্বোচ্চ পুরস্কার বঙ্গবিভূষণ
e057656d55	4f450	গত বৃহস্পতিবার প্রজ্ঞাপন জারির করে
e057a60f9a	21e54	নির্ণায়ক হিসেবে
e057b37d9a	acb88	স্কুলগুলোর জন্য
e0581ef6ec	6d129	সমতায় ফিরতে
e058546d00	ee852	পিতামাতার সম্পদের উত্তরাধিকারী হবেনা
e058c898d2	11915	খুব কষ্টকর
e058cfe20c	a43b5	অথবা অর্থদণ্ডের বিধানও
e058fe7d89	c11b1	রাত্রি ২টা বাজিয়া গিয়াছে
e05907bf27	33aef	মঞ্জুর হওয়ার পরে
e0596404d9	7d3e1	দ্রুত নির্বাচন কমিশনকে
e05a295536	3bb15	প্রস্তুত হয়ে এসেছিল রোমিও
e05a7fd869	d2294	ব্লগাররা ইতিমধ্যে তার ওপর
e05a99dd10	4c1eb	তাহলে তখন
e05a9bd748	91dff	কান্না
e05aa7bccc	577fa	আমি পাঠ্য কি অপাঠ্য পড়ছি
e05ab9367a	93d3b	আলোচনার বিষয় হয়ে এল অমরত্ব
e05acca1c2	6e6fa	একাত্তর সালে পাক বাহিনী
e05ae8c110	6b437	খোঁজ-খবরও নেন
e05b1064b0	f6e55	কুল
e05bac2715	a43b5	হাতে ধরা পড়ে
e05bc8be39	4f450	তাঁর গল্পে
e05bd17694	f2b7d	দলীয় নেতাকর্মী ও এলাকাবাসীরা
e05bf553d0	0edef	ফলে আমার সব জড়তা
e05cb54399	4c555	টিকিয়ে রাখতে হলে
e05d1889f7	77f82	নির্মাণ শুরু করবেন তিনি
e05d767c40	e6e48	হেই গোসত কি
e05d7c7fed	66dcd	ফুল চাষ
e05d9e0ad5	ff1eb	জাপানের
e05ebe9c18	948d3	বন্ধ দোকানের বাইরে থেকে
e05ef23b25	66b3c	উভয় দেশের লোকজন
e05f3475e7	932bb	সিরিয়ায় সামরিক হস্তক্ষেপের বিরোধিতা করে হুশিয়ারি দিয়েছে চীন, রাশিয়া ও ইরান।
e05f8634a7	91b16	অধিকার লাভের চেষ্টায়
e0601bccf2	ce180	গাদ্দাফি
e060232eb7	46da4	এই হোটেলের আয়োজন
e0603ea5d1	c749e	ভেক্টর
e060cc19c0	f9dfb	পাঠক নিজের মুহূর্ত
e060d9f82d	b52ab	ইংল্যান্ডের বিরুদ্ধে
e060ed740b	07660	একেবারেই অক্ষত
e0615f93f8	2fc12	যে বাস সেবা চালু হয়েছে
e06192869b	6e6fa	আলাপকালে তিনি এ কথা বলেন
e0619ad575	1652d	এ পর্যন্ত প্রায়
e061e3cb42	bfac7	সুবল দুত্তোরি বলিয়া
e061fafd7d	e3f89	১০ম জাতীয় সংসদ নির্বাচনে
e062045b34	f1240	যেভাবে তুমুল করতালিতে
e062135ce8	3fc9d	তিনি নায়িকা ছিলেন
e0624450a3	8cf95	দাবে না, হাসবে না
e0629c7d71	e6203	আমোদ ভোগ করে
e0639a0e32	4dd57	গত ১৫ই মার্চ
e06554dbee	83c53	ঐ কথাটা
e0657a7010	745b7	হয়ে গেছিলাম আমি
e065985668	22096	দিবাগত মধ্যরাতে
e065c2ba4a	b00ba	মানবতাবাদের সহজিয়া
e06615c85c	d5f7b	ধরে প্রায় তিরিশটি
e0661ea04d	a7c6f	ভয়ে জ্ঞান হারিয়েছিলেন তিনি
e066917489	83c53	কিন্তু নিজ দেশের সরকার
e066e81617	520fb	বাবার আঙুল ধরে
e0671cd7b8	8406e	ধ্বংস কেবল চূড়ান্ত
e06733eaf8	29f8c	বরিশাল
e0675941f2	0606d	কৃষকরা
e0675a5064	93d3b	কিন্তু বলছে না
e06794ed56	8406e	শুধু চুলের খুশকি দূর হবে না
e067962a16	b8bdd	সেই প্রকল্প
e067c14fa6	c9c19	নির্বাচনের উত্তাপ
e067e00b7f	f2b7d	সবুজ লুঙ্গি
e067f58162	60f77	তোরা তোরা লাগি
e068095cf1	2bc73	কিন্তু আদতে মুভিতে
e068c88911	948d3	পৃথিবীর তরঙ্গগুলো
e068ccf037	9282d	এটা খুব গৌরবের ব্যাপার যে
e06955f135	6aac8	স্লেভ
e06a18ba0c	80e98	মার্জিত রুচি
e06a41e9f2	bdd05	উকীল দেখিল
e06a8bb2ad	8c120	সবার আগে প্রয়োজন শিক্ষা
e06bdbe393	e50f1	পাগল মধুকর
e06bf6ef4a	745b7	গিয়েছিলেন বিবিসির মিল্টন এনকোশি
e06c0cb2f2	ef4f8	কোরি এণ্ডারসনকে
e06c5148c2	9d7bf	আমি প্রতিশ্রুতি দিচ্ছি
e06c66e37c	693cb	সুবর্ণর পরিবারে
e06cde1d18	da6f0	শিনজো অ্যাবের সঙ্গে
e06cf02b80	d82d9	আমি ১১ জনকে
e06d3f4374	47e8d	শুরুতে অনেক প্রতিকূলতা
e06d4a0dc7	93d3b	গোয়েন্দা গল্প
e06de22242	e68af	এর সাথে
e06ded5a3e	cc18a	থামানো যাবে না
e06dfe7885	c1e30	মুঘল সাম্রাজ্যের
e06e2711f8	1e7c7	তারা নিজের পদটিকে
e06f711a30	7c272	মামলা হয়েছে
e06faf34d3	c7a89	সফর করবেন
e070c0e2ae	18460	স্টুডিওর টেবিলটি ভেঙে
e070c19614	f600a	২০০৯ সালের ১২ মার্চ
e0715e2748	7d133	সাত সাগর তেরো নদী পেরিয়ে
e071da8f63	274ee	স্বপরিবারে
e072ac0e43	f1ff2	বাবার শরীর নড়ে না
e072d4f9a9	13b70	সাধারণ মানুষের টাকায়
e073c13b2e	ef4f8	হাজির হতে হয়
e074294342	ee7b2	এর পরও আলোচনা হলে
e074656f30	239f7	যাতে দেওয়ালি উৎসবে
e074cbbd27	b9122	হুমকি দিয়েছে তালেবানরা
e0753d07c8	e43d4	এই নিয়ে তৃতীয়বার
e0755986c6	8632b	এখানে এসেছি কেন
e075b29bc4	520fb	রংপুরে প্রতিষ্ঠিত হয়
e075ff8e1d	85430	আমি বহুবার জ্যাঠামশায়ের শরণাপন্ন হয়ে
e0762b8db8	d2355	পূর্বাঞ্চলীয় উত্তর আমেরিকা
e076575a8a	92bd8	তিনি তাকে
e0765964eb	2695f	ভিতরে বসে
e07670638b	6aac8	তবে বর্তমানে
e076734651	a43b5	দেশি-বিদেশি
e077a7e199	52578	চিলড্রেন অফ ওয়ার
e077c3d430	3f493	লক্ষ্য হল
e07809683c	0633a	তহবিলে টান পড়ার পিছনে
e07875be84	bdd05	হ্যাক করছে
e07982836a	1652d	ডেথলি হ্যালোস চলচ্চিত্রে
e079cfdcbd	32998	দলে রাখা হলেও
e07a4c3822	e6203	এছাড়াও শিক্ষার জন্যে
e07b383aba	ab946	এই মিউজিয়াম নির্মাণ করা হয়েছে
e07b9e41dc	6aac8	পায়চারি থামিয়ে
e07bcc97c7	ac904	আহমেদ আলম হোসেনের ছেলে
e07bd1d339	aa820	মুস্তাফা মনোয়ার
e07beadaff	3f493	বুঝতে পারেন
e07bf93a9a	f89d7	বেশিরভাগ জনবসতি
e07bfb183e	7df87	পাসপোর্টসহ সব কিছু পুড়ে গেছে
e07d5b7ade	06527	তাদের মনে ফের আশঙ্কা
e07d7dee3d	491a5	যুদ্ধের বিবরণ
e07e12803f	e9fa7	দ্বিতীয় অবস্থানে আছে
e07e6deba8	ff1c3	গ্রানাদার কাছে
e07ea320dd	ee994	১২০ থেকে ১৫০ টাকা দরের আদা
e07eabc2df	c7a89	দলের নির্দেশ অমান্য করে
e07fb6d544	80539	সেই জন্য কাঁদিতে চাহিতেছিলাম
e07ffa8861	3ccf1	বের হওয়ার সময়
e08052578d	ac904	পুরুষতন্ত্রের ধারক এবং বাহক
e080926169	e9759	বঙ্গভঙ্গ কার্যকর হওয়ার পর
e0809b746f	49543	দক্ষিণের রাজ্য
e080aadaa9	b8bba	সম্পূর্ণ অচেনা এক লোকের সঙ্গে
e080d86687	0a7a0	৫.৫ ওভারে ৪১ রানেই
e081dd5451	c2082	সবচেয়ে বড় ব্যবধানে
e081f7b14c	39dd0	তিনি একদৃষ্টিতে
e082417321	e2ba2	নাকি যুবলীগ করতো
e0826e23af	f658d	বসন্ত
e0829974e4	18460	ও সন্ত্রাসী দুখু বাহিনীর
e08319333f	8632b	ফলে সেটি
e0831fd5d8	b8bf0	একেএম রহমত উল্লাহ
e08423c824	d9ba9	বিষ
e0842becfb	68549	কোনো পার্থক্য তৈরি হবে
e0842ef0de	a4750	নেমে এসেছেন এ পাড়ায়
e08500d96f	fcc89	নর্থ জোন চারশ পার হয়
e0856c9d2f	b7be9	বাকিরা সবাই কারাগারে
e085869dd2	85430	দেশে এই রোগে আক্রান্ত
e085964795	9092b	কিছুদিন তিনি ভারপ্রাপ্ত ব্যবস্থাপনা পরিচালকের
e086004401	ad98d	মা’কে দেখেছি
e086c81a8c	efc0d	এই কাজ পরিত্যক্ত হয়
e086ecd747	18460	বান্দরবান সদর থানায় কর্মরত
e086fcbc7e	83c53	তার একটি ফেসবুক কথোপকথন
e0870b4426	b8bba	কাজ করতে ঘেন্না হতো
e087aa21b2	6b437	বাহিরের ছবি
e087ad9118	06e62	সমস্যাটি হয়েছে ব্যবস্থাপনায়
e0880f8e07	a274b	মরিচ, চিনি
e088ca2c94	ab946	বন্ধ হয়ে গেছে বলে
e08990fd0a	321b6	গায়ের জোরে করেছেন
