7200188d44	2bc73	বিদ্রোহের জন্ম হয়
72457d99f7	554fe	এর পর থেকে
7246ca994c	2ad74	২০০৮ সালের ডিসেম্বরের পর
7246cfcfb2	37d7e	দ্রুত কথা শেষ করে
7246f63ecd	809cd	তাঁহারা সকলে বিরাটরাজের
72472e1177	730c3	আমি ফোন করেছিলাম
7247d710d5	7ed14	যেসব অঞ্চল পিছিয়ে রয়েছে
7248292149	14d25	অনেকক্ষণ ধরে
7248f30572	2ac82	প্রতিদিন পার পেয়ে যাচ্ছে
72493185ae	17dcd	যার সঙ্গে আটলান্টিসের
7249514c80	430b2	অসাম্য বাড়তে শুরু করেছিল
7249d9469c	46da4	এই চিন্তায়
724a06ab28	0d4cb	এ থেকেই অবসান ঘটে
724a952b26	4fbd1	তাফহিমুল কুরআন
724ae633f1	b52ab	পালন করে
724b10e769	4dd57	ব্যাপকভাবে প্রথম
724b11f6f3	93bf3	ইত্যাদির উপর নির্ভরশীল
724b22f271	1279e	মুক্তি পেয়েছে
724b60151b	03284	দেশের প্রথম সারির
724b637487	ad2a0	রড জাতীয় কিছু দিয়ে
724b760913	860f4	বা হিমাগারের সংখ্যা
724bdb0b03	1e7c7	সে প্রসঙ্গে আসছি একটু পরেই
724c15cc09	0c39f	দুহাজারের মত কারখানা
724c647556	29f8c	বর্তমানে ৮১ বছর বয়সী
724cf3012b	9813c	গোয়েন্দাদের জানিয়েছে
724d7b430c	ac0df	দেখা পেয়ে যান
724db12b04	2c9c5	বেশির ভাগ মানুষের
724e1cd8f1	49543	নতুন যে মধ্যবিত্ত
724eff2682	f1ff2	এই মঠ
724f4bfe90	d5213	একটি চেয়ারে
724f8bd670	b2a62	শীতে খুশকিমুক্ত চুলের জন্য
724fbfb865	80be1	রপ্তানি উন্নয়ন ব্যুরোর
72501bcd8c	22096	বিশ্ব ব্যাংকে
7250240a8c	c2082	বিক্রি হচ্ছে কবিতার ক্যাসেটও
72503f94ab	11de3	তাদের লড়াই বন্ধ হয়
72505d9c90	430b2	ফলের জুস, ভিনেগার
72511cc59a	93080	কি ভীষণ শক্তি
7251ad0c82	8ba2b	ওয়াহিদার মতে
7251c23e1f	b8bba	এবং অন্যান্য কট্টরপন্থী দলগুলোর
7251d35902	33814	হবেন বলে জানিয়েছেন
725212de1b	11de3	মেয়েরা একটা
725242bf38	c0965	চলতে থাকে
725280d520	4a67e	সরকারি মতে ১৩ জন নিখোঁজ
72528316e2	e03fc	চোরটির দুই হাত
7252a42827	410fa	ইউক্রেন সংকট
7252a96882	9f25e	ট্রেনটি খুবই দ্রুতগতিতে চলছিলো
725352d778	d0c70	ওস্তাদ আলাউদ্দীন খাঁ
72535534b1	282d3	কৃত্রিম অপঘর্ষক
7253af3cc6	11bd2	অ্যান্ড ফেব্রিক্স নামে
7254d5e78e	0744c	বহুজাতিক সাম্রাজ্যটি
7254d99082	e03fc	অশ্বিনীকুমার
7254daad2f	dafb6	আটকে গেছেন
7254de5b2b	b78ec	প্রকাশ করে
7254e13b06	4e900	হুমায়ূন আহমেদের চলচ্চিত্রগুলো
7254ed46ba	37d7e	পুনম পান্ডে
7255356311	f0f95	নিরাপত্তা বাহিনীর তৎপরতা
7255be328b	355c1	শত শত পুলিশে ভরা ছিলো
7255fe1d0d	29089	ঢালাও ভাবে মাদ্রাসার বিরুদ্ধে
72562903ff	f29bf	মামলা দায়েরের প্রস্তুতি চলছে
725636f2a5	b00ba	আগামী ২৫শে জুলাই তার শপথ নেওয়ার কথা রয়েছে।
72569b473f	11de3	এ ঘটনা শুনে
72573cf670	fd880	মাঠে অবস্থান করে
7257eb8a86	e9fa7	খুন হয়েছেন
7258276ad0	0b7ca	ঘোরাতে ঘোরাতে
7258683de9	42898	অবরোধের কারণে ভয়ে
725895e3f9	321b6	আর মমত্ব দিয়ে
72591dd3ea	d2294	তার হিসাব নেই
72597570ae	c11b1	অভিষেক ঘটে
7259b6f034	2d78f	এসব বাস ভেহিক্যাল ট্র্যাকিং
7259bb9754	8b859	আহবান জানিয়েছে তারা
7259c20903	f2097	বিক্রির জন্যই এসেছিল
7259e7499f	d41be	মোদি কখনোই স্ত্রীর নাম লেখেননি
7259eabbf0	c0965	ঔষধি ও সৌন্দর্য বর্ধক
725a28dbca	5b13f	উদ্ধার করবে কে জানে
725a51adc2	c6848	সিংগাপুর ট্রেনিং সেন্টার
725a9b4a04	5dec6	ট্রলার থেকে
725adf1b48	bbb22	পদক্ষেপ নিতে পারেননি
725b1c023f	e3d8b	ঝেড়ে ফেলা যেত
725b8dd6b7	9092b	অন্যান্য কুটুম্বগণও আসিয়াছিলেন
725c11f205	39293	মেসির ঝলকে
725c505c6f	68ab7	আশ্রয় গ্রহণ করাকেই
725c6d6812	5639c	কেঁদুলী বা জয়দেব-কেঁদুলী
725cd44507	dec2d	দশদিনের রিমান্ড চাইলেও
725d54337c	6ab59	এক পর্যায়ে বুধবার দুপুরে
725e1d349d	baa02	কিন্তু বয়াতির
725f0ed536	bdd05	যা সহায়ক হয়েছে
725f24cab7	6dff5	হাঁটুতে হাত রেখে হেঁটে যাই
725f403dc0	60f77	সম্ভবত নেথান ব্রাউন
725fbc6b87	d8c80	দুই দলের এমন
726059cb49	a9a58	আসল কারণটা মগজের গড়ন নয়
72606713b2	4fd66	অনুধাবন করতে পারছো
72608b295e	2c9c5	প্রথমার্ধের শেষের দিকে
72611f289c	cc9fd	তাকে রিমান্ডে পাঠায় আদালত
72614b4f7f	3fce2	আয়োজন করা হচ্ছে যেখানে
726188d784	b8bf0	সহজ হয়ে ওঠে
7261a75ec4	0c39f	লিখে দেওয়া হল সীমাহারা
7261a84f67	4fc91	লিমিটেড ক্যাপাসিটি থেকে
7261eced42	0895a	তার অস্থিমজ্জার
72628b2871	d0c70	রেগে যায় নন্দিনী
7262cf9b75	2ee04	আর ওই বিদ্যুৎ ফিদ্যুৎ
7262eb4fb9	c8f7f	তুরস্ক
7262ec4cf4	28bb3	লাট সায়েব এলে
7263409321	e3d8b	আনুষ্ঠানিকভাবে আমাদের জানানো হলে
7263be8d36	6aac8	তথ্যপ্রযুক্তি বিশেষজ্ঞ
7263c16781	355c1	আকাশে গুলি চালায়
726450df50	1e7c6	কংগ্রেসও নির্বাচনের আগে
726454fa36	9fa90	পীর আমিরুল্লাহ একটি বিয়ে করেছেন
726467e28a	c958a	এমন কোনও প্রমাণ নেই
726471fbcf	25696	৯০০ কোটি ডলারে
7265105500	2ad74	মানুষ মেনে নিল
726607d144	eecdd	উপস্থিত সব সমিতির নেতারাই
726631bba8	b08d0	ফাঁসিয়ে দেয়া হচ্ছে
72663976e7	3fb17	ফুলের টব
7266be5366	745b7	সে কিভাবে পরিচয় দেয়
7266cc50eb	32b3e	জবাব আসে নি
7266d92e00	1cb75	দেখা করার কথা রয়েছে
7267337179	91230	বাংলাদেশ সরকারের ওয়েব পোর্টাল
7267b90304	e43d4	লোমহর্ষক ঘটনারাজি
7268022a97	8edea	রংবাজ ছবির গান
7268228c72	93080	জাতিস্বর
726840cac8	0f047	জখম হয়েছে লালমিয়া
72686d72c6	2fc12	সরানো শুরু করে
726890b9ec	e00db	কোলে একটা খোকা নিয়ে
726892e624	976b1	৩ এপ্রিল থেকে
72692113fe	64092	পৃথিবীর আকর্ষণই অভিকর্ষ
726945e742	5cb47	তাজমহলের নির্মাণকাজ
726a8c5f8e	420df	পরমাত্মার সঙ্গে জীবাত্মার মিলনই
726b11d511	c7705	দাদুর হয়ে যায়
726b2cc216	c958a	উৎস হিসাবে
726b4cd15f	d2d71	তারা এজন্য
726b5fcf49	d2355	যে তাদের উপরও বর্তায়
726ba513a3	d7a68	আপনি শতবর্ষ পার করলেন
726c07dd73	82926	এবারে প্রকাশিত হচ্ছে
726c236c27	cfc65	পুরুষ শ্রমিকের আলিঙ্গনের দৃশ্য রয়েছে
726cb1c0eb	e8dde	তাজমহল বা শুধু
726d3c2753	ce629	খেলোয়াড়রা যে খানিকটা বিব্রত
726dae5ef2	315e9	শিশুদের সুন্দর নাম
726dbff1bd	23291	রিক্তা বেগম নিজেই
726dc51d98	ff0fe	ট্রাক ও পিকআপ ভ্যানের
726e3cba4a	aab0f	মোটমাট সাড়ে ছেচল্লিশটি পদ
726e9d8adf	0606d	শোয়া নেই,
726ee28455	b8bdd	তার সমস্ত শরীর
726fc97cc2	11de3	অবাক পৃথিবী
72712c939e	1e7c7	ক্লাস আর পাঠ্য বইয়ের পরিবর্তে
727177a2ba	c0d65	তথ্য ও যোগাযোগ প্রযুক্তি আইনে
72727fadc0	29bab	বাঙালী মুসলমাদের অবস্থার
7272ac48e4	3fce2	হয়তো জীবনে কোন দিন
7272b85196	ec91c	একই প্রশ্ন আবারও করল
7273ce3e81	e31e7	এই বন্ধনের প্রতি
7273e01ee4	aabe7	সম্রাটের জন্য
7273f8f46a	e8dde	আমার স্নেহময়ী মা
727410203b	49543	আগামী ৬ সেপ্টেম্বর
72746ca6a8	9e923	যে নিকট-আত্মীয়দের মধ্যে
7274ed5c90	03284	এগুলো প্রায় সবই
72750768a2	1f974	কারণ একটিই, তাঁর নুনু
72750b1e3c	eecdd	ঝালকাঠী সরকারি বালক উচ্চ বিদ্যালয়ের
72755ba530	0c39f	মরীচিকা
72760fe23e	b08d0	কোরআন শিক্ষা
72762268ff	b8ed8	তার ওপর বর্তায়
72762a9655	ce629	তিনটিতে যান চলাচল
727649b091	7d004	উত্তেজনাকে আবার
72764f08bf	0606d	শাস্তির ব্যবস্থা নেই
72766a20ad	c749e	তা তো একেবারে
727687975b	17dcd	সেখান থেকে এসে
727755d43d	6d129	বাবা বলেন
7277ffa89e	2d78f	আমাদের ছবিতে
7278317a12	5a61c	শীতের পোশাকের জমজমাট বাজার বসেছে
72785aaa68	ee994	গ্রিন গার্ডেন সালাদ
7278bad959	10a9f	কেউ মেনে চলেনি
7279b3a42e	f0f95	ঘুমের মতো
727a48b6db	9f25e	রউফুন বসুনিয়া
727a69c192	f0f95	আন্তর্জাতিক কলেজিয়েট প্রোগ্রামিং
727a86de89	14d25	নন্দিনী বেডরুমে গিয়ে শুয়ে পড়ে
727aa604de	e6203	যুদ্ধাপরাধ বিচার মঞ্চের
727b3672f8	0c39f	বিপুল পরিমাণে
727c134fc7	4fc91	এমনকী আট থেকে বারো বছর বয়স্ক শিশুদের ঢাকার রাস্তায় প্রকাশ্যেই ড্যান্ডি সেবন করতে দেখা গেছে।
727c3dc831	9351a	তাদের নাম বলতে
727ceee7bb	84145	তিনি আবার ভাই ওয়াল্টারকে
727d7c92e2	6da0a	যেমন- নিউকর, কলা
727d9fd0f0	f2097	সেটি ক্রমান্বয়ে
727da419d4	b8bf0	এত বড় বিশ্বমানের আয়োজনে
727e4b34f8	dba43	সম্পাদনের মাধ্যমে
727fb3e379	f1ea4	'মন আমার দেহঘড়ি
7280387d50	c463d	তাঁহার কাছে গিয়া দাঁড়াইল
72807eb73b	730c3	এখনো সাফল্যের দেখা পায়নি
72816294eb	7d3e1	এতে পয়:নিষ্কাষণ খরচ কমবে
72818f86dd	58998	আহত ব্যক্তিদের
7282bed3b4	eb179	৭টি সিনেমা মুক্তি পেয়েছে
7282dc0f5c	b78ec	লঞ্চটিতে যাত্রীসংখ্যা ছিল
728326f0d9	fdcba	পবিত্রতম দিন
728351b29f	d5f7b	তালাবদ্ধ হয়ে আছে
7283667da0	b7be9	ঢাকার ইতিহাস
7284060803	76329	কোন ধারণা দিতে পারে নি
72843d56b8	fda1a	হত্যা করার
728441ce9c	c41d8	বিভিন্ন শিক্ষা প্রতিষ্ঠানের শিক্ষার্থীরা
728466bb21	1b359	ওকে কথা বলানো মানে
72857fd112	430b2	একাত্তরের ঘাতক দালাল
7286b8020a	58998	কথায় না বড় হয়ে
7286ed40b6	b618b	এখন তারা
72871bddfb	fb4cb	ব্যয় সংকোচন করতে হবে
728749dd5c	43fc0	অবিরাম ধারায়
7287796fd0	f9dfb	চৈতালি বলে
7287d9266d	0b7ca	উন্নয়ন বিষয়ক মন্ত্রী
7288b55c4e	282d3	আফগানদের সঙ্গে হারবো
72890a8dd7	6ab59	তা পান করে
72890b6490	3f493	তাও আবার বসে বসে
728932e2af	7df87	অভিযোগও করে তারা
728999eb6e	32c77	মজার ফটো কমেন্ট
7289e25d95	29f8c	একটি বিছানার চাদর
728a01d34e	7b103	সর্বশেষ যুক্তিতর্ক শেষে
728a107a54	a1201	আমাদের সকলের
728bc63b66	05901	বাদ পড়বে প্রতিযোগিতা থেকে
728bce47a8	16877	আমাদের গ্রামে
728c14c037	1de6c	৫০ রানে পাঁচ উইকেট হারিয়ে
728c210f71	68ab7	মনের হীনম্মন্যতাবোধ থেকেই
728c293d09	ad69a	কৈশোর কাটে পাবনার পৈত্রিক বাড়িতে
728c8661cf	698a4	তুরস্ক
728cfbd021	9d7bf	হা হা করে
728d999c52	ee852	জানিয়ে দিয়েছে সফল পাখির
728dbe9b5d	f4ba7	গিয়েছিলাম ঢাকায়
728dc16d76	35ef3	স্থির করিয়াছি
728dc9222c	d2355	ছেলে না মেয়ে সেটা জানা
728e1f57c5	4486f	লাট যদি এসে পড়েন
728ea6b1ef	10a9f	একটি ইলিয়াড বহন করতেন
728eb2b3dd	e6752	তিনি যুগপৎ গান গাইছেন
728f48c4c8	ad050	পড়াতে আসেন
728f775cbe	ad69a	হাদিসের বই
728ffeb2c7	f2097	বিজেপির মুখপাত্র রবিশংকর প্রসাদ
72903dd498	4c1eb	প্রতিবন্ধী ওই কিশোরী
729086d850	aa820	অতুল প্রসাদের
7290caabf1	3fc9d	গাঙ্গুলি বলেন
729178a60a	18460	আমরা চাই সুষ্ঠু
7292788297	ee994	বিশ্ববিদ্যালয়ের কয়েকশ শিক্ষার্থী
7293175c0d	d3e06	কেউ কেউ আমার কাছে
72932acf02	f1ff2	তাকে মেগাক্যারিওসাইট বলে
72933727d0	2bc73	সম্পূর্ণ চর্যাপদ
72934f546f	f29bf	ষষ্ঠ শ্রেণীর শিক্ষার্থী
72943a9ac5	ec91c	হালাল মাংস পাবার সুযোগ
729523a5ca	5354e	এ সময় ঐশীর
72953c4269	baa02	ছেচল্লিশ ইঞ্চি ফুলে ওঠে
7295c696c9	7b900	তার স্ত্রীকে বলেন
72964b97e6	e9fa7	বৌদ্ধদের জ্ঞানতত্ত্বমূলক
7296879480	5a61c	হুমায়ুন কবিরের কথা
72977bc2c0	086dd	যে মস্তকবিহীন লাশগুলো
7297d7a027	d3e06	সিএমপির উপ-কমিশনার
