d20014c6f5	75626	সেখানে শ্রীলঙ্কাকে হারিয়ে
d20dcd4b76	2ee04	একগুচ্ছ ঐতিহাসিক কারণ বিদ্যমান
d20e243e86	e9fa7	অসমীয়া সাহিত্যের
d20eadb503	2f547	গ্যাসের দাবি
d20edf80c0	b78ec	পদ্ধতি
d20efac99d	274ee	আধুনিক ও দেশাত্মবোধক
d20f0d75fc	745b7	১৯৯৯ সালের
d20f2868f0	3fce2	নাপাক
d20f6b6853	9351a	বরং তারা নারীর
d20f9dd9ff	351dd	যে যেমন পারে
d2103e7aed	7d3e1	ভাগ করেছে
d2112cefe8	0633a	তিনি কোনও সংবাপত্র
d2115dd262	e2f12	ওদিকে ইউক্রেন নিয়ে
d211bf67ae	509f6	বর্তমান মেয়র
d211e20291	29f8c	অনেক দুর্লভ তথ্য অনুসন্ধানে
d21201da01	60f77	মুম্বাইয়ের এক ম্যাজিস্ট্রেট
d21253fa0d	2840e	এখন শত শত মানুষ
d2126d0163	92f59	যুক্তরাজ্যে প্রচলিত আছে
d212cb42b0	4a918	একই কথা আছে
d21342a2da	fb4cb	দেশীয় অস্ত্রের মুখে
d2145fc052	ce775	এই বনভূমিও বন বিভাগের
d2152f949f	ac0df	যদিও তাঁরা ছিলেন
d2153a3cd9	d136b	আমি নিজে এবং ডিবি কর্মকর্তারা
d2153aa9fb	e50f1	তাদের দোকান রয়েছে
d215414e6c	404ee	মিরাজ ও মাকসুদকে গলা কেটে
d2154942db	f4ba7	সেটা সারিয়ে দিতে
d21600c16c	b8bf0	এই বাংলাদেশে তো ব্রাহ্মণ আছে
d216246767	1e7c7	সিনিয়র সহকারী কমিশনার
d216273e72	7ec1c	বুধবার বিকেলে
d21637c3ed	d711f	রিয়াল মাদ্রিদের মোট সম্পদের মূল্যমান
d21639f480	388c9	তাকে দেখে আমার
d2166d1b63	ac0df	ফুট পেট্রল টিমের পাশাপাশি
d216713711	c173f	জবাবে ৮ উইকেটে
d216b86a43	15a75	গাঁজা ৫০ থেকে ৭০ ডলারে
d216f833ed	38ff0	৭ হাজার ফুটবল পেল
d2176250b7	880ae	প্রধানমন্ত্রীর উপদেষ্টার
d217dd159b	c6848	সরকার সব ধরণের সারে
d217dd3a16	66b3c	সুরা ইয়াসিন
d2186f2d63	bfac7	অংশগ্রহণ করেছে
d218bf1b87	ad2a0	বিদ্রোহী প্রার্থী আব্দুল জলিল
d218d31350	3ec4d	তার বাবা মুয়াম্মার গাদ্দাফি
d219479056	f1ff2	আমাদের যেসব পণ্য ভারতে যায়
d219b643da	4bede	চাঁদের হিসেবেই
d219c4dede	92f59	উজবেকিস্তানকে ওমান
d21a12903d	7f71c	৫শ’ থেকে ৬শ’ টাকায়
d21ac8d79d	11de3	রেজিস্ট্রিসহ সব আনুষ্ঠানিকতা
d21c14f8e2	745b7	এবারও তারা নির্বাচনে জয়ী হবে বলে আশা করছে।
d21c2fc480	b4ea7	কারণ তার সেই ভাষণ ছিল
d21c8bc0ec	43fc0	রক্ষা করতে পারে
d21cbd42dd	bfac7	মোবাইল স্ট্যান্ড
d21cc2319d	420df	কেন না, রণেও
d21d0a8d83	0c39f	এগুলো দেশে নিয়ে যাবেন তাঁরা
d21d6efdfb	c8f7f	সপ্তম মজুরি বোর্ডে সংবাদপত্রগুলোকে তিনটি শ্রেণিতে বিভক্ত করা হয়েছিল।
d21e6ab961	2de86	অনেক হৈচৈ হতো
d21e888103	fda1a	এন্ড্রোয়েড গেমস
d21e8dfb5b	2909b	জন ওয়ারনক
d21e9b630f	3ccf1	গত ২৫ জুলাই রাজধানীর নবাবপুরের রথখোলা মোড়ে মোবাইল কোর্টের মাধ্যমে ফরমালিনযুক্ত ৩০০ লিটার তরল দুধ নষ্ট করা হয়।
d21f6772bb	bdfc1	এই গ্রন্থের শিরোনামগুলো থেকে
d22007fb51	1b359	স্পন্সররা কি টি-টোয়েন্টি দিকে ঝুঁকছে
d220535686	9c8dd	এটা যদি কেউ ভেবে থাকেন
d22070f5b2	7d3e1	ইতিবাচক মনোভাবের
d2208ff3bb	bd576	শেষকৃত্য সম্পন্ন হবে
d220baa46a	0b7ca	একদম জলের মতোই পরিষ্কার
d221188137	3fce2	ফুলের টব
d221428035	809cd	একজন দুজন ক’রে
d22179327a	9b864	আর না হলে
d2218ae63f	24aed	মূর্খের ত কথাই নাই
d221c973f6	491a5	মোহনের নাকে
d221d22aa6	b9b98	বিলুপ্ত হইয়াছিল
d2221cebab	3fc9d	মাঝারি আঁচে
d22249864c	9351a	বন্ধু ছবি
d2225b53f5	f2097	প্রশ্ন করা আর তার উত্তর
d222976fec	0633a	ধারাবাহিকতার সূত্রে
d222f96ca5	4bd2c	কোনো অসুবিধে নেই যে
d223649b3a	c0965	কড়াইতে আধা কাপ তেল দিয়ে
d223a3e73d	2de86	এ পত্রের কথা কাহারও সাক্ষাতে
d223be6533	9282d	কেবল খাবার সময়
d223c555a5	f280a	কাছেই নাথবাবুর বাড়ি
d223c635b6	29d44	মাছরাঙ্গা টেলিভিশনের
d223cab832	943de	বিহার
d22450968d	976b1	গত বুধবার দুপুর থেকে
d2245a8323	d1a48	প্রচুর উপাদান
d2245e65cd	e55de	যুক্তরাষ্ট্রের রাষ্ট্রদূত ন্যান্সি পাওয়েলকে
d2245f5b92	d136b	দ্বিতীয় সিনেমা
d224711f54	287bd	পরীক্ষা শুরু করেছে
d224908a23	bfac7	এ যাবৎকালের
d224a678b6	e7230	ক্রমাগত পড়াশুনা করা ভালো নহে
d224e408e2	68549	সেটা নিয়ে
d224e7cfda	282d3	ট্রেড ইউনিয়ন করতে এগিয়ে আসছে
d224f0ee48	6a35e	পরের বার চেষ্টা করে
d2251b5708	fcc89	পাঞ্জাবের ইনিংস
d22531df92	1b359	জনাব আহমদ রফিক
d22549c07d	745b7	আমাদের গাড়িটা দাঁড়াল
d225aed856	06e62	যত গাড়ি বিক্রি হয়েছে
d225d4cca3	23b22	ওষুধ নিয়ে এসে
d22645dda8	aa820	উল্লেখযোগ্য বই
d226e60372	29bab	মানিকগঞ্জের আমজাদ হোসেন
d2285836d0	bdfc1	এসময় চন্দন সরকারের
d228707289	43b04	কাজ করছে
d22886e92e	c5479	দিনের পর দিন বাড়ছে
d2288997e9	b08d0	কিছু পাওয়ার আশা
d2288d683d	5354e	জয়ন্ত প্রসাদ আরও বলছিলেন
d2291b422b	b8ed8	বর্তমান পরিস্থিতি সামলে
d22920c87b	1e7c7	রুদ্র মুহম্মদ শহিদুল্লাহর
d22a2b1b5f	0606d	তবে মন ভালো থাকলে
d22a4060c9	ee4ad	শৈবধর্ম ও বেদান্তের
d22a591cd0	09b32	বাবা-মাকে সালাম করেছি
d22a81c6f1	6c6bf	রাজশাহী রেশম শিল্প বিদ্যালয়ের
d22ab173a5	24f73	এসব কথা
d22b1ac99a	f658d	ওপর থেকে ঝুলছি
d22b678fc1	7d133	বেলুনের নিচে ঝুলবে
d22bb07858	355c1	কয়েকটি দোকান ভাংচুর হয়েছে
d22bfc292d	32b3e	তবে পুলিশ আরও
d22cf14c9b	0744c	চোরাচালানকারীদের কাস্টমস আইন ছাড়াও
d22d4a6c4c	93d3b	শেয়ারবাজার নিম্নমুখী
d22db10b3c	cd3ac	বিচিত্র অভিজ্ঞতায় পূর্ণ
d22dcaaba2	adf01	জহুর আহমেদ চৌধুরী
d22e66ce61	554fe	রেল লাইনের
d22e6ea877	809cd	দুটি ট্রাইব্যুনাল গঠন করা হয়েছে
d22f897ccd	d1b12	এই রায়ের বিরুদ্ধে
d22fa74403	d3e06	আদালতের এই সিদ্ধান্তের পর
d2301e55eb	0e637	জোটভুক্ত পূর্ব ইউরোপের বাল্টিক দেশগুলোর
d23029be85	274ee	কিন্তু বাংলাদেশে
d23070cf1f	b8bdd	পাকিস্তানি হানাদার বাহিনীর সদস্যরা
d2313c8bf7	2396d	ব্যাস নিজে সেই
d2319a3777	37d7e	কোনো বোগি করেননি
d231abe69f	8edea	মুসলমান পুঁথিলেখকদের বিশ্বাসের
d231e684cf	8632b	পশ্চিমা ট্রেড ইউনিয়নগুলো
d2321a1827	37d7e	পূর্ববঙ্গের মানুষের প্রবণতা যাই হোক
d232383328	4ea73	দুই গোলেই যথেষ্ট
d2323b7b34	e754e	পুরুষ হিসেবে আখ্যা দিয়ে
d2337751eb	4a918	একটি গাড়ির ভেতর থেকে
d234387327	1e7c7	সন্তোষ মালী, বলরাম মালীস
d234ac4f25	323f1	কতটুকু যৌক্তিক
d234d060e6	ea5be	বাধা হয়ে দাঁড়াতে পারে
d2351cd45f	ce180	উঠে আস
d2358db7b4	3fb17	তিনি প্রাথমিক চিকিৎসা নিয়েছেন
d2359e3ed1	2bd99	মেঝেয় পাছা ঠেকিয়ে
d23617204d	0696e	ভূমি সমস্যার সমাধান
d2363ef2e1	6da0a	আগামী দুটি নির্বাচন হতে পারে
d237183acd	80be1	পুলিশের দেয়া তথ্য অনুযায়ী
d2371b4517	a46e2	সুইটবল ১ টেবিল-চামচ
d2377fa79a	ac0df	যে বাহিনীর যাত্রা শুরু
d237cfe9af	5354e	তবে আকাশে
d23872b0f0	ff0fe	রাষ্ট্রের সঙ্গে চলে
d239ea7736	22096	যতীন্দ্রমোহন বাগচি
d23a3e385e	410fa	সিদ্ধান্ত নিয়েছেন
d23a6650df	3f493	উত্তাল সময়টাতে তিনি
d23b181bb0	9d398	ভারতে তো
d23b3c70c6	fcefa	দীর্ঘদিন মানিকগঞ্জ জেলা
d23be361a7	8cf95	চোখের সাজ
d23bfcc7d4	e2ff7	উইরাথু নামে একজন বৌদ্ধ ভিক্ষুকে
d23c2914b9	f0f95	মাঠে রাখার প্রস্তাব
d23c327ad2	b52ab	কথাসাহিত্যে সমতুল্য কীর্তি
d23c506678	4a67e	বলিউডের মোট ষাটজন শিল্পী
d23c7559bf	22096	লোকটার নেই
d23d74c68c	2d78f	আরেক গার্মেন্টস কর্মী
d23d7aef07	ce180	১৯৯৬ আটলান্টা গেমসে
d23ddf8b0a	25696	খোলাবাজারে সরিষার তেল
d23e863e9e	2de86	ঘড়ির কাঁটা একঘন্টা
d23e888a0e	ca831	সাবেক সভাপতি আনিছুর রহমান দিপুকে
d23e9a48ee	9d7bf	তিনি চেয়ারের উপর
d23f18c3b6	c173f	শিক্ষার পঞ্চাশ ভাগ ব্যয়
d23ff8ff63	c6848	গেরিলাদের নিয়েই
d2407bfc3e	2556b	পিঁড়িতে বসা
d240b59ce3	80be1	এছাড়া বিভিন্ন জেলা শহরের সঙ্গে
d241109f6f	dba43	সে পার হয়ে চলল
d2411fa6b0	9282d	তাদের প্রয়োজনীয়
d241a20b9a	28dfc	গুঁড়োদুধ পরীক্ষা করে দেখার জন্য
d241b0d836	2c9c5	কাজ করতে চান
d241b5c5e6	f0f95	ড্যারেন স্যামির ক্যাচে
d241d98734	35ef3	শত কোটি দরোজার
d2426882d5	5639c	১৮৩২ খ্রিষ্টাব্দে প্রকশিত
d242d4262c	c7705	ভৈরব তন্ত্র
d242ecc694	6c6bf	দেশজ উৎপাদনের
d243054a2f	1e7c7	কিছুই মনে হইল না
d2432ba7da	d2d71	চট্টগ্রাম বেতার কেন্দ্র থেকে
d2435cee4c	c3cca	বিসিবির দুই্র প্রভাবশালী কর্মকর্তার হওয়ায়
d2437131b8	17dcd	যোগ্যতা ছিল না মাহবুবের
d24385a93f	e3d8b	তাদের অনেকের গায়ে
d243fa4785	0edef	বাহাওয়ানা ও তার পরিবারকে
d244592de8	404ee	হলো সালেম
d2447996ef	7b103	তাঁরা পূর্ণ করেছিলেন
d24488171f	69d9a	মঞ্জুর হওয়ার পরে
d244b128d6	a0277	পরে দেখলাম
d244d1b6e7	c7705	তুমি আমার বাসা থেকে
d2450c9caf	0d4cb	সেগুলো নিয়ে এতদিন কেউ
d2454bf8c1	e2ba2	চারপাশে ঘুরে ঘুরে
d245e0ccc0	d2294	ওই গ্রন্থমালার ভূমিকায়
d24607fb63	91b16	সে ঘাটতি পূরণ করেছে
d24678fc52	bd576	একটু দেখল
d2467a7ca1	730c3	নদীতে লাশ ভেসেওঠে
d2479040be	256f5	এবং অলিম্পিক কংগ্রেসের
d247d08134	5639c	তারা ঝগড়া করলে
d247d2ba7b	4f450	জাগরুক
d247d750ed	d7a68	দরজায় বেল বেজে উঠল
d248513707	2d78f	তবে শ্রমিকপক্ষ মনে করে
d2485ac9e8	e2f12	তাদের লক্ষ্য ছিল
d248c09458	6c17f	সন্ধ্যায় রাজধানীর হাতিরঝিলে
d248d07dbe	cb842	শীতাতপ নিয়ন্ত্রিত কামরায়
d248f2b988	2556b	রাস্তায় এখনও জটলা
d249b8a6cb	09b32	২০০ টাকা
d249e2ea64	ff0fe	এই কয়দিন যেসব
d24a03a22e	a7c6f	সরকারি সদরদপ্তরগুলো
d24a25bac6	6973e	আসলে কারণ হিসেবে
d24a67c69c	932bb	অ্যাবরদিন স্কটল্যান্ডের
d24a899d3e	4c1eb	একই রুটে
d24aa08e6d	37e17	ঘুমে ঘুমে চোখ ঢুলে
d24afb1538	1e7c7	৯ জুন
d24b4d9a73	9c8dd	এমরান খানের রচনা ও পরিচালনায়
d24b83bef4	4dd57	ব্যাধির আদিম সাজে
d24c1e4b97	fb4cb	জনগণের সমর্থন চেয়েছিল
d24c7397a4	6b437	কাশীর বিশ্বনাথ
d24c90e8f0	430b2	ডিসিসি আইনে কোনো আমলা
d24cf333bc	195f7	তাঁহার সহজ আত্মীয়তা এই কারণেই
d24d0e41c1	ff1c3	পরবর্তী ক্ষত্রিয়েরা জন্মিয়াছিলেন
d24d354386	37e17	অগ্নি ক্ষেপণাস্ত্র
d24d6cedc2	410fa	আমি খুব সহজে
d24dc267fc	c7a89	চেতনার মানুষ ছিলাম
d24dc5f0bf	860f4	আধা-নিয়মিতভাবে
d24df25319	1b359	দিয়ে গেল
d24e8d3bdd	536d9	এখন আমি যা মন চায়
d24ed4e208	e8dde	দরজাটির নকশা ও ধরন
d24f235948	d9b11	মুন্নি সাহা
d24fa17fe0	1e7c7	আকরাম খানের নেতৃত্বে
d24ff152de	693cb	সংরক্ষণের জন্য এ রাসায়নিক
d25086919b	9d46f	মুক্তিযুদ্ধের পর ১৯৭৪ সালে
d250aae40e	d2294	চৈতালি সেক্স নিয়ে কথা বলতেই
d250e6b096	7ec1c	ওই দম্পতিকে
d250f62b98	6c17f	উল্লেখ্য, সুন্দরবনের আশেপাশের নদীতে
d2515dab88	29bab	বিসিবির নিজস্ব কোন আর্কাইভ
d251d7f9c4	ce180	তীর হারা এই ঢেউ এর সাগর
d252138fa1	d7a68	গ্রুপের পরিদর্শক দলের প্রধান
d252397476	616ec	ইভানগেলস জ্যাপ্পাসের
d253267c56	ac904	ওইদিনের মধ্যে
d2532d63b5	8cf95	আমি
d25399ae9a	c6848	বৃহস্পতিবার রাতে রিয়াজ
d254185d81	d136b	নাজিমকে উদ্ধৃত করে
d2545a64e5	1f733	বশীকরণ মন্ত্র
d254aa2191	590d0	খোলা গাড়ীতে
d254f6fe91	66b3c	আমার দ্বিতীয় স্ত্রীর সঙ্গে
d255aa2550	1f733	স্বাভাবিক কারণে
d255def331	c4973	আজ হঠাৎ করেই
d25632bd7f	c8f7f	এসব বিষয়ে
d2566ef94d	06e62	বিয়ে করতে হবে
d25686d578	430b2	শুরু হলো
d256d5ec2a	c0d65	এ নিয়ে ব্যাপক ক্ষোভ তৈরি হলে
d256e62303	0c39f	ঘূর্ণিঝড় প্রস্তুতি কর্মসূচির
d2579d9045	3d17c	চাপ ও একি সাথে
d25809b90a	903fa	তবে ওরূপ
d25868dc5f	91230	৩০০ থেকে ৩৫০ দামে
d25936666a	6fb36	সমৃদ্ধ হবে
d2594d7f81	31f2a	সম্ভাবনা রয়েছে
d259bd6130	ac0df	দ্বিতীয় হলুদ কার্ড থেকে
d25a449626	4164f	তিনি লিখেছিলেন
d25a9c658e	d1b12	আমার অবসর নাই
d25ac35870	f6e55	এ বাড়িতে আছে
d25b30e3f9	16cfb	ঠাণ্ডা হলে
d25b647fc2	7d004	দুই হাজার কিলোমিটার দূরের
d25b67217d	42898	আফ্রিকার বিভিন্ন দেশে
d25b83325b	e6752	গুরুতর অবস্থায়
d25b87d8c1	536d9	সামাজিক, অর্থনৈতিক
d25bd85a1c	b8bba	সর্বপ্রথম সনেট কোনটি
d25bdaaebd	b00ba	থানায় যান তার মা
d25c1c53c3	b8bba	তার ক্যান্সারের চিকিৎসার জন্য
d25c7570c1	f600a	গায়িকা এবং সুরকার
d25d01c41b	72649	পরিচয় করিয়ে দেবে
d25d024bed	2aecc	ডাকাত পড়েছে
d25d1a98b7	f0f95	তাকে দেখায়
d25d250da0	9092b	তারা কাজ শুরু করে
d25d96fc09	7b900	সংঘাত উল্লেখযোগ্য হারে বাড়ে
d25deeae3a	68549	নির্বাচন জনগণের জন্য
d25df6f062	56508	আবার রাতে ফিরে যান
d25e174e85	10a9f	রুহী এখন অনিমেষ আইচের
d25e183760	a06a1	চকবাজারের সবুজ আড্ডায়
d25e20c957	590d0	আরবি নাম
d25e8a6005	75936	বন্দুকধারীরা একটি শিল্পাঞ্চলে
d25ec3a2aa	ec91c	মন্দিরের চুড়োয় বসল
d25f3ffb38	6c6bf	অন্নপ্রাশনেও যৌতুক
d25f5f1a89	c9c19	বরং প্রাপ্ত বয়স্কদের
d25f79533c	5a61c	হলো না
d25f83a4a0	13b70	অভিযোগ প্রমাণ হলেও
d25f9591b6	2d78f	বোমা বিস্ফোরণের এই ঘটনায়
d25fa49610	b78ec	ক্রিয়াশীল কিছু
d25faf15f4	95907	একটুও দেরি করেননি
d25fb02743	42898	নিজ নামে
d25fb24791	0f047	উন্নয়নশীল বিশ্বে
d25ffa734c	92bb2	অত্যাচার থেকে রেহাই পেতে
d26050b4f0	442b7	এ প্রশ্ন পাখি বেগমের
d2605f7acb	256f5	কিন্তু ওজন কম
d2606055db	61820	লিমিটেড ক্যাপাসিটি থেকে
d260c93795	7027a	আরো দশজনের বেশী
d2614d4081	d5213	ক্লাসে শিক্ষকদের আলোচনায় শুনে
d2615cf718	ce180	আরও বাড়াবো
d261af9be3	5354e	অক্টোবর থেকে
d26212f5e0	e6752	তবে, সভাপতি হলেও
d26290c92b	0f047	বিবাদমান উভয়পক্ষই
d262c80f41	e6e48	প্রক্রিয়া দেখতে
d262ede0d5	e89bb	পরিচিত হইলেন
d2631e0851	4f2ae	দেহে সোডিয়াম বা লবণেরঘাটতি পূরণে
d2632dcc31	c8f7f	কাঁদিয়ে চাঁদের পানে
d26395cb14	730c3	নতুন বছরে
d263a587c5	14d25	কি খাবেন
d26411bc08	2909b	বিনা রশিদে চাঁদা দিতে হয়
d2644a3c92	e2c11	অসুস্থ শরীর নিয়ে
d26459ae27	91230	সে তত মর্যাদা পায় সমাজে
d2656131ca	5dec6	ধ্বনিত হয়েছে
d265ccc830	80505	রাজধানীর রায়েরবাগে
d265e49872	730c3	জ্যাঠামশায় বাবার কাঁধে হাত রেখে
d2664e4f5d	b8ed8	১৯৯৮ সালে ডাবলিনে
d26668fd2e	7f71c	আগুন দেয়া
d2669f109f	3ccf1	জামায়াতে ইসলামীর নেতা
d266a79365	410fa	০ থেকে ৭ পর্যন্ত
d266b7508a	d2294	অনুমতি দেওয়া হয়েছে
d266f5d289	b00ba	ইহার প্রচার করিয়া
d267475a31	91b16	পাকিস্তানের সাবেক ক্রিকেটার
d26752d201	17dcd	ফলে ছেলেটিকে তার ওপর দিয়ে
d2675b91a2	92bd8	এর মধ্যে বেসরকারি উদ্যোগে
d2675d35fe	ac904	মহাভারতের বাংলা অনুবাদক
d267f32794	ad2a0	স্বদেশানুভূতি, চিন্তা, ভাবনা
d2683f663a	a46e2	১৬৬ জনের মৃত্যুর জন্য
d2685c0b55	b2a62	খ্রীষ্টীয় অষ্টম শতাব্দীর শেষ ভাবে
d26864a764	29f8c	মোদির সামনে
d2686830ad	2f547	তবে তাই হোক
d268d4a025	13b70	আমি বারবার
d2696cc125	52578	বন্দুক বের করে আনেন খালেদ
d26972ab88	9092b	অনিল ললিতকলা অকাদেমি
d26a315d40	430b2	ভারতের মুসলিমদের
d26a427681	698ff	কোনো অনুশোচনা ছিল না
d26a738c50	ef4f8	আবু হাফিজ বলেন
d26a835c1a	91230	গাড়ী
d26aad04eb	3c897	আইনজীবীর ওই সহকার
d26af03b11	976b1	পক্ষ থেকেও
d26b120d04	7ec1c	অন্যদিকে ওয়াজ শোনার পর
d26b28fa04	76329	মড়াটাকে দেখিয়া
d26b45d371	0a7a0	হোম
d26b6b468a	35ef3	তাঁহার বাড়ীতে গিয়া
d26b95d5f1	16e96	দখল নেওয়ার পর
d26bac1b0a	7d004	সাংস্কৃতিক উপদেষ্টা
d26bd8f53c	88654	তিনিও ছিলেন বাক্পতি
d26c021e7b	9642e	চলছে আলোচনা
d26c3ca302	68549	৪৮৭ উপজেলায়
d26c73f548	b08d0	নূন্যতম কিছু নিয়মকানুন
d26c770b3a	80be1	৪১ বছর বয়সে
d26cd4ccba	eb179	গোমতীনগর থানার
d26d12618b	12702	প্রধানমন্ত্রী সরে দাঁড়ালে
d26d8b32f8	7ec1c	শিথিল
d26dd55ee7	ee886	দুই স্তরের
d26e084d76	0a7a0	ফিল্মস ডিভিশনও তো
d26e4809da	d8c80	জেনেছেন অমৃতাও
d26e4b9a2f	8406e	কিভাবে তরুণ ছাত্ররা
d26ebc04c1	2840e	জামাতা নিহত হওয়ার
d26ed04f94	1a2a1	তারা নিগৃহীত হয়
d26f280b0e	4c555	সমাজের সর্বস্তরের শিশুরা
d26f4fc279	554fe	লোকে বলে, বাজি
d26f748c4d	ca831	টেস্ট ক্রিকেটে
d26f86f3f1	91dff	একটুও দেরি না করে
d26fd28e0f	31f09	ভালবাসার উপন্যাস
d27008c11e	7ee9b	২০০০ সিডনী গেমসে
d270cea8af	a06a1	এই ধর্মীয় পুনর্জাগরণভিত্তিক
d270d20e06	e31e7	২০০ পৃষ্ঠা
d270dc9de0	d1a48	তাদের সামরিক ব্যয় কমিয়েছে
d271bf2ca1	91dff	মশুর ডালের দাম
d2721edde8	b9a81	শেষ পর্যন্ত কোন অঘটন ছাড়াই
d2725a9182	7b60a	ফলে প্রচুর টাকা খরচ হয়েছে
d27297c2b8	f89d7	বাংলা একাডেমী অভিধান
d272f5cef7	f4ba7	পরিচালিত একটি টেলিফিল্মে
d27327e0b6	8845d	কেকে বসিয়ে
d273456365	ea8fa	জানিয়েছে কয়েকজন শিক্ষার্থী
d2734c79de	fb4cb	তখন আমার মাথায়
d27375a077	4f2ae	১০০নম্বরের নৈর্ব্যক্তিক পরীক্ষায় হয়
d274098e07	dba43	সবচেয়ে বড় শক্তি বোধ হয়
d2746fdaff	8143b	ওঠার পরপরই তিনসঙ্গী
d27521de7e	38ff0	এই সফর নিয়ে
d276336706	29d44	কলেজ ভর্তি
d276350e76	717bb	অটোগ্রাফ নেওয়া বন্ধ করলেন কবে
d2768521b3	16877	বাংলাদেশ পরিবেশ আন্দোলন
d276968029	14d25	বর্ণনা করেছেন
d276ec11df	07660	শপিংমল ও রেস্টুরেন্ট গড়ে ওঠায়
d27759cbff	79b06	চতুর্থ দিন
d277d3d18b	25117	মাঠ পর্যায়ের কর্মীদের সঙ্গেও
d277ddb635	3fae0	আজ বাংলাদেশের জন্যে
d2780e5216	b00ba	ঢাকার বিভিন্ন এলাকা থেকে চকবাজারে মানুষজন আসেন ইফতার কিনতে।
d27825eee5	75f18	বিদেশি মুদ্রার সঞ্চিতির দিক দিয়ে
d278453e5f	b9122	সে গান
d2785274ce	38d3a	সরকার প্রধানরা
d278e424f3	0a87a	পরে বেলা ১১টায়
d27936003a	91223	শুনিতে পাইলেন
d27994acd1	86b1b	এক গবেষনায় দেখা গেছে
d279da5b51	1e7c7	প্রচণ্ড বৃষ্টিপাত হয়
d27a84dc4a	2c9c5	ঢাকা মেডিকেল হাসপাতালে নিয়ে যান
d27a97bc63	9e923	স্ত্রীলোক ছিল না
d27ac4d82c	91b16	একুশের চোখ
d27af359e0	43b04	তাকাতেই দেখা মিললো মরিয়মের
d27b2acf01	b8bdd	সীমান্তের দুপারের দখলদাররা
d27b5aa578	9d398	ঐরকম ভয়ানক পদার্থের সঙ্গে
d27b5dcf09	8845d	এটি বানাতে খরচ পড়েছিল
d27b8a4927	3f875	ফাটা থোড় ও পাতা থেকে
d27bb2d4ad	536d9	মিঃ রহমান অবশ্য
d27d4c3eda	66dcd	বের হয়ে আসবে
d27d637fc2	ce775	এই কাজে যে মোটর লঞ্চ
d27e295a6d	420df	লোডশেডিং
d27e8c6c35	8edea	উপজীব্য করে
d280b5bc7b	80518	প্রতিক্রিয়ার জের অধিক
d280b77f9f	6973e	সরু ঘাড়-গলা
d280c260ee	6b437	মানুষ সেখানে
d2810bf6bf	7b60a	আগের চেয়ে কমেছে
d28138b7f6	fb4cb	তাদের দিয়ে
d2814b3c79	4f450	ছিল অতিথিদের দাপট
d281ba5594	b2a62	অজ্ঞ অশিক্ষিত লোকদের
d281fe7087	d136b	সালিশ বৈঠকে
d28228da4e	f4ba7	আমার ক্লান্তি
d28235c2eb	2909b	অতিরিক্ত পুলিশ মোতায়েন রয়েছে
d2829105d2	25117	মেম আজকে কোনো
d282960c7d	01e91	সুইজারল্যান্ডও রয়েছে
d282cac69f	3faff	এতে সময়ও বাঁচবে
d282cdabaf	d2294	চরিত্রের নাম ‘রানা’
d282d209ac	5639c	হাসান আরিফ জানান
d282da0929	80539	রাজনৈতিক মতাদর্শ প্রচারের
d28355e541	61820	তা সত্ত্বেও আজকের দিনে
