6501275aa4	10a9f	কিন্তু শেষ মূহুর্তে
65114d0250	d136b	দলের সমর্থকরা
6511d28e02	65e30	আদালত ওই ছেলেকে
6511fa29b3	590d0	জন্মগ্রহণ করিয়াই ভিক্ষা পাই
65121438d8	860f4	উপেক্ষিত হওয়ার
651265d3af	967fd	এখনকার দিনকাল হইলে
65129ad2e8	fda1a	১৫ ক্রোশ উত্তরে
65131776ee	0d4cb	আড়াই ঘণ্টা
6513e1f06d	880ae	আমি খেলতে চাইলে বলে
6513e40ce0	ce180	গুরুতর আহত হয়
6514171e4b	520fb	২টি টি-টোয়েন্টি খেলবে পাকিস্তান
6514761a93	1de6c	তাতে শিষ্য বা ভক্তের উপস্থিতি
6514d08957	7297e	কিছু প্রস্তাব দিয়েছে
6514d785ce	b8bdd	আপিল বিভাগের রয়েছে
6514db0333	6e6fa	বাংলার কাব্য সর্বশ্রেষ্ঠ
6514f74f99	dec2d	লোকে যেমন হড়কে নামে
6515556714	3f493	একটা চাকরি
6515ebae51	80e98	কেউ গণ্ডা গণ্ডা প্রেম করছেন
651676fcfd	c6848	কিন্তু বলা হয় আকাশে
651686411b	2ecf8	ছিনিয়ে নিলেও
6516b794f3	b52ab	মঙ্গল গ্রহ
65170a5e2e	61820	অনেকের অভ্যাস আছে
6517b5ad75	e3d8b	দশমিকের পর
6517e4d91e	80518	থানা পুলিশের
6517e87aea	f2780	সেদেশের সরকার চালানোর
651860b512	49d63	মানুষকে আলোকিত করার গান
65194ea446	f2b7d	দাদার সাজানো ঘরদোর দেখে
651a392881	22096	সমর্থিত একাধিক প্রার্থী রয়েছেন
651aa43ca4	9c8dd	দেহ থেকে বিতাড়িত
651aa9dac6	9e923	অলিভার উইলিয়ামসন
651bce97f2	c7705	পথে রওনা হন
651bf7168d	2556b	শুক্রবার দেশটির
651c22315d	db735	সত্যবাদী হতে
651c27b552	ee4ad	সময় শেষ হওয়ার আগেই
651c31765e	0d9f1	তাহার দুর্ভাগ্যবশত
651c903f67	b618b	সে কারণে আল্লাহ বুঝে শুনে
651d439742	6ee5f	যোগ ব্যায়াম বা ইয়োগা করতে পারেন
651d885789	1f974	ঢাকার কেরানীগঞ্জ উপজেলা
651d94024e	65e30	শিল্পী মুর্তজা বশীর
651dc23498	d1b12	অনেক পিছিয়ে পড়েছে
651ed41f9c	4fd66	যা সহায়ক হয়েছে
651f5dd547	32998	আরো দুই জন
651f9ebcc2	91dff	ঘেরে আসেন আলী হোসেন
651fba047c	7027a	লোনের কিস্তি দেয়ার তাগাদা
651fbe3513	91223	এতে কাটল
6520e9dc75	1c618	তাহের ও আশুরার সঙ্গে গণ্ডগোল হতো
65210d110e	d7a68	এর মধ্যে গত সপ্তায়ই ছিল
65213ba5c8	ee7b2	তাকিয়েছিলেন
652187de33	a46e2	কোন আইন প্রণয়নের চিন্তা ভাবনা
65219fb845	98b81	টানা এক বছর তিন মাস শেষে
6521cc5605	976b1	ডায়নোসরের হাড় উদ্ধারের পর
652250f323	c7a89	ইংলিশ শিখার সহজ উপায়
65225ccdba	fdcba	যুদ্ধ শুরুর পর
652284af72	6b437	ডাকা হয়
6522b0e33d	d5213	আগ্রহী হলেন
6522eb95c6	e03fc	জানালার দিকে এগিয়ে গেলেন
65230c1362	4164f	পালিত হয়ে থাকে
65237003d8	e43d4	স্থানীয়রা
6523926788	8ba2b	এই প্রস্তাবে বিরুদ্ধে
6523ba0492	ce180	অনেকেই বলাবলি করছেন
652457e296	16877	গ্রামের লোক হাসিয়ে
652474c9a0	dfefa	পরে মোড়লগিন্নি শিকল খুলিয়া
6524d2e620	6c6bf	তা তুলে ধরা হয়েছে
6524de0393	f837a	বার্সার একচেটিয়া আক্রমণের মাঝে
6525169d09	7d133	সফল হয়েছেন
6525484118	eaa7a	দৈনিক ২৫ টাকা
65256c237b	6aac8	যার অর্থ
6525f555ef	b5fdc	বলিউডের অন্যতম জনপ্রিয় নায়ক
6525f5ac96	745b7	কাজী শাহাদাত হোসেনের কন্যা
6526003037	8406e	দুজনেই উত্তেজিত হই
652669b2bc	bcaa8	ফিফা গোল প্রকল্পের কৃত্রিম টার্ফ
65272a0109	eb179	সম্ভবত ব্যবহৃত হত
652738d2d6	06736	ছোট মোবাইল ফোন সেট
6527a1dd94	a4750	অজানা
6527a4c27d	b8fe1	বিক্ষুদ্ধ হয়ে ওঠেন স্থানীয়রা
6527db5a5d	64092	নেতা কিসে খুশি হন
6527f28501	e55de	দৈত্যের মতো
652825b44c	6d129	মান-সচেতন নির্মাতারা
65291456ef	38d3a	পরীক্ষা কেন্দ্রে
65292cfc97	fda1a	সবচেয়ে কাছে আসবে
6529c0428c	520fb	হাদিসে কুদসি
652a05efba	f29bf	এই আপীলের ব্যাপারে
652a1d69b5	e3d8b	ঝুড়িতে চিঁড়ামুড়ি, গুড়
652af0ad77	0bace	সুরঞ্জিত বলেন
652cbaa9ea	dae88	আমৃত্যু তিনি এই পদে
652cc83eea	e03ce	সারাক্ষণ তাঁকে ঘিরে থাকত
652cf9d292	1c618	তাদের ঘিরে ধরে
652d495f5d	f6e55	মধ্য লন্ডনের গুজ স্ট্রিট মসজিদের
652d83aff0	32b3e	কোন কিছু
652e3c56d5	3fc9d	বা জ্ঞানের সাহায্যে
652e8e68b9	b52ab	শ্রমিক ঐক্য পরিষদ
652ec4c80d	3f493	ব্যয়বহুল ভবন
652ee08892	430b2	২০০৫ সাল থেকে তিনি
652ee1bd90	38d3a	বঞ্চিত হলেও
652fcab064	60b9d	তারাই জয়ী হবেন
652fd62d61	239f7	নিয়ম
65301a9708	5d80e	টিএসসি, অডিটরিয়াম করা উচিত
6530430ade	c2082	সামরিক হস্তক্ষেপের কথা বলে
653076521c	d2faf	সেখানে মারামারি হয়
6530863247	bdd05	চলচ্চিত্রসংশ্লিষ্ট বিভিন্ন পক্ষের চাপে
6530ffca5d	e68af	বড়ো মফস্বল শহরে
6531266c6c	bfac7	সিনেমাটি বাংলা ও হিন্দিতে
65312f6562	b9b98	নিজেদের শোরুমগুলো
653148731c	e55de	বলা হয় তাঁকে
65315b321f	0744c	জুভেন্টাসকে এগিয়ে দেন লরেন্তে
6532120eae	35ef3	জবাবে দক্ষিণ আফ্রিকা
65325c8965	f4ba7	একটি ‘ফেডারেল ফ্রন্ট’ গড়তে
65327024b9	6973e	সমস্যা চিহ্নিত করণ
65328fae52	06e62	নিয়ে আসা হয়েছে
65329171b4	195f7	কাজ করলাম
6532c29c8d	b8ed8	চলচ্চিত্রের প্রতি তার
6532f57a31	5d12f	মিশরীয়দের মধ্যে
6532fdcf12	ee852	সিদ্ধান্ত নেওয়ায়
65333893d9	7027a	কলিকাতা হারবাল
6533663715	11915	নির্বাচনসহ সবার জন্য
6533c85816	d2d71	এখন তুমি সব বয়ে নাও
6533da877a	b7be9	অবৈধ
65340eef1a	3bb15	জাতীয় পরিচয়পত্র
653447c9a1	089ef	বিষ্ণুর সকল
65350faf55	b9b98	উদ্ধারের পথ খুঁজি
6536312662	7ed14	যাদেরকে দায়ী মনে করা হয়
6536890e2d	9f25e	বাঙলা দেশে ব্যাপারটা ছিল
65368ebb0b	ad2a0	নগরীর কোতোয়ালি থানাধীন
6537484b12	e2c11	নিউজটা কোথায় দেবেন
6537a96102	42898	নিহতের স্বামী ও শ্বশুরবাড়ির লোকজন
6537d5f6e2	5b13f	স্থানীয়ভাবে লড়াই থামিয়ে
6538145324	0d4cb	সিঙ্গাপুরে হাসপাতাল কর্তৃপক্ষ
65382ec799	bf530	দুটি বড় পর্দায়
65394d6869	4fbd1	নির্যাতন করতো
65397eafde	f837a	উপদেশ বানী
6539ec9532	4a67e	প্রার্থী কাজী শহিদুল ইসলাম
6539ef4cbe	68549	আমার সৌভাগ্য হয়েছিল
653a23ed9f	cfc65	চালক পালিয়ে গেছে
653a71cbbb	c41d8	তাদের এবিষয়ে
653a7da510	32c77	স্টেডিয়ামের ভেতরে বাদ্যবাজনা নিয়ে বেশ উল্লসিত পাকিস্তান দলের সমর্থকরা।
653b005216	79b06	উচ্ছেদ-পরবর্তী সময়ে
653b2e2555	8a46d	সেগুলো খুলে দেওয়ার
653b6d76dd	274ee	পৃথিবী অনেক বড় যদি বিশ্বাস কর
653c82bbe7	29bab	আবার সপাং
653d47b5de	351dd	জার্মান সমাজবিজ্ঞানী ম্যাক্স ওয়েবার
653d99d988	59c73	হিন্দুরা বুঝিয়াছিলেন যে
653e0dcf4b	f89d7	তিন নারীর জীবন
653e74b1c1	195f7	দিবস পালনের
653ed66a0c	91b16	যুগান্তর সহ বিভিন্ন সংবাদমাধ্যমে
653f1a977a	e9fa7	যোগাযোগও ছিল না
653f1c382c	9d46f	সম্যক বাক্য বলে
653f5d128e	3d17c	গুদামে বন্দী হয়ে রইল
654052d10d	37e17	মানববন্ধন করেছে
6540926577	80505	গণমাধ্যমে প্রচারণার কারণে
6540cd7987	2909b	সরিষাবাড়ি থানার ওসি
6540d9a578	f143a	নৌপরিবহন মন্ত্রী
654105db9b	9c8dd	টুইটারের সঙ্গে
65410f628a	f2b7d	তিনি উদ্ভাবন করেন বর্ণতত্ত্ব
654177c64b	4bede	অস্ত্র মামলায় মোট ৫৬
654198e187	9f25e	সংস্কৃতি সম্পর্কে ধারণা
6541c5434a	4ea73	আশা করি আমরা পারবো
6541d477f9	ee886	স্পিকার, পররাষ্ট্রমন্ত্রী, বাণিজ্যমন্ত্রী,
65426282a0	58998	৬৭ মিনিটে
6542d0c47b	bdfc1	মাস চারেক সময় বাকি আছে
654407dbed	58998	পালিয়ে বেড়াচ্ছিলো
65440dcf0d	ef4f8	চোখ বোলাচ্ছে আজাদ
654538c546	72649	আর এক ঘন্টা চলা
65455c3a52	4237e	সরকারের অনেক প্রভাবশালী কর্মকর্তাও
6545a717b2	11bd2	অ্যান্টার্কটিকা মহাদেশ
6545fafc13	25696	২৮টির মধ্যে তিনটি লক্ষ্যমাত্রা
654686b4b5	4bede	অগ্নি সংযোগ কর
65468963c4	3f875	নিখোঁজ রয়েছেন
65468e39d9	cf82a	প্রেসিডেন্ট জন এফ কেনেডি
6546999c2b	e9759	মাদকাসক্ত হয়
6546a25c29	e9589	পুরো নিচতলায়
6547085a74	bcaa8	'রাভান' সিনেমায়
654803ae67	32998	মঙ্গলবার পর্যন্ত
654825b7c4	6ab59	আদালত অবমাননার দায়ে
65486b9f85	23b22	মান নিয়ন্ত্রণ করে
654880ef72	6e6fa	৫ জন আহত হয়েছেন
6548d4c5c1	d9b11	আনোয়ার হোসেনের অবস্থার
654983ad0f	ee7b2	ঘোষণা করবেন
6549a26143	eecdd	বিভিন্ন এলাকার
6549adb51b	59c73	তার বিচারের দাবিতে
6549d8f62f	21e54	তাদের লাশ সদর হাসপাতালে
654a5af0a4	8143b	কিন্তু টাওয়ার হ্যামলেটসের
654b0953c1	ca088	চিন্তিত ছিলেন
654b50d6cf	ac904	নৌবাহিনী, স্ট্র্যাজিক রকেট ফোর্স
654bc039b6	b8fe1	ব্রাজিলের জীবন-যাত্রা
654c83393e	76329	তাকে বুঝতে পারে
654c9d4b84	bfac7	অন্তত প্যান-পাকিস্তানি রাজনীতিতে
654ccd31f3	eb179	কূটনীতিক ভদ্রলোকের কাছ থেকে
654d14d28b	e9fa7	ঘূর্ণিঝড়-বিধ্বস্ত খুলনা ও বরিশালের
654d2cecf8	cb842	তত্ত্বাবধায়ক পদ্ধতি বাদ দেওয়া হয়েছে
654e127f89	ee4ad	পরিশ্রম
654e7de390	b9a81	মাকসুদকে আশঙ্কাজনক অবস্থায়
654fa2fa7d	58998	তবে এবার কেন্দ্রীয় নির্দেশনায়
654fe7bd5f	cb1aa	সুসংহত উদ্যোগ
65502df39d	ef915	কেবল অন্য চরিত্রের সঙ্গে
65505d912d	ac904	জবাড়িয়া গ্রামে
6550c9f583	16877	নিরক্ষরেখা পৃথিবীকে
6550d8b6b9	8c120	শাহজালাল থেকে
6550f2dd29	58998	কুঠুরিতে ঢুকলাম
6550fba4a3	577fa	হুমায়ুন কবির
6551188615	ad050	কোম্পানি বিচার প্রশাসনের কার্যক্রমে
65518a9007	61820	তিনি বাংলামেইলকে বলেন
65527c14ed	01e91	পান্ডবগণের বনবাস
6552de4957	4bede	গ্রেগসন যেন
65534bf4e0	ea8fa	মুখে রঙ মেখে
65534e47cc	c0965	দ্বিতীয় রাষ্ট্রপতি
6553906044	eaa7a	বাংলাদেশ প্রতি দিন
6553e9115e	2695f	রোববার খোঁজ নিয়ে দেখা গেছে
6553fa01cc	4fc91	মামলা বা অভিযোগের বিষয়
6554431b73	943de	গ্রীসদেশের লোক
655451edc5	a3a6d	মাসিক একশ ডলার থেকে
655531cd8c	fb4cb	দুই চোখের তীর ঘেঁষে
65553fff35	e754e	রাত নামলে
65559c18c2	4e900	তার নাম মানবতা
6555d59bab	9813c	হিমু
655610d499	5354e	একটি ব্রোঞ্জ ভাস্কর্যের আবরণ
6556a90b79	c2082	শোষক নেই
65574f93eb	c2082	বাংলাদেশি এই বিজ্ঞানী
655766f590	9d7bf	তখন তারা ব্রিটেনের
6557b7b9ea	33814	এক অর্থে আপনাকে
6558177a2f	2ecf8	তিনি কলকাতায় চলে আসেন
65591b5024	88654	মানবিক বিভাগে ক্যারিয়ার
65592ad6ed	fd880	রাজার খেলা হয়ে উঠুক
65596c64ed	85430	রোজা রাখেন মুসলমানেরা
655aa26b2d	6da0a	কয়েকটি পালক
655ac4ca65	8c07c	এর মাধ্যমে প্রকৃত ঘটনা
655af2b2a1	2b883	উপস্থিত হলেন।
655c083336	a699c	আছে বলে দাবি করে
655c9b17c9	577fa	আরকাইভস্-এ সংরক্ষিত
655cb047b6	06ea3	এ বাড়িতে থাকবেন
655cdc2bae	d2d71	রানি এবং আদিত্য
655cf73b53	ef915	এর চেয়ে বেশি
655d120943	42898	আমি আসার
655d18c281	2c9c5	অভিযান শুরু করেছে
655d8b1f04	ea5be	ফেনী বাংলাদেশ
655d985664	4fbd1	নেইমারকে অভিনন্দন মেসির
655efb9c4f	ee852	দিন শুরু করা
65600bdcf3	e2f12	তাদের স্বজনদের খোঁজে
6561cbe5d7	2aecc	এক্ষণে উভয় গ্রন্থই অপ্রাপ্য
65620555e5	2ee04	কেন্দ্রের দিকে
656263f90b	d2355	অতি সহজে
65627b76b4	f2780	বীজ আনা হয়
6563b4efa3	fd880	তাঁর বই কইতে কথা বাধে
65646e633b	88654	তাকে গ্রেপ্তার করা হয়
65647e3c9b	ee852	সেই দিন সমস্ত কৌরবসৈন্য
65650758be	b8ed8	এর ছাড়পত্র
65654df6ed	b8ed8	পেস্ট তৈরি করুন
6565c92358	dafb6	এক ইউনিয়ন নেতা
6566884656	a43b5	কিন্তু বর্তমান সময়েও
6566ee6e06	16e96	প্রেসিডেন্ট প্রার্থী হচ্ছেন
656717cff3	e7230	সম্পূর্ণ নির্ভেজাল
65671ecd03	88654	বেশ কয়েকটি বাঘ
6567a537d8	2ee04	বুকে জড়িয়ে ধরে বলবেন
6567b45ab5	06736	এখানে কৌশলগত দুর্বলতা
6568acfa5f	06ea3	ক্রন্দনরত একটি বালকের
6568e335d7	65652	শেষ হয়
6568fecacd	1e7c7	নতুন সঙ্গী নিয়ে
656921b29f	18460	আবার সপাং
65693c4587	75626	পৌঁছাতে পেরেছেন
65694ed169	5d12f	করে দিতে হবে
6569bfbd71	7ee9b	সমান দূরত্বে
6569d5d479	88654	আমি খুব
6569f97405	0edef	না হয়
656a38c497	2f547	দলীয় সংগ্রহও
656a636728	a274b	মালভূমির গড় তাপমাত্রা
656b03c833	bbb22	জোরালো বাতাস আসিতেছে
656b321b8e	3fce2	নয়নকে মোটা অঙ্কের
656b57e485	dae88	সন্দেহভাজন নয়জনকে
656d388909	75936	দ্বিতীয় ইনিংসে
656d3ecdbe	745b7	সভাপতি নির্বাচনে
656d55b22d	870e3	কারণ কলকাতাই ছিল
656d5a4e0e	a3a6d	রেডিয়াম সংশ্লিষ্ট
656d9b159d	aa820	কালিমার পতাকা
656decfb5b	976b1	গোটা বইটিই সাংস্কৃতিক-অধ্যয়নের
656e427438	d1a48	বড় জয় পেয়েছে
656ec0f891	7ed14	ব্যবহৃত হল
656ec2f7ab	88654	অধীন একটি শহর
656ed04d7f	4fc91	মিল আছে দুটি মাত্র জায়গায়
656eda142d	a274b	অপরদিকে, প্রথম দফায় ঘোষিত তফসিল অনুযায়ী প্রার্থীদের মনোনয়নপত্র প্রত্যাহারের শেষ দিন সোমবার।
656efc23c6	5d12f	হত্যার ধরন থেকে
656f837913	1f974	জন ওয়ারনক
656fb86281	28bb3	প্রয়াত রাষ্ট্রপতির প্রতি
656fcda31a	410fa	বারিধারা ডিওএইচএসের
656fecb3b5	66dcd	নারায়ণগঞ্জে অপহৃত হন
6570011292	932bb	প্রথম ডিজিটাল পতাকা
65709e4178	c9c19	সময় গেলে
6571923d7d	c8f7f	এক সময় মারা যান
6571f063c7	24aed	নিজেদের বোধোদয়
6572454cba	fbb81	রাজিয়া কোবরা
65727974f4	315e9	রাকিব রাস্তা থেকে
6572a872df	4a67e	একটি নাট্যদল
6572acbec9	2840e	আমার মনে হতো
6572c57da8	491a5	এবং তিনি জানিয়েছেন
65742c7561	42898	সিইসি কমিশনের সদস্যদের সাথে
657494819e	f2097	এই রকম অজস্র
65750c7eca	e2ff7	দেখা যায়
657534d130	75626	তার আয় দিয়েই
6575c4d8aa	06bb7	এক ম্যাচ কম খেলে
657625c4c3	4237e	সঠিক অ্যালগোরিদম
65762cb4d5	76329	জিডিপির অংশ হিসেবে
6576f2de70	ca088	সে যাচ্ছে কোথায়
657766154d	121bd	বাংলাদেশ দুবাইয়ের পক্ষে
6577c8d3df	a274b	একটি নিজস্ব স্থানিক ভাষারীতি
65783cdf9d	91dff	ক্যাট বৌদি বলে
65787e8b56	a06a1	তৃতীয় পর্যায়ে
6578a812d5	a916a	একই সঙ্গে রাজনৈতিক
6578ead02d	ea5be	এই মামলার রায়ে
6578faca51	e6e48	আমৃত্যু আন্দোলন চলবে
6579ac463d	aa820	আব্রু রক্ষা করার লাইগ্যা
6579c02c42	cb842	তাই আজ
657a2e938e	acb88	নাস্তা খাওয়ার আধা ঘণ্টা পর
657a7f47e8	5b13f	পোকামাকড় খুঁজে বেড়ায়
657a8e7b93	f0f95	ব্যারিষ্টার রফিকুল হক বলেন
657ad17e10	616ec	এইচআরডব্লিউর চতুর্থ অভিযোগ
657b16604b	ea8fa	ইতালিয়ান কাপে
657b917062	11bd2	চিকিৎসকদের সবচেয়ে বড়অংশ বলে
657bdca012	fd880	জিভে চাটছি
657cc135f5	c9c19	ভাষা হওয়ায়
657cee7d51	32c77	বেশি আসন লাভ করলেও
657d7db8e6	ee994	এমনকি মৃত্যু-আমৃত্যু ভেদ করে
657dfcbf2a	6fb36	কষ্টের গল্প
657e0c81dc	6c6bf	তার জন্য সবচেয়ে সহজ
657e75a256	16877	মধ্যে যুগে কিছু বস্তুর
657e97bea1	f2097	৬৭তম মিনিটে
657e9de7a1	c5dc8	ম্যাজিস্ট্রেট এক দিনের
657f878ca8	e9fa7	বস্তুগত সমর্থন দেয়াও
657f953202	e3d8b	হিউম্যান রাইটস ওয়াচের উচিত
6580c2051e	72649	প্রতিটি পাঞ্জাবির দাম পড়বে
6581c6aee4	767ff	ভ্রাম্যমান আদালতে
6581f216e6	1b359	বিজ্ঞাপনের ক্ষেত্রে
65820c1ad8	75626	পথ-শিশুদের কুড়িয়ে আনা
6582999405	0a87a	নিরঞ্জনের হয়ে
6582e8357c	25696	তাঁদের সারা জীবনে
6582ece547	0e637	৩৭০ ধারা
65832d7961	6b437	বধুর প্রবাস-জীবনের
6583d852f9	6b437	হেলিকপ্টারে করে টঙ্গিপাড়া থেকে
6584a7b388	37d7e	চারটি বিয়ে করতে পারে
6584ab9712	80518	জানান আলমগীর
65852ecdb3	590d0	মাছ থেকে
6585820ede	4fbd1	অজয় নামটির অর্থ
6585d5d1e5	b9b98	মিছিল সমাবেশ হয়েছিল
6586039d36	16cfb	হঠাৎ হৃদয় মা.. মা.. বলে
658606cf29	2bd99	দেবভাগ রাধিবার জন্য
658658103f	195f7	সরকারি অভিযান আর কারফিউয়ের মুখে
65866b089a	2909b	ভেরোনায় এসে পৌঁছাল সে
6586bab126	3b1f7	সমাবেশ ও হরতাল কর্মসূচি
658747b423	8cf95	চীনের বিনিয়োগ এবং নিয়ন্ত্রণকে
658796d88d	ce180	মহাভারতের কাহিনী
65883cf25b	5dd61	সংঘাত অনেকটাই দৃশ্যমান
658889e235	7b60a	দিগন্ত
6589d99065	6e6fa	বিদেশে যেতে পারে না
658a24cc0f	a4750	ওই কাপড়ের দোকানদারও
658a77c7bd	83c53	এই ভবনের স্থপতি ছিলেন
658a897b8c	f1240	কুড়িগ্রামের এক নদীর
658ab5c8b5	9d46f	ক্রীড়ায় টুর্ণামেন্টের
658acfb854	8a46d	অফিসের জন্য
658adf4cb9	e43d4	বসে থাকেন নানি
658b1da25b	442b7	আসছে বছর কবির
658b296927	24f73	স্রোত ঠেলিয়া চলে
658b9bca4b	0d9f1	জ্ঞান অর্জন করেন
658ba1fd87	a1d4a	এই পরিষদের প্রধান
658bd58c69	1de6c	ধারাও বর্ণিত হয়েছে
658bebcb4f	554fe	এই অনুরক্তি একদিকে
658c221b0d	8cf95	আমরা অতি গভীর ভাবে
658c2f82b8	43b04	একুশে উদযাপনের সময়
658c513900	2aecc	চণ্ডীপাড়া এলাকার বাসিন্দা
658c650d96	d2faf	ও স্বামীসহ
658c862c10	d2355	কেরাণী ইত্যাদির কথা
658d69aa24	a8710	আরেকজন রেডিও কর্মকর্তা
658e48fa48	e7230	ট্রেন চলার
658edf7638	7c272	লক্ষীপুরের জেলা প্রশাসক
658eed6498	c173f	ঠোঁটে রঞ্জিনী বুলিয়ে
658f21955d	6d129	এমন দৃশ্য এখন আর
658f829a75	25117	মমকে দেখার পর
658fc4acc0	11bd2	নহিলে, আইস মরি
658fe79e72	1e7c6	অনেকটাই স্বাভাবিক রয়েছে
659020e4b8	91b16	চলে এলাম ঢাকায়
65905baa73	d9081	এমন সময়
6590758d3e	0696e	ভুয়া অন্ত:সত্ত্বা দেখিয়ে
6590bf2eaf	9d398	আমন্ত্রণ পেয়ে
6590d56f6c	4c1eb	উপর প্রতিষ্ঠিত
6591020ea7	28dfc	একটি মেয়ে
65911509d4	57d54	অবস্থাপন্ন কৃষক ছিলেন
6591469ddd	9f25e	তা দুই দেশের মধ্যে
65916d3161	420df	বাংলা ভাষার প্রাচীনতম নিদর্শন
65920523fb	5d80e	কয়েকদিন আগে দেশে এসেছেন
65923d4863	43b04	একটি তোশক ও মশারির
659250c587	3ccf1	বিদ্রোহীদের মার্কিন ট্যাঙ্ক
65929fec4e	ee7b2	শনিবার ঢাকা বিভাগীয়
6593158d69	c41d8	গর্ভে ধারণ করিলেন
6593358427	509f6	কারিগরি শিক্ষাবোর্ড আইনের
659352e7d7	83c53	চিত্রলিপি থেকে
65940c46e7	bf530	এতো ভালো সম্পর্ক
65941d25ad	e03fc	কুয়ালালামপুরে নিয়ে যাবার
6594a5910f	5e80b	বুধবার দুপুর আড়াইটায়
6594c54597	9e923	জয়ী দলের সঙ্গে
6594d77453	4c555	ফলে ১৯০৪ সালে
65953891ca	c5dc8	পানি ছাড়তেই হবে
65958ce8ed	16e96	তা কেউ জানেন না
6595b0cef9	f0f95	ব্যাক্টেরিয়ার উপস্থিতি
659605867f	60b9d	উপস্থাপন করা হয়
65966b1515	e6d83	ও বোনের আপদ্ পড়িলে
659671fb7c	0edef	ঢাকায় আসছে
6596982fe8	71522	স্বাগতিকদের উজ্জীবিত করে তোলা
65969942d2	66dcd	তরুণীর হাত ও শরীরের
65970c6e40	c11b1	তখন আড়াই হাজার ফুট উঠে
6597137c46	ee4ad	খাদ্য মজুদের ঘোষণা দেওয়ায়
659736ac60	e9759	নজরুলের প্রেমের গান
659818b677	1a4a9	বছরের অন্য সময়ের তুলনায়
65982d550e	f7a7f	কেহ চটিবেন না
6598328c45	1de6c	হজ্বযাত্রী ও তাদের আত্মীয় স্বজন
6598a3e708	590d0	রজত ধনুকধারি ক্ষেপ
6598d5a5d9	32998	নামের মাসিক সাময়িক পত্র
659975d709	8406e	রসু খাঁকে নিয়ে লেখা
6599779110	e50f1	সঠিকভাবে চিনতে পেরেছিলেন
