e200413c55	4bede	রাষ্ট্রপক্ষ পাল্টা আবেদন জানিয়েছে
e2225d7ccc	83c53	এইচ এস সি ভর্তি ফরম
e222d0d2aa	4f2ae	সবচেয়ে জনপ্রিয় জায়গা
e2232ab745	8845d	তাদের গায়ে একধরনের মাছি বসে
e2235454b8	ef4f8	অন্য এক বিনিয়োগকারীর
e223ed9164	9813c	এই মোল্লা-মৌলভির দেশ বাংলায়
e22466434f	323f1	কারখানায় অগ্নিকাণ্ড প্রতিরোধের জন্য
e224e938d2	42898	কঠোরতার দিকে
e224ee95fe	f9dfb	৩০০ কিলোমিটার
e2250acb78	68ab7	সমাবর্তনে ভারতের রাষ্ট্রপতি
e225b0de0a	9813c	৩১৪ রান সংগ্রহ করেছিল
e225e77937	86b1b	শিশুদের আশেপাশে
e226562f20	ad69a	কোন খবরই
e226c29f84	948d3	সুধী সমাবেশে
e226f5292c	9065c	বেশি কইরা পিঁপড়া খা
e2273cc40d	d3e06	সব ধরনের
e2278c785e	25117	অনেকের ধারণা
e227b1cee0	05901	ফেনী শহর
e227bb2b6a	d1a48	একটি উদাহরণ দিলে
e227fe113f	a8710	তাকে একটা কঠিন প্রশ্ন করবেন
e2281071b4	43b04	ভেঙে ফেলতে বাধ্য হয় সে
e228407350	d8c80	দপ্তরে ঢুকে পড়া শাকিল
e228c38c68	f2097	রক্ষিত আছে
e228c40278	75626	আমরা যেমন আছি
e22977eca2	fcc89	নুন আনতে পান্তা ফুরোচ্ছে গরিবের
e22a404c9a	7ec1c	সর্বনাশ চাইতে পারে
e22ae29658	a916a	গুড নাইট এস এম এস
e22b23bc3d	7027a	আরো কয়েকটি হাতবোমার
e22b2b564f	47e8d	শুধু পৃষ্ঠপোষকতা দেননি
e22c77a6b5	195f7	বিনামূল্যে বিতরণ করা
e22d0cb9c3	5cb47	তাদের আঘাতে
e22d39348a	321b6	জলবায়ু
e22dd117a7	8143b	স্থায়ী ও অস্থায়ী ঠিকানা
e22ec38e41	698ff	তোমার সম্পদ খায় তারা
e22f0bb324	39dd0	এরপর সেখানেই তাকে
e22f11b9de	c3cb3	ভুলে যাবো না
e22f28d222	c5dc8	বিবিসি ফিল্মস
e22f5d96ef	80518	পুলিশ ধাওয়া করে
e22f5fbe2b	01e91	কচুক্ষেতে হৃদয় নাই
e22f672032	16877	ইসলামীক গজল
e22fa266bc	a3a6d	গু আবার খাওয়া যায় নাকি
e22faa2fd6	d1b12	জ্বালানি হিসেবে
e22fcfec1c	09f0d	এই ছোট্ট মিথ্যা
e2304b59d3	69d9a	ব্যবস্থা গ্রহণের প্রস্তুতি নেয়া হচ্ছে
e23074139a	d8c80	ছুটে এসেছিল দেখতে
e230a9bc98	42898	অভিনেত্রী বর্ষা
e2310e3c0b	76329	বিআরটিএ’র যে সার্কেলের আওতাভূক্ত
e2311a2b97	2695f	একজন সংসদ সদস্য
e231414813	8edea	একটি অবাধ ও নিরপেক্ষ
e231615895	1f733	দিনের পর দিন কাটছে
e231897c1f	5354e	বরিশাল মহানগর গোয়েন্দা পুলিশের
e231b2c428	a0277	তার প্রধান কারণ হলো
e231c1e1fb	976b1	ডা. গোবিন্দ চন্দ্র দাস
e2320fef8d	7b103	উত্তরাঞ্চলের বগুড়া এবং সিরাজগঞ্জে হরতাল পালিত হয়েছে।
e2322cd7c7	b7be9	উঠোনের আরও গাছের ওপর ছড়িয়ে যায়
e2339effe2	b9a81	অন্তর্নিহিত বচনের সত্যতা
e234295b89	315e9	খুশি হয়ে বলল
e2356bc05c	577fa	বিস্মিত ও বিরক্ত হলেন
e2358e8456	967fd	মা ও শিশুদের টিকাদান
e235e02875	0744c	আমি তাহাকে আশ্বস্ত করিয়া
e235e5c04c	fda1a	আমরা অধিক সহ্য করেছি
e2364ae3eb	717bb	ফজলিখালার হাত থেকে
e236fabab7	52f27	এই মুহূর্তে বিরাজমান
e2373035f3	bd576	ফ্ল্যাশ মুভ
e237d8077f	3bb15	ছিলেন লালন শাহের
e237f7eb0f	32c77	খালি গা শালীন নয়
e2387cba29	14d25	আইপিওর মাধ্যমে উত্তোলিত টাকা
e238932684	92f59	সেনাবাহিনীর ক্ষমতা গ্রহণকে
e2391fde90	f29bf	রাখা কঠিন হবে
e23974ac97	2695f	এ সব কোম্পানি
e239f73d01	410fa	নামাজে বসলে
e23a97831a	af81d	সম্মান করবে
e23aa2b7eb	f6e55	বেশ কিছু নিরাপত্তামূলক ব্যবস্থা
e23b01820e	767ff	সিন্ধুর নিকটে
e23b39c1f6	e6e48	গোকূলে নিয়ে চলুন
e23b7c9bc6	64092	ত্বকের সৌন্দর্য
e23bc2faa2	256f5	এবারে বই মেলায়
e23c02b8e5	14d25	তপন রায় কিন্তু নির্বিকারভাবে
e23c2c0c36	3fc9d	বেশ নাম কুড়িয়েছেন
e23c39f299	4dd57	মাত্র একজন
e23cbb0754	fdcba	জীবনের শেষফল
e23d21b1dd	cb627	কথা বলা সম্ভব হয়নি
e23d815844	6da0a	প্রস্তুতি নিচ্ছেন
e23d9fb2c9	23b22	মোষের গাড়ি করে
e23dd1dc96	3fce2	খুলনাকে আবারো
e23f4fd4c3	95907	রাজধানী ব্যাংককের রাস্তায়
e23f796c30	e7230	গতবারের ঐ ঘটনায়
e23f7f8b3e	932bb	প্রধান বিচারপতি
e23fa2d662	430b2	আইন সংশোধনে
e23fb2c1dc	9f25e	চমেক পুলিশ ফাঁড়ির হাবিলদার
e23ff6f1c7	4bd2c	এমনিতেই যতবার ও এসেছে
e24046a772	f29bf	মেয়েদের মুখে
e24088748e	7b103	ফেরী চলাচলও বন্ধ রয়েছে
e2413d8ea8	e00db	নিকটে যে কয়টি স্বর্ণমুদ্রা ছিল
e241fc48b5	9e923	বাইচা আছে
e2423a850b	f89d7	শুটকি
e2425f1479	315e9	জিভ লাল পানের রসে
e2429f05cc	06bb7	প্রণীত নহে
e242d685cf	e9589	দুই দিন গত হইয়া যায়
e242ef245d	25696	বিক্রয় ডটকমের ফ্যানপেইজে
e242f103f4	a46e2	মধ্যপ্রাচ্যে অবস্থিত
e243ac736d	cc9fd	ডিজাইনের শার্ট নিয়ে
e243bf3457	ff1eb	যদিও ১৯১৪ তে
e244233937	da6f0	লেকের পাশ ঘেঁষে
e244431291	3fc9d	নারীকে ভালোবাসলে
e24482dcef	13b6a	বা জমি-জমার বিরোধসহ
e2449150ac	4f450	গত ২৫ শে মে
e244f6a2f0	72649	তাদের প্রার্থী সংখ্যা
e2453697e2	351dd	গরম সস ঢেলে
e24598c11e	18460	মুসলিম স্ত্রীও
e24601cbb8	9351a	নদীয়া জেলার একটি শহর
e246712f7f	b8bba	জয়দেবপুর গাজীপুর সেনানিবাসে
e2468d38ea	a3a6d	ছয় যুবক কারাগারে
e246b4f423	39293	এমেকার বাড়ানো বল ধরে
e246cd31a0	0e637	ওইসব সব ব্যবসা প্রতিষ্ঠানে
e2471e58b7	b9122	অবলম্বন নাই
e2473dc3c2	c3cb3	থাকলেই একজন ওপরে
e247fe63b5	14d25	সকাল থেকে
e2480155e6	13b70	রিজিয়া পারভীন
e24892610f	a7c6f	চোখ দিয়ে
e248e92be1	a8710	মেঝেয় পড়ে আছে
e249385260	e6d83	আবার ঝগড়া বাঁধে
e249cd24fa	92bd8	এখন রোহিঙ্গারাই
e24a7e1643	8143b	খুবই জরুরি
e24a840aaa	b52ab	পশ্চিম অস্ট্রেলিয়া
e24a848f4e	2840e	এক বিশেষ আলোচনায় অংশ নিয়েছেন
e24aae2465	404ee	আলোকপাত করা হয়
e24ad468d0	3fae0	সূর্য উঠলে
e24b01575d	ef915	বাড়ির দিকে
e24b2a16e9	f6e55	তবুও ভালবাসি
e24ba1ea7f	aabe7	লাটিমের মতো
e24c2986cc	c3cb3	কবিতার পুরোনো সেই ভাষায় বদলে যাওয়া
e24cb35df0	7ed14	তাহরীর স্কয়ারে
e24cc8e1e5	256f5	আনা হয়
e24cf2f25c	b9122	২০০০ সিডনী গেমসে
e24d705e69	28bb3	অনুবাদ করেন
e24d786aa3	ee7b2	ব্যবসা শুরু করেন
e24e6d5fa7	6973e	পঞ্চপাণ্ডবদের অন্যতম
e24e6eaee4	8845d	আহমেদ আলম হোসেনের ছেলে
e24ea947cf	ff1eb	শুধু শহরতলী তো
e24f8a82aa	03284	উত্ত্যক্ত করে আসছিল
e24f999bb2	9065c	আরেক দর্শকের মত
e24fedb89e	f2097	দক্ষিণাঞ্চলের অধিকাংশ
e25017f23f	11de3	কোন সাহায্য করবে না
e2504b5c89	9c8dd	আগামী মাস থেকে
e250775f9b	c173f	বেশি আবেগী
e250889f8e	65e30	সাদা পোশাকের নজরদারি
e250be7389	8143b	টুর্নামেন্টের ১০০ দিন আগে
e2512c789e	aabe7	হাতপাখা
e25155ed64	92bb2	এগুলো কি
e251696ad1	778c0	আমার বাই;দোলা-লাগা,পাখী-জাগা
e251dbddce	a274b	চলিতে চলিতে
e2522afeae	3fc9d	ঘোষণা দিয়েছি
e2523c6196	23b22	অবসর গ্রহণ ও অন্যান্য কারণে
e253b4fe13	f658d	কোরবানী করেছেন
e253dc1a95	06e62	জেলা প্রশাসন
e25408b0d8	e6e48	দেখি কেমন হয়
e254bf1441	14816	ভাড়া নিতে পারি না
e254f3bd6b	ce775	ভেতরে ভেতরে প্রার্থীরা
e255328e8f	0d4cb	আমি মন খারাপ করে বলি
e25557ad24	d711f	কথাবার্তা না কহিলে
e255e0c839	5b13f	কিন্তু শেষ মুহূর্তে
e255e7c96a	d1b12	মৃত্যুদন্ডের বিধান রেখে
e25611878e	e6203	খরচ বাদ দিয়ে
e256a51dd5	c7a89	মন্ত্রিসভা সাজানো
e2576817c7	15a75	ঢাকা ট্রিবিউন
e25806ee8f	3c897	বন্ধকি ব্যবসা নিয়ে
e258798911	75626	গ্রাম বাংলায় একটা কথা আছে
e25885dbd9	9813c	আই দ্য জুরি
e258d10de0	46da4	জানিক আমার এফবিতে
e2594a7a1a	2f547	মেসিকে সহজ সুযোগ করে
e259627e5d	2ecf8	চালক পালিয়ে গেছে
e259944c53	91ac1	অস্ট্রিয়ার পশ্চিম থেকে
e25a282feb	9282d	অভিনয়ের ব্যাপারে
e25a3e7c2b	b618b	সাবেক প্রেসিডেন্ট জর্জ বুশের সময়
e25a4184b0	b9122	মিজোরাম সীমান্তে
e25a5788e1	2bd99	সদ্য তীরে
e25a5c1b8a	693cb	সামাজিক পরিবর্তনের জন্য
e25a63c622	dec2d	হাশরের ময়দানে
e25a96e256	9d46f	উগ্রপন্থী
e25aa9a158	4164f	সেখানে আছেন
e25ae2dd48	f0f95	ইন্টার্নি ডাক্তারদের হাতাহাতির জেরে
e25aeaf8a9	ced74	কোন বার্তা প্রেরণ
e25afe7293	4e900	উপায়ান্তর হইবে না
e25b70a8cf	7351e	মাঠে রাখার সিদ্ধান্ত নিয়েছে
e25bd31daa	8b859	অভিযুক্ত ১১ পুলিশ কর্মকর্তা
e25bfaa0de	d0c70	প্রয়োজনে ভোলা কৃষি অফিস
e25cb3bfa0	6c6bf	সহজলভ্য আকরিক হলো বক্সাইট
e25ccc9a0a	a43b5	সদস্য রয়েছে
e25d085fe8	80505	শাহবাগের আজিজ সুপার মার্কেট
e25d1b33ad	287bd	হয়তো কম হবে
e25d7a0f7b	c0965	তরুণদের এই কার্যক্রমের
e25dbabe9b	c173f	আরও বাড়তে পারে বলে
e25dc35e0b	c5dc8	তাক করা হলো
e25def524c	9d46f	ওদিকে, কায়রোতে
e25df61e6b	6ab59	আমি জীবনের জটিল-গহিন-অসিত
e25e1c868d	eb179	প্রতিষ্ঠানটির প্রধান সম্পাদক
e25e78d455	2c9c5	লক্ষণ দেখা যায়নি
e25e90cbe0	39dd0	ওই অনুষ্ঠানে প্রবাসের
e25eaa4ab2	1279e	এবং ১৯ টি
e25f18c2f8	ac0df	অক্ষ বলে
e25f3c4aba	59c73	নির্বাচিত হওয়ার পর
e25f834134	dafb6	প্লেয়ার অব দি ম্যাচ
e25fe3b182	d136b	আমাদের চিন্তাভাবনার কথা
e26042b80a	68549	ঢাকার গ্রিন রোডের বাসা থেকে
e261ad4537	e9fa7	রাজ্য কংগ্রেসের নেতাদের
e2628a4e9a	6aac8	যে নতুন মেয়র
e262d30545	e3f89	ইনিংস মেরামতের
e262f2bfeb	e3f89	বঙ্গ বিভূষণে ভূষিত করে
e26302880e	7898e	হাতের কব্জিতে পরেন
e2633be857	4bd2c	বঙ্গদেশে ধন্য হইল
e2634999ba	d1a48	অত তেঁতুল
e26396ab3b	2aecc	লিমন আবারও
e26397823f	c749e	না তোমার বয়স কম
e263d08618	38ff0	এর সঙ্গে যুক্ত
e263f10947	d9081	রাজার খেলা হয়ে উঠুক
e2642ba008	31f09	এ ছাড়া ভোটারদের নিরাপত্তায়
e264413e73	64092	বিদায়ী অনুষ্ঠানে
e264678e51	06ea3	জাহাজের রেলিংএ
e264bd15c9	f658d	যায় নাই
e265474e66	c463d	আকাশে তোমার মুক্তি
e265ddb0ce	e6203	সন্ত্রাস দূর হবে
e265eb348d	fda1a	আইনশৃঙ্খলা বাহিনীকে
e265fbfeb8	420df	নির্বাচনী আচরণবিধি
e2663f3d6e	ee7b2	এসব ব্যাংক আমানতে
e266711c23	ad69a	জাতিসংঘ ১৯৫৭ সালে
e266b94902	9813c	রবীন্দ্রনাথ থেকে ধার করে
e266e24add	fda1a	এর মধ্যেই নিখোঁজ যাত্রীদের
e267310fa3	7ec1c	প্রতিদিন দুই থেকে তিনশ টাকা
e2674e0b18	56508	সেন্সরগুলোর মূল কাজই হবে
e2676b1ef3	b8bf0	ফুটবলের বর্তমান প্রেক্ষিতে
e26784eaa4	e2ba2	ঢাকার একটি হোটেলে
e267a5a55b	b618b	সামনেই রাস্তার ওপরে
e267c4b6eb	92bd8	গালিবের বিজ্ঞাপন কোম্পানি
e268445c53	a06a1	সকাল থেকেই বিএনপি অফিসের মূল ফটকটি তালা বন্ধ রয়েছে।
e268867e63	bd576	সত্যিকার সুস্থ
e268be891d	778c0	একজন হোটেল থেকে গেলেও
e2691fccf1	32b3e	কোনোমতে টিকে আছে
e26921a788	b00ba	মহেন্দ্রগড় জেলার
e2694f388b	bc81e	মামলার বিচারিক কার্যক্রম
e269b6e526	420df	দলে নেয়ার জন্যই
e269db446a	49543	তাঁহারা সেকেণ্ড কাসের
e26a0da94e	e03fc	পরিস্থিতি নিয়ন্ত্রণে আনার
e26a60b5b8	a916a	হামদর্দ
e26a864a74	54e68	প্রশিক্ষণ দিতে পারবে
e26a8c31d4	f658d	কিশোর ভয়ে ভয়ে
e26af58799	58998	অনেক লেখকের মতে
e26b1eadbd	c41d8	সেলিম ও আনারকলি
e26b282512	2bc73	আমরা চেষ্টা করেও
e26b3cb0bc	28dfc	জন্মস্থানের খুব কাছে
e26b61e6f9	cb1aa	মুজিবনগর এলাকায় জনযুদ্ধ
e26b67b9fd	3ccf1	আনিস ভাই, আমি জাফর
e26ba0b2ab	14816	গানটির সুর করার
e26bb13457	6973e	ব্যবস্থা নিতে হবে
e26c37861b	ad69a	দীর্ঘদিন ইত্তেফাকে
e26c5632e6	a06a1	ইতিহাসে আগ্রহীরা
e26cb05e70	2ee04	এত দুঃখ
e26cfd3f5f	77f82	কঠোর কর্মসূচি দেয়া হবে
e26d6b5035	95f83	বন্ধ করতে
e26e044d9b	23291	এই রিপোর্টে তারা
e26e309ec3	0a7a0	কিছু সময়ের জন্য
e26e679917	25117	রাজশাহী কলেজে
e26e80d637	69d9a	ছোট ছোট দলে ভাগ হয়ে
e26e9261ca	9d7bf	দর্শকপ্রিয়তার কথা ভেবেই
e26f8addf4	09f0d	দলের জ্যেষ্ঠ কয়েকজন নেতা
e2701aebe7	8b859	হজরত ইসা আ. -এর মতো
e270941b99	b9a81	ওই পেনাল্টির আগে
e270b1d4ec	25696	টিকফা চুক্তিটি
e2710397de	ce629	এবং অর্ধেকের বেশি আসনেই
e271cff88b	e68af	আমরা কবিরা যাত্রা করেছিলাম
e2729207ba	80539	শুল্ক প্রদান করেছে
e2731b3ffb	91ac1	আশা করছেন কংগ্রেসনেতারা
e2732577d7	31f2a	রানা প্লাজা ধসে
e273a2b171	eb179	সিরিজ চলাকালে
e273e380cf	a1201	এই সংগ্রহ ও জীবনী জন্য
e274aef17b	dba43	লেখায় ও চিত্রাঙ্কনে
e274cad271	dae88	এ কথাও বলা হয়েছিল যে
e275976725	11915	তারাও আমার
e275af265c	32b3e	আমার কবিতা
e275e8d2c3	f2097	জিজ্ঞেস করার পালা
e275fef306	d2294	ডেরবান আইল্যান্ড
e2763573bc	d9081	বিকশিত করতে চাই
e276829704	da6f0	নিয়ন্ত্রনে রাখা সম্ভব ছিল
e276a90a8f	239f7	ছোটদা রাগে
e277a6d833	e03ce	অটোরিকশা দুটিকে ধাক্কা দিলে
e2784337f9	f29bf	গোয়েন্দা কর্মকর্তা মনিরুল ইসলাম বলেন
e278895a65	f658d	ক্ষমতার দিক দিয়ে
e278e048fe	b8ed8	বোদলেয়ার ও রুমি কবিতায়
e2796b560f	9813c	হাতিয়ার
e279c317fa	c41d8	দলীয় সূত্রমতে
e279c7eaed	58998	পরিচয় দেওয়া সুফিয়া বেগমের
e279d24109	ca831	দক্ষিণ সুদানে তেলসমৃদ্ধ অঞ্চল নিয়ন্ত্রণে নিতে সরকার ও বিদ্রোহী গোষ্ঠীর মধ্যে যে সংঘর্ষ চলছে।
e279e7479b	c749e	ভিড় জমে উঠে
e27aa1f3ec	2ac82	এভাবে ভাবিনি
e27ab8f6e6	7027a	মিঃ রহমান অবশ্য
e27b158ef6	1f733	বাংলাদেশের সমাজ
e27b1e4b08	e9fa7	বাণী, ইন্ডিয়ান একাডেমি
e27bae70af	a1201	তাতে বাংলাদেশের অবস্থান ছিল
e27c0cb3ef	2f547	সমাবেশ করে তার
e27c2cc92e	bd576	জাত-ধর্মের সুতা কেটে
e27c500cf0	4c1eb	দক্ষিণ কোরীয় কর্মীদের
e27c669de7	536d9	পুরুষের ওপর
e27c7f8764	2d98b	তিনি মা লক্ষ্মীর কাছে
e27cad9bd1	24aed	ঈদে উল্লেখিত তিনটি ছবি ছাড়া
e27d7555ec	baa02	স্বয়ংক্রিয়ভাবে হলে
e27daaf2d0	903fa	খাওয়া হয়
e27dd3361e	8a46d	ই অভিযোগ অস্বীকার করে
e27e8fc132	8845d	৯০ সাল পর্যন্ত
e27ed37ef7	e6752	অভিষিক্ত মার্শাল আইয়ূব
e27ef055e7	23b22	যেমন ফলের রস
e27f0cf601	fd880	কয়েকশ’ হেক্টর জমির
e27f0fe195	4bd2c	নাগরিক অধিকার আন্দোলনকারী
e27f1fe750	75f18	শকুন
e27f2af550	80505	তিনি স্বাগত জানান
e27fcdd022	a1201	মুখ দিয়ে বাজাতে হয়
e2806baf26	2b883	তাঁর রাজনৈতিক ডায়রি
e2808197b6	ff1c3	মারা যান আরো একজন
e2809c376d	7ed14	নয় খন্ডে
e280e06d84	c5479	কাফের বলতে হিন্দু
e280e0f291	54e68	খোকনসহ অন্যরা উচ্চ আদালত থেকে
e2825e8edd	ac904	আমি অনুপ্রাণিত হয়েছিলাম
e2827e72ec	0f047	সেই পটভূমিতে ইউরোপীয় ক্রেতা প্রতিষ্ঠানগুলো এই পদক্ষেপ নেয়।
e2828f3b4e	9813c	বিশেষ করে ভারত
e28291dbfd	91223	একটি মোর্চা
e282af9b08	e50f1	২৩ ফেব্রুয়ারি দুপুরেই
e282c82542	ec91c	অগ্নি ৫ আইসিবিএম
e283743ecb	1f733	নিহত লোকটির
e283c94ebf	73629	দুবাই থেকে চট্টগ্রাম
e2841a58e7	2d98b	পশ্চিম বাংলার পাশাপাশি
e2846a85ca	01e91	সে আয়ত্ত করিয়া ফেলিল
e284b25e59	577fa	ডাকাইতের মুল্লুক দিয়া
e284bf6602	aa820	সে বস্তির মালিক
e285205266	7297e	লিখিত আছে
e28582a43d	9e923	একটি স্থায়ী মানববসতি
e285c91cfe	56508	ঘুমাতে হয়
e285cd619a	ca088	ভালবাসি তোমাকে
e285efab1b	3fb17	এমন সতর্ক বার্তা
e286454187	43199	আগে দাদিরটা বলে নিই
e286d5c4a2	7b103	দেখা হয়
e287c2b11f	4486f	মুখ তুলে তাকাল
e2884637a9	1b359	মির্জা আহমেদ ইস্পাহানিকে
e2884d6490	239f7	দূরীকরণ ইত্যাদি
e28911320f	92bd8	এবারের বইমেলায়
e2891a80db	06527	সৃষ্টির শুরুতে
e2892df05a	e2c11	জিজ্ঞাসাবাদ করে
e2898d98d2	bd576	ওকে এখন
e2899c67cd	05901	স্ত্রী মোর্শেদা বেগম, ভাই রিপন
e289acb578	ff1c3	পেশাগত জীবনে
e28a499f1a	d5f7b	উঠে যেতে পারবে না
e28ac1d7b4	39dd0	আব্রাহাম লিংকন
e28af390fc	0edef	বিশ্ববিদালয় কর্তৃপক্ষের কাছে
e28b2e3f71	5dd61	অধিষ্ঠিত ছিলেন
e28b95311d	4c555	বিডিনিউজটোয়েন্টিফোর ডটকম
e28bf4a36b	2ac82	শারীরিকভাবে নির্যাতিত হয়েছিলেন
e28c570cb9	a7c6f	কিন্তু মি: রহমানের বিরুদ্ধে
e28c9f2237	8406e	নিয়ম অনুযায়ী রুমি সকালে
e28d33937e	13b6a	সীতা
e28d780ea7	4a67e	সাপের মনি
e28e597d5a	616ec	মামলার ফরিয়াদি/আসামি
e28f0f7ef2	61820	ওমর খৈয়ামের
e28f1d119c	65e30	তাদের জেরা করেন
e28f2f4034	82926	বিয়ে হওয়া স্ত্রীর
e28f418ea7	4bd2c	স্মৃতিকেন্দ্র চত্বরে অবস্থান করে
e28f4bb95d	4164f	২০ শতাংশ বেশি
e28f6fa609	4fbd1	এসব মামলার চারটির কার্যক্রম
e28f902f2c	d82d9	কারাদন্ডের বিধান রয়েছে
e28f931c8f	8c120	ঝাপসা ঝাপসা
