11280ca70b	2556b	চুলের কাটিং
113b893cd0	9e923	সিনেপ্লেক্সে রয়েছে সাতটি সিনেমা হল
113b8c8a34	f280a	না ভোট ব্যাঙ্ক
113bbf1f7c	7b900	পৌঁছিতে পারে
113bd0ad0e	f280a	জিজ্ঞাসাবাদ শুরু করেন
113bde1fee	239f7	এক মাসব্যাপী
113cba003c	5354e	জল নূপুর
113d09a280	1a2a1	সার্ক নেতাদের
113d31b960	f1240	ঠিক এই ভাষায়
113d4f80c4	6e8cb	কিঞ্চিত ভগ্ন হয়েছে
113d5afe51	0606d	সমাজের ভদ্রলোকেরা
113d5c2780	315000000000	আবহমান মানবজীবনের
113d5ea26e	16877	ভালো লেগেছে
113de0e096	a9a58	পুরোদস্তুর একজন শয়তান হিসেবে
113e5e0608	1E+091	তাঁর সন্তান আর বংশধরদের
113f22d327	ea5be	বানান ব্যবহৃত হয়েছিল,
113f3d5768	ad050	সুতরাং একটু সচেতন হলেই
113f84f46e	0	জ্ঞানযোগ স্বামী বিবেকানন্দের
113fc00ef5	c0d65	এক উৎসবে
113fce7016	57d54	এই নতুন সেবা
113fd90a7b	0d9f1	রায় অনলাইনে
113ff0fb24	321b6	অনেক গুরুত্বপূর্ণও ছিল
11400d5bcb	6c17f	যেসব ব্যবসায়ী স্কয়ারের এ কার্ড পদ্ধতিতে
11409dd213	33814	নানি, রুনুখালার শাশুড়ি
1140e7e2b9	948d3	কয়েক দফায়
11416ab4cc	a699c	আমাদের পক্ষে আসছে না
11417e2635	f6e55	চার্লি চ্যাপলিনের
1141a316ae	ca831	ব্রিটিশ ঐতিহ্যের
1141ac7622	93bf3	যেমন আগের নেয়া ঋণের
114202e1e1	0f047	ভুগছিলেন তিনি
11420d3115	95f83	বাংলাদেশে ঢাকা, চট্টগ্রাম
11426eb901	6d129	মূল নেতার
1142c64154	420df	গর্ব অনুভব করে
11442962f3	da6f0	ছেলেদের রুপচর্চা
11444d01cb	536d9	হাইকোর্ট আজ বুধবার
11444e69cd	778c0	উৎপাদন করা সম্ভব হতো
11444e9d68	1.6E+097	উদ্বোধন করার পর
114463fdf4	e2ba2	নেতিবাচক দিক হচ্ছে
11446e8606	baa02	কিছু কিছু আন্তর্জাতিক গণমাধ্যমে
1144770b1d	52f27	অংশগ্রহণ নিশ্চিত করেছে
11449e871e	5639c	শ্রমিকদের ন্যায্য মজুরি নিশ্চিত করা হবে এবং এর মাধ্যমেই সমাধান হবে।
1144cbcc4d	b52ab	দিনের নামকরণ
1145024ba8	f7a7f	মায়ের কাছে দক্ষিণারঞ্জন
11451bd504	4a918	ভিয়েনায় বুধবার জাতিসংঘের পরমানু পর্যবেক্ষণ বিষয়ক সংস্থা আইএইএ -এর সদরদপ্তরে এক বৈঠকে তারা এই আহ্বান জানায়।
114613790	d2d71	ল্যাব-জোন নামের
114638b7cd	fda1a	দেশটিতে দুশোরও বেশি মানুষ
11463ff7e3	2fc12	কালকিনি থানার ওসি
114663bc80	e2ba2	৮৩ রানের বিস্ফোরক ইনিংস
1146694bec	c6848	মিরসরাই উপজেলার জোরারগঞ্জ থানার
11468cef38	53396	সর্বস্তরের মানুষের মধ্যে
1146bc6816	e31e7	পরিচয় আছে ওর
1146f8142e	4a918	নাটকের বিভিন্ন চরিত্রে
11470e9b21	274ee	এবং মডার্নিজম তথা আধুনিকতা আন্দোলনে
11477165b6	239f7	তারেক রহমানের লিডারশিপের যে
114811b83c	e9fa7	এই ক্ষমতার পালা-বদলের
11482e047a	8458	তাদের করাচির সুরক্ষিত আস্তানায়
1148461c15	25696	বাংলাদেশের পোশাক শিল্প
1148631241	6e8cb	একেকটি শাড়ির পেছনে
11487f8829	12702	এতদিন স্ত্রীকে বঞ্চিত রাখা নিয়ে
1148f023fb	f89d7	সুলতানের নতুন সিংহাসনটিই
114910558a	91b16	কিছু জানায় নাই
1149139398	239f7	বিষয়বস্তু নির্ধারণ করে
11492c2544	153c9	দুর্নীতির দায়ে দণ্ডিত
1149789668	bfac7	অথবা তৈরি পণ্য রপ্তানির জন্য
11497ecf6e	42898	এয়ার পিউরিফায়ার
114a2be7a9	9d46f	দেখতে পাব
114a3b06ae	aa820	এক বন্ধু ছিলেন
114a931983	e6d83	প্রধানমন্ত্রী
114ab239ed	d2294	তৈরি পোশাক খাতে
114abb76e9	a06a1	পাকিস্তান হবার পর
114b5c89a0	ac904	প্রদান করেন
114b5d559b	903fa	ঘটনাকে কেন্দ্র করে
114b6f536b	aab0f	আমার কোনও সহানুভূতি নেই
114bfac03d	8b859	পাসপোর্ট
114caea4f3	f6e55	সামনের দিকে ঘুরিয়ে
114d1634e5	3ec4d	বাংলাদেশ প্রিমিয়ার
114d2e5400	80505	দুটো গাছের ডালে
114d2fd0a9	870000	বাঙালিদের মধ্যেই নয়
114db882ac	9d7bf	অন্য কোনোখানে
114df448b1	72649	সিটি কর্পোরেশনের প্রতিনিধিসহ
114dfa88fe	c6848	একেবারেই খোলনলচে
114dfd2847	e43d4	হাত পরীক্ষা করেন ভেজা কি না
114e446f48	cd3ac	প্রধান নির্বাহী কেলভিন লো
114f02bb57	57d54	বাহিনী
114f12b98b	7d3e1	ইলিয়াসের সবুজ-আড্ডায় উপস্থিতির কালে
114f1daa1c	0606d	ইন্টারনেট ভিত্তিক
114f4d883c	1a2a1	এবং সেগুলোর প্রভাব
114fcaea1a	a43b5	সড়কপথ বন্ধ হয়ে যাওয়ায়
115052ba75	4a918	আমার অনুমতির তোয়াক্কা না করে
1150531c6c	2d98b	সাবেক অতিরিক্ত সচিব
115081d6f3	ef4f8	তারা বাংলাদেশ সহ
11510c70c6	ea5be	ভোট চাওয়ার আগে
1151360e2b	cc9fd	ওয়েবসাইটটি ভিজিট করে
11519b5559	976b1	মহানগর পুলিশের সহকারী উপ-কমিশনার
115210ee5b	39293	মার্কিন এই কৃষ্ণ সুন্দরী
1152606810	c3cca	যাত্রী সেবার ক্ষেত্রেও
1152c33975	24f73	গ্রীসে অনুষ্ঠিত
1153c6e0cd	3ec4d	৬-৭টি সোনার চালান
1154f53119	69d9a	লাঠিপেটা কর
11551a9466	2909b	যোগ দেন নি
11552560a5	2fe3c	বিনিয়োগের ক্ষেত্রে
115575dd6c	ac0df	সবজির উৎপাদন
1155a171a1	aa820	স্বামী সংসার আর সন্তানের
1156028fb1	80518	স্পেনের ইতিহাসে
1156302dbf	f9dfb	আয়োজন করে
1156825c12	2fc12	নিয়ে আলোচনা করে
1156ed7ef0	d9817	কাজী জেসিন বলেন
11585a6c58	5d12f	ভোটগ্রহণ শুরু
11589accfe	1a2a1	তাছাড়া পায়ে ঘা হওয়া
1158d2b1c8	eaa7a	শেষে ঐ কথা শুনে
115908e1f4	60b9d	হিজবুত তাহরীর
1159d84c3a	2d98b	ছ্যাঁকা দেওয়া হয়েছে
1159dd9048	a0277	কেন্দ্রীয় ব্যাংকের রিজার্ভের পরিমাণ ছিল
1159e8e5d4	b5fdc	কণিকার সঙ্গে
115a0fbf44	adf01	লাখো তরুণীর হৃদয় ভেঙে
115a8cc361	28bb3	ইহা পাঠককে আর
115b5410f9	c7705	সব নথি খতিয়ে দেখে
115b64c89a	72649	ব্রিটেনের ট্রান্সপোর্ট পুলিশ জানিয়েছে
115bc89927	7898e	রোববার ভোর
115c088fd0	92bb2	দোকানে বসতে পারে
115c50fc2f	2f547	দুই লাখ ৮০ হাজার ডলারে
115d42005d	c3cb3	ইংরেজি মানে
115d647951	1279e	এ বিষয়টি জানান
115d665a09	7d133	ঘুরে এসে দেখি
115e05fcac	717bb	আগুনে বস্তির
115e3836f4	aabe7	এবং এসব ভাসমান বস্তুর
115e3983ce	23b22	বাঘটির সন্ধানে
115e55e664	46d49	তবে বারিক বিশ্বাসের
115e56a584	a06a1	দড়ি বেটে গেলি
115e5b761b	e55de	একটি বক্তৃতা দেবেন
115eea9777	3.7E+018	না পুলিশ, না বিচারব্যবস্থা দিচ্ছে
115f8b4873	d1a48	বর্ষবরণের নানা আয়োজনকে কেন্দ্র করে
115fc75989	7b60a	ক্রিসেন্ট জুট মিল মাধ্যমিক বিদ্যালয়
115fc8ebf4	4fc91	আমাদের আতা গাছ
115fd12680	c7705	তিনি জানান ।
116030057f	2f547	কেনাকাটা করতে যাওয়ার
116041d47f	4164f	ভেঙে পড়া রানা প্লাজার
1160576e0c	d136b	বিরোধিতা করেন
116194f5fd	fcc89	শাহজাহানের লাশ
1161f48834	6.5E+031	তাঁদের অনেকদিনের
11624b0610	dfefa	বাহিনীর প্রতিনিধিরা
116275aada	e03fc	সুদান থেকে
1162ca8ae9	2d78f	হাঁস বুঝে থাকেন
11631af6a7	d5213	এবং ১৯৬৪ সালে
116333bf3e	c4973	পুরস্কারের মূল্যমান
116347a21a	4ea73	কথাও ভাবা হচ্ছে
11634d48af	4f450	নীল আলো বিচ্ছুরিত হবে
11634dd68f	5901	গাছের সমারোহ
116490beb3	698ff	কত দূর
116506e39e	ff1c3	তারা আমাদের
1165161891	09f0d	সর্মথন জানিয়েছে
11653bef50	4fbd1	কতটা বিদ্যুৎ পাবে সেটি
1165b79acb	903fa	একজন রম্য গল্পকার
1165e9f012	0d4cb	যেদিন ও’রা আসেন
1165ed7fee	0606d	ফাইনালে দুজনেই জিতেছেন ৪ বার
116606bf43	7aed9	ড্যান মজীনার
1166783269	d1a48	দীপু মনি দিল্লিতে
11668f85ca	274ee	প্রতিক্রিয়া দেখা যায়
11673cc4f4	5dd61	মিছিল থেকে দেয়া হয়
1167b872a4	f280a	একই অর্থ বুঝিয়া থাকেন
116837e04b	5e80b	গোল্ডেন গ্লোব মনোনীত
11687f6993	282d3	পাগলের মত কাড়াকাড়ি
1169a78e1d	e89bb	জানতে চান যে
1169b496fb	bdd05	নিজের সন্তান
116a437ccd	f280a	ও স্বাভাবিক হতে পারে
116ade3706	db181	আলিয়ার বিপরীতে
116b47a5c0	7c272	এপ্রিলের শেষ পর্যন্ত
116b4a9c06	c5dc8	সমাজবিজ্ঞানীরা তাই
116b9d0888	13b6a	আমদের সময়
116c207874	870000	রাশিয়ার সামরিক বাহিনীতে
116c32e6d4	698a4	বিভিন্ন ভাষার বাক্য
116c4b9ceb	ac0df	দেবতারা আকাশ থেকে
116c6e4682	8406e	ধর্মঘট স্থগিত থাকে
116cf76a33	b2a62	কাঁচুমাচু মুখে
116d0e8842	c4973	যা করার করব
116d6e7cd6	6aac8	অন্যতম আলোচিত এবং সফল ছবি
116e0808b3	31f09	উদ্যোক্তা হাটে অংশগ্রহণকারী প্রতিষ্ঠান
116e586724	33aef	তা ছিল নজিরবিহীন
116e6ca0f2	33814	মুম্বাই-এর একটি ইংরেজি ম্যাগাজিনে
116e9be4d3	520fb	সেখানে নবাগত
116efd1741	adf01	তাদের হাত থেকে
116f42f146	c0d65	এছাড়াও ২০০৪ সালে
116fa5d490	809cd	কর্তৃপক্ষ বলছে
116faff9fd	e6d83	ঘাড়ে ক’রে
116ff0d2a6	33814	টোটেমের সভ্যতা
117018e85e	dba43	শত শত রোগী
1170634a84	a8710	তিনি সেই খাবার খেয়েছেন
11708c7852	8458	এবং কোয়ালকম এর সহপ্রতিষ্ঠাতা
1170a9cc64	a1201	মনিটরিং থাকলেও
1170bf7d4f	64092	খেলছেন না রবিউল
1171bc5558	ad2a0	কিন্তু শেষ মুহুর্তে
1171f66dc1	8ba2b	রোববার বঙ্গভবনে ঢুকছেন
11720448a8	e68af	মিহিরচন্দ্র চৌধুরী
1172581f81	f2097	অন্য ঘটনা
1172786f7c	9e923	মণিরামপুর উপজেলা
1172ab87f9	0f047	রস
1172fbfe3f	91223	প্রকৃতির কৃপা প্রার্থনা করা ছাড়া
1173940bb4	0895a	পরবর্তী দশকগুলোতে বাংলাদেশ এই অতি উচ্চ জন্ম হার নাটকীয়ভাবে কমিয়ে আনে।
1173abacaf	7ee9b	এমনিতেই ভারতের সঙ্গে বাংলাদেশের
1173ff14ab	f2097	ঘর টেকাতে না পারলে তার দায়ও মেয়েদের ওপরই আসে।
11740650a7	80be1	পানি বিশেষজ্ঞ
1175074d44	0895a	মাথার উপর
11754542b5	bbb22	তার মুখ
1175e9b8b0	ff970	সময় ও সুযোগ
1176bffc45	91dff	গত চব্বিশ ঘণ্টায়
1176dd8aa8	870000	এই বড় ধরপাকড়ে
1177411126	ca088	বাঁ-হাতি ঐ স্পিনার
1177a46718	93bf3	পাঞ্জেরী
1179a5ab9f	cb1aa	মিরপুর স্টেডিয়ামে বৃষ্টি
1179d20fb4	e03ce	সাদা কাপড়ের উপরে
1179d65066	0a87a	এর আগে ২০১২ সালে
1179dee166	9813c	সেখানে কি পরিবর্তন আসে
1179e6a91b	d1a48	ক্রাচ ব্যবহার করত
117af4b89a	ab946	মীর্জা ফখরুল ইসলাম আলগমগীর
117c3c05dd	bbb22	ইহা ভিন্ন আর কয়টির
117cf4b948	3bb15	সাজিয়ে রাখুন
117d6e733d	ad98d	৬ অক্টোবর প্রার্থীদের
117d739284	35ef3	মাত্র ৫ হাজার টিকিট
117d77e735	7d133	উন্নত মানের
117dd0e1e5	e2f12	তিল তোলার উপায়
117de13e34	ee4ad	১২ তারিখের মধ্যে
117e1fbc30	e3f89	সাধারণ মানুষকে
117e78fe8b	fda1a	সীমাবদ্ধতা আছে
117f704b22	d2355	একই সঙ্গে বস্তুগত
117f94d9c4	616ec	বর্ণবাদবিরোধী প্রচার
11806f7716	e00db	ব্লকবাস্টার সিনেমাস হলে
1180862ac0	a8710	লিমন পাখিগুলোকে
118125eae2	e3d8b	কে বাঁশি বাজায়
11816f2e14	8cf95	আজ সোমবার
1181a8d7e8	f29bf	পশ্চিমবঙ্গের মুখ্যমন্ত্রী মমতা ব্যানার্জী বিলটি পেশ করার এই পদ্ধতিকে চরম লজ্জাজনক বলে মন্তব্য করেছেন।
1181da268e	282d3	একজন শিল্পীর সঙ্গে
118205498e	91ac1	অলিভার জিরুদের ক্রস
1182177fb1	315000000000	তবে হিজড়াদেরকে মূল শ্রোতধারায়
118232252c	95907	খ্রিষ্টান মিলিশিয়ারা হামলা চালায়
1182dc465d	6ee5f	লবঙ্গ
1182e06415	9d7bf	২ মাত্রার দুটি
1.183775E+025	d9081	ইউরোপীয় ইউনিয়নেরও একটি প্রতিনিধিদল এখন ঢাকায় রাজনৈতিক দলগুলোর সাথে কথা-বার্তা বলছে।
118423b9c0	a274b	আনুমানিক ৩০ বছর
1184d50837	53396	চৈতন্য পাইয়া কিশোর
118601939c	e50f1	বিভিন্ন কীট,পতঙ্গ
11868995d0	2b883	প্রায় ২২০ জন যাত্রী নিয়ে
1186ca8ef3	7ed14	এখন সকলের ঘুমাইবার পালা
1187365cbd	7E+191	নিউজিল্যান্ডের ফন্টেরা কোম্পানি থেকে
1188d2b74f	bdfc1	হে হৃদয়, খোলা আকাশের নিচে
1188e3ec5a	1652d	জটিল আকার ধারণ করে
1189308063	717bb	আমাদের ছোটগল্পের একটি সংকলন
1189636737	bc81e	ক্লোজসার্কিট ক্যামেরা
11899dcbe8	2fc12	একটা নতুন ভাড়াটে এসেছে
1189e35cbc	7b900	পাশাপাশি ভারী বৃষ্টির ফলে ভূমিধ্বসের ঘটনাও ঘটেছে।
118a310b2d	0c39f	লাশ ময়নাতদন্তের জন্য
118a7c8e43	bbb22	সেখানে নেই
118a7dc092	6c6bf	প্রাণবন্ত ও সজীব
118b07d036	53396	পত্রিকাটির পক্ষ থেকে
118b580044	6527	মঙ্গলবার রিয়ালের কোচ
118c599571	1.6E+097	কীভাবে তিনি রায় ঘোষণার দিনসহ
118c86fdf3	98b81	আতপ চালের গুড়া
118d6a0660	85430	বেণু নামে একটি কিশোর পত্রিকায়
118dbdbfdd	18460	ছত্রাকের কারণে যে টাক পড়ে
118e2e47d5	948d3	উদযাপিত হয়
118e3dcc59	239f7	৩০ লাখ শহীদের
118e71a27d	9c8dd	পিতা আসিফ আলি জারদারি
118edeb7c4	f1ea4	আইনের মামলার সংখ্যা
118f3d6c3c	2ad74	বাকি সবাই বসে বসে মাইনে খায়
118f48ec58	46da4	তাদের রাজনৈতিকভাবে
118f53dc33	0b7ca	ঢাকা সিটি কলেজ
118fc7b38b	860f4	তুই এই নিয়ে
11904fe808	c5dc8	নিষিদ্ধ ঘোষণা করা হয়
1190892576	75f18	বিজ্ঞাপনী সংস্থার পক্ষে
11908aab03	554fe	এই রকম একটা চুটকি
1190e3d37e	ad98d	শিক্ষামন্ত্রী জানান
1191362a7e	9065c	আজ যখন
11914a2d7b	85430	কিংবা অস্বীকার করার
11915fd1ef	b2a62	দ্বিতীয় অবস্থানে আছে
1191613350	f4ba7	তাঁর পদত্যাগপত্র
119183fc40	f280a	হুজুরের সঙ্গে
1191daa630	a06a1	শাশ্বতের জোড় বাঁধেন
1191db6afb	aab0f	এসময় বিজিবির সদস্যরা এগিয়ে এসে
119204e3a6	745b7	তাদের টোতেমের চাল-চলন
119248dc22	7e1d5	৯ জুন
1192687480	76329	পেশ করতে গিয়ে
1192c53a10	6b437	শিল্পীদের ওপর
1192d439d2	943de	গোলটির আগ পর্যন্ত
1193090962	195f7	বিভিন্ন উন্নয়নমূলক কর্মকাণ্ডে
11932e6db8	ce629	যেসব উপকরণ ব্যবহার হয়
11935b462a	860f4	তৈরি করিয়েছে
11938647fb	ad98d	দ্রুত হারে বাড়ছে
1193ec1a2c	4a918	তাদের কাগজপত্র জমা দেন
119440f57e	693cb	সংস্থার সাথে এসব তথ্যাবলি
11946ee14b	5dd61	এ ক্ষেত্রে সমস্ত গোষ্ঠী একসঙ্গে
1194dc4671	ff1c3	কলুর ঘরে মস্ত ঘানি
1194f74cc6	52578	হত্যা করার
11955564ad	ef4f8	র‌্যাপিড অ্যাকশন ব্যাটালিয়ন
1195727e4b	75936	রেকর্ড করেছেন
1195a56dd3	3f493	অর্ধেক রাজ্য
1195c8d235	5639c	অধ্যাপক স্মিথ বলেন
1195e2bd1f	c0d65	২৯৩ জন ছাত্র
1.196E+193	e2f12	রাহুল থেকে
1196701f38	2c9c5	বহু বছর ধরে
119721356e	2.1E+055	পদে রয়েছেন বাবলু
119726fa5c	76329	যৌনকর্মী বা তাঁদের সন্তানেরাও
119805535a	f837a	ঋতু পরিবর্তনের সাথে সাথে
11985fef95	8edea	প্রচণ্ড ঝড়
11992cd8b2	06ea3	বাঘার দুদিন
11993b06e0	2c9c5	যা বর্ণান্ধতা নামে পরিচিত
11996adec3	31f09	আলোচনা প্রায় দু ঘন্টা
11999ad53b	3d17c	দুধের ঘনত্ব ঠিক রেখে
1199d851bb	31f09	বুঝতে দেরি করছে
119a3fd342	730c3	কবি কেবল শ্রুতির দিকে
119ac09a39	9b864	মোহাম্মদ কামেল আমর
119ae15041	1e7c7	লুচি
119af8f4b4	9fa90	প্রাপ্তবয়স্কদের স্থূলতার
119b1dff63	bc81e	সেন্টমার্টিনে বহুতল ভবন গড়ার
119be0f361	c7705	সে ব্যাপারে তারা সরকারকে
119c5b6008	420df	১৯৮৬ সালে প্রকাশিত
119ca76dae	7ee9b	জড়িত থাকতে পারে বলে
119cebb6fb	7f71c	দেশের স্বাধীনতার ঘোষক
119d175470	24f73	হঠাৎ তখন পাল্কী
119d320807	bd576	দীর্ঘদিন পলাতক থাকার পর
119e02b14a	32b3e	তার কণ্ঠে
119eadaf44	5b13f	অদ্বৈত মতে
119edf9ad9	9f25e	অস্ত্র এবং লাঠিসহ
119f236e5a	b618b	অবশ্য নেই
11a0124f7b	7d3e1	চাহিদা এখন বেশি
11a0378f7e	f600a	পথিমধ্যে ওই এলাকার
11a0567e1c	4e900	কিন্তু ছোটবেলায় ক্রিকেট খেলিনি
11a0621e3d	0edef	সতর্কবাণী দেয়
11a0ad2aba	e8dde	সামাজিক ডিমান্ড
11a139ff69	d5f7b	অভিযুক্ত ছিল
11a197f954	71522	সীমান্ত এলাকায়
11a1bf2891	ce629	এমন পেশা বেছে নেয়ায়
11a22aa425	a4750	তথ্য না দেয়ার কারণে
11a29a3b58	3faff	আসামি করে মামলা করা হবে
11a2ef7f58	c5dc8	লঞ্চ
11a30a01ac	b4ea7	তাদের বেশিরভাগ ক্ষেত্রেই
11a336075d	69d9a	ওর ধারণাই ঠিক
11a367675c	37d7e	এমনকি রোগীরাও নিজেদের
11a37fcaa2	35ef3	মন্ত্রিসভার এই পুনর্গঠন
11a3f22a9a	9813c	সয়াসস ২ টেবিল-চামচ
11a40bfa97	7351e	আমি অষ্ট্রেলিয়ার নাগরিক
11a41960e7	c4973	আটলান্টিক মহাসাগরের ওপর অবস্থিত
11a4f19fa5	6c6bf	ইন্দ্র পরাস্ত হইলেন
11a50cab5f	2556b	তদুপরি মেডিকেল কলেজের ছাত্রী
11a5299651	ee852	সরকারকে আহ্বান
11a53af353	adf01	আলোচিত মামলা দুটিতে
11a56f7b2f	16877	অনেক টাকা নিয়েছেন
11a5c0a87c	2bd99	আর কাঠি কাঠি হাত-পা
11a5c2da53	47e8d	বিশেষজ্ঞ হিসেবে
11a5e28d0c	9e923	দুই নেত্রী বা দুই দল কি
11a62c2fcc	f7a7f	দিনভর এসব ঘটনা ঘটে
11a63921f9	fcefa	ঈদ উৎসবে পোশাক পরে
11a681dd7a	c463d	কোথায় কোন তারের সুরে
11a684cf0f	37d7e	হিন্দী গান
11a6b7a04d	7d133	ঘুম থেকে জাগিয়ে
11a6fc105b	f658d	অশোক জিজ্ঞেস করেছে
11a7791b3f	7f2ef	অপূর্ব সমাহার ঘটেছে
11a7a8a33b	491a5	সংবর্ধনা অনুষ্ঠানে
11a7f7d705	29bab	দমকা হাওয়া থাকলে
11a7f7e654	1b359	পরিবেশ বিপন্নতায়
11a7fc686c	616ec	বাকি পুরুষদের
11a85f1524	4e900	শিশু একাডেমি
11a88b9278	1a2a1	দুইটি বিবরণ পরস্পরবিরোধী হইলে
11a9032552	58998	রওনা হইলাম
11a998ecd7	5354e	তিনি কুশলাদি বিনিময় করেন
11a9f1a371	10a9f	মানবাধিকার সংগঠন বলে
11aa03fa0d	0f047	তৈরি হচ্ছে বিশ্বমাতানো
11aa67fa65	d41be	চতুর্থ তলায় ফরেনসিক বিভাগে
11ab5c1770	14d25	বসে রইলেন
11abe6deb0	86b1b	কার্যক্রম চলছে
11ac34a95d	e2f12	একটি বিশেষ দিক থেকে
11acfc2a13	9351a	সোমবার এক অনুষ্ঠানে
11adeaea30	8b859	মহানগর ছেড়ে প্রত্যন্ত জনপদে
11ae75071d	6aac8	আইনের আওতায় নেওয়া হচ্ছে
11ae9da7ff	fdcba	সিডিউল মতো
11b03e1b56	a8710	বুজিয়ে দিলে
11b12e4396	7d3e1	কাজল দেবগন
11b16b3fa8	767ff	আর পরিচ্ছন্ন ছিপছিপে শরীরের
11b178f99b	29f8c	আলোকিত ঘর
11b193371b	3b1f7	ফলে সে ভাবল
11b1e63cba	6.5E+031	বর্তমান সরকারের সময়
11b1fa2e83	3.7E+018	১০. কল্কি সর্বশেষ অবতার
11b208faaf	2695f	পচনশীল খাদ্যদ্রব্য
11b2786a45	809cd	প্রকল্প ছক অনুমোদিত হয়
11b2a87c45	2fe3c	ও স্থানীয় সাংবাদিকরা
11b2e17eb6	1f974	প্রথম চেয়ারম্যানের হন
11b2ec503e	e3d8b	বিচার চান আদালতের কাছে
11b2edc45f	7b60a	উত্তর ইয়েমেনের পাহাড়ি এলাকায়
11b2f10ecf	e00db	সংসদের অনুমতি পাবার খবর ছড়িয়ে যাবার পর মি. পুতিনের সাথে টেলিফোনে কথা বলেছেন মার্কিন প্রেসিডেন্ট বারাক ওবামা।
