1d00a2c7eb	388c9	৮৫ রান ওঠে
1d37740b9a	23291	ভারতের প্রত্যন্ত অঞ্চল থেকে শিশু অপহরণের মাত্রা বেড়ে গেছে ।
1d37821525	b9122	জান না কিরীটী
1d37c9f374	932bb	আই পি এল ২০১৪
1d37dd9bdc	58998	একরাম চেয়ারম্যান
1d381bffab	77f82	খোঁজ
1d382b1e43	e2c11	টাকা দুটি দিয়ে এল
1d3830ef01	c3cca	মোবাইল টিভি
1d38b7ab3e	d2294	পুলিশের কাছ থেকে
1d38f57740	239f7	হিন্দি ভিডিও গান ডাউনলোড
1d39625c19	3fc9d	ওখানে মাটিতে পোঁতা
1d39909723	49d63	বিশেষ মানুষ বা বস্তুর দিকে
1d3a000b40	cb842	বিস্তীর্ণ জায়গাটি
1d3a308fb5	730c3	এক কেজি পাঁচ গ্রাম ওজনের
1d3b054434	cd3ac	নিহত হয়েছেন
1d3b2ab5a9	f280a	জাতীয় সংগীত
1d3b45b100	9f25e	দরাদরি করে
1d3b5086e8	82926	অস্ট্রীয় জার্মান
1d3b57b598	8406e	চারুলতা
1d3b9656b8	0744c	দুদকের তদন্তে এ তথ্য
1d3cf41bc8	35ef3	চাকরিতে অবহেলা করিনি
1d3cfccce8	fcefa	ছবিগুলোর মধ্যে
1d3d396338	7df87	তাঁর শারীরিক অবস্থা নিয়ে
1d3da5f25b	91230	তার কয়েকদিন আগে
1d3db99288	e6e48	শিখায়া দাও
1d3dbf4161	acb88	স্থায়ী কমিটির সদস্য পদ থেকে
1d3dc05be5	ba2f6	এমন সময়ে ঘটল
1d3ec2ade0	efc0d	ফলশ্রুতিতে স্বাধীন বাংলাদেশের
1d3f268e97	01e91	ফয়েজ তাঁর আদর্শের অবয়বে
1d3f34a23b	778c0	১ ঘণ্টা পর চুল
1d3f366ed9	68ab7	পুলিশের ধারণ
1d3f5375f3	1cb75	আমার এক হাতে তেঁতুলের গুলি
1d3f9f1ce3	4c555	জঙ্গিরা নিরস্ত্র মানুষ হত্যা করে
1d3fe5f27a	75936	মা লাফিয়ে বলেন
1d404579dd	f2097	দুদক ১১টি মামলা করে
1d4120e0bf	49d63	অনেক প্রাচীন পুঁথির লিপিকার
1d41bd921d	5a61c	একাডেমীর সেমিনার কক্ষ
1d4299c334	cc9fd	তার সঙ্গের ঐ লোকটা
1d42d74c10	cfc65	লজ্জিত হতে হয়েছে দেশবাসীকে
1d42e4a504	e8dde	বন্দুকধারী জঙ্গিরা
1d431f8954	5639c	কিংবা স্ত্রীকে স্বল্প বসনে
1d433193ac	5dd61	দায়িত্ব পালনের জন্য
1d4388e009	71522	বাড়িতে রাখতেন না
1d438cf440	93080	অনুধাবনযোগ্য
1d438d31c3	d3e06	রাষ্ট্রীয়ভাবে শোক পালনের জন্য
1d43bdce55	c0d65	রূপচাঁদ ভুক্ত ছিলেন
1d43cfd91e	e03ce	তবে বলা হয়
1d43d5d75b	c3cb3	পুরুষ প্রেমিক
1d43d5f07a	4a67e	দোষের মধ্যে আছে
1d4438f931	ce775	লোপা আর গালিবকে
1d45075726	4e900	রাজশাহী শহরের একটি
1d45578a82	b618b	যে দেশে সবাই অন্ধ কাব্যগ্রন্থ
1d458aedfd	0b7ca	পুরাতন
1d46b8f038	ff970	বাংলাদেশের রাষ্ট্রপতি
1d46fec2d8	69d9a	পাখির নাম
1d470c8e08	98b81	উচ্চারিত হয়,
1d4758e18d	f29bf	যেখানে চলচ্চিত্র বিক্রি হয়ে থাকে
1d47c3b5a3	0f047	১৯৯২ থেকে ১৯৯৫সাল পর্যন্ত
1d47c4aa4e	cc9fd	এ অবস্থায় কল্পনা দত্তের মাধ্যমে
1d48087f52	32c77	বেঁচে যাওয়া
1d4870c9ed	d2355	মেয়েটি হেসে হেসে
1d49898707	2c9c5	সিনেমার ব্যস্ততায়
1d499e8b36	17ca1	তাঁর জানা
1d4a846943	25117	ক্যামেরার সঙ্গে আপনার সখ্য
1d4abce1f3	577fa	গত ২০ জানুয়ারি
1d4aeb28a9	1b359	আপিল আবেদনে
1d4b2ed4ea	e3d8b	স্লোভিয়ানস্কে আটকে রাখতে
1d4b3217d1	5b13f	তাদের অর্থায়ন বহাল রেখেছিল
1d4b8c82bd	a916a	দিনের শুরুতে ভ্রমণ রয়েছে
1d4c1e1eb9	8845d	সৈয়দ আহসান আলী সিডনি
1d4c25280e	0e637	ইয়াবা সেবনের দিকে
1d4c4a0f3d	16e96	স্পেনের বাস্ক এলাকা
1d4ccb09ae	ee4ad	বুধবার দুপুরে সচিবালয়ে
1d4cf7eaae	7027a	তিনি পাবলিক সার্ভিস কমিশন ও বিশ্ববিদ্যালয় মঞ্জুরি কমিশনের চেয়ারম্যান হিসেবে দায়িত্ব পালন করেন।
1d4d763164	d1a48	এমন শিশু নিশ্চয় নেই
1d4d7ddd62	acb88	ঝিনাইদহের মেয়ে সুস্মিতা
1d4dec335a	06e62	লন্ডনে বিবিসি বাংলাকে
1d4e047981	93d3b	গেট থেকে ক্লিনিক অব্দি
1d4e5c7746	2396d	করেন অক্ষয়চন্দ্র
1d4ed28601	0b7ca	ভারতের কেন্দ্রীয়
1d4f80271f	ef915	মানামার এলাকার একটি ভবনে
1d4fa93bda	69449	ঘরটি ছিল এক ধরনের
1d506627ea	693cb	মঙ্গলবারের মধ্যে
1d50c5618b	5cb47	চিল তাকে দেখতে
1d510b3217	0d8c1	যুবলীগ নেতার সঙ্গে
1d51666b5d	d9b11	কিন্ত হঠাৎ
1d5176af1b	28bb3	৩৫০ খ্রিষ্টাব্দ পর্যন্ত
1d5206b2f3	47e8d	প্রথম রাউন্ড থেকে
1d521fcc39	6973e	নির্দেশ দেয়া হয়েছিল
1d5226f79d	f83df	গাদন
1d522f592e	e68af	বাড়ির সকলেই
1d526c6ffd	cfc65	ও গ্রেপ্তার করা হয়
1d530945f4	4164f	যেন এ বিশ্বাস সত্য হয়
1d53373511	f1ea4	তারা মামলা করবেন
1d53f389af	c5479	সেগুলো অসমাপ্ত অবস্থায় পড়েছিল
1d548db137	274ee	তুলনা করলো আল্লামা শফী
1d549c2541	ef4f8	তালী থেকে প্রথম ফ্রান্সে আসে
1d54c806f2	ef4f8	এখনো কোন সিদ্ধান্ত নেইনি
1d55081990	4a67e	বিষয়টি এখন আর শুধু
1d552664bf	eecdd	দেড় বছরের হৃদয়
1d553f053c	4fc91	জানান ওসি
1d555db34a	c7705	কাশি
1d55927bf9	3d17c	মি. পেয়াত বলেছেন
1d55988c04	9b864	কিংবা এগারোটা পঁয়ত্রিশ হওয়া
1d5599a8ba	e50f1	বলিউডে দুই নায়িকার মধ্যে
1d563ed679	3faff	ঢাকা শহরের পরিবহন ব্যবস্থার
1d572b9901	1652d	টুইটারে দেওয়ার পর থেকে
1d573e755e	cc9fd	মানসিক সমর্থন দিচ্ছেন
1d580d0c46	8ba2b	পৃথিবীর সব সুন্দর জিনিসগুলোর
1d58641598	1a2a1	মতামত পাবার পর
1d58c15664	c958a	স্থানীয় প্রশাসন এবং দমকল বাহিনীর পাশাপাশি সেনাবাহিনীর দুটি টিম উদ্ধারকাজে যোগ দিয়েছে।
1d58e08e64	bdfc1	পুলিশ এখনও
1d5970f043	24f73	প্রচার কার্যক্রমের জন্য তথ্যকেন্দ্র থাকবে
1d597b0887	91223	জুলিয়েট মারা গেছে
1d5a362566	b8ed8	গতবারের চ্যাম্পিয়ন বার্সেলোনা
1d5ae18a13	e00db	এই চিন্তা বড় বেশী মন হইত
1d5afaa160	6c6bf	মামলার তদন্তকারী কর্মকর্তা
1d5b0214f9	9b864	তাঁর ভাবনার আধুনিকতা
1d5b05d475	1c618	উপদেশ বানী
1d5b62af20	a4750	আমার কিছু হতো না
1d5b62b3cf	cc18a	তদন্ত কমিটি গঠন করেছে
1d5b8de735	ac0df	কোন পদার্থ কতটুকু তড়িত
1d5b98a52f	e31e7	বাংলাদেশ ছাড়া
1d5bbefc8e	b8bba	তাঁর আয়ত্তাধীন
1d5bed3851	64092	তাকে চাঁদা না দিলে
1d5bf3458e	16e96	সংজ্ঞাহীন শিল্পীকে ধোপার গাড়িতে করে
1d5c0a034c	a7c6f	নির্বাসন থেকে দেশে ফেরার
1d5cc19497	698ff	রোববার ডিএসইতে
1d5d5d4ca1	2909b	টিন
1d5d5d8d76	93d3b	শক্ত কভারে বাঁধাই করা
1d5d873c1d	1cb75	তাদের দাপটে
1d5d9c91fd	65e30	অশ্বিনী কুমার টাউন হলের
1d5da980bc	82926	কারক বোঝানো হয়
1d5dca23a9	e03ce	কড়াইতে তেল গরম করে
1d5ddd7066	4e900	নাকাল দুরপাল্লার যাত্রীরা
1d5e3ebf1f	29f8c	গান-গল্প উপস্থাপনায় ছিলেন
1d5e4de0d9	c9c19	পুলিশের গাড়িতে লাগেনি
1d5ea2b914	ce180	তৃতীয় স্তরের নাম রঙিন গোলক
1d5ead94df	4fbd1	তাই চলচ্চিত্র সংশ্লিষ্ট সবাই
1d5eb06ede	f6e55	মা আমার লক্ষ্মী বইলা
1d5eba82fa	7b900	রোববার থেকে শুরু হচ্ছে
1d5eea6041	d7a68	কক্সবাজারের সৈকতে সংলাপের আগে
1d5f323368	c5dc8	বই বিক্রির ধুম
1d5f324000	8ba2b	বিবৃতি দেয়ার আগে
1d5f598c59	1b359	বুধবার ঢাকা জেলা প্রশাসন কর্তৃপক্ষ
1d5f5b49dc	14d25	রাজনৈতিক অবস্থা ব্যবস্থায়
1d5fd7d9fa	3fce2	রবীন্দ্রনাথের সান্নিধ্যে
1d60da9be7	282d3	ফ্রান্সের স্যাটেলাইটে
1d60fd599e	98b81	ওপার বাংলা থেকে
1d61253859	80505	হত্যা করার
1d617bd572	2909b	খাজাবাবা
1d61f7f963	ef4f8	পঞ্চম দিনের মতো
1d61fb4263	c958a	ইদি আমিন সামরিক সহায়তা পেয়েছিলেন তার মিত্র লিবিয়ার কাছ থেকে।
1d625f0bce	a06a1	বাংলাদেশে থেকে আমদানি বন্ধ করার কোন পরিকল্পনা আমাদের নেই।
1d629bb8f0	4c555	শ্রমিকদের এসব সমস্যা
1d631291f5	f2097	বাঁচানোর জন্য যা প্রয়োজন
1d63166c87	4fc91	এস এ মালেকের সাক্ষাৎকার নিয়েছেন
1d63b49290	75936	সংগীত পরিচালক হিসেবে
1d63cd6747	93bf3	ও মিছিল সমাবেশের
1d63d379d3	31f2a	আবোলতাবোল বলে
1d63e0ba8c	b8ed8	তার আসার দিন
1d645fa94d	80505	হঠাৎ একদিন
1d64aa34f0	3f875	তারা নিয়েছে
1d64e08977	9642e	বর্তমানে মুন্সিগঞ্জ জেলা
1d65bbc6d4	08458	আচরণ বিধি প্রয়োগে
1d6645c7d0	6b437	পরস্পরের সঙ্গে আত্মীয়তা করেন
1d66a8ec03	f4ba7	আগ্রহপত্র জমা দেয়ার
1d66efa36d	75626	গ্রেফতার করেছেন
1d671fc2ac	a699c	প্রথম কাব্যগ্রন্থ
1d67649b6f	4c1eb	নারীদের অধিকার নেই
1d67fcad1e	4237e	পাটের দাম বাড়িয়েছে
1d683a9dc4	ea8fa	রীতিমতো জ্বর এসে যায়
1d68440c08	f2b7d	এটি আমার
1d685a24aa	f89d7	সুগঠিত সেনাবাহিনী
1d687abb1c	69d9a	দেশজোড়া হইচই
1d688adc40	0a87a	দুপুরের খাবার
1d68ce7f35	f2b7d	এবং প্রতিভাবান শিল্পীদেরও
1d68f6b069	5639c	অক্সফোর্ড বিশ্ববিদ্যালয় অবস্থিত
1d69450f74	ef915	কমে হয়েছে
1d696881fe	23291	কথাগুলো আওড়ায় বিমল
1d699c5da7	cb842	ব্যবধান দ্বিগুণ করার কৃতিত্ব
1d6a9c6fad	7c272	তোমার তলোয়ার
1d6aa7c82e	2556b	মনে করুন
1d6ab06b59	37e17	পিতলের কলস
1d6ad4142b	54e68	শেষ করার পর
1d6b1b5755	68ab7	তিন প্রভাবশালী দেশ
1d6b1c80ed	24aed	প্রভা
1d6b30510b	52578	উন্নতমানের গাড়ি সরবরাহ করে
1d6b375b1a	7df87	অঁরি লা ফন্তেইন
1d6b387fa5	18a52	এসব বলে কমিউনিস্ট নেতা
1d6b416f47	75626	তবে বাণিজ্যিকভাবে
1d6bbfd521	ea8fa	এভাবে নির্বাচন দিলে
1d6be766e7	3fce2	তারা আশ্বস্ত করেছেন
1d6c700432	5dd61	কিন্তু এই সংগঠনগুলোর
1d6c7492b3	18a52	হাজারিকা প্রতিদিন
1d6c7a42c4	64092	ছুটিতে লাগিল
1d6cefef2a	29089	শিহরণ জাগে
1d6cf38448	dec2d	অলোকা নন্দী
1d6da871ca	b9b98	আমার স্মৃতিশক্তি প্রখর
1d6e75515e	4164f	থানায় মামলা নেয়নি পুলিশ
1d6e8b760f	dafb6	কি কি যেন বলতে
1d6e955e7c	4237e	পোল্যান্ডের একজন ক্রেতার পণ্য
1d6f623d61	520fb	ওভাবে ডাকে না
1d6f934b02	e9759	জিয়া খান
1d700b92be	ea5be	এ দৃশ্য দেখে
1d70152e2d	b52ab	আত্মগোপন কৌশল
1d70a6b734	ce180	বিশদ বর্ণনা রয়েছে
1d70c7e118	17ca1	উন্নত দেশগুলোতে
1d70ca739c	e2ba2	রানা প্লাজার ঘটনার পর
1d71030f1b	1652d	নারীর এ ভূমিকা বহাল রেখেছেন
1d71b0d98a	e2ff7	মাঝে মধ্যে
1d7216503c	a916a	ভারতীয় বাঙালি লেখক
1d72d21fb0	06736	সেসব লেখা দেখে
1d737a25ca	d41be	মামলা করা হয়
1d7400f52c	e31e7	কারও টেলিফোন
1d74577f4e	92f59	খোলা পড়ে থাকে বই
1d748034e6	0f047	বন্দী হয়ে গেল
1d748ddd7d	520fb	মোট ৬০৪৬ জন জওয়ানের বিরুদ্ধে
1d74af1883	089ef	কো পাইললট
1d74b61653	cb1aa	মাস্টার ফিরিয়া চাহিলে
1d74bf1d7e	0744c	এবারের নির্বাচনও
1d76a212d4	d9b11	ভেন্দি বাজারে
1d7721a311	e8dde	গ্লাসগোতে ভারত
1d77667548	4ea73	ক্রিকেট সম্পর্ক আরো জোরদারের
1d7776c3fd	adf01	তাহাতে পর্দা থাকিত
1d780bc025	c7a89	মৃত্যু ৩০শে ডিসেম্বর, ১৯৭৯
1d78131db4	29d44	যখন অনুরূপ সঙ্কট হয়েছিল
1d79262f55	18a52	ত্বকী মঞ্চ থেকে প্রকাশিত
1d7926e618	0a7a0	১৩৫ জন সাধারণ মানুষ
1d796bc040	acb88	তবে শেষ মুহুর্তে
1d79b66c82	52f27	বিল পাসের পর
1d7a751854	4dd57	আজব
1d7b4bf389	6e6fa	লাশ ময়নাতদন্তের জন্য
1d7b4ed4b5	bdfc1	টিনের পুতুল চীনের পুতুল
1d7bad3b68	698ff	পিছু হটার সময়
1d7bdf9886	5dd61	অ্যাথলেটিক ফেডারেশন থেকে পায় না
1d7bf63649	46da4	ঢাকা ও চট্টগ্রামের মধ্যে
1d7c3a1b4b	c173f	বিয়ের চার বছর পর
1d7c668184	1f974	আশরাফুল ক্রিকেটার
1d7ca57321	1b359	পরিকল্পনা করুন বুদ্ধি খাটিয়ে
1d7d19516b	5354e	পদত্যাগ করা
1d7dba51d7	e3d8b	অনেকটা কৌশলেই
1d7e134694	fcc89	ভারত-বাংলাদেশ সীমান্তে ফেলানি খাতুনের হত্যার পর বিএসএফ ঘরে-বাইরে প্রবল সামলোচনার মুখে পড়ে।
1d7e18cb3e	80e98	চাঁদের দিকে তাকালে
1d7e4180de	52578	আর অপরিচিত হলে
1d7e5e43df	0633a	আয়োজিত সংসদীয়
1d7ea61e2c	f2097	একটি তথ্য প্রযুক্তি আইনে
1d7ecf49f7	fb4cb	তাঁর কিশোর পুত্রকে বললেন
1d7ed4bfdf	778c0	তার একমাত্র সন্তান স্নেহা
1d7f1019f8	dba43	আমার যে আবার আসতে হবে
1d7f450542	db735	একে চায়ের রাজধানীও
1d7f98f413	86b1b	দলে আনা হচ্ছে না
1d7f9c8600	e9589	একইসঙ্গে মামলার অভিযুক্তরা
1d805f5d59	f4ba7	প্রয়োগ থাকা চাই
1d80c0d7a3	2c9c5	সংবাদ সংস্থা বিবিসির
1d812cf122	8406e	লোহার রড দিয়ে
1d81d57cc3	0744c	চেন্নাই দলের ক্যাপ্টেন
1d8218217f	d1a48	তা নিশ্চিত করবো
1d82500ddc	b78ec	জাতীয় পুরস্কার
1d82b38384	06ea3	এক মুহূর্ত
1d82b78f13	76329	হত্যা
1d82cfc4d8	4c555	পাটের সুতা ও দড়ি রপ্তানি হয়
1d82f56387	93d3b	একটি ডাচ প্রতিষ্ঠান
1d834b67d1	9813c	সরকারকে যেকোনো ভাবে
1d841a194b	18460	তিনি তার আর্দালিকে ডেকে
1d84360a1b	8143b	চালিয়ে যাবেন
1d8451419a	a1d4a	তারা দুঃসাহাসিক কর্মকাণ্ড
1d84d1dbdf	c173f	বৈঠকঘর থেকে
1d84ddfc07	1279e	পরিবর্তনের জন্য
1d8534083a	f7a7f	এখন তিনি কর্মরত
1d86426898	e9589	পাটশিল্পের জন্য
1d8657e1cc	c8f7f	গত এপ্রিল মাস থেকে
1d8672d17c	2f547	লাখ লাখ ফুটবলপ্রেমীর হৃদয়
1d8681df1d	6b437	ওয়াসিম আকরাম
