68004ed144	860f4	মেলায় প্রতিটি
683dec5c6e	2d98b	এঁদের গবেষণা
683e4d7668	0b7ca	সময় শেষ হয়ে যায়নি
683e585f68	f143a	কর্মজীবী পুরুষের মতো
683e643881	bc81e	শিক্ষকরা প্রশাসনিক ভবনের সামনে
683f4ec3d7	c9c19	নিরক্ষরেখা বা বিষুবরেখা
683fcf3d3b	ee886	প্রতিভা
6840bfa33b	f4ba7	তাহলে আমরা
6841558890	9d7bf	স্টেশনের তিনটি লাইনে
6841a8dad0	2fc12	রেলের উদ্ধারকর্মীরা
684218ae89	61820	চলচ্চিত্রায়িত হয়েছে
68428a195e	23b22	যেতে আসতে দেখি
68431315b7	bcaa8	এই অনগ্রসর জনসমাজ
68435f8843	239f7	রনিকে প্রায়
68439d2296	49543	গুরুতর আহত ও নিহত হন
6843ce0dd2	05901	সংশোধন আইন, ২০১১
68443c2c01	3faff	নুরুন্নবী কয়েকদিন আগে
68443d7d72	3d17c	চলচ্চিত্র উৎসবে
6844b65085	17ca1	গ্রামে হিন্দু-মুসলমান মিলে
6844fa1cf9	976b1	হিংসাত্মক সংঘর্ষে
68464776ff	69d9a	পল্টন এলাকা
6848b15ff6	0a87a	তুলইগাছা সীমান্তের
68490c8d27	1e7c7	ভর্তি কার্যক্রম চলছে
68496e6839	aab0f	বিপুল সংখ্যক
68499b4b06	d2355	বা পরিবারের কোন সদস্যের
684a11edce	eecdd	আলাদা অ্যাকাউন্ট করতে হয়
684a175fca	66dcd	পৃথিবীর বাইরে
684a268b46	287bd	ব্রিটেনের কেমব্রিজে বিজ্ঞানীরা
684a4695a8	2ee04	তিনি সমাজ-ইতিহাসের আলোকে
684a9a7a0c	72649	কমিয়ে দেয়
684ab64402	2d78f	অবস্থিত গ্রামটি
684abdbdf9	577fa	কথিত আছে
684ac23a88	256f5	গায়ে পরতে পরতে
684add9951	f0f95	ভারতীয় পুরাণমতে
684b1f9582	18a52	অন্ধকারের মধ্যে
684b219827	5354e	এককথায় বলা যায়
684b70450a	e2c11	এখন বরেন্দ্র ভূমিসহ
684b8198c4	d1b12	তদন্তে প্রমাণ হবে
684ba2a341	85430	শহরের কোর্ট বাগান এলাকায়
684bcbe4fd	f600a	জাহান্নামের আগুনে পুড়বো
684c5d6706	6b437	১৮ বছরের কারাবাসের পর
684c7f9be1	cc18a	নিজেকে খানিক দূরে রেখে বলি
684ce1c099	ca831	পাঁচবার মুখোমুখি হয়েছে
684d9ac4e9	d2faf	সংশ্লিষ্ট পরিভাষার
684d9cdc2b	d2d71	প্রধানমন্ত্রী নওয়াজ শরীফ
684dabde0f	d41be	নিহতের স্ত্রী নাজরাতুল নাইম মৌসুমী
684daee327	7aed9	ডরিন গার্মেন্টে
684dca32f5	e9fa7	রুশ সেনাবাহিনীকে
684ddad803	282d3	গ্রাস করে ফেলবে
684e26abaf	86b1b	একজন ডবলিউবিসিএস
684e27c205	c6848	একেবারেই ভাবলেশহীন
684e9a71c7	23b22	বহু শিকড় দ্বারা
684f2be98b	509f6	একটি দাতব্য হাসপাতালও চালায়
684f83ce2d	2ad74	প্রধান নির্বাচন কমিশনার কাজী রকিবউদ্দীন আহমেদ মঙ্গলবার ঢাকায় রাষ্ট্রপতি নির্বাচনের সময়সূচি ঘোষণা করেন।
684f851423	24f73	ভাতদড়িয়া গ্রামে
685128822e	c463d	যা কখনোই অর্পিত সম্পত্তি ছিল না
6852532851	f2097	প্রকৃত জাদুঘর
68525341e1	1f974	মঞ্চে অভিনয়ের মাধ্যমে
6852cb8abe	92f59	অনেক শুকনো খাবার ছিল
6852e439e3	e6752	রোমান্টিক গান
6852f1b3f6	66c6b	মাতোয়ারা ছিলেন বহুকাল
68530766b3	47e8d	যে আজ্ঞে মহারাজ
68536db9c0	1cb75	১৭ জন প্রতিমন্ত্রী
6853af5cc0	4f450	পুলিশের গাড়ি
6853b1eb4c	976b1	বেশ ক’জন আহত হয়েছে
6853d3d829	943de	তুষারের গণ্ডি ছেড়ে
6853e908f3	4fd66	প্রতিদিন ঝরছে তাজা প্রাণ
685435518c	d711f	কর্মক্ষেত্রে যেসব নারীদের
6854446903	2ecf8	শ্রমিক সংগঠনগুলোর দাবির মুখে বাংলাদেশ শ্রম আইন ২০০৬ সংশোধনের পদক্ষেপ নিয়েছে বাংলাদেশ সরকার।
68546dd581	84145	কংগ্রেস
6854f18c95	2aecc	তার বীরত্বপূর্ণ অবদানের কথা
6854fb5eca	ee4ad	আদালতে মামলা দুটির
6855850c92	a274b	বাড়ি যাচ্ছিলেন
685600b869	c1e30	ঐতিহাসিক ঘটনা নিয়ে
6856094954	35ef3	কাজ করলাম
6856452875	4fc91	অস্থায়ী নিরাপত্তা চৌকি
68578aeb0a	0d4cb	মন্ত্রী-এমপি, বিশ্ববিদ্যালয় শিক্ষক
685805c02b	8b859	মাত্র ৩০০ কপি
6858d0a768	aab0f	সরকার-বিরোধীরা নির্বাচনের আগে
68594bc2bb	32998	টিক্কা-মসলা ১ টেবিল-চামচ
68595c476c	31f09	ফুলবাহারি এখন কারও বাড়িতে
685974056b	29089	অক্ষয়চন্দ্র দেশীয় শিল্পের
68599bb5f3	33814	তবে মার্কিন যুক্তরাষ্ট্র
6859ed9e21	9d398	জাতীয় পরিসংখ্যানের থেকেও অত্যাচার-নির্যাতনের আসল সংখ্যাটা আরও বেশী।
685ad38a71	7027a	আগ পর্যন্ত চলতে পারে
685b13e4be	7351e	কাজটি যেন তাঁর সহজাত
685b28833b	ee886	রাহার সাথে আমার কোনরূপ
685b33a659	274ee	যেমন চাকরিতে
685b79e8d6	2396d	বিয়ের পর রুপম
685b8e4b97	d41be	কারণ ঋণাত্নক
685b9bff40	80be1	দৌড়ে বেরিয়ে সোজা
685bbe742f	8143b	নারী যখন প্রেমিকা
685c60dc99	bfac7	নতুন একটি নীতিমালাও
685c93f590	bf530	তিনি অগ্রসর হইতে
685ca4a613	f2097	ব্রহ্মপুত্র নদের অবস্থান
685cb9896e	acb88	অবস্থান্তর ধাতুগুলো
685cebd276	a43b5	দেখলে মনে হবে বিশ্ববিদ্যালয়ে পড়ে
685cf310aa	bdfc1	২২টি সরকারি মেডিকেল কলেজে আসন সংখ্যা দুই হাজার ৮১২।
685d84d2c9	75626	৬ বছর বা তার কম বয়সী
685da233ec	42898	আউটসোর্সিং
685da4f4b3	5a61c	শুদ্ধ একটি কথা
685dbbee82	6c6bf	আরেক দল
685e17ea06	4fd66	আমরা জানাতে পারছি না
685e3483e1	4fd66	আলী আহমদ খান জানান
685ed0145a	256f5	তাতে এই সমস্ত
685ef81b2c	7ec1c	ওই থেমে থাকবার সময়
685f70bcd9	fd880	রথের মেলায়
685f9ed26f	c9c19	মানতে নারাজ
68600d8199	6b437	তারা প্রত্যাহারের সুপারিশ করেছেন
6860111cbe	e31e7	ঘুমন্ত রাজকন্যার মাথায় ছুঁইয়া গেল
68608415e4	f0f95	যে কিছু লেখা পড়া
686093588f	dec2d	আসামি করা হয়েছে
6860b901d6	ced74	ব্যাটা আসলেই বড্ড নারীঘেঁষা
68611c9c97	577fa	সুসংহত গ্রন্থ
6861870d0d	b4ea7	প্রাথমিক পদক্ষেপ সফল হয়েছে
6861cdd0b8	da6f0	তিন টেস্টের ওই সিরিজে
686246024b	80be1	গোয়েন্দা তথ্যের ভিত্তিতে
68629cde58	c3cca	কর্ণিয়াও গাইবেন
68630515c0	06527	ধানমন্ডি নামের কারণ কী
68632302de	aab0f	এ সবকিছু থেকে
6863bf7545	4f450	ন্যুনতম মজুরির বিষয়েও
6863dad8b8	388c9	একটি মাত্র আপেলের
6863e28ef0	388c9	তাকে পিটিয়ে হত্যা করে
6864b59c22	c4973	আপিল বিভাগের বেঞ্চে
686546801a	616ec	অন্তর্ভুক্ত হয়
6865ca774d	6ee5f	প্রভৃতি মানসিক উচ্চবৃত্তিগুলি
6865f001d7	7d133	রণন, গুনগুন
6865f780b6	bc81e	বিশ্বকাপের চূড়ান্ত পর্বে
6866105375	28bb3	মদ্যপান, কোকেন
68663b8729	4fd66	সে ইটালিয়ান
6866ffe17f	e6e48	এ কারণেই সৃষ্টি মহাকর্ষণের
68675f0392	ef4f8	এর উৎপাদন ও সরবরাহের ঘাটতিকেই
68677d20a8	767ff	নানা দলের হয়ে
6867ad3a10	9e923	কর্মীদের নিয়োগ দিয়েছেন
6868c8c5a9	18a52	বিশেষভাবে আকর্ষণ করে
6868d09d8e	0696e	ব্যাপক গুরুতর হলে
68693219bb	46da4	হন্যে হয়ে
68699391bf	c6848	দরজা থেকে সরে গেল
68699d2cc0	14d25	আফতাব আহমেদের গাড়ির চালক
686a30bda4	e43d4	উত্তম কুমারকে
686b232cf5	aabe7	১৯৬১ সালে
686b38bcc6	b9a81	সাঈদীসহ বাকিদের
686b564fd3	e03fc	বাংলাপিডিয়া
686b5af3c8	321b6	এ ব্যাপারে অগ্রণী ভূমিকা
686b5c3682	d71a3	এ ব্যাপারে আইন অনুযায়ী
686c18bcfb	0d4cb	বিশ্বভারতীর ছাপ দেওয়া
686c3817e1	53396	কোনো মাছ
686c885729	09b32	অধিনায়ক ও অলরাউন্ডার অ্যাঞ্জেলো ম্যাথিউস
686d23da67	0606d	গান, নাচ ও আবৃত্তির সমন্বয়ে
686d40d8f8	e754e	বিপরীতে দেখানো হয়
686d661dc7	e55de	পাকিস্তানি বন্ধুদের সাথে
686d98fb8b	6c17f	কারও কাছে
686de9ca49	28bb3	ভারতের চর
686e309343	3fae0	বন্ধু ছাড়া লাইফ অসম্ভব
686e88062f	b8ed8	সিনেমার চার কেন্দ্রীয় চরিত্রে
686ea25070	f1ea4	জেনারেটর যখন চলে
686eb8631a	b5fdc	হাসপাতালগুলো থেকেও
686ebb9bed	86b1b	নিম্ন লাল সরণ
686ec8a2fc	121bd	দলের বাইরে যিনি অভিযুক্ত হবেন
686ef27f9e	ad2a0	অপর একজন আহত ছাত্র
686f35ecdd	f2780	কানাডার ওন্টারিওর ওয়েস্টার্ন ইউনিভার্সিটির
686fdbbbbe	92bb2	সরকারকেই দায়ি করছে
6870551fda	e7230	নয়তো তারা
68709c7511	06e62	দ্রোণাচার্যের অস্ত্র
6870f0d53b	a43b5	৩২ হাজার ৪০১
687163ecaf	b00ba	থাকা যায়, থাকি
68733f1994	e754e	যেরকম মোটা অংকের অর্থের বিনিময়ে
68738c3433	c7a89	সর্বদা রত থাকিতেন
68739368f0	cb842	বহন করে
6873c72097	f1ea4	সদিচ্ছা থাকলেই এসব বাস্তবায়ন করে সবার অংশগ্রহণ নিশ্চিত করে নির্বাচন সম্ভব ছিল।
6873d7a7ab	c749e	সত্য ঘটনার সাথে
6874471242	05901	আর এক হাতে রুকিয়াকে ধরে
6874729bc5	68549	আমরা যেকোন টিমকে
6874ce60e1	f280a	ছেলে মেয়েদের জন্য
687503bb89	92bd8	আর্সেনাল ফরাসী তারকা
687560ce0f	bf530	পানির সঙ্গে দ্রবীভূত সোনা
6875a85f9d	ff970	৯১ বছর বয়সী সোহরাব হোসেনকে
6875cfa5ae	21e54	প্রশ্নোত্তর-পর্ব
6877117e6a	b52ab	কিছু ট্রাক পণ্য নিয়ে
68773312e2	a699c	সমাজ
6877d3f5fe	d41be	এক ওঝার কাছ থেকে
6877da0b73	3fb17	জন্ডিসে আক্রান্ত
68781dc2e2	323f1	৫ দিনের রিমান্ড
68787cce6d	717bb	মরণে-জীবনে
687887b2bd	6ab59	মুখর হয়ে উঠলেন
6879f68b96	6dff5	নইলে হয়ত
687a65a2f9	9b864	তেমনি সমালোচকদের দৃষ্টিভঙ্গীও
687a85d5ce	c173f	লক্ষ্যকরে গুলি ছোড়ে
687b2d9d45	f1ea4	তাহলে মালিকের বিরুদ্ধে
687b74cd67	31f09	চীনা পরিব্রাজক
687b7f3043	9c8dd	অভিযুক্ত নিজেই থানায় এসে
687c194d8a	dec2d	হারুনুর রশীদ
687c5e6e8e	88654	কৃষিনির্ভর এই বাংলাদেশে
687c88821a	68549	পারছে না মিলগুলো
687cbbead5	06ea3	অনুমান করা দরকার
687d71f526	73629	একটু পরেই দেখলে
687db750f0	1f974	খেলা
687dbce5e7	0895a	আর্জেন্টিনায় ইটালির অভিবাসী
687dd136ae	43fc0	আমাদের বন্ধু
687e3850cb	194f5	নদী ভরাটের জন্য যে পাথর প্রয়োজন সেই পাথর সবচেয়ে কাছের দেশ ভুটানের আছে।
687e4a2aef	dafb6	আধুনিক সংগ্রহ
687ed32473	80505	হার্ডিঞ্জ ব্রিজ
687f4e7bcd	44322	সামিউল্লাহর বলে
687f649a2f	a1201	চেতনাটা তখন অসাড় হয়ে গিয়েছিল
687f809b53	323f1	আবার কেরোসিন দিয়ে
68800da218	92bb2	স্পট ফিক্সিং
688039637c	aab0f	আন্তজার্তিক প্রতিষ্ঠানগুলোর কাছে
6880b6ea98	b8bba	ঘরের বেড়াল
6880d1b55a	da6f0	বেসরকারি প্রাথমিক বিদ্যালয়
688105719a	2ecf8	রান্নার পর
688113a56d	92bb2	সতর্কও করেছেন
68821ed0be	4a918	তার জীবন অকালে ঝরে পড়ে
6883134ffd	86b1b	সরাসরি গম ক্রয়ের কথা থাকলেও
6883a4a542	8143b	সামাজিক ও রাষ্ট্রীয় অবস্থান
6883d18005	d1a48	পাম্পের শক্ত নাটবল্টু
68843d9a3b	3fae0	উন্নত দেশগুলোতে
6884588f35	dfefa	যুদ্ধাপরাধাদের যে বিচার শুরু হয়েছে
68850da982	24f73	তবে এবার হলিউডের
688561b46c	ced74	বিজ্ঞানের অত্যাধুনিক এ জমানাতেও
6885d0afbb	68549	মিন্টুদের বাড়িতে
688608057b	b08d0	আজ অ্যাপয়েন্টমেন্ট পাওয়া গেছে
68862693cf	d3e06	এ সিদ্ধান্ত হয়েছে
68865a5689	8edea	কে বা কারা খুলে রাখে
6886b5c7c8	2d78f	সেটা বড় নয়
6886eac00a	0895a	সে উদ্যোগপর্বের কথা
6887ac6985	73629	গোপাল বাবুই
68882aa3e2	e3f89	১ টা ৭ মিনিটে
6889be5246	767ff	তাঁরা সকলেই ধন্যবাদার্হ
688a5f0f9e	ac0df	জোরের সঙ্গে অস্বীকার করেছেন
688a665372	d2faf	যে কতটা তীব্র
688afe87a4	6e8cb	দুই দিকে নিয়ে যান
688b1981e9	9092b	যে কাহিনিটি এখানে গড়ে উঠেছে
688bcb976c	af81d	ওই তিনটি বগি
688ca98457	4bede	অন্যান্য খাতে ক্ষতি হয়
688cf5a39f	29bab	সোফা
688d913b47	54e68	জায়গা করে নেয়
688da9155e	adf01	র‌্যাবের গাড়িতে করে
688dff2ddb	f9dfb	যাহাদের অন্যতম
688e5e468b	9d46f	মণিহারার মণিমালিকা
688ebae8ec	b08d0	হালকা বানিজ্যিক যানবাহনের
688ee22f79	adf01	সিরাজগঞ্জের ধানগড়া গ্রামের
688f11b502	ff1c3	কি হত বলা যায় না
688f1e263f	c41d8	বাবা-মাকে খাওয়ানো
688fb5e19e	fdcba	১০ই অক্টোবর, ১৯১২ থেকে
689096c539	0c39f	বিভিন্ন ধরনের ত্রুটির
68909c62fc	b9122	আমাদিগের মুখ্য উদ্দেশ্য
6890c77b35	5e80b	ব্যাহত হচ্ছে বলে জানা গেছে
689119a1b2	16877	তিব্বতী ঐতিহ্যে
68914e3d3a	98b81	বোর্ড বাজার এলাকায়
6891b54e25	0edef	অ্যালার্জির বিষয়ে
689241262e	ea5be	মারাত্মক বিপদটা কী হতে পারে
6892618edd	2fc12	প্রবাহিত করার জন্য
6892706960	ac0df	অধ্যক্ষ স্যারের মতো
68928046fb	43b04	হাত বাঁধা হয়
689296b29e	ced74	তাপস কুমার বিশ্বাসবলেন
6893e6a572	d1a48	দর্শক এবং সমালোচকদের মধ্যে
6893e7c384	e9589	জীবনে অনেক
6894494d92	b9a81	ময়মনসিংহের সদর উপজেলার চেয়ারম্যান
6895376c3a	d9081	একধরনের অস্বস্তি
6895c4051a	ec91c	বোধপায়া আরাকান জয় করেন
689665d39c	f2097	কোর্ট অর্ডারের ক্ষেত্রে
6896748e8c	cd3ac	তিনি একটা পারলারে গিয়ে
