c6000ea95b	e8dde	মুসলিম হিসেবে
c60e005ae5	85430	তুলনা দিয়েছিলেন
c60e1ce103	7ed14	মিন্টো রোডে
c60e2ae29b	0a7a0	চমেক হাসপাতালে
c60f39e7b5	9e923	এসে বসেছে
c60fc0b44f	d711f	সরকার সমর্থক বিভিন্ন সংগঠন
c610034e42	57d54	মোবারক হোসেনকে
c61022d73a	c9c19	বিদেশের সাথে উপমা দেবেন
c6106347f9	ad69a	তাহা প্রাচীন
c610a835ba	8845d	মনুসংহিতায় বলা হয়েছে
c6113af4cd	0606d	১৯৫৩ সাল থেকে
c611eae7ee	57d54	এই সংঘাতে
c612551aeb	29f8c	বিদ্যুৎ ছাড়া আমরা
c6126fb7fa	a3a6d	ড্রিমউইভার ম্যাক এবং
c6128f3e00	cb627	এই গল্প জীবন পাল্টে যাওয়ার
c612ceb850	7d004	বিকল্পধারা বলতে
c612e0e6b1	a9a58	প্রজাতন্ত্র হিসেবে স্বীকৃতি পায়
c612f7a7e0	e6752	হাসপাতাল থেকেই তিনি
c6130c283b	dafb6	অজুর পানির ফোঁটা
c6131dfb79	f83df	রাশিয়ার সৈন্যদের আনাগোনার খবরে
c613fae7fe	c958a	অনায়াসে চলবে ট্রেন
c614013cc6	db735	হয়তো ঈর্ষণীয় এই আয়োজন
c614af207e	7a227	নিশ্চিতের দাবি জানান তিনি
c617096588	cd3ac	বেদনা-আনন্দ-অভিলাষ
c6174b0ed4	e89bb	রাতেই আরও পরের দিকে
c61750c5ee	17ca1	মহাজগতের সেই সম্প্রসারণের
c617847355	a43b5	প্রশংসা করেন
c617fdcb04	c11b1	নিজেদের অ্যাপার্টমেণ্টে থাকতে দিতে হয়
c6182b27f9	8845d	তুমি আমার জীবন
c61842a457	fda1a	বডি ম্যাসাজ
c618eaeb83	5d12f	ঠাকুরবাড়ির আঙিনায়
c618fa8a27	0744c	তার পিতা রামসুন্দর
c6193379b6	4fbd1	আমার দেশ আমার গ্রাম
c6195d9d4d	b78ec	মানব ইতিহাসে যুগান্ত সৃষ্টিকারী
c619d9af45	7d3e1	মানুষ ভোট করতে কম যাবে
c61a0b5671	91b16	আর দিনকতক এইভাবে চললে
c61a4746f2	698a4	তখন মাস্টারদা সূর্যসেন জেলে
c61abb7a8e	e3d8b	বিশৃঙ্খলা তৈরি করতে না-পারেন
c61abd8117	9282d	পরিচয় করিয়ে দিচ্ছে
c61ad415fb	2bc73	খাদ্য ও আবাসনসহ
c61ad6f0ca	11bd2	টেকনোক্র্যাট কোটায়
c61aec974b	b9b98	উত্তর চুনাপাথরীয় আল্পস
c61b2b441d	730c3	ঠাণ্ডা মাথার কূটবুদ্ধির কারণে
c61b66f7c6	e43d4	কিন্তু যখনই কোনও বিজ্ঞাপন
c61b91977a	13b70	বেসরকারী গোয়েন্দা সংস্থাগুলোর
c61bec685f	e9fa7	কর্মরত রাজনৈতিক দল
c61c4b2003	121bd	স্মৃতি মানে একটি গল্প
c61c59a29d	0b7ca	তারা ছাপাখানা থেকে
c61c8d5cc8	5dd61	সম্বোধনটি পড়ে
c61c9f32d4	16877	বাড়ী পরিস্কার রাখিলে
c61ccce7b7	f658d	ফলের পাশাপাশি পাওয়া যাচ্ছে তেলে ভাজা
c61cdd37e1	6b437	বেশ কিছু রোগে
c61d47f413	8406e	পাঁচ আঙ্গুলে মুঠো ভ’রে
c61d4d4a2b	3fc9d	কোটা কমানো দরকার
c61d621e7b	a699c	পরের দিন
c61e4486f1	18a52	অংশ নিয়েছেন
c61ea61ec6	a06a1	বঙ্গভঙ্গ বা বঙ্গভঙ্গ-পরবর্তী সময়ে
c61ec2bcec	0d4cb	হাল ধরেছিলেন শাহীন
c61ec9073f	32998	পাখির খামার গড়ার বিষয়টি
c61f128943	e6d83	রেখে রেখে ওসব খেতেন তিনি
c61f27cd4f	536d9	সূর্যকে কেন্দ্র করে
c61f5ade1c	6e6fa	তারা জন্মায়
c61f7ba5b4	c5479	যাদের দুই জন
c61f850d15	2aecc	অন্যান্য ইন্দোআর্য ভাষাগুলির
c620b790e9	d5f7b	মীর জাহিদ ও এস আই সোহেল
c6210712d0	e55de	গতকাল জামায়াত নেতা
c6219a78d0	a916a	ইউক্রেনের অন্তর্বর্তী স্বরাষ্ট্রমন্ত্রী
c621c5ca15	0f047	ও গুরুত্বপূর্ণ স্থানগুলোতে
c62238a1f1	c3cca	ডিমের সাদা অংশ ফেটিয়ে
c62248f01d	8632b	এখানে রাজনৈতিক সংস্কৃতির বিষয় নয়
c6228e6ad5	8cf95	সামাজিক, অর্থনৈতিক
c622995db4	1a4a9	সিডি/ডিভিডিতে, নেটওয়ার্ক কম্পিউটারে
c622a52727	29089	অনেকটা দূর পর্যন্ত সাঁতরেছে দুজন
c622d3f8ce	ee852	খাল থেকে
c624063b50	ff0fe	যদি হিন্দু ধর্ম সম্বন্ধে
c6244ef6ac	c173f	ঠিক তেমনই ছিল ম্যাচটি
c6247eee34	7297e	ছোট থাকতে
c624951ad1	db735	তরুণ প্রজন্মের ভোটার
c624e75601	9c8dd	গত বছর প্রথম বাংলাদেশী নারী হিসেবে নিশাত মজুমদার ১৯ মে এভারেস্ট জয় করেন।
c6252e37b2	08458	তা তো নয়
c6252f174b	dafb6	তিনি আইনি বিষয় যেমন দেখেন, পারিপার্শ্বিক বিষয় দেখেন, প্রেক্ষাপট দেখেন।
c625622a99	bbb22	ছোট কুমিরা এলাকায়
c625d89723	bfac7	প্রতিটি রঙের
c6261013d7	49d63	গানগুলোর সংগীতায়োজন করেছেন
c626320eaf	d136b	১ ঘণ্টা পর চুল
c626750eb6	75936	জিডিপি কমেছে ৬০ শতাংশ
c626a0a502	b8bf0	একটি ওয়ানস্যুটার বন্দুক
c626a6a9d4	ad2a0	চিপেনডেলস নাইটক্লাবের প্রতিষ্ঠা করেছিলেন পল স্নাইডার এবং সোমেন ‘স্টিভ’ ব্যানার্জি।
c626fb30b8	2d78f	প্রায় একই মাপের হয়
c6275ae433	8edea	এই মন্তব্য সবচেয়ে লক্ষ্যভেদী
c627cd62f4	e2ff7	সার্টিফিকেট কোর্স পরীক্ষায়
c62809e38b	f600a	চোখেও দেখে নি
c6289180b2	287bd	বাবর আলীর ছেলে
c628e448fd	ee886	তাঁকে নিয়ে রহস্যের কুলকিনারা
c6293fd3cd	0895a	কেরালা
c629745aec	42898	বড় ধরনের ক্ষত সৃষ্টি হয়েছে
c62a3b7e29	1f733	বালক-বালিকাদের যাতায়াত করা
c62a8b0f00	eaa7a	আবার থামেও না
c62aaebd74	c3cca	রানাকে পাঠানো হয়
c62acfdcef	77f82	যানবাহন ভাঙচুর
c62b09d94a	bdd05	যেখানেই নামাজের সময় হয়
c62b38a709	60b9d	কিন্তু তাঁকে হাতে গোনা
c62bbf0203	d2294	নিজের জন্য রাখতেই তো হয়
c62bee9d2b	d2355	ও গলা পরিষ্কার
c62bffcca2	9e923	লিভারপুলও সমান ম্যাচ থেকে
c62c0d8ff3	4ea73	১৮৯৩ - ১৯৬৩
c62c153bb2	976b1	সে বল মনে করে
c62cf0241c	92f59	একই ধরনের শৈলীর
c62db04b21	d71a3	অধিকার নিশ্চিত করতে
c62e66e618	10a9f	শঙ্কায় পড়েছে ভারত
c62f60fccc	7ec1c	এবং আশরাফুজ্জামান খান
c62f96bf3c	69d9a	ভেঙে পড়া রানা প্লাজার
c62fb8b78b	fcc89	লিচুর উপকারিতা
c63055f3e6	a0277	অভয় দিয়ে বললেন
c63089af72	ff1eb	মিম্বর উল্লার শালা বলল
c630a3dc35	9092b	সুলতানা কামাল বলেছেন
c630b03533	2aecc	এই সরকারকে অনেক সময়
c630ec799d	321b6	নিম্বাসের পুরো অর্থ
c631892823	b00ba	২০০৭ সালের মার্চ মাসে
c6326535cf	d5213	এমনও হতে পারে
c6329a6681	7e191	আর কবিতা লিখি
c632ac5a51	5354e	ঢাকা বিশ্ববিদ্যালয়েও
c6331c9ada	ff0fe	এরকমই মুহূর্ত
c6333b5dc3	6b437	মাটির সঙ্গে
c6335afe0a	7b900	সকাল হল
c633799849	4dd57	তথ্য পরিবহন
c6339f5240	239f7	ফকির আলমগীর
c6340fe36a	967fd	লঞ্চডুবির ঘটনা ঘটেছে
c6344635f8	9282d	ফেরাউন এর কাহিনী
c6344818e1	9282d	চার উপজেলায়
c63452f307	c0d65	কী জানি
c6346998e1	f1240	গুজব বলে ধরে নিয়েছিলেন অনেকেই
c634c75db7	2c9c5	আসছে না
c634fc2dc1	cc9fd	বীরাঙ্গনাদের কথায়
c6353b6fba	91ac1	ফয়েজ তাঁর আদর্শের অবয়বে
c635e49c94	e2c11	ইন্টারপোল
c63625ff1c	1a2a1	আমরা পাখী শাখী হইতে
c63677e990	b8bf0	বড় দুঃখ হয়
c636867085	ad050	সবুজ পাহাড়ে ঘেরা
c6369c863b	c2082	কোরআন এর বাণী
c6375e27e9	69d9a	আর অস্থায়ী সরকারের মন্ত্রীসভায়
c637bd8cc7	28bb3	সন্ধ্যার দিকে
c638b9f17c	ce180	আরও অসংখ্য পেশায়
c638ec3364	e2ba2	শেষপর্যন্ত একদিন মনস্থির করিয়া
c639157843	39293	তদন্ত কমিটি যদি এ ধরনের
c63944562b	33aef	ভারতের অনেক প্রবীণ সাংবাদিক
c6395bfea6	3faff	৫১.৯৫ বিলিয়ন মার্কিন ডলার
c63966f646	14816	আর বলা যাবে না
c639a04428	f89d7	তিনি উপস্থিত ছিলেন
c63a23e4ce	6d129	তারা সবাই বিষ্ণুর
c63a66c783	520fb	তাঁরা একসঙ্গে গান লেখেন
c63aa792fc	9065c	সকাল সকাল তৈয়ার হয়ে নিন
c63b16c147	4164f	‘ট্রিলজি’তে স্থিত
c63b1825db	93d3b	উর্বশী
c63b452221	e68af	এতে দুই দেশের সংসদের মধ্যে
c63b5718d3	6a35e	দেশের প্রাচীন স্থাপনা
c63b8d1556	60b9d	করেছে ইসি
c63be9230f	8632b	যাকে রাজনৈতিক অর্থনীতি
c63c530014	82926	ব্যক্তিত্বের ছোঁয়া রয়েছে
c63cb15f8b	2de86	পালন করে থাকে
c63cf57131	21e54	ইংল্যান্ডে কাউন্টি অভিযান শেষে
c63d6a3d3f	f83df	হেমন্ত
c63deec8c5	0d4cb	সাবান ও গন্ধদ্রব্যের
c63e551e91	a3a6d	তিনি প্রায়ই অসুস্থ হয়ে পড়েন
c63ec83859	5d12f	মুখে লাগান
c63eda0bad	4e900	ধাপসমূহ হল
c63f2b4af9	1c618	বিরুদ্ধাচরণ করা হয়েছিল
c63f878160	4237e	কার্যক্রম চলছে
c6400c9439	dec2d	আশারাম বাপুর গ্রেফতারের দাবিতে
c64016ab3f	da6f0	তার গোপন প্রেম
c6401f23ac	c7705	বিদেশি মুদ্রার সঞ্চিতির দিক দিয়ে
c6405e2b6e	61820	স্থায়ী বহিষ্কারের দাবি জানান তারা
c64080eedf	3ec4d	শিলা
c6409161ea	14d25	রূপগঞ্জ উপজেলায়
c640c26139	a699c	গত মাসের শুরুর দিকে
c640c3bca1	c2082	এ বছর শিশুদের জন্য
c640fc30cb	2695f	তদন্তের স্বার্থে
c640fdbfb0	ac0df	এটি ব্যবহার করে
c6413a8a13	943de	তিন উপজেলা চেয়ারম্যান
c6413f585c	75f18	আগে কোনো এলাকার
c642440d76	491a5	নয় খণ্ডে প্রকাশিত
c642dad9ca	29d44	ধানশালিকের দেশ ২টি
c6430bd3a7	29bab	কিছু অংশ
c6436fddbf	83c53	সুর মূর্ছনায় বিভোর হন
c6437c185c	e9589	শেষ করেন লিপি
c644bd1a35	9065c	দু-একজনের কথা মনে আছে
c644ec0c00	f1240	কার্যনির্বাহী পরিষদের সিদ্ধান্তের পরিপ্রেক্ষিতে
c6452d4dfc	2d78f	ক্রিমিয়ার আঞ্চলিক পার্লামেন্ট
c6454f81d3	d2d71	নবজাতকের নাম
c6458366d5	baa02	নিশ্চিত হওয়া গেছে
c645f84e1b	bf530	দুধকে ফেনাযুক্ত করার জন্য
c645feec8d	9065c	জন্ম এপ্রিল ২৫, ১৯২৭
c6462be484	7b60a	আমার জন্য অপেক্ষা করে
c64656d991	1a4a9	বললেন দেখো তো কে
c6466316f7	91230	শুধু আমি নই
c6469afcf1	fda1a	দুই থেকে তিন লিটার
c646b23339	355c1	অক্টোবরে বেড়ে
c64721fad8	e7230	এয়ারটেল সহযোগীদের কার্যালয়ে
c64764aeb7	a274b	তত্ত্বাবধায়ক সরকার ইস্যুতে
c64792ae0b	23291	পয়েন্ট-টু-পয়েন্ট ভিত্তিতে
c647a85648	153c9	ধর্মই পারে সমাজকে উত্মম রূপে নিয়ন্ত্রণ করতে।
c64822c4fa	b618b	কারখানা বন্ধের পেছনে
c64853e623	4f450	বালিতে আন্তর্জাতিক বিমানবন্দর
c6486b156f	7351e	জারি করেন সুপ্রিম কোর্ট
c6493e569f	f9dfb	সরবরাহ করতে দ্বিগুণ ভাড়া
c649553040	53396	তা প্রমাণ করার জন্য
c649eb8efe	3ccf1	অনেকেই ছেড়ে দিয়েছেন
c64a009879	8845d	পথটি পাড়ি দিতে হয়েছিল
c64a8c5506	a46e2	সাক্ষ্য দিতে উৎসাহিত করতে
c64a9ec45e	42898	সম্প্রতি সিলেট ক্যাবল সিস্টেম কর্তৃপক্ষ
c64acfabde	c5dc8	প্রথম হ্যাট্রিক করেছিলেন
c64ade01ae	4f450	নতুন কিছু রাজনৈতিক পরিবার
c64b904fb8	f280a	আরো খারাপ কিছু
c64bd3efcf	49d63	বড়
c64c1d0a52	ca831	তিনি 'চিকনি চামেলি' গানেই
c64c4e2743	a9a58	নিয়ে এল
c64c92b36b	e9fa7	এ ছাড়াও এখানে রয়েছে
c64cee8c14	24f73	ইজারা দিয়েছে সরকার
c64d100038	404ee	উদ্ধারকাজে বিলম্বর কারণে
c64dbeaf1a	98b81	অনেক ক্ষেত্রে গল্পগুলি
c64dd3cf3c	46da4	দিন চলার মত
c64de0da46	4ea73	দাম ৪০ থেকে ৮০ টাকা
c64df20a74	fdcba	এঁরাই বহুকাল ধরে
c64e2a203e	25696	কর্মস্থলেরও বিবর্তন ঘটেছে
c64e38f424	9813c	ইতালিকে ৪-০ গোলে
c64e4fab9c	d0c70	শিক্ষা হইয়া থাকে
c64e541b1a	c11b1	শান্ত চোখ রেখে
c64f264946	92bb2	হৃদয়কে প্রবলভাবে স্পর্শ করে
c64fcd3249	d2faf	ঘণকাকৃতি অ্যাকোয়ারিয়াকে
c650093e5e	c7a89	মুক্তি পাবে
c6501491f6	2bc73	পুলিশ বাসটি আটক করেছে
c65047a0a4	8406e	জুতো ফেলে দিলেন
c6504d1f29	a916a	চিহ্নিত করে দেওয়া হয়েছে
c6509046e3	5cb47	আজ বাসায় ফিরে
c650fc9112	56508	প্রশিক্ষণ ফ্লাইট চালানোর পর
c652233d9b	491a5	এলাকার সব ধরণের
c6523c44d2	ce629	আর পাথরঠোকরা
c65260126a	32c77	চিনি খুব জানি
c652daf35d	2bc73	এক সময়ের
c6534d0daa	d9b11	কান পাতিয়া শুনিতেছে
c653605b7a	21e54	ডাওরী বাজার এলাকায় পৌঁছলে
c65367a796	2d98b	অভিনেত্রী রুহী
c653aa15b8	dba43	তিলে তিলে তার ক্ষয়
c653ea2ad5	932bb	খড়মের ঠকঠক শব্দ তুলে
c653f7b52c	bcaa8	ড্যান ব্রাউনের
c65457657e	80e98	সাজা ভোগ করে
c6547de77d	7e1d5	মাতৃভাষা সবচেয়ে
c65497584f	a46e2	তাপদহনের মাধ্যমে
c654a75cea	d3e06	চারিদিকে শোভা করিছে ধারণ
c655163f46	282d3	সামান্য ভোটে ফেল করলেও
c6553280d5	d2355	তোমাদের কাছে
c655819f4a	3bb15	ভোট দিতে পারেন
c656250561	f83df	সোনার চেইন ও আংটিসহ
c65667797f	1e7c7	প্রধানমন্ত্রী সরে দাঁড়ালে
c65674875a	25696	ব্রিটিশ ও মার্কিন দূতাবাস থেকে
c656dcc4ea	95907	বাংলাদেশের সাবেক
c657055ad2	e03ce	নিজের চারপাশে
c657267ac0	f4ba7	ঢাকার বিভিন্ন এলাকা থেকে
c6575c2c06	db735	ভিনদেশি শাসককে
c657757277	121bd	মঙ্গলবার শাবিপ্রবি
c6579f75c5	8632b	থেমে যায়নি
c65811c843	f1240	ছাড়পত্রের জন্য কোন আবেদনও করেনি।
c6581cf58a	430b2	তার মেয়েকে দীর্ঘদিন ধরে
c658eee231	860f4	যখন তার বয়স চৌদ্দ হবে
c6591a43fd	d41be	অশুভের প্রতীক
c6597d86c0	a274b	শিক্ষার্থীরা স্মারক লিপিতে
c659fc8469	29d44	কুয়োর পাড় ছাড়ালে
c65a1b2c7c	49d63	রাজি হননি সুচিত্র
c65af02a09	06e62	আমেরিকায় প্রকাশ করা
c65afd70f7	52f27	হলের মারাত্মক শব্দব্যবস্থার কারণে
c65b2516be	693cb	নিবন্ধন পরীক্ষার সার্কুলার
c65b6dae7b	767ff	এই প্রবীণ রাজনীতিবিদের মৃত্যুতে
c65c10d861	06e62	গুণ টানে
c65c47e641	404ee	বেঁচে যাওয়া শ্রমিক
c65c58bc1a	f2b7d	প্লাস্টিক সার্জারি
c65ca9187b	aa820	সাবেক তিন সদস্যকে
c65d1f147b	e31e7	তিনি যে অসুরের অপরাধ
c65d5c5139	d9b11	পাথর কাটা সড়কে
c65de47052	d711f	তেভাগা আন্দোলন
c65e4c9e10	282d3	সে কেবল এখানে-সেখানে
c65e4e1fa4	d3e06	নষ্ট করার জন্য
c65ebe9f7f	1e7c6	চলচ্চিত্র হিসেবে
c65ee20e3f	7ed14	তাৎক্ষণিকভাবে আগুন নিভিয়ে ফেলে
c65f6f8e84	93d3b	এ বছরই প্রকাশিত হয়েছে
c65fd8b905	0e637	তাতে গোল আরও বাড়ল
c6602712dc	c9c19	ফাউল করে লাল কার্ড দেখেন
c6605d4655	ef915	আগামী বছরের শুরু নাগাদ
c6606c65dd	6aac8	সবার চোখে মুখে
c660810498	8b859	নিহত হয়
c660ac8021	f1ff2	এক বিছানায় শুইয়া পড়িল
c660ca52a9	47e8d	কাউকে আক্রমণ করতো
c66175315f	bdd05	সৈয়দ বেলাল ছিলেন
c662089341	5dec6	আমি ইস্কুল মাস্টারের মত বোঝাই
c6622331cb	c5479	ধর্মযাজক সেইন্ট ভ্যালেন্টাইনের
c66291e4de	53396	যখন কাগজে-কলমে
c662ad6790	ad2a0	সঠিক সময়ে
c6638bcbd2	0e637	মাঠে অবস্থান করে
c663b4b59b	e3d8b	কর্মের অস্তিত্ব
c6642c04c3	e6e48	প্রতিশ্রুতি দেওয়ায়
c6648518fc	a1201	বাড়ির সীমানা প্রাচীরে
c66485bcf4	66b3c	অনেকক্ষণ ধরে
c66494eefc	a8710	এ কথাটা সত্য নহে
c664ae9ddb	3ec4d	নিশ্চয়ই সে সময়ে
c6654ac104	d71a3	যেমন এদের
c66585aa65	6973e	তবে এসব সহিংসতার ঘটনায়
c665fc39f0	d5213	৭০ জনেরও বেশি মানুষ
c665fdb7ef	4c1eb	হরতালের বৈধতা চ্যালেঞ্জ করে
c66656d538	2840e	বুধবার সারাদিনের সহিংসতায় পুলিশের ৪৩ জন সদস্যও নিহত হয়েছে।
c666cd6e5e	6ee5f	ভাঙে ৫৭ ওভার স্থায়ী জুটি
c667692f04	da6f0	সহিংসতার খবর এসেছে
c667e26373	7e191	হার্ট
c667fce25b	7ee9b	সকাল ১০টায়
c668085b4e	c3cca	যন্ত্রণায় কতই না
c6686f1be3	75936	ফাঁসির রায় কার্যকর করে
c668b1e437	1279e	মল-মূত্রকে
c668b678d3	e3f89	বহু বছর আগে স্বাক্ষরিত
c668de1a65	31f2a	চলাচল করতে দেখা যাচ্ছেনা
c668f9f04d	5b13f	ঢাকায় ও দেশের বিভিন্ন এলাকায়
c669175fc3	95907	তাঁহার বিরুদ্ধে
c669914624	37e17	১৫ রানের ব্যবধানে
c669f8c11a	616ec	এর মধ্যে প্রায় ৫.১ শতাংশ
c66a701550	c11b1	মরক্কোর কয়েক লাখ মানুষ
c66a9a519f	72649	সৈয়দ ইকবাল আলী
c66af9b6e6	1a2a1	চাচ্ছে না
c66b363ac3	d2294	মাছগুলো এসে
c66b38ec5d	943de	পরে ভারতের মালদহ হাসপাতালে
c66b7ba6e9	9351a	তারা আকাশ পর্যবেক্ষণ ক্যাম্প বসায়
c66c3fa68d	c8f7f	এই নৌঘাঁটিটি
c66c455259	577fa	সমাজের সংখ্যাগরিষ্ঠ সম্প্রদায়ের
c66c5ca181	76329	লেখার কিছু অংশ
c66c6c8784	fbb81	বিকাশ সম্ভব
c66c6fffc1	c41d8	পুরনো বা কাজে লাগে না
c66cbf1af0	11915	তারপর ঢাকা বিশ্ববিদ্যালয়ের
c66ccd61a9	287bd	যোগ দেন নি
c66cd0bbc6	ce775	ভোলাহাট উপজেলায়
c66d386dc9	15a75	লেইতি প্রদেশের প্রধান শহর
c66d531464	2909b	নিশ্চিত হওয়া যাচ্ছে না
c66d55bf15	e9fa7	ব্রাহ্মণেরা এই সমস্ত
c66d67c085	84145	গম, চা, আখ, আলু
c66d8764b1	aa820	ব্যবস্থা ছিল
c66da4855b	a274b	শ্বশুরবাড়ি দেখতে হয়
c66df8b596	38d3a	এই সত্যেরই পরিণতি
c66eb78a51	3fc9d	ক্লিটোরিস
c66f64b41f	a699c	পথে যে-সকল ছোটখাট ঘটনা হইয়াছিল
c66fb04127	6b437	আগের থেকে ভালো
c66fb2bac4	14816	সাধিত হইতে পারে
c66feb8703	7e1d5	অভিজাত্যের বাস্তবতাকে
c66ffaf2fb	b2a62	ছয় হাজার চিকিৎসক
c6704bacbd	b9122	তুলনা করলে হয়তো
c670a3e31b	7e191	২৫০ কোটি টাকা
c670fc8603	06e62	শখের বাগান
c67195bfa7	194f5	ব্যবসায়ীদের কাতারে
c67211f7a0	3ec4d	প্রয়োজন হবে
c6727ac885	e9759	প্রথম তিনটি ম্যাচ জিতলে
c6727b928b	9065c	চয়ন
c672f7a021	9092b	সবার পকেটেই
c6730bab57	4ea73	শহরের বড় মসজিদ
c673787638	536d9	অনেক কষ্ট
c6737f0af4	6d129	প্রকাশ করত
c6739eb1f9	f2097	ব্যাংকের এমডি
c673ae788d	b9122	নেতাকর্মী আহত হন
c6751a4bd2	9351a	কেউ থাকে না
c675400088	b08d0	নিজের সঙ্গে
c6757ea01a	16877	রুহী এখন অনিমেষ আইচের
c6759e4add	577fa	উদ্ধার করে এনেছে
c675acc83e	f837a	একরাম চেয়ারম্যান
c675f6bed2	cf82a	প্রায় এক মেগাওয়াট বিদ্যুৎ
c676934cc1	1e7c6	গুলিবিদ্ধ ইসমাইল
c676a6c807	491a5	দলের দশজন ধরা পড়িল
c6776b5a17	5cb47	শিক্ষা হবে দারিদ্র জয়ের
c67778d92b	16e96	পৃথিবীর গিটার-গুরু বনে গেলেন
c677b4ca41	1cb75	তারা নিতে চাইছেন না
c6781c1fa5	8b859	মিরাজের ঘটনা
c67823eeab	37e17	চা না ঠাণ্ডা
c67827373f	dfefa	মাত্র ১২ বছর বয়সে
c6783cd7a2	8143b	আয়োজিত এক সংবাদ সম্মেলনে
c6787f69f0	3d17c	কিংবা প্রতিবেশী রাষ্ট্রের
c678b20553	14d25	চমকিয়া ফিরিয়া দেখিলাম
c679285151	a9a58	দেশের জনগণের একটি অংশের মধ্যে
c679944539	ac904	এখন কি করা যায়
c679c89158	9282d	তারা দেবে
c67a65ed9c	9d46f	ঝুঁকিপূর্ণ কারখানাগুলো
c67a6bb90e	8632b	সেকেন্ড হ্যান্ড বই
c67aa359cd	870e3	বাড়ীর মধ্যে প্রবেশ করিয়াই
c67ac54481	9f25e	১-০ ব্যবধানে
c67b0f0a2f	e03fc	এ সময় বিশেষ অতিথি হিসেবে
c67b59117a	0744c	একটি তিনতলা ভবনে
c67c28794c	e55de	সোডিয়াম হাইড্রোক্সাইড
c67c9d1838	06ea3	পৃথিবীতে প্রতি ১৫০ বছরে একবার
c67ce86dd2	80e98	তাদের মেকআপ করা
c67ced3baa	f0f95	খেয়াল রাখতে হবে
c67d0b5236	c958a	উহুরু কেনিয়াত্তা বলেছেন
c67d5bdedf	a06a1	এভাবে জিম্মি করার অপরাধে
c67e2ba2cb	fdcba	শিক্ষিকা মমতাজ বেগম
c67e3bd6fe	f1ff2	কিছুদিন ব্যবসা করেছেন
c67e9f01d5	ca088	পার করে গিয়ে নিয়ে চলছে
c67eca2e41	1f974	ভবিষ্যতে জনসংখ্যার হার
c67ed648b7	32b3e	হাজার হোক
c67f423fd1	7ec1c	হাসপাতালে ভর্তি হলেন
c67faa3a3c	2bd99	কিংবা অশুভ কি-না
c6803d20bc	1b359	কন্ট্রোল টাওয়ারের সঙ্গে
c6804822f4	554fe	হল এদের অনেক বৈশিষ্ট্য
c680e931bc	0edef	ঘটনাচক্রে, মি. ইসলামের
c681b1d282	68ab7	অত্যন্ত বেড়ে যায়
