6d00002162	6a35e	তুমি এলে ত্রাতা হয়ে
6d0bdbe382	388c9	৩৪টি গণা হইয়াছে
6d0c04e250	b8bba	খাওয়া শেষে
6d0c0e1b13	3bb15	যদি এগুলো
6d0c37c4fd	e68af	সে জায়গার সামনে
6d0c9af0ab	92bb2	এখনো নগণ্য
6d0ca6fabf	60f77	অনেকেই অনেকদিন পর্যন্ত
6d0cf5c5c1	ff1c3	বিদ্যুৎ,জ্বালানি, অবকাঠামো
6d0e36dd14	32998	দেখার উপযোগী
6d0ef4bef0	4dd57	তাঁর স্ত্রী ইভা রহমানের উপস্থিতি
6d0f01244d	7aed9	মেয়েদের রূপচর্চার দোকান
6d0f0d1099	e68af	আমি পুরনো নীতিতেই
6d0f70162f	c9c19	তেমনি স্বাস্থ্যের জন্য
6d0f7f64b6	d2faf	হয়রানির শিকার
6d0fb405df	c958a	স্যান্টাক্লজ কেক পদ্ধতি
6d0fc2fcdf	903fa	তাহা ঐ প্রবন্ধের শিরোভাগে
6d1008665a	3b1f7	খেলাধুলা করিবার
6d100a9115	5e80b	টি-টুয়েন্টিতে এপর্যন্ত
6d10a73cba	32b3e	অভিভাবক হতে পারেনা
6d10e8238d	a699c	একদিনও কাঁদিনি
6d11553f82	e9589	মারা গেছে
6d115d8802	2fe3c	আমি জানি রাজনীতিতে
6d1165b5be	6e6fa	উচ্চ রক্তচাপ রয়েছে
6d11f1285e	1a4a9	বাঙালি পাঠকসমাজে
6d1226debc	2909b	মহাযুদ্ধের স্মারক
6d127cbe9b	7898e	ম্যাচ শুরু হওয়ার আগে
6d137dae88	d82d9	দুই জন ব্রাহ্মণ, কৃপ ও অশ্বত্থামা
6d14175ec2	eb179	অতি দ্রুত তিনি
6d147a3bfa	0b7ca	আমরা কোন অবাস্তব
6d14cc5e38	698a4	একটি যন্ত্রণাদায়ক ব্যাধি
6d15604be4	b9b98	হাট সচল হতে
6d156b3385	91230	অর্থাৎ ডিসি সাহেব
6d15dadb9e	14d25	আদিলের জামিন আবেদন
6d16496620	c3cca	অ কিশোর দাদা
6d164ae741	58998	শিল্পী মনীন্দ্র মিত্র
6d16975068	9092b	সবজিও তো
6d16a79efa	fcefa	মহারাষ্ট্রে অ্যাম্বি ভ্যালি নামের আবাসন প্রকল্প গড়ে তুলে সুনাম অর্জন করে সাহারা।
6d16bc8425	adf01	আসামি পক্ষের আইনজীবী
6d16c8c841	77f82	রূপান্তরিত হয় ১৯৪০ সালে
6d172bb6d9	31f09	গোপালভোগ ৯০ টাকায়
6d176039d9	590d0	কোর্টে জামিন বাতিল হওয়ার
6d17c06d8b	d1a48	বর দিলা তাঁরে
6d17ce7f07	e7230	প্রতিবেশীদের সঙ্গে জমিজমা
6d180fecbc	0c39f	বন্দুকধারীরা একটি শিল্পাঞ্চলে
6d18431a3a	47e8d	কর্তৃপক্ষ
6d188a77bb	11de3	সালমান শোকে ভাসছেন
6d194ba886	2aecc	বড় সমস্যা হয়ে দাঁড়িয়েছে
6d19b61356	08458	তদন্ত প্রতিবেদন
6d1ab1f9f1	01e91	শরীরের ভর সূচক
6d1ad1d1d1	60f77	নোবেল শান্তি পুরস্কার
6d1aec8155	acb88	অস্ট্রেলিয়া বিশ্বের ৭টি
6d1aee9511	16a17	কিন্তু সব চেষ্টাই
6d1b9a0534	6b437	সন্ধ্যা পৌঁনে ৬টায়
6d1c1b0d46	3d17c	একজন গ্রিক বংশোদ্ভূত
6d1c773e01	d41be	অনিয়ম প্রতিরোধে
6d1ca9ed42	4dd57	অমীমাংসিত ছিল বিষয়টি
6d1ce0a224	cd3ac	মোটা মানুষদের
6d1e2b61c0	c5dc8	নজরুল সোজা চলে যান
6d1e942788	0c39f	জাভা গেমস
6d1ef028cb	a9a58	ভোটাররা রাশিয়ার সাথে যুক্ত হওয়ার পক্ষেই রায় দিয়েছে।
6d1f180516	2b883	অতিক্রম করেছে
6d1f74d498	d3e06	আসবার পরে
6d1fa1d548	4bede	মহিউদ্দিন বিডিনিউজ টোয়েন্টিফোর ডটকমকে বলেন
6d201bb811	68ab7	আড়িপাতার জন্যে
6d201c33b2	7a227	না থাকলেও
6d20a63084	b5fdc	পরিভ্রমণ শুরু করেছে
6d20ebafc1	b78ec	নানার মুখে
6d2149b449	2d78f	কষ্টের কথা
6d21ad7c3e	1279e	অন্য শব্দ, অন্য সুর
6d21c0978f	dae88	পূজা আর্চনাও করা হয়
6d223aa43a	4fbd1	দেখছেন না পাকিস্তানি এই উদ্যোক্তা
6d227640b4	39293	তাতে বিশ্ববিজ্ঞানের
6d227da20d	903fa	কতদূর গিয়া
6d22ba0ee7	80518	অন্যদের যুক্তি-তর্কের আলোকে
6d2363cd41	1652d	যুক্তরাষ্ট্র মনে করে
6d2366ab86	6c17f	যুদ্ধশিক্ষা দিবার জন্য
6d238cc355	f2b7d	ঢাকা পড়ে যেত
6d243747d5	1de6c	আমাদের থেকে তাদের
6d25883a5c	6aac8	এবং একদিনের আন্তর্জাতিক ক্রিকেটের
6d25d869dc	dba43	সরকারের সমস্যা কোথায়
6d261ecd2f	80539	অপেক্ষা আর শ্রেষ্ঠ বৃত্তি নাই
6d265d1627	7b132	ডাক্তারদের কাজ চিকিৎসা দিয়ে
6d26cc57bb	75626	আকিদুল ইসলামের রচনায়
6d26f5c63a	43199	হোয়াইট হাউজ জানায়
6d26fcc84a	d2294	ভারতের ২০০১ সালের
6d27033cdb	870e3	ছটকুকে প্রস্তাব দেওয়ার
6d270b9a3f	56508	সে মাঠের এক জায়গায়
6d274dc3e6	ff970	বুদ্ধদেব বসুর
6d2779d346	e00db	দক্ষিণ কোরিয়ায় পরীক্ষামূলক
6d27b38161	f280a	পণ্যের গুণগত মান, সাশ্রয়ী মূল্য
6d27c053d0	6c6bf	না না তিলক
6d27e336f7	4f450	চিটার পরিমাণ বাড়বে
6d2887dc19	3faff	অভিধানের বিক্রি বেশি হয়
6d28e9050a	24f73	এক যুবককে গুলি করে
6d295351b1	6da0a	এবারের গ্রন্থমেলা
6d2abb9484	d1a48	চারশো জনের মতো
6d2ac2c1ce	a699c	শুক্রবার দেশটির
6d2ac8a419	1652d	বিমানটিকে সর্বশেষ
6d2b09132b	d9817	অবশ্য দ্বিতীয় সেরার অবস্থানে রয়েছে
6d2b631ce0	7c272	অপরাধ পরিসংখ্যান ব্যুরো জানিয়েছে
6d2b89a475	b78ec	সিআরপির কেন্দ্রে ১৬৮ জনকে নানা ধরনের কাজের প্রশিক্ষণ দেয়া হয়েছে।
6d2ba3176c	0bace	পড়বে না
6d2bf36ace	3bb15	বিশ্বের প্রথম ডাক টিকেট
6d2c3d0ae7	ce629	স্থান পাওয়ার জন্য
6d2c576218	0633a	আর বেদনায় নীল হয়ে
6d2c6ada1c	0c39f	মুদ্রাযন্ত্র সংস্থাপিত হইলে
6d2cbacb00	42898	সিংহখালী
6d2cf3a059	ff970	তার প্রাথমিক প্রতিবেদন
6d2d9ce8a5	c6848	তাহার দুভাই
6d2de291b3	f89d7	কেউ মেনে চলেনি
6d2dfbb7d5	0c39f	কট্টরপন্থী
6d2e0da6eb	91223	কীভাবে চলন্ত গাড়ীতে
6d2e20d28b	ee4ad	ফলে ফরমালিন মেশানোর
6d2e224b32	0a87a	বোতলে আবদ্ধ
6d2eafe445	c6848	নয়তো নফসে আম্মারার কারণে
6d2ee2b028	d2294	তিনি রেকর্ড করেছেন
6d2eec4456	7d3e1	বা ক্লোজ সার্কিটও
6d2f12fc12	ff970	তার লাশ উদ্ধার করা হয়
6d2f9bb9a5	f2097	গুপিদা একটা-কিছু মজা করবে
6d2fa042c3	767ff	এভারেস্টের চূড়ায় আরোহণের
6d30000308	3ccf1	সৈয়দ নঈমউদ্দিন
6d30120e49	3faff	১৭তম মৃত্যুবার্ষিকী
6d30996fb3	9092b	ভালোভাবে শায়েস্তা করতে
6d30a4cb22	91b16	সে চিঠি এখন অমূল্য সম্পদ
6d314ff728	9c8dd	বিকল করে দেয়ার
6d31775658	39293	ইট সুরকি আশপাশে
6d3245d848	3ec4d	৩৬০ কোটি টাকা
6d3319d239	d71a3	শরীরের কাপড় খুলে
6d331e548e	c8f7f	সেটাই জেলের নিয়ম বলে
6d336fdf2b	bc81e	এ বিষয়টিই
6d33bbc442	b9122	তৈরি হয়ে
6d33e7a4e9	93d3b	বা এক বিশেষ প্রকারের
6d351f59f0	e89bb	আমাদের জন্য নিয়ে আসে
6d35220173	c958a	এতে ফেলুদা একটি চিঠিতে
6d3545f86d	dec2d	নিয়মিতই এসব কোর্সের
6d35c48caf	4fbd1	খেটে মরল
6d3605e614	1a4a9	কোন কিছু
6d36412d74	cb842	কিন্তু রেডিও অথবা অনলাইন শ্রোতারা
6d36f1748a	95f83	এই মহানায়কটি
6d3718ab5b	66dcd	এক ইনিংসে
6d37256426	ca088	দুদিনের এই সফরের
6d37267500	cf82a	তার কাছে এসেছে
6d37551f6d	25696	আগুন দেয়া হয়
6d377e7dcc	29f8c	খয়রুজ্জামান সরকার ছিলেন
6d37dc46a3	8406e	আন্তর্জাতিক অপরাধ ট্রাইবুনাল আইনে ২০০৯ সালে প্রথম সংশোধনী আনা হয়েছিল।
6d37ef381a	239f7	একজন মানুষ
6d38010f5a	7b132	সরকার সমর্থক অনেক সংগঠন
6d38260d1f	0633a	বর্তমান কমিটির সভাপতি
6d387aab29	79b06	সমাজে ব্রাহ্মণদের
6d38cbec55	903fa	সব ঝামেলা শেষ
6d38e82001	adf01	দ্বারকা হস্তিনাপুর হইতে
6d395abe7e	8edea	ইতিমধ্যে চার পাশে
6d3974a163	e50f1	যেখানে অতি স্থূল শিশুরা
6d39810bb4	b8fe1	উইকেটে সেট হলেও
6d39907db5	0e637	সমাবেশ না
6d39a7e200	86b1b	বিধ্বস্ত বিমের নিচে
6d39b58f36	18a52	তাদের মধ্যেও
6d3a237cb7	c958a	দর কষাকষি করেনি
6d3a49f915	80505	এতে তার মৃত্যু হয়
6d3a8ba4d6	92bb2	এদিন বিকেলে
6d3aadcbe2	4c1eb	মিথ্যাচারের শিকার
6d3bc03ba0	03284	অবহিত করলে
6d3bfb8f30	8a46d	আহতদের মধ্যে ২৪ জন
6d3c23efb0	5dd61	আল-কায়েদাকে নিয়ে
6d3c675e5c	0a87a	ক্যামেরুন
6d3c87113d	98b81	যে জায়গায় মোগল সম্রাটরা
6d3c8fe07e	49543	'এক্স প্রেম'
6d3c91f479	1a4a9	চুড়ি
6d3c9a473a	0bace	সিনেমা বানিয়েছিলেন
6d3cc3ac5d	8cf95	বিড়াল
6d3cd57eb8	06527	অনেক শুকনো খাবার ছিল
6d3d531748	0d9f1	জামায়াতে ইসলামী ও ইসলামী ছাত্র শিবির আগামীকাল বুধবার রাজশাহী ও রংপুর বিভাগের ১৬টি জেলায় সকাল-সন্ধ্যা হরতাল ডেকেছে।
6d3dd9a209	4fbd1	এই ‘জারজ’ মন্তব্যের পাঁকে
6d3e23afe9	491a5	অন্য দিনের চেয়ে একটু আগেই
6d3e28f5d0	9065c	বিংশ শতাব্দীর কথাসাহিত্যিকেরা
6d3ec1a741	54e68	একটি এআরএমের ডিজাইন অনুকরণে
6d3ee46b02	0a7a0	জবাবে চ্যাম্পিয়নরা
6d3f6304f3	4e900	এর আগে একাধিকবার
6d3fc67f8c	d41be	অতীন বন্দ্যোপাধ্যায়ের
6d3fe03c35	7d3e1	কক
6d40c40da8	f1ea4	ভারতের সুন্দরবনের ক্ষেত্রে
6d411a659c	cd3ac	আর লেমুরীয়রা
6d41bbaf04	95907	দেবীপ্রসাদ চট্টোপাধ্যায়
6d4212e1f9	7b60a	এর পর থেকেই সংগঠনটি
6d4244ff39	3ec4d	হওয়ার কথা
6d42860d0d	95f83	তিনি ওভাল অফিসের দরজায় দাঁড়িয়ে
6d42977d98	4f2ae	একটা শক্তিশালী দর্শন
6d42cbdc2f	06bb7	এবার আপনার কম্পিউটার
6d42e85381	5d80e	অপেক্ষার প্রহর যেন
6d42f17656	e8dde	পাথর
6d444e9699	6da0a	বাংলাদেশ ব্যাংকে
6d445be8e3	d5f7b	সংকট নিরসনে
6d449a162e	c3cb3	অসুস্থতার অজুহাতে
6d452d050b	f29bf	এবং সার্কেল প্রধানদের
6d455e763a	ff1eb	তাকে মন্ত্র শোনাতেন
6d45caacdb	c0d65	মূলত ব্রাউজার রেন্ডারিঙের
6d46096c26	66dcd	অবিশ্বাস্য ছবি
6d463c95b3	2f547	ভোট দেয়
6d4653f191	698ff	১৯৬৬ সালে
6d468b4e99	590d0	ততটুকু নিয়েই সন্তুষ্ট থেকেছি
6d469b443a	d71a3	কখনও মোংলা
6d470da484	ee994	গৌণ কারণেই
6d4715775b	7b132	দাদা মোগল ই আযম দিয়ে
6d472dbf8f	d2d71	মাত্র ৩ লাখ ২০ হাজার
6d478b718d	b8ed8	বিসমার্ক ছিলেন
6d47a19b89	91223	রবীন্দ্রনাথের লেখা উপন্যাস
6d4850c66f	a7c6f	১৯৭১ সালে সংঘটিত হত্যা, লুণ্ঠন, নির্যাতনের মতো অন্তত ২০টি মানবতাবিরোধী অভিযোগে আন্তর্জাতিক অপরাধ ট্রাইব্যুনাল-১ মি. সাঈদীর বিচারের শুনানি সম্পন্ন করেছে।
6d48bf8dac	b4ea7	বাংলাদেশের স্বাধীনতার ৩৯ বছর পর
6d48caeffa	f2780	২০০৫ সালের ফেব্রুয়ারি মাসে
6d4923311e	6fb36	চারিদিকে মণি-মাণিক্য
6d498182c5	0a7a0	তৈরী এবং প্রচারে আগ্রহী নয়
6d4a8a928b	0a87a	ক্রোধে রাগে
6d4aba6bfc	4237e	সকল প্রকার ব্যাক্টেরিয়া
6d4ac5f919	5e80b	সেই বিনিয়োগের টাকা
6d4b016e8a	9e923	বাংলাদেশের সঙ্গে ভারতের
6d4b4917a5	ff970	তাহলে নাকি নতুন বছর
6d4b5cfb24	ef915	স্ট্যামফোর্ডকে বলেন
6d4c08e125	121bd	অন্যমনে একদিন ভালোবাসা
6d4c40d5ab	72649	এরূপ ব্যবস্থা অতীব কঠোর
6d4c6b0036	4a918	সবুজের নিসর্গ ভরা
6d4c79bb2d	43199	বিগত বেশ কয়েকটা
6d4c7dcfb2	c11b1	কিন্তু ঢাকায় দেখো
6d4c8d18d9	b08d0	ঘৃণা প্রকাশ করতে
6d4caf532d	e6e48	মনে করছে ইসি
6d4d34ee22	aabe7	যত দূর জানি
6d4d4d77d8	a1201	এক প্রকার হরমোন
6d4e0ea7b4	f2097	নিয়মিত জিমে যাচ্ছেন
6d4e324099	c3cb3	নতুন আইনে
6d4e5c1d4b	8a46d	পৃথিবী সৃষ্টির পূর্ব হতে
6d4e6d8cda	80e98	কিছুমাত্র কম দড় ছিলেন না
6d4e713c45	a3a6d	ইঞ্জিন নৌকায় চড়ে
6d4ea139f4	cb842	সম্ভব হচ্ছিল না
6d4f8b3802	42898	বাধ্য হন
6d4f92d2b6	860f4	ভুলে ভরা
6d4fcfab0e	29f8c	আট লাখ তরুন তরুনী
6d4feaf492	2bd99	শাফকাত আনওয়ার
6d4ffc0f2e	0e637	অক্সফোর্ড বিশ্ববিদ্যালয়
6d50a1e4cd	b8bdd	পার্থশঙ্কর পাল বলেন
6d5153910f	7027a	জ্যোতির্বিজ্ঞানীরা বিভিন্ন
6d51d85a13	0606d	বিরোধ রয়েছে
6d52077046	b2a62	এ পর্যন্ত মোট সাত বার
6d522aadb2	4c1eb	দেশের ধারা কতক মিলিয়াছে
6d5252611c	8845d	আমদানি করা কয়লায় তা চলবে
6d52fd24d3	18a52	অস্বস্তিতে পড়ে পাকিস্তান
6d53714c22	09f0d	গ্রামোফোন রেকর্ডের
6d5457edba	9e923	আষাঢ়
6d547db599	56508	বাড়িটা ও দিকে করল না
6d547de90b	b9b98	দিনের শেষে
6d5482d60e	e43d4	অবরোধ বিরোধী মিছিলে
6d54dd0f83	d1b12	প্রকৃতিতে প্রাপ্ত
6d55b130a0	4f2ae	এ অবস্থায় ঘটনার রহস্য
6d5615c785	4ea73	৫২শতাংশই
6d566e2305	0d4cb	চায়না মেজর ব্রিজ ইঞ্জিনিয়ারিং
6d56afd5f7	a274b	সেটা দিয়ে ঢুকে শঙ্কর দেখলে
6d5741345e	9c8dd	বিলম্বের কারণে
6d574d971f	745b7	ভূমি সমস্যার সমাধান বিলম্বিত হওয়ার কারণে প্রত্যাশিত উন্নয়নও ব্যাহত হচ্ছে।
6d5764e2c1	ad69a	ঝুড়ি-ভরা কলা নিয়ে
6d57972ce7	d0c70	ঠাকুরগাঁওয়ে দুইজন
6d57d9a8b6	903fa	চাপরাশির ওই তকমার চেয়ে
6d57ed810a	d711f	মায়াবতী আশ্রম
6d58042916	68ab7	নব্য ইন্দোআর্য্য ভাষাগুলো
6d5808f7d4	7297e	অজিত দত্তের
6d586020ac	2695f	নতুন রুচির পরিসরে
6d58dbf783	7e1d5	মাছরাঙ্গা টেলিভিশন
6d5901ebe1	e6e48	ফ্রি নেট
6d591ab860	32c77	প্রশাসন যদি নিরপেক্ষ
6d59bbe6e0	577fa	চূড়ান্ত গন্তব্য ছিল বাংলাদেশ
6d59d8fbe1	430b2	ঝাঁটা মেরে তাড়িয়েছে
6d5a13984f	1e7c6	অবাধ নিরপেক্ষ নির্বাচন
6d5b906897	d5213	যোগ করার সিদ্ধান্ত নেওয়া হয়েছে
6d5bc31f15	e03ce	হামিশ রাদারফোর্ড
6d5c70a78c	0a87a	শশী তরুর পরে বলেন
6d5c721a17	ff970	পৃথিবী ছাড়া
6d5c9375e0	e6d83	এক বিবৃতিতে পাল্টা এরশাদকে
6d5d29b305	a7c6f	৩৫০ মিলিয়ন
6d5d33ab7e	3bb15	নাগরিক নাট্যগোষ্ঠির সদস্য হিসাবে
6d5e56b540	24aed	হোমসের অনিচ্ছুক হাতটা
6d5e9e4dd3	b2a62	খ্রিস্টপূর্ব ৭ম শতকে
6d5f57a2d7	cf82a	সাহায্য প্রদান করেন
6d5f937a70	43b04	ভিড় ঠেলে তাকিয়ে দেখি
6d5f941db1	86b1b	একটি পাত্রে
6d60265efb	31f09	তীরের কাছাকাছি
6d608966ce	d8c80	উঠে আসে আশার সঙ্গে
6d60bfff3b	7b103	সম্পূর্ণ অচল
6d60f86fd8	43199	অত্যন্ত নোংরা
6d60fa29ed	fdcba	তিনটি মামলা রয়েছে
6d611fec3b	d5f7b	পাকিস্তানি তালেবান নামে পরিচিত
6d613382fb	2b883	মনোযোগ ও উদার দৃষ্টিভঙ্গি
6d6179fe3c	4a918	এবং বৈদেশিক সহায়তা আসা
6d619610d7	4f2ae	শাহজাহান আহমেদ
6d61d885a9	17dcd	কোচ হিসেবে
6d620020e1	16cfb	উল্লেখযোগ্য ধারা
6d624aa8a2	809cd	প্রস্তুতি চলছিল
6d628bac49	bd576	অন্যান্য সকল বর্ণ প্রকাশকারী
6d62a96442	53396	বৃদ্ধির ওপর
6d62d00b0b	c8f7f	অনুমান করতে পারি
6d633fe1a6	3f875	মুখ তুলে তাকাল
6d6354b22a	c958a	যতদিন আমাকে না দিচ্ছে
6d640e11b4	8ba2b	সংসারের অভাবের কারণে
6d6424b5cc	08458	প্রত্যাহর করা হয়েছে
6d642e7070	ec91c	বাঙালি মধ্যবিত্তের ধর্ম
6d64d908de	aabe7	তিনি আসামীদের নাম
6d64e6681b	6da0a	একরাম
6d64fc8db2	24f73	উদ্ধার করে এনেছে
6d656a112a	d82d9	১৯৯৯ সালে
6d6589a4ed	a46e2	হালে এতো মাতামাতি হচ্ছে
6d65a58139	46da4	মোট দশ ভাগে ভাগ করলেন
6d65aa7fe5	b8ed8	সবকিছুর ভার
6d65fab214	83c53	মেয়েটা সত্যি ভাল
6d65fcf72d	2ad74	তুলিয়া রাখিতে হইবে
6d665d781b	58998	বরং হায়েনা বলতে
6d6687cef9	410fa	সূর্যোদয়ের পরপরই
6d668f6a00	ced74	বেশ চেপে বসে থাকত
6d66e303b4	0b7ca	অস্ট্রেলিয়ার মহিলা ক্রিকেট দল
6d67f15e7b	9d398	দলীয় চেতনার উদাহরণ
6d68e86d79	5639c	নিষেধাজ্ঞার তালিকায়
6d68f4d613	e6d83	খুব মৃদু সুরে বললেন
6d69799933	9e923	দক্ষিণ চীন সাগরে সৃষ্ট
6d69ecc9df	fcc89	বলল, আপনিও
6d6a238aa4	9813c	এতে প্রকাশিত হয়।
6d6a2f32d5	eecdd	চলচ্চিত্রে, ফর্মুলা ছবির মধ্যেও
6d6a513015	0c39f	এক সময় লেখক আসেন
6d6aacbda1	7f2ef	নিজেদের দখলে নিয়েছে
6d6aefd624	60b9d	বলেছে সে বিজয়কে
6d6beb9e81	ce629	তাদের হাত থেকে
6d6c0e0f75	fda1a	কাউন্সিলর নূর হোসেনসহ
6d6c838b36	61820	রিমান্ডে নির্যাতন
6d6ce09b52	ce629	উপন্যাটি লেখা হয়েছে
6d6d86acc5	ac904	তাঁহারও নাম বাসুদেব
6d6db41735	d9b11	একটি রোডম্যাপ তৈরি
6d6db8bb7a	2de86	উভয় ধরনেরই
6d6dc869d1	d2d71	সাবেক অতিরিক্ত সচিব
6d6dfe4e11	ca088	বদিউল আলম মজুমদার
6d6e1539fc	5e80b	মি. কাদের বলেন
6d6e60e2ad	9f25e	জড়ো হয়েছিলেন
6d6ea2b9ce	a43b5	আল কায়দা এখন টার্গেট পাল্টিয়ে
6d6ef11e25	2396d	দক্ষ অভিনয়গুণে সহজেই
6d6f1f30e3	0edef	উভয়ের কাছ থেকেই
6d7010bb34	b5fdc	ভারত ঘোষণা
6d703a434a	491a5	এই বিশ্বায়নের যুগে
6d704af08f	315e9	এ্যালকোহলের মধ্যে
6d704c45bc	46da4	অভূতপূর্ব এই পতনের ধাক্কায়
6d705fb639	1a2a1	১৫টি প্রতিষ্ঠান
6d7083a0e3	c41d8	তাহা তোমাদিগকে বলি
6d70988051	b8ed8	আমি নিজে ছোট বেলা থেকেই
6d70c914ec	194f5	আমি নিজে এবং ডিবি কর্মকর্তারা
6d7103f717	ca088	শাবনূর ফোনে
6d7108500e	32998	আপনি থেকে তুমি বলে
6d71bcca87	0744c	বৃহস্পতিবার বিকেল তিনটে নাগাদ
6d71c98d9a	98b81	তিনি নেতাদের কাছে
6d71fe5747	b8ed8	একটি কারণ নির্দিষ্ট করিবার
6d72147139	0d8c1	নখ দিয়ে ছিঁড়েফেড়ে
6d7241eeef	46da4	লেখাপড়া না শিখিলে
6d72693d19	932bb	বিএনপির ভাইস চেয়ারম্যান
6d72717c13	430b2	উইলিয়াম রাদিচে
6d7293acb5	b8ed8	যেখানে ছিলেন কিউরেটর অমিতাভ দেউরী
6d72975e67	693cb	মজার ম্যাজিক
6d729c0c30	68ab7	মৌলবাদী দলের হরতাল
6d72bd85bb	6dff5	ক্যাডারের সংখ্যা প্রায় এক হাজার
6d72c513b9	2fc12	দপ্তর ও সহ-পরিচালকের
6d72c88208	0606d	অবশিষ্ট বাটার ক্রিমে
6d72fc69ca	dae88	খোলা আছে
6d739eee16	18a52	জলবায়ুর পরিবর্তনের
6d73d3d065	17ca1	দুদল সংলাপে বসা জরুরি
6d7435b9fe	af81d	প্রবৃত্ত হয়েছিলেন
6d744a4bc5	404ee	রুহুল আমীন গাজী বলেন
6d7453e022	e2ba2	এটা প্রযোজ্য নয়
6d74a7d46a	d41be	হেলাল উদ্দিন বলছিলেন
6d74b6dd80	0744c	পার্বত্য এলাকা থেকে নিরাপত্তা বাহিনীর ২৩৮টি ক্যাম্প প্রত্যাহার করা হয়েছে।
6d751cfae7	6ee5f	কাম
6d759c6015	ec91c	নামে দুটি রাজ্য
6d75a73060	c7705	তারা এ অপবাদ রটাচ্ছে
6d75c59d0d	05901	তাকে গ্রেফতার করে
6d75ea7aac	57d54	ব্যবস্থা নেয়া হচ্ছে
6d7609dfaf	80505	ইচ্ছা হইতে লাগিল
6d762ab77e	4c555	পার্ট টাইম চাকরি
6d767e06a0	420df	শুদ্ধ গুণে বা পরিমাণে নয়
6d76f07666	8845d	বেশি শিখেছেন
6d771a0561	80518	সুজনের সম্পাদক
6d7790fcc9	83c53	মো. ইসরাফিল আলম
6d77b56024	9092b	ক্ষুদ্র ব্যবসায়ীদের অবস্থাও
6d78857f4a	6dff5	কারও আক্ষেপ
6d796a6f96	43fc0	যেন চাকর ভাল রাঁধে বাড়ে
6d798acf65	e2f12	যতটা দুশ্চিন্তায় ছিল
6d79af3885	f29bf	তিনি
6d79c791b7	9d398	আমাদের জন্যে দোয়া করেন
6d7a411161	f600a	বুধবার সকাল সাড়ে ১০টায়
6d7a7d1b32	f9dfb	অ্যাডভোকেট সানাউল্লাহ মিয়া
6d7a9b7c9e	75936	ঘটনায় সম্পৃক্ততা না থাকায়
6d7ab88b50	ce180	একদিন আগে
6d7ac0bfbf	21e54	তোমার মৃতদেহ
6d7b1b3eaf	2aecc	সেনাবাহিনী মঙ্গলবার
6d7b1f3d96	72649	রায়বাহাদুরের পুত্র হয়েও
6d7b7f35c0	d1a48	মঙ্গলবার আদালত রায় দেয়
6d7c106b1c	2aecc	সারা জীবন ধরে
