91004be9de	f9dfb	এই বলকে যথেষ্ঠ
9134f60da1	4f450	সাধারণ মানুষদের মতো নয়
9135072216	06ea3	পুলিশ অফিসারের মেয়েটারে
91358a8456	dae88	তারপরও
9136133ac7	0895a	এমন অনেক কিছুই
91369f3cae	7d004	ইতিমধ্যে ক্লান্ত ও বিভ্রান্ত
9136b0ca6b	3d17c	নিজেরা পরিশ্রম করবে না
91370868fc	c749e	সমাজের পূর্বার্জিত
913763c1f6	38d3a	তাকে হেলাফেলা করবে
91379d96a3	49d63	আমি স্বামীর সঙ্গে
9137f94571	dae88	কপিরাইট থাকে
9138a2c2e1	f29bf	মনিরুল বলেন
913929f98f	c958a	বইগুলো নষ্ট হচ্ছে
91397e47ff	388c9	বিপদ অবশ্যম্ভাবী
913985d2b7	420df	ফাইলগুলোকে কম্প্রেস করেও
9139903080	e3f89	সেবা প্রাপ্তির ক্ষেত্রে
913a2ca9d1	a1201	১২ নম্বর না পেলে
913a6e7d7c	6ee5f	প্রত্যক্ষদর্শীদের সাথে কথা বলেছেন
913a73435a	29089	বধূ তুমি কার'
913b489747	8edea	এই আদেশ দিল
913b8164ce	e754e	ইসলাম ধর্ম
913c0d5e9b	8845d	ইউনিক্স, ম্যাক ওএস
913c3c3b96	4237e	এই নিয়ে তৃতীয়বারের মত
913c69ac9b	65e30	ঢাকা বিশ্ববিদ্যালয়ের
913ce70a14	a8710	মারা গেছে
913d096ca4	b78ec	শিল্প নগরীর জন্
913d9a420f	a3a6d	এ সময় মহাসড়কে
913ddf7efd	e6d83	চক্কর দিতে থাকে হেলিকপ্টার
913f513aca	cd3ac	বাণিজ্যিকভাবে এই ছবি
913f53ef2a	49543	ঘোষণা করে
913f6dd07f	baa02	ষোলটি দলের উপস্থিতিতে
913fdaa54e	121bd	এর বিচারক
913fdc5135	43fc0	সিনেমার ফাইটিংয়ের দৃশ্যের মতো
913ff0d0ef	73629	আটক মাদকের মধ্যে
914102bb91	870e3	স্বর্ণ
9141c1c45f	616ec	মিশ্রণ ঢেলে দিন
9141cec776	b9b98	বাংলাদেশের মানুষ সত্যিকার অর্থেই
914215a72b	880ae	দ্রৌপদীর বস্ত্রহরণ করিতে প্রবৃত্ত
914244753f	9282d	পাজ তার আইন শিক্ষা
91428e16e3	d71a3	অ্যাপাচি সফটওয়্যার ফাউন্ডেশন
9142e18f4c	e6203	হলুদ
9143efd097	693cb	সংস্কৃতিগত-প্রাণ জাতি
9143f101f0	d8c80	আপামর জনতার
9144216c12	3f875	পরিষ্কার মনে
9144ba0f4b	6da0a	কেঁদুলী বা জয়দেব-কেঁদুলী
91454d389a	b4ea7	ফ্রোজেন
9145558b89	ac904	একটি অ্যাম্বুলেন্সে করে
91461c5e1e	274ee	ঘরটি ছিল এক ধরনের
9146679d6f	943de	তিমুর ও মুঘল ইমারতের মতো
9146cf8892	a43b5	নেতিবাচক প্রভাব পড়েছে
914709038c	c3cb3	এতে দৈনিক ১৮০ মেগাওয়াট
9147170b9f	06bb7	তার স্বার্থ রক্ষায়
914739cdcc	0f047	তাই ধারালো
91476be10d	ad98d	জিএসপি বন্ধ করার জন্য
91477a1922	37e17	যত ভালোভাবে উপস্থাপন করা যায়
9147d270cc	ff0fe	জীবনের প্রথম ৪৪ বছর
9148b5b1e4	12702	হত্যা করা হয়
9148c5bea8	ab946	ব্যবস্থা তো নিতে হবে
9148e4a216	49543	তরুণ গায়ক
91490e93c3	31f09	আবার শুরু করবেন
9149b04e15	17dcd	তাদের কাজটির মাধ্যম
9149c95dcf	0895a	কুশিক্ষা উনি পাননি
914a4be893	24f73	বীথি এক জমিদারবাড়ির
914a8e609c	bfac7	আমি আর টাকার বিনিময়ে
914a8f47e4	5dd61	ভয়ংকর ভুতের কাহিনী
914acb1903	c463d	বাকিগুলো ঢাকায় আসবে
914bb0d073	4c555	খুব শিগগিরই
914bbcccb4	06736	মারধরের প্রতিবাদে
914bd576aa	1c618	সোমকে এক্ষণে চন্দ্র বলি
914c725122	e754e	খবর গণমাধ্যমে উঠে আসে
914c96201a	b52ab	হাবিবুরের বাড়ি ঝালকাঠী জেলায়
914c99a3e0	7e1d5	বিছানা থেকে
914cc6a1c5	06e62	কানাইঘাট
914ceb96b0	f0f95	তুলনামূলক প্রাচ্য ধর্ম ও সাহিত্য বিষয়ে
914d4cbce0	68ab7	নাজিমের খুব প্রিয় ছিল
914da711f9	1e7c7	এ-বিষয়ে প্রাচীন পুঁথিপত্রের
914dbecdce	7b132	জয়নাল হাজারি
914ef33b94	f280a	তাহাও প্রক্ষিপ্ত
914fb2bd58	b8ed8	রজব
91508b8159	92bb2	টেক্সাস এবং কলোম্বিয়া বিশ্ববিদ্যালয়ের
9150a6095f	86b1b	পালাতে হয়নি
9150c9cec2	f1240	ভর্তির প্রক্রিয়া শুরু করা হবে
91516e1d35	aabe7	১২৬ রানের
9151b6bf11	7f71c	স্বাধীনতার পরে যখন
9151e2b065	39dd0	সামলে নিয়েছি
9151f6879d	06736	ছয় বছর আগে
91525a3abc	93bf3	স্বল্প সুদে
9152fd7234	d9817	একটা এক্সপেরিমেন্ট করতে চায়
9153b29a01	767ff	২০১৩ সালে পশ্চিমবঙ্গে সুমন মুখোপাধ্যায়ের পরিচালনায় শেষের কবিতা চলচ্চিত্র হিসেবে নির্মিত হয়।
9153e354a2	577fa	সে ক্ষেত্রে সে কখনোই
91540d443a	e00db	শুক্রবার সকাল সাড়ে ১০টায়
91552c3223	e03ce	খুলে দেওয়ার জন্যই নাকি
9155448c3c	698a4	জীবনের প্রথম
915550d226	06e62	'নির্বাসন' নামের
9155783f3e	42898	অন্যদিকে বাঁকা দাঁতের পুরুষদের
91557b6bd9	fd880	রিটেইলার চেইন প্রাইমার্ক ক্ষতিগ্রস্ত ৫৮০ জন শ্রমিককে সরাসরি সহায়তা করতে ৯ মিলিয়ন ডলার দিয়েছে।
9155a40685	2396d	প্রধান কারণ ছিলেন বোদলেয়ার
9155c0115d	698a4	সন্ত্রাসী কর্মকাণ্ডের কারণে বিমানটির নিখোঁজ হওয়ার সম্ভাবনা কম।
91568b1a02	f1ea4	নেয়া হয় তাদের কাছ থেকে
915694c2cb	2840e	পরবর্তীতে তিনি
9156a7edfa	a4750	কথা বানানোর
9157772cf6	dae88	কোন কোন ভাষার সংমিশ্রন ঘটেছে
91583d3cca	9fa90	৪৮ হাজার ৪০৫ টাকায়
9158a4b2ce	491a5	এগিয়ে যায় স্বাগতিকরা
91594ee572	73629	টেলিভিশন
915966817a	25117	সিআইপির মর্যাদা পেয়েছি
9159e9b072	9d46f	হরতাল পালন করতে যাচ্ছে
915a4ec5dc	a06a1	মূল নায়ক
915a51cd67	ee7b2	কীভাবে সমস্যার জালে জড়ালেন
915a669666	95f83	ভুবন
915a7dd10c	72649	অর্থমন্ত্রণালয়কে জানিয়েছে
915af2b4cd	1f733	তাঁরা বাংলা ভাষায়
915b0cd0f4	ad2a0	কিছু করা
915b8811f5	c9c19	দায়ী করবার মতো
915bcdec36	dba43	তিনি প্রায়ই বলতেন
915c3152e8	967fd	লাইভ পারফরমেন্সও করেছেন
915c33beb9	91223	ক্যারিয়ারের মধ্যগগণে এসে ‘আন্ধি’ ছবিতে রাজনৈতিক দলের নেতা হিসেবে কেন্দ্রীয় চরিত্রে দুর্দান্ত অভিনয় করে দর্শকদের হৃদয় জয় করে নেন সুচিত্রা।
915c92bd3d	5d80e	রাজনীতিতে আসেন জয়ললিতা
915c9fd5a0	b08d0	মার্কিন প্রেসিডেন্ট বারাক ওবামাকে নিয়ে
915d579543	321b6	হাঁটিয়ে নেওয়ার জন্য
915e19a8b3	323f1	ব্যাংক কর্মকর্তারা
915e2a5699	6c6bf	উত্তরাধিকার পাবার যোগ্য
915e391194	f1ff2	দ্রুত সংস্কারের
915e90c0a8	d82d9	রোববারের সরকারি অভিযানের
915e922d93	b8ed8	চুক্তিভিত্তিক কাজ করার সময়
915ebbf31c	21e54	পীর আমিরুল্লাহ একটি বিয়ে করেছেন
915ebf36d1	430b2	অন্যতম সংগঠক
915f68224d	d2294	পতন আটকাতেও
915f691415	e9759	দেশে যাওয়া হইল না
915f7ce0bc	fbb81	অবশেষে নিজেই
915fd7131c	1b359	ভালবাসার লাল গোলাপ
91610bd897	c5dc8	ইস্পাহানি মোড়ে
9161303467	323f1	তাঁকে অগ্রাহ্য করার জন্য
916132375b	5b13f	পলাশ
9161f5f74b	2c9c5	হরমোনগুলি নিঃসরণ করে
9163313f07	d9ba9	বৃহস্পতিবার ঠিক
91638071df	29f8c	স্টার্টআপে সেট করে
91638f94d7	66c6b	অন্যান্য দেশের মতো
9163b2a853	69d9a	আনা সোনা
9164078391	ac904	হলের কাগজপত্র দেখানোর নির্দেশ দেন
91645f3132	69d9a	এখনও পর্যন্ত ট্রাষ্ট ফান্ডে
91645f4d5e	33aef	রাত পৌনে দুটোর দিকে
91646180eb	239f7	বিভিন্ন ধরনের
9164664e77	ac904	নতুন গৃহে প্রবেশ
9164e8f780	76329	কিছুতেই হবে না
916706288e	8a46d	নির্বাচন চাইতো
91677200d6	e55de	আমার অন্যায় হয়ে গেছে
9167e2c160	7c272	১৩ বারই কোয়ার্টার ফাইনালে ওঠেন
9168790786	2d78f	কাউকে কুর্নিশ না করার
9168d7c6f1	4e900	দ্রুত বন্ধসহ
9168f59eb9	13b6a	বুয়েট
91698f1b6d	b8bf0	তার ওপর ঝরে পড়া
91699a9b6e	6ee5f	এদের মধ্যে আছে
9169a4614a	cb842	তিনি সাংবাদিক
9169a957fc	e9759	বঙ্গমাতা শেখ ফজিলাতুন্নেসা মুজিবের নামে
916a88651a	bbb22	প্রশ্ন উঠতে পারে
916b218bd6	5d12f	উচ্চকক্ষের অনুমোদনের পর
916bfd8ec1	f1240	অধ্যাপক ডক্টর টেরের
916c066910	6aac8	যদু মল্লিকের বাড়ি
916c134f7b	2c9c5	রাহুলের মতো তার বাবার নামও
916c9f97f4	7c272	উভয়ের মধ্যে
916d3643d4	2aecc	সহ্য করতে পারছেন না
916daf67c6	351dd	টিকিয়ে রাখতে চায়
916dee5d4f	ad98d	লুৎফর রহমানের ঈমামতিতে
916e592739	c4973	কিছু মানুষের
916e6d9f06	61820	শুভ সকাল এসএমএস
916e8b8991	7f2ef	ঘনীভূত হয়ে উঠলো
916e9a80a0	16a17	মার্কিন লক্ষ্যবস্তুতে
916f0a7e9f	3bea8	ভল্লুকী হইয়াও
916f5ac273	7b103	কন্টকিত হাহাকার আর অবহেলা
916f86d6ff	f2097	বিপ্লবীদের দলে
916f9c7c39	24f73	১৯২১-এ ভারত সরকার
916fd9fc98	b52ab	আমার উপলব্ধিও
9170365dd9	82926	চারটাকা বেশি দাম পাবেন
917077a18c	bfac7	বায়তুল মোকাররম মসজিদে
91709dc01f	5e80b	অফিসের ভেতরে
91713afeb8	bd576	জামদানি তাঁতি ছিল
91715e02fd	22096	১১টা ৮ মিনিটে
9171867dd9	194f5	কাঁচামালের অভাবে
9171a3b560	3bb15	ঈদে দর্শকরা
9171b398d0	29bab	রাজনীতিবিদদের মতোই
91720fcdfc	4fd66	আমাকে বলল একদিন
91721d7997	80505	এ কথা বলতেই হবে
9172481ac5	15a75	আগেই অবেস্তা ভাষার
91732b35ab	2d98b	সম্মানিত অতিথিদেরকে
91735cfc8b	16e96	বেসিস-এর সভাপতি মাহবুব জামান
9173c88da7	65652	ডিউটি আছে কিনা
9173ff0689	18460	শব্দ ব্যবহারের রীতি ও প্রথা রয়েছে
91745e63e6	3fae0	বলা হয়েছে সরল ভাষায়
91747268bf	12702	সংগ্রহণীয়
9174e6f002	8edea	অনলাইনে পড়ার
9174ee1262	520fb	এপিটি ব্যবহার
91757b8424	351dd	কয়েকটি গাড়ি ভাংচুর হয়
9175f2e312	1e7c6	গণতন্ত্র ও মুক্তিযুদ্ধের ধারায়
917601e05c	24f73	দৃষ্টান্তমূলক শাস্তি দেয়া হোক
917602843a	60b9d	পাঁচজনকে গ্রেপ্তার করেছে পুলিশ
91763ecfec	33814	গর্তটা বেশ ভালো করে
917644f8d5	ec91c	দান্তের ভার্জিল
91783a92b3	c0965	ঐশ্বর্যের মাঝে দেখ
9178573590	9f25e	নানির হাতে
9178b51e9c	4237e	মেয়ে আরাধিয়ার জন্মের পর অনেক দিন রুপালি পর্দা থেকে দূরে ছিলেন অভিষেক বচ্চন ও ঐশ্বরিয়া।
9178bf7eb5	0895a	তারতো খুশি থাকা উচিত
917929e4c9	e6752	মার্ক লোয়েনের পাঠানো প্রতিবেদন
917983db3a	153c9	আমাদের বাড়ির দরজায়
9179873989	d9081	রং করা পুতুল নই
9179d4abc2	46da4	কারণ হিসাবে
9179d6b72a	809cd	অথবা ৪৬৭ বছর আগে
9179d8f6cc	086dd	গ্রহাণুর গতিপথ তিনি বলছেন
917a45236d	7f71c	জহির শাহের আমলে
917b35eb74	e6203	তখনকার সেই সফল
917d00c3de	2ac82	নৌকা জলে ভাসাইয়া দিলাম
917d241844	ca088	এদেরকে নোয়াখালি সদর হাসপাতালে
917d54b410	24aed	নিয়মতান্ত্রিকভাবে পরিচালিত না হওয়ায়
917d99abbe	da6f0	কোন নির্যাতন ছাড়াই
917e01809e	4c555	১৯৪৭ সনের আগে যেরূপ ছিল
917e652c19	d2355	ঘাটে এসে ভিড়ছ
917ec345e2	c3cb3	মৌচাকে ঢিল
917f2fef5c	9c8dd	জোঁক করছেন তিনি
917fec9a6e	bc81e	নিরাপত্তা ব্যবস্থার কড়াকড়িতে
9180a78321	46da4	বড় দীর্ঘশ্বাস ছেড়ে বলে
9180bec274	4bd2c	তাকেই গিয়ে দিয়ে আসতে হয়
918150804d	d1a48	গ্রহণ করবে চলচ্চিত্রটি
918175bb9b	35ef3	ককটেলটি নিক্ষেপ করেছে
918182d576	58998	এমনটা হচ্ছে ভেব
9181a199c2	ff1c3	বেহুলা, রূপবান সিনেমাগুলো
9181a330f1	0f047	অনেক সময় খেলার উচ্ছ্বাসই
9181ba4c51	aab0f	আবারও তদন্ত শুরু করেছি
9181d28a7f	ff1eb	এ ধরণের সংবাদ শুনিনি
9181e007b4	ee7b2	শব্দ যাওয়ার উপায় নেই
9182211d4f	b8ed8	এইটুকু শিখিয়াছি যে
918227fab7	66c6b	তারেক রহমানের পক্ষে
91826f407e	5dec6	একদম সময় নেই
91827e4aae	b618b	বর্ষ শুরুর দিনটি
91828ce6d7	72649	মোটামুটি খয়েরি রং হয়ে আসলে
9182de74f9	ee994	পাঠকের দুশ্চিন্তা লাঘব করতে
91832c06b2	7f2ef	মরিয়া গেল
91834cef1c	2909b	ব্যবহার এক সংস্কৃতি
9183742b82	6ee5f	এক মন্তব্যে বাংলাদেশি হ্যাকারদের
9183a9fa13	13b6a	আড্ডায় মেতেছি আমরা
9183f83503	acb88	প্রায় ৪৫ শতাংশ সদস্য শুধুমাত্র
918422dc1e	b5fdc	তিনি দেশটিতে ফিরে গিয়েছেন
9184285929	59c73	মায়ের মৃত্যুর পর
918443bc11	61820	বিদায় নিয়েই
9184a4d9da	2bd99	রেটিনা কোচিং সেন্টার
9184b1d1fb	943de	সিংহের পা ওয়ালা
9184b55f40	e03ce	ওয়েডসনের সেন্টার থেকে
9184d9f77d	59c73	আমিও তেমন
91850fe122	12702	একবার তাদের মা-বাপকে
91857d1afc	da6f0	এ ওর কানে কানে বলেছে
9186499b4b	fcefa	দেশটিতে চার লাখ ৮০ হাজার
91866b8a37	82926	হাইকোর্ট বেঞ্চে
91867b3a36	7c272	পলাশবাড়ী
9186936126	6e6fa	খারাপ হয়
9187598d5d	03284	নিজেরাই সমাধান করেতে পারবে
91879a0a31	dba43	কাগজের ফুল
918874bc2b	bd576	একটা সাপ
9188e85a39	2bd99	কফি ও ফলফলারি দিয়ে
9188f868b8	b9a81	ডিজিটাল বাংলাদেশ' রূপান্তর করা
91892fa464	fdcba	প্রতিটি নির্বাচনের সময়ই
918a13b1c2	3bea8	কার্বনের দুইটি
918a628cb2	9fa90	ফিরিয়ে দেয়ার সিদ্ধান্ত নেয়
918acc0313	acb88	সুথিন তারাতিন গুলিবিদ্ধ হন
918b085f34	7f71c	ধীরাজের লেখা উপন্যাসের
918b24bbe4	cd3ac	ঘণ্টা খানেক পরে
918b37b6e7	f1ea4	আটজন বিক্ষোভকারী নিহত হয়েছিলেন
918b6af28a	12702	সবুজ চোখের নারীদের প্রতি
918b77e5ca	23291	তাদের ভাবনা কি
918be01c17	3fce2	এ মসজিদের ভেতরের
918ca6abae	acb88	পার্টন দ্বারা
918d210251	0b7ca	অন্ধ্র প্রদেশেও
918d710d74	18460	মনে করেন তিনি
918dd5ec76	bf530	মানুষকে শিক্ষিত করোনি বলে
918de832a9	e68af	এত বড় ছিল
918defdc40	f0f95	সংলাপের মাধ্যমে
918e1a08bd	14d25	নির্বাচন হতে যাচ্ছে
918e48b586	7a227	এতক্ষণে সে বুঝতে পারলে
918e657dbe	7aed9	শতাব্দীর মাঝামাঝি সময়
918e66318b	9351a	এ কাজে ব্যবহার করা হয়
918e84c08e	fda1a	ঐ অভিযানের সময়
918e8af019	5dd61	দিয়ে দিতে বলে
918ea65ad5	698ff	বললেন সুরভী
918f26d119	2b883	ক্যারিয়ার বিবেচনায়
918f480080	c8f7f	র্ধষণ
918f49e603	cb627	নাম দিয়েছে
918fc243f1	2bc73	চাকরির বয়সসীমা
918fffea4c	3d17c	নজরুলের চিঠি
919043000b	4c555	ভারত আইনে
919047d0e6	c4973	সাথে পাশাপাশি শুরু হয়
91904b6fa6	f7a7f	অম্ল ও ক্ষারের জলীয় দ্রবণে
91908ee92c	fb4cb	দেরিতে হলেও
919093e758	7ee9b	ভয়ঙ্কর কাণ্ড উপস্থিত হইল
91909d8b66	cf82a	ছয় উইকেটে হারায় বাংলাদেশ
91911bf222	1cb75	লঞ্চডুবির ঘটনা ঘটেছে
91916c5415	9351a	কথা ভেবে
