770047be5b	321b6	মিটিং-মিছিল করে
772441b98a	d1a48	সাংবাদিকদের বিভিন্ন সংগঠন
7724670763	ab946	এই বিচার নিয়ে
7724690c1e	b2a62	সপ্তাহে দুই-এক দিন
7724c8cd71	1c618	হরিবংশ রচিত হইয়াছিল
7724f3899c	a1201	কিনে নিলেন তিনি
7725c402f2	14d25	প্রথম সংখ্যার জন্য
77260c9189	8845d	দলসমর্থিত প্রার্থীদের
77265f3719	29089	জন্মায় না
77267faed8	c3cb3	সামান্য মনুষ্যকর্তৃক সম্পাদিত
772705b4c3	ec91c	ঐ একই নিয়ম
772788488a	4bd2c	বিভিন্ন অধ্যায়ে চোখ রাখতে হয়
77287b49b1	577fa	ব্রহ্মপুত্রের উৎস
7729b5824b	06736	বেশিদিন পয়সায় কুলাইবে না
772a0c99aa	29089	উৎপাদনের রেকর্ড করেছি
772a53668d	e3d8b	আলুর বীজ কেনেন
772ade3a27	28bb3	যম ইঁহাদিগকে ভুলিয়া থাকিবেন
772b7f7378	e2ff7	দিল্লি থেকে ভিডিওতে যোগ দেন
772bcea31a	6fb36	প্রতিফলিত রশ্মি
772bd55500	3d17c	আলোকিত ঘর
772c066660	5639c	আগে বুঝতাম না
772c26aa31	f9dfb	বয়স্ক হননি
772c6d3af2	8ba2b	৪৯ ওভার বল করে
772c7ad80f	ff970	বেশি পেঁয়াজ
772cc3d2f2	9c8dd	আগে বলল না কেন
772ccfffa2	2695f	অবরোধের কারণে রাস্তার দু’পাশে
772cf99e13	43fc0	বিপ্লব কিশোর শীল
772d27786e	5dd61	কার ঘরে
772d909815	adf01	আর অন্যদিকে
772dbd8e0a	cb842	কোন সাড়া নেই
772e022b88	d7a68	প্রথম আইপ্যাড
772e286517	2bc73	সেটা ইংরেজী গল্পের মধ্যে
772e372195	3bb15	উড়তে উড়তে
772e724523	a06a1	রাখার পরামর্শ
772e98a7df	4237e	মারি রৌপ্য পদক
772f896cd2	92bd8	আরব ঐক্য বিনষ্টের পর
772f9ff87f	4a67e	তাদের লক্ষ্য দেশীয়
772fc0716f	66dcd	ও প্রত্যক্ষদর্শী ১২০ জনের সঙ্গে
77301d991e	12702	পাঁচকড়ি দে প্রধানত
77303a807e	f600a	ব্রেসোর এক্সপেরিয়েন্স
77304cd69b	7c272	তপন সিনহা ‘ক্ষুধিত পাষাণ’ নামে
773076b2b2	3fb17	অনুগুল, ভারতের
77307c4c9e	21e54	পৃথিবীর নিকটতম
77308d77e1	f1ea4	নিম্নকক্ষ লোকসভার
7730c303a5	1a2a1	আমি তাকে অনুরোধ করলাম
7730ffdd15	4fc91	নটরডেম কলেজের দিকে
77311e16e3	d41be	মারাত্মক বিষ
77312d773a	cd3ac	তারাই বা কি বোঝাতে চাইছেন
77312f234f	7ed14	দ্বিপরমাণুক অম্লজান
7731486a0c	323f1	আদালত ভবনের সামনের
7731ae3b9a	d82d9	ঐশী রহমানসহ
7731f2bb73	976b1	এ পর্যন্ত
773264b37d	06527	চুল আপনার
77326602ac	7e1d5	টক দই
77326df4ba	6d129	অস্থিত সন্ধান তিনি পেয়েছিলেন
773298aaf0	3ccf1	এখনও এই রেকর্ড
7732de8f30	42898	অবগত নয় বলে
7732e366be	6aac8	এখানে কিছু দিন
7732fdb3c9	f143a	আওরঙ্গাবাদ শহরের
773359f52b	6fb36	ডাটাবেজ উদ্বোধনের মাধ্যমে
7733c542d3	fbb81	শোনা গেল
7733ef5fd9	1de6c	সন্ত্রাস আখ্যা না দিয়ে
7734017cad	d82d9	আপনি বাইরে যাবেন
77340917ba	0606d	হত্যা করেছিল
773468e3b9	dae88	কয়েক বছর ধরে
77347f3340	cd3ac	সবচেয়ে নামকরা মেয়েদের ইস্কুল
7734ca6df7	4dd57	সেখানে তখনো বিকালের আগুন জ্বলছিলো
7734e2be77	d9817	পরিবেশন করছেন পুলক গুপ্ত
773549c9bc	68549	তবে বিটিভির কর্তৃপক্ষ
7735afa154	0d9f1	জনমনে আস্থা ফিরিয়ে আনতেই
7735ca9f11	693cb	নীরবে কাটিয়ে দেন
7736242d04	3d17c	কথা বলেছেন দিলরুবা খান
7736464770	3ccf1	গল্পের তালিকা
7736986c90	b8fe1	ওখানে গেছেন
7736e73b01	7aed9	এ সময় তাদের সঙ্গে ছিলেন
7736f33fe0	32998	পশ্চিমবঙ্গের পুরুলিয়া জেলার
773702c377	bf530	১০ বছর কাটান
773758a33d	0d8c1	অর্ধেক রাজত্বের মতো
773869ff49	ad98d	অর্থ বরাদ্দ দিয়েছে
77390ed67c	2ee04	মায়ামি মাস্টার্স টুর্নামেন্টের
773920c7a4	616ec	তাকে কেউ
77396df455	3f493	নির্বাচন কমিশনার বৃহস্পতিবার
7739a0a90e	d2294	এটি হবে একটি মাল্টিমিডিয়া অনুষ্ঠান
7739cc450f	932bb	চিন্তার কাজটা
773a0cc75a	d1a48	বামাল ধরা পড়ে যাবার ভয়ে
773a975e77	61820	অন্য ব্যবসায় নামুন
773adf0cf8	a43b5	এবিএম মূসা তাঁর দীর্ঘ
773b7bad69	03284	তাহা অসম্ভব
773bc709de	1652d	অস্ট্রেলিয়ার প্রথম বসতিস্থাপক ছিল
773c2a81dc	bd576	উন্নয়নের ধারা
773c52f6a8	3fb17	ফ্রান্সে জন্মগ্রহণ করেন
773c7a742f	e68af	সরকারের মনে
773ce2ead0	ea5be	সবচেয়ে বেশি কষ্টের দিন
773d51270c	dec2d	এই শতকের গোড়ায় এসে
773d9ab60e	6b437	সনাতন
773e1a6f91	98b81	মৃত্যু ঘটেছে
773e3938b1	9092b	তাহা হইলেই জানিতে পারিব
773e45de45	0a87a	আসুস ল্যাপটপ কেমন
773f1be1fe	79b06	ঢাকা মহানগরীর ললাটলিখন
773f1e488b	06ea3	নেতার মধ্যে বিরল
773f383a3a	b8ed8	তারা শ্রদ্ধাভাজন এই প্রবীন নেতার
773fa5e05f	cfc65	থাকবে দুটি চেম্বার
773ff24f5a	ff1eb	যুক্তরাষ্ট্রের নিউ ইয়র্কে অনুষ্ঠিত
77403e5598	b9a81	এক-আধবেলা থাকা চলিতে পারে
7740648060	db735	আফতাব আহমেদের গাড়ির চালক
774117fc45	b4ea7	সৎ-মায়ের অত্যাচারে
77413d4d25	f83df	কিন্তু গত ১০ বছরে
7741ed340d	8143b	নতুন বছরের জন্য
774255b5e4	404ee	আখেনাতেনের গল্পে
7742a7cb0c	c9c19	প্রথম আসে ১৯৫৪ সালে
77430fd91a	239f7	হামলা করেননি
77432a0347	88654	জেহাদ
77436d2d1b	a699c	এর সংযোগ রয়েছে
77438c2682	e2c11	তাবিজের নকশা
77439d5905	e8dde	আক্রমণাত্মক এক ইনিংস
77439e6e9a	8a46d	সাধারণত ৩৫-৪০ হাজার
7743b04d7d	29f8c	গ্রেপ্তারকৃতদের মতিহার থানায়
7743f9959e	bc81e	'জোনাকীর আলো' ছবিতে
774421ae29	8c120	পুলিশ রাত সাড়ে ৯ টার দিকে
774452d327	c7a89	নুসরাত ইমরোজ তিশা
7744a1daf7	1cb75	এই অবস্থায় ভারতীয় গণমাধ্যমগুলোর
77458d33ee	943de	সংশ্লিষ্ট মন্ত্রণালয় ও বিভাগ গুলো
7745b7b21d	db181	জয়নুল আবেদিন
7747633f99	2de86	পেট্রাপোল চেকপোস্টে
774777f6d6	65652	একটি পরিত্যক্ত, জলাভূমিতে ভরা
77477afef7	0edef	তাহাতে কোন কোন ভগ্নী
7747a28283	2c9c5	কিন্তু এখনো বিচার হয়নি
7747a9742f	7d3e1	বেশি থাকে
7747b07890	1cb75	প্রায় কোটি টাকা নেয় চক্রটি
77482b736e	fcefa	আধিপত্য বিস্তারের জন্য
7748c9dbb1	23b22	নির্মিত হয়েছে নোয়াহ
77498895ca	66dcd	ভুল পথে
77499357a4	03284	করতে চাই না
7749bd51bc	7aed9	মোহাম্মদ মুসা এবারও প্রার্থী হবেন
7749c7cfdb	4c555	তবলা
7749cab8c1	b8ed8	ওজন করিলে পাঁচ মণের কম
774a37db72	92bd8	লোকমান হোসেন ঘটনার
774aa68652	ce180	ভোটদান শেষে
774aa97b7f	1e7c6	এই তদন্ত কমিটি
774b87fa06	efc0d	ছায়াপথের কেন্দ্রকে
774b91aab5	fda1a	শিখায়া দাও
774bfba0b5	e754e	নীতিমালায় সেখানে অবস্থানরত মানুষদের
774c4169e1	9065c	মেয়েদের সঙ্গে খেলতে
774cc6082b	46d49	ডাক্তার সবাই বাড়ি যায়
774cd820c1	8845d	জীবনে আমার
774d25d61b	dae88	তখনই রাস্তার পাশেই
774d7297d5	2396d	তখন তারা মেহেরাবকে
774db1b471	13b70	ওসি আশিকুর রহমান বলেন
774ded2c4c	b8bf0	অবিনাশ কার্ন ১৭ রানে
774e4c35de	7f71c	ঘরের সামগ্রী যত সুন্দর
774e763ca1	f2097	খেলার খবর বাংলা
774e942a2f	3bea8	খাবারের বিষক্রিয়ায়
774f133a23	c0d65	প্রতারিত গ্রাহকেরা
774f1adb4e	e9fa7	হরতাল প্রতিরোধে শাহবাগের গণজাগরণ মঞ্চ থেকে পূর্বঘোষিত পতাকা মিছিল করে শাহবাগের আন্দোলনকারীরা।
774f3e0756	f2b7d	কারণ মধুচন্দ্রিমা যাপনে
774f5d5540	a46e2	কেজিপ্রতি প্রায়
774f81b10d	25696	পাহাড়ি অঞ্চলে তারা
775004b8eb	b8fe1	ভারতের নিরাপত্তা বিষয়ক কর্তৃপক্ষ
7750a2a51a	3fce2	গতানুগতিক পথে চলছে
7752c002cf	2ee04	ছেড়ে যাবে না
7752cbfe47	4164f	ঢাকা সফরে যাওয়ার আগে
775366e3af	31f09	রেখে যেতে হবে
775383d562	e3f89	মেরে ফেলার কথা
7753ce52be	ab946	শ্রীলঙ্কায় অনুষ্ঠিত হয়
7753db1e74	cb1aa	মোনালিসা
77547b9143	6b437	এই দুর্ঘটনা ঘটে
7754c15fcd	4fc91	স্বল্প আয়ের মানুষদের
7754c9c109	28dfc	কাশ্মির
77551bc953	1b359	মাশরুম
77551d21be	1e7c6	বিষয়টি বিশ্বাস করে
77552a353b	28dfc	বিরত নেই
7755349ae8	5b13f	যোগ্যতা নিয়ে দলের মধ্যে
775568b13c	24aed	হালনাগাদ প্রতিবেদনে
77557d58dc	698a4	বিদায়ী প্রধানকেও প্রশংসা করতে
7755b7cf50	e9fa7	কয়েকটি জয়লাভ করেছি
7755c0fdd7	3fae0	টহল শুরু করেছে সেনাবাহিনী
7756b4108f	43fc0	দর্শকদের ধারণার
7756dbcbf2	9d46f	সাত-আট ঘণ্টা যুদ্ধের পর
7756dfdf33	3bb15	গান গাইলেও
7756f2c30c	5cb47	আমার সবচেয়ে বেশি
7757138601	2ecf8	প্রণীত গীতার ভাষ্য ও টীকা থাকিতে
77574da1f8	e7230	হয়তো কোনো কোনো ক্ষেত্রে
7757947627	9b864	ও সটান বিছানায় শুয়ে
7757bae6b3	8406e	ভারতের রাষ্ট্রপতি প্রণব মুখার্জির হাতে
7757fa6503	37e17	দ্বিমত পোষণ করলেন তার সঙ্গে
77582cb00f	baa02	সেই সময়ে দেবর্ষি নারদ
77585bfe33	80539	ছোট্ট
77595c6280	5b13f	চার ভাগে বিভক্ত
7759c0d9fd	b9122	লিগের দ্বিতীয় সর্বোচ্চ গোলদাতা
7759e41dd8	8cf95	তাদের খরচও বেশি হয়
7759e56764	23291	ভোট কেন্দ্র ও নির্বাচনী এলাকায়
7759eb93bd	a274b	জানি তুমি আসবেনা ফিরে বাসবেনা ভালো আমাকে
775a33b889	fda1a	বিশ্ববিদ্যালয়ের খরচ কমিয়ে
775a87f464	68549	তাদের পার্কে
775a9419e4	7b900	মেয়েরা মরিয়া হয়ে উঠেছে
775ae9902a	54e68	অর্থনৈতিক উন্নয়নের পরিধি কী
775af3a793	8c120	চারজন সন্দেহভাজন লোককে
775b13f78c	976b1	দক্ষিণ পূর্বে আকাশে
775b37f4bb	c0d65	সব ঠিক হয়ে যাবে
775b656c8c	967fd	যদি এড়িয়ে চলার
775be57401	0edef	সম্বন্ধে জানতে
775c0a5a2d	b618b	সরকারি বরাদ্দ পাওয়া যায়
775c68d7dd	d9817	এছাড়া অন্নদামঙ্গল
775c811e62	6e6fa	ঘরবন্দি থাকতে হচ্ছে
775c8d67fd	239f7	চোখে রক্তক্ষরণের ফলে
775ca9d92b	28dfc	গাছের চারা
775d21515c	2de86	লোভী
775d631867	4a918	ভিন্ন একটা রাজনৈতিক সংস্কৃতি
775d694fbb	15a75	১২০ থেকে ১৫০ টাকা দরের আদা
775db65fc8	3fb17	নিবন্ধন কর্তৃপক্ষসহ বিভিন্ন সংস্থার
775de4a02b	d9081	অস্ট্রীয় জার্মান ভাষায়
775e464866	c6848	পরিবর্তন করার ফলে
775ea9d129	0a7a0	বেশ সাড়া ফেলেছিলেন রাহা
775f53d287	410fa	সব রাজনৈতিক চেষ্টা
7760a6a9e1	06736	মোটা পুরুষরা
7760ab9708	01e91	আমি ভাবি-আমি অসুখী
7760d01a56	2aecc	মনজিলার মেয়েটি তাকে ভালোবাসে
7761922402	693cb	এই রায়ের মধ্য দিয়ে
7761fe448a	e2c11	লিপিবদ্ধ হয়েছে বিজয়গাথা
7762161a4b	1a2a1	ধূসর ছাতাধরা নীলচে
7762953b5e	32998	আসলেই চাঁদের কোন
7762bbf455	aa820	পরিবর্তন আনতে চাইছেন
7762d6ac49	ea8fa	স্কোয়াশ খেলোয়াড় হিসেবে
7763792999	1e7c7	নিহত অন্যরাও পুলিশ সদস্য
77637c7288	60b9d	নিজের লেখালেখি
776461e691	88654	প্রতিরোধের আভাস থাকলেও
7764e6edc0	35ef3	গোল গোল আঁখি ওরে বাবা
776555384d	f1ff2	টাকা কি গাছে ধরে?
77663a742b	fb4cb	গাইছেন বাংলাদেশের জাতীয় সঙ্গীত
77664fc42e	ee886	যখন আতঙ্কিত পথচারীরা
776655fe3e	79b06	এই প্রথম একই সঙ্গে
7766717bb7	536d9	লেখকদিগের নিকট জানিয়াছি যে
7766f2ed5e	11de3	নরেন্দ্র মোদির বিয়ে নিয়ে
7767813b7d	d5213	পাশাপাশি দাঁড়িয়ে
7767a61222	adf01	স্বাধীন বাংলা বেতারে
7767b4d756	0a87a	গিনিপিগ
77681b8002	a9a58	বিকলাঙ্গ হয়
77685ab54b	d2faf	কূটনৈতিক ও সামরিক
7768709c63	4ea73	কারণ এ মানুষটি
7768d33c95	4c555	অংশ নেবে এবারের মেলায়
7768ffb5f0	3fc9d	তার কারণ ওই ধনসম্পদ
7769143322	7a227	ঘুরে বেড়ান
77691b3ca6	65e30	জল বাধিতে লাগিল
776958cc0b	cfc65	দীর্ঘদিনের বন্ধু
7769b28538	3ccf1	নদী
7769be1fae	967fd	বেশি জল ছেড়ে দেন
776a17ea87	e6e48	এমনই একজন
776b64650a	71522	নানা বয়স, পেশা
776b95d396	c749e	গড়তে পারেনি পাকিস্তান
776c7d3bf3	11de3	শেষটায় দোকানদার
776c909383	2396d	আতাইকুলা থানায়
776cd9d6b3	e2f12	নিবন্ধন কর্তৃপক্ষসহ বিভিন্ন সংস্থার
776d715846	fd880	মাঠে থাকার প্রয়োজন
776dbd8e62	b78ec	কিন্তু রাতের ঝড়ে
776e4ec36f	3ccf1	মুখরিত প্রাঙ্গণ
776e76b2ff	b8bf0	বিদ্রোহী কবিতা
776eb377db	e754e	বলে মানিব্যাগ খুলে
776fb5cf1d	adf01	ফয়েজ কোন পথ অনুসরণ করেছিলেন
776fd7dacd	ff970	আইনজীবীরা তা করেন
7770168ccf	ec91c	অবরোধ কর্মসূচির সময়
77703adbea	9351a	সাম্প্রদায়িকতা রোমান্টিক সংবেদনশীল
777066eade	14816	নন্দিনীর চরিত্রে অভিনয় করেছেন
7770fd6754	31f09	দীপ্ত টিভি
777146ce2f	9813c	মি. রহমানের বিরুদ্ধে
77718c1cb0	cb842	ভয়ংকর প্রাণীটাকে
7771a50eb6	16877	চারিপাশের জলোচ্ছাসের উপর দিয়া
7771ddee29	7b60a	তাহারা দেবদেবীর উপর
7771f6df73	2d98b	মোহাম্মদ মোরসিকে
77723eeec5	06ea3	শুক্রবার চীনের
7772656167	efc0d	আগামী ৪ জুন থেকে
7772bfc494	1c618	স্বেচ্ছাসেবকদের সরঞ্জাম ও লোকবল
7772d12209	442b7	ঠেকাতে তারা প্রস্তুত
777311c8be	58998	দুঃশাসনের চরম পর্যায়ে এসে
7773ad087a	4ea73	শাকিলের রোগ সম্পর্কে
7773d474b1	4a67e	এদেশে ফুটপাত নাই
777420aa71	09f0d	প্রেসিডেন্ট নির্বাচনের চেহারা পেয়ে গেছে
777432da1c	5639c	দু একটা গাড়ি ভাংচুরে হবেনা
777451d886	33814	১৯৯৩ সালে থেকে
777476e80e	e50f1	জি এম কাদের বলেন
7774e7c7ee	8406e	একটি শখে পরিণত হয়
77752ca2f5	520fb	সমাধান করতে হবে
777582b66c	1e7c6	নানান দিক নিয়ে
7775a6ff31	43199	বেশ আগে থেকেই
7775bbe8ac	dec2d	নির্দ্বিধায় নিশ্চিন্তে
77763f359e	14d25	নানা রহস্য
777643b102	5dd61	তাদের মধ্যে রুরু ছিল
77764a0197	ac904	ভাষণ দেন
7776684781	b8bf0	নিহত করা অধর্ম নহে
77770845b2	31f09	বিয়ের বিষয়ে
77773e9901	3c897	অনুমান করেন
77775f73f5	18a52	মেঝের উপরে
7777e97b78	8ba2b	দুইটি হাইফেন অক্ষর
77780b590d	3d17c	তাঁর নাকি অসহ্য লাগে
77780f97e3	717bb	যিনি জন্মগ্রহণ করেছেন
7778c8b5e3	d136b	এই পুরুষতন্ত্র, পিতৃতন্ত্র
7778f63eb4	7ee9b	মানুষের দিকেই মনোযোগ দিচ্ছেন
7779053c8e	75626	শিল্পী ফকির আলমগির
777922702a	72649	দুই দিকের যান চলাচল বন্ধ
777925f913	f280a	২২তম বৃহত্তম দেশ
77793c4516	dfefa	অভিযোগ করেছেন
7779609296	d1b12	শনিবার আর্ন্তজাতিক নারী দিবসে
777972276c	c41d8	বাধাগ্রস্ত হচ্ছে
7779b30f97	e2c11	ছড়িয়ে পড়ল
7779b5c896	c8f7f	আল-কোনি: মূলত লিবীয় জনগণ
7779d74f85	8cf95	আমিও সে অনুষ্ঠানে
7779e3569a	2909b	এটা কোনো নির্বাচনী
7779f53c50	d2d71	প্রদর্শনীতে ল্যান্ড অব ফ্যান্টাসি নামে
7779f77d75	1de6c	কোনো জনসমাগমে অংশ নেননি
777a25c4ec	355c1	উপস্থিত হইল
777a5f54db	92bd8	ম্যান্ডেলা চলে যান আন্ডারগ্রাউন্ডে
777a632625	11915	সূর্যের দিকে এগোচ্ছে ধূমকেতু
777a95a1f0	3ec4d	দেখাশোনা করে
777ac2812c	91ac1	ক্যাডেট কলেজে ছাত্র থাকাকালেই
777b63f03a	7f2ef	এডিসিকে দেখলাম
777bb69a16	ab946	পৃথিবীতে হাতে গোনা কয়েকটি
777bce56af	8845d	রয়েল বেঙ্গল টাইগার
777c4389ec	80505	তিনি দীর্ঘদিন
777d2a4372	ad69a	মোরে করিয়া অর্পণ
777d392c56	f658d	মূলত এই অনুষ্ঠানকে
777d46d640	f2097	সব বয়সেই তাকে ভুগতে হয়
777d4bb485	92bb2	১২ লাখের কম
777d7bd061	8632b	৬ লাখ ৯০ হাজার টাকা
777d9b6962	58998	সিরিজ হারের
777e14ceb4	2556b	আমরা আমাদের বার্তা নিয়ে
777e917ba2	a1201	যে বনায়ন কার্যক্রমে
777fbcc072	7df87	রেখা বিশ্বাস
77802f76ed	698a4	এই পরিবহন মালিক
7780708418	1279e	সেই খেলা
7780fbd8bb	49543	চট্টগ্রাম বন্দর সচিব
77811dc0dd	4a918	কুমিল্লা ইউসুফ স্কুলের
7781a526a4	c11b1	নিজেকে সমর্পণ করেন মাথিন
7781af3dea	bdfc1	শোনো বাঘ-ভাল্লুকের নয়
7781c76dab	f1240	খেলা
7781d14fb1	5e80b	উদ্বোধন করেছেন প্রধানমন্ত্রী
778216d3c1	54e68	টাইগার
7782441e66	880ae	লোভ দেখিয়ে জিম্মি করে
778291052b	6aac8	এদের পয়সা দেব
7782b49897	a06a1	সঙ্গে সঙ্গেই
7782e8b456	ce180	দুর্গেশনন্দিনী
7783368d16	72649	বিরোধী দলের ২৭৬ জনকে
77836ee7f0	0bace	কোনো একটি লেখার
7783793282	d82d9	করতে গেলে
7783fe7890	a916a	আমরা হেসে
77846c91a6	bdfc1	শহরের সীমানার
77848ac61c	f143a	অ্যাসোসিয়েশনের একটি প্রতিনিধিদল
7784a298db	0edef	কে কত ভোট পেলেন
7784b629f5	fda1a	আর রেবেকার মতো
7785497d15	0a7a0	নওয়াজ শরিফ
77859520c2	0c39f	গণমাধ্যমে প্রকাশিত হওয়ার পর
7785dabf3c	06e62	শরীরের ৪টি জায়গা আক্রান্ত হয়
778649ee18	76329	দ্বিতীয় সেমিফাইনালে স্পেনেরই আরেকটি দল রিয়েল মাদ্রিদ মুখোমুখি হচ্ছে বর্তমান চ্যাম্পিয়ন জার্মানির বায়ার্ন মিউনিখের।
7786f902e6	7c272	বাগানটিকে দুমড়ে-মুচড়ে
77870f9799	4c1eb	এ-দায়িত্ব তাদের
77876f7bb5	ad2a0	আনন্দ দিতে
7787c1ad94	9f25e	শূন্যপদে সরকারি বিধি অনুযায়ী
7788289915	7b900	কিছু কিছু ইংরজী কথা
778838dc2c	43199	অবাধ এবং সুষ্ঠু হয়
