64008d8a6f	086dd	মিজানুর রহমান খান
641307e87f	442b7	বাংলা সাময়িক পত্রিকা
6413470b9e	767ff	মহাসড়কে কোন যানবাহন
64135d7782	2de86	বানারসকা সুবহ
641368899c	9d398	কিন্তু বৃষ্টি আইনে
64137b5f79	c1e30	প্রচার না করাই ভাল
64143e49a2	e3f89	বিশাল এবং কয়েক কক্ষবিশিষ্ট
641458ebcf	56508	মূলত মাদরাসার
6414c437e3	25117	ফিফা কাপ
6414d5cc12	54e68	আমদানি-রপ্তানি করতে পারেন
64150e9545	17dcd	অপর কোন স্থান হইতে
6415105b61	4bede	উইংহ্যামে জন্মগ্রহণকারী
641528d850	1652d	মমতা বন্দোপাধ্যায়ের
64153440c8	9d46f	গ্রামীণ ফোন
64156688ee	3f875	সব ঝামেলা শেষ
641647dd61	2ac82	বাসায় গেলাম
6416df9dd5	72649	সাক্ষাতকার নিয়েছেন
6416e1f46e	23b22	আগরতলা বইমেলা
6417ac3d86	ef915	অণুজীব তৈরি করে
6417c5156e	ee886	যে সঙ্গীবিহীন অবস্থায়
6417e2a678	5dd61	অর্থনৈতিক চাপে পড়ে
64186086ca	e6203	এখনো অনেকে
641877b72f	2ad74	মূল্যবান ভোট বাতিল হত না
6418a711ec	4f2ae	রোববার পঞ্চদশ লোকসভা ভেঙে দিয়েছেন
6418ad4751	9092b	বিকশিত হোক
6418e1c288	33814	আমার কেন অঙ্গ হৈল ভারি
6419a36a06	44322	অনেক প্রাচীন সভ্যতা
6419c1fa5f	80e98	আবার তা আটকে দিয়ে
6419d1a09d	8cf95	প্রকৃতির ছবি
6419d9499c	53396	কিন্তু তাতে
6419df1072	ef4f8	বড় ধরনের
641a85753f	509f6	কাকাতুয়া যখন ক্লাস ফোরে
641ac81a51	68549	কুর্ট শুশনিগ
641af9dcb3	ad2a0	তার নিশ্চয়তা নেই
641b02126e	a4750	১৮৯৬ সালের
641b5831e5	68ab7	এ গাছগুলো
641b5b1176	6d129	জাতির সাথে
641baab3b4	bdd05	অভিহিত হয়েছিল
641bed0153	6dff5	দেশের ভালোর জন্য
641c099984	ad050	সেন্সর বোর্ডকে যুগোপযোগী করা
641c4ce06f	d1b12	সরকারের সামান্য সদিচ্ছা
641c6cbc19	ce775	চলছে আলোচনা
641d0f1517	adf01	মামুন-জলির বিয়ের টাকা
641d56ee9f	ff970	ধারণা করা হচ্ছে
641d5edb59	d8c80	এই সংখ্যা দুলাখের মতো
641d979202	c749e	বোম্বে কলকাতা
641deef985	a0277	তখন পরিস্থিতিটা
641e3d458a	6e8cb	বাংলাদেশের মুক্তিযুদ্ধ
641ed24174	c3cb3	মহানায়িকার সুস্থতার জন্য
641f2869aa	c0965	পাঁচ দিন বিভিন্ন শাখার
641f4a0948	c5dc8	বাউলমতের প্রসার
641f9b29de	c0d65	ছুড়ে ফেলে
641fd39437	bbb22	যাদের পার্লারে যাওয়ার
641ff2ebd3	3fce2	ভিসা তথ্য
64202fd172	6973e	কেবল গান্ধর্ব ও রাক্ষস
642031a4dd	ee994	চৌবাচ্চার পাশে
642042cee6	29d44	এক গৃহবধূকে
64209b662e	fda1a	দেশের আয়তন অনুপাতে
6421342955	3fce2	জীবিত অবস্থায় সেভাবে
64213707d0	e68af	আসরে অবতীর্ণ হয়েছিলেন
64218e175a	dae88	চাঁদপুর কণ্ঠ
6421d7277a	6dff5	পরে এক পর্যায়ে
6422608efa	8b859	এক বিকেলে
6422be80bc	95907	ভোগ করতে চেয়েছিল সে
6422e3e5ee	d2d71	বলে উল্লেখ করা হচ্ছে
642398d488	4ea73	রোদ
6423ada560	1e7c6	৩২ শতাংশ বেশি
6423cef804	f6e55	পরনে শতচ্ছিন্ন টি-শার্ট
6423d6739b	06736	যে কোনো সময় আবারও
642414eb23	3fb17	ভারত যুক্তরাষ্ট্রের ব্যাখ্যার
6424bf6980	ad050	এই চিঠি পাঠিয়েছে
6424d54124	1c618	রাজাই হবেন
64250a89fd	3f875	মানববন্ধন করা হয়
6426236d08	2bc73	এমন দুইটি আসনে জিতব
6426309920	3fb17	তার বেলেনস্তারায়
6426e558b2	65e30	বাস্তবে পৌঁছতে পারে
642710328c	93d3b	সূচক ২ পয়েন্ট বৃদ্ধি পেয়ে
642791cbca	d71a3	অতিষ্ঠ হয়ে কামড়ায়
6427a70f9e	80505	এ চেতনা ক্ষুণ্ণ হয়
6427fb952d	f2b7d	অলি বুঝতেই পারে নাই
64280b6d3b	693cb	শুটিংয়ের পাটও চুকিয়ে ফেলেছেন তিনি
6428623b34	1cb75	প্রথমবারের মতো গাজীপুরে সিটি কর্পোরেশন নির্বাচন অনুষ্ঠিত হচ্ছে।
64287aa71c	8143b	বলা সম্ভব ছিল
6428c5ee0a	321b6	এসিটিক এসিড
6428cb7e33	bfac7	ওয়েস্ট ইন্ডিজের ফাস্ট বোলার
64293784ae	5a61c	আন্দোলনকারীরা সাতক্ষীরার
642a53fe71	cb627	সোনিয়া আক্তার মুন্নির ফ্ল্যাটে
642a656525	bfac7	জানি তুমি আসবেনা ফিরে বাসবেনা ভালো আমাকে
642a751551	a1d4a	সাতটি ট্রাক
642aa8198c	0a7a0	গোল গোল আঁখি ওরে বাবা
642ab9b29a	4bd2c	ঠিক স্কাইপেতে যেমন বলত
642b23835e	38ff0	বসে থাকেন আবুল
642bdc0776	2b883	শক্ত আইন প্রনয়নের কাজ করছেন
642cbf9293	32998	আজ শনিবার দুপুরে
642cf16578	6973e	মাহি সাফিউদ্দিন সাফির
642d5d43c2	32b3e	শায়ান চৌধুরী অর্ণব
642d9915f7	0606d	তৃতীয় কক্ষে স্থান পেয়েছে
642dcfe28d	9092b	যিনি স্বল্পপ্রজ
642e72c031	880ae	যখন রাজাকারদের আমরা দেখি
642ecad14b	da6f0	তারা পরস্পরের কাছে
642ed3ed02	bdfc1	প্রকাশিত হয় এই উপন্যাস
642fc7e9e2	ad050	ক্ষমা করে দেওয়া ছাড়া
643038af91	a274b	প্রাকৃতিক মুগ্ধতা
6430b7c3f3	11915	রাখতে পারেন নি
6430f283dd	72649	১১৬ বছরের দীর্ঘ
6430f5cbc7	e2f12	একই বচন
6431d4b489	f837a	দুই গাল
6431f338ad	1f733	আরো ভয়ঙ্কর হলো
643258228b	7d004	অনেক খাবার খেলে
6432762edd	a3a6d	আগ্রহীদের ৩০ এপ্রিল
6432c57289	d5f7b	স্বাগতিক বাংলাদেশ ছাড়াও
64331f5585	9f25e	অপরূপ সুন্দর হস্তাক্ষরে
64332cefe9	a06a1	ওতে চড়ে
64335fd754	a1201	কিংবা এগারোটা পঁয়ত্রিশ হওয়া
6433a6f65b	7b132	প্রণয়ে জড়ান
6433f75def	388c9	বড্ড শুকিয়ে গেছে
6434352659	42898	আটটি শুঁড়ের মত পা
643444ef55	404ee	লেখালেখির পর
64354ab747	7aed9	দেশটির ইন্টারফ্যাক্স বার্তা সংস্থাকে জানিয়েছে
64358ece9a	baa02	বাংলাদেশে ধর্ষণের শিকার নারী
64362063a9	f0f95	রোববার শিক্ষা মন্ত্রণালয়
64368d6340	80505	ফোরে উঠবে না
6436ca9acb	e6d83	দীর্ঘ আলাপচারিতায় পাভেল রহমান
643704a8a2	2d78f	উত্তম কুমার দাস
64376407b4	903fa	পাণ্ডুলিপি হাতে না-পাওয়া পর্যন্ত
6437708776	59c73	পরদিন এরকম ঘটনা নিয়ে
64387a1bb3	7ee9b	সকলেরই মনে ইচ্ছা
64394eafc2	e2c11	মৌমাছি
643967565c	8632b	অন্য এক শহরে বেড়াতে যাচ্ছি
64396e8d20	323f1	একতারার বদলে
643972c45e	91223	দু-তিনদিনের মধ্যেই
6439b202d9	8c120	এরই মধ্যে একবার
6439b2d113	cc18a	তার মায়ের নাম
643a2cb0bf	baa02	জারি ছিল কারফিউ
643ac79108	7e1d5	অনেক আগে থেকেই
643ae1d5df	ad2a0	লোকোগাথা মতে
643ae39c9d	7b132	শাহেদ আলম
643b21d059	4dd57	স্থগিত করা হয়
643b44a8f6	3faff	৩/৪ বছর মেয়াদী
643bc48ede	7f2ef	দুর্বল হয়ে পড়ে
643be84141	ee4ad	একটা বড় চাপ গেছে
643c516b9c	6da0a	হোম
643cbaa1f6	ce629	বারিধারায় বিরোধী দলীয় প্রধান হুইপ
643cd46099	ea5be	ইওরোপ ও আমেরিকার
643d09c277	eaa7a	আর কিছু নেই কোথাও
643d938497	5a61c	কুয়াশা
643d94ef30	c463d	দাঁড় করাতে
643dbd74e2	3bea8	টানতে থাকে
643df7818e	287bd	পাঁচ মিনিট বাদেই
643e103ed9	c1e30	পাকিস্তানের প্রধানমন্ত্রী হয়েছেন
643e135ff2	5dd61	এডাল্ট জোকস
643e2c0147	ff1eb	কোয়ালিফাইং রাউন্ডের
643e398773	9fa90	দাবিতে আন্দোলন
643e4d0494	d5f7b	সার্টিফিকেট আছিলো
643ec3d961	4f450	আমার এলাকায় রসুন উৎপাদিত হচ্ছে।
643ee3f399	7ec1c	এটা ভাবা নির্মাতাদের জন্য
643f03c769	17ca1	দূর্গাপুজোর ব্যবস্থা
643f7884a9	16877	সরকার যে যুক্তি দিচ্ছে
643fd735c8	ce775	পূর্ব ভারতীয় মাগধী
643fd9f33e	31f09	শেক্সপিয়র ইন লাভ
64400107b9	e68af	কষ্ট দিয়ো না
644014659f	17ca1	তবু সেসবের সঙ্গে যেন
64404379d9	e2ba2	এই রূপকল্প বাস্তবায়নের জন্য
6440d61241	b08d0	অভিযুক্তের আইনজীবীদের
644124059f	ff1c3	তরুণীর হাত ও শরীরের
644141f43d	860f4	পৌঁছতে পারছেন না
6441903151	a274b	কিন্তু নদীতে ছিল কুমির
6441c1b5c0	4bd2c	সংবাদ প্রতিদিন
6441f142ff	4f450	একজন গণিতবিদ
644211183c	d5213	ভূরাজনীতিতে তার উত্থানের
644214d890	2ee04	এখানেও প্রলয়-সুন্দরের
64422fadf7	2d78f	প্রদর্শন করা হইত
644282dbae	01e91	নিজ দেশে
644299c9ea	14d25	দোকানী বা ব্যবসায়ী প্রতিষ্ঠান থেকে
6442b6e6e0	1c618	উত্তরপ্রদেশ পুলিশ কোনও তৎপরতা
6442fa2a31	49d63	ট্রাক ভর্তি ২০টি গাছের টুকর
6443194b61	16cfb	করতে হবে
64433c34e4	e50f1	বসবাস করছেন এলাকাবাসী
644370f3ee	ce775	জবানবন্দিতে বিষয়টি উল্লেখ করেন
64438d58c8	9f25e	নূন্যতম ভাড়া ১০০ টাকা ধরা হয়েছে
6445d5ff30	d5f7b	প্রশ্রয় দেয়া হচ্ছেনা
6445f22bc7	28bb3	আমার এই টীকার উদ্দেশ্য
644640424b	ad98d	আরেকটি জঙ্গি শাসনের 'মহাসেন'
64468e13aa	5d80e	সাধারণত সচিব সভায়
644711ced1	9b864	এদের একটা শিক্ষা দিতে হবে
64479a906d	a3a6d	নিজেকে ঘোষণা দেন কেনেডি
6447a07bf6	18460	কেন তিনি আদালত এলাকায়
6447ac04cb	a3a6d	মামলার তদন্তকারি পুলিশ কর্মকর্তা
644820b788	a1201	জীবন কাহিনী
64486c98d8	7ec1c	মাঝি
6448a8a5a8	4c555	এই গবেষকদের প্রধান হলেন
6448c32e79	b08d0	আজ কেদারনাথ এলাকা থেকেই
6448e3335e	b08d0	আনামুল হক
644957d1d8	880ae	রবীন্দ্রনাথ নিয়ে
64498870a8	693cb	সহায়তাকারী যুক্তরাজ্যের
6449b946d8	10a9f	পরিষ্কার কিছু না জেনে
6449c42b43	39dd0	দৈনিক সকালের খবর
6449c866a6	76329	শহীদুল জহির শীর্ষক বই
644a4fc452	4237e	মহীউদ্দীন খান আলমগীর
644b0721c9	351dd	এবং একটি অথবা দুটি
644b19ea06	32b3e	সামগ্রিক প্রস্তুতি
644b20c439	d5213	তৈরি পোশাক শিল্পের মালিকদের
644b784a12	4a918	কোতোয়ালি থানার ওসি
644bdb94e4	2b883	সুষ্ঠুভাবে ভোটগ্রহণ সম্পন্ন করতে
644c51f592	c41d8	কবর দেবার জন্য
644cbbee13	8cf95	অ্যাপল ইনকর্পোরেটেড হচ্ছে
644cde591d	e2ba2	তারা পারিবারিক আদালতের মাধ্যমে
644d115f75	4c555	মিডল্যান্ডের একটি বাড়ী থেকে
644d742aec	b78ec	সামাজিকভাবেও এরা
644dc2714d	4f450	মেয়েরা নেবে
644de9957b	7b103	লড়াই করছে ভারতের জনগণও
644e065c10	46d49	যারা যায়
644e7b9ca2	71522	গোল গোল কাঠ
644e8c3792	bd576	ভীষণ ইচ্ছে করে
644e90d08c	b78ec	একটি সংবাদপত্রে
644eeecd46	d8c80	যে নথ দুলিতেছে
644f4af454	32b3e	প্রয়োজন হয়েছে
644fe33eac	76329	ম্যাসাজ করুন
64502e00d6	65652	দলীয় অনেক আইনজীবী
64504eb358	88654	ম্যাচ সেরা হয়েছেন কুমার সাঙ্গাকারা আর টুর্নামেন্ট সেরা হয়েছেন বিরাট কোহলি।
6450bc837b	22096	জেনেভা ক্যাম্পে বাস করা বাসিন্দাদের অনেকেই আত্মপরিচয়ের সংকটে ভুগছেন।
6450f28414	da6f0	প্রথম আইফোনের
6450f58555	1f733	সবুজে ঘেরা একটি বাড়ি
645143d31e	9813c	কয়লা থেকে
645196fb3d	7e1d5	আসেন তিনি
6451bd4584	e2ba2	আর কোনো ঐক্য না থাকলেও
6451ebf8cb	4f2ae	ওই ঘটনার পর দিল্লিতে হাজার হাজার বিক্ষুব্ধ মানুষ রাস্তায় নেমেছিলেন নারীদের নিরাপত্তা দাবি করে।
64527bd749	cfc65	সাপটা বেরিয়েছিল
6452b1c95c	7ee9b	সপ্তম খণ্ডে বলিয়াছি
6452d40a93	14816	কখনোও এক
6453296778	e43d4	এখনও এর গঠন
6453433899	6da0a	বিবিসি নিউজরুমের সঙ্গে
64537b4c28	d5f7b	হরতাল সমর্থকদের সাথে
64539a99fe	420df	তবে নানা পরিপ্রেক্ষিত বিবেচনায়
6453d8787c	778c0	রীনা বেগম এ ব্যাপারে
64542cfcd4	5dd61	সাক্ষীর বয়ানে
64546cbc79	e68af	পার্বত্য এলাকা থেকে নিরাপত্তা বাহিনীর ২৩৮টি ক্যাম্প প্রত্যাহার করা হয়েছে।
6454e825d8	e55de	মিল্কি খুন হলে
6454f67d87	ee994	শহরটির লেনিন স্কয়ারে
645587a73b	ad69a	বাল্যবিবাহ
6455ba0019	5cb47	মন্ত্রীপর্যায়ের সর্বশেষ বৈঠক হয়েছিল
6455c59e90	11de3	৫ বছর বয়স্ক কেজরিওয়াল
6455ebfce2	bc81e	ছড়িয়ে ছিটিয়ে আছে ধ্বংসস্তুপ
6456e56217	6c17f	ছবি: সুমন বাবু
645721f9f9	698a4	আন্দোলনকারীরা বলছেন যতদিন পর্যন্ত তাদের দাবি পূরণ হবে না ততদিন পর্যন্ত তাদের ঘরে ফিরে যাবার ইচ্ছে নেই।
645768e50d	4f450	জয়ী হতে চান
6457808c46	4bd2c	প্রথমবার এসেছিলেন
64584ce285	cfc65	২৪ ঘন্টার মধ্যেই এটি হয়ে ওঠে বাংলাদেশে যুদ্ধাপরাধীদের বিচারের পক্ষের মানুষের ক্ষোভ-বিক্ষোভ-প্রতিবাদের প্রধান কেন্দ্র।
64588b93af	e6d83	জখম করলেও বেঁচে যায়
64599ba4f6	274ee	কাদের মোল্লাকে
6459c38c4b	a1d4a	পালন করেছেন
645a1639e2	2fc12	চলচ্চিত্র-সংক্রান্ত আমলাতান্ত্রিক জটিলতা
645a1bd8b0	3f875	ধর্মীয় পরিচয় যে একমাত্র
645a26b376	195f7	দেখা গেছে তা ফলপ্রসূ হয়নি
645a33f3db	7aed9	এই হলো লিপির
645b269b1d	e9589	অনেক খাঁটি
645b2c638a	79b06	পেশ করা হয়নি
645bc40e55	6fb36	অসংখ্য অবধৈ গ্রাহক
645c0d8b37	3fb17	গল্পটি শুনুন
645c231dd6	c749e	জুলাই ১১, ২০০৮
645c5cc47e	91230	আসামিকে গ্রেপ্তারে
645c69cdc6	943de	অনেকের মধ্যে দ্বন্দ্ব
645ca231ee	536d9	তারপরও কেন এই অবসর
645d1a1459	e31e7	তুহিনের দাপট
645d2469fb	aab0f	৫৪ কোটি টাকা
645d3ec6e2	ac904	আর প্রায়ই মারা পড়ে
645d41829f	287bd	প্লেটোর প্রথম ডায়ালগটির নাম
645d725771	e8dde	অঙ্কুর অরোরা মার্ডার কেস
645e1c2165	91b16	যজ্ঞের আবার দাস কি
645e66edb9	4a918	বিজ্ঞ ব্যক্তি আছেন
645e868cc6	ee4ad	মেয়েদের ম্যাগাজিন পড়ে
645eb9ff31	c0d65	কারা কারা থাকবেন
645edf5dd8	cc9fd	শোষক নেই
645f436e80	acb88	তা নিয়ে প্রতিযোগিতার আয়োজন
645ff75361	80539	অনেক ক্রীড়ামোদীকে
64604d6d32	778c0	মি. ইফতেখারুজ্জামান বলেন
6460c28d85	a46e2	মহামায়া এলাকায় পৌঁছালে
64611b6094	29f8c	চ্যাম্পিয়ন হওয়ায় তাদের অভিনন্দন
646153c3e5	698a4	সাম্প্রতিক পারফরমেন্স বিবেচনায়
6461928f8a	d2294	তোমরা নিশ্চয়ই কঠিন হূদয় নও
6461aafbb7	c5dc8	শতশত যাত্রীর
6461c7a7e6	e55de	সেই সঙ্গে এখানে
6461d45d49	29d44	জন কেরি
64620791c0	693cb	নজরদারি প্যাট্রোল বসিয়েছে
646268472d	32b3e	সোমবার বিকেল ৫টা পর্যন্ত
646298a37b	3b1f7	চট্টগ্রামে চাকরি
6462f26708	22096	শরীরের জন্যে
6463096cde	420df	স্লোয়ার বল ব্যবহার করেছিলাম
64631198ea	420df	সূত্র,টীকা,পাদটীকারও
6463626ace	1f974	পুলিশ কর্মকর্তা বাবুল বলেন
6463b76a7c	68ab7	ভুল প্রমাণ করা গেলে
6463ce11a4	d7a68	আদালতে উপস্থিত রয়েছেন
64640b027d	37d7e	চুল
646465b1da	d9817	জমা রাখতাছে টাকা
64648d48fa	24aed	একটি গ্রাম থেকে
646551e704	f89d7	মোট ৩৮ হাজার ১৮৯ জন
64656580f3	39293	কক্সবাজারে ভারতের কাছে ৩-০
6465a752ab	2fc12	বেশি কিছু প্রয়োজন
6465bf5de4	f143a	ন্যূনতম মজুরির দাবি
6465eee85d	2b883	ভালোবাসলে কাঁদতে হয়
6466912031	3ccf1	একমত নয়
6466941f9e	24aed	এ শহরে
6466cf2642	e89bb	পরে সেখানেও
646780fb49	767ff	রান পাননি বললেই চলে
6467bb72fb	60b9d	ছাত্রী নিপীড়িত হচ্ছেন
6467e87858	91223	রবীন্দ্র সঙ্গীত শিল্পী মিতা হকের 'ঘোমটা তত্ত্ব' নিয়ে সামাজিক যোগাযোগের মাধ্যম ফেসবুকে তুমুল আলোচনা-সমালোচনা শুরু হয়েছে।
6467e8f4cd	9065c	এখনও সেভাবে সাড়া দেয়নি
64683a45fc	7df87	তাহলে আমাদের আরো
646842abf9	cb1aa	নারী
646859ad79	a699c	উল্টে থাকে
646864bbcc	4bede	স্বাধীন তদন্ত করানো দরকার
6468bd1858	c11b1	সংগীত পরিবেশন করেন
646915dc92	fda1a	আল্লাহ যা বলেছেন তাই সত্য
6469b767ef	bd576	গ্রীষ্মকালীন টমেটো নামে
646a002576	d7a68	অগ্রণী ব্যাংক ৩৬ লাখ ৩৯ হাজার
646a77be1f	76329	বিদ্যুতের খুঁটি ফেলে
646af13c53	767ff	রাস্তায় লোকজনকে থামিয়ে
646b0eaab9	7b900	২ হাজার মানুষের
646b422174	194f5	খোলা রাস্তা
646b97ad98	91b16	সে নিজেকে ধূপের মতো
646cc34e83	6e8cb	অনেক প্রতিযোগী
646d911ae4	84145	চালানটি পাওয়া যায়
646dc72150	75f18	ভয়াবহ ছিল সেদিন
646f9e7669	cd3ac	বেতন-বোনাস সব অনিয়ন্ত্রিতভাবে খরচ করে ফেলাটা মোটেই বুদ্ধিমানের মতো কাজ হবে না।
646ff1edda	84145	সবচেয়ে বড় ডায়াবেটিকস ওষুধ
647006d168	7d004	শিক্ষাক্ষেত্রে উন্নতির ছোঁয়া
647099c953	7aed9	বর্তমানে অবসরপ্রাপ্ত স্কুল শিক্ষিকা যশোদাবেনকে
6470fbe5ff	6c17f	এর কেন্দ্র ছিল জয়দেবপুর
64710b7493	410fa	পাঁচটি আঞ্চলিক বোর্ড রয়েছে
64712896ab	f1ea4	মাঠা, পরোটা
647130e707	ee7b2	এই দুটি কারখানা চলছিল
64714fa6ff	a06a1	পাবলিশারের সঙ্গে
6471d568e7	06e62	যোগাযোগ করে কোনো লাভ হয়নি
6471de44e1	09b32	সহপাঠীকে গেট দিয়ে ঢুকতে
6472091e21	ca088	পেট কমানোর উপায়
64726bddca	d9ba9	বড় পরিসরে
6472b6aeae	54cdd	পুলিশের সহকারী কমিশনার
6472fbb60d	06736	অ্যামেরিসিয়াম, কুরিয়াম,
6473071baa	4bede	ও নাটকে তার সঙ্গে
64732314f2	d2294	সব সময় ধরা যায়
647359baff	cb627	আরও কিছুক্ষণ
6473d62d9e	4ea73	অনুরাগ দেখা যায়
6473e339eb	903fa	তিনশ্রেণীতে বিভক্ত করিয়া
6473e57afc	590d0	ড. আকবর আলি খানের
64741f25b9	9c8dd	চর খরিচা
6474290111	b8bdd	রাতের যে কোন সময়
6474a42e01	f2780	ব্যবস্থাপনা পরিচালনা
6474b7ee67	0b7ca	অর্থায়নের জন্য
64756cb8c7	16cfb	যিনি জন্মগ্রহণ করেছেন
6475722c7a	ee994	তাঁহার প্রণীত ভারত-সাহিত্যের
6475928fcc	9065c	এভাবে এক সময়
6475f3a180	56508	টাকা থেকে
6476160d8a	37d7e	এই গ্রন্থের তৃতীয় মুদ্রণ প্রকাশিত হয়
64764e4037	d5213	গরম জামা কাপড় কেনার
64770d73df	7351e	৮ দশমিক ৯৭ শতাংশ
647761f8f3	0a87a	অবশেষে শীর্ষস্থানের দেখা পেল
6477998467	16cfb	খাবার খুলিয়া
647801031d	0e637	তারপর থেকে তিনি
64782d926f	7df87	অনেক গুণীজনের
64783260f2	4237e	একটি বৈঠকেরও
647863e86f	6da0a	টাকা ভরে উপহার দেয়
6478a94083	b9122	তখন থেকেই ফয়েজ হয়ে ওঠেন
6478b498e8	1f733	আশ্চর্য
6478b65854	2bd99	ওবামা
6478d3645c	3d17c	কবি, ভক্ত বা ঠাকুরাণীদিদিগের গল্প
64790723a3	ee4ad	এতে অধিকার পুরুষের
647957d612	ce180	হাজির হয়ে জামিন চান
6479671797	cfc65	বিক্ষিপ্ত সংঘর্ষের
6479fb6ce0	05901	তার ছন্দোময় ফুটবলের কাছে
647a5b7102	f2780	টকশোতে মিথিলা ফারজানার সঞ্চালনায়
647aa77ff3	3f875	'বিভিন্ন পর্যায়ে
647b00b336	f2097	হাসির বিষয় হয়েই আছে
647b7c6519	442b7	রানা প্লাজা ধসের ঘটনায় ক্ষতিগ্রস্তদের সবাইকে পুনর্বাসনের চেষ্টা করা হচ্ছে বলে বিজিএমইএ দাবি করেছে।
647bcda0a6	e2ba2	সবার্ধিক অধ্যয়ন
647ca6effe	698a4	শিশুলিয়া গ্রামে
647daf6a48	9e923	অন্যদিকে বাগদাদের পাশের শহর
647dc0fb6e	0d9f1	মান্নার মৃত্যুর পর
647dc3210e	2909b	গুণ মারিয়া নৌকায় উঠিল
647dd32143	ce629	জনমনে বিষয়টি নিয়ে
647dee2a38	cfc65	নির্বিকার, যেন আওড়াচ্ছি
647e6b6a69	ce629	সে আমার হবে
647e6e337a	351dd	সর্বোচ্চ শাস্তি মৃত্যুদণ্ডের দাবিতে
647f029be8	56508	মুক্তির জন্য
647f25bba9	404ee	সেইজন্যই তাদের পক্ষে
647f588a5c	c749e	খ্যাতিমান হয়ে ওঠেন
647f6bfd4d	1652d	এ ছাড়া আন্তর্জাতিকভাবে
