690004af2b	69449	বাইর হইতে পারিনা
694f1be340	f83df	নিজেকে গড়ে তুলতে চাননি
694fcde875	b9b98	ক্ষুদ্র ব্যবসায়ীদের অবস্থাও
694fd86dc2	13b70	পাট ক্ষেত
694ffbbc81	d136b	নর-নারী হানাদারদের
69500337e1	7027a	৮ হাজার ৪৬৬ পয়েন্ট হয়
6950de4c0b	86b1b	চারুকলা চত্বরে
6951117ec5	9e923	হোটেলগুলোর একটি
6951945d54	bd576	টিকলী বিয়ের বউ সাজানোর জন্য
69519a6304	860f4	কোরান হাদিসের ব্যাখ্যা
69527168b5	693cb	পরিস্থিতির কিছুটা উন্নতি হলেও
6952a21b72	e03fc	বল পেয়ে যান
6952b21080	fdcba	বিকট শব্দে
695340b4ad	80518	প্রতিষ্ঠানগুলোর একটি
695370f36b	9d7bf	১ লাখ
69537a0b49	d3e06	ভ্যালেন্টাইনের মৃত্যু বিষয়ে
6953d8e03f	3fb17	কৃষকরাই বেশি ক্ষতিগ্রস্ত হবে
69541db318	410fa	৩৩টি আসনে
695423a317	29089	আর ধন্য হইবেন না
69546291c3	7b900	গত বছরের সেপ্টেম্বরে
695465ef1b	c11b1	লাগাতার কাজের ফলে
695487e2cc	195f7	ভর্তি পরীক্ষা স্থগিত হওয়াকে
695560d067	15a75	ফলে মুক্তিযুদ্ধের সময়
6955924fa8	3faff	আমরা কিনি
6955b77204	a8710	কারণ ঘুম অসম্ভব
695608fea8	18a52	কিছুদিন যাবৎ
695643a456	ced74	রোববার সকাল থেকে
6956446a66	e9589	আমি আমার মতো
6956702e16	fcefa	নয়ন আলীসহ তিনজনকে
69567a88be	7351e	উদ্ভব করেছেন
695681c662	24f73	বিশ্ববাজারে দামের
6956fda021	4c555	উপায় নাই
69573b063f	e2c11	বাংলাদেশে সামুদ্রিক জলাশয়ের
6957632417	0696e	মুক্তিযোদ্ধাদের প্রবল প্রতিরোধে
69576cb1a8	2ee04	সেজন্য অপেক্ষা করছে
6957845332	1de6c	উল্লেখ করেন
6957a04c2a	e9759	ঐ অভিযানের সময়
6957cf3c2f	1de6c	মুক্তধারা আবৃত্তি চর্চা বিকাশ কেন্দ্রের
6958002c1a	2fe3c	বাংলাদেশের সমাজতান্ত্রিক দল বা বাসদ
69585353ff	c958a	তিনজোটের রূপরেখা
695893b105	fb4cb	কালিপুর গ্রামের
6958b12c6a	315e9	হাসপাতালে ভর্তি হলেন
69590af352	2de86	এমদাদ
6959bf660d	ee7b2	রিয়ার এডমিরাল নিজামউদ্দিন আহমেদ
6959e2d58a	5d12f	মি শ্রীনিবাসনের বিরুদ্ধে
695ab67fb5	f4ba7	টপ জিনস পরা মেয়েদের
695ac2f902	bd576	কয়েকটি মাত্র লাইন
695acd9caa	f2097	মাঝি
695bfb3a2c	d7a68	লেনিন যখন মারা গেলেন
695c0c6db8	1279e	ঠিক ছ’টায় কেমন
695c2bd0a3	ee994	তা বলতে
695c2d14a5	28dfc	খুন
695cb077fb	b5fdc	অসহায় শিশুরা
695d00b19a	d82d9	বেশ জোরে-শোরেই
695d331f85	bd576	কৃত্রিম সংকট তৈরি করে
695d964a50	315e9	খোঁজ পেয়েছ কি
695da81bc4	d5213	যখন সকল জন
695da820df	0c39f	অ্যাক্টিনিয়াম নামক
695db43317	355c1	২৫ মিলিয়ন
695db55989	c5dc8	শহীদ গোবিন্দ চন্দ্র দেব
695db67eed	17dcd	ভীষণ ইমোশনাল সে
695df89988	3ec4d	তিনটি ছবি নিয়ে
695ebd6042	b9b98	নিদারুণ হতাশায় চাপা পড়ে
695ef993b4	cf82a	বিবিসির জিম রিডের প্রতিবেদন
695f4b0efb	b8bf0	বললেও তারা
695fc5f762	c749e	মানুষের জীবন যাত্রার উপর ছিল
695ff3b4e2	efc0d	যে কোনো কিছুর বিনিময়ে
6960302357	23291	হরিণ তার
6960cdc284	b5fdc	জেরা অসমাপ্ত অবস্থায়
6960f9b1c8	88654	অর্থ হল
696123f03e	bbb22	বেসরকারি খাতে ঋণ বিতরণে
69616ea6b2	52f27	ব্যক্তি পর্যায়ে
6961ef1724	dba43	কমিয়েছে অনেক
6962288b2b	3ccf1	এভাবে আমরা
696248d727	95f83	একক প্রার্থীরা নির্বাচিত হয়েছেন
69629560f8	287bd	নানা রচয়িতা নানা দিকে
6962c84c9a	7e191	ফুল উপহারের দিন
6962eebf19	ac904	অ্যালবাম প্রকাশ পায়নি
6963ea3e2e	b52ab	এবং উল্লেখযোগ্য একটি
69644600cc	44322	আসক্ত বলে জানায়
6964494635	2ac82	তার স্কুলের
696463a0e5	88654	দিবসের মূল লক্ষ্য
696467dd24	b7be9	১২ জনের বিরুদ্ধে
6964cc9746	39293	৪৪ হাজার ৮৬৪ কোটি টাকার
6964fcd766	2ee04	যে আজ্ঞে মহারাজ
69653ac956	dafb6	বাংলাদেশ রোড ট্রান্সপোর্ট অথরিটি
6965523617	24aed	এ বক্তব্যের পর
69658cc2c0	77f82	চোখে রক্তক্ষরণের ফলে
6965c057f4	44322	মারা যায় স্কুলছাত্রী আফরোজা
6966c1005f	809cd	ইতালিয় পর্যটক মার্কোপোলো
6966dff97f	693cb	এসব সাফল্য থেকে দেখা যায়
69673a91ca	b78ec	পিএইচডি সম্পন্ন করেন
696745ac7f	e754e	গণতন্ত্রের প্রতি বিদ্রূপ হিসেবে
6967854217	e8dde	লেগেই থাকে এখানে
6967dfdb0c	f83df	গ্রুয়েনেনথাল গোষ্ঠীর
696848c4cc	d1a48	বেশি পরিচিত
6968b333ea	7df87	নারী চিরকালই
69697d0fd9	91dff	কুকি উপজাতি সম্প্রদায়
696a2789ad	7d004	২০০১ সালের নির্বাচনে
696a2ef60b	f89d7	এই সব প্রথা খুব দৃঢ়মূল
696a4efe89	5d12f	তিনি স্বাধীনতা যুদ্ধের সময়
696aded3b0	a699c	যে বক্তব্যগুলো
696c108a12	0895a	ম্যানেজ করে নিয়েছি
696c3546da	98b81	নিয়া আসতে
696ce6c41c	e50f1	তাহলে এই শক্তিকে চেনো
696df73647	54cdd	নতুন নতুন পোশাক তুলছি
696e1a7c2e	8b859	গ্রামীণ ফোন, রবি ও এয়ারটেল
696e2a5b9c	355c1	এই মামলার তদন্ত করে
696e56cb20	fdcba	৯৬টি টেস্টে
696e661d61	3faff	শতকরা ১১ ভাগ
696ec81517	8c120	পাকিস্তান-শাসিত কাশ্মীর
696ed118dc	85430	দ্বিতীয়ত লেখাটির কোথাও
696f44f65c	76329	স্মরণকালের সর্ববৃহৎ
696f679a6d	a06a1	তাঁর কারখানার মালিকানার পাশাপাশি
696f8cd301	a1201	এই সৈকতে
69704825b8	24f73	কলকাতার এক কুলীন ব্রাহ্মণ
697056f878	39293	৭৩% পুরুষ এবং ২৭% নারী
6970724dac	430b2	রাজশাহী মেডিকেল কলেজ হাসপাতাল
6970915d55	1b359	কোনো ধরনের
6970ccc161	75626	ব্রাহ্মণবাড়িয়ার কসবা
697149622d	7e1d5	অগপর সদস্য সংখ্যা
6971867f9e	0d8c1	আজ বসন্ত
69723a897b	11915	সে লক্ষ্যেই
69725cc144	35ef3	মৃত্যুর সাথে তিন মাস লড়ার পর ৮ই অগাষ্ট প্রাণত্যাগ করেন রানা প্লাজার গার্মেন্টস শ্রমিক মনোয়ার হোসেন।
69729d3e59	351dd	চার সপ্তাহের জামিন নেন
697336133b	69d9a	বেশ চ্যালেঞ্জিং
6973f5b1aa	d2294	এতে সভাপতি নিয়োগসহ
69743141d8	8143b	বেহুলা
69743715ca	f2b7d	এ দুজনকে দেখে ব্যথিত
6974c4e420	6b437	আনসার দীন নামে
69755c4211	80518	এসব নিয়ে
6975761dfd	8c120	বাঘা এ কথায়
6975bfe524	bd576	প্রত্যক্ষ ও পরোক্ষভাবে নির্যাতিত
6975e146f5	f7a7f	আজ কিছু শ্রমিক সংগঠন সে জায়গাটিতে ফুল দিয়ে নিহতদের প্রতি শ্রদ্ধা জানিয়েছেন।
6975f863e0	13b6a	শেয়ার বাজার
6976461ede	0606d	চপার থেকে ঝাঁপ মেরেছি
69766b9dba	e55de	দক্ষিণ সুদানে যুদ্ধবিরতি কার্যকর
69768e99a8	ca831	নব্য ইন্দোআর্য্য ভাষাগুলো
697732c8d5	c749e	মোটামুটি ব্যবসা করলেও
69775c4973	a0277	ব্যবস্থা নিতে
69777cba2f	2d98b	ও পরিচালক
6977a825c8	5354e	অ্যাংকর ভাট
6977fa6975	f2097	নির্বাচনের সময় যে অন্তর্বর্তী
69780e60cb	4f450	অনেকের দাঁত শিরশির করে
69788a46cc	76329	এক সন্তান নিয়ে
6978c7f32a	88654	সাকিব আল হাসান
697944f7a7	cc18a	তাদের গুরুর গ্রেফতারের
697958bb3e	2aecc	কিন্তু খুব একটা
697986b012	b8ed8	বিক্ষোভ করতে থাকে
697a414ff2	b9b98	আর্জেন্টিনায় অনুশীলন করছেন লিওনেল মেসি।
697a556adb	d71a3	৪৪ লাখের বেশি শ্রমিক
697a706ad0	35ef3	এ ব্যাপারে জেলা প্রশাসক
697a8b2b00	6a35e	থালাবাটি, বাসনকোসন
697b929c9b	7f71c	মৃত ঘোষণা করেন
697b9a849f	fdcba	পুরনো চারুকলা সোসাইটি
697bc06712	256f5	সম্পাদক ব্যারিস্টার মাহবুব উদ্দিন খোকনসহ
697bd1c231	ef915	কিন্তু এটি আসলে টিঁকে আছে
697c32da63	3fce2	একটি প্রোগাম দিয়ে
697c8c1e1e	bbb22	তার ফিকশনে
697d1c5145	7e1d5	সাকিব আল হাসানকে
697dd7347e	fcc89	এসব রাসায়নিক দুধের পুষ্টিমান
697e1b39e8	e89bb	যেকোনো দলকে
697eaff625	0606d	পড়তে হয় তাকে
697ec206e7	3ccf1	সরকারকে অনুরোধ জানানো হবে
697f3df6a5	95907	আব্বাও সালামি দিয়েছেন
6980a10b98	554fe	দাখলে মরুদ্যানের বাসিন্দাদের
69812e317d	7e191	কিছু তথ্য প্রমাণকে
6981cf764b	f0f95	১০,২১৩ মেগাওয়াট
69831970d0	d71a3	আধুনিক কবিতা
6983485066	9092b	ব্রণ নারী-পুরুষ সবার
698385396e	29d44	তারপরও গেইন করছি না
6983e76af5	4ea73	শহরে আতঙ্ক ছড়িয়ে পড়ে
6984216803	e31e7	সমর্থন নয়
69847815b5	24f73	বিরজার মন্দিরে ধরিবার জন্য
6984901e40	e6203	একটা সময় গান দিয়ে
6984d05647	bf530	দেখি আমার বউ
69850e90ad	f1ea4	কিন্তু সে কথা
69863c7018	1f733	না করতে পেরে
69874f8648	92f59	র‌্যাবের সঙ্গে বন্দুকযুদ্ধে
6987625b7d	e2ff7	কর্তৃপক্ষের কাছে অনুমতি চেয়ে
698783ffb0	dfefa	শক্তিশালীকরণ খাতে
69878713d9	acb88	আবারো তাদের বাড়িতে নিয়ে আসে
69878f94b0	91dff	খুব খুশি হয়ে
6987f10aef	ff970	আকৃতিবিশিষ্ট অনেকগুলি
698839d3a1	ad050	তাঁর বামপন্থী অবস্থান ছিল স্পষ্ট
698859cfab	ac0df	আমি ওদের সময়ে
698a1fb35f	93d3b	পোস্ট কোড তালিকা
698aa1204f	9813c	বাংলাদেশের প্রখ্যাত শিক্ষাবিদ
698abb0582	2aecc	এ জয়ের পর
698b5da200	2ac82	অঘোষ কণ্ঠনালীয় ঊষ্মধ্বনি
698b72676f	9351a	তাকে ধাক্কা দিলে তিনি
698bbd72a9	4f450	তাঁর অধিকারও নেই
698bd5513d	28bb3	নোটিশের জবাবে
698c080ba3	09f0d	মাথা ছুইয়ে
698ccd4fa6	25117	কাজে যোগদান না করে
698cdfde2a	a699c	একটি ফ্ল্যাটে
698dab66e0	65e30	উজ্জ্বল তারা
698f490811	a1201	৮৮ বছর বয়সে
698fe972d1	c3cb3	এই প্রস্তাব
69900dabac	8845d	ডিজাইন রুটস এবার ঈদে
6990b34d9c	c3cca	পূর্ণাঙ্গ পাবলিক বিশ্ববিদ্যালয়ে
6990b3b8fb	7d004	একখানা স্টিমার
6990c7860e	8143b	একজন ইংরেজ পেশাদার
6990d58ca1	d8c80	ছাপা হলো না
6990f6b2e6	dec2d	এ জন্য পত্রিকায়
69916af68c	c9c19	একটি ফোন নম্বর দেয়া আছে
