13000639d7	6973e	তারাও মাঠকর্মীদের নির্দেশনা দিচ্ছেন
13736fa54c	315e9	সাকিবের শাস্তি
1373cd65f2	0696e	শাখা রয়েছে
1373dbfde3	4a918	না পেলে
13742c01a6	9d398	আশির দশকের শেষ দিকে
137478dbfd	eecdd	আসার সময়
1375000363	8c07c	জাতিসংঘের উদ্যোগে
1375424b56	8cf95	কোনো দর্শনে পরিচালিত হবে
1375c8df77	25696	বাবা নেই মানে?
1376016f5e	404ee	সে চলে গেল
13761c1f16	e3f89	তালগাছের চেয়ে উঁচু হয়ে উঠল
1376276f23	0edef	ষড়যন্ত্র ঘণীভুত হচ্ছে
13763b0caf	323f1	আনন্দ করব
13767b8526	e00db	গঙ্গার হাওয়া এসে
1376b2af5f	3ccf1	ব্যর্থ হয়েছে
1376e02fb9	95f83	শুধু আমি নই
137700be96	dafb6	জাতীয় সংসদ সদস্য হিসেবে
13770f59ee	dafb6	তৃতীয় রাউন্ড শেষে
13772462f6	7b60a	মি ঘোষের নির্দেশে
1377262bd5	b618b	এই ব্যবসায়ী গোষ্ঠীর
1377454228	32b3e	বিশেষ মোনাজাত করেছেন
1377624629	9fa90	ঘটনার বর্ণনা শেষ করে
1377ab8827	43b04	আবেদনটি অতি সামান্য
1377c01d01	25117	ফকির আলমগির তাই গণসংগীতকে
137817814b	06e62	ইলেকট্রনের ভরবেগ
13791c8899	bdfc1	অনেক সন্দেহ উপস্থিত হইবে
1379625879	cb842	একই সঙ্গে ঘৃণা
1379b60dfd	ff1c3	আন্তর্জাতিক সম্প্রদায়কে
137a363233	1a4a9	নির্ধারণ করেছে সরকার
137a43dd4f	61820	কোন গ্রহ থেকে
137a622b25	fbb81	বোয়ালিয়া থানা
137a7e5adb	b618b	খোঁজখবর নেয়ার কাজ চলছে
137ab7f628	f600a	অ্যাক্টিনাইড হল
137b02c1c0	80539	নষ্ট হয়ে গেছে
137b0934c8	d9081	টোটেমের সভ্যতা
137b1c8a2b	3bb15	কলম্বিয়া রেকর্ড কোম্পানি
137ba9da8d	8c120	শেষ হতে না হতেই
137c03e9f4	4f450	মূল লক্ষ্য ছিল আন্দোলনের
137c2f3011	71522	হালদা নদী
137c5bbe67	e68af	এতে বিরল এক দৃশ্য
137cd6d18d	ad2a0	ফলে শেষ পর্যন্ত
137d0112c5	4fc91	হিন্দু সম্পদের দেবী
137d141694	7d3e1	ক্যান্সারে মায়ের মৃত্যু
137d281767	57d54	পুরোদমে প্রস্তুত ভক্তরা
137d397d78	2840e	৪৫ থেকে ৫০ দিনের
137e03b122	4f2ae	মিডঅফে ফিল্ডিং করা
137e0a72ba	3bea8	কোথাও আছো
137e248550	4486f	লেখকেরা পরিবেশন করেছেন
137e2f943b	d2d71	সুচিত্রা সেন ছিলেন মোহময়ী
137e805ced	6b437	আমার বইয়ের সঙ্গে রেখে দিতাম
137ea229c1	6fb36	পুরোটা ধসে পড়েনি
137f4c0282	ea5be	আগুন ধরিয়ে দেয়
138038f4ac	287bd	অক্ষত অবস্থায় পেয়েছে
138048608c	5354e	আর্ন্তজাতিক নদী
13808d368b	68549	নিলামঘরে নিলামের জন্য
13810e9076	e03fc	জেলার ১৪ উপজেলায়
1381aeb477	28bb3	প্রতিবাদ জানিয়ে
1381e4d00f	dafb6	বরকতসহ অনেকে
1381feb2b1	65652	সেটি এখনো তিনি তাঁর ব্যাংক একাউন্টে নেননি।
1382b320ae	bf530	নানা তদবির নিয়ে
13831452de	8632b	মন্ত্রী হন ১৯৭৩ সালে
1383266611	0895a	ইটপাটকেল নিক্ষেপ
138332af1c	3ccf1	আমি সেইখানে যাইয়া থামিলাম
138332bd27	f2097	সাহায্যের হাত বাড়িয়ে দিতে
138417f8fe	0e637	আপনার করতে জানে না
13845cd83a	577fa	বলছিলেন মো: সুমন
1384625c53	9b864	কোনো সুর রাগিণী দেয়নি
1384636a1c	6ee5f	এবং সে আক্রমণকারী দলটির
