b200197206	9065c	এমন জায়গায় যাইয়া বসিতাম
b20f34b3b3	ee886	চাইনিজ ভেজিটেবল উপকরণ
b20f61cd12	32998	রূপকুশলী আফরোজা পারভিন
b20f68dd03	860f4	কই পৃথিবী
b20fb041bc	d2d71	চিকিৎসকরা কর্মবিরতি ছেড়ে
b20fdcbbe4	ec91c	তারপর যে যার
b2100112c2	80505	হাতে ধরা পড়ে
b2107f5925	976b1	দুঃখের সঙ্গেই বলছি
b2109e4050	44322	শ্রীলংকার ফাস্ট বোলার
b210d170cf	315e9	পুরাণকাহিনী ধর্ম-অধর্মের
b210eab9d1	b4ea7	আমরা একটি স্বস্তির জায়গায়
b210f2cb60	153c9	সে রকম দায়ের কারণে
b2121c1188	7a227	রোমান্টিক ঘরানার
b2126e40ce	7898e	বিনিয়োগের একটি বড় অংশ
b212a141e1	287bd	দুজন নিহত ও পাঁচজন আহত
b212d90738	0895a	তাতে আমাদের মনে হচ্ছে যে
b2138061b6	13b6a	জানান মুহিত
b2138d7746	24f73	যাতে বেশি মানুষ
b213a021c7	11915	শহরগুলো থেকে
b213a4e1be	d1b12	তবে সাধারণ সভা-সমাবেশে
b214041bf7	ad69a	যানজটে নেই, হাসপাতালে নেই
b2146791bd	880ae	ভালোই কাটাকাটি করতে হয়েছে
b214b028b8	b00ba	কমবেশি আমরা সবাই জানি
b214df1737	7d3e1	নির্বাচনে অংশ নেয়ার
b21524d3af	a0277	দমনাভিযানে
b21556b513	ff970	ভালোভাবে নিতে
b2158adfc2	9fa90	দাম বৃদ্ধি
b215c3a494	4dd57	সৌর এলাকা
b215db3507	93d3b	গবেষকদের ধারণা
b215fe0520	bd576	এমনই, যে, প্রেমেও পড়তেন
b2162efb91	410fa	তার সাক্ষাৎকার নিতে আসেন
b2167e9991	e754e	বিজ্ঞপ্তি প্রকাশ করে
b2169672a3	d711f	তিনি বেশি সুবিধা পান
b21714869f	b8ed8	মাটির সাথে মিশে যাচ্ছে
b217416bb5	49d63	সান্তাহার থেকে
b217a5baf4	0606d	তত তুমি শান্তিকামী
b217b65910	5dd61	এবার সেই মুখ খুললো
b218db9ad4	5639c	সামিউলের মা হুমায়রা এশা
b21900a169	69449	এবং ডাকটিকিট বিক্রয়ের
b2191f023a	0606d	বিবিআনায় বাচ্চাদের জন্যও রয়েছে
b2192b3e58	3f493	শতাধিক স্কুল
b2197a57ae	5639c	সিলেটের করিমগঞ্জে
b21a1b7466	2ac82	মানতে রাজি নন
b21ad726fd	68ab7	সাহস কিছুই ছিল না
b21b0bed87	b08d0	এর জনপ্রিয়তাকে বাড়িয়ে দেবে
b21b1d9009	b8fe1	একশো ত্রিশ জন
b21b397a1d	12702	কোথাও মানুষ পাঠাতে পারিনি
b21b78533b	1c618	পেয়েছেন কি
b21c35d9d3	93d3b	এত কথা বলার পরও
b21d22613b	ce629	সর্বাত্মক চেষ্টা চালান
b21d4db8c4	28dfc	শেরপুর জেলা
b21da45c6c	ad98d	তেহরান
b21df47dc9	4c1eb	তার সঙ্গে ছিল
b21e84ef09	8c07c	তিনি অসংলগ্ন কথা বলে
b21e8ecc15	3fb17	অনিন্দ্যসুন্দরী নায়িকা বর্ষা
b21ed88701	8edea	কাতালুনিয়ার টিভি চ্যানেল
b21f2d145c	49d63	এ ঘটনাগুলো
b21f5e754d	49543	ময়লা-ধরা স্বপ্ন দেখতে
b21fcdd882	44322	অধ্যাপক রমেশচন্দ্র মজুমদার
b220491b4e	91230	নেপালি টিভির উচিত হচ্ছে না
b220eada8c	c11b1	পাকিস্তানি বন্ধুদের সাথে
b221c6b9b7	43199	রাজশাহী বিশ্ববিদ্যালয় শাখা
b22279eb2f	7e191	সাকুরা পরিবহন
b22294f421	ce180	সেটা বলছি না
b2233eaaf1	ff1c3	ধর্ষণ করে
b2239d8d49	b2a62	পাঁচ হাজার মাদ্রাসা আছে
b223aacf0f	43fc0	একাকিত্ব উপভোগ করেন
b224cbbe7d	efc0d	অবসর সময়ে
b224e0a8f8	b8bba	অবেস্তা ভাষা
b224feff4c	dec2d	প্রকাণ্ড আর্য্য-সমাজের
b225a7d5cd	a1d4a	নির্মমভাবে হত্যা
b2265d56e9	11915	জনগণই এ নির্বাচন
b226aeda8b	53396	কৃষ্ণ ভূমণ্ডলে
b226f01543	8cf95	আমাদের একেবারে আশা নেই
b2270ac951	239f7	সেবা দেয়
b2271e80c9	aabe7	গাড়িটি নিয়ন্ত্রণ হারিয়ে
b2273529bd	b9b98	যা ১৯৬২ সালে
b2277cfaf3	7aed9	এনএসআই র তৎকালীন মাঠ কর্মকর্তা
b2279bb782	7b132	দু ঘন্টাও
b22841b501	ff1c3	বেতন মাত্র
b228a8fbed	5e80b	রওনা হইলাম
b228cf55c7	32b3e	নতুন কিছু
b228dff190	eecdd	যখন তার বিরুদ্ধে
b229411fd3	e6e48	সাম্প্রতিক হত্যাচেষ্টার আগ পর্যন্ত
b2296d13b8	adf01	একই সময়ে নতুন নতুন
b2297881c6	bdd05	দেখা গেল
b229ed9502	01e91	বিভক্ত করা হয়
b22a59bedd	80be1	গরু প্রতি ১০০ টাকা হারে
b22aaa1d76	69d9a	জোয়ারের পানিতে তলিয়ে যায়
b22abccebd	16e96	তাদেরকে ঘটনাস্থলে যেতে
b22b02fb97	ba2f6	আট/দশজন ব্যক্তি এসে
b22b290a6f	16877	শেষবারের মতো
b22b764cb5	3d17c	অগ্রণী ব্যাংকের
b22b7d9dc6	83c53	কোন ভাল কাজ
b22b8eb94e	355c1	উদ্ধার করেছে পুলিশ
b22b9ea08d	4dd57	আমরা বহু কাল হইতে
b22c1add14	a4750	সে পরিমাণ সামাজিক এবং সাংস্কৃতিক
b22c3332ad	6e6fa	কিন্তু তাদের চেষ্টা
b22c4a967b	29089	আব্দুর রহিম ফকির
b22c725b36	ea5be	হাইকোর্টের আদেশের অনুলিপি
b22ca37238	ee994	সামনে পেলে পিটিয়ে
b22cd0df44	767ff	মায়ের ইচ্ছে অনুযায়ী
b22d09e72e	66c6b	অধীনে ডক্টর টেরা
b22d3ed17b	c2082	এই করুণ অবস্থার কারণে
b22df87d1a	b5fdc	নিরাপদ দূরত্বে বাস করে
b22e4c74df	d7a68	তাদের পোশাক
b22e663b99	da6f0	মেহরাবের হাতে
b22e7ce438	33814	বেশিরভাগ শ্রমিকের
b22ee390e3	f1240	যুক্ত হতে থাকে
b22f023d3b	e9589	শিব
b22f621c2a	88654	স্বরাষ্ট্র প্রতিমন্ত্রীর নেতৃত্বে
b22f7b13ef	b8bba	এটি সম্ভবত রাশিয়া
b22f9bcd3f	3c897	কিংবা কীভাবে ঢুকতে হয়
b22feb8d4e	16877	এই এলাকায় পাওয়া যাবে
b230a74dd7	577fa	জুলফিকার ভুট্টোর
b231bee088	7df87	ব্যক্তিগত দ্বন্দ্ব নেই
b232592832	b00ba	দ্বিতীয়ত তাঁর বলার মধ্যে
b232b95044	d82d9	আমাদের চেয়ে বেশি
b2331d73ec	69d9a	বাণী ছাত্রী জীবন থেকেই
b233411fc9	a3a6d	ঐতিহ্যবাহী জব্বরের বলী খেলার জন্য চট্টগ্রামে বুধবার দুপুর দুটোর পর থেকে হরতাল শিথিল করা হয়েছে।
b23368520f	0c39f	ওঁদের কাছ থেকে
b23405e066	65652	মহানায়িকাকে নিয়ে
b2342a0fe7	c958a	নিখোঁজ বিমানটিতে
b2344e1b84	28bb3	একটি পাতা পড়ার দুর্লভ সুযোগ
b234b36861	86b1b	কংগ্রেস দল এই প্রতিবেদন
b234f2c49a	5dd61	সরকারের তরফে
b235864f97	64092	পূর্ণ এক্তিয়ার
b235b2a52b	c6848	এ শব্দের ব্যবহার বেড়েছে
b235bd1cd5	6c17f	সিনেমার মত রাজনীতিতেও তুমুল জনপ্রিয় জয়ললিতা।
b2368d672e	ea8fa	তবে পুরো ব্যাপারটাই
b237a57782	32b3e	জাজ মাল্টিমিডিয়া
b23860a88a	68549	কৃষ্ণ বিষ্ণুর
b2387f7c96	06527	ছাড়ার কথা রয়েছে
b2390e757f	c8f7f	আবুল প্রস্তুত ছিলেন না
b239a5691c	80518	তাদের ছেঁড়া কাপড়ের ভেতর দিয়ে
b239f600bd	32998	ছবিগুলো হলো পূর্ণদৈর্ঘ্য প্রেম কাহিনী
b23a40574c	d1b12	তাদের নিয়ে ছড়ানো বিভ্রান্তি
b23a497b58	9f25e	খেয়ে-পরে
b23a870792	80505	১২টি রাজনৈতিক দল
b23af116d4	01e91	চারপাশের রাস্তায় বিভিন্ন ভবনে
b23b1d8652	93080	মেনে নিতে হয়েছে
b23b2e6319	b9b98	রাজনীতির সাম্প্রতিক খবর
b23b4705c1	79b06	কারণ শাকিব-অনন্ত’র সঙ্গে
b23b5aa46c	b2a62	নাপাক
b23b648c66	92bd8	আড্ডা দিই
b23b846b55	2bd99	বাড়তে লাগল
b23b87c66b	57d54	শট ইস্ট বেঙ্গলের
b23b9f785e	f29bf	এই হরতালে সমর্থন দেয়
b23be763d8	1e7c6	এমভি শাহ আমানতের মালিক
b23bea862b	ce775	মন খারাপ করে
b23cb91ba4	33aef	ব্যাংকের চেয়ারম্যান
b23cc5fe8e	194f5	ব্রাহ্মণদের মনকে
b23cd4e6ba	388c9	আইনি বাধ্যবাধকতার কারণে
b23d1c34ce	d2355	লাখ লাখ টাকার
b23d241f6a	61820	৬৪টি সাদা-কালো
b23e19078e	4fd66	গল্পে ধাঁধা বা রহস্যের উপস্থাপনা
b23eb00c33	f1ff2	চোরাকারবারি রয়েছেন
b23ec4100e	c958a	কারও মুখ
b23eda0501	ce629	প্রভাব ধরে রাখতে পারছে না
b23ee31513	fdcba	এই সকল অনৈসর্গিক ব্যাপার
b23f112cf9	e7230	চিঠি পাঠানো হয়েছে আজই
b23f188284	0d9f1	ধর্মপ্রাণ মুসলিম সৈয়দ
b23f8f9272	f4ba7	কেওড়াতলা মহাশ্মশানে
b23fe9df50	10a9f	জাতীয় চলচ্চিত্র পুরস্কারের জন্য
b23ff895a9	28dfc	অবৈধভাবে স্বর্ণ রাখারঅভিযোগে
b2400cea8f	46da4	বিশ্বাসী
b24037f1ec	18a52	ময়মনসিংহ
b2404361cd	80518	উৎকৃষ্ট মান সম্পর্কে
b2405527dc	903fa	গোল
b240c8ffca	fbb81	বসত ঘরের বারান্দায়
b2411cdfee	cfc65	এমন সব বক্তব্যের
b241b4c95b	da6f0	যুদ্ধে তোমাকে কেহ
b24235f89c	f0f95	আন্তর্জাতিক চলচ্চিত্রের
b242cd8ec9	ef915	অন্তর্তন্ত্রযান তিব্বতী বৌদ্ধধর্মের
b242e2040b	cf82a	কথাবার্তা না কহিলে
b243681b42	717bb	সময় খবর
b243aa3906	c0d65	পীরিতি রসেতে ঢালি
b243c02b4c	323f1	মি. হারুন সেই মামলার
b243c13f77	256f5	আমিও নিজেকে এর সঙ্গে
b243ebcf04	7b132	সেনাবাহিনীর ক্ষমতা গ্রহণকে
b243edb258	93d3b	অপ্রতুলতার কারণে
b2440680b5	bd576	খালেকুজ্জামান বক্তব্য দেন
b2442a32a1	cb842	ইউক্রেইনের পতাকা নামিয়ে
b244b850e9	767ff	এই সাধারণ একান্ত বাস্তব ঘটনাটিকে
b2451de53c	39dd0	ঊষা
b2453c631c	08458	আমাদের প্রশ্ন হলো
b2455129f6	bf530	ছবিটি অনেকদিন থেকেই
b2455d6f85	05901	১৯৮০ সালে ছিল
b2457a72bb	69d9a	পুরোনো বইয়ের বাজারে সাহাফ্লারে যেতাম
b246554845	85430	এক সময় বেরিয়ে আসে
b247dec97f	e754e	বিজেপি যখন
b247f8a524	d5213	রামকৃষ্ণ মিশনের সেবায়
b24818bd81	80518	আজ মারা গেছেন
b248b1666d	9fa90	একটা স্থায়ী উন্নতির উপর
b248cd819c	75626	বলা হয়েছে সরল ভাষায়
b2493095c6	cfc65	ট্যাক্স বলতে
b24963f7d9	8a46d	নিজেকে আটকে রাখল আজাদ
b24a0bce3f	778c0	সম্ভ্রম হারিয়েছে শতাধিক মা-বোন
b24a330d43	cc18a	লেজার চিকিৎসার সাথে
b24a79889b	282d3	বিএনপি
b24a948317	4fbd1	প্রচণ্ড চাপের মুখে রয়েছে
b24aea89af	8143b	নতুন করে
b24b118eed	d5213	কাজের চাপ থেকে
b24b9f98ab	ac0df	কিন্তু আজ সুর উঠিল যে
b24baadf6c	745b7	বিচার হয়েছিল
b24bafa4dc	fd880	সাথে অতি উপসর্গ
b24bd84c93	730c3	এটা হলো পিপলস ওয়ার্ল্ড কাপ
b24c37f224	4486f	ছেলে তাকে
b24c85a0c7	6c6bf	বউটা বন্ধ্যা হলে কী হবে
b24cdadf16	88654	রবীন্দ্রনাথের সম্পর্ক বুঝতে
b24d091f8f	91230	চৈতন্য পাইয়া কিশোর
b24d27178e	6b437	হিন্দু কনের পোশাকে
b24dfe9916	bf530	পেপার-ব্যাক বইয়ের প্রচলন
b24e107d0c	d3e06	পাক খেতে শুরু করে
b24e41a6e8	d9817	পুরাণ বর্ণিত অবতারগণের
b24e61afdd	c9c19	যোগ দেয়ার চূড়ান্ত কাজটি
b2505defdb	acb88	এমন ধারনার ভিত্তি শক্ত করেছে
b25068aea5	f2780	জেনেভায় যেসব প্রতিশ্রুতি দিয়েছিল
b250c39e6d	82926	সম্পূর্ণভাবে দূর করা হয়
b250d74698	c5479	ইমেজ সংকট নেই
b25109935d	92bb2	এবং জনগনের ইচ্ছাকে
b2512f3434	3f875	পুলিশ সুপার সাংবাদিকদের বলেন
b2514e87c3	b618b	এ পদ্ধতিটি চালু আছে
b251a26db7	f0f95	কাজের মৌলিক একক
b251a4d7fb	cb1aa	বড় বড় মিষ্টি কুমড়োর ভেতরটা
b251eab258	cf82a	একে অপরের আন্তরিকতা
b252367a54	43b04	শীর্ষ নেতারা
b2527442ce	61820	তবে ইদানীং বৈজ্ঞানিক পদ্ধতিতে
b2527ee5d7	2ecf8	অপরাজিত ২৭ রানের
b25317b902	6973e	যোজনী
b2532285d9	d9ba9	সংসদ নির্বাচনে
b2533b8c0a	61820	খিলাড়ি
b253461bae	b2a62	বাংলাদেশ প্রথম আলো
b2545fa4bf	93d3b	অহিংস গণ আইন
b2547e839d	68549	মা মেহেরুন নেছা
b255164cd8	ca831	এবং আলোচনা হবে এর উপর
b25573b287	f1ea4	ছবিটির নাম
b255c8e7f2	a7c6f	মলিন নলিন বেশ
b25624f061	39293	মৌলিক বিষয়গুলোকে
b2568374d9	d136b	অমরপাতান, ভারতের
b2568fe7a6	95907	পুরো অংশ জুড়েই থাকবে
b2569daf5a	2d78f	প্রথম আলো
b256af2639	7d133	তাজাখবর
b256e4000c	9c8dd	তার ওপর
b256f6f7bf	98b81	আরো আগ্রহী করতে
b257bea87d	153c9	কবির সুখময়ী কল্পনা নহে
b259126486	82926	মুখ তুলে চাইতে
b2595acca3	6c6bf	তাদের এই উদ্ভাবনের
b259fc2ef6	66dcd	এরপর এফবিসিসিআইয়ের বিবৃতিতে
b25a512ed8	8406e	পদ্মশ্রী পদক পাওয়া
b25a852617	33aef	যার খবর অনেকেই জানি না
b25afe1899	239f7	পাকিস্তান নিচ্ছে
b25bd41cca	69449	প্রকৃতপক্ষে যে সকল
b25c053f82	5dd61	উত্তর ইরাকের পাহাড়ি এলাকায়
b25c41bdda	aabe7	ফটোকপিয়ার,স্পাইরালমেশিন
b25c669f51	430b2	নতুন তথ্য প্রমাণ পেয়েছেন
b25caad61e	4237e	এবং লোহা সমৃদ্ধ একটি সিলিকেট
b25cc3e8b9	dec2d	ভোরের দিকে
b25d86a7f7	7d133	অপর একজন আহত ছাত্র
b25f5edb2c	ee7b2	ব্যর্থও হন
b25f8a8b26	c11b1	আগের দশকে
b25f8c3543	d2d71	রাঙ্গামাটি সদর হাসপাতালে
b25f990e50	a7c6f	সাড়ে ১০টার সময়
b25f9b7f44	0744c	অচল হয়ে যাওয়ায়
b25fc96c16	7297e	কোনও নাম নেই
b25fd45e2c	06bb7	ওয়াজ শুনতে
b26005c9f6	d7a68	বাংলাদেশে বিদ্যুৎ উৎপাদনের ক্ষমতা গত পাঁচ বছরে দ্বিগুন হয়েছে।
b26010e82a	d2294	রাজস্ব বাজেটের আওতায়
b260211017	c0965	সুরের লহরীই নয়
b2602942ac	8c120	হরতালের আগে
b26046a967	f4ba7	মেম্বার অব দি অর্ডার অব
b260e3c7a0	ec91c	ইহা পাঠ করিয়া
b261334d0c	e50f1	তিনি সওয়াল করে বলেন
b26277eee3	3ccf1	দিনাজপুর ও জয়পুরহাটের
b262dcd4fa	d5f7b	ওডেসায় সহিংসতায়
b2633f57bf	7ed14	তৈরি পোশাকের কারখানাগুলোতে
b2636a59b9	c9c19	সংবাদমাধ্যমে বক্তব্য দিয়েছেন
b263953331	d82d9	আব্দুল মান্নান বলেন, জাতীয় বিশ্ববিদ্যালয় যেভাবে পরিচালিত হওয়ার কথা সেভাবে হয়নি।
b263b9b20a	c5dc8	সে মোতাবেক
b263dbf06d	7f71c	সামান্যতম অন্যায়
b263e965eb	db735	পরিচারিকার কাজ নেন মা
b264354f42	4c555	সুখ-দুঃখে
b264496161	f0f95	বড় বিল্ডিং নামক পাহাড়ে
b2647906df	8c120	ফুলগাজী থানায় নেয়ার
b2648a5bb8	e754e	এর কিছুক্ষণ পরই
b264a12617	717bb	জন্ম ও বেড়ে ওঠা
b264ab44ec	e6203	অথবা ৬৪% জনগণ
b2654d303f	9642e	বিভাগের সহকারী রেজিস্ট্রার
b265541a32	fcc89	নির্ণয় করা সম্ভব হবে
b2669759fe	7e191	অপেক্ষা করে গালিব হাসান
b267045636	85430	মেয়েদের অস্তিত্ব
b267097997	a9a58	ভারতের রশিদ খান
b26755881a	f2b7d	সন্ত্রাস চলছে
b26785acba	086dd	এটি ব্যবহৃত হচ্ছে
b2678cb2db	c173f	জুয়া
b267ca5fdb	0e637	বাংলাদেশ সরকারের ধর্ম বিষয়ক মন্ত্রণালয়
b2680e470c	8143b	সেবা দাতা প্রতিষ্ঠান
b2682bcec8	d1a48	মেলার আমেজ
b2690a237e	a274b	সে তাঁকে বাবা বলে
b269ceaff6	8845d	মেলাতে পারছেন না
b269ec6a93	0895a	১৩ ডিসেম্বর ১৯৪৫ সাল
b269fa46c0	b8ed8	কখন ফিরবে
b26a355abd	d0c70	প্রচণ্ড তুষারপাতের কারণে
b26a5b1e95	c7a89	ছবি বানান
b26a7ae643	404ee	অগ্নিদেব বিরাজ করিবেন
b26aef9df2	f29bf	যখন এ ধরনের নববধুদের নিয়ে
b26bccd510	23b22	জড়ো হতে শুরু করেন
b26c0a8eb9	b618b	আওকাফ ধর্মীয়
b26c3eeb85	ec91c	অপরাধীরা পালিয়ে গিয়ে
b26c456819	860f4	বাকি কাজটুকু সারতে
b26c9b16ad	a1201	টেস্ট সিরিজ শুরু হল আজ
b26cf14567	86b1b	সেখানকার মানুষদের
b26d0484f4	4c555	সে কাগজে একটা প্রবন্ধ লিখলে
b26d36fc92	2ac82	নাসির হোসেন
b26da832bd	880ae	এ মৌসুমে ১৬ ম্যাচে
b26dae6681	1c618	পণ্ডিত অরবিন্দ পারেখ
b26e1787e0	11bd2	বাণিজ্যিক কার্যালয়
b26ed3d4ab	f0f95	এই জায়গাটার নাম
b26f40dc74	e03fc	হাসানুল হক ইনুও
b26f4660fa	698a4	৫৯ জেলায়
b26fcb23cb	49543	তখন ঢালিউডে চলছিল
b26fdd7c82	c0965	অনেকবার নিষেধ করেছেন
b26fe54f83	92bd8	এই দুর্বল, ক্ষুদ্র
b2706b3601	0b7ca	সংসদ বহাল রেখে হবে
b270f48b93	9fa90	কোনও দ্বিধা নেই, শোবো
b270f65627	d9b11	আমন সংগ্রহ অভিযান চলবে।
b270f66a58	4c1eb	প্রিমিয়ার শো হবে
b27122b149	13b70	হাতে তুলে নিলেন বৈঠা
b2716e9d83	8c120	বাংলাদেশে কখনই
b272577a5d	aab0f	কিছুতেই তোমার দিকে
b27273fe94	7898e	জনপ্রিয় সিনেমায় কাজ করেছেন
b273b62bf6	c5479	কিছু করতে পারবে না
b27456891b	aab0f	তার বেশিরভাগই
b2745a903a	4c555	সরবরাহ করা হয়
b274729d0c	aabe7	ক্লাসের যেমন ক্ষতি হয়
b27567121b	dae88	তাকে রংপুর মেডিকেল কলেজ
b275802f80	3fb17	ইসলামিক কবিতা
b276207eeb	2396d	রাজনৈতিক উপাদানসমূহকে
b277d9fae3	194f5	তিতুমীর কলেজ ঢাকা
b27817b633	17ca1	স্বজনদের মধ্যে
b2782c633b	410fa	জার্মানির ডেটমল্ড শহরে
b2782f86ff	80518	সোমবার বিকেল ৫টা পর্যন্ত
b2783bb63e	3f875	পতিত জমিতে
b2783e2c25	ced74	কক্সবাজারে ভারতের কাছে ৩-০
b278f8c269	d7a68	স্বর্ণের মার্কেটে ব্যবসায়ীরা
b2790642e6	82926	তবে জ্বালানি বিশেষজ্ঞ
b279c1d073	7d004	নদীতে গোসল করতে নামে
b27a421128	db181	পারিবারিক নিয়ম অনুযায়ী
b27a52b562	0b7ca	রাস্তায় ব্যারিকেড দিয়ে
b27ac0b57e	fb4cb	তবে অন্যান্য খণ্ডে কি থাকিবে
b27ac1b3f4	dec2d	অনেক সময় দাঁত
b27b42af4b	9642e	ব্যাংক থেকে
b27b5b0d82	e9589	বাঘার কান্না
b27b94551f	086dd	বিমলের কাছে যাওয়া
b27bf27071	9b864	শশী তরুর পরে বলেন
b27c406678	46d49	বয়াতি বাংলাদেশ রেডিও, বাংলাদেশ টেলিভিশনসহ দেশের বেসরকারি চ্যানেলেও নিয়মিত সংগীত পরিবেশন করেছেন।
b27c6f9d6a	8a46d	স্লোগান দিতে থাকে
b27d01c829	95f83	তার অনুলিপি
b27d4f4586	a06a1	জামায়াত ও পুলিশের সংঘর্ষে
b27d99effb	e6e48	১০ শতাংশ থেকে কমিয়ে
b27da2aefa	66b3c	গাইড লাইন আছে
b27e05b525	b8bf0	হেপাটাইটিস
b27f12d3f9	65652	কিছুকাল আগে
b27f37e76d	80e98	মেকআপ
b27f4c3758	06e62	উঠাইয়া দিলে
b27f74025a	66c6b	খোঁজ নিতে বেরিয়েছেন
b2800e0d4f	f2b7d	আদালতে উপস্থিত রয়েছেন
b28062f473	da6f0	প্রথম ভালবাসা
b280ce42ff	46d49	বাজারে এনেছে জাপান
b280fa9699	da6f0	বলেছেন নতুন শিল্পীদের
b2814fdbe9	0895a	৫৬ লাখ ও ৪ কোটি ৮৭ লাখ
b281664530	7297e	অস্ত্রগুলো সৌদি আরব
b2817386f9	ee994	দিনটি পালনের মূল লক্ষ্য হচ্ছে
b281b70e6d	ee852	প্রাকদিকের কম্পিউটার
b281cf2258	9813c	এর কৃতিত্ব বহুলাংশে দেয়া হয় বিশ্বের সবচাইতে বড় সমবায় সমিতিকে যা গড়ে উঠেছে বাস্ক এলাকাকে কেন্দ্র করে।
b28218e2ed	54e68	ঠাট্টা, ব্যঙ্গ এসব তাঁর স্বভাবের
b2823b1d4f	809cd	সাইমুম সিরিজের বই
b2823e7c7a	0c39f	জড়িত করা হয়েছে বলে
b28276e078	16cfb	আপনি অন্য লেখক দেখুন'
b2829bddd6	7f71c	দ্রুত অপরাধ মোকাবেলা
b283112564	e3d8b	নুরজাহান
b2838ff243	8c120	তা শুধুমাত্র দাপ্তরিক উদ্দেশ্যে
b28396896a	1cb75	আরও অভিযোগ করেছেন যে
b283a273b3	cb842	ফেসবুকসহ সামাজিক যোগাযোগের মাধ্যমগুলোতে
b2842f3b1f	d82d9	দ্বিতীয় তলায়
b284540334	948d3	তারা মৃতদেহ পাননি
b2845423a3	fcc89	প্রায় নিঃস্ব হতে বসেছেন
b2846de9f3	cc18a	পেশ করতে না দেওয়া হয়
b284b2a08b	536d9	কল্পিত চরিত্রের ইতিহাস মাত্র
b28544bffa	351dd	সকল পত্রিকা
b2858a3cf1	e68af	এক জরুরী বৈঠক শেষে
b285d91837	6aac8	কেবল অন্য চরিত্রের সঙ্গে
b286d0c110	93bf3	স্বস্তির নিঃশ্বাস ফেলে
b286e95607	bd576	বেনাপোল চেকপোষ্টে
b2873a9a55	66dcd	নির্বাচন ‘বিশ্বাসযোগ্য’ হয়নি
b287616a24	3bb15	নিশ্চয়তা না থাকায়
b2879275bb	f280a	এই ফ্লাইওভার
b287a3fa2d	66b3c	পার্টির প্রতিষ্ঠাতা
b288189240	e6203	লেখা আছে কাগজে
b288234e08	351dd	অস্ট্রিয়ার রাজনীতির ভিত্তি
b288804bc9	256f5	থানায় ধীরাজ ভট্টাচার্যের
b2896828d2	fd880	একটি প্রিজন ভ্যানও
b289d07a2f	29bab	সুজান বিয়ার পরিচালনা করবেন
b28a0a2fc3	2695f	বাড়ির সবাইকে বৈঠকখানায় বসিয়ে
b28a47dc36	bf530	এবার তার ব্যতিক্রম হবে না
b28a57724d	3d17c	১৮০০ সাল পর্যন্ত
b28a8f77f6	16e96	সাম্প্রতিক বছরগুলোতে
b28ad0f98c	693cb	আহত হয়েছেন বলে জানান
b28b64f406	3fb17	জল পরী
b28b8a67c2	ba2f6	জনসংখ্যা হল ১৪৩০৬ জন
b28bd9fd68	f1240	যতবার দেখেছি নিজেকে
