7800fdeaf1	29089	টেকনাফ নিয়ে যাচ্ছিলেন
7812c2372f	29f8c	আমার শান্তশিষ্ট মজলিশী মেজ জ্যাঠামশাই
7812c62ff3	3fae0	বসে থাকতে পারিনি
7812e1fbc4	bc81e	এই মহাজোট গঠনের
781304c069	e2ba2	আসা-যাওয়া করতে
781338f3ea	7aed9	ক্রিকেটের অঅনুমেয় শক্তির
7813cf9b1a	01e91	তোমায় আমায় মিলে স্টার জলসা
781479e8f4	7b103	শঙ্করের পক্ষে তা প্রায় দুর্বোধ্য
7814977e36	52578	কবিতা রচনা করেছেন
78158480a3	8406e	নেপাল সরকারের
7815861d36	c958a	হাজার বছরের
7815e7f1b3	d0c70	এ প্রকল্পের পুরো ব্যয়ই
781601147e	13b70	বলতেই অমনি
7817656eae	acb88	এবং সে কারণে
78177f13dd	8143b	সামনে এসে যায়
78179391af	6dff5	ঠিক একই কথা
7817aa7a60	e7230	ঘন ঘন হরতালে
78180efdfa	153c9	সেপ্টেম্বরে চিনিআমদানি হয়েছিল
7818dd0fce	e2ba2	গোপন
7819249ee6	f2780	আমাদের চক্ষে ভিক্ষাবৃত্তির
781926fd6d	086dd	বিষয়ের ভেতরে
7819f72549	c9c19	অর্থনীতিতে সামষ্টিক অর্থনীতির
7819ff3074	b00ba	ভর্তি হলাম
781b119dfe	b08d0	রাষ্ট্রকে নিশ্চিত করতে হবে
781b3f00ce	b9a81	সিকিউরিটির দৃষ্টিকোণ থেকে
781b837638	91223	সম্প্রতি সরকার
781b84897c	8b859	সারা দিনের মধ্যে
781c697b22	577fa	যে চলে আসে
781cf6299c	9092b	চেঁচিয়ে জিজ্ঞেস করি
781d459d58	9f25e	সবার জন্য উন্মুক্ত থাকবে
781d59ba13	e6e48	বিভিন্ন দল
781ef7fe56	7b60a	আমি কিছুকাল
781f10e801	3fce2	এতে কয়েক শ’ শিক্ষক
781f1b37c5	aa820	জিয়াউর রহমানের পর
781f589925	d41be	বিশ্বের বিভিন্ন দেশে
781fa067cc	d9081	১০ গোলে অবদান রাখেন নেইমার
782010b47b	fd880	শিল্পকলায় ‘আধুনিক’ শব্দটি
7820406138	c0d65	কিন্তু তা নয়
78208155a8	32b3e	এবং তার আগে শ্রীলঙ্কার সাথে
7820a25362	693cb	বিশ্বাস ছিলো ক্রিকেটের মাধ্যমে
7820b5923e	388c9	রবীন্দ্রনাথ ঠাকুরের স্বহস্তে লেখা মন্তব্য
7820ca06b2	32998	ও মেঝ ভাই
7820e479a9	8cf95	এ আনন্দ থেকে
78210e9dc9	410fa	ভিড় জমে গেল
78212dc5ba	06ea3	এই প্রথম গণতান্ত্রিক প্রক্রিয়ায়
78216b78cc	a3a6d	কে চেল্লায় শালা কে চেল্লায়
7821a52fca	7b103	তাঁর সন্তান আর বংশধরদের
782211a920	ef4f8	তারা এই পাঁচ বছরে
78223a0f76	eb179	সংসার চালাতে হিমশিম খাচ্ছে মানুষ
782281f9d5	b00ba	কিস্তিমাত
782323f778	aa820	ছেলেটির পরিচয়
782397d038	4fd66	বিএসটিআই সরকারি পর্যায়ে
7824114120	7351e	কোহিনূরের কথা মনে পড়ে
78241194c7	e43d4	বৃটিশ আমলের পূর্ববর্তী
782433500f	54cdd	রিয়ালের দ্বিতীয় গোলটি
7824ac9b86	404ee	থেকে ৫ জুন ১৯৭৯
7824c0bdb3	442b7	অতিআলোকীয় গতি
7824d40be9	5b13f	তৈরী এবং প্রচারে আগ্রহী নয়
782537fbe7	a7c6f	তার কারণ
78262171e3	8c120	নাকি কলসি খালি
78264e907a	66dcd	ক্রাইমিয়া সংকটের জের ধরেই রাশিয়ার সঙ্গে সম্পর্ক বাতিলের সিদ্ধান্ত নিয়েছে নেটোর সদস্য দেশের পররাষ্ট্রমন্ত্রীরা।
7826924d4c	903fa	বিষয়গুলো অন্তর্ভুক্ত করে
7826b21f71	7a227	শীতলপুর, বাড়বকুণ্ড
7826ce3704	ff1eb	মঙ্গলবার ঘোষণা করা হয়েছে
7827322316	a4750	শর্টগুলো এ রকম কুঁতে কুঁতে
782762eb7d	ee886	কেক
7827a87df4	66c6b	প্রায় ৩০০ কোটি মার্কিন ডলারের
7827b90621	57d54	মহাভারতীয় কথার সঙ্গে
7827f901d0	11915	একটি ঝটিকা মিছিল
78282ecc43	a06a1	সে বিষয়েই আলোচনা হয়
7828d9be0c	d9817	মাঠে নামি আমরা
78298bb8be	1f974	জীবন রক্ষা করতে
782993894d	4fc91	প্রচলিত আইনেই হবে
7829a72a65	2b883	বাবা দীর্ঘশ্বাস ফেলছিলেন
7829bd4eec	58998	কাটজমান অটোমেটিক ইমেজিং টেলিস্কোপের মত
7829e0d318	38ff0	মহা তৃপ্তির ব্যাপার
782a50e706	b8bdd	উত্তরা, টঙ্গী, জয়দেবপুর
782a9992dd	5d80e	তাকে ফিরে আসতে দেখে
782ab065c6	11de3	সমতা ফেরানোর
782b857512	f83df	মহাকষ্টপ্রদ
782bd919a8	f89d7	শ্বাসকষ্ট শুরু
782c6458e6	8edea	তাদের শ্রদ্ধা নিশ্চয়ই
782c7b0af9	3fb17	গানের জগতে প্রবেশ করেন
782c7e6bd5	e9589	প্রাইমারি শিক্ষক নিয়োগ পরীক্ষা
782cd4d965	f7a7f	বেশ কয়েকজন আহত হয়
782d0c3d42	b5fdc	নিজের ঝলসে যাওয়া মুখ নিয়ে ঢাকার একটি বিউটি পার্লারে অন্য নারীদের রূপচর্চার সেবা দেন ইয়াসমিন।
782d66d92c	5dd61	৭২ এর সংবিধানে
782d97acaa	c9c19	তাঁর প্রিয়পাত্র
782e993673	49d63	ছয়শোরও বেশি মানুষ
782ea8fc74	274ee	সেই সঙ্গে মুক্তবাজার অর্থনীতির
782ebc6d31	c2082	ম্যানেজমেন্টের মূল অংশগুলো
782f39172d	1de6c	মা’র সময় নেয়নি
782f638a04	f29bf	আপিল আবেদন করেছেন
7830333786	f1ea4	টুইটারে ভক্তদের প্রতি
78304a1e89	23b22	সব কিছুতেই
78308756cf	ee852	এবং সে বিষয়ে
7831bf1ca0	2ee04	প্রলয় চিচিম জানান
78320fe1c1	520fb	কোলের ওপর
78321fabcb	4fbd1	আদালত রায় প্রদান করলে
783256272a	315e9	১২ লাখ
7832a6e400	1c618	৬১ রান
7832d31047	a274b	বাংলার শিক্ষক হয়ে
7832d9b814	6aac8	রাজনৈতিক নেতৃত্ব
7833112f09	12702	ময়না তদন্তের রিপোর্টে যদি
78334ac186	d7a68	মসজিদ মন্দির
78336357dd	4f2ae	আপনি তিনগুণও বাড়িয়ে দেন
7833c0750b	a3a6d	স্থানীয় মৃত
7833f05ab8	2ad74	একটি বেসরকারি বিশ্ববিদ্যালয়ের
78343cba1d	7a227	প্রতিদ্বন্দ্বিতা করার সুযোগও পায় তারা
783446d73f	d3e06	তিন সপ্তাহ আগে
7834d46673	24aed	উহার ব্যাস সার্দ্ধ চারি ইঞ্চি
7834ee576f	ee886	তার গাছপালার তলায়
7834fb1c16	9d7bf	মতিয়া রাখা হয়েছে
7835ab0d6e	e55de	পর্যায় সারণীতে
78367fa469	59c73	আমাদের বিল্ডিংয়ের দারোয়ানকে বলা আছে
7836934324	68549	স্বপ্ন দেখতাম
7836a287ff	7ee9b	জবাবে শেখ হাসিনা উত্তর দেন
7836af5a7b	11915	এতে দর্শক প্রত্যাশা
783713f23c	17ca1	ফিতা লইয়া যাও
78373215b4	717bb	মিসরের গণমাধ্যম জানায়
78374046e8	f29bf	মির্জা গালিবের স্ত্রী
7837e639a4	9351a	আরো পরিপক্ক বলে মনে হয়েছে
7838030f7f	8edea	সিরিজ হারের
7838253190	d7a68	বাঙালি মুসলিম সমাজে
7838e6921d	a1201	একটি নাটকের কাজ করার
7838f56eda	3faff	দুর্ঘটনা হয়েছে
78398c23d8	0b7ca	ধানমন্ডি বা মোহাম্মদপুর থেকে
7839b707d6	18a52	১২টি প্রতিষ্ঠানের শেয়ার
7839c30810	6e6fa	উপচে পড়া ভিড়
783a4883ce	1652d	১৯৪৭ সালে ভারতকে দুভাগ করে আলাদা দুটি দেশ সৃষ্টি করা হয়।
783af6df0b	dec2d	দশ দিন
783b164ef8	54e68	নিজস্ব ক্যাডার বাহিনী
783baee6ab	7297e	অনুপ্রেরণা ছিল
783bea0332	15a75	বা সংশয় নয়
783c7f129e	f0f95	নির্বাহী চেয়ারম্যানের দায়িত্ব দেয়া হয়
783d2c2a4d	194f5	নিরাপত্তার খাতিরে
783e90bbdb	25117	বাংলাদেশের পৌরসভাগুলো নানান সংকটে নিমজ্জিত।
783ea82a1c	dae88	জীবন ও শিল্পের গভীর সমন্বয় ঘটেছে
783eb909c5	7ec1c	বিশেষ আদালতগুলো
783f449e82	f4ba7	লন্ডনের হামলার প্রসঙ্গে
783f592e1b	8632b	অর্থ সরবরাহ মন্ত্রণালয়ে
783f5febe1	c7705	উপেক্ষা করার মতো
783f682954	ff1eb	চাকমা সম্প্রদায়ের ক্ষমতা
783fa24da1	ce629	নিয়োগ দিয়েছেন
783fe7ce7e	4237e	প্রধানমন্ত্রীর দেয়া বক্তব্যের পর
783ff4f100	3f493	'দর্শক আমার এই নতুন ছবিটিতে
78404d8016	d3e06	ভারতের চর
78413c852b	93bf3	বিসমার্ক ছিলেন
7841977869	a4750	বমিবমি ভাব ও মাথাঘোরার
7841ab75c2	18a52	ঘন নীল বর্ণের
7841b17d48	06736	পেষণ থামিয়ে
7841d6560b	c749e	একান্ত গোপনীয়
7841edb02a	af81d	সেদিকে কতক্ষণ তাকাইয়া রহিল
784207f645	e6752	বিরোধাত্মক ব্যাখ্যার মীমাংসায়
7842e24975	38ff0	কেবল মোদির শপথ গ্রহণের
78430c71ae	9065c	আর গ্রাম-বৃদ্ধাদের মুখে
78434b4f73	3f875	হিন্দি ভাষা শিক্ষা বই
784378017b	f0f95	গাড়িচালকসহ অপহৃত হন নজরুল
7844168336	b4ea7	বৈষ্ণব পদাবলী সাহিত্যর
78469c53db	2bc73	৫০ ওভারের বিশ্বকাপ ক্রিকেট
7846c9249a	b9b98	তাদের জিম্মায় আছে
784769c3d7	ce629	ফতুয়া, পাঞ্জাবিসহ
7847b07316	33814	লর্ড কার্জন কিসের ভিত্তিতে
7847c89847	3ccf1	আলোর ঝলকানির মতোই
78488b517e	7ec1c	অভিধানে বীণা
7848d7a67a	9642e	বিভিন্ন শ্রমিক সংগঠন
7849abb174	06527	ব্যাংক
7849c88502	2c9c5	স্বামীর আর্থিক অনিয়মে
7849e7a6a1	0e637	জন্মগ্রহণকারী সন্তানের
784a4c3339	520fb	বাদশাহ মিয়া জানান
784a6ab40b	acb88	বাসের অন্য আরোহীরা
784b8d1a6c	32b3e	জলের ধারে
784bb12a20	4a67e	তিনি ঢাকা বা অন্যত্র
784c33e83f	75626	এরকম একটি সংবিধান
784c650037	23b22	ফরিদপুর জেলা
784d313076	6973e	এক প্রাচীন কবরস্থান
784d5ec374	5dd61	কওমী মাদ্রাসাগুলো নিয়ন্ত্রণে
784d91a9d5	c4973	রত্ন চিনতে
784f02922e	ce180	ইউপি চেয়ারম্যানসহ
784f0b4409	37d7e	ইন্টারনেট স্যুইট
784f7ecf4c	cb1aa	ভোট গ্রহণ পরিদর্শন করেছেন
784f86beed	ca088	ইমাম গাজ্জালি ইন্সটিটিউটের
784f9b944a	ce629	তাঁকে নিয়ে যাওয়ার
785043f301	cd3ac	পুরো ৪১ দশমিক
785074b5f5	8406e	বিবেকানন্দ বলেন
785116788e	b8ed8	বাংলাদেশ বেশি
78515c7351	7c272	তার কোন সমস্যায় পড়তে হয়নি
7852206a65	0edef	তাহলে গ্রহণযোগ্য হবেনা
7852bfdf12	5e80b	এই ব্যবসায়ীর আদি বাড়ি
7852d17783	f7a7f	জীবনানন্দ দাশের প্রকাশিত
7852ed14bd	bf530	ভারসাম্য প্রতিষ্ঠার ক্ষেত্রে
7853593ad4	f1240	গেতাফের পেনাল্টি বক্সে
78538743c7	7b900	ব্যবহার করত
7853a0e079	f2097	কারাভোগ করে
7854949146	c749e	বাবা বা পিতা নামে
7854c3c64a	321b6	কোনো নতুন বৈজ্ঞানিক ভাবনায়
7854d5221b	80e98	খেলেননি কারবেরি
785527032e	ff0fe	দুঃখজনক ব্যাপার
785559d5a4	a4750	মান্দারতলা এলাকায় পৌঁছায়
78559b1695	239f7	যেতে হচ্ছে
7855fda1d1	9f25e	প্যারিসের সঙ্গে
785615d4d6	bdd05	২৩৯ জন আরোহী সহ
78562fb6db	a3a6d	৫ হাজার টাকা
7856845793	fbb81	কী কারণে
7856b4d9b4	fbb81	সাংবাদিকদের প্রশ্নের জবাবে
78570166de	c7a89	কিশোর
7857470335	0606d	হ্যাঁ গা তোমরা কোথা যাচ্ছ
785762d0a7	ba2f6	বন্ধ হয়ে
7857933459	bdd05	দুটো দরজাই
7857f90315	cb627	গরুর মাংস বলে
785807a6a5	acb88	প্রাথমিক তথ্য প্রমাণের ভিত্তিতেই
78586abc6f	351dd	অনেক বিলাপ করিয়া
78586dd38c	43b04	তাঁর এক দাদা ছাড়া
7858902d78	16877	রাষ্ট্রীয় গণমাধ্যমে
7858b85e47	c958a	এলাকাবাসী সূত্রে জানা গেছে
7858cd9b77	2ac82	ওই চারজনকে
78593911df	153c9	ব্যয় হয় নাই
7859420300	4a918	অবরোধ চলাকালে
785983bda9	698ff	দ্বিতীয় উইকেটে
7859d1fab6	282d3	আনসার ভিডিপি উন্নয়ন ব্যাংক
785b01819e	43b04	আজকের পৃথিবীতে
785b0b3de8	3fce2	কাজ করব কিনা
785bbc930f	932bb	তবে সেনাপ্রধান যখন একথা বলছেন
785bd6dc1d	2f547	কে হতে পারে
785bf05bd2	84145	সহ্য করিয়া
785c1e258c	948d3	জৈবসার পরিবেশের
785c4b8b87	3faff	জুন মাসে
785c830f5e	d9ba9	ফতেহপুর গ্রামে
785c85903e	8b859	এত কাণ্ড করিয়াও শেষে
785cabe4da	6dff5	উচ্চ ক্ষমতাসম্পন্ন বিদ্যুৎ কেন্দ্রগুলোর
785cb544ee	f6e55	সাহারা মরুভূমি থেকে
785d07c4d5	153c9	নদীর গভীরতা
785d96c717	1a2a1	ট্রেনের ধাক্কায় হতাহতের ঘটনা ঘটে
785e09d409	351dd	সাংবাদিকদের বিভিন্ন প্রশ্নের
785e209f34	61820	এ হামলার ঘটনার
785e271025	c9c19	জড়িত দুর্বৃত্তদের
785e50f669	32b3e	মুক্তিযুদ্ধে বাংলাদেশকে সহায়তা করে
785ef9587b	f29bf	হাজেরা খাতুন এবং মাহাবুবুল রহমান
785f527992	3faff	দর্শকেরা ক্ষিপ্ত হলে
785f54a496	388c9	ভারপ্রাপ্ত পুলিশ কর্মকর্তা
785f78a4cb	967fd	উচ্চ ক্ষমতাসম্পন্ন বিদ্যুৎ কেন্দ্রগুলোর
785fa91ea7	809cd	রীতিমত অবাক
785fe1d64a	4bede	পাস্তুরিত
78606f178c	0696e	কবি আমার অভিবাদন
786071a372	80505	ঘাত-প্রতিঘাতে
7860c9d4f9	c7705	রাখা হয় শকুন্তলা
78614b5e97	d9081	দাবি আদায়
7861f24198	cb1aa	আর তার পরেই
78621f1e46	0edef	ইমরান এর আগে
78629de107	509f6	নোভা
7863d0180a	520fb	গোলাম রউফ খান বলেন
7863e56af9	1652d	বাঙালি অভিনেতা
7863eef500	fb4cb	জজকোর্ট মোড় এলাকায়
7863f83ac7	c41d8	বন্দুকের গায়ে
78646e0b93	2d98b	অভ্যেস আছে
7864745242	f4ba7	নির্জন স্থানে ছেড়ে দেয়
7864d17bd5	4bd2c	মহানগর পুলিশের সহকারী উপ-কমিশনার
78652e13d7	bcaa8	পাশ্চাত্ত্য প্রথা অবলম্বন করিয়া
78653d2b62	0d9f1	চট্টগ্রাম কলেজ
786561c63d	4bede	তা একান্তই সন্দেহের কথা
7865731ce2	71522	অপরাজিত থেকে
7865cae44f	ad2a0	যেমন আলোকিত হই
7865f62bab	7ed14	রেশমা তাকে জানিয়েছেন
786683bafc	2396d	আমহারা জাতির
78670f5c88	83c53	৫ সদস্যের আরো একটি
78672b5482	6a35e	সুরাঙ্গা লাকমলের সঙ্গে
7867f1c1c0	80539	অক্সফোর্ড বিশ্ববিদ্যালয়ে
786801a87e	bdd05	এক্সপেরিমেন্ট করতে নারাজ
7868a95b02	f29bf	রুহুল কবির রিজভীর
7868b645a9	80be1	প্রতিষ্ঠা পেতে চান
7868db7e0e	cb842	তারা ২০০৬ সালে
78695bf530	ee852	তিনি বিরোধী
786a044d25	ff970	এ শিল্পী থাকতেন মাদ্রিদে
786a70ad06	ad98d	আর কোন যান
786ac89cb8	0633a	তাঁরাই বাঙালী মুসলমান
786b17f5fc	e50f1	কলাপাড়া
786b570db7	c5479	কবিরাজি বই
786b640616	9282d	চট্টগ্রামের আঞ্চলিক ভাষায় নির্মিত
786bb08ffd	404ee	দ্বিতীয়বার পাওয়ার
786bc09053	6973e	ভ্যালরের প্রতিবেদন অনুযায়ী
786c5d4eb0	35ef3	লুকানো রয়েছে
786cadfbf3	e2ba2	তার মানে আমাদের
786cca1a5c	cc18a	সঙ্গে তুলনা করেছে, পড়োনি
786cde181b	4e900	দাখিল মাদরাসা কেন্দ্রে
786d67003a	31f2a	ইতিহাসে কখনো
786d8f2773	f280a	সুষ্ঠু পরিকল্পনার মাধ্যমে
786dbd6aa2	1a4a9	ডিজিটাল পতাকা তৈরি করেছে
786dd8fa2f	5e80b	দীর্ঘদিন পলাতক থাকার পর
786e285457	9d398	সংকটের সমাধান করতে পারেন
786e3463f3	9282d	দুধ খাওয়া ছাইড়া দিব
786e3e1d5f	491a5	অর্গাজম
786e5acef3	60f77	জবানবন্দি দেয়া শেষ করেন
786e6b5af1	e3d8b	নিহতের নাম ঠিকানা
786e9487d5	11bd2	বিশেষ কারণবশত
786ee64915	8845d	ধর্মবিশ্বাসের মধ্যে
786f13edab	2d78f	সমাধান হতে পারে
786f538c22	d3e06	৮০-টিরও বেশী রহস্যোপন্যাস লিখেছেন
786fcb0b95	ca088	মামলা বাতিল চেয়ে
786fd51edb	fcefa	মধ্যযুগীয় গেইলীয় লিপিও
786fe0b99a	9e923	পক্ষপাতিত্বের অভিযোগ
787048a052	a3a6d	ব্রেক
7870743b57	52f27	ইতোমধ্যেই অভিযোগ উঠেছে
78716b6564	6aac8	পুলিশ গিয়ে তাদের উদ্ধার করে
7871b2759a	05901	দিনে এক বার দু’বার
78731d678f	5639c	তিনি মারফতি গান করেন
787353b101	a1d4a	অনেক রকমভাবে
78736a9509	4164f	গাঁজা শূন্য হয়ে পড়েছে
78737ff213	c6848	কর্মকর্তারা আশা করছেন
787400529a	976b1	একটি মামলা দায়ের করেছেন
78741bc59b	554fe	তাঁহার কোন গুণই
78744c1154	e3f89	ডাকাতদের গ্রেপ্তার
78750d443b	7df87	অকুণ্ঠ সমর্থন
7875459075	b8bdd	ব্যবহার না করে
78759f1a13	ee4ad	তাদের বাবা-মায়ের
78762d4e16	31f09	তিনি পরিবারের সঙ্গে
787665f9bd	43b04	সেটা তেলের মত পাতলা ছিল
787689a85b	44322	ফেসবুক ফান
787702adcb	717bb	পদ্মা সেতু প্রকল্পে
78784705ab	ac904	ইসলাম প্রচারিত হয়েছে
787871c968	086dd	তাকে দুটো পরিবারের
787880ce2e	95f83	হঠাৎ করেই এক
7878d7487f	932bb	সুলেখা
7879363d30	a3a6d	জাতিসংঘের শিশু বিষয়ক সংস্থা
78797f3418	17dcd	পরস্পরবিরোধী সংঘাতের কারণে
7879adb0e2	ba2f6	ঘাড়টা বাঁকা করে
7879dc6983	d7a68	এছাড়াও বৈঠকে সিদ্ধান্ত হয়েছে
7879e7e486	3ec4d	কেউ মুখ না খুললেও
787bc59f67	3f493	শুরু থেকে আক্রমণাত্মক
787c07f7ef	2bd99	দুপুরে সুচিত্রা সেনের মরদেহ নিয়ে যাওয়া হয় তার বালিগঞ্জের বাসায়।
787c6103e1	29d44	প্রশাসনিক ব্যবস্থা
787c7bed67	8c07c	প্রস্তুতি শুরু হলে
787cf07693	6ee5f	হামলা ও ভাংচুর চালিয়েছে
787d005465	7898e	গড়ে ওঠা চরমপন্থী দল
787d1405f9	948d3	একটি বিশেষ প্রতিবেদন
787d1f1d25	b9a81	তদন্ত সংস্থা
787d263004	c9c19	এখনো বড় বড়
787d5311cb	c6848	আর্থিক অনুদান প্রদানসহ
787d9eb93f	2fe3c	এ হত্যা হোসেন করেছে
787dc9c319	2396d	২০০২ সালে তা এসে
787df472c5	ea8fa	তৃতীয় শ্রেণির ছাত্র
787e159ea7	ad98d	আমি পাথর কুড়িয়ে
787e3e964d	95907	দ্বিতীয় পর্যায়ের কাজ শুরু হয়
787e4d3ac4	4f2ae	চট্টগ্রামের কথা উঠল
787e4e808c	d2d71	যেন পবনে সেই ধ্বনি বহিল
787ecfebe3	4ea73	১৯৭২ সালে তিনি পিরোজপুরে প্রথম মাহফিল করেন।
787f5f1656	79b06	রোববার কর্মকর্তা কর্মচারীরা
7880432980	2ecf8	পৃথিবীর নামকরা বিজ্ঞানীরা
788074a2bb	1cb75	ঢুকে গেল
788098ffdb	b8bf0	জানিয়েছে র‌্যাব
78809c3972	4237e	এটা আমার একটা প্রিয় চা
78814c85e0	f143a	ভারতের প্রেসিডেন্ট নির্বাচিত হয়েছেন
788166249c	f9dfb	সন্তান না হলে স্বামীর মর্যাদা খাটো হতো আর স্ত্রীকে বলা হতো অপয়া।
7881e266dd	cfc65	একই সঙ্গে রাজনৈতিক
7882237876	b78ec	কাঠামোগত ত্রুটি ছাড়াও
7882553946	2fe3c	সামরিক শাসন জারির
78832e0240	698a4	তার আঁচটুকুও
7883a3ae84	6fb36	সেটিকে গোলে
7883bf4e3a	bbb22	কুয়েত
788491b819	9351a	তারপর গত
7885ab689a	7ee9b	কলুর ঘরে মস্ত ঘানি
7885bc5736	7d133	বিহারে বসবাসরত
7885e72ecd	adf01	ইহুদি নাছারারা
7886171914	2396d	ওর মুখে লজ্জার রক্তিম ভাব
788644f18a	43b04	সফরকারীদের মধ্যে ছিলেন
788791ab27	11915	দ্বিতীয় শ্রেণির ছাত্র
78879aaac9	56508	তাঁর অসহায় পাঠক
7887bf3d0d	6973e	শ্রমিক তৈরির কারখানা
7888529308	6fb36	তারপর বিচার করে
7888a43902	0895a	৬২ হাজার মার্কিন ডলারের
78892cbbf4	76329	মোহনের একবার ইচ্ছে হলো বলে
788a37a13c	9d46f	এবং নায়ক হিসেবে ফিরছি
788a8076db	2aecc	রদ হয় বঙ্গভঙ্গ
788aec1205	616ec	কাসামাস নামের এক ছোট গ্রামে কুস্তির ময়দানে নামার বিরল সুযোগ পাচ্ছেন মহিলারা।
788b0791fa	f4ba7	বেণু ক্লাসের সবচেয়ে
788c9510af	d9ba9	জিততে না পারলেও
788d34509d	ff1eb	তা ছাড়া একেবারে নিজস্ব ভঙ্গিতে
788d41d444	8edea	মারা যায় স্কুলছাত্রী আফরোজা
788d953ef5	bbb22	গাড়ীতে এবং পায়ে হেঁটে
788da11040	ad050	আমাদের দক্ষ লোকের অভাব ছিল
788da7f46b	153c9	সাত মাস বয়সে
788de8520d	1a2a1	উন্নয়ন করতে হলে
788e34ac71	616ec	কথা হল
788e7056a8	13b6a	ভার্জিনিয়া অঙ্গরাজ্যের
788f3be7c8	4dd57	স্থিতমান পরিমাণে
788f77b545	b8fe1	দুরবস্থার মধ্যে পড়তে যাচ্ছে
7890071ad6	33814	বাবুল মিয়ার মেয়ে
7890085420	c3cb3	বেশ অস্পষ্ট, বিমূর্ত
7890339447	f2097	আমি প্রতি সপ্তাহে
78903b20e8	239f7	একেবারে লায়েক করে
78904227ef	ac904	সেখানে এধরনের মতবাদ
7891b48473	948d3	পরে মানবতাবিরোধী অপরাধের অভিযোগে
7892595c84	d2d71	কার্যকরী ডেটারেন্স
7892c5d0f9	e7230	যশোরের সহকারী রিটার্নিং কর্মকর্তা
7892ef6d16	4c555	সামরিক পদক্ষেপের বিষয়ে
7892fca38c	8a46d	কিছু জানতে দেননি
78936751b4	65652	এই সকল নামের সঙ্গে
7893a15c6b	52578	তাদের অনুপস্থিতিতেই
7893b84754	eaa7a	শত্রু নিধনের পর
7893fa7b0f	c7a89	শিক্ষকের কর্তব্য যে
7893fe350f	25696	ভালো ব্রান্ডের কন্ডিশনার
7894076c10	e68af	সেখানে যুক্তিকে বসিয়েছেন
78944eeb39	f4ba7	হলফনামায় প্রথম বার স্ত্রী হিসেবে
7895c09934	5dd61	শশী
7895f19762	4e900	দিলরুবার বিয়ে হয়ে যাওয়ার পর
78967305fe	870e3	মধ্যে সম্পর্কের কথা
