8c00776904	11915	কেন্দ্র সবুজ সংকেত দিলেই
8c234b4d37	693cb	তাঁরা বাঙালী মুসলমান জনগণের সঙ্গে
8c235dbb17	0d9f1	আবহাওয়া অধিদপ্তরের মূল ভবনে
8c238dbd5f	2909b	অহল্যা রাত্রি বা
8c23e24f16	089ef	এছাড়া শহিদুল
8c24bf57d9	2d78f	আশা করছি তার নেতৃত্বে
8c24e774f1	3fc9d	মেয়েদের আধমরা করে
8c2593fde7	3fae0	সবুজ বনের হরিৎ টিয়ে
8c25e147bd	10a9f	কুশল সিলভাকে
8c25ed5a0f	b78ec	সংবিধান আগের জায়গায়
8c25f33c79	520fb	এবং সাংবাদিকদের
8c25fd3dc3	ad050	সেটি এখনো তিনি তাঁর ব্যাংক একাউন্টে নেননি।
8c265fad5e	52f27	টাংগাইল বার্তা
8c273e024d	0633a	কোনো সুযোগই তারা পায়নি
8c277f251f	76329	এতে করে যে বিষয়গুলো
8c2796b946	0f047	কোর্স কারিকুলাম
8c27ac2b3b	9065c	চাপ অনেকখানি
8c27eab577	9fa90	সাভারে এক স্বর্ণ ব্যবসায়ীর বাড়িতে
8c280094f2	1cb75	সোমবার দেশের
8c2857e2ef	3bea8	প্রধান আন্তর্জাতিক বিমানবন্দরটি অবস্থিত
8c2890619c	16cfb	প্রায় বুকের উপর
8c2912fa5f	efc0d	অনেকটা দূর পর্যন্ত সাঁতরেছে দুজন
8c29285c1e	6973e	কিন্তু বঙ্গভঙ্গের সময়ে
8c29617e08	f0f95	যোগদান করেছিলেন
8c29735093	f837a	আরো কিছু সংশোধন
8c29b0926e	b5fdc	ব্যাপক সমালোচনার মধ্যে
8c29b5ac4a	0d9f1	গত ৪ অক্টোবর
8c29e38f24	c8f7f	গলার চেনসুদ্ধু নিয়ে
8c2a382b11	ced74	নানা ধরনের পিঠে
8c2a9cb379	1a4a9	নারী দিবসের জন্য
8c2aa899f0	d9ba9	১৯৯৩ সালের দিকে
8c2ac3249f	f0f95	চেয়ারম্যান সেলিম রেজা
8c2b070ed8	07660	আবাসিক হোটেল
8c2b17d0b1	efc0d	অর্ধপরিবাহী এক বিশেষ ধরণের পদার্থ
8c2ba53f3d	84145	ধর্মঘট প্রত্যাহার করেছেন
8c2c2e16a6	0606d	বেরিয়ে আসতে পারে
8c2cd31ef5	e6203	শিরোপা উঠবে সিদ্দিকের হাতেই
8c2dc5a25a	7c272	জালে বল পাঠান
8c2dc9b1d9	4c1eb	দাদার বলা নামটি
8c2df8c910	83c53	সোমবার এই দ্বীপগুলোর
8c2e073f44	72649	পশ্চিমবঙ্গ সরকারের খাদ্যমন্ত্রীও
8c2e2c0525	4fc91	ছায়া-ছবি
8c2e3bea92	9fa90	সোমবার সকাল সাড়ে ১১ টায়
8c2f092495	ad2a0	বুঝানো হয়ে থাকে
8c31762dc0	976b1	আর কয়দিন বেঁচে থাকব
8c31a0f8c4	c7705	মুঘল সাম্রাজ্যের পূর্বসূরি
8c32201453	38ff0	ফার কেমিক্যাল
8c32667427	b9a81	তার ডক্টরেট করা
8c3275434e	0895a	বাংলাদেশের সীমানারমধ্যে
8c32bfba81	49d63	নেতৃত্বে চলে আসতে পারে
8c337b4814	43199	ইন্টারনেট
8c337dcc5d	d41be	শ্রমিক নেতারা জানিয়েছেন
8c341c8dc9	e2c11	কিন্তু না বলিলেও নহে
8c35063276	8cf95	একটি গান রেকর্ডিংয়ের মাধ্যমে
8c3514d20a	3c897	শুক্রবার পরীক্ষা-নিরীক্ষা চালিয়ে
8c359c0022	d711f	বিষয়টি অবহিত করেন
8c35b1ded9	d711f	এমন কিছু কাজ করতে হবে
8c35fafc70	aabe7	বাংলাদেশে এসে
8c3632990d	f29bf	প্যানেল সদস্যদের সঙ্গে
8c364ba80c	68549	সব কথা আপনাকে বলবার
8c365a0597	287bd	শেষ হয়ে এসেছে
8c365bae6d	8edea	কাঁপতে শুরু করল
8c366d484b	33814	এটি বানাতে খরচ পড়েছিল
8c3693081c	e6203	তিনি ধীরে-ধীরে হয়ে উঠেন
8c36b88c1a	5dd61	কিংবা ঠুনকো কার্যকারণকে
8c36f26629	a3a6d	প্রথম এক ঘন্টায় প্রায় দুই কোটি লোক ওয়েবসাইটে টিকিট কেনার চেষ্টা করলে ওয়েবসাইট অকার্যকর হয়ে পড়ে।
8c3734a0fd	cb842	ছিল না ঐশী
8c374b4ed7	8143b	আনুমানিক ৫টার দিকে
8c37bbd6c4	c4973	বাংলাদেশে কারখানা
8c37c8ad7b	c7a89	৫ মিনিট সিদ্ধ করুন
8c38fbf1ca	10a9f	ছেলে না মেয়ে সেটা জানা
8c3997aa64	31f09	টেলিভিশন চ্যানেল বা অন্যান্য প্রতিষ্ঠান
8c3a97584f	d5f7b	বগুড়া সদর থানার
8c3b06da37	80e98	অনুবাদ কবিতা
8c3b20b7fe	4164f	ফলে দুধে প্রচুর
8c3bc95a8e	65e30	বগুড়ার সহকারি পুলিশ সুপার
8c3c171f5c	c1e30	সুদিন ফিরেছে
8c3c1b8002	dba43	রানবির-দিপিকার
8c3c5c86c2	d9ba9	মমিটি রক্ষিত ছিল
8c3c9988b3	ad98d	যে নারীর সন্তান সংখ্যা বেশি
8c3ca0aeae	9092b	আর থেকে থেকে
8c3cd45940	33aef	নগদ দেওয়া হয়
8c3ce8b1b5	b7be9	প্রতিপক্ষ কেন
8c3d41de63	a7c6f	ওখানেই ফরাসী মিশনারি স্কুলে পড়াশোনা
8c3e5b46f4	80505	রীতিমতো গায়কদের মতো
8c3f413467	23291	শস্যদানা থেকে তৈরি খাদ্যের
8c3fa4a52c	72649	প্রথম লেগের খেলা
8c3fbe1ad2	f1ea4	বালিপূর্ব জেনেভা আলোচনায়
8c3ffa4914	92f59	বারিধারায় বিরোধী দলীয় প্রধান হুইপ
8c4005edd3	08458	তিনি আদালতের মাধ্যমে
8c40afc904	3bea8	তাদের সৎ মাকে
8c40e15f99	69449	বেশি কইরা পিঁপড়া খা
8c4101f530	d8c80	ব্যান্ড আছে
8c41aa336e	c7705	এই কথাটির উপর
8c420a9e8f	d2faf	বিদ্রোহীদের মার্কিন ট্যাঙ্ক
8c4236514c	91b16	এ সমাজে ক’জনের হয়
8c42469c73	ec91c	দুজন প্রায়ই
8c425aeac7	4bd2c	সরকারি-বেসরকারি ব্যাংক থেকে নয়
8c428fb422	dfefa	প্রধানমন্ত্রী হতে চলেছেন
8c42b8c15b	b00ba	গোটা পাট্রার ভারে অবরত
8c433ac14c	a4750	মহান শহিদ দিবস
8c43634e8f	c6848	সে জন্যেই আমরা
8c436eed4e	2f547	কেজিবির একজন উচ্চপদস্থ কর্মকর্তা
8c43ca1c1a	eaa7a	রাজামশাই লাফিয়ে উঠে
8c44048a99	eaa7a	মহানয়িকার শেষযাত্রা
8c44bb99fa	4fd66	তিনি পলাতক
8c44c45b2d	9c8dd	তবু রাজামশাই
8c450e29db	4ea73	রাজনৈতিক গুরুত্ব হারালে
8c451decfc	60f77	সাত সন্তান নিয়ে
8c459248f7	d82d9	গোলাপের রূপ যেন
8c45f19390	c2082	সোনার ফলকে
8c462b114e	c3cb3	বুড়ি সেখানে এসে উপস্থিত
8c46626d67	cb842	চট্টগ্রাম বন্দর সচিব
8c46db11f1	c7a89	ঠিক মতো পাচ্ছে কিনা
8c474d1059	a699c	বিকল্পধারা ছিল তখন
8c475544db	37e17	উল্লেখ করিয়াছিলেন
8c475e1b6e	83c53	চুলে যেন কোনোভাবেই
8c47b0e3cf	2de86	যারা সবাই নারী
8c47b417f6	fda1a	পীর-পীরানীদের দরবারের নামে
8c47cd5047	8ba2b	পরস্পরেরর প্রতি
8c47cf1a07	80be1	আমার গবেষণাই
8c47ff4cae	6fb36	সকল জাতির একটা একটা
8c483bbaf8	13b70	অস্ট্রিয়ার কবিরা
8c484cfabb	d0c70	হত্যা করার পর
8c4881d8c0	420df	চেতনার মানুষ ছিলাম
8c48d8138e	0e637	শাহাবুদ্দিনের নাম
8c48d8ebc5	c41d8	ইসলামপন্থী ইসলামী ব্রাদারহুডের বিরুদ্ধে
8c4909b5a2	287bd	একটি কন্যা সন্তান
8c49127ea4	8a46d	দেশে পারিবারিক কোরবানিতে
8c4934c3d7	d5f7b	তাল রেখেই কাজ করেছেন
8c49d4f9af	6e6fa	শুক্রবার সকালে এ ঘটনা ঘটে
8c4a061656	f837a	ফুলগাজী উপজেলা
8c4a116e9c	fb4cb	আজ উজ্জ্বল হয়ে আছে
8c4aaba7c7	4fbd1	মসুর ডালের দাম
8c4ad64434	ee852	সেখানে সংঘর্ষ হয়েছে
8c4bea8ed2	09f0d	মন দিয়া লেখাপড়া কর
8c4c03d24c	4164f	গঠনতন্ত্রের ৫ গ ধারা মোতাবেক তাকে
8c4c259488	5dd61	কারখানায় নিরাপত্তা না থাকলে
8c4d359762	5e80b	হয় ফেমাস হও
8c4d421c87	71522	কাজ থেকে ফিরে
8c4d921c60	01e91	কারণ তার একটি হাত
8c4dd178fe	fcefa	প্রায় ১১ কিলোমিটার দীর্ঘ
8c4e2149c6	da6f0	আমাদের মুক্তিযুদ্ধের বিজয়ের
8c4e784ec2	b52ab	এহসানের অফিসে গিয়ে
8c4ebad847	f9dfb	প্রতিফলন লক্ষ করি
8c4eddcbe1	5cb47	আমি শুধু এটুকু বলি
8c4f031a73	cc18a	বার্সেলোনা টিম ম্যানেজম্যান্ট
8c4f5ffb46	93bf3	আয়োজন হলো গ্যেটে ইনস্টিটিউটে
8c4f9bab2a	f9dfb	সিনিয়ার থেকে শুরু করে
8c5000a968	79b06	তা বের করার
8c50181faa	e9589	ডুবে ছিলেন
8c5049843a	388c9	ভালোবাসার মানুষের
8c506d5580	ea5be	শঙ্কর উন্মত্তপ্রায় হয়ে উঠল
8c507cb2cd	c4973	সরকার কার্যকর পদক্ষেপ নিচ্ছেনা বলেই গুম খুন হচ্ছে ।
8c514601d3	52f27	লেখক কুঞ্জ করা হয়
8c5156f516	16a17	চলচ্চিত্রে নাম লেখানোর পর থেকে
8c5161b487	69d9a	মাঝরাতের ঠিক আগে
8c51764faa	491a5	তিনি ইয়াংগুন বিশ্ববিদ্যালয়
8c51b48295	b52ab	অনন্ত বর্ষা
8c51f26c81	85430	৮টি সম্ভাব্য মান নিয়ে
8c525e36b4	509f6	তাকে আকর্ষণ করলো
8c527427cc	7c272	ভবনটি খুলে দেয়
8c52dd3181	e03ce	সুবর্ণা আফরিন
8c533adf3b	43199	তার মৌলবাদী চরিত্র নিয়ে ঢোকে
8c53acf2e5	15a75	এ পর্যন্ত গৃহীত হয়নি
8c53bbf88e	66dcd	সংগীত পরিচালক হিসেবে
8c54179619	80be1	মানিকগঞ্জে অস্ত্রসহ গ্রেফতার হয়
8c5479f818	aa820	ওই সময় তার দেয়া
8c548a896c	a274b	গ্রামটি ছেড়ে
8c54e3c898	1de6c	সংস্থাটির অবস্থান নিয়ে
8c5538db7d	ad69a	ভারতের মানচিত্র
8c55d94a4c	e2ba2	এমন সরবরাহ লাইন
8c562c8b3c	4f450	উক্তির সাথে বক্তার বলার ভঙ্গি
8c5650907a	21e54	মিসাইল ব্যাটারি স্থাপন করতে যাচ্ছে
8c56629458	943de	সুরাপায়ী বলদেবের এই কথাগুলি
8c5726c792	56508	তারপর থেকে প্রতি বছর
8c57349d8e	68549	দরকার হয়নি
8c5754e455	cc18a	সূর্যের এই তাপের কারণেই
8c57a7032c	05901	তারপরেই তারা ঠিক করবে
8c57cd38fa	239f7	নেতাজী
8c57d8948a	6aac8	অধ্যাপক আবুল কাসেমের নেতৃত্বে
8c57dbe5bb	d5213	উপস্থিত শিক্ষার্থী ও শিক্ষকদের অনেকে
8c57ed064d	153c9	তিনি একজন গীতিকার
8c581549ed	b9b98	যে স্থানটিতে ভবনটি নির্মিত
8c586dbc0d	43199	স্থানীয় সংবাদমাধ্যমে
8c586efa47	c8f7f	ভোটের পরিমান
8c58a0d1ef	91ac1	পরে পুলিশ গিয়ে
8c5914b58d	b8ed8	সংগ্রহ করি
8c59939eb8	c173f	বরং প্রাপ্ত বয়স্কদের
8c5a095aa4	91dff	সিনেমা দেখবে বলে
8c5a31e671	7b103	এটি হবে আমার
8c5a42e33e	ce775	সরকারবিরোধী বিক্ষোভকারীরা
8c5a4602e6	3fb17	কেনাকাটায় আগ্রহী করতে
8c5b5452f0	ce180	প্রধান বিচারপতি এবিএম, খায়রুল হকের নেতৃত্বে আপিল বিভাগের ছয়জন বিচারপতির বেঞ্চ এই রায় দিয়েছে।
8c5b54bfa4	ef4f8	উতোর-চাপান পাঠকের ওপর
8c5b6c2986	b08d0	ভূমি-বেষ্টিত দেশ হওয়ার কারণে ভুটান এতদিন ভারতের বন্দর ব্যবহার করতো এখন বাংলাদেশের সমুদ্রবন্দরও ব্যবহার করতে চাইছে।
8c5b7c119b	21e54	মিতা চৌধুরী, মাসুদ আলী খান
8c5b94f30c	e754e	মাত্র এক বছর
8c5bc93e4b	e6752	অধ্যাপক ড. নাসিম মাহমুদ
8c5c0dd33a	68549	ঠিক কোন বিষয়টা
8c5c152202	46da4	এমপি রনিকে
8c5c3f6861	29f8c	ইদানিং তার
8c5c8543a5	64092	গা-সওয়া হয়ে গেছে
8c5c8f4c6b	3faff	অভিধানটি সম্পাদনার দায়িত্ব পালন করেছেন
8c5cd24c3c	745b7	লাইনকে স্পর্শ করবে না
8c5d524c00	e2ba2	কোহিনূর তাঁর জীবনে এসেছিলেন
8c5d7ca1d1	c11b1	পারিবারিক বৃত্তান্ত শুনে
8c5d84ac04	c9c19	তবে এর গুণগত মানের
8c5e0df8b4	f143a	রমজানের ফজিলত
8c5e170e68	0a7a0	২০০০ সালে এসএসসি পাস করার পর ঢাকা কলেজ থেকে এইচএসসি পাস করেন আসিফ।
8c5ec4ce54	28dfc	দুটো কালো ভ্রমর যেন
8c5f3fa5db	9642e	ছবিটির একটি বিশেষ চরিত্রে
8c5fe298b1	ff1c3	তারা লেখকের লেখা
8c5ff8cb9b	b78ec	অনেক গ্রুপকে
8c5ffc0c8b	2695f	মৃত্যুর হার ৭৭ শতাংশ
8c6037e324	0e637	মুখ ফিরিয়ে নিয়েছে
8c6046486c	dae88	কাপড় নাড়ছিলেন
8c6089db61	536d9	ঢাকা উত্তরেও
8c608ee851	80e98	কোনো সেন্স ছিল না
8c6091f308	e2f12	অসাধু ব্যবসায়ীরা ভোক্তাদের চোখে আকর্ষণীয় করতে এবং বেশি দিন সংরক্ষণের জন্য দুধে নানা রাসায়নিক ব্যবহার করে।
8c60f72ca7	ef4f8	বাংলাদেশের সাংবাদিকদের বিভিন্ন ইউনিয়ন
8c60fa81a3	698a4	হেঁটেই গন্তব্যে পৌঁছানোর
8c613d9f9f	e2f12	বাবা আজিজুল হককে
8c617e8ad6	e6203	নৌকা ঘুরিয়া ঘুরিয়া
8c61c0342c	932bb	এই তদন্ত কমিটি
8c61c03f9e	1652d	১৯৯২ থেকে ১৯৯৫সাল পর্যন্ত
8c61c73c75	7f2ef	গ্রামীন ব্যাংক তো আইনের উপর ভিত্তি করে প্রতিষ্ঠিত।
8c61d3c39c	e2c11	সরকারি স্কুলগুলি পিছিয়ে পড়ছে
8c626d8b85	509f6	ওই বীজ রোপনের
8c62e0849c	59c73	জয়নুল আবেদীন
8c63e5d8df	778c0	পৃথক কর্মসূচি নেওয়ায়
8c64032dcf	8cf95	বাথরুমে গেল অলি
8c64732684	3fae0	তাহা বুঝাইবার জন্য
8c65333f0b	77f82	নিয়ে আসলো
8c65601d2d	52f27	পরীক্ষা শেষ হওয়ার
8c65dfbebc	282d3	গ্রন্থাগারের ভেতর
8c66234860	4237e	বিছানা
8c665a9786	b8fe1	এই ভোর হইয়া আসিতেছে
8c66782460	13b6a	বাংলাদেশের রাজনীতিকে
8c66a9b8aa	a7c6f	নামে অপর এক নাবিককে
8c66cca4bd	6973e	এবারে ডাক্তারবাবু ছাড়া
8c66d7f7a6	bc81e	পুলিশ দম্পতির
8c66e7ed29	fcefa	নবম উইকেটে
8c675a12bc	ee994	পর্যবেক্ষক না পাঠানোর কথা
8c6770b246	db735	স্বয়ং কৃষ্ণের উপাসনা
8c677ba5d9	c0965	এই মতবিরোধের কথা
8c67a5995b	6d129	কিন্তু এখনও কোনও
8c689d04ce	b08d0	প্রদক্ষিণ করে
8c68ececaa	355c1	চাহিদা তত্ত্বে
8c6961e8a9	b8bf0	আমার খাদ্যে ছিল
8c6a2819c2	4f450	দিয়েছে পুলিশ
8c6a4b500d	71522	ফটফট করে
8c6aa21792	4c555	মারসেলের প্রধান বিপণন কর্মকর্তা
8c6af3ecce	e2ba2	তারা মনে হয় ভুলে যায়
8c6af3f945	2ac82	বরিশালের ভাষায় একটা কথা বলেন
8c6b708ac1	9351a	পুড়ে কয়লা হয়ে যায়
8c6bdba464	3b1f7	সেদিন ঐ অনুষ্ঠান
8c6bdea560	ee4ad	এসময় চন্দন সরকারের
8c6c09bfa1	e6752	আই কনটাক্ট করতে চাই
8c6c11b4a9	491a5	বেতন ভাতা না পেয়ে
8c6c4ea10f	39293	প্রতিফলনকারী প্রতীক
8c6d54caa5	14d25	লাশ কাঁধে করে নিচে
8c6d65b332	b9b98	শিল্পীদের নানা আয়োজন
8c6d81e0c3	7d3e1	বিলুপ্ত করেছে
8c6eb0bc13	d5213	পবিত্র কোরআন অনুসারে
8c6f5ebc7d	21e54	ঘরের মধ্যে ৩দিন
8c6f81127a	442b7	বিএনপির আইনজীবী
8c6f98fc54	46d49	বাগানবাড়ি যাবার কথা শুনে
8c6fba609d	8b859	অসমীয়া জাতি
8c702cb23d	e6d83	আমার এমন কি ধর্মজ্ঞান আছে
8c703c9c8a	e00db	উদ্ভব ঘটে
8c708223ae	59c73	অনেক ঘটনার সোজা উত্তর হলো
8c70f44103	f4ba7	ক্ষমতাই হারিয়ে ফেলে
8c7114dda4	06527	গুপ্ত হামলা করে
8c711c4717	4fbd1	অঘোষ অলিজিহ্ব্য
8c71aeaef4	91ac1	পরিকল্পনা করা হচ্ছে
8c71fcfd60	717bb	পৃথিবীব্যাপী গণ্য হয়েছে
8c72528376	b2a62	আংটি খুঁজে পাননি তিনি
8c73169836	b8ed8	তার আগে বিগত সরকারে
8c73da4bef	f7a7f	তিনি অশালীন
8c7414d5c7	a46e2	আকাশে গুলি চালায়
8c742b6f78	0895a	বললেন মিঃ হক
8c74a66c36	31f09	জলবায়ুর পরিবর্তন
8c74bed063	fdcba	সেই দাম বৃদ্ধির সিদ্ধান্তই
8c74d376bb	b8fe1	চেয়ে বেশি কিছু
8c750f73ad	4bd2c	ইসলামের কথা
8c7557c5dc	16877	এক ডিফেন্ডারকে কাটিয়ে
8c757cf47c	d5213	আন্ডারওয়ার্ল্ডের একাধিক সংগঠন
8c758ee059	53396	গ্রামের বোনদের জীবন-যাপন
8c75df4338	db735	ফলমুল খেলে
8c75ff0a42	bbb22	যুক্ত করার সিদ্ধান্ত
8c76ab3045	967fd	হতাহতদের জরুরি চিকিৎসা
8c76e37e82	a1d4a	অ্যাডিপোকিনস মেডিয়েটারটি
8c76f15baf	1b359	না হওয়ার কারণে
8c7706bc7e	35ef3	আশির দশকে আমার পরিচালনায়
8c77415e42	35ef3	তার রয়েছে বিশেষ অবদান
8c779f53c5	fdcba	এ রকম বৈরী পরিবেশে
8c77d38183	29bab	আমিরাতে ভিসা চালু
8c77fe6624	80505	আমরা জানবো না কেন
8c78049dde	745b7	আরেকটি বিশ্বাস ছিল
8c783dff12	b8bba	শ্রোতারা পাচ্ছেন
8c786ecc87	cc9fd	তার অ্যাসথেটিকস
8c791dee46	9d46f	সেই দিনের স্বপ্ন
8c7952eb7b	4c555	সাধারণ সভা-সমাবেশের উপর
8c79add146	693cb	প্লাস্টিকের ঝুড়ি
8c79f2aac9	9065c	রাকিব হাসনাত
8c79fafbec	ced74	যোগাযোগ করেন
8c7a9d50fb	32b3e	সেটটি মোট ছয় রঙে পাওয়া যাবে।
8c7aca43b7	cb1aa	কয়টি গ্যাস ক্ষেত্র
