2c001604c3	95907	তবে এটাও তো ঠিক
2c3da8461b	7898e	তিন হাজার লোক ছিলেন
2c3dbc1e96	57d54	এগুলো পাঠিয়ে দেয়া হবে
2c3e047370	4fd66	হতে বাধ্য
2c3e0a366c	4a67e	জমি ছেড়ে দেওয়ার
2c3e0b132b	e6752	নারীদের নৌকা বাইচের
2c3e6bed51	256f5	সব ধরনের প্রস্তুতি
2c3ea8d32d	47e8d	আর পাওয়া যাবে
2c3eca4953	31f09	রানা প্লাজা নামের
2c3f01c80d	b00ba	২৬ রানে ৩ উইকেট নিয়ে
2c3f954d37	53396	বাছাইপর্বে অংশ নেবেন
2c3fc75abd	a1201	দলের সিনিয়র আইনজীবীদের দিয়ে
2c403d7946	086dd	ল্যাপটপ
2c40449ab5	bd576	সেই লেকচারের জন্য
2c404f0c5e	65652	হামলার ঘটনা ঘটে
2c40504d09	1de6c	২০১৩ সালের এক হিসেব অনুযায়ী প্রায় ৩ লাখ শিশু অটিজমে আক্রান্ত।
2c40b664e0	9642e	শ্রীলঙ্কা সিরিজ ও এশিয়া কাপে ব্যর্থতার
2c40c3f039	fbb81	বিগড়ে যাচ্ছে তারা
2c40c834e2	11de3	বাঙালিরাও জোরদার
2c412da129	7b132	নতুন দিল্লির
2c41d20d95	932bb	অভিনেত্রী নন্দিতা দাস
2c423bc350	f2780	চেষ্টা করেছেন সিইসি
2c42768979	15a75	হেরোইনেও আসক্ত
2c428c9bbd	e6e48	ব্যবস্থা নেয়া যেতো
2c42a06164	92f59	১৯৫০ সালের ৭ জুন
2c42b52733	71522	আত্মসাৎ করেছেন
2c430806d6	8143b	ঢাকায় এসে পৌঁছান
2c43815529	59c73	গার্মেন্টস আর রেমিটেন্স ছাড়া
2c43dbe8cc	e6203	শুধু তারা মামলার প্রেক্ষিতে
2c43f17ae1	75626	রাজনৈতিক প্রতিহিংসা
2c44120059	ff1eb	শাহবাগ থানার উপপরিদর্শক আবু জাফর
2c4430bd8d	acb88	ইতোমধ্যে ফোকলোর সংগ্রহমালা
2c44350c86	aa820	ভিডিও কলের মাধ্যমে
2c443e06f8	e3d8b	শরমে মরে যেত
2c44814f8a	17dcd	তা নিয়ে দ্বিধায় রয়েছেন
2c448760ac	0d9f1	মুহ্যমান হয়ে পড়ল
2c44dc0fab	6e6fa	হঠাৎ টর্চটা তার হাতে ঠেকল
2c451c681e	b8bdd	তাঁদের অবস্থা
2c456172e7	745b7	অসাধারণ গুণ এই ছিল
2c458b374d	23b22	প্রদীপ দাশের বাড়িতে
2c45bd4700	07660	কর্তৃপক্ষের সাথে
2c4706e1af	967fd	কর্তৃপক্ষের প্রস্তাবটি স্থগিত রয়েছে
2c4725f09f	b8fe1	এ সময় ওই এলাকায়
2c476a37b4	d2294	কে দেখে
2c485c5a9a	274ee	তার খেলোয়াড়ী জীবনে
2c489f085e	7b103	সব ধরনের সরঞ্জামে পরিপূর্ণ
2c48caa809	dec2d	যে কাপড়
2c49ab4ca6	a9a58	তিনি অন্য জায়গা হইতে পড়িয়াছেন
2c49d19212	b8bba	পরে সিঙ্গাপুরের এক হাসপাতালে
2c49d1c535	c3cb3	কার্যনির্বাহী পরিষদের সিদ্ধান্তের পরিপ্রেক্ষিতে
2c4a2d8a20	b08d0	বাজিমাত করে
2c4a38a8f4	32998	আগের চেয়ে উন্নতি হচ্ছে
2c4a96bcc7	3ccf1	কেননা বাংলাদেশে
2c4ad880d5	ba2f6	নিশ্চিত করেছে
2c4b57746d	c3cb3	দৃঢ় আশাবাদী
2c4b95c579	18a52	টিনের স্যুটকেস
2c4b9ecfda	dafb6	ক্ষণস্থায়ী দিকের
2c4b9f08e8	eecdd	বাঙলা মৃত্তিকার সাক্ষাৎ সন্তানদের
2c4c01469f	d5f7b	মানুষের অন্ননালীর
2c4c4163b4	18460	গুরুতর জখম হয়েছ
2c4cc41b45	3bb15	জিউস ও পসেইডন
2c4cd7ad66	153c9	ম্যাজিস্ট্রেট এক দিনের
2c4d26cfa4	56508	তিনটা ফরম্যাটর মধ্যে
2c4d512d3f	bfac7	টলস্টয়ের যে ছবি এঁকেছেন
2c4d8838d5	315e9	তরল নিকোটিন গ্রহণ করে
2c4e2fcfad	05901	কাজী নজরুলের গান
2c4e58f5f8	60b9d	এর আগে
2c4e64a702	91dff	অবশ্য তাতে
2c4e6e5933	e68af	রায় কার্যকরে
2c4e823523	ee4ad	এটিই ছিলো ঢাকায় পালিত
2c4eda68be	745b7	কিন্তু না খুললে কী হবে
2c4fa51502	80be1	তাদের সংসার চালাইত
2c50e68c04	1652d	যে কোন ব্যক্তির
2c51bdc709	194f5	মহা গোলযোগ ঘটিয়া যায়
2c51c4a679	17ca1	নিউ মেক্সিকোতে পুলিশি নজরদারিতে
2c51f6fae0	80505	গেট থেকে কোনো ফোন আসেনি
2c51fc50a7	d9ba9	অন্য ছয়টি অভিযোগে
2c52052bca	21e54	লিভার ও কিডনির
2c520bd0ed	7027a	শঙ্করকে শিবের
2c524e49d0	a9a58	নীরব ছিলেন
2c52c355d7	f837a	মা মরিয়ম
2c53465c8a	9e923	জালেম
2c535b4d9e	57d54	শিকারির মতো খুঁজে বেড়ান
2c53651332	b618b	রমনা
2c53afe2e8	15a75	দীপক অধিকারী
2c53caea66	9d7bf	আগামী পর্বে
2c53ce6ce7	baa02	তিনি কিছুতেই
2c54385ecc	80505	তবে একইসাথে সেনাপ্রধানের কণ্ঠে
2c54e27068	a0277	দুর্ঘটনা
2c54e656dc	a43b5	অস্ট্রেলিয়াতে খুব কম জাতি আছে
2c551b2448	35ef3	ডালের চাহিদা
2c5544b2d1	6973e	যাতে পুরো বিদ্যুৎ
2c55552f55	b8ed8	একদিন পিঁপড়ী বলল
2c558324b7	75626	প্রস্তাব জমা দিয়েও
2c55b08a67	c2082	ধরবে না করে
2c56a2d392	b9122	ক্রিকেট ছাড়া আর কোন খেলার উন্নয়নে সরকার বা বাণিজ্যিক উদ্যোক্তারা তৃণমূল পর্যায়ে কোন বিনিয়োগ করছে না।
2c5790ff1e	64092	অনৈসর্গিক বৃত্তান্ত আমাদের পরিহার্য
2c57befdf0	23b22	তবে প্রভার ঘনিষ্টজনরা জানিয়েছেন
2c57d08e9a	9351a	গত শনিবার পটুয়াখালীতে
2c57eb23f2	404ee	তিনি সরকার থেকে
2c58ba2fb5	3fb17	করা হয়েছে কিনা
2c58e4c42c	bf530	আহত লোকটা
2c5971fff5	fd880	তারাবি নামাজ পড়তে চাইলাম
2c598e3185	37d7e	সমালোচনা করা হয়
2c59e367aa	4c555	বিভিন্ন সময়ে বেশ কিছু
2c59ec09d4	bd576	খুনের ঘটনার পরপরই ঘটনাস্থলে যায়
2c59ef2b9f	4f2ae	সেবা চালু করা হবে
2c59f091e2	4a918	ভিডিওচিত্রে দেখা যায়
2c5a2f4f68	61820	ক্ষতিপূরণের তহবিল নিয়ে
2c5a783770	28bb3	ডিজিটাল পতাকার
2c5b5e8570	4a918	এই নরকাসুরবধ হইতে
2c5b9de070	9e923	ষড়যন্ত্র আছে
2c5bf2e650	91230	ব্যাপারটা তো
2c5c0df350	80e98	চোরাইয়ার টেকে যাই
2c5c215f8d	37d7e	এর কারণও আছে
2c5c3b7019	d3e06	বরং উল্লেখ করেছে
2c5cb9393c	f2097	অমিতাভ একজন মোহগ্রস্থ
2c5ccff6ca	ca831	এক সের চাল ঝাড়ুওয়ালা খায়
2c5cd07d57	b5fdc	বের হয়।
2c5d26e7a5	bdd05	আয়োজিত এক সংবাদ সম্মেলনে
2c5d5ced02	9282d	নিবিড় ও সংবেদী
2c5d721122	60b9d	দেশের পুলিশ বাহিনীর সংস্পর্শে
2c5d795a05	e6752	অধিনায়ক মামুন খান
2c5d87200e	e2c11	সেখানেই সে হাঁ করিয়া
2c5d8948ea	aab0f	পরিস্থিতি এমনই যে
2c5da1f357	82926	আগের গোল দুটো ছিল
2c5e8451df	9d46f	বারবার যোগাযোগ করা হলে
2c5f033d89	ff1c3	কক্সবাজার জেলা জুড়েই
2c5f525fcb	6da0a	স্বীকৃতি পেয়েছিল এক
2c5f8902f5	43fc0	গার্মেন্ট খাত নিয়ে
2c5fad8b5b	f1ea4	কি না
2c5fe4f8a6	91223	শার্ট
2c601cfab7	8632b	কার্ড জালিয়াতি হচ্ছে
2c60573aa6	ac0df	স্পর্শের বাইরে তুমি
2c6195ffa9	4fd66	অভিযানের সময় সংঘর্ষে
2c61de5cfb	2bd99	প্রথমে তাকে
2c621cc7fc	7351e	অনেক লিখিয়াছি
2c62602187	2fc12	জেলে পাঠানো হয়
2c62751219	e6e48	কার ওপর অভিমান
2c630e129e	baa02	১৯৫৬ সাল থেকে
2c632c319b	121bd	প্রতিদিন মেঘনা নদীর
2c6337a93e	809cd	তাহার সঙ্গে
2c6338be41	5dd61	ইহার মালিকানা সাব্যস্ত করা
2c63dd4388	f1240	অমলের ভূমিকায় সৌমিত্র চট্টোপাধ্যায়
2c63dd856a	321b6	টেলিটক
2c63e71fb0	52f27	নিজের কাজ নিয়ে
2c640af1a8	9642e	বর্তমানে গর্ভধারণের পর
2c640c2ba1	7ec1c	একজন স্থপতি
2c65497039	4c555	কৃষ্ণ বিষ্ণুর
2c654be2fb	01e91	প্রেসিডেন্ট ওবামা টেলিফোনে কথা বলছেন প্রেসিডেন্ট পুতিনের সাথে।
2c656c11b9	c173f	তারাও আমার এই ব্যবহার
2c6572c89e	ad050	অশ্লীল ছবির ভয় দেখিয়ে
2c65fafa80	92f59	ছেলেকে হারিয়ে
2c661fe247	b8ed8	আমার গ্রামের নাম শ্যামপুর
2c662e0b05	7b103	অনুমতি দেওয়া হয়নি
2c6674a2cb	e03ce	ছবির গল্প ও চরিত্র
2c672a4cee	68ab7	১০ লাখ টাকার ক্ষয়ক্ষতি হয়েছে
2c67a077f4	5a61c	রাজনৈতিক আশ্রয়প্রার্থীরা
2c67aa1a4a	4237e	স্পেনে সংস্কার হল
2c684689ab	13b6a	চিন্তা করিতে গিয়া
2c684ee9dd	32b3e	৩শ’ টাকা
2c695f7941	c11b1	অর্ধনমিত রাখার নির্দেশ দিয়েছেন
2c6978dcb4	321b6	গ্যাস-বিদ্যুৎ সঙ্কট
2c698d4d93	2c9c5	এছাড়া বিভিন্ন সময়ে
2c69d1057e	e6752	সাহেব-মেমদের গেস্টহাউসগুলোতে
2c6ac0441a	72649	দরিদ্রদের সংখ্যা
2c6b6a3efa	f2097	বাংলার বৃষ্টি ইট, লোহা
2c6bdd5f7a	0e637	দণ্ডবিধির ২৯৭ ধারায়
2c6be93762	256f5	ভাসুর
2c6cc72f53	7ee9b	পুরো বিশ্ব
2c6d28f089	9d7bf	একটি গানে নাচবেন
2c6d4bb7b8	cd3ac	নির্বাচন হওয়ার কথা
2c6d5ffc43	f143a	পালিত হয়ে আসছে
2c6e102c98	54e68	পাশাপাশি এই প্রকল্পে
2c6e45e340	ad69a	ইউনেস্কো এবং বাংলাদেশ
2c6f6fcb73	8406e	এই প্রতিষ্ঠান গবেষণা করে থাকে
2c70111cf7	4fd66	এ সব ঘটনায়
2c704c5d32	16e96	লাফিয়ে উঠল
2c707963d8	77f82	ভাষা আর সংস্কৃতির বিবর্তন
2c7098d748	1a4a9	জনমানস প্রত্যাবর্তনে
2c70fbeccd	7c272	মীমাংসার চেষ্টা করিব
2c7150e31f	2556b	মনে করা হয়
2c716bde3d	9092b	নিয়ে আসা হয়
2c717ae26b	fd880	মূলত নাটকটিতে চট্টগ্রামের ঐতিহ্য
2c71faeb3f	b9122	বিশ্বকাপের মূল পর্বে বাংলাদেশ কখনোই খেলতে পারেনি।
2c7228c6dd	2f547	আরামবাগসহ হাটখোলা মোড় এলাকায়
2c723a5e23	2de86	সম্যক শীল
2c724014d5	52578	অনেকে নিখোঁজ
2c72c2e066	91ac1	বেবর সাহেবের মত
2c72dd3cc0	6ee5f	ওবামা
2c731bdc06	91223	একান্তভাবে নির্ভরশীল
2c73332f40	c958a	যুবরাজ বল হাতেও
2c735b265d	0f047	এক ছাত্র
2c73f1b354	e9589	আমি মনে করি
2c74ed4086	9351a	মা’র মনে হয় না
2c7516de1f	fcc89	চীনের কাছে হস্তান্তর করেছিল হংকং
2c75c53c31	11bd2	আরিফের পরবর্তীতে সম্পর্ক হয়
2c761d6d7c	351dd	যাহা বাকি ছিল
2c762b77e1	3bea8	এতদিন উদ্ধার তৎপরতা
2c77330a8f	0b7ca	তাঁকে দেখতে হাসপাতালে যান
2c77344bd3	06bb7	তার কোনো ভিত্তি নেই
2c7851f4b9	ff970	উপস্থিত হন
2c787ff292	3d17c	এটা খুবই খারাপ সংবাদ
2c78b2e7e3	24aed	সাজেদা চৌধুরীর নেতৃত্বে
2c78b41fb8	d2355	জানি তুমি আসবেনা ফিরে বাসবেনা ভালো আমাকে
2c78e5f689	91230	পরিচালিত হয়ে আসছে
2c78f4153a	932bb	আরজিনা
2c7904370a	dfefa	মঞ্চের সন্নিকট থেকেই দেখলাম
2c792f89e9	47e8d	তার নাম
2c796da297	80539	ভাল অভিনয়
2c798af457	0a87a	কিন্তু শরীর নিয়ে নয়
2c7a52ac80	39dd0	একটা মন্তব্য করতেই হবে
2c7a8d030c	ef4f8	আন্তর্জাতিক মাতৃভাষা দিবসকে সামনে রেখে বাংলাদেশের রাজধানী ঢাকায় প্রতি বছরের ফেব্রুয়ারি মাসজুড়ে চলে অমর একুশে বইমেলা।
2c7ac9681d	ad69a	তৈরি এই স্থাপনা দুটিরই
