2500b4297b	5639c	পরমার পরাজয়
251b7e1f87	fbb81	বাংলা আপু
251bab01a0	06527	নরসিংদী জেলা দল
251c81babe	2ad74	মাতিকে পুরুষ যদি ফিরে যায়
251cade0d5	56508	হাতে ধরা গ্যাস বেলুনটি
251d733cde	4dd57	লেখকের উদ্দীষ্ট ছিল না
251e291e66	7ed14	শৈশবে কৈশরে পিতার মাধ্যমেই
251e413107	5dec6	ভারতের নবনির্বাচিত প্রধানমন্ত্রী
251e922146	b8bdd	সারা শরীর ক্ষতবিক্ষত করেছে
251f85cf46	a8710	৩শ টাকা
251f9b9916	11de3	এই সফটওয়্যারগুলো
251fa05238	46d49	এর বর্তমান মূল্য
251fb3a792	dfefa	অক্সিজেন দেয়া হয়নি
251fd620c7	7ed14	এই অভিযান
25206c3632	32998	শিমুল ইসলাম তনু
2521b2eece	49543	লেটুসপাতা দিয়ে
2521b70fb1	7d133	৩ এপ্রিল প্রতীকি অনশন কর্মসূচি
2521feb347	e6d83	অনেকটা পাগলপ্রায় তার মা
2522115758	f1240	তারা ভেতর থেকে
252279493f	f2b7d	বেড়েছে বহুগুণ
2522ccd29c	c5dc8	লেখকের ভাষ্যে
252311cdcd	932bb	অক্কলকোটের সাক্ষরতার
2523329585	3f875	মায়ায় আবদ্ধ করিয়া
2523a1758a	61820	কি সুন্দর বিয়া হইয়া গেল
2523bd32eb	79b06	দুর্নীতিগ্রস্ত দেশের তালিকায় রয়েছে
25246aadb1	f7a7f	সে বাসার গৃহকর্ত্রী
25249642fd	8632b	সালমানের সঙ্গেই
2524d4f300	24f73	মিডিয়াতে মিথ্যাচার করেছেন
2524db03a3	ba2f6	তারা সবাই
2524ffe46c	7b900	জাহিদ হু হু করে
2525094114	f1ff2	হজে নিজেদের কার্যক্রম
25256b9fae	8406e	বর্ষপঞ্জিতে অধিবর্ষ
2525a8a9a7	c4973	দুপুরে খেয়েছে
2525bda4cd	e2ff7	শুরু করতে হবে
2525c3f59a	52578	কারো সাজা হওয়ার ঘটনা
2525d5f0ec	b618b	সেই ভাবমূর্তিতে
2525e8cf20	5d12f	পৌঁছে দেয়ার ক্ষেত্রে
252613bea2	7d3e1	১৯৯২ সালে সিলিকন ভ্যালির একদল সফল উদ্যোক্তা ও অভিজ্ঞ পেশাজীবীর হাত ধরে যাত্রা শুরু করে ‘অলাভজনক’ সংগঠন টিআইই।
25263b3440	06736	তোমাদের প্রথম কাজ
252661e443	06ea3	নির্দেশ দেয়া হয়েছিল
25267ebf63	03284	ভাদাইমা
2527fdea1b	ea8fa	নেলসন ম্যান্ডেলাকে
25284e1d66	e9589	রিকশা চলাচল করলেও
252919df14	43fc0	টিকলী বিয়ের বউ সাজানোর জন্য
2529563e64	06527	১০ শতাংশ জমির ধান
25295fd5cd	bf530	প্রাসাদের অভ্যন্তর
2529e2b401	d9ba9	ঔপনিবেশের শানে নজুল
2529fba5c0	31f2a	রিও ডি জেনিরোতে
252a09923b	2909b	ফ্যাট ফাইল সিস্টেমে
252a36bc9e	274ee	যে কতটা তীব্র
252a6a8b9a	33814	মিন জিন কিমের কাছ থেকে ভায়োলিনটি চুরি হয় দু বছর আগে।
252a8ed2f5	fdcba	গোলযোগের ঘটনাগুলোকে
252b0c6ca4	388c9	৭৬৬ মেগাওয়াট বিদ্যুৎ
252b103ae4	e2ba2	টোপের মধ্য
252b63230a	c5dc8	মাধ্যমে ভারত থেকে
252c08e31a	809cd	সেখানে গেলাম
252c5537a1	ced74	জর্জরিত করতে চেয়েছেন
252c67d46a	11bd2	স্প্যানিশ ভাষায় বাইবেলের পর সবচেয়ে বেশি বিক্রি হয়েছে মার্কেজের লেখা বই।
252c991164	44322	প্রশ্নটা প্রায়
252d036b2f	ee886	খারাপ হইতে পারে
252d4fa191	37d7e	৪৪৬ রানে এগিয়ে তারা
252da29fbb	80539	আফ্রিকার জঙ্গল
252deba762	4fd66	প্রতিবাদ করার
252dff3000	25696	এক গেলাস
252f7a68ce	1b359	তা নীতিমালায় বলা হোক
252fd7c3da	ef915	চিকিৎসকের একটি দলকে
252ff6e33d	5dec6	হয়ে থাকেন
25304c5de9	08458	হচ্ছে না
25305eaf6d	6fb36	যুক্তরাষ্ট্রের কার্ড পাবেন
2530864850	315e9	তোমার চোখ এতো লাল কেন
253105da24	9e923	দক্ষিণ সুদানে তেলসমৃদ্ধ অঞ্চল নিয়ন্ত্রণে নিতে সরকার ও বিদ্রোহী গোষ্ঠীর মধ্যে যে সংঘর্ষ চলছে।
25311bee19	8c07c	উপনিষদ
2531ccbe14	d8c80	আরেকটি মহাসমাবেশের ডাক দিয়েছে
2531d496c1	7f71c	করিয়ে নেয়া যায়
2531fa9a3f	2ee04	আরও পাঁচ বছর পরে
253221129b	98b81	মিরপুরের মতো
2532403ba1	491a5	পাবেন না আইপ্যাড ভার্সনে
253277fdd3	98b81	পরিবারের এক মাত্র
25328e74b1	ac904	হয়তো অনেকের মনে আছে
2532d7b173	e3f89	সেই স্বপ্ন আর মাটির ময়না
2532f687b9	80505	একটি চিকেন দিয়ে
25330e603c	80518	সে বিষয়ে চিন্তা করতে জানে
2533360c6b	948d3	এই খাবার গুলোতে
25333d9ec1	d1b12	এতো অজস্র যে
25334dcaef	c0965	বস্তুর ভরের উপর
25344a34b1	8406e	মোবাইল টিমের দায়িত্বে থাকবে
2534d0b0ca	b78ec	পূরবী প্রেক্ষাগৃহের কাছে
2534dbdd19	1279e	ঈদ করব
2534f394ca	0edef	প্রায় এক মেগাওয়াট বিদ্যুৎ
2535dbda6b	43b04	শিশু অধিকার নিয়ে
25360b47d5	ce180	পৃথিবীর বাইরে
2536553bcf	ff0fe	মৌলসমূহকে ধাতু
25380bf500	d711f	চারদিকের রাস্তা
25381fb34e	f7a7f	সিনিয়র নেতাদের গ্রেপ্তার করছেন
253822dd3e	adf01	সেপ্টেম্বর ১৩, ১৯০৪
25383d9524	943de	আলাদতের নির্দেশে
25385ab4d7	153c9	দেশটিতে নতুন একটি
25385dd60b	29bab	সেই পিপাসা
253881d701	92f59	৬-১ ও ৬-১ গেমে হারিয়েছেন
2538adb781	d7a68	কল্যাণপুর রওশনিয়া দাখিল মাদ্রাসা
2538d53579	65e30	যত্ন করতে হইলে
25392f879f	eb179	বাংলা ভাগের বিপক্ষে
2539bf5c7a	c5dc8	সিঁড়ি উঠে গেছে ছাদে
2539e4ca3e	bdfc1	অবস্থান নেন কর্মী-সমর্থকরা
253a02cdab	fcc89	হইতে লাগিল
253a428da9	7e191	মন ভাল করার উপায়
253a99ef4d	c4973	আমরা সকলে ভেবেছিলাম
253b1551b9	dafb6	কর্মকর্তা-কর্মচারীদের দৃর্বৃত্তপনায়
253b2feadb	1a2a1	ছাড়াও অজয় ভট্টাচার্য
253b4ae37a	577fa	নাসরিন
253bbf49c5	dafb6	অবস্থান করার সময়
253c5cb984	d2d71	প্রচলিত আইনেই হবে
253c968acd	22096	অরুন্ধতী রায়
253cfd5536	0744c	সংগ্রামের কিছু কিছু ঘটনা
253d00bb76	28bb3	বাংলা লিপির ক্রমবিবর্তন
253d363147	79b06	সাভারের ভবনধসের সেই ভয়াবহ স্মৃতি তাদের ঈদের আনন্দ ম্লান করে দিয়েছে।
253d44d341	420df	চলচ্চিত্র উৎসবে
253d64e67a	a7c6f	তরল পদার্থসমূহের
253d8da63b	ee4ad	মৌখিক অনুমতি দেয়
253dae23c2	16cfb	নাহ, কোনো লাঠি
253df631e0	aabe7	আপত্তি নেই নির্বাচন কমিশনের
253dfc64ec	cc18a	স্রষ্টা মলয় রায়চৌধুরীর
253e17c4ba	9282d	কিন্তু সেরূপ কিছু হইল না
253e320f27	13b70	ইসরায়েল ও অধিকৃত ফিলিস্তিনি অঞ্চলকে বিভক্ত করে সীমান্তে যে দেয়াল তোলা হয়েছে, সেটিও তার পরিকল্পনা ছিল।
253ed1dff0	c0965	একটি জার্মান প্রতিষ্ঠান
253f01f2dd	1c618	অক্টোবরেআমদানি কিছুটা কমে
253f1a2c4c	8a46d	১৬টি শর্ত পূরণ সাপেক্ষে
253f599436	a1201	সোমার খনিগুলোর নিরাপত্তা নিয়েও
253f7af5d1	4bede	আয় করে
253fb69598	5b13f	তবে ভোটকেন্দ্র হিসেবে ব্যবহারে
253fbd9b5e	9813c	ফুটে উঠলে মাঝারি আঁচে রেখে
254125abc2	778c0	পর্যাপ্ত সুযোগ-সুবিধার অভাব
2541db21ba	f1240	তৃতীয় দিন রাত্রিতে
2541e7e2b5	6e8cb	অ্যাডভোকেট আমিনুল ইসলাম টুটুল
254231cea1	16cfb	কর্তৃক প্রদত্ত
25425941a5	dfefa	শাস্তি পাওয়ার মতো
25429f84b7	d9ba9	ফজলিখালা শ্বশুরবাড়িকে পর্যন্ত এগিয়ে দিতে
2542cdd926	323f1	যদিও কোম্পানি
2543221906	16877	তিন বছর আগে শ্রীলংকা
25433f426e	7898e	মৃতে সংখ্যার বাড়ার
25434e62aa	948d3	এই ২১ দফা
2543d457a4	09b32	যখন গঙ্গায় ঝাঁপ দিলাম
254431504a	6e6fa	তবুও শহরে
25445ee94b	d1b12	শেষ সীমায় অবস্থান করছিল
2544ea3dc4	0744c	আঘাত করে মারা হতো
2544eb52fc	ad050	বনের ভিতর দিয়ে
2545acd23a	16a17	মানববন্ধন ও প্রতিবাদ সমাবেশ করেছেন।
2546e8fd3a	ff0fe	সেখানে যেন স্বাভাবিক
25475464b7	ad2a0	মহাব্যবস্থাপক, উপমহাব্যবস্থাপক
25476ce02c	509f6	সরকারি অনুমোদনে
25477961ea	9813c	বাক্স নামিয়ে আন
2547adc6f3	2d98b	কর ১৫০ শতাংশ থেকে
2547dcc0f2	5354e	উপজেলা সদরে
2548431d9e	282d3	তারা খুব একটা
2548480bae	2909b	সব দিক থেকে
25484b1226	17dcd	সোফা কারখানায় অগ্নিকাণ্ডে নিহত হন
2548a18d1d	ad050	সাড়ে সাতটা বাজলো
2548b7c84c	eecdd	চারপাশে শুরু হয় পাকিস্তানকরণ
2548de6c4f	577fa	এখন কলকাতায়ও
2548e0c9e0	5a61c	ম্যাজিক
2549344e73	7c272	ছবিটির চিত্রনাট্য করেছেন
254948d565	f143a	অবতীর্ণ হন
254988a093	23291	সবচেয়ে বেশি স্নেহ করতেন
2549dfd372	388c9	শ্যাম্পু লাগানো শেষ হলে
254a7240c7	f2b7d	হজের সময় যেন
254ac0a75b	c0965	মেয়েদের বিয়ে দণ্ডনীয়
254b05befa	a06a1	ব্যাংককের পাতায়ার
254b7a63e3	b5fdc	মাটিতে পুঁতে দিয়ে
254b92f4ba	01e91	এদিকে দোকান মালিক সমিতি
254bbdf2c4	9351a	বাতুল বলিয়া ইহার
254bf646f0	d3e06	কবুতর পালন
254c3107a0	4dd57	দু’দিন ধরে কর্মবিরতি চলছে
254c567492	83c53	শাফিউল ইসলাম রয়েছেন
254ca69db6	8845d	এবং ইসলামকে ধ্বংসের কাজে নেমেছে
254d32d160	7b60a	তাছাড়া দেড় বছরের
254daf72ff	8c120	গ্রন্থমেলায় আসছে
254eca8e05	38d3a	কুলা
254f57fba8	4c555	একজন পরিচালক
254fbe1c24	33aef	ঢাকা থেকে যুক্তরাজ্যের
2550504c92	11bd2	কণ্ঠশিল্পী মনির খান
25505c7750	693cb	হাসপাতালে চিকিৎসা নিতে আসা রোগীরা
2550ad1da5	6d129	যে সব বিষয় এসেছে
2550d3ec5f	e6203	সন্তানের সুখই তার সুখ
2551212860	95f83	ঈশানা
25515b755c	bd576	পরে প্রধান পদ
25516cafe9	f2b7d	যতই বুজুর্গ হন
25519aa5c8	4fc91	অন্য মামলাটিতে
2552b92b94	a43b5	ডিগ্রি ভর্তি
255374dfd1	06527	তিনি এখনো
2554a5d9d1	91223	সোশাল মিডিয়া প্লাটফর্মের
2554e961cf	590d0	কড়া নিরাপত্তা ব্যবস্থার
2554f7f1f0	73629	দুটি পাশাপাশি সমাজব্যবস্থা
25553550ab	4a67e	জন্মগ্রহণ করেন কোলকাতায়,
25554e0115	11915	এই গল্পের বাঁকবদল
2555687781	2695f	আবির্ভাব ঘটে
25559a1bab	e6752	একটি বিরাট পাচার চক্র
25560a7654	4dd57	জাদু টোনা
255700fa22	dba43	আইনশৃঙ্খলা পরিস্থিতির
2557988b75	92bd8	এটা শনাক্ত করা যায়
255885b265	5b13f	লেখার বিষয়
2558a152e9	8a46d	এ কথা সবসময়
2558cf8db6	e03ce	১১ জনকে পুড়িয়ে মারার
2558f16b64	2396d	আমদানি করা কয়লায় তা চলবে
2558fba5b5	65e30	তাদের কথা হয়তো
25591c5482	e50f1	বর্তমানে ক্যানসার আক্রান্ত
2559421241	a06a1	অন্যান্য বিভাগীয় শহর থেকেও
25596f9e5f	e00db	এর প্রকাশক
25599b949f	91230	কিয়েভ সরকার
2559e7f9fd	430b2	তন্ত্র মন্ত্র শিক্ষা
2559f8c3a6	ee852	পার্ক ৩টিতে
255a243e8f	0606d	ধরা পড়ে যে
255a74e3ad	7c272	পেস্ট তৈরি করুন
255aa5c4ca	49d63	গেলেরক্তচলাচলে সমস্যা হয়
255abd945f	66dcd	কাঁখে নিয়ে
255b4421a4	49d63	তাড়িয়ে দেয়
255c62bc50	76329	নতুন প্রজন্মের কাছে
255c7a7072	0d9f1	অস্ত্রের ঝনঝনানি নয়
255ca16b70	dfefa	কাঠের তৈরি
255cfacfd2	1de6c	খোয়া গেছে বিভিন্ন সময়ে
255d99fc2f	46d49	দেশের বৃহত্তম মোবাইল অপারেটর
255dcee6f5	4c1eb	কোনো সুরাহা
255e4a9ef1	6973e	পরদিন যোগ দেয়
255eb54400	d1b12	কৃত্রিম খাবারের ধারনাতে
255f3d5410	e7230	রমণীজাতির প্রতি
255f48c556	bbb22	একই সঙ্গে সেই ইচ্ছেটা
255f5a5e56	12702	এখন কেন্দ্রটিতে আছে
255f5c6e62	bc81e	মুক্তিযোদ্ধাদের প্রবল প্রতিরোধে
255f64a5b4	69d9a	কুয়েট
255f6f0ffb	43fc0	মঙ্গলবার করাচিতে
255f98c85c	2556b	পৌঁছাতে না পারলেও
255fb44171	b5fdc	কর্মকর্তা অতিরিক্ত সচিব
2560120830	56508	মিসরের অবস্থান অনন্য
256038d2d6	52f27	স্কুল-কলেজের শিক্ষার্থীরা
2560950398	fda1a	ক্রিকেটে মুম্বাইয়ের হয়ে
2560ce8b97	d71a3	ফেইসবুকে পোস্ট করে
256124e7e7	91b16	উত্তেজিত, ক্রোধান্বিত
25638c7d8b	239f7	প্রযুক্তিভিত্তিক যন্ত্রপাতি ক্রয় করা
2563aff4b2	f280a	সাভার এনাম মেডিকেল কলেজ হাসপাতালে
2563c89008	07660	যখন সবাই জানতে আরম্ভ করল
2563de2a96	cd3ac	এমন ঘটনা
2563fd6212	54cdd	আহতদের মধ্যে সাবরিনার সহপাঠী
2564fab997	b78ec	এবং সেন্টার ফরোয়ার্ড
25654d6ab5	7b60a	নিশ্চিত হওয়া যায়নি
25656bfa9c	0bace	নিজের জন্মভূমি ত্যাগ করেন
25657f4230	23291	যুবককে ধারালো অস্ত্র দিয়ে
25659dcc40	6da0a	আপনি শতবর্ষ পার করলেন
2565b93f68	17dcd	এক বিশেষ অর্থে
2565bb5bdb	54e68	আসল বিষয়টি হলো
256621553d	2909b	কার্যক্রম শুরুর ১২ দিনেই
25662c6545	121bd	ও আর্ন্তর্জাতিক মাতৃভাষা দিবসে
25662e1001	9fa90	প্রণব মুখার্জির স্ত্রী শুভ্রা মুখোপাধ্যায় এই ভদ্রবিলা গ্রামে জন্মগ্রহণ করেন।
25668d0877	f1ff2	দেশটিতে চার লাখ ৮০ হাজার
2566d3604a	39293	মহাখালী বাস টার্মিনাল
2566e87f83	282d3	পরিকল্পিতভাবে মারধোর করে
2567ed628a	95907	কোনো শ্রেণীর আবির্ভাবও সম্ভব নয়
25681324e9	ee7b2	দ্বিতীয়বারের মতো দেশের
25681cb331	590d0	আতরের তুলো
256851ebe0	68549	পরদিন আদালত
25686ac6da	11915	কয়েকশ মানুষ হতাহত হয়েছে
256872c7b0	8edea	ফিনফিনে চুল ওড়ে
2569369989	ce629	বেশি গতিতে বাড়ে
2569951ef3	66c6b	না পারায়
2569e06e8e	39dd0	রাজপুত্র দেশভ্রমণে বাহির হইলেন
2569e28ede	5d12f	৩০ জানুয়ারি
2569ed13ab	f1ff2	আমরা মহানবী
256ab81e10	7351e	উপপরিদর্শক রফিকুল ইসলাম
256abc93aa	0d9f1	অন্ততঃ শঙ্করের
256ae405e8	3fae0	একক নায়িকা আমি
256b7d67e5	8b859	কয়েকটি পরিস্থিতির
256bef82f6	0606d	মিরাক্কেল
256c3b456f	e754e	ধর্ম বলে
256d2c7047	14816	১৯৮৪, ১৯৮৮, ১৯৯০
256d9b29d3	b618b	সেদিন হয় নি
256ec09546	089ef	শীর্ষস্থানীয় কোন নেতার বিরেুদ্ধে
256ec3155d	239f7	শিক্ষিত সমাজ
256ec82490	b5fdc	পরপর ১২ জন
256f42fad3	13b70	ঢাকার বায়তুল মোকাররম মসজিদের সামনে
25704ec5f8	6da0a	পাড়ার লোকেরা
25708cf8fb	65e30	কিন্তু না খুললে কী হবে
257092e59e	b52ab	রাসু আমার মেজ খালু
257096ff0f	58998	রাজশাহী ও বরিশালে
2570a5bd9c	860f4	সেখানে একবার টেস্ট করা হয়
2571331bb6	0d4cb	সুন্দর চোখ
2571c3d9d3	5e80b	সেখানে নতুন স্বপ্ন নির্মাণের
2571f99329	7a227	লালন কী করে পেয়েছিলেন
257253621b	91dff	আমার মেঘলা আকাশ
25726cf5e4	6aac8	তাদের ঢালাওভাবে কর্মচ্যুত করা হয়েছে
25727ad45b	7b900	ঘুরে-ফিরে আসে
257289fe18	4f2ae	মঙ্গলের এমন একটি এলাকা থেকে
25729e1ee2	b5fdc	মেঘরাজ্যে বসবাস
25736471f7	4486f	বন্দুকের গুলি
2573a5f7ee	ea5be	দেখতে পেয়ে
2573b49cb5	2ee04	ভাব দেখায়
2573b6abdd	a46e2	যেটি থেকে
25747f1a0a	13b6a	চোখ দুটি যামিনী রায়ের আঁকা
25752b38f2	bf530	সম্প্রতি অপহরণ, গুম
25758c7ddf	287bd	খাবার ছিল না
2575a0ada5	eb179	ইজ্জত
2575e8fba4	2f547	বিখ্যাত আজতেকা স্টেডিয়ামে
257603e6c5	b00ba	তাহার আড়ালে
25760b0509	6d129	উইকেট জুটিতে এটাই সর্বোচ্চ রান
257675ca71	c5dc8	সেখানেই রয়েছেন
25768f7cec	91230	সকালে সদরঘাটে পৌঁছে
2576b79626	db181	প্রতিবেদক ও ক্যামেরাপার্সনের ওপর
257714fdba	7aed9	সীতাকুণ্ড উপজেলার
25771ad07a	85430	আপনার লালা ঝরবে
2577379429	c9c19	উপর প্রতিষ্ঠিত
2577404f86	7c272	গাড়ি কি হবে রে
2577e97b52	db735	সবচেয়ে বড় জিনিস যে
257801d00f	9c8dd	লম্বা
25787b54ef	e2f12	বড়লোক হওয়া যায়
2578bd8509	a274b	শিকড় থাকে অনেক গভীরে
257921de52	46da4	এরপরও রাষ্ট্রপক্ষের
257967c64f	16a17	কারণটি অতি স্পষ্ট
25797c22f0	1652d	নির্বাচন অনুষ্ঠানে ব্যর্থ হয়
2579a9443e	9f25e	ভাগ্যিস তুমি এসেছো
257a22b039	860f4	ফোন করছিল
257a39c43f	73629	খেলোয়াড় হিসেবে
257b375d94	52578	নামাজে দাঁড়ান বাবা
257b8118a6	47e8d	গ্রহণ করা হয়
257c143e69	d9081	বাঁধা ছিল
257c3da76b	321b6	নিজের সন্তানদের জন্য হলেও
257c3e55d4	dfefa	শ্রমসচিব মিকাইল শিপার বলেন
257d8f9c86	05901	পুরো বিশ্ব জুড়েই
257e04eb92	e43d4	নিরপেক্ষ,সুষ্ঠু এবং আন্তর্জাতিক মানসম্পন্ন
257e62cfe6	4486f	৫/৭ জায়গায়
257eaf034b	5e80b	এইচটি ইমাম জানান
257f1709ae	e03fc	এটলেটিকো, বার্সেলোনা আর রিয়ালের মধ্যে
257f62ab65	84145	কিছু দিন পর পর
257f641dee	a1201	টেলিভিশন সিরিজ টুয়েন্টি ফোর
257f8e8ed2	ff1c3	কেউ তাকে ল্যাংড়া-খোঁড়া বললে
257fb226c2	bfac7	সকাল ৮ টায় নামাজ পড়েই
257fb48490	cb842	পরিণত হয়েছিলাম
257fc11b06	4a67e	অতটা উঁচু থেকে
257ffb3b81	1de6c	দিনাজপুরেই ছিলেন
2580932f75	25117	দ্রুত পলাশবাড়ী এলাকার
2580a5143b	1a2a1	উৎস সন্ধানে এগিয়ে দেখা গেলো
2580a692f8	84145	বিশ্রামও নেই
2581493d13	410fa	আমরা অবশ্যই
25814e9fa9	69d9a	৩৮তম জাতীয় অ্যাথলেটিক প্রতিযোগিতায়
25815fa1c2	1b359	সব দিকেই বিপদ
2581778383	64092	আমাদের এক বন্ধু
2583020da8	e50f1	৪২ জন নিহতের পর
25831afa5f	23b22	যোগাযোগের চেষ্টা করে পাওয়া যায়নি
258333cf8f	d5f7b	দেশ পরিচালনার দায়িত্ব নেয়
258367e94b	b8bba	তখনকার সেই সফল
25836a3ed7	730c3	যাদের গ্যাস্ট্রিকের সমস্যা আছে
2583c79098	b9122	বিশেষ দল পাঠানো হয়েছে
258465cc81	14816	ইহা বাঙ্গালী পাঠকের
25847c3c84	2ac82	নব্বই দশকের বলিউডে
258501d13e	ca088	তার লেখনীর মাধ্যমে
258509f8e0	ca831	অনেকদিন পর্যন্ত
2585d39f32	47e8d	বিচ্ছিন্নভাবে অসংখ্য গরুর
2586378058	24f73	কর্তার কথায়
25864c569a	e9759	প্রশংসা করে মীরা কুমার বলেন
2586681e35	5d80e	সেখানে শক্তিশালী প্রার্থীদের
258671b9c7	3c897	পুলিশের ভাষ্য অনুযায়ী
2586947345	d7a68	ঈদের জন্য
2587b6a46a	9d398	সারাহ টেইলর
2587d14ddf	ff1eb	সাভারে গত ২৪শে এপ্রিল
2587d39878	943de	দেখলাম,না
2588df3828	4bede	অবৈধ মাদকসহ দুই জনকে
258923f655	5dd61	অস্ট্রেলিয়া সফরে
258948b8fa	520fb	১৫ই নভেম্বর, ২০০৭
2589cbb7d5	33aef	ভাল ছবি
2589e39080	06ea3	নিরাপত্তা পরিস্থিতির বিবেচনায়
2589f87cef	80539	দেশের জনসাধারণ
258a80fb00	aa820	১২৫০ মেগাওয়াটের
258af69bad	a06a1	স্কাইপ আলাপের
258afe8416	d41be	জেলার ৮ উপজেলায়
258b06f70a	b8bba	৪২ মিনিটে
258b3fa8ff	44322	চরম দুর্ভোগের
