1600e5669d	1652d	রাত ৪টার পরে
1618618fde	5d12f	প্রথম আলোর খবর
1618e73919	388c9	ছত্রভঙ্গ করে দেয়ার চেষ্টা থেকে
161973e4c5	e2ff7	কত দাম গাধার দুধের
161997cbdd	1b359	ওসব বার করতে পারবো না
161a1c87af	31f2a	আমার বাড়িতে
161a6f1188	577fa	তার সহযোগিতা ও উৎসাহে
161b4f45d0	590d0	দিচম্বর লং মার্চ ঠেকাল
161b5870c2	80be1	এই প্রশ্ন নিয়ে এখনো
161b5bea28	ff1c3	একজন বেহেশতি লোক
161d5b62ff	7a227	১৬ দশমিক ৫৬ শতাংশ
161db0503c	5dec6	আস্থা খুইয়েছে ভারত
161db370e9	43b04	দুই অভিনয় শিল্পী
161dc852c8	86b1b	এই তাৎপর্যেই বিচার্য
161e9ee0d0	315e9	তিন দিন ছুটির পর
161f21ffe5	7898e	আগ্রহপত্র জমা দেয়ার
161f346f68	bd576	কৃত্রিম রক্ত সঞ্চালনের সাহায্যে
161f37f7ed	f837a	মানবদেহে একই অ্যান্টিজেনের বিরুদ্ধে
161f425816	1279e	একসঙ্গে দুই সন্তান রয়েছে
161f56fc1c	49d63	উইথ এ স্ট্রিকচার
161f8f3b5d	80be1	চিত্র সম্পর্কে এই মেয়ের
161fbaa37b	aab0f	সবাই ভারতীয় ছিলেন
161fd768e5	db735	৩৩ বলে ৪২ রান
1620052bbc	3d17c	তালাশ টিম
1620c236e9	7f2ef	গ্রাহক চাহিদার অন্যতম শীর্ষে এই ব্র্যান্ড
1620d015dd	f4ba7	রাজধানী নয়াদিল্লি
162114affc	72649	খোরশেদা বানু মিষ্টি জানান
1621ae8edf	f4ba7	শেষে বললেন
1621f3de16	c7a89	তাকে সুস্থ করে তোলার জন্য
1622352f64	fb4cb	কেটে ফেলছে ডাক্তার
1622c94457	442b7	মূলত পাঁচটি রিং
16236066a9	9813c	হিন্দু কবিদের
1624019bbc	430b2	গোড়া থেকেই এগিয়ে থাকে
16240c4265	355c1	অর্জন করেন
16243566e2	7ec1c	ইউক্রেন কর্তৃপক্ষের কাছে
16245ee5b0	fd880	মুসলিম সম্প্রদায়ের মতো
16246275b5	4fbd1	তবে বিশেষ বৈশিষ্ট সম্পন্ন
1626100f86	ad2a0	অসহায় বোধ করেন
162617c040	0d4cb	ইতিবৃত্ত-বিষয়ক গ্রন্থে
16261dea52	bdd05	সেগুলোকে কিভাবে দেখেন অনন্ত জলিল
162655b9b3	2fe3c	চরমোনাই মাহফিল
16267fcede	7351e	লিমনের বুকে
16267fe21b	b2a62	সাধকজীবনে আসার পর
16268012bb	28bb3	মারেফত
1626bc7a73	ad2a0	মিশরের আইন অনুযায়ী
16270b59c8	c6848	আমাদের চেয়ে বেশি
1627a54895	6ab59	এড়িয়ে যাওয়া
162813937b	9351a	শঙ্করের শরীর
1628915081	52578	বলতে গিয়ে
1628a3b3c3	d5f7b	হিউম্যান রাইটস ওয়াচ কী করেছে
16292c37b1	bbb22	জানিয়েছেন সৌদি আরবে
16294054e2	b8ed8	ব্রিগেডিয়ার জেনারেল মুস্তাফিজুর রহমান বলেছেন
16295fd1b0	1279e	ছোট বোন লিপি
1629c05203	44322	তারা আর্জেন্টিনা
1629eb0b1c	b8bdd	মানববন্ধন ও সমাবেশে
162a345f3f	44322	গণতান্ত্রিক পন্থাই
162aa40eb8	b8ed8	তাঁকে ডি.লিট ডিগ্রী
162b9ef481	4e900	সাড়ে ১৭ বিলিয়ন ডলারের রিজার্ভ
162bc93087	baa02	তৈরী হচ্ছিল
162bdd50ef	d0c70	তাকে দেখতে গেলেন হাসপাতালে
162c9221ff	520fb	ধারণা করছে রানা
162cef897c	b7be9	তাঁর একধরনের আকর্ষণীয় মিষ্টি স্বভাব
162d7652cf	698ff	কোন পাপে আমি অসুখী
162dcec762	13b6a	সরকারও নতুন ধারার হবে
162e1d82d6	c9c19	খবর পেয়ে পুলিশ
162e2126f6	efc0d	লক্ষ করি
162e301632	4e900	গাঁজায় আসক্ত হয়ে পড়েছিলেন
162e333169	32b3e	প্রকল্প সারপত্র অনুমোদিত হয়
162e39182b	ad2a0	হরতালের আশঙ্কা করা হচ্ছে
162e60acfd	39293	হাইকোর্টের একটি আদেশের পরে
162f1f9a95	5e80b	কোনো দপ্তরে
16302e4693	fcefa	পাকিস্তান ভারতকে
163034916d	2909b	যাতে কারো ভয় পাওয়া উচিত
16303625f4	745b7	পুলিশ সুপার আনিসুর রহমান জানান
1630400b20	a06a1	গিফট ভাউচার
1630e09f78	22096	তখন সাধারণ মানুষের
1630eddbb4	95907	কণ্ঠে করুণ সুর
16310b8c8f	509f6	রসমঞ্জরী কবি ভারতচন্দ্র রায়
16317358e4	6a35e	আট
1631e77cd6	25696	ভাববার চেষ্টা করলে
1631f33b12	ff1eb	ইয়াংগুন বিশ্ববিদ্যালয়ে
16328301b3	7351e	তাঁদের ধারণায়
1632a3fe51	616ec	১৯৬১ সালে সত্যজিৎ রায় নির্মাণ করেন
1632ad8368	e55de	প্ল্যাটফর্মেই কাটিয়েছে
1632ebaa55	16a17	সুকান্ত তাঁর কালের জাতক
16331c816f	0e637	জাতিসংঘের নিরাপত্তা পরিষদ
16334701d7	01e91	ফিরোজা বেগমের নাম
1633818243	77f82	চকোরিয়া সদরে
1633f66f7e	0c39f	রিমান্ডে নেয় পুলিশ
1634109a86	351dd	পলিটিকস সমাজকে কন্ট্রোল করে
163487f762	932bb	কহিলাম না
16349487e8	23b22	ইতিবাচক বৈশিষ্ট্যের বীজ
1634f572fd	21e54	প্রতিটি প্রবন্ধই
1634fee73e	54e68	মুম্বাই ছেড়ে
163514f24f	e8dde	চুল না আঁচড়ানো ভালো
163517c4fe	fda1a	আসর শেষ করেছে ব্যাঙ্গালোর
163563eb45	1c618	কর্মকর্তা-কর্মচারিরা
1635e7dceb	9351a	২৪তম আন্তর্জাতিক
1635e9f577	e6d83	নিউইয়র্কে আছি
16360f4c6f	d41be	এবার ফাইলটি
1636113a02	8edea	এক মহিলা তাকে ফোন করে
1636482787	ca088	এলএলএম কোর্সের
1636d81e73	37e17	একই অর্থ বুঝিয়া থাকেন
1636f49fca	2fe3c	সালাউদ্দিন কাদের
1636ffe1a9	948d3	সুনির্দিষ্ট কারণ
163715b73c	2c9c5	এবং কলকাতার
1637afe28f	12702	আজকের রাশিফল
1637d22b6c	14816	দু-চারটে আছে
1638905beb	3f493	ব্যক্তিগত আক্রমণ
16394503eb	2de86	আবার আইন মন্ত্রণালয়ে পাঠাবে
163999c9bb	88654	১০ হাজার কোটি টাকা
16399bc5fd	f0f95	নিজেদের অনুভূতি
1639f5d9d0	1a2a1	চবি ক্যাম্পাস ছাড়াও চট্টগ্রামের বিভিন্ন কলেজে ভর্তিপরীক্ষার কেন্দ্র ঠিক করা হয়েছে।
163a14bab2	e9589	একটি কুঁড়ে ঘর
163ac35c0e	7ee9b	তুমি আমার মনের মানুষ
163be6b127	e2ff7	কর্তা জিজ্ঞাসা করিলেন
163d9c9d3c	31f09	ভালভাবে না পাওয়ার কারণে
163df0b161	f4ba7	পূর্ব ভারতীয় মাগধী
163e380a2c	c5479	অস্ত্রবিরতি চুক্তিগুলোর অন্যতম
163ec2d91b	f6e55	এক ম্যাচ কম খেলে
163f0fa597	7aed9	খন্দকার গোলাম মোয়াজ্জেম
163f853e66	a46e2	বাংলাদেশের নৌশক্তি
163f8d2430	ee994	এবং তিনজন পুলিশ
163fdcf936	8a46d	আমাকে হাঁ করে দেখতে দেখতে
163ff80922	f658d	জনসংখ্যার উপাত্ত
164074d43e	8edea	গ্যাসের চুলা না জ্বলায়
1640cd7aec	fb4cb	চারুলতা
16412d3598	274ee	গ্রেড ফোরে আক্রান্ত হওয়া
1641893585	e6d83	কার্যালয়ের সামনে থেকে
1641d60f26	0d9f1	সাধারণত ফরমালিন দেওয়া মাছের গায়ে পিচ্ছিলভাব থাকবে না।
16428e96ca	a06a1	বল পেয়ে যান
164295fb5b	967fd	করলাম বিরসা দাশগুপ্তের ছবি
1642b78190	2556b	নানির চোখের তারা নড়ে না
1643997fe5	85430	অধিবাসীই মৎস্যজীবী
1644220e4a	a9a58	আছে তাই
1644b14f76	06ea3	সাবান ও মোমবাতি তৈরি
1644bbc28f	f9dfb	প্রার্থনা
16459125a9	e754e	মাঠ ও মাঠের বাইরে ভক্তদের উন্মাদনার বাড়াবাড়ি ঠেকাতে বাড়তি নিরাপত্তা দিতে এখনও প্রস্তুত হতে পারেনি ব্রাজিল।
1645e25f0e	93d3b	প্রচণ্ড বৃষ্টিপাত হয়
1645e28250	9065c	এটা বড়জোর
16460023f3	57d54	বিমল চন্দ্র সাহার ছেলে
164639fc93	2ee04	ঢাকাসহ ৬ জেলার
1646946f1b	33aef	রঙ বেরঙের
1646c7be25	ac904	এঁদের মুখোমুখি তাশরিফ নিয়েছেন
164700708c	56508	তখনো অতিবুদ্ধিমানদের
1647429f8e	14d25	এর ভৌগলিক দিক ব্যবহার
16477c1500	9351a	অভিনয় করতে
1648660a6e	7b103	বড় ধাক্কা খেয়েছিল
16488cce9f	9d398	লঁরা ফাবিয়াস আজ মস্কোতে
1648de620f	a1201	সম্ভব হয়ে ওঠে না
16490b65cf	49543	কোরআন তেলাওয়াত
16496c9756	a1201	চূড়ান্ত করে
1649fef1f5	e9759	বৃহস্পতিবার পুলিশ তিন ব্যক্তিকে
164a3beefa	03284	বাংলাদেশ নানা সমস্যায়
164ae794d4	18a52	জ্ঞানীরা বলেন
164c706592	2bd99	খুব রুষ্ট হয়ে বলবে
164cd0d73a	16877	মনে পড়ে আমিও একদা
164d0bc687	698ff	সোয়ানজি বিশ্ববিদ্যালয়ের
164d305f3c	18460	প্রকাশ হওয়াকে বোঝানো হয়
164da5303e	9065c	বেঞ্চ অফিসারের মুখে
164daf8b10	9fa90	যে যশস্বী হইয়া মরিয়াছেন
164db393fe	870e3	দৈনিক খবর
164dce2152	10a9f	এমএলএসএস বাবুল বিশ্বাসকে
164e063d16	a3a6d	গত মাসেই সারা দেশে ‘লাখো কণ্ঠে সোনার বাংলা’ কর্মসূচি নিয়ে কর্মতৎপরতা শুরু হয়।
164e5a992c	a8710	তালিকা আছে
164efd9022	0edef	কয়েকটি আন্তজার্তিক
164fac753d	860f4	আমার জানামতে ১৮টি ব্যানার কিংবা একাধিক ব্যানার থেকে অতীতে আর কোনো অ্যালবাম প্রকাশ পায়নি।
165025a2f2	d7a68	অজ্ঞাত আরো অনেক
165075d79e	ba2f6	বেশ হতাশ ওই অভিনেতা
1650a74dfc	8c120	অন্তর্ভুক্ত হয়
1650d19584	f1ff2	কৌতুক ছবি
16526920bc	fd880	দিনটা খানিক মেঘলা ছিল
16530a79e2	64092	রণবীর-দীপিকার রসায়ন
165325f27e	6e6fa	পিপাসা মিটিয়েছেন
165364c683	cb627	ওদিকে, মিশরের বিচারিক কর্তৃপক্ষ
16536e018a	16877	আমি নদীতে ডুব দিয়ে আসি
1653c1bb77	536d9	৭০ লক্ষ ডলার বাজেটের
16541cd7c8	9813c	কোনো অস্তিত্ব দেখা যায় না
16544d8c53	b00ba	৩০ সেপ্টেম্বর প্রসিকিউশনে
16545b7618	bfac7	যে তামাকজাত সামগ্রী
1654c05712	1cb75	অনেক ধরণের ত্রুটি রয়েছে
1654eb4a5b	ef4f8	মহাভারতের উপর নির্ভর
1654fb0b10	2ac82	তার নির্বাচনী এলাকায়
16556bdb69	16cfb	এক্সপোর্ট কোয়ালিটির মারসেল পণ্য
1655787ce9	8c120	তখন মনে হয়
16569a43c0	536d9	নিউট্রন সংখ্যা সমান
1656e5b4bd	c11b1	বাড়ি ফিরতে ফিরতে
1656ef9e23	2695f	হরলাল বড় দুর্দ্দান্ত
16572fcf03	b8fe1	পুলিশ ও স্থানীয়রা জানায়
16576adbb1	fbb81	ধর্ষক-নিপীড়করা
1657726583	e55de	আমার ধারনা মিশরে একটি
16580b9de5	da6f0	নির্বাচন চাইতো
1658acd2ce	8c120	সব ছুটে পালাত
1658d7b634	49543	বেস্ট মুভি
16595a68ac	18460	এ ছাড়া এখানে আছে
1659646967	3fc9d	হয়েছে অভ্যন্তরীণ বাজারে
165971de53	ec91c	কারাগারেই হওয়া উচিৎ
1659899335	4237e	সৃষ্টির শুরুতে
1659b27942	7b60a	যদিও এখন
1659c0d90c	7f71c	হাজার হোক
1659dec02f	66dcd	তখন পুঁথিলেখকেরা সবান্ধবে
165b06d4a9	c7a89	তা অভূতপূর্ব
165b4ff6be	ff1eb	মেনে চলেছেন সুচিত্র
165b74b9eb	72649	লাদেন
165b9ebd3a	01e91	বাংলার কাব্য সর্বশ্রেষ্ঠ
165c7d0526	12702	অম্লের গুণাবলি আছে
165c99ed1f	4ea73	কয়েকজনের সঙ্গে
165d017453	bdfc1	অস্বীকার করার
165d193514	14816	হতে চলেছে
165d4fabe3	80539	সম্ভাবনা নিয়ে
165d8fa16b	24f73	স্থাপিত হয়েছিল
165e73aa30	ce180	অতিক্রম করলে
165e905b3b	a1201	হাসপাতালে দিনে তো আছে
165f51800e	aabe7	নারায়ণগঞ্জে খুন হওয়া একজন পৌর কাউন্সিলার নজরুল ইসলামের পরিবার অভিযোগ করেছে, পুলিশের বিশেষ বাহিনী র‍্যাব তাকে তুলে নিয়ে হত্যা করেছে।
165f75f723	39dd0	এ রেখা বৃত্তাকার
165fcf59fb	a274b	নির্বাচনী ইশতেহারও ঘোষণা করেছে
16603a442e	9f25e	দেশটির প্রেসিডেন্ট বেনিগনো এ্যকুইনো বলেছেন মৃতের সংখ্যা আরও বাড়তে পারে।
1660f0cead	29bab	দেখা যাবে শিপনকে
1661574859	b5fdc	পিঁপড়ের বড্ড পরিশ্রম হয়েছিল
1661c2520f	e2c11	৪টি উপযুক্ত শর্ত রয়েছে
1661eb7205	6ee5f	ছাদের দড়িতে
1662451d3c	7ee9b	রয়েছে এই কক্ষে
16624ac0f3	ee852	ট্রাক ও পিকআপ ভ্যানের
1662a4a600	53396	তবে মাদ্রাসার পরিচালক
1662d30895	ad050	জাতীয় সঙ্গীত গাওয়ার সময়
1662f09382	71522	বজলুর রহমানের ধারণ
1663111b88	778c0	দুর্নীতিবিরোধী আন্তর্জাতিক সংস্থা টিআইবি
16632f9d64	e3d8b	বাঙালি বংশোদ্ভূত সুব্রতর
166363b276	ad98d	ব্রিটিশ রাজকর্মচারী
1663bf626a	46d49	হঠাৎ ভিন্নধর্মী এক রণকৌশলে
1664008f44	a274b	আমরা দেখিনি
1664609398	11915	অনুসারে বছরের
166500ad71	e9759	অ্যানাফিল্যাক্সিস হতে পারে
1665322f1f	ec91c	হাই কোর্ট এক রায়ে
1665375caa	b8bdd	এসপি আরশাদ ওই বাগানবাড়িতে
1665670fb2	13b6a	স্থানীয় পরিস্থিতি বিবেচনা করেই
166585093c	1f733	অ্যারাউন্ড দ্য ওয়ার্ল্ড ইন এইটি ডেইজ
16661160db	ec91c	বায়ুর বিশেষ পরিচয়
16670a9df9	0895a	সকাল থেকে হাজার হাজার
1667511cfe	a274b	এবং ভোটার উপস্থিতিসহ
1667c208b5	bdd05	জনপ্রশাসন মন্ত্রণালয়ের হাতে
1667e5fae5	7d133	ফুটবল খেলায়
1667e6e6a6	4fbd1	ওয়েলব্যকের ব্যর্থতায়
1668195395	121bd	মৃত ব্যক্তি নিশ্চয়
16682a239a	b9b98	দলটি গত কয়েক দিন ধরেই
1668821237	13b70	বর্তমান সংসদ জনপ্রতিনিধিত্বহীন
1668df281b	e6752	দোকানগুলোর দরজা-জানালা ভেঙে ফেলেছে
1668f29e9f	80518	অনেকদিন তো স্বর্ণের দাম
1668fcebd8	11de3	জর্জ এভেরফ,
16695f163e	83c53	বাকের ভাইর ফাঁসির প্রতিবাদে
1669707cb2	1e7c6	চেতনা ব্যতীত
1669bf394b	f6e55	একটা চাবি থাকে
1669c8b831	2bc73	দলীয় নেতাকর্মীদের প্রতিটি এলাকায়
1669d43884	6ab59	থেকে অবসর গ্রহণ
166a07d35d	153c9	সেটিও ফিরিয়ে দেন
166a1ef730	4c1eb	গিলি, গোগ্রাসে
166a321fc0	d9b11	লোকজন আসেন
166a7f6faf	778c0	রাষ্ট্রপতি নির্বাচনের তারিখ
166bc70666	d3e06	উপরিপাতন নীতি
166c039bf5	8143b	দেশের আয়তন অনুপাতে
166c071a76	93bf3	বিদ্যা
166c144010	0a87a	সেসময়ে খুব দ্রুত মানুষের কাছে
166c743569	93080	রকমারিতে
166ca289d8	2fe3c	পরিবহন সমিতির মহাসচিব জানান
166cca5d24	9282d	বেড়াইয়া থাকেন
166d267805	d7a68	কথা বলেন
166d5b91d9	db181	বেরিয়ে এস বিবর থেকে
166d9b3ca7	f2780	বাংলাদেশ সরকারের পক্ষ থেকে
166dce9e3a	5d12f	দেরাজের ভারি কাঠ
166dfed786	7b103	হতাশ হয়েই
166e367ca2	554fe	বন্দরে বন্দরে আটকে আছে
166e9bdf5b	18a52	আটক করে নিউ ইয়র্কের পুলিশ
166ee9a077	5dec6	হুট করেই পদত্যাগ করলাম
166efc8cfe	1a4a9	আমেরিকায় আসছে লোকটা
166f07908d	43fc0	ধীরে ধীরে এর উজ্জ্বলতাও বাড়ছে
166f46d683	bf530	যতদূর জানা যায়
166f8626bc	c749e	আগমন ঘটবে
166f8781c5	fcefa	ভয়ংকর গল্প
16700c3f62	4a918	রবীন্দ্রনাথের বদলে
16704b2e22	ce180	ব্যবহারে সতর্ক হওয়া জরুরি
1670ab856b	6e8cb	চালক একবার
167118695c	4a918	নিরাপদে পণ্য পাঠাতে
16717ba91c	4e900	নির্বাসিত জীবন
1671b9f9ba	85430	মাথিনের করুণ পরিণতির
1672186d2c	3d17c	ব্যবহারকারীর কাছে
16725d0540	e55de	বিখ্যাত কবিতার বই
1672641c39	09b32	গোপন নজরদারী কার্যক্রমের
1672a05ad5	4c555	টিকিট পেয়ে
1672a6ec9d	cc18a	এই অভিযানে
167312ad35	8c07c	পরিস্থিতি পুলিশের নিয়ন্ত্রণে রয়েছে
16733c8d8f	17ca1	হাত থেকে রেহাই পাওয়া
16738c2d11	976b1	আপনার হাড্ডি খিজির
1673a2937a	f600a	চেষ্টা চালিয়েছে
1673a898e9	15a75	সন্ধ্যা গড়াতেই
1673dbf679	d82d9	এবার ক্ষতিগ্রস্ত হচ্ছেন
16744f9e7d	0a87a	লাখ লাখ টাকা
1674d12ffd	98b81	তিনি দু'দফায়
16750a574b	2bc73	তাহলে তো খেলতেই হবে
167532f57a	92f59	সে শাখামৃগ
167537854e	da6f0	অচ্যুত সামন্তের
1675909cd2	10a9f	চলবে না
1675caf336	0d9f1	বলাকা সিনেমা হলে
1675e142ce	351dd	বেশ কয়েকটি গাড়িতেও
1675ebdf84	e9589	তাছাড়া বেশ কিছু
167625129c	b9122	আইএফএ শিল্ডের ফাইনালে
16766d6579	5cb47	হঠাৎ মনে পড়তেই
1676839b14	85430	কানাডা জব ভিসা
1676cd6be3	2ad74	বাংলাদেশ ব্যাংকের গভর্নর
1676f365fa	d2355	তাহা তোমাদিগকে বলি
167775a629	d136b	মূল বাধা হচ্ছে
167780f678	68549	ব্যবস্থাপনার কাছে
1677978f05	b4ea7	নতুন কবিতা
16779c3cde	a3a6d	আগের দিনই শিরোপা
1678789ccb	5b13f	ফলে বোঝাই যাচ্ছে যে
16795fe5d0	4dd57	সেখানেই তাদের প্রতিরোধ করা হবে
16797a5377	93bf3	বিলে গ্রেপ্তারি পরোয়ানা ছাড়া
16797d3af8	ad2a0	তে দুটি ফেরি
16799e701b	d82d9	চ’লে যাবে শহর বন্দর
167b9312c7	2c9c5	শুল্কমুক্ত সুবিধা দিচ্ছে
167bb77269	53396	আরজে সালমান
167bec90b6	c3cb3	না মানার কথা উল্লেখ করে
167c707505	88654	বিজয়কে সাহায্য করতে পারেনি
167caac4e5	ad050	পানির তলা দিয়ে
167cc55f27	cb842	জুতাগুলা লইয়া এইখানে দাঁড়া
167ce1cbd3	e31e7	অহিংস গণ আন্দোলন
167d22ba89	06736	দেশের শিক্ষিত
167d261dd7	a9a58	শ্যালক দীপক
167d3c9df3	93d3b	সেই তালিকার শীর্ষে
167d46832b	ea8fa	মতিঝিল এলাকা ছেড়ে যায়
167e731380	3fc9d	বিজেপি জয়লাভের কথা
167e7c3256	388c9	নিজের শরীর দেখাতে
167eab1bca	c7a89	ডালপালা কাটা যেতো না
167ead1465	5dd61	২২ মিনিটে তার গোলেই
167f1d8e9c	65652	দখল করে রেখেছে
167f2805cc	ee886	পাওয়া যায় না
167f55b03f	089ef	এদিকে টানা একবছর ধরে
167fad1a6e	52f27	পৃথিবীর সব মানুষকে
168036e5f6	09b32	দিল্লি সফরে যান
1680cb2f17	4dd57	শুনানিতে তারা
16811b3138	d8c80	বিশেষজ্ঞদের মতে
1681d94fef	47e8d	আক্রমণাত্মক এক ইনিংস
16821e0c2a	976b1	সংরক্ষিত আছে
1682d2e865	0744c	জ্ঞানগম্যি নেই আদৌ
16832fc58b	693cb	মুক্ত চলচ্চিত্রের অবস্থা
1683472f01	b5fdc	সেই বর্ণনাগুলো দিচ্ছে সে
16834aa33c	ff970	তার ওপর টেবিল ভেঙেছে
1683826f82	16e96	গরুরিয়া গ্রামের আম্বর আলীর মেয়ে
1683aa017e	b9122	উজ্জ্বল ভাবমূর্তিটি
1684fbe4bc	153c9	তারা অবশ্যই ভালো
16850ee4a8	d82d9	সাধারনত করি না
168528f3a1	616ec	মন থেকে শরীরে
16852e8de7	b7be9	আকষর্ণীয় এ মোবাইলটি
168544b958	49d63	জুড়ি ও ঢোলবাদকেরা বসেছেন
16856e60f1	7898e	আমার শ্বশুর-শাশুড়ি তো
1686c247d9	ba2f6	মার খেতে খেতে
1687150def	0d9f1	আইনশৃঙ্খলা পরিস্থিতি
16872b51e0	68ab7	ওয়েবসাইটে টিকিট কেনার
16877028f3	6c17f	ওই হামলায়
16877677db	11de3	আমি অবাক হলাম
1687ab08d9	d9081	গত বছর হজ ব্যবস্থা সুষ্ঠু হলেও
1687abdfc8	82926	এই তথ্যটুকু মনে না রাখলে
16884514cb	acb88	উদ্ধার কাজ সম্পন্ন করেন
16887ba76a	420df	শামীমুর রহমান শামীম
16889d54bf	eecdd	এতই চুপিসারে সেরেছেন
1688a8c3a6	16cfb	১০০ জন শ্রমিক
1689026222	e3f89	কয়েক দিনের ছুটি নিয়েছি
1689bec6ee	e43d4	খবর নিশ্চিত করেছে গুগল
168a41b0fd	616ec	বাধার সৃষ্টি করেন
168a822dfd	ce629	পূর্বদিনের যুদ্ধে
