ff00163552	49543	মৃত্যু ৯ সেপ্টেম্বর, ১৯৬৮
ff1010e6fa	b8ed8	রাজশাহীতে এই নির্বাচন
ff103a7b30	fbb81	আমি তদপেক্ষা সৎ পরামর্শ
ff1098a3c0	16e96	এমনটা ভাবনায় আসেনি
ff10c522a7	9fa90	বিভিন্ন ঘরানার পাশাপাশি
ff1156f915	4a67e	আত্মীয়দের একজন বাড়িতে প্রবেশ করলে
ff116dfb26	ca088	দুটো দলের অংশগ্রহণ অপরিহার্য
ff11b42dd0	2840e	ক্রিকেট দলের সঙ্গে জিতেছি
ff11d5e310	43b04	বসেন বরযাত্রীরা
ff11e5061f	ea5be	একটি করে বর্ণ
ff123f8e26	491a5	আলাপ-সালাপ হল
ff12de1664	c7705	দ্বিতীয় কোয়ালিফায়ারে খেলবে তারা
ff12fb8df3	d136b	যথারীতি এবারও ছবিটি ছিল
ff135ddb7e	7ed14	এনসিসি ব্যাংকের
ff136d90d5	2909b	কান্নায় ভেঙে পড়েন
ff1386f4ca	4a67e	বিতর্ক হয়
ff13c72be5	ca088	দড়ি ছিঁড়িবার সময়ে
ff141b51ed	9065c	আমি যাহাকে
ff146f790e	d2294	শান্তিপূর্ণ উদ্দেশ্যে
ff152ce6fb	3fc9d	বাতিল করা হয়েছিল
ff15e15c36	1e7c6	প্রধান প্রধান
ff15ec315a	a7c6f	লোকনাথ বাবা
ff15f0cc87	16cfb	আগামী নির্বাচন পর্যন্ত সময়
ff160e2f67	11bd2	হোমারের ইলিয়াডে
ff1650c9ec	f1ff2	ইল্যান্সের দুটি ওয়ার্কশপ
ff16907345	2fe3c	করের হার ২৫ শতাংশ
ff171f2a85	509f6	বললেই চলে
ff1763faf0	282d3	তেজস্ক্রিয় এবং মৌলগুলো
ff1932a59b	355c1	স্থানীয় কাজী হাসপাতালে
ff19568dc5	7027a	নাম, ধর্ম পরিবর্তন করে
ff195982cf	fbb81	প্রচ্ছদ ও আলোকচিত্র
ff19e52f3d	693cb	স্বরাষ্ট্রমন্ত্রণালয়ের অনুমতি নিতে হত
ff19f7cbc3	4bede	উপস্থাপিত পুরোনো একটি মামলার
ff1a14c7e8	c0d65	আবার ঘুরে
ff1a7c5f15	2fe3c	ইতিহাস বলে
ff1b0ed727	5b13f	তিনি ডাক্তারি পাশ্ করেছিলেন
ff1bca7cb7	282d3	বলতে এরূপ তত্ত্বকে বোঝায় যে
ff1bd4d5ea	c3cb3	কিশোর বলিল
ff1be78f2c	ee994	যুক্তরাষ্ট্রের কর্মকর্তারা
ff1c002a2f	ea8fa	সম্মানের জন্য বড় বেশী রকম
ff1c1ca813	6e6fa	সেন্টমার্টিনে বহুতল ভবন গড়ার
ff1c76e788	61820	রাজধানী স্থাপিত
ff1ca6414b	ee886	স্মৃতিকে অমর করে
ff1ccd29f9	2556b	তেমনই পুনর্মুদ্রিত করিতে চাই
ff1cd087fe	b2a62	গাজার উপকারিতা
ff1d0f1d50	d71a3	মুন্সিয়ানার পরিচয় দিয়ে
ff1d56395c	ca088	ঢাকা জেলার কেরানীগঞ্জ এলাকায়
ff1d7579f2	bbb22	মাগরিবের নামাজের বিরতির সন্ধ্যায়
ff1d9dc091	767ff	যাদের সঙ্গে
ff1e251a39	da6f0	টেলিটক
ff1e2b0ef8	c958a	অলিম্পিক গেমস ইন্টারন্যাশনাল স্পোর্টস ফেডারেশন
ff1f21f01b	0606d	এটি শুরু থেকে এখন পর্যন্ত
ff1f45bb62	6ee5f	আমরা পরাজয় মেনে নিয়েছি
ff1fa59d0f	d2d71	পানির তলা দিয়ে
ff1fc10940	39dd0	তাদের সারাজীবন শেখানো হয়
ff1fd3e5ea	ee7b2	নিজেকে ইসলামের
ff205356a6	75936	বিশ্ব তামাকমুক্ত দিবস
ff206a4d58	f2097	নীল নদ
ff20b8780e	2fc12	করে নেয়া হয়
ff20eedb61	b4ea7	আঞ্চলিক পরিষদ গঠিত হলেও
ff2122332c	85430	এ ধরনের ঘটনাকে
ff2127db52	da6f0	পূর্ণিমার সময় অনিদ্রায় ভোগেন
ff21809d28	0a7a0	বকেয়া আমদানি বিল
ff21fa491a	6fb36	সবচেয়ে বেশি সতর্কতা
ff2255f878	ce629	নাকে খত দিচ্ছেন তো
ff22625da9	0744c	দিলরুবা ইয়াসমিন রুহী
ff22dcbfc7	3c897	আল্পসের তিনটি প্রধান শাখা
ff22e3c265	4a67e	পর্তুগিজ তারকার ২২তম গোল
ff237b4d3a	809cd	পরবর্তী সময় কি আপনি
ff23adc612	c1e30	এই ঘটনা ঘটল
ff23bef5fd	9b864	বাংলাদেশের পক্ষে
ff23f4ffef	08458	পাওয়া গেল
ff244e91a1	e3f89	১০৮ কোটি টাকা
ff24c3c992	f280a	ডালের চাহিদা
ff24e21f5a	f2097	ধর্মই পারে সমাজকে উত্মম রূপে নিয়ন্ত্রণ করতে।
ff24ec73d3	09f0d	ওই সংখ্যাটাও বাড়াতে হবে
ff2542e8ce	b618b	দুমড়ে মুচড়ে গেছে
ff25452c09	9092b	ঔপনিষদিক দর্শনের সঙ্গেও
ff25989f8a	e2c11	তারা বাস করছে
ff25a524b7	fd880	সমস্যার মুখোমুখি হবে
ff25fffa9b	42898	প্রধানমন্ত্রীর কার্যালয়ে
ff2625cc2e	4a67e	সোনার তাজমহল
ff2635bad1	24aed	হামেশাই তাঁর গানের
ff26898bf4	5639c	অলিম্পিক গেমস হল
ff26b611f7	a1d4a	দক্ষিণ দেয়ালের উপরে প্রদর্শিত হচ্ছে
ff26e8db3f	4ea73	সেটি সত্য নয়
ff27374bfc	cb842	তারাবি নামাজ পড়তে চাইলাম
ff27b2d799	5cb47	টাইম ম্যাগাজিনের বিচারে
ff280f5bb9	5dd61	মিক্সড অ্যালবামের জন্য
ff2861856a	d3e06	চিন্তাধারায় মার্ক্সীয় অর্থনীতির আগমন
ff287b183a	3f493	কথাগুলো বলে
ff29bd36ae	c4973	জ্বালানি খরচ
ff29e619ea	ce180	সুলেখার বিয়ে খেয়ে আসেন মা
ff29f70926	23b22	নির্বাচন কমিশন থেকে
ff2a15279e	7f71c	বিষয়টি মালিকের কথাই
ff2a68f8d4	bdd05	মধ্যপ্রাচ্যে অবস্থিত
ff2b168e8b	16877	সুরমা জাহিদ আলোচ্য বইয়ে
ff2b774576	e754e	প্রথম দিনেই ছায়ায়
ff2bafdf12	ca088	তাঁরা বাস করতেন
ff2c98f480	c0d65	সম্ভ্রম ও সমাদর লাভ করিলেন
ff2d03c781	a8710	মোহনগঞ্জ গিয়েছিলেন
ff2d426b8a	967fd	যে কিছু টাকা আছে
ff2d4f6fab	91dff	প্রধানমন্ত্রী বানাতে
ff2da8d162	10a9f	বিশ্বাস করতে পারছি না
ff2dd24689	ad2a0	দয়া মায়া বলতে
ff2ddaac99	6d129	মোটামুটি ব্যবসা করলেও
ff2e0bd0a8	4c1eb	আশ্বস্ত হতে পারলাম না
ff2e23722e	49d63	ফকির আলমগির তাই গণসংগীতকে
ff2e412008	f600a	আগামি অর্থবছরে রপ্তানি প্রবৃদ্ধি ১২ শতাংশ এবং কৃষি খাতের প্রবৃদ্ধি সাড়ে তিন শতাংশ পর্যন্ত হতে পারে বলে রিপোর্টে বলা হয়।
ff2ee57623	ff0fe	অন্যের কথা দূরে থাকুক
ff2f03217b	ac904	রাজাদের সুশাসনে
ff2f6c0d60	8b859	অ্যাসিডের ভেজাল শনাক্ত করতে
ff2fcb34bf	b618b	এমন বিশ্বাস মহীশুরের ঘরে ঘরে
ff30348fcc	2ecf8	দেবদ্বিজে ভক্তি
ff30951ec0	a1201	ঋণ নিতে পারবেন
ff30fc2458	32998	রং বদলাচ্ছিল
ff312bb4ca	c958a	ও টেলিফিল্ম
ff313ebad4	60b9d	ওই অভিজ্ঞতার আলোকে
ff315eafb7	c5479	দেখতে পাওয়া যায়
ff318a25a1	ea5be	আর সেই পর্যবেক্ষণের
ff31fc581d	4f2ae	অংশচ্ছেদ হল
ff3220c3e0	4a918	মায়ের হাত ধরে
ff328a86f2	dec2d	মোহাম্মদ নাসিম সভাপতিত্ব করেন
ff32af908f	4fc91	এম কে রহমান
ff3314a6fe	7351e	গ্রামবাসীরা এই আনন্দে
ff33a6a92b	43199	নেত্রকোনা সংবাদ
ff342e6292	6aac8	দর্শকপ্রিয়তা থাকায়
ff3474e6eb	194f5	আজ সকাল ৯টার দিকে
ff34a6323e	cb842	অর্থাৎ সেসময় কোন বিজ্ঞাপন
ff34d0f318	9d7bf	স্থান কাল ভেদে
ff34d8ef42	53396	শিরোপা হারিয়েছিল
ff34f443d4	56508	অথবা শিল্পী
ff3524caf7	7d133	পেশিতে চোট পান রোনালদো
ff352ea844	fd880	প্রকাশ করা হয়েছে
ff354b4a33	282d3	পরে সকাল ৯টারদিকে
ff35b12ede	e6e48	প্রিমিয়ার শো করে
ff35e43297	13b70	চূর্ণ করেছে
ff35e9e086	75626	শহরের পথে
ff36858097	323f1	কান পাতা দায়
ff369e947c	eaa7a	সাক্ষাৎ হইল
ff36df4a65	08458	ওষুধের প্রভাব কাটেনি
ff370ec41f	28bb3	মহাদেশ
ff37683520	f2097	মাথা ঘামানোর দরকার নেই
ff37f75df6	f280a	রাষ্ট্রশক্তির অভ্যুত্থান-কাহিনী
ff38051530	66dcd	মেয়ে-মৌলবি তো
ff38659040	d1a48	মন এখনো একেবারে অপরিণত
ff389f69a5	85430	কয়েকদিনের সহিংসতায়
ff38e01f5b	b08d0	অগ্রণী ব্যাংক লিমিটেডের
ff38e79042	52578	নতুন এই সুদ হার
ff390ab339	06736	সামগ্রিক প্রস্তুতি
ff396223e9	8a46d	১৯৩৯ সালে নাতসি জার্মানি
ff39ed281a	01e91	টিআরপি হচ্ছে
ff3a153b2f	321b6	আমাদের আত্মবিশ্বাসটা
ff3ab32212	1652d	গোল পেল মেসি-নেইমার জুটি
ff3af46c52	10a9f	উঠতে পারে না
ff3b4334c4	9642e	পাওয়া কঠিন হতে পারে
ff3b50e2da	ee886	তখন তার পাশে ছিলেন
ff3b7d68ca	28bb3	এবারের আয়োজন
ff3becfdc8	c3cca	লালনের চোখে
ff3bff0323	0d9f1	পানি নামছে
ff3c920e9f	717bb	ট্যাবলেটটির জন্য
ff3cb6daee	1de6c	তাও হয়েছে দেরিতে
ff3dc6f41b	10a9f	প্রাথমিক পর্যায়ে ৩ হাজার ৪৯৮ ফ্যাক্টরি
ff3deeb554	76329	ভয়ংকর ভূতের গল্প
ff3e200fbf	3f493	রিয়ালের জয় নিশ্চিত করেন বেনজেমা
ff3f1917fa	4a67e	রংপুর পৌঁছেছে
ff3f300bfe	c11b1	লালন করে চলেছে
ff3f6eb149	35ef3	আম আদমি পার্টির নেতা
ff3fcb6b20	355c1	উভয় পক্ষের প্রস্তাব
ff3ff5bf19	37e17	নানা মহলে
ff4070de3f	717bb	আমিও তেমন
ff4077eadb	5dd61	বিকালে তাকে লালমনিরহাট জেল হাজতে
ff407db9a4	15a75	বাংলাভাষী মুসলমানরা
ff410238b3	121bd	দেখা দিয়েছে খাদ্যাভাব
ff41837e74	fbb81	বিরল নহে
ff41ad3cc8	18a52	টর্চের ব্যাটারির তেজ
ff41d34085	491a5	তাদের সাজার আদেশ দেন
ff41d9438d	b8fe1	সমধিক ভয়ঙ্করী হইয়া উঠিয়াছে
ff422509fe	967fd	আবার সব
ff422b8194	e7230	খুবই জরুরি
ff42412cc0	4237e	নিজেকে গড়ে তুলতে চাননি
ff42a9e138	77f82	ভাজা ব্যঞ্জন
ff4317e1c4	bcaa8	পুলিশের কাছে ধরা দিয়ে
ff43945999	ee994	সম্ভাবনা নেই
ff43f98f84	75626	১৯১৬ সালে
ff4407d7a3	61820	সাধু, সাধু
ff44516b53	b8ed8	নিরাপত্তা চুক্তি নিয়ে
ff44ac7b85	3faff	আশী হাজার বলিলেও
ff44d61d7b	c3cca	বা আইন শৃংখলারক্ষাকারী বাহিনীর হাতে
ff454c21fd	767ff	২০০ খ্রিস্টাব্দ পর্যন্ত সময়ে
ff458c8ccc	dae88	তাকিয়ে বললাম
ff45be1048	13b70	জোরালো শট থেকে
ff46178dc7	93bf3	এ প্রেক্ষাপটে
ff46252a5f	7b60a	এক্ষণে উভয় গ্রন্থই অপ্রাপ্য
ff46a4777f	d2294	হাটবারের দিন
ff4757d864	6973e	ঢাকা শহরে চলাচলের জন্য তৈরি করা হয়েছে একটি 'বাস মানচিত্র'।
ff47a809ed	520fb	থাবা থেকে
ff47b4b389	f29bf	তবে সরকারদলীয় সংসদ সদস্য
ff47e730e9	2fc12	খেলোয়াড়রা যে খানিকটা বিব্রত
ff484069cc	37e17	দেশের শিক্ষিত
ff48bba3c7	60f77	তাকে ঢাকায় আনেন
ff496158e2	c0965	আমি ব্যক্তিগতভাবে আপনাকে
ff496e238c	17ca1	মুদীর দোকান
ff49b05220	b618b	নিরাপত্তার যে অভাব
ff49b6f6bf	95907	হলিউডের ইতিহাসে
ff49bfca89	11bd2	চলে গেছে
ff4a60da3c	6e6fa	নতুন বেতন কাঠামো
ff4aa8e829	e6752	অকল্যান্ড ইন্সটিটিউট জাদু ঘর
ff4b061915	1e7c6	বর্ণনা রয়েছে
ff4b0bd427	ff1c3	তাতে বিএনপিও অংশগ্রহণ করতে পারবে
ff4bc7a88c	06e62	বাঙালি জাতি
ff4c2e33f8	91ac1	বলছিলেন ফরিদপুর থেকে আসা আরেকজন
ff4c455732	a0277	অনেকের কাছে এটাই আঁতকে উঠার মতো পরিসংখ্যান।
ff4c93da37	6c17f	এবং এ খাতে
ff4cb4be28	ff970	আবার অনেক জায়গায়
ff4d0144dd	491a5	থাকা যায়, থাকি
ff4d18f3e5	f6e55	হাসপাতালে আনার আগেই
ff4db00cf4	23291	ইসরায়েলি বোমায় নিহত হন তিনি
ff4db450ef	ef915	এমভি হোপের ক্যাপ্টেন রাজীব কর্মকার
ff4dfc3000	9065c	তুলতে পারেন
ff4ff7246f	bd576	অভূতপূর্ব এই পতনের ধাক্কায়
ff4ffcccdd	7f71c	ছাই ফেরি করে বেড়াচ্ছেন মরিয়ম
ff50cd30b8	d5213	সে তা থেকে পিছিয়ে যাবে
ff50db4ce7	75936	২০০৪ সালে তালিবাবাদ ভূ-উপগ্রহ কেন্দ্রসংলগ্ন ২৩১.৬৮৫ একর জমি হাইটেক পার্কের জন্য অধিগ্রহণ করা হয়।
ff50ece7aa	75f18	এমন একটা ওস্তাদ হয়েছে
ff52d3bfa7	11bd2	নির্দলীয় সরকারের অধীনেই
ff534a0e20	ac904	আরো খারাপ হতে পারে
ff534ab349	536d9	ডাক ব্যবস্থা ও ভৌগোলিক ভাবে
ff5384c776	66b3c	আনসার ভিডিপি
ff53ff33e3	6a35e	রাকিবকে সেখানে নেয়া হয়
ff542c8c08	3faff	প্রণাম গ্রহণ করুন
ff5434c60d	b8bdd	থানা সদরের
ff544b660c	5a61c	সুনীল কুমার বসু
ff549b3e80	e8dde	এজন্য আপনাকে
ff54eb8aa7	c0965	সেটিকে তারা
ff55713a52	ac0df	তিনি ভারতের
ff567c1c4f	fda1a	মেডিসিন বয়
ff56a2bb1a	b8bba	দেশি বিনিয়োগের
ff56eb155f	f0f95	বলেও মন্তব্য করেন তিনি
ff56f5000e	76329	মনে বুঝে না
ff5741c3d7	fb4cb	নির্মাণ করেছেন
ff5796ed2d	7297e	তাদের মনে ফের আশঙ্কা
ff5818ba80	ad2a0	সব কিছুতেই
ff583efe13	b4ea7	আরও জটিল
ff585b0e3b	239f7	সেটি ১৭৬০ পাউন্ড দিয়ে
ff58ff132f	11de3	সাতটি ট্রাক ভাড়া করেছিলেন
ff591ca066	2396d	নখ
ff5a712a28	33aef	ক্লাসের অন্য ছেলেরা
ff5a853b1d	dfefa	যখন কোনও পুরুষ
ff5ad02931	e03ce	আদালতে আবেদনকারী পক্ষে
ff5af90b24	c11b1	সেটি আমি বলতে চাইনা
ff5bd07f36	2ecf8	ফের শুরু হয়েছে
ff5be56f1d	321b6	অনির্দিষ্টকালের জন্য বন্ধ ঘোষণা করে
ff5beb515a	91230	উত্তরাঞ্চলীয় জেলা সিরাজগঞ্জে
ff5c16c2d2	adf01	দ্যা নিউএজর বিশেষ প্রতিনিধি
ff5c5642b5	dec2d	দশ থেকে পনেরো মিনিট হেঁটেছিল
ff5d09c38e	80518	মিজানুল ইসলাম
ff5d0d9dac	e68af	বাংলাদেশের ক্রিকেট বোর্ডের
ff5d359681	92bd8	যদি যেতে চাই
ff5dfd512d	bbb22	প্রতিযোগিতার ফাইনালে
ff5e0d83f8	ce775	নষ্ট হয়ে গেছে
ff5ec044ae	a4750	নিজের সন্তানের মতো
ff5ed7fe78	e7230	মোট দৈর্ঘ্য
ff5f0edbc4	e3f89	ছেলের কাছ থেকে
ff5f40e006	3bb15	ভারতের ১৩তম প্রেসিডেন্ট
ff5f49c5c9	fbb81	গ্রেফতার করেছে পুলিশ
ff5f515885	2b883	আক্রি একটু একটু করে
ff5f76577e	9d7bf	প্রথম সেট জিতে
ff5faf374a	e2ff7	সম্পর্ক থাকে
ff5fb02f24	a916a	অপেক্ষা করছিল
ff5fe7f510	730c3	অতি ছোট এই বাংলাদেশ
ff600ac7e5	c11b1	কোতয়ালী থানার
ff6134a119	46da4	দুটি ভিন্ন ধরনের
ff6168151e	29bab	তবে আয়েশা বেগম
ff621ac6e9	d1b12	তদন্তকারী অফিসার
ff62ec90df	e03fc	সেক্ষেত্রে বৈধরা ধরা পড়ে
ff63188707	3fae0	গরম তেলে
ff6391fcdd	6e6fa	হেরে গেছেন আনা ইভানোভিচ
ff63982fd7	f2097	বৃষ্টিপাতের সম্ভাবনা রয়েছে
ff63aa9bf6	11915	তাদের অনুপস্থিতিতেই
ff647547d7	bf530	লক্ষ্যভেদ করেন তিনি
ff648ad9c2	aa820	নতুন ছবির গান
ff64985e7a	92bb2	নানা তৎপরতা
ff64bd8d3c	a43b5	পরীক্ষা ঠিকই চলছে
ff64e33ce2	60b9d	বিভিন্ন সময়
ff653fe111	eaa7a	বর্তমান মূল্য
ff66014788	536d9	সাক্ষ্য দেয়া শেষ
ff666fdce4	52578	ডাক্তারি পরামর্শ
ff66f35189	8edea	একজন পুরস্কারপ্রাপ্ত
ff6846db58	a8710	আঁখি আলমগীর কথা বলেছেন
ff686d050e	aabe7	পড়াশুনা অথবা সৎ কথার আলোচনা
ff6875cc54	ff970	উদ্দেশ্য আমাকে পরিচয় করিয়ে দেবে
ff68a13a80	6e8cb	কাল
ff68b1d260	77f82	আটটি বেসরকারি উচ্চশিক্ষা প্রতিষ্ঠানের
ff6911e5df	4bd2c	ঢাকা ও চট্টগ্রাম মহানগরীতে
ff6947a898	e6d83	এইজন্য ইহা অনেক দিন
ff695fdb40	c6848	আল সিসির রয়েছে
ff6a01d906	ca088	সহায়তা করার জন্য
ff6a19c56c	a7c6f	পাশাপাশি এগুলো নারী-পুরুষের
ff6a20954e	ad69a	পিকআপভ্যানটি ডাওরী
ff6a7b2ebf	2de86	মি. ম্যান্ডেলার স্ত্রী
ff6a885262	967fd	এইডস
ff6aa35a47	66c6b	ফিল্মস ডিভিশনও তো
ff6b28b8ba	bbb22	তৈরী হয়
ff6bd92ce6	68549	ব্যাপক সাফল্য পেয়েছেন
ff6bf5e15a	54e68	যে ‘বাঘ’ হবে
ff6c16bff7	d711f	এবং মি. আশরাফ ছিলেন
ff6c8d6063	b618b	তাদের চুক্তির বিষয়টি ব্যাপক অর্থে
ff6cb60435	24f73	এ অধিকার আদায়ের অংশ হিসেবেই
ff6ccf368d	1f974	সব শেষে এমন তথ্য জানিয়েছে
ff6cff4fec	a7c6f	সিলভার বিয়ার জয় করে
ff6d471375	239f7	সামরিক হস্তক্ষেপের বিরোধিতা করে
ff6d5d73ea	f0f95	তাদের প্রতি কৃতজ্ঞতা জানানোর
ff6d6a093c	6a35e	ফিল্ড মার্শাল
ff6d7596d5	4bede	তাহাকে একবার আচ্ছা করিয়া
ff6de85ab5	9642e	সেকারণে শ্রমিকদের
ff6e830cf8	4bede	আবাদি জমির পরিমাণ
ff6e98160f	a9a58	মানুষের দীর্ঘশ্বাস
ff6ee2090a	e6d83	তার অপেক্ষার প্রহর
ff6f3187a1	d5f7b	উক্তিটির যথার্থতা
ff6f788e53	91230	মাঠে নামতে পারেননি তামিম
ff70cbe0e0	acb88	রিখেনবাখ্ জলপ্রপাত দেখেছিলেন
ff715ab07b	f2097	রেলওয়ের হাসপাতালকে
ff71b0e42e	ad2a0	চিকিৎসা
ff71ea44e0	5dec6	সার্বিয়ার আনা ইভানোভিচ
ff72368db8	b8ed8	বছর বছর
ff73390cf4	4ea73	গত ২১ ফেব্রুয়ারি শুক্রবার রাতে
ff739e9fe8	6da0a	কামাল পাশা
ff73b68c4a	7f71c	খানিকটা হলেও স্বস্তি পাবে
ff73dc27f4	430b2	৩ হাজার ৮৬৯ টন
ff7471c10e	153c9	দীপের মৃত্যু হয়
ff74842e71	9d46f	অন্যতম প্রতিষ্ঠাতা ছিলেন
ff749ed0d5	f2097	হস্তান্তর করবে
ff74a14fab	ee4ad	গত শুক্রবার
ff74ae8e37	e6203	তাদের সম্ভাব্য ক্রেতা মনে করে
ff7508e619	b8bdd	জাতিগত বিভেদই হয়ত
ff750f66be	11bd2	সিদ্ধিদাতাকে অনুসরণ করতে করতেই
ff757f7a2b	7d004	উদ্ধার করেছেন
ff759400ec	e6e48	এ বক্তব্য দেন
ff75ed22f4	ee886	তিন থেকে পাঁচ কোটি টাকার
ff75f11668	eecdd	দেশে অনেক পত্রিকা
ff76435083	5d80e	অর্থ জমা
ff766fc433	d9ba9	পালন করে থাকে
ff771b89d7	8cf95	কেটে নিন
ff789de1e0	09f0d	১৯৯২ সালের বিশ্বকাপে
ff78ac561b	7b132	কিভাবে তোমার নতুন কবিতা পাবো
ff7902b449	2840e	উভয় পক্ষের অন্তত ২০ নেতাকর্মী
ff79960b20	32c77	খ্যাতি আছে
ff79a18b16	d1a48	ম্যানেজার
ff79cbb96c	e6d83	এফআইআর দায়ের হয়েছে
ff7a077d5a	d1b12	মজুদ করে রাখা ছিল
ff7a7128fd	46da4	আমরা দেখতে পাই
ff7a902576	0a87a	তার ছবি তোলে
ff7a9d2fee	2ecf8	মার মুখে
ff7aa87143	239f7	অক্ষয়কুমার দত্তর জন্ম
ff7b2f3d50	698a4	পরের দিনই
ff7c255a20	4a918	বাংলাদেশের স্বাধীনতার চল্লিশ বছরে
ff7c2f8ef3	aa820	জুঁই ফুল
ff7c3ec92c	adf01	বিধর্মীর ঘরে
ff7c919574	9813c	তৎপর থাকবে
ff7cde5c39	86b1b	এম ইলিয়াস আলী
ff7d90f9a4	e55de	ভাঙচুর করে
ff7df31a07	ff1eb	দুই রাজ্যের সীমান্ত এলাকার
ff7dfe1efa	21e54	ডেকে তোলে
ff7e19d6a5	cb842	তেমনি মানুষকে
ff7e6a1920	948d3	ইন্ডিয়ান ভিসা
ff7e745eab	430b2	ক্যাফেন অ্যালকোহল
ff7f0a2f72	239f7	বাংলা ব্যাকরণ রচনা করেন কে
ff7f161fc7	ee7b2	বেঁচে থাকার জন্য
ff7f2c534e	ef4f8	বিএসএফের অবসরপ্রাপ্ত ডিআইজি
ff7f53047a	f1ea4	বিশ্লেষকদের মধ্যে দেখা গেছে
ff7f815f17	24f73	মমতাজ
ff7fc7b425	64092	সেখানে রাষ্ট্রপক্ষের কৌঁসুলি
ff80643cec	7df87	রাতে পড়ার জন্য
ff8075606d	bfac7	কখনো কারো জন্যে
ff81fc5b2b	d9081	দলিল বা প্রমাণ
ff81fe8e23	8ba2b	কবিতা প্রকাশিত হয়
ff821421de	5d80e	আমাদের সেই মুচি
ff82b1e2db	2ad74	কবি শামসুর রাহমান
ff82c0a9e5	61820	একটু বেশি ছিল
ff82e2360a	717bb	এক সময় বড় পর্দায়
ff82ead7ce	f29bf	বাড়ি যাচ্ছিলেন
ff8348789c	4fd66	নতুন এই বিদ্যুৎকেন্দ্রের জন্য প্রতিদিন প্রয়োজন হবে ছয় কোটি চল্লিশ লাখ ঘনফুট প্রাকৃতিক গ্যাস।
ff8377e103	321b6	লাইনে দাঁড়িয়ে
ff83bcee9b	274ee	নিয়মিত চিরুনি, তোয়ালে
ff83d41b6f	35ef3	সে রকম দায়ের কারণে
ff841eff22	8632b	আজ এই ডায়াগনস্টিক সেন্টারে পিওনের কাজ করছেন অর্ধেক কম বেতনে।
ff848d1c90	aa820	রাজধানীর পুরানা পল্টনে
ff85949cb8	80505	ভ্রমণে আসা
ff85e168c9	a3a6d	রাশিয়ার পতাকা উড়িয়ে দিয়েছে
ff86c823f7	e2f12	কিনবে বাংলাদেশ
ff86fe0507	f0f95	আবৃত্তি ও নৃত্য
ff87727119	16e96	ছোট ছেলে
