ea000146a0	80be1	উপস্থিত দর্শক-শ্রোতা
ea13534a2c	09b32	আমরা বলেছি
ea13811c27	7d004	ক্ষতিকর কিছুর উপস্থিতি
ea13f73135	9b864	দীর্ঘদেহী স্ট্রাইকার জো
ea14296d02	75936	ক্যাজুয়াল কাঁথা
ea14482830	0e637	জীবন যাপন করেন মা
ea14c0b10b	d71a3	অবলোহিত বিকিরণ
ea1571d005	c749e	পাথরের চোট খেয়ে
ea15a6fd9d	e754e	জোনাকি পোকা কিংবা নক্ষত্র
ea15c40f20	ea8fa	আহ্বান জানালেন
ea15e4ee29	ced74	লঞ্চটি থেকে
ea15ed9a8f	c7a89	পড়ে রয়েছে একটা শিশি
ea16066b9d	59c73	ঠাট্টা, ব্যঙ্গ এসব তাঁর স্বভাবের
ea164cb27c	0b7ca	অন্যরকম সাজে আবৃত হয়েছে
ea1660e243	b52ab	অগ্রগতি তুলে ধরছেন গবেষকরা
ea16919451	09b32	উদ্বোধনের পর থেকে ফ্লাইওভারের গুলিস্তান, পলাশী, মতিঝিল ও কুতুবখালি পর্যন্ত পথ খুলে দেয়া হয়েছে।
ea16e0f2ce	2ecf8	শেষ নিঃশ্বাস
ea16fc658f	1c618	তার ভূমিকা
ea1748e212	0f047	আবার নতুন
ea1773e807	21e54	ফেব্রুয়ারির নির্বাচন পেছানোর বিষয়ে
ea17b988a0	1f974	বছরের অন্য সময়ের তুলনায়
ea17b9e2b1	f83df	ঔপন্যাসিক ও অনুবাদক
ea1809b853	32b3e	ফলের জুস, ভিনেগার
ea1825a33a	f9dfb	এই নারীবিরোধী পুরুষতন্ত্রের
ea184c59eb	c958a	অপারেশন খরচাখাতায়
ea185031f4	88654	বলার চেষ্টা করি যে
ea1881f19c	b8bba	টিপু সুলতান দৈনন্দিন কাজকর্মেও
ea18916404	60f77	অল্প কথায় বলা যায়
ea193553d3	195f7	আমি চোখ খুলে রাখি
ea195911aa	d9817	টিপু সুলতান পণ করেছিলেন
ea19adac12	16a17	সাংগঠনিক সফরে আরও আসেন
ea19d3bedc	4237e	পাণ্ডবদিগের প্রপিতামহী
ea1a3e9d50	7d133	তারা পালিয়ে যান
ea1ad2a4bc	a9a58	তবে মৃতের সংখ্যা
ea1b93bd71	14d25	গ্রেফতারের ঘটনায়
ea1c1b2d05	92f59	ঘন বনের মধ্যে
ea1c27fa58	ff1eb	ফাঁকি না থাকে
ea1c6e376e	a8710	তুমি তো পড়বে
ea1c778ae6	9c8dd	রঙিন অংশকে বোঝায়
ea1c7a2cca	8845d	লা লিগার
ea1cd24256	da6f0	আমাদের তো বাসা ভাড়া দেওয়ারও
ea1dad62d4	5639c	নিয়মিত ব্রিটেনে
ea1e1ef41c	7b103	গাল
ea1e2c4240	80518	নেছারউল্লাহর বাড়ি
ea1e37d081	75936	অ্যাকিলিসের লালনপালনের ভার
ea1e69c513	2396d	গুরুত্বপূর্ণ দিকটি ছিল
ea1ed117e1	3bb15	একজন রুশ কবি ভ্লাদিমির মায়াকোভস্কি
ea1efef8ce	2396d	সন্ত্রাস বিরোধী অভিযানের
ea1f6703bf	1b359	সাক্ষাৎকারে তিনি বলেছেন
ea1f6ce2e9	37e17	বছরব্যাপী প্রভাব
ea1fc63118	15a75	আর্জেন্টিনার অধিনায়ককে
ea1fd1536c	7f2ef	৫০ বছরের ওই সৌদী
ea1fe78ee3	1c618	ক্লাবটি ৬৭৫ মিলিয়ন ডলার
ea2003c9f0	06e62	অর্থের বিনিময়ে একসঙ্গে সাত ব্যক্তিকে অপহরণ ও খুনের মতো গুরুতর অভিযোগ নজিরবিহীন।
ea20df2483	ee852	ফরমালিন অতিমাত্রায় বিষাক্ত যা যকৃত এবং কিডনি বিকল করে দেয়ার ক্ষমতা রাখে।
ea21587ab5	6b437	তমা দেবী চৌধুরানী
ea215caccf	0a7a0	শাদা পালক বকরা যেথায়
ea2174edaf	8edea	শান্তিপূর্ণ ফিলিস্তিন রাষ্ট্রের
ea21d621d1	7df87	তাদের ভাবনা কি
ea22577b57	46d49	নারী দিবসের জন্য
ea227876d6	59c73	দুর্ভোগ আর লোকসানের চিন্তা
ea22cabb86	4c1eb	আঘাত হানার হুমকি দিয়েছিল
ea22ce50a8	0606d	তারা সরাসরি পুলিশ
ea22e8935e	95f83	পাম্পমেশিনটার দিকে তাকাল
ea22f0cb71	ff1eb	দায়ী পরিবেশগত
ea22f1181b	f0f95	তুহিন কাজে যায়নি
ea2361ae21	1b359	নিউটনের আইডেনটিটি
ea24893dd7	93080	ফরমালিন দেওয়া ফলে
ea24fc00cf	943de	টিনের ঘরখানার দিকে
ea250d9a2c	6ab59	দাবি জানান
ea2547d39e	0edef	মুখ খামুটি করে মেরেছে
ea255332f3	09f0d	খুন হয়েছে
ea25822be1	3f493	ডঃ মুহাম্মদ শহীদুল্লাহ
ea25b23a86	e9759	তাদেরকে পেটানো শুরু করলে
ea25fe1e7b	ce180	কারও টেলিফোন
ea26216a82	8143b	মনোনয়ন দেয়া হলেও
ea2662cc12	9d46f	আজকের তাজা খবর
ea26cf5dcb	430b2	ছুরি নিয়ে এসেছিলেন
ea27083c96	a43b5	উপযুক্ত ক্ষতিপূরণ
ea2719f1b0	4e900	চলতি বছরের ১ জুলাই থেকে
ea2835872f	16877	ফিরে আসছে স্যাটেলাইটে
ea29280d83	1a2a1	বাংলাদেশের আঞ্চলিক ভাষার অভিধান
ea299e3638	b8ed8	এই প্রয়াস অব্যাহত থাকবে
ea29bdca82	5cb47	বড়বাবু ভাবিলেন
ea29bfe35c	d5213	আইনশৃঙ্খলা বাহিনী
ea2a54eefb	4bede	ধান বিক্রি করে তাদের
ea2a606ebb	fb4cb	সে বেড়ার ছিদ্র চাহিয়া দেখিল
ea2a66fe27	6d129	২০ শতাংশ মহার্ঘ ভাতা
ea2a8a9226	06e62	সংসদীয় স্থায়ী কমিটি
ea2a8ee9ed	68ab7	ভারতের মুম্বাইয়ের
ea2b2a7269	274ee	মসজিদে লুটিয়ে পড়েন
ea2b42fa54	b08d0	গ্রেপ্তার করে র‍্যাব
ea2b590638	3d17c	১৯২৫ সালে
ea2b7f374f	3f875	সাধারণ মানুষের মতোই
ea2bd8b7ce	c9c19	কিছুই ছিল না
ea2c109499	3c897	আবার কোন বিচারক হয়তো
ea2c5485a7	75936	সংগঠনের ভেতরে
ea2c8e02c1	66b3c	স্যানসি ডায়মন্ডের কথা
ea2cbb0d7c	491a5	৮ই অগাষ্ট
ea2d999190	745b7	বাবার চোখে না পড়ে
ea2e5d93a2	44322	না করা পর্যন্ত তারা
ea305067dc	f2097	বাতিল হয়ে যায়
ea30da2ceb	3ec4d	সময় নেয় ১৫ মিনিট
ea3164348d	92bb2	একই ধরণের অভিযোগ তুললে
ea317d185d	c5479	একজন মানুষ
ea318bf8e3	4ea73	নিরাপদ ভাবছিল না
ea319be9eb	11915	নির্মান এবং পরিচালনায়
ea319bfce4	2556b	ছয় পুলিশ সদস্য
ea32165e0c	6c17f	ভূতেরা বলল
ea324874d7	ca088	বিক্ষোভকারীদের দল
ea32af0757	a699c	বেটার ওয়ার্ক প্রোগ্রাম নামে
ea32d14125	0606d	এদিন হাতবদল হয়
ea32e19b01	65e30	রয়েছে সুসজ্জিত ডাইনিং কক্ষ
ea32f2f97c	b8bf0	তুরস্কে লেখকের জীবনই
ea33323857	4fd66	অংশগ্রহণ করেই
ea33c297b1	c749e	ড্রিল মেশিন থেকে
ea34f892de	1b359	একটি গানে নাচবেন
ea35e1e895	91dff	রনির সাত ভাইয়ের কেউই
ea36857cd0	75626	বিচক্ষণ ব্যক্তি অনায়াসেই
ea36bbad14	809cd	পাতা-লতা
ea37d761f8	0d9f1	অর্থ পরিশোধ করতে পারবেন
ea37faafaa	cb627	জালে বল পাঠান
ea38367e65	e3f89	গরম খবর
ea386da026	95f83	১১টি কুকুর
ea38aa710f	2fe3c	যুক্ত হয়েছে
ea395db064	0edef	তা সহজে পূরণ হওয়ার নয়
ea3966068f	ee852	লিখলেই তো পারতেন
ea39a21699	c958a	পরপর দুই বছর
ea39c35218	ce775	মহিলা ভাইস চেয়ারম্যান পদে
ea3adbfbbe	730c3	এটা ভাবা নির্মাতাদের জন্য
ea3b6e6e5e	7ed14	নির্দেশও দেওয়া হয়েছে বলে
ea3b8d82cf	860f4	জগন্নাথ বিশ্ববিদ্যালয়
ea3ceb0bc6	e6752	ফেলে দেয়া হয়েছিল
ea3d1c9435	9fa90	আজিমপুর কবরস্থানে দাফন করা হবে
ea3f7cb115	e50f1	জাতীয় সংগীত নিয়ে
ea3f99caf3	0e637	বুধবার শীতলক্ষ্যা নদীতে
ea3f9dca6f	acb88	আলোকিত বাংলাদেশ
ea3fa98e36	2ee04	অমর সিং বলেন
ea3fd1ee49	77f82	ভারতের স্বরাষ্ট্র মন্ত্রণালয় সূত্রেও
ea3fd6cdbe	717bb	ও একুশে পদকসহ
ea4071d725	7b60a	শাহরুখ খান বললেন
ea40e01bf3	b9b98	নিয়োগ-বাণিজ্য
ea4221e10a	fcc89	বলে এবং বিশ্বাস করে
ea422b1803	7b60a	স্বদেশের মৃত্তিকার সাহচর্যেই
ea4310fdcc	fd880	ব্যবহৃত হত
ea43da8e5d	9d7bf	অন্নপ্রাশনেও যৌতুক
ea440a78fe	976b1	সভা-সমাবেশের ওপর
ea4467f80b	bdfc1	সাদাসাদা ক্রিস্টালের মতো হয়ে গেছে
ea448c4aea	0d8c1	তারা একদম
ea4504faca	3f493	কেরোসিন স্টোভ নেভানো
ea4545b9cd	4f2ae	রতন ভাঙাড়ির কাজ করেন
ea45c87e29	c0d65	ভারতীয় চিত্রশিল্পী
ea462eb5e2	80539	অলিভ রিডলে টার্টল
ea46b3d1d1	c1e30	বাংলাদেশ কারিগরি শিক্ষা বোর্ড
ea46dce996	3ccf1	ক্ষমতাসীন দল
ea46e185e6	12702	ওয়াক করে
ea46e5af65	14d25	কখনও ছিলেন না
ea46fd36cd	06e62	ধরা যাক পায়ের আঙুলে
ea470693dd	95f83	সংসদ বহাল রাখা
ea475402c0	ea8fa	তারা আসেনি
ea476e4b3b	420df	একটি আন্তঃনগর ট্রেন
ea4852667b	65e30	সব রাজনৈতিক দলকে
ea487028ac	f837a	মানসে রচিত
ea48d50146	7f2ef	পাঁচজন নারী রয়েছেন
ea48e5d55e	2fc12	ফুট
ea49185fde	ce775	আমি নেবো
ea4a5883fc	ce180	ভাগবাঁটোয়ারা শেষ হয়েছিল
ea4a5f8116	5b13f	আমাকে গ্রেফতার করেছে
ea4b0d751c	bfac7	এদের মধ্যে পাঁচজন নারী
ea4b19c6cf	baa02	জানিয়েছেন নজরুলের শ্বশুর শহীদুল ইসলাম
ea4bae0572	bfac7	কি শিশু কি যুবা
ea4bf0c5a7	8edea	তদন্তে নামে
ea4c2efde2	3fc9d	তত্ত্বাবধায়ক সরকারের অধীনে নির্বাচন
ea4c62aba6	a274b	পুরাতনকে ধরে রেখেই
ea4cbcbf77	e68af	ভারপ্রাপ্ত মহাসচিব
ea4d09f4fb	388c9	আর শেষ হয়েছিল
ea4eb8dfaa	52f27	হস্তান্তর করেন
ea4ecbe639	37d7e	কোড এবং তার সাথে
ea4eeba214	1e7c7	বাংলাদেশের মন্ত্রিপরিষদ বিভাগের
ea4ffcd7ea	c1e30	আত্মসমর্পন করলেন
ea51352d53	13b6a	পাহাড়ি জনপদ রাঙামাটি
ea51dff54a	68ab7	ইরানি এই হুমকি থেকে
ea51e44904	c5dc8	প্রথমার্ধ শেষ করা
ea51ef3180	ced74	দুরবস্থার মধ্যে পড়তে যাচ্ছে
ea52157a96	ac904	কোনও না কোনও জোটে
ea521b9dd3	ad2a0	প্রবেশ করিতে পারিল না
ea525feed3	c958a	ক্রিমিয়ার সিমফারোপোল শহরে
ea52756e08	e754e	ও প্লাস্টিক কারখানায়
ea52b51e66	08458	তাঁর ছেলে
ea52da94f3	7b103	এবং মোস্তফা কামাল উদ্দিনের
ea52f36626	f280a	মূল্য সহনীয় পর্যায়ে রাখবে
ea52f9255b	25117	তবু হচ্ছে
ea52fcf9ba	9e923	সরকারের বিরুদ্ধে নয়
ea53037d53	eecdd	মনে করুন
ea5316e38b	2fe3c	১৪ ও ২১ সেপ্টেম্বর অনুষ্ঠিত
ea531770d7	b8ed8	যাদের ধর্মটাও পশুসুলভ
ea53c79ac7	16cfb	দিন-রাত নিজের বাসা থেকেই
ea547c94cb	0606d	কাউকে জীবিত পাওয়া যাবে
ea5484ac3f	9fa90	এই সংঘর্ষ বন্ধের জন্য
ea549a14b9	25117	বেশি উচ্চতায় শরীর থেকে
ea54ace185	577fa	কেউ কেউ বলে
ea550343bf	fda1a	বিভিন্ন সূত্রে সংবাদ পেয়ে
ea5508873c	25696	কিন্তু মধ্যপ্রাচ্য, ভারত
ea554ef0c3	3c897	আজ যখন
ea559361d6	ff0fe	তৎকালীন সম্পাদক
ea565e3a8c	01e91	ইস্কুলের মেয়েরা সবাই
ea568371cb	b9b98	ঘুম ভেঙে যায়
ea56d0273d	c749e	যুধিষ্ঠিরের চিরকাল স্থূলবুদ্ধি
ea577b02cd	5cb47	ঘটনার পরেই কাচু মণ্ডল
ea57b9612c	e43d4	ধনিয়াকুচিছিটিয়ে
ea57c27ae3	69449	খেলা বন্ধ রাখতে হয়
ea57d8621b	b8ed8	আরজে
ea58018191	f1240	রাস্তায় প্রচুর গাছ
ea58084d50	c749e	তাঁদের সেই সংগ্রামী চেতনাকে
ea5884291b	14d25	এমনও নয়
ea58a9b3aa	d3e06	জনসভার নিরাপত্তায়
ea58bd94c1	4fbd1	বরদাবাবু বেণীবাবু
ea595f360b	6ee5f	নিয়ন্ত্রণে নিতে
ea59fb937a	e43d4	হাসপাতালে ঢুকে
ea5a76bc1c	7ee9b	আধা ঘণ্টার মধ্যে
ea5a91bddf	e3d8b	তারা আশ্বস্ত করেছেন
ea5b0c61df	7297e	কাস্ট করতে চেয়েছিলেন
ea5b7230c8	c3cb3	উপোস করব
ea5b8c7f31	06527	অর্থ সম্প্রসারণ ও পরিবর্তন ঘটেছে
ea5ba730be	7d3e1	মসজিদে যান না
ea5bcc9120	c958a	বিষয়টা কি
ea5c4bb2ce	01e91	সাভার পৌরসভার ভারপ্রাপ্ত মেয়র
ea5c9eb564	f4ba7	সমঝোতা বলতে
ea5cc731ff	61820	আর ফিরে আসেনি
ea5cdcb5c3	a3a6d	বিদেশী পতাকা
ea5d300f5f	1652d	বর্তমান
ea5d472132	7027a	হিসাব করা হয়েছে
ea5d5bebe0	cb842	আমাদের উচিত
ea5d68f725	4fd66	ম্যাজিক মাসালা ৩ প্যাকেট
ea5d91911a	23291	হিজল
ea5daa2255	2695f	করা হচ্ছে
ea5df6c803	b08d0	তবে এই ঘটনা বলতে
ea5e298dda	c4973	ভেসে যাওয়া মানুষ
ea5e5b99f6	ce180	হাহাকার করতে হয়
ea5e9e0898	61820	রেকর্ড ভাঙছে বাংলাদেশ
ea5eca4d49	693cb	চোরাচালানি চক্র
ea5ecd84f8	b7be9	দেশ ছেড়ে
ea5ee8d44b	ff1eb	পাগল হয়ে যাব
ea5f36b306	28bb3	হইতে লাগিল
ea5f7f6ae0	93bf3	এখানে বড় প্রশ্ন হচ্ছে
ea5fa1fe81	82926	ম্যানেজার বিষয়টি
ea6124c4de	16a17	এখন পর্যন্ত রুমির পক্ষ থেকে
ea614e8202	3faff	দেখতে চাই
ea615a070a	3b1f7	গেঁতু হাতে বটি নিয়ে
ea6168ffdd	33aef	মি. মামুনের ব্যাংক অ্যাকাউন্টে
ea61919fa5	e754e	এর মধ্যেই অগণিত
ea61bb1aff	d136b	আকবরের সবচেয়ে কাছের
ea6203ec51	b8bdd	সব বিষয়েই ব্যাপক
ea62cf0c9e	7297e	ব্যাট করে
ea62fe6778	8406e	অভিনয় ছাড়া আসলে
ea6391f519	bcaa8	এমন হয়েছে
ea641da492	91ac1	অপানবায়ু এবং বাতকর্ম
ea64887de4	1cb75	আজ যাব কাল যাব করে
ea64cd1216	60b9d	এক্ষেত্রে খুব বেশি
ea65081e82	420df	ব্র্যাকের পক্ষ থেকে থানায়
ea659f6dff	d2d71	নেলসন ম্যান্ডেলার প্রতি
ea65b7ff21	f1ff2	সরকার ও বিরোধীদের
ea66408e4b	37d7e	সিবোনি, প্রস্তর মানব জাতির
ea669ed208	db735	পরবর্তী রাষ্ট্রপতি
ea672c156c	8cf95	সবক্ষেত্রে সম্ভব হয়না
ea67304421	d3e06	কমানো যায় না
ea6780336e	4c555	মিঃ ম্যান্ডেলাকে ১০ দিন
ea67f2e9e6	11bd2	১২০ পৃষ্ঠার রায়ের
ea687b4076	e2f12	মিজ ইংলাককে
ea69d2ab4e	64092	বাংলায় তখন সুচিত্রা ছাড়া
ea6a040787	ef915	শাপলা চত্বর এলাকা থেকে
ea6a1ad5fc	bdd05	অলাভজনক সংস্থায়
ea6a6905ef	8c120	ঠাণ্ডা হওয়ার জন্য
ea6a6f2b76	4ea73	লর্ড ক্লাইভের মৃত্যুর পর
ea6ada3f28	6ab59	জন্ম ১৭ নভেম্বর, ১৯৮৬
ea6adf3414	315e9	মোটা হওয়া বাঞ্ছনীয়
ea6af4d059	3fb17	শ্রমিক রয়েছে
ea6b12566c	256f5	নিজেরাই বিয়ে করে ঘর বেঁধেছিলেন
ea6b3257f8	a916a	একটু ঘোরাঘুরি করতেই
ea6b87f2e6	85430	ততক্ষণ পর্যন্ত
ea6be712d7	b2a62	এখন, এই দিন, একটা
ea6bfc9fcb	8406e	হতে হবে অফিস ৩৬৫ সাবস্ক্রাইবার
ea6c07d3f4	4164f	নির্মাণ কুশলতাই এখানে আসল
ea6c0caecd	d2d71	সুকান্ত তাঁর কালের জাতক
ea6c1b298d	809cd	মস্কো হয়তো ইউক্রেনে
ea6c1c69c7	3c897	যানবাহন ভাঙচুরের অভিযোগে
ea6c642883	388c9	জয় করতে শুরু করলাম
ea6c942132	3f875	কালচে পাটকিলে
ea6cdb23c0	80505	বাংলাদেশিদের বন্ধু ভাবা
ea6cff0dd1	16877	এক লোক
ea6d4d9df2	73629	মা যোগ দিতে পারলেন না
ea6d69d9c3	93080	নিক্ষেপ করা হয়
ea6daab447	9b864	পরশী
ea6dea76b0	9065c	কায়রোতে ক্ষোভ
ea6e239bba	2bd99	মুরাদনগর উপজেলা
ea6e6cca38	9351a	চার হাজার ৭৬২ জন
ea6e7952b0	8143b	এগুলো করতে বলবেন
ea6ec331ba	0d8c1	এর ফলে এখন
ea6ec53dd8	ac0df	একদিন হঠাৎ
ea6edf4c59	2556b	ঢাকা-রাজশাহী মহাসড়ক অবরোধ করে
ea6f2a2fbe	83c53	লালন ছিলেন ‘জারজ’
ea6f73bec2	1f974	গোয়েন্দা পুলিশের পরিদর্শক
ea6f775902	0744c	বাদ মাগরেব
ea6f95701e	16cfb	মাথার তালু থেকে
ea6f995a7f	aab0f	সারা দিনে আরও
ea70031601	2695f	বাংলা একাডেমি বিস্তারিত কর্মসূচি গ্রহণ করে
ea705d227d	80e98	একজন পুলিশ কর্মকর্তা জানিয়েছেন
ea70a4570d	2aecc	ইচ্ছা আছে কি না
ea70cee808	15a75	ওই হামলায়
ea71767123	b8fe1	সিনেমা নির্মিত হয়
ea71adbebe	355c1	আশফাক তার ছেলে জয়কে
ea71b20de1	3c897	মন্দ কিছু শুনিনি
ea71bfedcc	9065c	আগামিকাল বুধবার
ea71ed0522	967fd	সে রাতে দাদাদের কাছে ডেকে
ea7234d81f	ad2a0	বিদেশ-বিভূঁইয়ে
ea72588928	9092b	পাঠিয়ে দিয়েছে সিএমপি
ea726611be	d2294	ঐশী রহমান
ea72692158	17ca1	হিম্মত থাকলে গায়ে হাত দাও।
ea72d7e1fe	f7a7f	মিজান সাহেব বললেন
ea73146a0f	880ae	রাজত্ব
ea73794300	e50f1	এ সময় ড. ইউনূস
ea74066016	f1ea4	সংঘর্ষে একজন নিহত হলেন
ea740aa6c7	ea5be	আমাদের গাঁজার স্টক
ea7449db6c	fcefa	সঙ্গে সঙ্গে তাকে
ea74599bd7	b5fdc	এবং পরবর্তীতে
ea74bf6bc4	b4ea7	রবীন্দ্রনাথকে আরেকটু
ea752162cd	2d98b	হলিক্রস কলেজ
ea7577b674	9d398	বিজয় বাজনা বাজাইয়া
ea76a2413f	43fc0	বলা হোক না কেন
ea76b9b0f5	1a2a1	ডা. দীন মো. নুরুল হক
ea76fa14e9	a3a6d	তাকে আসতে হবে জীবন থেকে
ea772ab6f9	4486f	তৃতীয় রাউন্ড শেষে
ea77383ce7	dae88	উক্তিটির যথার্থতা
ea7754de1f	54e68	হাত পা কোথাও কাটলে
ea77ee24eb	d2faf	বাঙ্গালী দরকার
ea794aaffa	29bab	উল্লেখ করেছে কর্তৃপক্ষ
ea79a50109	d9ba9	কালা
ea79ac810b	d3e06	আর বেজড অন ওয়ারটাইম
ea79b209d9	c3cca	পাকিস্তানের প্রতি সংহতি
ea79d2c66f	e3d8b	ফকির আলমগীর
ea7a7a2486	d9b11	এভাবে অন্যায় করাটা
ea7a7dec5b	c41d8	শীতলক্ষ্যার পানি, আবহাওয়া
ea7aad6127	53396	এর কারণ
ea7adfc3e5	7f71c	মনে করেন না
ea7aea6e3f	f658d	র‌্যাম্পে হাঁটতে হয়
ea7b70e35e	a8710	কেউ ধরা পড়লে
ea7b8efcc5	80be1	তার কাছ থেকে
ea7b9040ed	0606d	আপ্পায়নের মাধ্যমে অনুষ্ঠান শেষ হয়
ea7ba17136	9b864	খুঁজছেন জ্যোতির্বিদরা
ea7c6b77e8	7d004	শালবাগান এলাকায়
ea7c7924d3	4a918	পৃথিবীর ইতিহাসে কোনো মেয়ের হাতে তার বাবা-মা খুন হয়েছেন তার নজির নেই।
ea7d35cf1c	fbb81	ছাত্রলীগ
ea7d36bf44	870e3	অনেকগুলো ক্যাচ ছাড়া
ea7d4d4357	ad69a	সেখানে দেখা যেত
ea7df9ce66	ec91c	একটু গুরুত্বের সাথে
ea7e0f3a4f	d9b11	পাস করানোর জন্য
ea7e4d519a	d1b12	তার অবস্থা
ea7ec08d46	d9817	তিনি আল-কায়েদার পেছনে
ea7ed9657d	72649	আগামী সপ্তাহটা খুবই শুভ
ea7ee0a68a	b7be9	বিশ্ব ব্যাংকে
ea7ef8cc23	f658d	প্রদীপ কুমার রায়
ea7f232ecc	33814	এ পরিস্থিতির আরও উন্নতি হবে
ea802019c3	25696	জাতীয় সীমানার বাইরে
ea80771e94	f83df	বাংলাদেশি ছেলে-মেয়েরাও
ea8205ce05	ac904	ঢাকায় কোন শ্রাবণ মাস নাই
ea82369295	c0d65	এই ডানহাতি ওপেনার
ea8274b671	bdd05	বাইরে কাজ করতে পারবে
ea82c74fc6	25696	এ প্রশ্ন অবান্তর
ea82fc6e23	7ee9b	ইন দ্য নেম অব সেফটি
ea834a8988	2695f	জমা করা হয়
ea83662ee6	da6f0	তাঁর প্রথম সফরে
ea83a5780a	37d7e	আমার প্রতিহিংসার ভাবটা
ea841e87c6	2bc73	এটি তাদের নজরে এসেছে
ea8464fade	ca088	আশিক ইকবাল চৌধুরী নামের
ea84d138d7	e3f89	আদি ও অকৃত্রিম অবস্থায় দেখতে চান
ea850ad0cb	16e96	সমাজ-ইতিহাসের সঙ্গে
ea85108a91	086dd	সাহিত্যরস সমৃদ্ধ গ্রন্থ রচনায়
ea85c712e8	3ec4d	উত্তম কুমারের সঙ্গে
ea861dda45	16877	দ্বিতীয় আসরের
ea8650af1f	ced74	টাকা কি গাছে ধরে?
ea86cc4ab0	06e62	নিজেকে আবার ফিট করেছেন
ea86cfd73b	80518	বাঘা কাঁদতে আরম্ভ করেছে
ea870688c0	d82d9	একের পর এক আক্রমণে
ea8715efbf	8cf95	একজন বিজ্ঞানী
