c40009f4d3	e7230	ঘরের দ্রব্যাদি
c40eeb4426	2bc73	লাখ লাখ ফুটবলপ্রেমীর হৃদয়
c40f8a4a15	880ae	সর্বোচ্চ সম্মাননা
c41070ebd3	943de	জেনকে সঙ্গে নিয়ে
c410a2134f	09b32	এমনকি মাটি দিয়েও
c411897a87	d711f	সে এখনো অনেকদিন বাঁচবে
c411bf9e30	809cd	তাকে আটকে রাখার
c411d4cf83	cc18a	দীর্ঘ দীর্ঘ কাল ধরে
c411e1a2ea	82926	পারিবারিক ফটোগ্রাফার থেকে
c411f66884	880ae	স্বাস্থ্য চিকিৎসা ব্লগ
c4120049d9	ced74	নিলামদার জেমস রেল্যান্ডস বলেন
c4120567b2	09f0d	মূল্যবান উপাদান
c4125b2163	1de6c	দুটো দল তো
c412c184b9	fda1a	ইস্কুলে পাকিস্তানের জয়গান
c413716c9a	11bd2	ছেলে আইজ রাইত এখানেই থাকবে
c414116a15	a9a58	৮ মিনিট পর
c414858a37	0f047	অত বড় ছিলনা
c414e8988d	79b06	সহজ, স্বচ্ছ ও শিথিল
c414f9d99f	db181	এগিয়ে গেল পাকিস্তান
c41512ac4a	06527	সদর থানার কাছে
c4151a4468	91b16	কোয়ারেড আরও কত কী
c4151fdec8	b2a62	বৃহস্পতিবার রাত পৌনে ১০টার দিকে
c4158d2d25	52f27	বিপক্ষের গোলরক্ষককে
c41594b242	91b16	মিঃ রৌহানি পশ্চিমের দেশগুলোর সঙ্গে ইরানের আবার আলোচনার পরিবেশ গড়ে তোলার জন্য আহ্বান জানিয়েছেন।
c415a071b7	f6e55	সব মতের লোক ছিলেন
c415d09baa	ee852	বিশ্ববাসীর নজর রয়েছে
c415fded9c	809cd	স্থান করে নিতে পারলে
c41630da07	bdfc1	এবং উত্তর ভারতীয়
c416464a27	9092b	এক প্রকার খনিজকে বুঝায়
c4166ce933	698ff	রাজকন্যা সবে রপসাগরে সাঁতার দিয়ে
c416cc8d72	b8fe1	কত ছেলেরা কইতাছে
c41705eb08	d9081	বিষয়টি জানিয়েছিলেন
c4173781fb	29d44	ওই কিশোরীর বাড়ি
c417537697	f4ba7	চলমান সংকট কাটিয়ে
c4175d6261	590d0	বাংলাদেশের জনগণ দীর্ঘদিন
c417a6ca3f	4dd57	অ্যানার ব্রিটিশ স্বামীর তথ্যানুসারে
c417f6c329	6fb36	কোনো প্রাতে শোনা
c41853a79a	ff0fe	দুটি পত্রিকা
c4185d6f9a	c0965	শাহবাগ থেকে প্রেরণা নিয়ে
c4189d1fac	f9dfb	রাজশাহী কলেজ
c419cfacd0	d136b	আগামী নির্বাচনে এককভাবে
c419f8b205	b2a62	যোগ দিতে
c41ae7ee2f	404ee	করে দেয়া হতো
c41b2f0af0	d41be	সম্মেলন পূর্ববর্তী আলোচনা শেষ হয়েছে
c41b5ae720	66c6b	সব উপকরণ দিয়ে
c41b635716	f600a	অভ্র কীবোর্ড সফটওয়্যারটি
c41b6f4bb7	32998	জানতে পারে
c41ba73a08	b9a81	স্বামীকে ধমক দিয়ে
c41ceef632	9fa90	মুহিব খানের কবিতা
c41d80fbe5	3fb17	এদিকে টানা একবছর ধরে
c41ddea059	35ef3	ছন্দ ও অলংকারের
c41df6cad8	b9122	আর্য জাতির লোক
c41e0e6b15	e03ce	বিদ্যুৎ সরবরাহ করা সম্ভব হয়নি
c41eb77a7b	8632b	আকর্ষণ করবেন তার ওপর
c41f0288be	2695f	খরগোশ
c41f64178e	932bb	তিনি আইনি বিষয়
c41fbca7bb	6ee5f	ভোগাতে শুরু করল
c4201a033d	d9817	কলকাতা সিনেমা
c42094d589	c8f7f	অ্যাবি ওয়ামব্যাচ
c421b7160e	693cb	রেসলিং
c421ffea90	e03fc	বর্তমানে গানের সাথে
c4220aa923	4bd2c	তথ্য শেয়ার করা উচিত ছিল
c422208129	fdcba	তিনি বলেছেন
c422576d03	7b900	চায়না মেজর ব্রিজ
c422af8f2e	1c618	স্থায়ী ও অস্থায়ী ঠিকানা
c42315bc92	ad98d	আন্তর্জাতিক মাতৃভাষা দিবস উপলক্ষে
c42424824c	ca088	কিন্তু নির্বাচনের দুদিন আগে
c424361e9c	d5213	১৮ জন
c424cd6d10	0a7a0	মাপতে গিয়ে
c425c130b4	778c0	আশঙ্কা প্রকাশ করে
c425f8f845	2d78f	যে কর বৃদ্ধি করবে
c4271ec051	2bd99	মোহাচ্ছন্ন করে রাখে
c427f4d82b	1c618	সেলিন গিরিতের পাঠানো
c4281fb843	8edea	চারটি বিভাগের
c4282b9e3f	54e68	অমর গোপাল বসুর
c428fb1168	ce775	জাফরান
c428fe1ade	ff1c3	সল্যুশন নামে
c429485595	d9081	বাণিজ্যের জন্য সময় ও ব্যয় কমে
c429cdc4d1	06e62	দায়িত্ব পালন করেন
c42a01d476	29bab	অত্যন্ত কঠিন ও ঝুঁকিপূর্ণ
c42a3504ec	2d78f	ইসরাফিল বলেন
c42a546e39	b8ed8	তাঁদের সারা জীবনে
c42b36fe83	f4ba7	নিঃস্বার্থ ভালোবাসা
c42b4c97d6	2ecf8	প্রথম সন্তান আলেক্সান্ডারের জন্ম
c42b501c33	a699c	তিন সদস্য বিশিষ্ট
c42ba2441c	9fa90	লোকে জানে
c42ba7d82a	06736	হরতাল-অবরোধজনিত
c42c05ed10	b7be9	শঙ্কর গুহায় আশ্রয় নিলে
c42c129bd5	e3f89	আজ কিছুটা হলেও
c42c660d3c	9f25e	এটুকু দায়িত্ব আমার ছিল
c42cd73089	18a52	হেজবুল্লাহর একটি শক্তিকেন্দ্র হিসেবে পরিচিত
c42d44414a	287bd	ঢাকায় সৌদি দূতাবাসের কর্মকর্তা
c42d537270	870e3	রবীন্দ্র সংগীত
c42d9456d0	2d78f	সহযোগিতার হাত বাড়িয়ে দেন
c42da8d19a	2d78f	সরকারি চাকুরীতে কোটার চেয়ে
c42e52d6e0	fcc89	বুদ্ধির সীমাবদ্ধতা টের পেয়েছে
c42e968c17	b00ba	মেয়ে নাকচ করে দিয়ে
c42efd353c	880ae	তৈরি হয়েছে নানা মত
c42f0056e5	15a75	সত্যভামার পুত্র ছিল শুনি
c43005effd	6fb36	ভয়ংকর স্বপ্নের মধ্যে
c430261bed	e55de	স্বপ্ন দেখছে
c4304c3b51	af81d	তখন রাজপুত্র পুরীর মধ্যে গেলেন
c4307f4141	92bb2	সমুদ্র পৃষ্ঠের উচ্চতা
c4308d9259	14816	শখের ভিডিও
c4316ae3ed	717bb	তাই আমি আজও
c4316b3b9f	39293	ছায়ানটের সাবেক শিক্ষার্থী নির্ঝর চৌধুরী ২০০০ সাল থেকে ছায়ানটে রবীন্দ্রসংগীত বিভাগে শিক্ষকতা করছেন।
c432492e3f	b8fe1	রাষ্ট্র ও বাদীপক্ষের আপিলের
c4325ea41b	72649	বার্সার ডিফেন্ডার বারত্রা হাত দিয়ে
c4327dc5e5	086dd	এবং পুরুষদের মধ্যে
c4329a7777	3f875	তাঁর কেরামতি নানা রকম
c432f955fa	baa02	নিজের জন্য নিজের
c4333f4f29	5dec6	তার হাঁদা ভাই সীতুর সঙ্গে
c43351196f	4f450	সে গুলোই হল অউব
c433b66555	bdd05	কারণসমূহ সংগুপ্ত ছিল
c433f0d6c2	5dec6	বিয়ে উপলক্ষে
c4342be9ad	8edea	কারাজীবন যাপন করছেন তারা
c434577c33	b8ed8	সরকার বাস্তবসম্মত কোন পদক্ষেপ নিলে
c434641150	7351e	রয়েছে সুসজ্জিত ডাইনিং কক্ষ
c43471d716	14816	শুদ্ধ সুন্দর
c434b2559d	2f547	সংক্ষিপ্ত পরিচয়
c434d94a8c	3f493	এ জন্য তিনি কৃষ্ণকে
c43519d529	f2097	তা হিসেব করার সময় নয়
c435363096	089ef	ঋতু
c435ad0c27	d136b	স্কুলছাত্রদের জন্য হাতে
c435e9ee68	84145	ব্যবসায়ী অথবা লেখক
c436655257	25696	ভারতে চলে যান
c436e2d766	28bb3	ইতোমধ্যে ইসির পক্ষ থেকে
c436fcd9ee	3bb15	ভোটার হওয়ার জন্য এবার অনলাইনে আবেদন করার সুযোগ আসছে।
c4371e3933	d136b	উৎপাদন না বাড়লেও
c4373b6faf	86b1b	মি: আহমেদ বলেন
c4373cadfd	93080	পরীক্ষা করে দেখা হয়েছে
c437815eed	e8dde	সেহরির খাবার পাঠানো হয়েছিল
c4379d050c	47e8d	বললেও অন্তত সাত দিন
c438be8e1e	420df	ইস্কুলের সকল
c438de60bd	66c6b	জোরদার করেছে
c439269968	29f8c	ছয়টি বাংলা উপন্যাস
c439626828	8ba2b	আমি আর তামিম
c43a09dff9	f1ff2	ঠোঁট উল্টে সুন্দরী বলে, না
c43a6c07af	59c73	আমাকে জড়িয়ে যে রটনা
c43b684022	79b06	ভীষণ ভিড় থাকে
c43bbf3489	c5479	ও সড়কপথে রয়েছে
c43c1bee95	e2f12	আমরা সব সময়
c43c3667a3	cc18a	কবরের আজাব
c43ca2634d	c6848	রপ্তানির বাজারে
c43ca56481	520fb	উৎসবটি পালিত হত
c43cfbcb74	f83df	বছর খানেকের মধ্যে
c43e3f2fdf	91ac1	আরো ভাল উপায় রয়েছে
c43e7dc488	2bc73	অবস্থিত একটি ঐতিহাসিক ঘাট
c43e8093df	fda1a	সন্ধ্যায় মন্ত্রীসভার বৈঠকের পর
c43e861718	e03ce	গাড়ি ভাংচুর শুরু করে
c43f3a5256	82926	এই সমস্যার কারণে
c43fa83afa	14d25	সবাই মূলত শেষদিকেই
c440362d0f	29bab	তারাকান্দা
c44071c2be	cc18a	কষ্ট পাইয়াছে
c440859950	16cfb	ব্যবহার করতে পারেন
c440bfb203	06736	বিষয়টি মীমাংসার জন্য
c440f0cdbd	730c3	ছোটদের ন্যাংটো কর
c44183cc5b	0d8c1	ভালো কথা
c441b2ac47	2b883	আর বাম হাতও
c44207f7f7	410fa	তারা আর্থিকভাবেও স্বচ্ছল
c442ac5af3	43fc0	‘ট্রিলজি’তে স্থিত
c442fa0419	ad050	সম্বোধনের পর্যায়ে চলে এলাম
c442fd55c7	80518	ধর্মনিরপেক্ষ দেশ হিসাবে
c443388432	0744c	শুধু আইন করে
c443e80623	b9122	অ্যান্ড্রয়েড
c4446795e3	8845d	আলাপকালে এ তথ্য ওঠে এসেছে
c4446c7494	c11b1	স্যাররা সব
c44470fe1d	93bf3	ভাইরে সুবল
c444763c62	287bd	সে রাতেই
c444780ecd	6aac8	সিএসইতে লেনদেন হয়েছে
c444ab4f4d	6b437	মামলা মোকাদ্দমার ভয়ে
c445127581	870e3	এছাড়া টুর্নামেন্টে
c44613c11a	69d9a	থানার দারোগা
c4463730b0	ce180	অবুঝ মন
c44639d16b	64092	বুয়েটের অধ্যাপক ইজাজ হোসেন
c4464b6174	5639c	চর খরিচা
c4468cc1c1	c958a	ব্রণের সমস্যা দূর করতে
c446c22deb	21e54	বাড়ানোর উদ্দেশ্যে
c44743f5b0	43fc0	কিছু প্রস্তাব দিয়েছে
c4475107dc	c2082	ওই পেনাল্টির আগে
c447cf3727	93bf3	চেয়ারে বসে
c448997517	fcefa	আগ্নেয়গিরির অগ্ন্যুতপাত
c448db2443	2d78f	আটকের পর
c44a063093	0696e	তাঁকে কারা ফটকে
c44a3b6b80	f143a	আমাদের বাঙালী সংস্কৃতির সঙ্গে
c44a76d477	3fb17	বাঁশেরকেল্লা
c44ae6fa9b	86b1b	বর্তমানে ৩ থেকে ১০ হাজার টাকা
c44b2a35d2	83c53	পরিবেশনের পাশাপাশি গাওয়া হয়
c44bca9fc1	2fc12	এ রায়ের মাধ্যমে
c44bd8d0ca	5dd61	২০ সদস্যের একটি প্রতিনিধি দলের
c44c2d3d9f	60b9d	মতিঝিলকে ঘিরে আশে-পাশের রাস্তাগুলোতেও ছিল মানুষের স্রোত।
c44d42684a	29f8c	সাময়িকভাবে বরখাস্ত করা হয়েছে
c44d89a3a3	e55de	একদিন বিচলিত হয়ে উঠলেন
c44db10932	7f2ef	কেবল খাবার সময়
c44db9c49d	e9589	জাতীয় পরিচয়পত্রটি
c44e19578f	f2780	না পুলিশ, না বিচারব্যবস্থা দিচ্ছে
c44eed9198	43fc0	ট্যাকলোবান থেকে
c44ef44194	1f733	নীল-দর্পণ লিখিতে লিখিতে
c44f36dd86	85430	তার তিনগুণ মানুষ
c44f63dd9a	0895a	এই বিড়িটি ধরাবে সে
c44f687ee3	0895a	তার মধ্যে একি বিপদ
c44f7cfab2	12702	পদত্যাগ করার পর
c44fc9fab5	9092b	বিয়ের বর বন
c44fe6b394	dafb6	বিবিসি জানায়
c45024667b	d711f	একটি সামরিক অঞ্চল
c4505bc208	195f7	কেন যেন বিরক্ত লাগে না
c4505fbe57	54e68	বিকল্প বিষয়বস্তু
c450fc4756	ff1c3	প্রায় শতভাগ অনুপস্থিত
c4511fcde5	c2082	রাম ও কৃষ্ণ
c4514f2631	e2ba2	মানব সভ্যতাকে
c4515ec4bd	c3cca	সেখানকার নাগরিকেরা
c4517bbe91	948d3	কাজ আছে যেগুলি
c45190d4e8	57d54	আমার বা তোমার
c4528dff65	0f047	ফুলগাজী থানায় নেয়ার
c452f0b8f4	54e68	সে ক্ষেত্রে সে কখনোই
c4535ab887	9c8dd	তৈরি হওয়ার
c453dce756	e31e7	শ্যামলী সিনেপ্লেক্সে
c4540544ba	76329	এবার অভিনয় করলেন
c454188f6e	b8fe1	জগতের যত সুখ
c4543e1000	57d54	ওই বছরের ২৯ জুলাই
c454ee0166	93080	এই ব্রাহ্মণ পরিবার
c4551a677f	e3d8b	এই স্বীকারোক্তির পর
c4559b45ee	2d78f	এতে আহত হয়েছে
c455e58c54	388c9	পরিবর্তন সাধন
c45683ebb7	cc18a	ইন্টারনেটে যুক্তরাষ্ট্রের একটি
c45688260e	0744c	তরফবাজিত গ্রামের কৃষক
c456d12172	2aecc	তার চেয়েও বড় কবি
c457403ceb	e6e48	আমার মন থেকে
c4577705b9	5dec6	তাহারা মাস্টারকে
c4585a7cc4	13b6a	উদ্বোধনী ব্যাটসম্যানের ওপর
c4586b87b2	c7705	উপস্থাপন করেন
c458e00aa8	f600a	১৫ মিনিটের পথে
c459147993	4e900	টি-টোয়েন্টিতে বাংলাদেশ টিম
c459798c72	6e6fa	প্যারিসের কোন জিনিসটি
c459925fb7	7aed9	পলি
c4599296b5	4bd2c	অনেকেই মনে করেন
c4599b7f67	4fc91	শিং মাছ
c459ac7d19	37e17	অনুবাদ করিয়া দেওয়া
c459b6df27	730c3	সেহেতু আমার
c459ceef3e	b78ec	হয়ে থাকে
c45a042192	4fbd1	তবে মামলাগুলি
c45a1fc3f2	698ff	কাঁটাতারের বেড়া কেন
c45b2239c4	59c73	ঐশী এখন
c45c41ad5a	2aecc	চেতনা
c45c8b7356	616ec	পাশে থাকা
c45d7ba31c	5dd61	ছুড়ে মারে অবরোধকারীর
c45d98eb94	590d0	রফিকুল ইসলাম
c45dc4622b	ce775	ভারতীয় বোর্ড
c45dc91765	a916a	এ ছাড়া গতকাল
c45e32726e	4ea73	দীর্ঘদিন সম্মেলন না হওয়ার কারণে
c45e96f9e0	2ac82	উইন্ডোজ কম্পিউটারের জন্য
c45efebec6	31f2a	অনুতাপের বিবরে ব’সে আছি
c45f614d5f	7d3e1	দেখে বান্দা মুর্ছা যান মুহূর্তে
c45faf7834	3b1f7	ছোটদার ঘাড় ধাক্কা দিয়ে
c460799b65	e50f1	১৮ বছরের নিচে
c4610601cd	7b60a	পক্ষে শুনানি করেন
c461345ed0	80e98	দৌড়ে বাসে ট্রামে
c4615432e1	7ed14	সুখবর হলেও
c462365b64	24f73	খুব কম মানুষই আছে
c462e392ae	14d25	তাঁর মনে এ ধারণা
c462e513c3	b00ba	গঠন করা যেতে পারে
c463189fed	809cd	আশ্চর্যের বিষয়
c46345d2b5	4fc91	ঝড়ের তাণ্ডবে সংসার, ঘরবাড়ি
c463d82bc3	49d63	সেটি একক ও অদ্বিতীয়
c464621df5	7a227	অরেগন মার্কিন যুক্তরাষ্ট্রের
c4649de669	b9122	আমদানি রপ্তানি বন্ধ রয়েছে
c464fcc8e7	2ee04	স্লোগান-গান-আবৃত্তি করে
c46532a9e6	ec91c	১৯০১ খ্রিস্টাব্দের
c465a5deae	2396d	সদর থানার ওসি
c46626c982	baa02	সংশোধন আনে
c46675a4f9	e2ff7	দিনের শেষে অর্থপ্রাপ্তি
c4669118c6	25696	আর কেউ ভাবুক বা না ভাবুক
c467510a31	0d4cb	এইটুকু মুখ
c46760b905	28bb3	যদিও এ ধরনের ঘটনা
c467c5fe18	fcc89	পথ-শিশুকেই দেখা যায়
c468046dc4	ad050	সর্বত্র সেই পরিবেশের
c4680c442c	3bea8	মানুষ এখন বোকা নয়
c468736608	d9817	কিছুতেই টাকা দিতে পারবেন না
c468809d2e	d1b12	এই নিয়ে তৃতীয়বারের মত
c469d0df2f	fb4cb	বিজয়ী দলের সদস্যরা
c46a48c121	baa02	বিড়ালের মতো
c46b0b2cc5	0744c	৮১ বছর
c46b148349	66dcd	অনেক বেশি
c46b63e565	21e54	আলু কিনে
c46b8eb58d	0606d	নতুনবাড়িতে উঠলে
c46bc1f786	8143b	এ পর্যন্ত আয় করেছে
c46c142552	16877	এ পাখি এখন
c46c4b6eae	c7705	আমরা চেষ্টা করেও
c46cca2f73	d7a68	সিংহভাগ গুঁড়ো দুধই
c46d9659bb	b8ed8	কোনো মানুষের
c46dd93a83	25117	কার না ভালো লাগে
c46ee38ab3	a1201	একটা বিরাট তোলপাড়
c46f8d0f23	2d78f	অ্যাকটিভিশন ব্লিজার্ড ইনকর্পোরেটেড
c46febc4a0	d9817	তাদের বহু কর্মীকে
c47011e2c8	c7705	পাখা গুটিয়ে নেয়
c470d40249	7027a	জসীমউদ্দীন লিখিয়াছেন
c470f10935	28bb3	আঞ্চলিক দ্বন্দ্ব, উভয় বিশ্বযুদ্ধ
c4710fb3bc	2ee04	মাত্র ২১০ থেকে ২১৫ মিলিয়ন ঘনফুট গ্যাস
c47203d2f9	9092b	ছেলেকে দিয়েছিল স্কুল পড়তে
c4728984ce	35ef3	এ প্রসঙ্গে বলেন
c47316d1f1	18460	নিয়ে যাওয়া হবে
c4738dcae5	ad69a	ভালোভাবে খাপ খেল
c473ac4945	a06a1	তিনি বললেন
c473c5fe26	7b60a	চলচ্চিত্র নিয়ে
c4740c44a8	cb1aa	গুনতে থাকেন
c4745debbf	f143a	মুদ্রাক্ষরযন্ত্র বা টাইপরাইটারে
c4746fae7a	68ab7	দায়িত্ব পালন করবে
c474bd36cf	46d49	বাবাকে এড়িয়ে চলে
c475e72111	76329	বেঙ্গল মিউজিক
c47658753f	b8bdd	একটি চমৎকার ফুলের বাগান
c476789100	e3f89	যে রাজনীতির অনুরণন
c47688b248	9d46f	দিল্লিতে লোকসভা নির্বাচনের
c476a98282	f2b7d	বিশাল চ্যালেঞ্জ হবে সিটি
c477375e7f	4a67e	পরিচিত-অপরিচিত যে-ই আসুক
c477ca4469	39293	১৯৫০ সালে জামালপুর সরকারি স্কুল থেকে এসএসসি এবং পরে আনন্দমোহন কলেজ থেকে এইচএসসি পাশ করেন।
c477d66433	8edea	আমি কোত্থাও যাচ্ছি না
c477e92a78	ad2a0	জোরদারের পরিকল্পনা করার
c47826de37	06527	রূপালী ব্যাংক নিয়োগ
c4785c1b3f	2fc12	মঙ্গলবার ওই বৈঠকে
c479a4a55a	b8bba	তার বাবার যে অবদান
c479a97219	28bb3	পাঠাবে বলেও
c479f6b5e2	420df	চার থেকে সাত
c47a92e136	9b864	আর জাতিগত বিভেদকে
c47af31958	880ae	যৌনপল্লীর মাটির প্রয়োজন
c47b74424c	cc18a	তারই অনুগত লোকজন
c47b7ff9fe	6973e	বিষয়টি অবাক করার
c47b9a082c	e9759	এ আর রহমান
c47bf43607	ce180	গল্পটি শুনুন
c47c125fa5	3fb17	জিমেইল
c47c2b95b4	7ed14	প্রথম বড় ধাক্কার পরেই
c47c690a46	2ecf8	নিউ ইয়র্ক শহরে
c47c6e6be0	2d78f	ক্রাইমিয়ার শহর সেভাস্তোপলের কাছে
c47c77b690	ced74	আলোহীন থাকব
c47c7bb49f	47e8d	তাঁর পাঠানো আপেল
c47c990be9	43b04	দাদার নাক চোখ ঠোঁটের দিকে
c47cba7ee2	f658d	রবিবার ভোরে
c47d1443ed	49d63	গত বছরের ৫ সেপ্টেম্বর
c47d25e04a	0a87a	চারজন উচ্চপদস্থ কর্মকর্তা রয়েছেন
c47df0d3e3	cb842	ঘোষণা করা হয়েছে
c47e09491e	bc81e	সরকারের বিরুদ্ধে নয়
c47e465cb9	e3d8b	অনিয়ন্ত্রিতভাবে খরচ করে ফেলাটা
c47ec3d828	ff0fe	বিশ্বের বৈশিষ্ট্য বা প্রকৃতি
c47f0d3682	e9fa7	সচিবালয়ে
c47f1bb1de	4c1eb	ভারতবর্ষীয় দর্শন
c47f2e022a	52578	সারা পৃথিবীতেই জনপ্রিয়
c47f8ecf2f	49543	এগুলোকে ঐক্যবদ্ধ রাখা
c47fedf28f	f600a	তিন ওভার চার বল
c4807ad574	590d0	বাদ দিলে
c4809aa6f7	ea5be	গাড়ি দুর্ঘটনার কবলে পড়েন
c481016c86	f2097	রাজীব কর্মকারসহ আরো সাতজন
c481fc3ade	698a4	মস্ত রাজদরবার
c482182f4b	2f547	কামিজ ডিজাইন
c4829a725e	e6203	চেয়ার টেবিলে আগুন ধরিয়ে দেয়
c482f274fe	06527	মামলার এজাহার থেকে
c483461e5a	3ccf1	কবিতা পাঠ
c483a1d275	9092b	বুকের ওপর
c483c127df	73629	আকাশে বিদ্যুৎজ্বলা
c483c3c0f9	6fb36	বিদ্যুৎ বিভ্রাটের কারণে
c483e76c8b	84145	যেভাবে প্রশাসন চালাচ্ছেন
c483edbebb	730c3	এ দক্ষ বিক্রেতাদের ভিড়ে
c4842e3d87	01e91	অনেক বড় হয়ে গেছে
c4846d4a8f	5b13f	দিন চলে যায়
c484fb446d	2c9c5	আর এগোয়নি
c48552f65d	91dff	ট্রিক করতে দেয় না
c48589b4da	1a2a1	সবসময় খোলা থাকে
c48673075a	68ab7	ফলে বিক্রিও কমে গেছে
c486a4ce82	c2082	সেখানেই প্রশিক্ষণ নিচ্ছেন
c486b63015	32998	আফ্রিকায় ফিরতে হবে
c486c434f0	3fc9d	স্টার আনন্দ
c486db1e25	03284	কাটতিই বেড়ে গেছে
c48744e499	59c73	হিংসা মানুষকে
c487c5aaea	68549	আঙ্গুর বা দ্রাক্ষা এক প্রকারের ফল
c487f22427	9d46f	হাজির করা হলে
c48815387f	b8ed8	এই তারকা প্রার্থী
c488470234	80518	কিংবা সমালোচনায় থাকা
c4885bded1	18a52	কমিশনের স্থবিরতার জন্য
c48934af78	61820	সে বড়ই ভয়ঙ্কর
c4894fa89f	5354e	কৌতুক জোকস
c4898d00cf	24aed	চলতি সিনেমার
c4899651c1	bd576	দ্বিতীয় পর্যায়ের কাজ শুরু হয়
c489ba1455	e3f89	তাও নয়
c489df3132	d2faf	গুপ্তরচরবৃত্তির সন্দেহ ছাড়াও
c48a82b256	d41be	শাওনের বিয়ে নিয়ে তীব্র বিতর্ক
c48b2bfba8	ff0fe	বিদেশি বৈরী প্রজাতি দিয়ে
c48b4ab093	c3cca	সূর্যমুখী-দলের সবাই ভাবছে
c48b99177e	0696e	ও জনগণের সংগ্রামী চেতনা
c48bbbbc71	086dd	চিত্র জগতে আসা
c48c31fb51	cb1aa	আলোচনা হবে
c48d3bcf98	420df	কিন্তু এ্যারন হ্যাম
c48d59f404	e03ce	ডলফিনি অক্টোপাস
c48dc3d7f1	16a17	এখন আমাকে
c48e87f39c	7351e	সিজার
c48f97654d	2556b	কার্যালয়ের প্রধান গেইট দিয়ে
c48ffedb21	ac904	তারপর আর
c4905025ca	1e7c7	অধিকতর তদন্তের সময়ে
c4905c2c83	c173f	গত বছরের১৬ অগাস্ট
c4907dac89	bcaa8	প্রশ্ন স্বাভাবিকভাবে
c490abe57f	eecdd	চাপের বিষয়টিই
c4915115ff	75626	আরো কয়েকটি টিভি চ্যানেলে
c4928380c3	69d9a	মরণে-জীবনে
c4932091f6	6c17f	সময়ের সাথে সাথে নির্মাণ সামগ্রী ও আনুসাঙ্গিক অন্যান্য পণ্যের দাম বৃদ্ধির জন্যই এই ব্যয় বৃদ্ধি হতে যাচ্ছে।
c493383b1f	491a5	সুরা ফাতিহা
c493424463	ad050	জারি করা হয়েছিল
c4934744f4	577fa	দুর্নীতির অভিযোগ এনে
c493a3e278	0606d	ফ্রী ইন্টারনেট চালান
c493bbecb9	09f0d	গোটা ছয়টি প্রশ্নের উত্তরে
c493d69fc4	4bede	মালিকদের আপত্তি এখানে গুরুত্ব পায়নি।
c493fd709e	ad2a0	চেয়ারম্যান পদে
c4944ca290	86b1b	ঘন্টা, ঘড়ি
c494527eb9	bfac7	এত কম সময়ে
c494a3debb	06bb7	সাধারণ
c494d35225	68ab7	জ্যোতির্বিজ্ঞান বিভাগের সভাপতি
c494f8bdea	d136b	সপসপে ভেজা
c4954c8dd7	b7be9	যখন দর্শক সংখ্যা থাকে
