2e00acebb5	b5fdc	ফল চাহি না বলিয়া
2e1fef19c3	9f25e	ব্যাপক উপস্থিতি রয়েছে
2e20346e94	d2355	ভিন্ন দেশে, ভিন্ন পরিবেশে
2e20f9b0e2	22096	সেইমতো শূন্য পেটিকায় ভরাবি
2e211d3e09	4a67e	শুরু হবে এ মহা ধর্মীয়যজ্ঞ
2e22e0a1a4	06736	কিং সলোমন'স মাইন
2e22ec938d	0696e	আজ ৪৯ জন
2e230fd831	767ff	পাবনা পাগলা গারদ
2e231749d8	a4750	আমি তোমায় দিচ্ছি
2e23956ab0	0d4cb	বিভিন্ন অধ্যায়ে চোখ রাখতে হয়
2e23b37cb2	4bede	সাহায্য দিতে
2e23b760e3	4237e	তিনি রাজনীতিবিদ
2e23b93ddf	f29bf	শিক্ষক পুল
2e24140c0c	3b1f7	দুটি মৃতদেহ পাওয়া যায়
2e24e1682f	ec91c	বটতলায় গিয়ে
2e2524eadd	ad69a	র‌্যাবকে লক্ষ্য করে
2e256071f5	ad050	ধূমপান করলে
2e257882cc	0744c	জনসভায় যোগ দিতে
2e25ac3380	388c9	পুলিশের উপ-কমিশনার
2e25ade02d	06527	হান্নান শাহ বিবিসি বাংলাকে বলেন
2e25c97cff	ee4ad	আমাদের এখানে তেমন হয় না
2e2650495a	68549	কুফর-বর্জিত নজরুলকে
2e26e99599	321b6	ইয়াসমিনের পেটের ওপর
2e26ed5061	2b883	আব্দুল আলম অগ্নিদগ্ধ হন
2e26f633a0	a274b	করা হয়নি
2e272b3476	14816	লুবনা মরিয়ম
2e273f917f	e3d8b	তাই তিনি ১৯৭৪ সালে
2e27800745	93d3b	তরুণীকে নানাভাবে বুঝিয়ে
2e27d92b6a	29d44	অনেককে সরকার
2e27f33404	c7a89	ঢাকার দ্রুতবিচার ট্রাইব্যুনাল-৪ এ
2e2852cae8	32c77	নেওয়া যেতে পারে
2e292fc7a2	870e3	বেগম খালেদা জিয়া
2e29a72104	b8bdd	গাবতলী থেকে
2e29b30080	43b04	পাতায় পাতায় কোণের দিকে
2e2a1e6e02	66c6b	করেই গড়ে উঠেছে
2e2a65e8a2	9c8dd	উপরিপাতনের ফলে
2e2a74e9d6	745b7	জহুরুল ইসলাম সিটির
2e2a82b31b	42898	এটি তার ১৭তম
2e2a9ff465	7ec1c	রাজী হননি
2e2af4e3ec	46da4	এ রকম হওয়াটা
2e2be44105	3b1f7	আমাদের রাজনৈতিক
2e2be6ef1c	880ae	তার একটু নমুনা দিচ্ছি
2e2bec3f39	b8bf0	মঞ্চনাটকটির দৃশ্য ধারণ করা হয়
2e2bef6343	1cb75	বিশেষ করে বাংলাদেশ টিমে
2e2c35b859	95f83	সন্তান ধারণের সম্ভাবনা না থাকলে
2e2c69605d	09b32	ফলে যাত্রীর অভাবে
2e2cd6b32f	6b437	নিউটনের সাথে
2e2d1f003d	5dd61	মোহাম্মদ কামেল আমর
2e2d8940ee	442b7	রুশ বিদ্বেষের কারণেই
2e2e539b06	d2d71	প্রতি শুক্রবার
2e2e9488d0	a06a1	ব্যাকরণ, শব্দভাণ্ডার
2e2ed493f0	3fce2	দিলরুবার বিয়ে হয়ে যাওয়ার পর
2e2efdf90f	e8dde	ভাড়া থাকতো তারা
2e2f5e63d6	0b7ca	অ্যাকর্ডের উদ্যোগে
2e2f738372	7aed9	পাবলোর দুটি দোকান
2e2f88637b	66dcd	সামনে পেলে পিটিয়ে
2e2fb02f2f	3fae0	সুবিধা না থাকলেও
2e2feec64b	4bd2c	মানুষের দেহে
2e2ff7d921	e55de	কাদের মোল্লার ফাঁসির ভিডিও
2e3034ce29	3ccf1	যমুনা সেতু
2e3072495c	442b7	বুঝে গেছেন
2e3077ec6b	ad98d	৩৩ রানে
2e307e7d18	2556b	আর কি হইতে পারে
2e30faa0a5	bfac7	কোন সুনির্দিষ্ট যোগ্যতা নেই
2e318310c4	2909b	বিষক্রিয়ায় আক্রান্ত হয়
2e318f74f3	18a52	কাজ করতে চান না
2e31b7e952	6fb36	সন্ত্রাস
2e31d25998	8845d	ফকির পাগল
2e32174c9a	d82d9	দর্শন কুলিয়ে উঠতে
2e326f3aac	1652d	ভজন
2e32a0e125	6fb36	ছয়টি বাংলা উপন্যাস
2e3383a7b7	0895a	একজন মার্কিন কম্পিউটার বিজ্ঞানী
2e33aee305	ce180	ঘনবস্তু যার ধার
2e35af4968	b8ed8	জেনিফার
2e35d3dbd9	88654	হাসপাতালের এক নারীমুখপাত্র বলেন
2e36078320	98b81	আর্থিক সহায়তা দিয়েছে
2e365a15b6	509f6	রোগ প্রতিরোধকারী
2e3699c732	4f450	উৎপাদন করা সম্ভব
2e36b45286	2fe3c	নবকুমারের সহযাত্রীরা
2e36d6681e	bdfc1	মেয়ে শিক্ষার্থী পাস করেছে
2e36fa6774	8143b	আমার কর্মক্ষেত্র ছিল
2e371e4f19	693cb	এই ব্যবস্থা
2e373b924a	0c39f	নতুন বোর্ড এবং বোর্ডের প্রেসিডেন্ট
2e37a8017e	d1a48	প্রাথমিক ও ইবতেদায়ী সমাপনী
2e3809ceb2	33aef	এর পর থেকে তার কোনো
2e38676c0a	f29bf	হাত দেখা
2e395de231	351dd	তেহরিক ই তালেবান
2e39bf5c96	39293	যেভাবে তুমুল করতালিতে
2e39fb374b	e68af	বিভিন্ন আইন ও নীতিমালায়
2e3a1983fa	69449	মেয়েদের অঢেল টাকা যায়
2e3a543567	1e7c7	ঘণ্টাখানেক স্থায়ী বৃষ্টির সঙ্গে
2e3a9b97b4	39dd0	কিন্তু বাইরে থেকে
2e3aa33cd4	388c9	যদি হত্যার আলামত
2e3ad5d803	31f2a	উত্তর বারিধারার বিপক্ষে
2e3aed6035	b8bf0	প্রার্থী কাজী শহিদুল ইসলাম
2e3b5a7f71	6e8cb	বিভক্ত হয়ে যায়
2e3b7a9162	bf530	চলতি মৌসুমটি
2e3ba2af61	0f047	বনিবনা হচ্ছিলো না
2e3bd29c4f	86b1b	ফলে ১২ ম্যাচ থেকে
2e3c4a05bb	ef915	ফুলশয্যা
2e3d28062d	404ee	তবে তারা মনে করছেন
2e3d3a6519	f1240	তখন ৩৬ বৎসরের
2e3dbdddec	8c07c	সাম্প্রতিক ধারার গল্প
2e3de1910f	fdcba	তোমার পত্রিকাই ছাপা হবে না
2e3e022075	2de86	ভারতীয় চলচ্চিত্র
2e3e461ff0	4f450	ও উপেক্ষা করা হয়েছে
2e3f034922	4fc91	নিজেকে ইসলামের
2e3f3f521c	db735	কাজল আগারওয়াল
2e3fb1aa62	f6e55	বাংলাদেশের অবস্থান ১৩ নম্বরে
2e3fba35ff	f6e55	কেউ দিতে পারছে না
2e40236055	fcefa	হামলা হয়
2e41294a17	ef4f8	আহত দর্শকদের
2e41496c44	7898e	এর পর ছিল
2e41c5023a	37e17	বিরোধী দলকেই নিতে হবে
2e421302db	a8710	প্রতিহিংসার রাজনীতির
2e421a4537	69d9a	ছাত্র সমিতির নেতা
2e423206e5	1f733	তিনি মনে করিয়ে দেন
2e42852be3	ac904	সাধারণ মানুষ সব সময়ই
2e429aba9c	d9081	শিক্ষক নিবন্ধন সিলেবাস
2e429ba4b1	42898	মা এখন ঘরে যাবেন
2e42c0674b	f2097	কিন্তু পিডিপি ও বন বিভাগকে
2e431b2a25	1b359	পূজ্য, পূজকের মধ্যে
2e4358ebea	355c1	বিদ্যুৎ সরবরাহ করা সম্ভব হয়নি
2e439731a6	e89bb	বাংলাদেশের কেন্দ্রীয় ব্যাংকে
2e43b4eefb	1cb75	মুগ্ধ হয়ে
2e43f8963e	c3cca	যদি তিনি না থাকতে পারেন
2e440f23f6	e6752	দোকানের তেলে ভাজা খাবারের ওপর
2e4475c3a9	509f6	আমাকে তাঁহার নৌকায় লইয়া গেলেন
2e455094cc	256f5	পণ্ডিতমশাই উত্তরের প্রতীক্ষায়
2e45537a0b	22096	নির্ঝর এখন কণ্ঠশিল্পী কণার সঙ্গে
2e455e874b	7ee9b	ডাম্বলডোরের চরিত্রে
2e456ee704	351dd	তাকে ডেকে নিয়ে যায়
2e45a6c897	860f4	এর বিস্তার
2e45c1a9ad	1652d	১৯৯১ সালে ‘উমরাওজান’ গ্রন্থটির
2e45d34c5c	4e900	চাপ তৈরী করা
2e46cc7aef	33814	জন বিয়েটা
2e46d61374	7d004	পণ্য, গৃহস্থলি পণ্যসহ
2e471c8b2d	b8fe1	এই সমাজের সামান্য ভালো
2e471d7610	2556b	সেভাবে ঠিক করতে হবে
2e474c37a0	6aac8	আজ পবিত্র শবে মিরাজ
2e47d483f4	25696	সংশ্লিষ্ট দেশের মোবাইল ফোনে
2e4851a753	1cb75	কর্কট রাশি
2e48521373	3f875	এক পারিবারিক মণ্ডলে
2e488e26f2	ee4ad	মার্কেজের ব্যাপারে
2e48917e35	acb88	বেরিয়ে যাওয়ার সময়
2e48a0c005	9813c	এসব উসকে দিল
2e48bbd95d	e03fc	গল্প এটি
2e48f287f4	dba43	অভ্র কীবোর্ড
2e49b03dde	2fc12	অক্ষুণ্ণ গতিতে চলিয়াছে
2e49fb3bba	9f25e	শশাতে রয়েছে প্রচুর পানি
2e4a2e16c0	37d7e	এদের সমগ্র সামাজিক কাঠামোটাই
2e4a319413	239f7	কোন বদমাশের পাল্লায় পড়েছিস
2e4a6b26bf	ee4ad	১১৬ বছরের দীর্ঘ
2e4a8dde76	06736	চলতি সপ্তাহেই এই ওষুধের
2e4abe6570	9e923	বিশেষায়িত প্রশিক্ষণ কর্মসূচিতে
2e4b4161d2	fda1a	জানান মাহবুব আহমেদ
2e4bbbc8fe	38d3a	আই নো
2e4bea0972	92bd8	তাকে কুলচা-পীর বলে
2e4c278e28	03284	শ্রী শ্রী গীতা
2e4c2a11dc	03284	তাঁর ভিটেবাড়ি
2e4c2af449	d82d9	ধুবড়ী-র নাম শুনলেই
2e4cbe32c4	5dd61	এবং উত্তর ভারতীয়
2e4cbfa413	2d98b	জানাচ্ছে সংস্থাটি
2e4ce60737	860f4	নাকি লোক দেখানো
2e4e54f3f0	76329	হাঁচি ও কাশির মাধ্যমে
2e4f0e92c9	7ed14	সপরিবারে হত্যা করে
2e4f7f2737	195f7	বা অলিম্পিক নিশান
2e5021b0dd	967fd	এক হাজার৬৪৫ পয়েন্ট হয়েছে
2e503cee65	2aecc	অদ্বৈত বেদান্ত দর্শন
2e50ad3bbc	52f27	সান্ত্রীর বুটের আওয়াজে
2e510c1741	577fa	জঙ্গলে ঢুকে পড়ল সে
2e5139e977	fda1a	জিডি এন্ট্রিও হয়নি
2e5163183f	83c53	অবশ্য দাবি করা হচ্ছেন
2e517054fe	9351a	স্ফুটনাঙ্ক বিশিষ্ট
2e51b3d17d	22096	ব্যাট করে
2e51d637f1	ee886	স্থগিতাদেশও চাওয়া হয়েছে
2e51dfcfe2	68ab7	ঋগ্বেদে এমন অনেক
2e522ccbb2	f658d	রাষ্ট্রীয়ভাবে শোক পালনের জন্য
2e52875106	9b864	অবমুক্ত করার মাধ্যমে
2e5321acf2	948d3	জায়ান্ট রুমসহ
2e5349796d	0c39f	লিখে চলেছেন
2e53f765db	6ab59	ভারতে লোকসভা নির্বাচনী প্রচারণায়
2e54001fcd	d5f7b	শহরের সাড়া এলাকা থেকে
2e5422ad94	65652	খোলামেলা
2e550fdd7b	693cb	এরই মধ্যে প্রায়
2e554119f7	2bd99	বিকৃত হয়ে গিয়েছে
2e55e9689e	420df	অসন্তোষের সৃষ্টি হয়
2e55fe9b2d	9d46f	সাড়ে নটায় অফিসে পৌঁছানোর অভ্যাস
2e56227aa9	80505	১০ শতাংশ জমির ধান
2e57e06457	61820	আজ সোনাগুলো
2e583ba8af	43b04	গত সোমবার
2e583e7487	0a7a0	যদিও আমি কখনো
2e5857e1cf	efc0d	মাসিক পত্রিকা কালি ও কলম
2e5886de42	f2097	পরামর্শ আশা করেন
2e58dfca1c	4f2ae	তামাক বিরোধী
2e5950725f	0d4cb	চাঁদপুর কণ্ঠ
2e59789d97	086dd	এ রকম ভয়ংকর স্বপ্ন
2e5a1fce57	1cb75	জুতাগুলা লইয়া এইখানে দাঁড়া
2e5a501682	86b1b	প্রাকৃতিক গ্যাস
2e5ad3368d	f1ff2	প্রায় ২০০ যাত্রী
2e5ad937f2	24f73	উত্তর দেবে
2e5af1efbe	315e9	এবং হাভার্ড বিশ্ববিদ্যালয়ের
2e5affec63	dae88	যেকোন একটিতে কথা বলেন
2e5b4907bc	16e96	দিল্লির মসনদে
2e5ba6348e	2ee04	বলে জানিয়েছেন ঈশ্বরগঞ্জ মডেল থানার ওসি
2e5bb4b91c	29bab	এনডিএ পেতে পারে ২২৬টি আসন
2e5c0f2976	5a61c	একাত্তর হাজার
2e5c2709d7	66dcd	হলে গ্রামের দিকে হয়
2e5c3f8333	2f547	ঝুমা
2e5c84d47f	a4750	হাতির দাঁত লুকিয়ে রাখার সময়
2e5c93cd7d	410fa	দেশে শিল্পায়নের প্রধান অন্তরায়
2e5dae7ec4	bfac7	গণেশ পুরাণ
2e5db13134	dafb6	এই কৃষি থেকে খাদ্য
2e5e00e6e3	d9817	পৃথিবীতে বাস কর
2e5e01267d	a3a6d	বিভিন্ন রাজনৈতিক সংকটের সময়
2e5e8c843c	64092	বেরিয়ে আসতে চাইছেন
2e5f69b6b3	a1201	আত্মতৃপ্তি পেতে পারে
2e5fb6caeb	b9122	ঘটনার সঙ্গে জড়িত
2e6009ea17	d5f7b	ত্বক পরিষ্কার করতে হবে
2e6051a380	c7705	বিদ্যুৎ কেন্দ্রটি
2e61aa7899	7d3e1	সুদানের প্রেসিডেন্ট
2e627c2b46	d9ba9	শীর্ষে রাখা হয়েছে
2e627c86fa	08458	ধানীখোলা গ্রামে জন্মগ্রহণ করেন
2e6288eb18	ef915	সময়ের কাজ সময়ে না করতে পারলে আপনি শত্রুদের দ্বারা আরো ক্ষতির সম্মুখীন হবেন।
2e628ff0f4	ab946	হত্যার ঘটনায়
2e6319ee1f	7351e	শ্বশ্রু-জামাতা সম্পর্কে
2e6332d985	ac0df	সংসারটা চলে
2e6383a145	2fe3c	অধিকাংশ যাত্রী ছিল
2e63a7781f	39dd0	বা নাগরিক সংহতি নামের
2e63c85707	aa820	তবে শর্ত ছিল যে
2e648495c6	976b1	স্পিনার সাঈদ আজমল
2e6487f985	0e637	দুই দেশের ইতিহাসে
2e64df2da7	e2f12	ছাড়িয়ে গিয়েছে
2e654e98ea	7d133	মোট ৮০৭টি মৃতদেহ
2e656aa9f2	25696	ট্রেনের গতি কমে গেলে
2e656d4d1b	730c3	জন মুনি ২৯ রান করেন
2e6577b881	536d9	তবে যদি নির্বাচন
2e65925ac8	2fe3c	স্বতঃস্ফূর্ত সহযোগিতা যুক্ত হলে
2e65b4bbf2	86b1b	পরিবহন নীতিমালার কথা
2e65f789b2	aa820	আলামত জব্দ করেছে
2e6661899c	17ca1	চিঠি
2e668b81a1	91dff	বরেন্দ্রভূমি বিস্তৃত
2e6736eb27	693cb	ফিটনেস ট্র্যাকার সমৃদ্ধ করতে
2e67b7a78e	9642e	আগামী ২৫শে জুলাই
2e6857ed5c	e9fa7	বোমা ফাটানোর মতোই
2e685e234d	e03fc	আমাকে ভাষা দিয়ো না
2e6894df54	8ba2b	এবারে তাদের অপেক্ষার প্রহর
2e6899bc99	43b04	পঁচিশ হাজার এক টাকা
2e693ae812	2ee04	প্রধান বিচারপতি
2e6944f14f	fcefa	ফুলবাহারি ঘর মুছে
2e6973e345	9813c	রাজকীয় সমাধিটিই
2e69f5856e	7351e	তানিয়া আহমেদ
2e6a8736eb	b4ea7	গেরিলাযুদ্ধ অনেক সময়ই
2e6ac5603a	f2097	এ বি সিদ্দিক
2e6aebde12	404ee	ও পিওর কটনের
2e6b0b1039	14816	১৭৭ জন ভোটার
2e6b0e2b02	29089	ভোট দিতে পেরেছে
2e6b4b64f8	98b81	সৃষ্ট সম্ভারে
2e6b55f759	cd3ac	বাবা ঠেলতে ঠেলতে
2e6b9ffee0	c4973	আর্থিক মন্দার সময়ে
2e6bcc1bd1	3d17c	সবচেয়ে ভালো হয়
2e6c30b9a0	09b32	এদিকে কর্মকর্তারা বলছেন
2e6c58bbe5	321b6	অপরদিকে ১০ বছর মেয়াদি
2e6ee048ae	4ea73	শায়ের উল মুলক
2e6eea843b	8ba2b	কোরআন আল
2e6f6377cd	1f733	নিয়ন্ত্রণ নিশ্চিত করতে
2e6fc60b17	9fa90	এরমধ্যে এমন
2e700880b4	fd880	বদলে সাগরে মাছ শিকারের
2e70853cba	0606d	একটা এক্সপেরিমেন্ট করতে চায়
2e7110bd81	80be1	জেনে নিন খুশকি থেকে
2e71830676	d41be	চীন যে ক্রমশই মহাকাশে
2e71c47fed	4164f	দু মিনিট পর
2e71cf6ee3	42898	জরুরী ত্রাণ ও চিকিৎসা সেবা
2e725a6d14	cfc65	শহীদ মিনার গড়ে ওঠে
2e727b8759	7a227	তবে আমাদের টেলিভিশন মালিকদের
2e72936b67	7aed9	ও নার্সিং কলেজ চালু হলো
2e7299abea	6b437	চৈতালি স্নান করে না খুব
2e72ff7e3d	33aef	এই দেশ
2e73124c48	47e8d	আফ্রিকান ও ফরাসী সৈন্য
2e7338f4a5	e2ba2	বৈদেশিক
2e733bb585	7ed14	আদালত আগামী ১এপ্রিল
2e73bed4ed	39dd0	সমস্যা আছ
2e73ebaac1	54e68	নানা প্রতিবেদন প্রকাশিত হয়েছে
2e746715f7	43fc0	অতএব নীতিবিরুদ্ধ
2e746bee3e	ca831	বিকল্পধারা ছিল তখন
2e757f4d9e	bd576	পেট্রোল এবং অকটেনের
2e7669af59	287bd	আরেফিন শুভ
2e76cabe17	e6e48	দারিদ্রের সংখ্যা কমেছে
2e76d1d97c	39293	এত দ্রুত বাড়তে থাকে
2e76d901e7	b52ab	গেম, এটি ২০১৩ সালে
2e772443a9	f2097	চরিত্রের কথা নয়
2e772823a3	767ff	পরিণত হইলে চলিবে না
2e77306063	09b32	অপরাজেয় বাংলা ভাস্কর্যটি
2e77714d79	6973e	চেষ্টা করল
2e77d4f52b	7ed14	তাঁকে লক্ষ করি
2e7813e152	b9122	কয়টির উৎসস্থল মায়ানমারে
2e7847e8f6	75936	সংঘর্ষ শুরু হয়
2e78b917a7	66b3c	এখনো জানা যায়নি
2e78c0039d	69d9a	উত্তর ও দক্ষিণাঞ্চলে
2e7945cf0e	d7a68	অংশ নিচ্ছে
2e79915baf	29bab	মোহাম্মদ খালেদ হোসেন
2e79a1a580	9065c	বন্দুকধারীর গুলিতে
2e79b54469	f9dfb	তপস্বী শাণ্ডিল্য শুদ্ধাচার
2e79cd1f0b	e00db	কতই বকশিশ পাবে ভেবে
2e7a1bdf94	4ea73	সাড়ে ৫ টার দিকে
2e7a5bbab4	fdcba	রাস্তার পাশে ধাক্কা খায়
2e7ab093d3	11915	আমেরিকার সেনাবাহিনী
2e7ac84520	bd576	ভেজাল ওষুধ প্রস্তুত করে
2e7aca1adf	c0965	ভিট চ্যানেল আই
2e7b10678c	92bb2	যখন কোনো গতিকে
2e7bad4a83	7d133	জ্যেষ্ঠ কর্মকর্তাসহ
2e7bca32d9	8c07c	জন্ম, ২৪ ডিসেম্বর ১৯৯২
2e7bf3c918	5dd61	কোন হতাহতের খবর
2e7c25862b	9813c	তা বাতিল করার ক্ষমতা
2e7c7c669a	25117	এমন নৈসর্গিক দৃশ্য
2e7c989435	d82d9	আতঙ্ক আর উৎকণ্ঠার মধ্যে
2e7cc63cd9	b52ab	জোহানসন প্রথমবার তার অনামিকার আংটিটি
2e7d0cfb64	4c1eb	এ দেশের উন্নয়নে
2e7d189e3e	7898e	এত দুশ্চিন্তা কিসের
2e7d671a94	85430	তাকে প্রাণ নিয়ে
2e7d919367	d82d9	ও কম্পিউটার জব্দ করে
2e7da6ebf2	b8ed8	অনেকাংশে সত্য হলেও
2e7daffe53	d9ba9	আধখানায় পর্দা ঝুলিয়ে দেওয়া
2e7ebab0d2	6fb36	হোটেল আল-রহমান
2e7ee38b98	91dff	অপেক্ষমান আছে
2e7efbd867	7b900	শুভ্রা মুখার্জির সাথে এই গ্রামের এখনও যোগাযোগ রয়েছে।
2e7f18195b	e50f1	এক সময়ের প্রতিদ্বন্দ্বী
2e7f1b1729	b9b98	পন্ড করার লড়াইয়ে নেমেছি
2e7f5d129e	860f4	এমন অবস্থায় সিটি নির্বাচন দিলে
2e7f6d3c6b	dae88	জাপান উৎকণ্ঠিত
2e7fb053e0	491a5	ওরা এরকমই
2e800cc421	c3cca	জবাবে সানজিদা শশী মনে করেন
2e80298254	f29bf	গল্প-উপন্যাসে তিনি তা করেননি
2e802cdd87	6973e	কেসের ওপরে
2e805cc552	287bd	হিউম্যান রাইটস ওয়াচ বলেছে
2e808a19c4	2c9c5	লক্ষ্যমাত্রার ৪ দশমিক শূন্য তিন শতাংশ
2e8099f9f0	c7705	হরতালকে কেন্দ্র করে
2e80c59f9e	388c9	আবার হাসিমুখ
