a200d95ea2	c7a89	দুই বান্ধবী মিলে
a20b6ed3ba	69d9a	নিদ্রায় যান
a20b873a6c	f1240	দাদা বললেন সিলেটের মেয়েরা
a20bc64940	a46e2	যাঁর পানে
a20be4aace	13b6a	চুপচাপ বসে ছিলেন না
a20cc31cc6	fcefa	কৃতজ্ঞতা প্রকাশ করেন
a20cd48d87	8a46d	রবীন্দ্রনাথ একটি প্রথার নাম
a20cd7baa0	520fb	ব্যক্তিগত আক্রমণ
a20d6bd2fe	c749e	মানুষ আর কদিন
a20ddcbdea	9065c	ফুল থেকে চোখ তুলে
a20e3926fb	92bb2	উল্লেখযোগ্য ভূমিকা রাখতে পারেনি
a20f2aa50c	b8bdd	হুইল লাগানো হাতলটানা স্যুটকেস হাতে
a20f740c17	e754e	বর্তমান সংকট থেকে
a20fc94a60	0633a	এ চক্রের সঙ্গে
a20fe109e5	4c1eb	সামরিক বাহিনীর একজন জেনারেল
a20ff593bb	4f2ae	অন্য কিছু ভাবার
a2106e1c85	d2faf	সব একাকার করে দিলে
a210708c82	c5479	আসলে ডাকার দরকার ছিল না
a2109ee072	52f27	সংশ্লিষ্ট কর্তৃপক্ষের
a210a73071	bfac7	চৈতালির থালায়
a210db1952	321b6	উদ্যোক্তার নিজেরাই নিজেদের পথ
a211492f23	7f71c	প্রথম আবিষ্কার করেন
a2115fb689	11de3	মামলাটির রায়
a211868149	1652d	মুসলমানিত্বের চেয়ে
a212228ab8	6ab59	বিশ্বাস করতেন
a2122701d1	68ab7	দৃশ্যমান অক্ষর
a212f2dfc9	c8f7f	ভাষাগুলির উপর
a2131e29a8	06ea3	এর বর্তমান মূল্য
a2134b83f4	3d17c	মঞ্চ নেই
a21427e692	3faff	আমরা সরকারের কাছে
a214dc353c	28bb3	হৃদরোগ সম্পর্কের ব্যাপারটি
a215a3c5bb	83c53	গোলামকবির
a215cdcdd8	d9081	নানা রকম
a216d39570	c41d8	ওসিকে কেন্দ্র থেকে
a21706b8b3	0633a	সেইরূপ সৎসম্ভাষণ করিলেন
a2172f2279	acb88	কালো, সাদাচ, লাল রং
a21763b800	9351a	ভূতটুত কিছু
a217d73700	84145	মামলা দ্রুত নিষ্পত্তি করার জন্য
a217f724f4	c5dc8	এই বলিয়া উন্মাদিনী
a218017046	2f547	কমিউনিকেশন ফটোগ্রাফির দায়িত্বে ছিলেন
a218030879	0c39f	২০১৫ সালের ২৯ মে
a2188efa18	92bb2	বনশ্রী ও পান্থপথ এলাকায়
a218b28946	6da0a	তিনি মনোনয়নপত্র
a218deaeec	6d129	নির্বাচনী প্রচারণা এবং সরকারি সুযোগ-সুবিধা
a218e874e9	d2faf	তিনি অচিরে বিয়ে করছেন
a2196a8105	2fc12	নভেম্বরে আরো কমে
a21a00d934	f658d	পতন হবে
a21a51c1f2	adf01	সর্বশেষ সরকারি চাকুরেদের
a21a759ce0	5b13f	মোতায়েনের ক্ষেত্রে
a21a7801ce	ee7b2	ঐতিহাসিক মূল্য আছে
a21ae60efd	3c897	কেবল ভারতবর্ষের প্রতি
a21af4f26b	1cb75	আলোচিত মামলা দুটিতে
a21b2552a4	8a46d	সব নির্ভর করছে
a21ba5ac40	2ecf8	বিভিন্ন দেশের কূটনীতিকেরা
a21bb79215	09f0d	মোহন সাহেব
a21c335519	01e91	কতজন লোক হয়
a21c40e7e3	18a52	বলছিলেন ফরিদপুর থেকে আসা আরেকজন
a21ce252de	ef915	চুল গজানো
a21d53d579	932bb	আমাদের গ্রন্থের মর্মমূলে
a21d7d273b	c5479	কমিয়ে আনতে হবে
a21d9df0d0	7c272	পদত্যাগ পত্রগুলো
a21dec6aaf	cb627	নিয়ন্ত্রণ করে থাকে
a21e33439f	0a87a	বড় মন্দিরটি নির্মাণের সময়
a21f51cfee	a4750	বাজারে নতুন ধানের
a21f5fca62	c3cca	কয়েক ব্যবসায়ীর সঙ্গে
a2206f3c6a	44322	আকন্দ এক প্রকারের
a220e4be1e	75f18	আয়রে আলো আয়
a2214cb2e3	5b13f	করার লক্ষ্যে
a2214dce06	68549	নেই বললেই চলে
a2217d27b4	9f25e	সে ব্যাপারে তারা সরকারকে
a221ab177c	68549	দেশটি এখন অপেক্ষা করছে
a221ab9fa3	3bb15	বাড়ীশুদ্ধ স্ত্রীলোকদের
a221bf94ea	ee4ad	স্থান করে নিয়েছে
a2223d2b8f	6973e	মাড়োয়ারি বসবাস করতেন
a2227c9cbf	086dd	পাঠানোর প্রস্তুতি চলছে
a22296c9c3	948d3	সালফিউরিক এসিড
a222b054e1	d41be	২০১১ সালের ২ মে
a223f9237b	4c555	ইহা জানিয়া শুনিয়াও
a2241cc049	b9b98	বিশ্ব ভারতী বিশ্ববিদ্যালয়ের
a22422096f	7898e	এই রিজার্ভ যদি
a22448a3db	1e7c6	এমনি ঘন গন্ধকের ধোঁয়া
a224d291a9	0633a	মা আমার লক্ষ্মী বইলা
a22565b553	577fa	অন্যতম প্রধান রূপকার
a226546ef4	2f547	ধান চাষ
a2266030c5	c5dc8	নিলেও তা বাস্তবায়নের আগে
a226911477	7c272	আগের তিনটি মামলায়
a226d20491	a4750	বিস্তর লোক আসিবে
a2273c0b19	6e6fa	তা হলো সংলাপের জন্যে
a227490cee	e00db	অন্যদের যুক্তি-তর্কের আলোকে
a227922fb2	cb842	সরকারী বিজ্ঞান কলেজ
a227941d03	520fb	একটা জলাশয় পাওয়া গেল
a227ceb02d	baa02	নিতান্ত কাতর হইতেন
a2282e8962	c749e	নিচু হয়ে মেঝে থেকে
a22889f02d	932bb	বিজ্ঞাপন জগত ছেড়ে
a228a4ef12	520fb	প্রশ্নবিদ্ধ হচ্ছে
a228c2b864	e2ba2	প্রায় ৫০০ পৃষ্ঠার বইয়ে
a229150509	b08d0	বেদ যে ঋষি-প্রণীত অর্থাৎ মনুষ্য-রচিত
a2291f0869	315e9	অন্যদিকে ক্ষুধায় পেট জ্বলিতেছে
a229325648	0633a	কংগ্রেসের শীর্ষ নেতৃত্বে
a229746280	442b7	না আগে মানুষ
a2297818f6	a3a6d	এতো মাতামাতি হচ্ছে
a2299fcfec	37e17	অসামান্য অবদানের পরও
a229a8e69b	2396d	সাবেক প্রধানমন্ত্রী
a22aaf3901	bd576	হলেন আদি শঙ্কর
a22accacd8	0696e	বেশির ভাগ স্কুল, কলেজ ও মাদরাসায়
a22b8e8f3c	4bd2c	নায়করাজ রাজ্জাক পরিচালিত
a22ba6a75c	2c9c5	চাপা দিয়ে পালানোর চেষ্টা করে
a22c329d84	7ec1c	আরও গহন গ্রামের দিকে
a22c401d60	903fa	আমরা চাঁদকে ছাড়িয়ে
a22c79473d	b00ba	তার পরিবারে
a22c824d11	4164f	স্বস্তিকা মুখার্জি
a22ce68b14	1e7c7	সিলেট অঞ্চলকে
a22d7208e3	8edea	এ.এম. কলেজ হাসপাতালে
a22da10eae	6e6fa	অবতার হওয়া দূরে থাকুক
a22e1264d4	c3cca	চরমপত্র অনুষ্ঠানটি
a2307ac20a	eaa7a	রামেন্দ্র মজুমদার বলেন
a230802e64	4237e	ঠিক হয়
a23094969e	a46e2	বছর শেষে
a231449b78	2de86	দুই প্লাটুন বিজিবি
a231de9ce4	d5f7b	উন্নয়নদর্শন খুঁজে পেয়েছেন
a2323fb43a	25117	তুলনায় আর্দ্রতা
a232644d93	404ee	জাতীয় চেতনা
a2329bf1f3	c41d8	মাধবসেনা, যজ্ঞসেনার মধ্যে
a232c08408	967fd	শিউলিকে বলি
a233cd34ea	c3cca	চুরমার করার জন্য
a234729ab9	9642e	প্রায় একমাস মতো
a23472cd83	24aed	আড্ডা, জীবনবোধ
a23488a47f	7c272	কমিউনিস্ট
a234dce915	f29bf	বেশ কয়েক বছর হয়
a234e9cf56	d5213	দেশকে তথ্যপ্রযুক্তি সেবার
a23503f782	f1240	সরকার মনে করে না
a23510dbd1	745b7	ময়বুর আলম জীবন
a2351f3d2f	717bb	ঠাঁই নেই
a2352cde23	7f2ef	ফোম করে
a2356f9f93	287bd	রোগ বলো
a235ae1ef8	ef915	সেবা দাতা প্রতিষ্ঠান
a235e59d97	61820	এ ধরনের নারীদের সাথে
a236076197	ea5be	ঈর্ষণীয় সমান জনপ্রিয়তা
a2362d9a29	f6e55	আগামী এপ্রিল মাসে
a236ad5d9b	fcefa	করেন ল্যাম্ব
a236e9f61f	6e6fa	অস্বস্তি যে বাড়ছে
a2370c4ff7	a46e2	তাদের শক্তি দেখানোর
a238243d1a	880ae	সংশোধন পছন্দসই না হলে
a23825b2f6	f2097	আইনশৃঙ্খলা বাহিনীর উপস্থিতি
a2383b677e	c11b1	১০ লক্ষ মার্কিন ডলার
a238ab6e14	767ff	এককোষী মুক্তজীবী প্রাণী
a23917f9a2	01e91	আমি বাংলায় গান গাই
a2393f3cd6	68ab7	মুহূর্তে সাবানের স্বচ্ছ গোলক
a23955a878	e3d8b	কর্মস্থলে অনুপস্থিত থাকার কারণে নরসিংদীর শিবপুর ও পলাশ উপজেলার সাত চিকিৎসককে সাময়িক বরখাস্ত করেছে স্বাস্থ্য মন্ত্রণালয়।
a239aaa626	14816	দাড়ি
a23a322a62	bcaa8	তৃতীয় স্থানে আছে হন্ডুরাস
a23a44da75	60b9d	এটি সন্ত্রাসী ঘটনা
a23a7c798a	d8c80	সহকারী রিটার্নিং কর্মকর্তা
a23ae1fbfc	43199	প্রতিনিধিদের পাঠানো প্রতিবেদন
a23ae9e4c3	2909b	নাছোড়বান্দা লোক
a23b719e82	f2097	বাংলাদেশের রাজনীতির এক উত্তাল সময়ে তত্ত্বাবধায়ক সরকারের প্রধান উপদেষ্টা হিসেব দায়িত্ব নেন ইয়াজউদ্দিন আহম্মেদ।
a23b92de8d	a274b	সেটি একটি বড় কারণ
a23b9a9169	ce629	চার লাখ ৫৪ হাজার ৯০৫
a23bc470c0	9813c	এভাবে কেটে যায়
a23c1ad4a2	577fa	এ নিয়ে চট্টগ্রামের হাটহাজারির
a23c40c3d2	b8ed8	কয়েকটি ফোন নম্বরে
a23cb86521	46da4	অমিয়া দত্ত
a23cc1eeed	46da4	দুঃখ
a23d1d794a	ced74	যদি হিন্দু ধর্ম সম্বন্ধে
a23d283915	33814	মন্ত্রী এক বাণীতে বলেন
a23d552b2f	bdd05	আগ্রহে পশ্চিমবঙ্গ রাজ্য সরকারের
a23e1418e9	23291	যতটুকু পুষ্টি পাওয়া যায়
a23e19a5fd	17dcd	প্রশিক্ষন
a23e1faa4c	e00db	রাঙা ফ্যাশনে থাকছে
a23e4c35cc	db735	ফোক গান
a23e5c470d	7351e	বিচারকের কাছে জামিনের আবেদন করেন
a23e6b8faf	9b864	জীর্ণদীর্ণ, ঘুণেধরা
a23f70117b	d9ba9	২০১৩ সালের এক হিসেব অনুযায়ী প্রায় ৩ লাখ শিশু অটিজমে আক্রান্ত।
a2400b7614	16cfb	নায়িকা মৌসুমী
a24016b388	2556b	পরিবর্তন
a24130ce37	8c120	শিয়া পূণ্যার্থীদের ওপর
a2416016dc	a0277	বাউল-ফকিরদের বিশ্বাস
a24163a647	7df87	রাশিয়া এ অভিযোগ
a241dd0775	b5fdc	গাজীপুর জেলার
a241f4b670	3fae0	জুলুম
a241f910c5	e9fa7	কক্ষটির একটি অংশের উপরে
a2420f8a98	590d0	একদিনে ২ দশমিক ২৩ শতাংশ
a242b8955e	e43d4	দলের অধিনায়ক
a24395a167	2695f	কল্পনা এখানে নতজানু হয়
a243dadba1	d2294	নামিয়ে ঠাণ্ডা করুন
a243dd549f	c3cb3	শিশুর যত্ন
a244033859	8cf95	১৯৯৮ সালে পার্বত্য চট্টগ্রামবিষয়ক মন্ত্রণালয় প্রতিষ্ঠিত হয় এবং বর্তমানে দীপঙ্কর তালুকদার এ মন্ত্রণালয়ের প্রতিমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।
a24432335f	3ec4d	যারা কেনেন
a244379093	2fc12	তিনি অশালীন
a244bc8804	c1e30	অধিকতর শক্তিশালী
a244c09315	72649	মাদক পাচারের অভিযোগ
a2457523e9	351dd	তাদের একসঙ্গে দেখা গেছে
a245c70316	ee7b2	এবার ভাবছি
a246421c39	c958a	উদযাপন করেননি স্পেনের এই স্ট্রাইকার
a24675bc1f	4c1eb	বৃহস্পতিবার মাঝরাত থেকে মিরপুর ও কাফরুল এলাকায় অভিযান চালিয়ে বেশ কিছু লোককে গ্রেফতার করা হয়।
a246d04de9	5dd61	ইসলামিক কবিতা
a24700ff23	a916a	বজলুল করিম বাহার বলেন
a24709df00	7b132	কাঁচামালের অভাবে
a2473fc7a0	58998	এই সিরিজের মোট ৩৫টি সম্পূর্ণ
a2475200e0	f1ea4	আমার শাশুড়ি রেহেনা কাশেম
a2476b8793	cd3ac	পরবর্তী পদক্ষেপ ঠিক করব
a24794978b	06bb7	আমার বিশ্রামের সংস্থান হইল
a247e55923	f2b7d	পাজ অল্প বয়সেই
a247eb46e5	5639c	অর্থনীতি মূলত কৃষিনির্ভর
a24822dd91	d41be	অন্ধসম বৈঠত
a24880b8cb	29f8c	ব্যাপন এক ধরনের
a248b90d47	16cfb	পরিষ্কার করা
a2494e1c84	410fa	ইঁহার বাসস্থান গোলকধামে
a2496564fe	61820	ওদিকে ঘোষণা পালন করতে গিয়ে
a249d9017d	61820	কেননা পুরো ব্রাজিল তাকিয়েছিল
a249ece090	03284	বিকল্প বিষয়বস্তু
a24a282ac0	f0f95	একজন কর্মকর্তা জানিয়েছেন
a24a298054	0606d	৩৫ থেকে ৩৭ টাকা দরে
a24a8efaa5	4f450	আজ তাদের পরনে
a24bde9425	49543	দিনের পর দিন বাড়ছে বলে
a24c0a2f46	82926	তাঁর কবিতার
a24c1a4304	767ff	বাংলাদেশে গরমের দিনে
a24c6bfd08	f0f95	পাঠ্যপুস্তকের হালচাল
a24c70f83f	195f7	তিনি অধ্যক্ষ স্যারকে
a24cb65d6c	57d54	শালিক পাখি
a24cbfec2e	95907	কাজটা করব জানতামই না
a24cc75e03	d2faf	বাজার জন্য
a24d0aa11a	fb4cb	পদার্থবিজ্ঞানে নোবেল পুরস্কার পান
a24d60cb75	fbb81	আদেশ জারি করেন
a24d8b1890	0d8c1	টি-টোয়েন্টি বিশেষজ্ঞ সাব্বির
a24d8c4b37	0e637	দাওয়াতি কার্যক্রম চালিয়ে
a24da114df	16e96	ষষ্ঠ শ্রেণিতে পড়ত
a24db52d2a	2840e	তিনজনের অবস্থা গুরুতর
a24dbce2ff	f2097	তার চেয়েও বড় কবি
a24e2ca12b	086dd	পরবর্তীতে এ সনদ
a24e6faeee	e2ba2	যখন আগুনটা ধরে
a24ecc7fe4	46da4	জ্ঞান বুদ্ধি
a24ee2fb84	520fb	একটি ট্রেন চলবে
a24efa419e	68549	উদ্ধার তৎপরতার অন্যতম সম্বন্বয়কারী
a24f48c72f	80539	প্রায় দুবছর
a24f99ff4a	f1ea4	হামলাকারীরা আরো দুটি ব্যালট বাক্স
a24fd4765e	f7a7f	ওই গাড়িতে লিফট নিয়েছিলেন
a2508fadc2	6b437	শক্তিশালী সহায়ক হিসেবে
a25103a5db	5a61c	তার বেলেনস্তারায়
a251570552	430b2	তার দখলে ছিল
a25168c179	6ee5f	দুই রকম
a25192fbc3	84145	বেকসুর খালাশ দেওয়া হয়
a252955f18	c7705	আট হাজারেরও বেশী
a2529e6dbe	ce629	ররী যাইয়া দেখিয়া আসুক
a253095748	c958a	নিরঞ্জন বলছে
a25348f106	d1b12	ফেরেনি সবুজ মাছরাঙা
a2536058d6	f2780	আমরা নিজেদের
a25364e309	cc9fd	আহত হয়েছে
a25412d599	c1e30	টিনের সেপাই
a25498b386	32c77	শ্রী চট্টোপাধ্যায়
a254a6ba61	60f77	সব উঠাইয়া দিতে চাহেন না
a254c52f0e	c0965	নিজ দলীয় নেতাদের
a254d6a0af	06527	তার বয়স ও শরীরিক অবস্থা
a2553d6381	14d25	গত ১২মার্চ গ্রেপ্তার করা হয়
a25683ad9d	a699c	ইমতিয়াজ আলিকে
a25695a14b	acb88	পড়তে হবে
a257212583	f0f95	আবারও আপনার কাছ
a2573a67c4	bdd05	সকালে সদরঘাটে পৌঁছে
a2573fa182	0b7ca	অধীনে নির্মিত
a25743bf7c	4dd57	রামলোচনবাবুর বাড়িতে
a257ad6ca3	f837a	তাকে ঘটনাস্থল থেকে আটক করে
a257e3d45e	a9a58	মামলা করা হয়
a258023ca4	2f547	শাপলা চত্বরে
a2583bea9c	91223	একটি নয়, বন্দরে থাকা
a25854f257	93080	ভদ্রবিলা গ্রামে বসবাস করেন
a2586b6041	f0f95	সোনিয়া আক্তার মুন্নির ফ্ল্যাটে
a258943fe9	e3d8b	কোরবানির তদারকি করছেন
a258f8a17c	1e7c6	আনুষ্ঠানিকভাবে প্রকাশ করেন
a259a59614	d71a3	তিনি লিখিয়াছেন
a259e71a96	61820	এইসব অনুপ্রবেশকারীদের
a259ec4d70	dafb6	আমিনুর ইসলাম মুকুল, ইকবাল
a25a170807	a916a	হাইকোর্ট বেগম রোকেয়া স্মৃতিকেন্দ্রের
a25ae15a17	10a9f	একটি ফিরিস্তি দেন তিনি
a25b04a6a7	11915	আগের মতোই নারীবিদ্বেষী
a25bbc2b5c	46d49	টেস্ট ও ওয়ানডের
a25bda71c2	65652	যুক্তরাষ্ট্র প্রবাসী মূকাভিনেতা
a25c4f2311	c8f7f	বিটি বেগুন
a25d4d7a39	d5f7b	রবীন্দ্র সার্ধশত জন্মবর্ষে
a25d4f7612	53396	অনুষ্ঠিত এক বৈঠকে তারা
a25d9d99a9	282d3	সবচেয়ে বড় যোগানদাতা দেশ নিউজিল্যান্ড
a25dbd9d9b	85430	তারা ক্রমশই
a25dcaef5f	68ab7	তারা সংহতি জানিয়েছেন
a25e162997	698ff	তাহাতে পড়াশুনা করিতে
a25e2fc518	18a52	তৈরি পোশাক বিক্রয়ের প্রতিষ্ঠান মান্ত্রা
a25e447bf6	8c120	এগোতে পারিনি
a25eaee8cc	948d3	শরীর জুড়ে
a25ec8818f	880ae	একশ’ টাকা
a25ef3aa51	c0965	ফিফা বিশ্বকাপ ২০১৪
a25f372cca	72649	মনে হচ্ছিল না
a25f5074e6	932bb	সবাই দৌড়ে গিয়ে
a25fa8dbdc	c463d	সঙ্গে নিবি
a2600b8df5	aabe7	মধু নিন
a2603161f0	80539	কাবার চেয়েও পবিত্র
a2603a23d8	ad98d	এইসব নিবেদিতপ্রাণ সংস্কৃতিকর্মীদের জন্য
a2608c23ab	a9a58	প্রশ্ন বিষয়ে
a260a77dc0	e6752	হুমকির কারণ
a2612b2e92	b2a62	এক ছেড়া আইয়া
a2612ef5f1	8632b	পুলিশের বাকবিতণ্ডা হয়
a26187acb3	05901	হাসপাতালের নার্স
a26187d1ca	967fd	আইন বই
a261f1d407	f2097	মালিকদের আপত্তি এখানে গুরুত্ব পায়নি।
a264093f17	46da4	গণমাধ্যমের গাড়িতেও
a2648c58cf	39dd0	পর্চা গ্রহণকারীরা দ্রুত সময়ের মধ্যে
a264a53c82	d711f	নতুন বিশ্ব
a264a7d3cb	0edef	আন্দোলন গড়ে তোলে
a264cae208	db181	বড়দের কবলে পড়ে
a265343c64	75626	রং ও নকশার
a2658a3279	f2b7d	পুরোপুরি চালু হবার পর
a26623e6c0	a06a1	আমাদের বলল
a2664ffa7a	3c897	শঙ্করের হঠাৎ
a266fe6c14	7aed9	পিঁড়া পিঁড়া কস ক্যান
a2673560e9	c5479	পালকের বার্বসমূহের
a267e5432e	d5213	প্রতিদ্বন্দী চরিত্র ছিল
a268143a9f	0d8c1	শনিবার রাতে গুলশানে
a268226400	91dff	তখন সেখানে
a2683c06ab	ab946	সবার খেলা
a2684d1bf5	0606d	কখনো পর্দার অন্তরালে
a26860e53c	7297e	পর দিন ছেড়ে দেয়া হয়
a268a13b44	b2a62	বসতি স্থাপনের লড়াইয়ে
a268f48efb	6ab59	বেলাল ওই শিশুকে নিজ বাসায়
a2691b1425	fda1a	দাঁতগুলো বেরুচ্ছে
a2692f4f4f	e31e7	চার ভাই তিন বোনের মধ্যে
a269e0b103	11de3	কাজেই এই সরকারও
a26a3d8a08	e754e	এই সম্প্রসারণের ফলে
a26b0e5a58	5d80e	মূর্খদের কাছে থাকার চেয়ে
a26b28f356	91dff	আত্মনিয়োগ করেন
a26b8125cd	d3e06	নাভি সুগভীর মৃদুহাসিনী
a26b973ba9	8b859	পেনসিলভেনিয়া ও জার্মানির হামবুর্গ শহরে
a26b981df1	ce775	শোকাহত স্বজনদের কথা ভেবে
a26c97e0aa	23b22	বিশ্বকাপের বারটি স্টেডিয়াম
a26cd8c0ed	7ee9b	সমৃদ্ধ হবে
a26cec55b2	ca088	অর্জুন সিরিজের
a26d1433eb	f2b7d	দিল্লি থেকে
a26d9aaa98	e754e	এর থেকে আমরা
a26dd1457b	4ea73	চাবি
a26e001d87	ee4ad	ইন্ডিয়া ট্যুর
a26e40dddd	08458	কাজ বলতে সেজেগুজে থাকা
a26e67e888	256f5	চলচ্চিত্রটির মহরত অনুষ্ঠিত হলো
a26ece0b58	b8bba	ট্রয়ের যুদ্ধে
a26ee7af64	11915	তখন ছিল শুন্য
a26f0c9eaa	e00db	একটি গাছের ডাল ভেঙ্গে পড়ে
a26fc9722b	388c9	হরতাল সমর্থকদের সংঘর্ষের ঘটনায়
a26ff5a3f4	b9122	সে-মুলুকের প্রত্যেকটি
a270b59b05	f2b7d	এর কোন সম্পর্ক নেই
a271246d2b	14816	অর্থ মন্ত্রণালয় আরেকটি প্রস্তাবে
a2715a7634	1a4a9	ও আরেকটা হলো ট্রানজিট
a2715aff85	ac0df	প্রধান পর্যটনকেন্দ্র
a271915a89	f280a	এদের সবাইকে
a271a551c3	91ac1	অ্যাবস্ট্রাক্ট আর্ট বা বিমূর্ত শিল্পে
a271e4bfb6	49d63	জীবনকাহিনী লইয়া-জমিদার বাবুরা
a271f91ef2	d3e06	অক্টোপাসের একটি লক্ষণীয়
a27219437d	06736	রাওয়ালপিন্ডিতে অবস্থিত
a272e67e0c	ad050	আমাদের বাঙালী সংস্কৃতির সঙ্গে
a2736c5a9f	0c39f	শুধু আমি নই
a27382d2d1	520fb	মসজিদের ইমামের ঘরে
a273a6565e	717bb	ভারতীয় গরুর বংশধর
a273ae1dd5	ee852	এ বিষয়ের সঙ্গে
a273b01f32	577fa	শ্রদ্ধা নিবেদন করে
a273e32a5a	745b7	নববর্ষ উদযাপন মেসির
a27402b9ae	1cb75	অনলাইন স্টোরে ঈদের সম্ভার
a27429bffc	d1b12	ভিদক তাঁর আত্মজীবনীতে
a2742ebf55	860f4	বাতাসের কারণে
a274573fdc	73629	রাত পোহালেই
a275056233	6e8cb	এমনকী শরীরের
a27550db27	49543	কেউ কেউ বক্তব্য রেখেছেন
a2758712ec	d41be	হিসেবে দলে প্রতিনিধিত্ব করছেন
a2758fe764	75f18	আফগানিস্তানের রাজধানী কাবুলে
a275a179eb	b8ed8	খুব ধনী মনে করি না
a275d267e0	e03fc	২০০৪ সালে তা বেড়ে হয় ১৮৭৭
a275d272eb	11915	অমানবিক সব আচরণ শুরু করে
a275d93d13	49543	শুধু সুন্দরীই নন
a2773df56b	2de86	এ কথা সত্য
a27795c4fa	943de	তর্কাতর্কি থেকে
a2784a1049	9065c	অঙ্কুর অরোরা মার্ডার কেস
a2785b8e7a	14d25	এ খবর শোনার পর
a2787515ea	06527	প্রতিটি ভুল উত্তরের জন্য
a278b075f8	6973e	কালীগঞ্জ উপজেলার
a279184370	6a35e	বগুড়া প্রতিনিধি জানান
a27958e1c1	f29bf	জিম্বাবুয়ে সফরের দলে
a2795902f6	06736	তিস্তাপারের বৃত্তান্ত উপন্যাসের
a279656e52	dae88	শিশু ও কিশোরসহ একদল মানুষ
a2799ae508	39293	একটা ডেন্টাল চেম্বারে
a27a3248dd	6dff5	এদিকে বেলা ১১ টায়
a27b232d99	6e6fa	রায়ের অনুলিপি দেখে
a27b985bcd	44322	এছাড়া রাজধানীর বিভিন্ন গুরুত্বপূর্ণ স্থান
a27baac7c1	22096	চাপ দিতেই
a27c0429d8	2d98b	১৯৩৮ সালে অং সান
a27c22e4f2	ad2a0	এরপর তিনি
a27cc71187	8ba2b	রাজহাঁস ও মরাল
a27d5737ea	8ba2b	জেনেভায় আজ শনিবার
a27dbf96a2	4164f	এর মানে হচ্ছে পিপল
a27dc4472e	256f5	তিনি রিপাবলিকান পার্টির
a27e11c8fc	38ff0	এখানে এসেছি কেন
a27e26a041	4fbd1	শ্রমিকদের নাস্তা সরবরাহ করে
a27e316351	29089	সায়েন্স অ্যান্ড টেকনোলজি
a27e506dee	43b04	মাস্টারমহাশয় দেখিলেন
a27e517230	e2f12	ভোটে না যাওয়ার কথা
a27e812207	9d7bf	শিল্পী শাহ আব্দুল করিমের
a27ec70688	2ac82	চালু হবার পর থেকে
a27ee555ac	b8ed8	হঠাৎ তার এখানে আসার
a27f74ac18	cb842	বলা কথা
a27fae6c1b	e2f12	প্রতিটি কেন্দ্রের
a27fd8fc5b	18a52	নিয়ে আসবে
a27fdedc38	68549	অরুণাচল বসু,
a2801f9cef	f6e55	রূপগঞ্জ উপজেলায়
a2802aa3ae	8c07c	শহীদ প্রেসিডেন্ট জিয়াউর রহমান
a2802ab5f4	d7a68	সে খ্রিস্টান
a2806651b2	903fa	যদুবংশীয়দিগের বিনাশ করে
a280d0c2d9	f2780	এই সম্মাননা পেলেন তিনি
a2810042e3	4486f	৭৩ হাজারের মতো
a281560e4a	520fb	পৃথিবীর মানচিত্রের
a281e3c1ae	16cfb	কোনো সন্দেহ নেই
a28203a5f2	c463d	রাইট সেক্টরের নেতা
