95008626df	d5f7b	পরিচিত উপন্যাস
95110c8504	f29bf	আর যিনি অগ্নির সহিত
95115564b1	d5213	ব্যাপারটা হাড়ে হাড়ে
95117207f5	82926	ও নাচে-গানে মেতে উঠেছিল
95123182aa	bbb22	১৯৩৫ সালের ২রা নভেম্বর
9512a3b785	430b2	সব বিষয়েই
9513fd3530	12702	অতীশ দীপঙ্কর শ্রীজ্ঞান
9514610deb	e9fa7	দলীয় সমর্থকদের সামনে
9514998c93	616ec	অনেকেই বারটি সূর্য্য বুঝেন
95149b21ba	37e17	পালনের মধ্য দিয়ে
9516902ece	dec2d	ভারী অস্ত্র নিয়ে মহড়া দেয়
9516c55df2	91223	অ্যাকর্ডের কাছ থেকে
951729240a	80539	ঢলে পড়েন
951768debb	ec91c	অনুষ্ঠানের কথা বললেও
9517bc6238	b78ec	এ সময় এখানে এসে
9517df8e22	16e96	এটা ঠিক না
951837c038	28dfc	রানা প্লাজা ধসে
9518534c60	1279e	আবদুল্লাহ আরিফ বলছিলেন
95186754e5	cb627	ট্রাইবুনালে উপস্থিত ছিলেন
9518d74574	e50f1	পরিদর্শনের কাজ শেষ হতে
951904d932	39293	গত ২৭ ফেব্রুয়ারি
9519202cb8	13b70	দিলীপ কুমারের মতো
9519423d1b	ad69a	নেতার স্তুতি করেন
9519446e66	13b70	জড়ো হতে শুরু করে
9519922a0f	80be1	সেখানে রহস্যময়ভাবে
95199a1c6a	2556b	আমাকে তলোয়ার বের করতে হয়
9519ae0bc6	3bea8	লাফ দিল আজাদ
9519f4a77e	ad69a	ওয়াসিম আহমেদ
951a218331	58998	এক ঝটকায় পায়ের বাঁধন ছিঁড়িয়া
951abd6441	43fc0	বিমান বন্দরে
951b6e2689	88654	অভিনীত ‘সাড়ে চুয়াত্তর’ তার প্রথম
951b8c3e32	7f2ef	রায়কে স্বাগত জানিয়ে
951bd4910c	4f2ae	নতুন পে স্কেল
951bf9eb23	2909b	প্রতিযোগিতা আয়োজন করে থাকে
951c289ad6	f2b7d	আস্থার সংকট বাড়ছে
951c385712	60b9d	তবে এই সূচককে
951c9b5836	8406e	হয়তো ছাপাও হয়েছে
951d868790	10a9f	পরিস্থিতির জন্য
951da55c23	baa02	সেটা হয়ত
951ded3828	943de	সাংবাদিকতায় গুরুত্বপূর্ণ অবদান ছাড়াও
951e02aeec	06bb7	আজ বিভাগে
951e0befc5	1652d	বিয়ের প্রস্তাবও দিয়েছিলেন
951e317ff0	0d8c1	তারা বেশ আতঙ্কিত
951e980938	4c555	শুক্রবার বিকাল ৪টার দিকে
951eaf66dc	bbb22	শবে বরাত
951eb65ba7	442b7	এই নির্বাচনে কোনো
951ed1b097	25117	স্মরণে নিবেদিত
951f14badd	ad69a	হাসপাতালে থাকতে হয়
951f30f3eb	49d63	এখন যেতে পারবেন তিনজন
951f526ebe	14d25	একপর্যায়ে তাকে
95202552bf	2fe3c	স্পিকার জানান
95204718af	75f18	রামকৃষ্ণ পরমহংসের
95206041a3	9b864	এই হত্যাকাণ্ডের বিষয়ে
9520fa18da	1279e	পিচ বানাও
95211fe3fc	9b864	আজ বিভাগে কোন
952163d1c2	76329	বন্ধ হয় নি
952190b0ef	8845d	ভুলে যায় সে
9521cf9749	1652d	স্বরাষ্ট্রসচিব,পুলিশের মহাপরিদর্শক
9521e82306	195f7	কঠোর নিরাপত্তার মধ্যে
95223a4235	7a227	সংশোধন আনে
95228182d5	404ee	বাংলাদেশের ফায়ার সার্ভিস
9522bc8afb	84145	সর্বলোক অপরূপা অভিচারী অদৃশ্য বাঘিনী
9522ee6343	194f5	যে কেন্দ্রীয় সংস্থা দেয়
9522f0c5cb	ca088	পরীক্ষা কেন্দ্রের সংখ্যা
9523292714	194f5	তৎপর থাকবে
95233ff449	b00ba	ক্লাসের সবচেয়ে ডাকাবুকো মুখ
95234784b6	d41be	বিশেষ সঙ্গীতানুষ্ঠান
95239c82f4	39dd0	জেনারেটর দিয়ে ফ্লাড লাইটগুলো
9524771512	967fd	থিয়েটার গিয়ে দেখি
9524b415ec	10a9f	আদালত সময়ের আবেদন
95250ac947	dba43	পদক্ষেপের অগ্রগতি সম্পর্কে
95251cc9eb	5639c	ভুল শব্দটার বানান ভুল হয়েছে
952657659b	c749e	কাহিনীটিও শুনিয়াছে
9526b72017	46d49	জহীরের বউ লুৎফা
95272732c6	1652d	একটি সমালোচনামূলক আলোচনা
9527453329	1c618	গত ১৪ ফেব্রুয়ারি
95278913d8	6973e	এই ছবিগুলো এফডিসি থেকে
95282420b3	8143b	অনেক ঘন আর ভারি
952871fb45	2bc73	বাংলাদেশ দুবাইয়ের পক্ষে
95294226df	b9122	তিনটি এটিআর-৭২
95294a5ac4	37d7e	হাসপাতালের বহির্বিভাগ
95294f06cc	3fb17	ব্যবধান কমিয়ে
95297bfd71	442b7	সহজেই যাওয়া যায় জায়গা দুটিতে
9529b422bb	bf530	এবং তালিকাভুক্ত এলাকা
9529d3dac3	2aecc	আবিস্কৃত হয়
9529d4b144	24f73	আলম বয়াতি বলেন
9529ecc3b2	cb627	দুই বোন
952a26962d	ff1c3	প্রাচীনতম নিদর্শন
952b3cb4d0	91230	ঠিক সেই রকম
952b53d903	65652	নাটকটির বিভিন্ন চরিত্রে
952baf0a26	7351e	চলন বিল
952be5c642	a274b	ভীষণ সুন্দর দৃশ্য
952c42e133	6fb36	সংগ্রহ করার কথা নয়
952c469bcf	13b70	বাবা উঠে আসছেন
952c8e6f7a	80e98	সারা দেশের রেল
952cc0a026	76329	২০০২ সালে
952d1833e7	9092b	তারা পণ্যটি নিয়ে
952db88e25	7aed9	নানাজন নানাভাবে
952def4dc0	7ee9b	এমনকি সে সুন্দরীও ছিল না
952e1b44f3	2909b	এরমধ্যে ৩০টি সেনাবাহিনী
952e3aad03	4dd57	সিনেমার গান
952e5996bb	dfefa	সংগীতে অবিচুয়ারি
952e603b00	2d98b	১৪৪ ধারার কারণে গণজাগরণ মঞ্চের সমাবেশ স্থগিত করা হয়।
952e8c758f	91dff	গুপি হাত জোড় ক’রে
952eeda3cc	6b437	যেমন ফলের রস
952fbde902	11de3	বিভিন্ন ব্র্যান্ডের মদ
952fc4761c	f0f95	বাবার চোখেমুখে
95302f83d5	9282d	পাণ্ডুলিপি থেকে একটি পৃষ্ঠা
9530d23245	f83df	অ্যাডভান্স রয়্যালটি দিয়ে রেখেছিলাম
9530f3abb4	05901	কালাবিপাড়া আদর্শ উচ্চ বিদ্যালয়
95310c77d7	59c73	অভ্যাস করতে হবে
953141f2a0	256f5	প্রতি বর্গকিলোমিটারে
9531ecdf18	315e9	খোঁজ পাওয়া যাচ্ছে না
953205ee02	2ad74	এমন ভার হয়ে দাঁড়িয়েছিল
95323ef352	f83df	তবে সরকারের পক্ষ থেকে
9532438913	0a87a	নাকচ হয়ে যায়
953281c2b0	23b22	বিভিন্ন রাইডসে চড়তে
9532a143d2	f143a	বলে উল্লেখ
9532a58b85	4f2ae	রোগীদের সেবা প্রদান করা
9532f86c2d	4c555	কয়েকজন ছাত্রের সাথে
95330bc4b5	e3f89	কর্মক্ষেত্র
95334aa07a	5dd61	আমার মায়া হয়
9533b2ab9e	3faff	ইনকিলাব পত্রিকা
9534c6ceda	1a2a1	রুমির মা ও ভাবী
9536812f09	e68af	এ ধরনের ভাবনা
9536e93221	3fae0	খেলে গেল
9538049c9c	80539	ওয়েবে বাংলা লেখা ও পড়া
9538638bd1	5639c	এলাকাটিতে অভিযান জোরদার করে
95387e15d7	52f27	হাইকোর্ট
9538b18a6d	7b60a	দুবার কাঁশি দিতে হলো
95393a73ca	ff1c3	গোসল ফরজ হওয়ার কারন
9539561a98	92f59	মিন্টুর ঠিক ডানে দাঁড়ানো
953a0c6ad2	06527	তার জন্য দরকার
953b385094	2c9c5	বাঙালী মুসলমান সমাজ
953b8325dd	2fc12	শ্রমিক সরবরাহ
953b85880c	287bd	প্রকৃতি
953c8bc962	e9fa7	বাঁশির সুরের মূর্ছনা
953c911fbf	11915	কৃষিকে স্বাবলম্বী করতেই
953cb4b326	a43b5	পৃথিবীর মানচিত্র থেকে
953d17f42c	ef915	ছাতে বসেছিলেন
953d30c3e6	58998	তিন হাজার টাকা
953d8b440b	06e62	একমাত্র টিউশনির বাড়িওয়ালাই তাকে
953da838a8	92bd8	চালান না করার কারণে
953e020d97	778c0	নিজেরাও জানে না
953e1db560	f0f95	এখন কি করা যায়
953e1e5873	3fae0	কোন খবরই
953e24f645	cc18a	কদমতলী থানায় একটি মামলা করেন
953ebe513d	aa820	শৈলী কন্ঠের জন্য
953f06abef	d9817	আর এই চোটই মুলত
953f1d33f7	ee4ad	বসে থাকেন আবুল
953f842269	a7c6f	পপুলার না হলে
953fb3aab0	39293	কিন্তু পশ্চিমা ক্রেতারা
953fbecf14	91dff	অতিরিক্ত পুলিশ
953ffc743c	42898	ভ্যাপিংয়ের উপর
9540420e2b	c6848	অহনো বুনি উডে নাই
95404e808d	4f2ae	টিম মিটিং করে
95405229aa	7ee9b	ছোটবেলা থেকেই ড্যানিয়েল
954088da04	6dff5	রাত ৮টার দিকে তাকে
9540a13f5e	37d7e	মায়ানমারের মান্ডালায় থেকে
9540b1e41d	6aac8	মনে হয় খুনীরা
9540b9365f	d9ba9	চুটিয়ে ডেটিং করছেন ক্যাট
9540d3f098	24f73	হিন্দুধর্মের ইতিহাসে
954108bc9b	ac0df	সম্প্রচার হয়েছিল
95424ca09f	37e17	রাস্তায় সমাবেশ কর
95427caff0	b2a62	একজন বাংলাদেশী লেখক
9542a3054b	7c272	গান কাব্যের
9543177081	745b7	জীবনের অনেক কথা
9543686d92	e50f1	গ্রীক, রোমান শিল্পকলায়
9543ee7600	a274b	গবেষণা চালিয়ে
954441862c	2aecc	ট্রয়ের বিরুদ্ধে
9544c50bc5	8406e	কত মানুষ মারা গেছে
9544c5d5df	3f493	জাহাজের ভিডিও ফুটেজ
9545719078	3ec4d	বই মেলে রেখে
954583ac1d	06e62	বা সাকার ব্রহ্ম
95461bb285	21e54	আমি খুব খুশি
9547cdf761	16877	কর বাড়ানোর
9548b5052a	76329	ওর বাপও নাকি গাড়ি চালাত
9548ccb603	315e9	তাতে তারা সন্তুষ্ট
95492dfe9f	43199	কয়েকজন আহত হন
9549a1c622	49543	এদিকে ফুকেট উপকূলে
9549a63ec6	ee852	গোপাল ভাড়ের গল্প
954a779939	93d3b	নিহতদের মধ্যে নয়জন বাংলাদেশের
954a99fe84	2840e	সন্ধ্যা ৭টায় মিরপুরের শেরেবাংলা জাতীয় ক্রিকেট স্টেডিয়ামে অনুষ্ঠিত হবে পুরুষদের ফাইনাল ম্যাচ।
954ab804f4	95907	আনন্দবাজার
954ac56f6d	5639c	হয়ত এই ফোন করা
954ae323b2	23291	ফাঁকি দিয়া
954b11fad9	9092b	অবদান আছে
954b8e0b3f	fcefa	সাকরাইল এলাকায় পৌছলে
954b95071f	f0f95	প্রথমে সংগ্রহ করি
954b987993	66dcd	হাজারিকা প্রতিদিন
954c1a98e2	520fb	সে কখনো রোমানাকে
954c3062de	ad2a0	অতীব জরুরি
954ce751c5	7b900	মুড়ি মাখানো ও নাস্তা
954e033179	1a2a1	চলে আসতে হয়
954e2b4b8a	ac0df	অজ্ঞাতনামা আসামির তালিকায় যুক্ত করার
954e6d8edb	0b7ca	ঘানা
954efca229	0f047	চিরকালের প্রেমিকা
954f8566ba	f4ba7	কথা বলারও কেউ নেই
954fc69d9d	351dd	প্রাসাদের মেঝেতে অঙ্কিত
954fddc036	16cfb	গল্পগুলো পড়তে পড়তে
9550648951	1f733	বিমানবন্দর থেকে
9550d84927	b00ba	ডাকাত পড়েছে
9551857522	37e17	উন্নয়নশীল বিশ্বে
95518cbd0c	ee7b2	সেই বিবৃতি
955227ef11	315e9	সেটা আগে
9553653456	ee852	সেরা নির্মাতা, চিত্রনাট্যকার
95536dc044	3ccf1	গাড়িতে ৪০০ রাউন্ড গুলি
955394bc4d	6c6bf	প্রেগনেন্ট
9553ba2577	ea5be	কোন চলচ্চিত্রটা আসলে
9553df8b08	75936	আবুল ফজল রচনাবলী
9554251e32	153c9	নরেন্দ্র মোদি
955434fec1	2ee04	উপকারী একটি ফল
95546b3c27	ec91c	আতিয়ার ছোট
9554bd14fc	3f875	একই ইউনিভার্সিটিতে ড. মাহবুবও
9554c23765	5cb47	বিভিন্ন জায়গায় বিক্ষিপ্ত সংঘর্ষ
95552cebf2	ca088	হাসি নাই চন্দ্রাননে
9555d64d3f	db735	খুবই সামান্য
955617d79c	e2ba2	গরুর মাংস
95563652c8	f1ea4	নিজের জীবনে ক্ষতির পাশাপাশি
9556a42f1f	68549	সে কথায়
9556afd31a	fb4cb	ত্রিপুরা রাজ্যের রাজধানী
9557055121	37e17	অলরাউন্ডার হিসাবে
955710004a	4fbd1	কেউ নেই দেখে
9557175789	29d44	অবিচল ছিলেন
955752911c	e6203	কান্নার প্লাবন ছুটিয়াছে
955753cca0	5d12f	পরিণত হন উত্তম-সুচিত্রা
9557619f65	3c897	কারণ দর্শানোর নোটিশ
95579dc7e5	d9b11	স্যার ব্রাডম্যানের সাথে
9557f3dcfb	7c272	ক্যাফেতে ক্যাফেতে বিচরণ করেন
9558521599	3faff	বোঝাবার দায়িত্ব আমাদের
9558a47490	5dd61	সিনথিয়াকে উত্ত্যক্ত করতো
9558cac5ee	fbb81	খালি জায়গাটি এখন
9559d75ab1	b8bf0	সকলেই এখানে এক রাতের জন্য
955a1ffcdd	2909b	কার্ড জালিয়াতি হচ্ছে
955a8bfa5a	c11b1	পূর্ব প্রকাশিত হলেও
955ab2ed2f	ba2f6	এরূপ উদাহরণ আরও অনেক
955ad82b2a	15a75	হৃদরোগে আক্রান্ত হয়ে
955b92225a	4ea73	আজ যখন
955b92625f	7d133	চাক উপজাতি মনে করে
955bb96d5b	6d129	তিনি রাশিয়ার প্রেসিডেন্ট
955bc47088	4f2ae	টেলিফিল্মটির প্রধান চরিত্রে
955bcf7cbb	46da4	নানির ঘরে যাওয়ার কথায়
955c75b446	3f875	বুঝতে পারলেন না
955c9dc3ff	5b13f	একই সাথে তিনি
955cadf3bc	903fa	রিপ্রেজেন্ট করার কথা ভাবেন
955d3a3fe4	cfc65	টিসিবির প্রধান তথ্য কর্মকর্তা
955da48324	88654	বিরোধী নেত্রীকে
955dbae73b	4237e	ভাল ছবি
955dd4edc2	7b132	অনেক বেশি উত্তেজনা ছড়ায়
955e320911	b5fdc	অন্ত নেই
955e3766f3	d71a3	প্রাথমিকভাবে সঙ্গীত, টেলিভিশন
955e379d88	49d63	নবকুমারকে ব্যাঘ্রে হত্যা করিয়াছে
955e5db8d0	dec2d	শেষ করার জন্য
955e8bed56	870e3	উদ্ধার কর
955eacc0db	c1e30	সম্প্রতি বাংলাদেশের প্রধানমন্ত্রী
955eb28ae0	23291	লুপ্ত রত্ন উদ্ধার হইবে
955ebea7e1	65652	এমনকী এতদিন পর্যন্ত
955f374f8c	eecdd	পরিদর্শনে গিয়েছিলেন
955f38c0fa	60b9d	সে বিষয়ে এখনও
95608cfaff	ee852	মুখ বিকৃত করিয়া
9560cc45d9	06527	গোলাগুলির দুটি অভিযোগ
9560d89d02	c7705	গত কমাস ধরে অব্যাহত
9560fb7441	b8ed8	সমরবিদ্যায় পারদর্শী
95616a9b48	5dd61	১৯৪০ সালে
956173aa02	b4ea7	অসংখ্য নারিকেল গাছ
9561c177f3	e03ce	পাকিস্তানে চলে যাওয়ার
9561eba4e8	cc18a	তাতে বাড়িঘর কাঁপতে থাকতো
9562618e95	77f82	কোনো অগ্রগতি দেখছি না
95628553ec	4fc91	বিদ্যুৎ উৎপাদন
9563a86a29	6b437	ব্যবহার করে হয়ে উঠুন
9563e35045	2840e	শেষ দক্ষিণ আফ্রিকা সিরিজ
956441c6af	0e637	সাফিউদ্দিন সাফি
956471e771	17dcd	আমার বুঝি
956483b538	7df87	বাংলা সালের প্রথম দিনটির জন্য
9565152f7a	f1ff2	লোক সংস্কৃতি এখন
95654d62b0	9351a	পিঁড়ি পেতে বসে
956589b5c2	b9b98	ব্যয় করবে প্রতিষ্ঠানটি
9565b166d8	1652d	সিমফারোপোলের সরকারি ভবনগুলো
9565e6b12b	2c9c5	চিকিৎসকরা তাকে বলেছিলেন
9566067537	9d398	তার কোনও মূল্য নেই
95664c7838	11bd2	তাহলে চাকরিতে
9566a03d07	903fa	স্টার্ট নিয়ে
9566b4c635	38d3a	তাকে কেউ
9567689aa2	b9b98	সাঁথিয়া থানায়
956772de0c	086dd	একটি পরিমাপক যন্ত্র
9567ca5993	44322	মামলা র‌্যাবের হাতে
9567dbda9f	7ed14	সুখী সংসারের ঘরে আগুন লাগাইয়া
956832c13e	7a227	পূর্ব পাকিস্তান না
956861f497	42898	নাজিমের অনুবাদ যাঁরা সেদিন করেছিলেন
95692af1d6	f83df	কৃষকদের কাছ থেকে সরকার
9569394238	92bd8	সামাজিক বিড়ম্বনা থেকে
95697787d3	0edef	আর কাঠি কাঠি হাত-পা
9569a08e13	6aac8	ও ভ্রাম্যমাণ আদালতের
9569a7111b	e43d4	জানান লেফটেনেন্ট কর্নেল রেজাউল করিম
9569b29726	442b7	স্থগিত করে দেশটি
956a2de158	0d4cb	নতুন তৎপরতা চোখে পড়ছে
956a42a31a	f7a7f	যেমন কৃষ্ণ বা কালী
956a51988d	06ea3	২০০৫ সালের ৬ জুলাই
956a7e4355	b8fe1	শুধু প্রাইভেট নিরাপত্তা কর্মী দিয়েই পরিস্থিতি সামাল দিতে হবে।
956a85964b	f83df	স্থানীয় প্রশাসনের কর্মকর্তারা
956ac091f7	153c9	অভিযান পরিচালনা করা হয়
956acdf4b4	65e30	অন্ত্যবর্ণের মিল
956b03bce4	06736	১৭৯৭ সালের
956b0f51f0	9813c	পুলিশ এই অবস্থায়
956b1fe44c	6e8cb	শরিয়ত
956b3415d1	ab946	বেতন ও চাকরি কমিশন 2013
956bbfd912	967fd	নরিচ সিটিকে ৩-২ গোলে
956ca40cb7	a699c	ভারপ্রাপ্ত মহাসচিব
956cfc6621	9d7bf	সমস্যা থকে না
956da4d2cd	3d17c	অনেক প্রাচীন সভ্যতা
956dd220d6	1652d	র‍্যাবে যারা কাজ করে
956e16aee7	da6f0	এদের মধ্যে
956e553a6f	b2a62	আলু কিনে
956f00c339	14d25	কেভিন মিরালাস
956f74a44a	83c53	বজলুল করিম বাহার বলেন
956f9461e9	5d12f	বাইপোলার রোগে আক্রান্ত
956fda073d	b00ba	আবু হানিফ নামের
95703dec52	410fa	আমরা উদ্ধার করতে পেরেছি
957040c56e	2ecf8	বৃষ রাশি
95705a67c4	f143a	সাতটি পর্যবেক্ষণ
9570c18e4c	3b1f7	ও রেডিও স্টেশন বন্ধ রয়েছে
9571206fb2	60b9d	সব প্রস্তুতির পর
95712664e1	16e96	একতা দিয়ে শুরু করেছিলেন
95714d93c0	92bd8	আগামীকাল প্রেসিডেন্ট নির্বাচনের
9571595aa6	79b06	মনোয়ারা বেগমের আদালতে
9571c6a2fb	06e62	রেডক্রস সদর দফতরে
9571e7df48	cc18a	বিজয়ের এক সপ্তাহ পর
957211edac	b618b	গত বছর পাসের হার ছিল
95724ce2c9	6e6fa	উপকার পাওয়া যায়
95725d7418	3c897	এর পরপরই তারা
9572ce7839	932bb	জেল ও জরিমানাও করে
957369491b	ce775	এসব কেন্দ্র নির্মাণের পর
95740d78f6	bdd05	সংরক্ষণেও তারা গুরুত্বপূর্ণ ভূমিকা রাখছেন
9574ae886e	ce629	তাই তাকে অ্যানড্রয়েডের
95750a9b32	0d9f1	মার্কিন পররাষ্ট্রমন্ত্রীর চিঠিকে
957562a0d7	b2a62	কৃষি সম্প্রসারণ অধিদপ্তর
95758c9c4f	e50f1	জননীর মিষ্টবাক্যে
9575cb2f18	43b04	দেশ স্বাধীন হয়
9575e37208	e2ba2	আমাদের বিশেষ আয়োজন
957627395c	ce180	আমার কোনো সুযোগ নেই
9576339c91	7d133	পারিবারিক নাম ছিল রমা দাশগুপ্ত
95765b7f52	e89bb	লক্ষ্য রাখিয়া
9576c55595	3b1f7	রক্ষা করা সম্ভব নয়
9576e61dfd	54e68	জমা দেয়া হয়
95771684f5	2d98b	সংসদ শুরু হলে
95778f1a69	7f71c	সুন্দর ঝলমলে চুলের অধিকারী
9577a9c689	0d8c1	উগ্রবাদ
9577f40ad9	1de6c	অতনু দত্ত নামে একজনকে
9578530308	f29bf	টোটেমের দৃঢ়তা কমে যাওয়ার জন্য
95785934d6	92bd8	নিউক্লিয়াসযুক্ত বৃহদাকার
95785ff955	b08d0	কথা হয় কয়েকজন দর্শকের সঙ্গে
9578b21db1	07660	গত দুই মাস ধরে
9578ccf29b	7ed14	কোনও পুরুষ নেই
9578e7a0bb	4c555	কাজ করে
957900d995	b7be9	টানেলের শেষ প্রান্তে
957927918c	72649	মিথুন রাশি
95796d866b	4e900	বিবিসি ফিল্মস
95798e2853	8a46d	গদি থেকে
9579ab5fc3	c9c19	এনএসআই’র মহাপরিচালক
957a33907f	3f493	মেয়েরা ধর্ষিত হয়
957a6bb85f	33814	আমি ভাবি-আমি অসুখী
957aa3a461	f29bf	যে-শত শত কবিতা রচিত হয়েছে
957ac91029	6e6fa	তা জাতিসংঘের হাতে দেয়া উচিৎ
957bdd24ab	1652d	পৃথিবীর সপ্তম আশ্চর্যের
957c2535b9	80539	সুফি
957c536b6e	68549	এ-জাতীয় পরিবেশনার
957ccff1c1	15a75	চালাতে পারে
957d009679	778c0	ম্যাচের ৫৪ মিনিটে
957d3eed1b	4fbd1	বছরের দ্বিতীয় প্রান্তিক পর্যন্ত
957d997622	ad69a	ততদিন তাহা জনসাধারণের সাহিত্য ছিল
957de1462d	c958a	তার হদিস
957e2891d4	d9081	প্রতিবছরই বিশ্বের
957e90c51e	8edea	অঙ্গ
95802c992c	98b81	সরকার পরিবর্তনের
9581679226	0d9f1	বিবিসির সাংবাদিককে জানান
95816cd367	b8ed8	পরবর্তী ঐতিহাসিক
9581b8ed0d	ca831	প্রতিটি ভুল উত্তরের জন্য
9581efa701	9fa90	বেড়বাড়ির আলমগীর হোসেন
9582145e76	5cb47	অনলাইনেও দিয়ে দেব
95821800dd	880ae	অবস্থা করুণ
95825b2d04	18a52	ও চাঙ্গা করার লক্ষ্যেই
958289e48e	4fc91	এগুলো আজও
9582f9f315	e2ba2	মুলত ছিন্নমুল মানুষদের
9583108a0e	adf01	কী অসম্ভব
9583fabf3c	23b22	প্রচারের কাজ করেন
9584dcf363	3f875	সিরিজ হারের
958525c0af	ad050	বিভিন্ন শিক্ষা প্রতিষ্ঠানের শিক্ষার্থীরা
9585375e38	6c17f	মোট ভোটার এক লাখ
95857060d6	eaa7a	নেয়া হয়েছে বলে জানাচ্ছে
9585fbcdaf	e43d4	একাই একশ হইয়া
95867c460a	e3d8b	দিনের নামকরণ
9586b44124	24aed	আমি সহজে
9586e8c364	98b81	পিকাপভ্যানে ভোলা থেকে
958701f7c3	82926	অন্যতম বরিষ্ঠ সাংসদ
9587c007d9	4c555	সেলিম মন্তব্য করেন
958822bf76	2695f	যথেষ্ঠ তথ্য উপাত্ত না নিয়েই
95882b389d	c958a	বাংলা বর্ণমালা
9588eb4672	d41be	সম্মেলনে যোগ দেওয়ার জন্য
95895f37f6	e68af	দ্বিতীয় দিনের মতো
9589924c8b	33aef	শিরিনা দৌলত
9589e449fe	ad69a	উৎসাহব্যঞ্জক যোগাযোগ ঘটে
9589e48a5d	4c555	রানী হয়ে
958b0818fd	c9c19	এখানে কোনো রকমে
958b082f0c	3ccf1	উদ্ধারের পথ খুঁজি
958b3a8fea	31f09	গোপনে থাকে না
958bc7798c	3fce2	স্বীকৃতি পেয়েছিল এক
958bd450df	3ccf1	তাদের পিছু পিছু
958c22f2b1	54e68	ও ভিডিও ফুটেজ দেখে
958cebe9d4	16a17	বাস্তবায়ন করা হয়েছে বলেও
958d24a53b	c0965	মাটিতে পড়িয়া গেল
958d528e70	c6848	বাংলা ১৩৮২ সালে প্রকাশিত
958d5c1baa	7aed9	মূল্যস্ফীতি স্থিতিশীল রাখা
