d00012e69f	32c77	সাধুবাদ জানাই।
d0262a99d9	9d46f	নির্মান এবং পরিচালনায়
d026593c97	1f733	জেলার একটি শহর
d0265ba4b5	3fae0	প্রধানমন্ত্রী সরে দাঁড়ালে
d02670fdb9	a0277	ওয়াশিংটন পোস্ট
d02677dacb	3d17c	প্রবন্ধকার লেখক
d026a5e10a	c3cca	আমন্ত্রণ পেয়ে সেখানে আছেন
d02737810f	dae88	বইয়ের বিক্রি গতবারের তুলনায়
d02743eb13	ab946	আজ আন্তর্জাতিক ক্রেতাদের
d0278942a7	f29bf	ভরাডুবি ঘটে
d028ad92c0	0633a	এ নিয়ে খবর বের হয়
d028d312fb	948d3	নতুন ধর্ম গ্রহণ ছিল
d028e0bd7b	39293	যথা সময়ে
d02955848a	43fc0	যেতে হয়েছিল একটা কাজে
d029c4dfd3	8143b	এদিকে গতকাল প্রকাশিত
d029f29938	f2097	উত্তরা থেকে মতিঝিল রুটে
d02a0620cf	d9081	পুরনো বাড়িতে ছিলেন
d02a497fe2	95f83	দাঁত পরিষ্কার করে
d02a8f6838	7297e	জোড়দার করেছে
d02aa8a4e5	c4973	তরুণদের চোখের
d02ace3876	e2ff7	তার নামে
d02b485733	92f59	চল্লিশের দশকটি
d02b909670	2aecc	আমন্ত্রণ পেয়ে সেখানে আছেন
d02bc0584c	ad050	৩০ জনকে
d02c79bf3d	315e9	গতবছরের জুলাই মাসে
d02ca0a4f2	4486f	বিল আকারে
d02ccf7415	0606d	খরচ হবে
d02d1158d4	8c07c	বেসিক ব্যাংক লিমিটেড
d02d2182ff	f1240	কিছুমাত্র তারতম্য আছে কি
d02d7229f4	1e7c7	আসল লক্ষ্য হলো আনন্দ
d02d91bed9	03284	আমি শহীদের স্ত্রীর গৌরব চাই না
d02da6db46	e7230	জয়ী দলের সঙ্গে
d02e23f40a	ad69a	উভয়ই নির্ভর করছে
d02eba1a34	3ec4d	সম্মুখ খণ্ডাংশ
d02f12c096	ee994	জাতির সঠিক ইতিহাস
d02fe111ea	693cb	একাত্তরে বাংলাদেশে
d02ffb3217	23291	অঘোষ কণ্ঠনালীয় ঊষ্মধ্বনি
d030348f71	fcefa	মানবজাতিকে খাদ্যের
d030577865	351dd	মামুন-জলির বিয়ের টাকা
d030ef6b51	bfac7	ছাপিয়ে গিয়েছিলেন
d0310e5c34	c41d8	যার দরুন অল্প দূরত্বে
d031449071	68549	তখনই তার চলে যাওয়া
d031996e35	9c8dd	ফলে অদ্যাবধি এখানে
d031db584b	24aed	আমার হাত-পাগুলো
d0322319d3	121bd	এরকম ভালো প্রস্তাব
d032375f4b	e2c11	শনিবার রাতে রেলওয়ের
d032680f46	086dd	বিভিন্ন ধরনের পোকা
d0326bd270	25117	পানির বোতলসহ
d032bc1c30	5a61c	তাদের হাতে ছেড়ে দেয়
d032d26630	bcaa8	বেশ কজন কিজিলবাস কৌমের মুরব্বি
d0334a6802	6a35e	দুই দিকের যান চলাচল বন্ধ
d033842d92	9351a	১৯৬৫ সালের
d033a00773	fdcba	মোট ৮০৭টি মৃতদেহ
d033a35779	38d3a	বয়ে আনে না
d033acbfd6	3fae0	১৪টি অভিযোগের মধ্যে
d033e29804	71522	ইলেকট্রনিক্স সামগ্রী,
d0340c61c1	88654	ধর্ষকেরা জামিন পেয়ে যাচ্ছে
d034c7bd3b	2f547	২৯ আশ্বিন তার জন্মদিন
d034e735e5	43199	হোল খুঁজে পেল আবু হাতেম
d035135377	0c39f	বাস রুট নিয়ে
d035860c3e	a3a6d	ফতুল্লায় সেলিম ওসমানের
d035d1f07a	11de3	গত মঙ্গলবার লিফটে ওঠা নিয়ে
d035f3a3bf	fda1a	ইচ্ছে ছিল মায়ের
d035fd0451	616ec	খারাপ কাজ করে
d036765b1c	1652d	মানুষের উৎপাদন-কৌশল
d036900536	ac904	রাজধানীর চকবাজার এলাকায় কুড়িয়ে পাওয়া একটি ককটেলের বিস্ফোরণে ডান হাত বিচ্ছ্ন্নি হয়ে গেছে রাকিব নামের এক শিশুর।
d0373ccdf1	e6e48	ভালো আছি ভালো থেকো আকাশের ঠিকানায় চিঠি লিখো
d0376bf9e1	976b1	সংশ্লিষ্ট সূত্রে জানা যায়
d0377bbdfd	93d3b	গ্যাসের পাইপ টানা হয়েছে
d037839f03	11de3	বিতর্কিত ওই নির্বাচনকে
d037bf5f89	7b60a	কামরায় আগুন লেগে
d037edba23	6aac8	তখন সেটা সরানো মুশকিল
d038493c71	0d9f1	সম্পর্কে ফুলবাহারির লতায় পাতায়
d0385c16be	9b864	ভীষণ ইমোশনাল সে
d0386801a7	a1d4a	আমার কথাই
d0390b38a3	43199	দুই দিকের যান চলাচল বন্ধ
d0395df260	16e96	পুরনো বন্ধুর সঙ্গে
d039f65454	ca831	একটি ককটেল হাতে তুলে নেয়
d03a086af2	4ea73	পরিচালিত করা
d03a315893	29f8c	ধৃষ্টদ্যুম্নকে রক্ষা সম্পাদন করিলেন
d03a560c5f	e2ff7	ভালো নেই
d03ab7d58a	06e62	বিশ্বখ্যাত ইউনিভার্সিটি অফ অক্সফোর্ড
d03ace611c	aab0f	পৃথিবীতে যে সময় থেকে
d03b3dac8d	2fe3c	ছিল খুবই নগণ্য
d03bfa901d	6d129	বড় সে নয়
d03c3c863d	28dfc	জিজ্ঞাসাবাদের মুখে বার বার
d03c501e31	4fbd1	বহু সম্মানের সহিত কৃষ্ণকে
d03c9dc0db	520fb	শুনতে না পেলে
d03f1be508	c7705	বয়াতী
d03f5dabde	06ea3	সহস্রাধিক আহত হন
d03f7530bf	fcefa	নিচের কোডগুলো লিখুন
d03f910c02	6aac8	যার মূল কারণ
d03fd68322	0bace	না থাকায় দেশের ক্রিকেট
d04021b348	14816	মা চিবিয়ে চিবিয়ে বলেন
d040c67d8a	2ad74	হাইয়ান ফিলিপাইনের মধ্যবর্তী উপকূলীয় প্রদেশ
d04127e6c8	29bab	বিভিন্ন ইস্যুকে কেন্দ্র করে
d0417da6b1	6973e	এটা করার জন্য যা দরকার
d041da6928	6a35e	সবাইকে চমকে দিয়ে ২০০০ সালে তিনি বিএনপিতে যোগ দেন।
d042912253	18a52	অতিনবতারা পর্যবেক্ষণের জন্য
d042e7410e	24f73	এগিয়ে চলেছ
d0432ef568	2909b	বিতাড়িতও হন
d0436f02ab	8406e	বাংলাদেশে সদ্যসমাপ্ত
d043770793	d5213	এসএন ১৮৫
d043ea54ca	cc18a	আমার মা
d0440372f6	3c897	শেষ চুমুকে
d04443d666	bbb22	গিয়ে দেখেন
d0448ab522	7e1d5	ঢোল, কাসর, ঝুনঝুনির
d044c37f09	9813c	রূপে কথিত
d0456042a8	64092	জড়াজড়ি করে আছে
d04612c6fa	8c120	সেন্সরবোর্ডের ছাড়পত্র পেয়েছে
d046409c9b	d136b	একজনের নাম জানা যায়নি
d046780dea	274ee	আমার সহ্য হয় না
d046b91e80	520fb	সুকান্ত মন্দভাগ্য
d046eb494e	6d129	ওই তরুণীকে দেখে
d0475282c5	9065c	বেশ কয়েকটি টেলিফিল্ম
d047e24cda	da6f0	কর্ম বিমূখতা
d048246ca2	7df87	বেরিয়ে আসবে
d0486ca6bc	6da0a	অবৈধ আখ্যা দিয়ে
d048a68472	d41be	ভোটের পরিমান
d04918b0ec	7b132	ঘুমপাড়ানি মাসীপিসী
d049d7352a	ce775	শিংমাছের ঝোল
d049def15d	57d54	কর্মী সমর্থক
d04a4363bd	6ab59	গুরু সদয় দত্ত যেমন বলেছেন
d04a6e4835	c11b1	অবশ্যই এটা বিশ্বকাপ ম্যাচ
d04b06ce00	24f73	এদিকে বেশ কিছু দেশ
d04b39f1e5	b9a81	সীমান্তবাসী অতিষ্ঠ হয়ে পড়েছে
d04b522629	1e7c6	ফিরে যাবার চেষ্টা নয়
d04bcfe919	a8710	এক অভিনব পদ্ধতি
d04bdeb35e	a699c	ওই দেখো
d04bf29d2a	e9759	তবে কোন কোন হিসাবে
d04bf97808	4164f	উত্তর পূর্বাঞ্চলীয় উপকূলবর্তী
d04c034443	9e923	জীবন ও শিল্পের বিভা জ্বেলেছে
d04c1bf757	01e91	১৮জনকে আটকের কথা বলছে
d04c34999f	38d3a	কোচিন, মালাক্কা
d04ceb63e7	f0f95	ওয়েস্ট ইন্ডিজের বিরুদ্ধে জিতেছে
d04cf4fa40	4ea73	এক নজর দেখার জন্য
d04d001904	80e98	আজকের বিমানে ঢাকা যাওয়ার কথা ছিল আমাদের।
d04d0338ea	23291	এজাহারভুক্ত আসামি ছিলেন
d04d53ff43	9b864	গেট থেকে কোনো ফোন আসেনি
d04d5a0bae	1a4a9	সেইসঙ্গে চিকিৎসকদের কাজে
d04dcf1aa3	948d3	কাছেই একটা প্রকান্ড গুহার মুখ
d04dd620c6	11bd2	রোজই আমাকে
d04e719741	4c555	জুনিয়রদের মধ্যে
d04eb15ace	315e9	এই ইচি নেগিশির সাথে
d04f8afbdb	e6203	আমি নিজে কোনো বিশেষ ধর্মে
d04f967cb2	520fb	সে মেয়েটিকে বলল
d05263ea80	c9c19	প্রশ্ন ওঠে কেন
d052a830f3	2de86	সে হারলে দানব
d052d1a8a0	eb179	জেলা শহরের কাছাকাছি এসে
d0536923e8	ad050	নতুন নতুন বইয়ের মোড়ক
d05439dc0e	9e923	আইনশৃঙ্খলার জন্য
d0554697ce	25696	বের করে আনা হয়েছে
d0554a0b7c	b8fe1	এসআই সামসুজ্জোহা জানান
d05566042f	d1a48	ব্যাখ্যা করেন
d0558c73d8	33aef	নিহতদের মধ্যে আছেন
d055ae640d	91230	৩০ ঘণ্টা পর্যবেক্ষণে রেখেছিলেন
d056c61595	7e191	তিনি বিরোধিতা করছেন
d056d3d9a9	25696	গ্রেফতার করার
d0570a3bb4	ee852	রাজস্ব আদায়ের জন্য
d0575be10a	8c07c	রেমিটেন্সে ৭ শতাংশ প্রবৃদ্ধি হবে
d0578750c3	698ff	নির্বাচনের জন্য
d0579fb8b5	80e98	যাদের প্রায় সবার পোশাকই
d057e28b92	e03fc	ছেলেকে শনাক্ত করে
d058326261	d711f	খেলা শেষ হওয়ার
d05887856c	8632b	অলিম্পিকের মূলনীতি
d058a065ff	860f4	প্রতিবেদন দাখিলের জন্য
d0596e1ec4	577fa	একটা পরাজয় হিসাবে দেখছিলেন
d059aca767	e00db	সম্ভাব্য-অসম্ভাব্য কারণ দেখিয়ে
d05a013823	91b16	ব্যাপক উপস্থিতি রয়েছে
d05ab34fbd	8c120	এদিকে আজ শুক্রবার
d05ae9432f	256f5	স্কেচ
d05af2f66b	ca088	কেজিপ্রতি প্রায়
d05b7087b4	7b132	যদিও মিস খোবরাগাডে
d05b8379ac	0744c	তাদের মূল টার্গেট
d05bfa41a2	7f2ef	তদন্ত চলছে
d05c128cac	195f7	কিন্তু সেখানে প্রথমে তার
d05cba53c7	13b6a	মাধবাচার্য দিয়েছেন
d05cbb45b9	7d133	সম্পাদক ও অভিনেতা
d05d2724e0	14d25	হত্যা, লুন্ঠন ও অগ্নিসংযোগের অভিযোগে
d05d904238	7351e	স্বামী-শ্বশুরের নির্মম অত্যাচারে
d05daaf95e	4c555	সর্বোচ্চকরণ অনুসিদ্ধান্ত
d05e54fbd9	e6203	সবাই প্রত্যাশা করে
d05e56442d	b9b98	হত্যা করার পর
d05e6a1342	42898	কেউ তা ওর কাছে
d05e78bd1e	16a17	বিজেপির আইনপ্রণেতারাও
d05e7c1abc	a274b	মজিদ খানের শিক্ষানীতি
d05ea1b982	b8ed8	জনগণমন অধিনায়ক
d05ecefe7a	355c1	তার নিচেও
d05f03d470	ce180	স্বপ্ন তার নিজের গতিতেই চলে
d05f052b5e	0633a	কালপুরুষের তলোয়ারের
d05f4e9dd2	aa820	জামাঈ জিহাদে
d05f604bd8	f7a7f	বিশ্বাস করতে পারে না
d060301951	efc0d	কখন শেষ হবে
d0605b0acd	c3cca	১৫বছরের মেয়াদের ব্যাপারে
d060a137ea	1a2a1	পেন ড্রাইভের
d060d5666c	a9a58	এই দেশ বড় ধূসর শ্রীহীন
d061783eee	a9a58	তারপর কালবিলম্ব না করিয়া
d061839e95	75626	শাড়িতে টান পড়লে
d062157f87	c463d	পবিত্র কোরআন অনুসারে
d0624720e1	d2d71	বুক থেকে, পেট থেকে
d062cd3b9a	ef915	প্রিয় শাবিপ্রবির উদ্দেশে
d062e10a24	9f25e	ভূমি ব্যাংকের তহবিল প্রতিষ্ঠায়
d062e5971b	2ad74	মোকাবেলা করার মতো
d062fa22a3	eecdd	১০ম জাতীয় সংসদ নির্বাচনে
d0635062d2	2396d	কর্নেলহাটমোড়ে অবরোধকারীদের ছোড়া
d063b26576	2bc73	একদিন গুপি দেখল
d063bdcb8c	43b04	অর্থ দিতে রাজি নয়
d063faf202	e6203	মৌলবাদী শক্তির
d064255a5a	c463d	অ্যাসোসিয়েশন অব অস্ট্রেলিয়া
d064a2c702	c749e	যে কোনো অনুষ্ঠানের
d0658f4204	430b2	পাথরের চোট খেয়ে
d065adc3da	4dd57	ফিলিস্তিনি নেতা
d065b889d0	d2294	প্রথম লেগের খেলা
d066014b2e	ba2f6	নিজ বাড়িতে এ পাখির খামার
d0667ee56d	8cf95	অনুপ জালোটার
d066b2e7da	7297e	ইসলামিক বই
d066b947d5	ff1eb	এবারের বিজ্ঞানের আসর
d066c06b0c	c463d	ভবিষ্যতে এই আপত্তি নিয়ে
d0674fe17f	e03ce	ব্যাহত ও সীমাহীন পশ্চাৎপদ
d06759e8a1	0895a	ইদ লুবেগা
d0675c6fe2	7b132	পৃথিবীর সবকিছু
d0676903fc	af81d	অজয় চক্রবর্তী
d0676d6b6f	ff970	যে বাড়িতে
d067b1b1e9	10a9f	কাছেই পানির ব্যবস্থা রয়েছে
d067f02509	2909b	উপস্থিত ছিলেন
d0682709c1	6aac8	শেষ হওয়ায়
d068692a10	06736	ওয়ার্ল্ড মুসলিম কংগ্রেসের উপদেষ্টা
d068723bd6	0633a	বিশ্বকাপের অফিসিয়াল বল
d06896232c	f143a	কওমী মাদ্রাসা শিক্ষাবোর্ড রয়েছে
d068ad857a	38ff0	ভিন্নমত প্রকাশের সুযোগ
d068e7d9b1	4e900	জীবন কালে
d068fe4429	dafb6	এবং ৭ ও ১২ মে
d069207fa4	57d54	তবে অচিরেই আর্কাইভ তৈরি
d0697e3834	9092b	একই সঙ্গে দ্রুত তাকে
d0699ac5f0	54e68	মিতা আমার স্ত্রী নয়
d069c9efbe	086dd	এটাই দেশটির অর্থনীতির
d069ca4841	69d9a	অন্যদিকে স্বাগতিক ব্রাজিলের অবস্থান
d069f5f86e	66c6b	এবং রাজনীতিতে
d06afbf379	e9589	রুদ্র
d06b1d19e0	baa02	ছিনতাই
d06b4dfd61	33814	মাল্টিপ্লেক্সগুলোতে যান্ত্রিক পদ্ধতিতে
d06bfe9850	7898e	বাণিজ্য ও বিনিয়োগের
d06c818159	49543	আইন-শৃঙ্খলা বাহিনী সতর্ক রয়েছে
d06cc33120	7351e	বধার্থ ধাবমান হইল
d06d631220	05901	ঘুমিয়ে পড়ল
d06e05601c	24f73	১ জুলাই থেকে
d06e75269c	9d46f	বাংলাদেশ টেলিভিশনসহ
d06ef70528	71522	বাউলেরা যে সমাজবিচ্ছিন্ন নন
d06f08970e	17ca1	করতে পারো
d06f389d33	09b32	সেই সুনীল দত্তকেই
d06f42c5ff	79b06	তাদের খরচও বেশি হয়
d06f86dc39	7ee9b	আলোচনা চলছে
d06fa60e2a	c3cca	রাজনীতির চেয়ে সামাজিক অন্যান্য কারণেই গুম-খুনের ঘটনা বেশি ঘটছে।
d06fc09530	a9a58	রূপ হিসেবে গ্রহণ করেছিলেন
d06fcd37d6	f280a	কত কাঠখড় পোড়াতে হয়েছে
d070df8683	9f25e	আচ্ছন্ন হয়ে পড়ল
d070ee458d	93d3b	থেকে ১৫শ শতকে
d07106020a	351dd	১৭৬৫ সালের পর
d0721c90c5	f9dfb	১৬শ শতাব্দী হতে শুরু হয়
d07233bb4c	2ee04	সমাবেশ ও হরতাল কর্মসূচি
d0725d4ac6	430b2	হিসাব
d0725f8053	37e17	সময় কাটায় না
d072fdac67	d1b12	বিবিসির সাংবাদিক
d073285b84	ca831	দুটি আয়োজক সংস্থার
d07374c5e3	ce180	তাঁরা লোকায়তিক চিন্তাধারা সম্বন্ধে
d0741240e3	e6203	একটি তদন্ত কমিটি গঠন করেছে
d0741d0e38	6b437	সুধা সেনের কন্যা
d074a9145f	3bea8	এই তথ্যটুকু মনে না রাখলে
d074b5582e	5e80b	অন্য পাঠকদেরই মতো
d074e1545e	18460	সেই বৃত্তভাবনা
d07601bd59	1f733	নামাজ শিক্ষা
d07625281a	2d98b	নির্দোষ বলে মুক্তি দেয়
d07678abe7	7aed9	১০৫ টাকা থেকে ১৫৫০ টাকায়
d076aaa1be	ab946	সহায়ক হিসেবে কাজ করবে
d077024d93	3bb15	প্রথম প্রকাশিত কবিতাগ্রন্থটি ছাড়পত্র
d0770e78c3	194f5	ঢাকায় প্রবেশের সিদ্ধান্ত নিয়েছিলেন
d07745cb33	3faff	সমর্থন দিচ্ছেন ব্যবসায়ীরা
d07780ff9d	f7a7f	যদি সম্পূর্ণ ক্ষমা করা হয়
d077a90d42	7b900	না কি মানুষের জীবিকা
d07832745d	2ad74	রাজধানীর সবগুলো পয়েন্টেই আইনশৃঙ্খলা বাহিনীর ব্যাপক উপস্থিতি রয়েছে।
d0786f55d7	66c6b	এখনো বিশ্বের বিভিন্ন
d0788b7329	16877	সরকারি প্রতিষ্ঠান
d0793d457f	c4973	নানা শাস্ত্রে
d079e7ee78	2ee04	বা হিমাগারের সংখ্যা
d079ec4717	7d3e1	হেরা গুহা
d07abdbae7	25696	যখন চাঁদ পৃথিবীর কাছাকাছি পৌঁছায়
d07b175d1e	6e8cb	ছিলেন বিখ্যাত
d07be5b0fd	fcefa	কেউ এড়াতে পারেনা
d07be6ec91	ce629	মারা গেছেন ২৬ জন
d07c2b0242	2ee04	লুচি
d07c49f5dd	3f493	আমি ছিলাম কবিতায়
d07c777b70	3ec4d	প্রবাস
d07cde3d9a	38d3a	ঢাকার একেবারে কেন্দ্রস্থলে
d07d8107e4	287bd	অতি উচ্চ
d07d85fe2c	4237e	অনেকের আবার ঘরবাড়িই নেই
d07d96988f	29089	দু-একটা টুকটাক প্রশ্ন করলাম
