f3009d6531	e6752	দামেস্ক সরকারের
f30fb7227f	39dd0	গাড়ি ভাংচুর শুরু করে
f30fea1658	7f71c	অসাধারণ প্রদর্শনীতে বুকে কাঁপন ধরান
f3101233f3	bd576	তবে ভারত
f310856637	da6f0	শান্তিনিকেতন
f311ad36b1	2fc12	ইউএস ওপেনের বাছাইপর্ব
f31259ff9f	9fa90	রসালো কাহিনী শুনতে আগ্রহী
f313869e19	9c8dd	ক্যালিফোর্নিয়ার থাউসেন্ড ওকসে
f3139f7a26	d8c80	অন্য দিনের তুলনায়
f313f7e940	65652	বুঝবে ওই লোকটাই আমি
f3141c4551	c3cb3	গান ডাউনলোড
f314553df1	cb1aa	এটি নিয়ে আবারও
f3152ca512	880ae	ভারতে পালিয়ে যান
f3161d2927	430b2	চুরি করার জন্য
f3163b86c7	e754e	এখানকার সাগরের জল জননীমূলক
f316556cff	0c39f	পিএইচ মান ৭ এর কম
f316851a26	b5fdc	সাম্বা
f3176de12a	a46e2	টুইটারে বিষয়টি নিয়ে
f317dcf0ff	880ae	মা ফাতেমার চরণ বন্দি
f317e29a1e	a1d4a	আম্পায়ার কর্তৃক
f317eb72ab	4f2ae	বেশী টাকার লোভে
f318215fa0	c3cb3	ডিজিটাল বাংলাদেশ মানে কি
f318250119	a274b	কোনো খোঁজ-খবর
f319de5932	d2294	বদ অভ্যাস
f31a35f12c	64092	কথা শুনে
f31a3c234b	65652	পাওয়া কঠিন হতে পারে
f31b2fca43	355c1	সমাবেশ ও হরতাল কর্মসূচি
f31b3d46ce	3fc9d	বিশেষ গুরুত্ব বহন করে
f31b6158b2	2396d	অভিধানের ব্যাপ্তি
f31bef4ea0	2909b	সন্তানরূপে যিনি জন্মগ্রহণ করেছেন
f31c1f75bc	92bb2	মন্দিরটি পরিচালনায়
f31c3fbc3a	b8bdd	দেশটির আরো আটটি দ্বীপ
f31cb6e420	7b60a	সম্মিলিতভাবে অফিসে এসেছে
f31ceeb270	520fb	নয় থেকে তের বছরের
f31d73b874	43b04	লা লিগায় এলচের বিপক্ষে
f31dbeb48e	46da4	মোদির মতো
f31dd48947	2695f	কার্তিক ভারতীয় দলে
f31e08858d	6e6fa	নেপালী মেয়ে
f31e1702f6	b8bdd	শিল্পী মাদ্রিদের রাস্তায়
f31e3d1192	a06a1	কালীগঞ্জে
f31eba8829	8c07c	যোগসূত্র হয়
f31f25df81	7ee9b	ডালটা নাড়ে
f31f270a11	8edea	এখানে দেখতে পেয়ে
f31f47a24e	c463d	থাইল্যান্ডের একটি স্যাটেলাইট ভাড়া নিয়ে
f31fb94ca1	53396	৫১৮ টাকা
f3205749b2	8ba2b	বড় ভাই চলচ্চিত্র
f320a64b54	91230	ঘরভাড়া তিন হাজার টাকা
f320a890f8	13b70	১৫ জন সমর্থক
f320e26653	7b103	এরূপ ইচ্ছা
f3210a145f	98b81	কালাহারি মরুভূমির
f32114b1a1	f29bf	মেহেদীর ডিজাইন
f321802e9d	91223	আনুষ্ঠানিক স্বীকৃতি পেয়েছে
f32214544c	dafb6	বিএসএফ
f3222fc153	5d80e	একটু জটিল
f322b39774	1c618	দেয়া জবানবন্দি
f322e129b5	536d9	বিচারের মানদণ্ডটা আমরা
f323108278	d41be	বরের অকালমৃত্যু হয়
f32397acc9	6e6fa	আনসার ভিডিপি উন্নয়ন ব্যাংক
f323ca4bfb	b78ec	ভাববার চেষ্টা করলে
f323ceabe1	2ecf8	বাবরি মসজিদ বানিয়েছিলেন
f32400db44	f6e55	কবিতা কেন পড়ব
f32402b1d4	8c120	পরে ভারতের মালদহ হাসপাতালে
f32437a0b8	2d98b	প্রশ্ন হলো
f3259cddde	f7a7f	বিকেলে দ্বিতীয় দফা আলোচনার পর
f325c1fdeb	23291	সরকারের বিরুদ্ধে বাধা সৃষ্টির
f3265a9f2e	ca831	প্রথমে একটি পাত্রে
f326e04283	c4973	বিশ্লেষণের উপরে
f326fc71a9	d9081	সান্নিধ্য পাই
f3272488c2	17ca1	যুক্তরাষ্ট্র ২-০ গোলে
f327304d17	47e8d	চেষ্টা করছি
f32730831e	fda1a	নিজেদের প্রেম নিয়ে
f32750b35d	355c1	ভাড়া পাচ্ছি
f327b01b72	9282d	এ ছাড়াও ডজনেরও বেশি
f3280126f6	c4973	ইউক্রেনে যেই জয়লাভ করুক
f328d0a9df	18a52	সেই মিথের কতটা রিয়ালিটি
f3292cca09	8ba2b	বোমার গগনবিদারী আওয়াজ
f3298a5405	1b359	চাই কি
f329a5327a	c3cca	ঘুরে ঘুরে দেখছিল
f32a07911a	66c6b	ইংল্যান্ডের সঙ্গে
f32ac3faac	a06a1	হারবাল ট্রিটমেন্ট কিংবা বিশেষজ্ঞ ডাক্তারের
f32ad80e66	e754e	সেই আদ্যিকালের ব্যাঙের ছাতা
f32b2043ab	943de	সমস্যা দেখা দিতে পারে
f32b8446ad	c1e30	থাকবে না
f32bf0fff0	0a7a0	শেষ পর্যন্ত আমাদের
f32c22a91e	57d54	তাঁর প্রিয় লেখকদের একজন
f32c355b8c	fd880	হাওয়ার্ড জনসনের প্রতিবেদন
f32cd976be	efc0d	আর কোনো কাগজে
f32da84883	e3f89	জীবন কাটাতে থাকেন
f32e78e5c3	a06a1	৮৩ বছর বয়সী
f32e9c0ce0	95907	কপালের শিরা
f32f0e0b6c	e68af	আজ ১৩ দিন ধরে
f32f3284e4	eb179	সহজ দুটি সুযোগও পেয়েছিল
f32f431c4f	509f6	নিরীহ অসংখ্য মানুষ
f32fd9d965	59c73	কমিশন গঠন করে
f32fed6f7d	1a2a1	কাটিয়ে দিচ্ছেন সারাদিন
f3304c192b	38d3a	সব কটাকে
f3307819bd	43b04	বাংলাদেশে ঈদের কেনাকাটায়
f330c13d7b	ad2a0	র‍্যাব ক'জন ব্যবসায়ীকে
f330c9595d	ca088	নাহার কি আপনার স্ত্রী
f330ef2e8b	4bede	বঙ্গবন্ধু মেডিকেল বিশ্ববিদ্যালয় হাসপাতালে
f331457a0f	778c0	লাফিয়ে ঠেকিয়ে দেন
f3316c6e27	bdd05	ভিট চ্যানেল আই
f331956f11	8cf95	ভালো অবস্থান রয়েছে
f331c88b45	2840e	মানুষের দ্বিতীয় দেশটিতে
f331ca6bf1	d136b	বড়ই ভয় হল
f33210fd6f	3bb15	আর মেশিনের চৌম্বক কয়েল
f332247271	a06a1	১৯৬৪ সালের
f3324fad51	3faff	কেন না, ব্রাহ্মণের ঔরসে, ক্ষত্রিয়ের ক্ষেত্রে
f3326b5d0a	16877	এমন আমি মনে করিনা
f3328a1cdd	4f450	কারণও সম্পূর্ণভাবে অন্য
f332965f3e	9092b	দণ্ডপ্রাপ্তরা হলেন
f3337d86fc	93bf3	আগে এর প্রতি গ্রামের
f3341794bb	e6d83	তথ্য ব্যবস্থা বিভাগের
f3343bd90b	d5f7b	একজন ছিলেন তিনি
f334eadf0f	91230	সারাদিন না খেয়ে রোজা রাখার পর সন্ধ্যায় সূর্যাস্তের সাথে সাথে খাবার খেয়ে রোজা ভাঙ্গার নিয়ম।
f335261b38	f7a7f	গুনা জেলার
f335c9eea0	92f59	হেলেন
f335e10feb	a46e2	৭-৫, ৬-৭, ৬-১ গেমে
f3360eca3f	e2f12	সহযাত্রী কবি
f33612eaf0	8406e	সঙ্গে নিয়ে ঘুমায়
f336a9dafc	c3cb3	পর্যায়ক্রমে সেটা
f336da1407	32998	কোন বাংলাদেশি ক্রিকেটার পান নি
f336ebb927	d82d9	আর জেনেভা-ভিত্তিক
f3375f0124	ec91c	দেবশ্রী রায়
f337647ea4	f29bf	ইকবাল বানু
f3377ba28d	5d12f	পাশে বসে থাকা আদুরির মা সাফিয়া বেগম বিবিসিকে বলেন, মেয়ে তাকে বলেছে তার শরীরে ব্লেড দিয়ে পোঁচ দেওয়া হয়।
f3377c3993	2695f	মুখ বুজে থাকা
f3380c07ab	12702	একটি নতুন চুক্তি করার লক্ষ্যে
f33814f912	91223	তাই কিছুদিন ধরে
f3384b2ad6	0edef	মঠ নামে
f338c2e2cf	554fe	জমিদারদের সম্প্রদায়গত অবস্থান
f338c8259a	28bb3	সুস্থ মানুষ মনে হয়নি
f339adff39	e68af	দল নামানো
f339cfc927	80be1	ট্রেড ইউনিয়ন
f339ea158c	ad050	নির্বাচন কমিশনের জন্য
f339ef6834	948d3	বাড়ি থেকে বেরিয়ে পড়ল
f33a2e2f2a	1e7c7	নাহিদ আহমেদ পিয়ালের
f33a93519c	5a61c	এমন একলা এই পথ
f33aa0c0db	0606d	এই নতুন পদ্ধতি
f33bb57f17	32998	অপেক্ষায় যেন
f33bcef3ed	5dec6	তারা সকলে
f33c3647a9	4c555	তিনি কাপড়ের ব্যবসা করেন
f33d576005	0d8c1	রংপুর অবিলম্বে ক্ষমা না চাইলে
f33d71776b	76329	একই বচন
f33e009740	ee852	এখন বিএসএফ'র সঙ্গে
f33e04c962	3bb15	কেজিবির একজন উচ্চপদস্থ কর্মকর্তা
f33e1ab10d	09f0d	বিভিন্ন প্রকল্পের কাজ
f33e80a6c7	a8710	বাংলাদেশের এই সরকার
f33e8a5feb	d0c70	আখতারুজ্জামান ইলিয়াস ছিলেন পারফেকশনিস্ট
f33f2ac0d7	8845d	ভয়ঙ্কর কাণ্ড উপস্থিত হইল
f33f5ec700	590d0	সেজন্য প্রকাশ্যে
f34028d3bb	c0d65	গতকাল বৃহস্পতিবার মিঃ রহমানকে
f340456b04	ad69a	প্রপার্টি
f3407553ce	71522	প্রকৃতি ও প্রাণ
f340ac03f0	c9c19	সিসিইউ ও আইসিইউ
f340f1dea4	5a61c	তুলে নিয়েছে
f3415de976	35ef3	উইকেটের দিক থেকে
f341ca508c	43fc0	উনবিংশ শতাব্দীর
f341ce3dd2	e6d83	সাড়ে ১১ টন নেশার ট্যাবলেটসহ
f342af325a	b8fe1	তার অধিকাংশই বিচ্ছিন্নভাবে পাওয়া যায়
f342b353cc	58998	তবে, বিকেল থেকে
f3430031d7	86b1b	ছিল না তার নাম
f34328138b	4164f	সারা বিশ্বেই ঘটছে
f3432f476b	c0965	আরাকান ত্যাগ করে
f34334ffa7	a7c6f	ক্লাস থেকে বেরিয়ে এল
f343bc2b3f	0e637	৬৪টি জাহাজের ধ্বংসস্তূপ
f343c58377	903fa	ওয়াকিল আহমেদ
f343fe82b0	4bd2c	নিরাপদ মাতৃত্ব
f3441d2cbf	e7230	ফলে সে ভাবল
f3448b161b	ad050	হরদীপ পুরী বলে ওঠেন
f3451e6666	d3e06	ফেরার পথে পড়লেন অসুবিধায়
f3454399e2	46da4	এই পুরুষতন্ত্র, পিতৃতন্ত্র
f345b95caf	5e80b	বুধবার পুলিশের কাছে আসেন
f3461b2e88	39293	তৃতীয় দফায় আর
f3465568e6	eaa7a	এই স্মরণীয় মাইলফলক
f346a504a2	06527	লক্ষ্মীপুরের কমলনগর
f34733b827	0744c	শিশুরা ম্যালেরিয়া
f3474b3467	2aecc	নৌকা এক হাত আগায়
f3476d54ad	ef4f8	ক্যালেন্ডারটি তৈরি করা হয়
f348a710c7	f29bf	একটি টেলিভিশন অনুষ্ঠানের
f348c49602	7f71c	১৯৫৭ সালে তপন সিনহার পরিচালনায় বাংলায় নির্মিত হয় ‘কাবুলিওয়ালা’।
f348d5223f	4dd57	এই চার জন
f348fa19fa	32998	অপসূর বলা হয়
f349346a6b	e43d4	অ্যাডিলি পেঙ্গুইন হল
f349366614	0d4cb	ইয়ামা দুকান মুচড়ে
f34981031b	239f7	পৌঁছে দেয়ার ক্ষেত্রে
f349db86d7	9065c	এই দিন ধার্য্য করে
f349f1d56b	47e8d	দ্য ফরচুন-সহ
f34a15b7e2	3ccf1	চিন্তিত হয়ে পড়েন
f34a28b105	2d98b	অজয়
f34a56a62f	d8c80	গুল
f34a7f05ac	321b6	ভারতে নিয়ে যায়
f34a9fbbde	8edea	ক্রয় ক্ষমতার বাইরে
f34aec7ca5	c5dc8	কুকুরের গায়ে
f34b1438dd	2d78f	সেই মানবতার জয়গান
f34ba2f990	0e637	অবৈধ
f34bad0c5a	1f733	পূর্ববর্তী সমাজেও
f34bd9bd20	4f450	বাংলাদেশ ঢাকা
f34c4605bf	bc81e	ট্রাইবুনালের কর্মচারী
f34c7c8ddc	c2082	তিনি ঠাকুরবাড়ির আঙিনায় এসে
f34d0afb55	1a4a9	সেই শক্তিরই
f34de901e3	388c9	আবাসিক গ্যাস সংযোগ
f34e035f1c	42898	জুটি হয়েছেন মৌসুমীর সঙ্গে
f34e363973	fda1a	চাঞ্চল্যকর তথ্য
f34e5e0dae	11de3	গত শুক্রবার
f35040ef00	a0277	বিক্ষোভ করতে থাকে
f35083ae4b	e3f89	সড়কপথের চাপ কমাতে
f350aaf3bb	12702	একইসাথে সরকার বলছে
f351192a7a	d3e06	বাকি এক বছর
f3517f8332	24f73	তাদের লক্ষ্যমাত্রা রয়েছে
f3519c2e12	d7a68	ইতিমধ্যে চিহ্নিত ও নিন্দিত
f351b54f98	5cb47	নেটোর সামরিক উপস্থিতিও বাড়িয়েছে
f351f6d792	3bea8	তবে ভিন্ন রঙে
f35233e428	b2a62	শীর্ষক এক গোলটেবিল বৈঠকে
f3525156d2	d1b12	অষ্টম স্থানে
f35263ff72	68ab7	দীর্ঘ মিছিলে অনন্য ছিল
f3529d4710	f1240	উপজেলার দৌলতপুর গ্রামের
f352a2aef1	0d9f1	পোপ ফ্রান্সিস এর আগে
f352ae3b4a	8845d	এদিকে মানবতাবিরোধী অপরাধীদের
f352d793d3	717bb	এ ডাকাতির ঘটনা ঘটে
f352ddedf7	321b6	সেটি নাকচ করে দিয়েছেন
f352f2f80c	13b6a	শনিবার সকাল ৮টা থেকে
f352f933e5	54cdd	তফসিল ঘোষণাসহ
f353483ee6	f89d7	বাংলাদেশের ঔষধ শিল্প
f3534fd2ba	92f59	অনুষ্ঠানের বিভিন্ন বিষয় সম্পর্কে
f35385bf91	4bd2c	আদৌ লভ্য নয়
f35436cf8d	b9122	সেসময় তিনি
f3545d52d7	ad2a0	ফেরারি আসামিদের জন্যও
f354ab06a7	4f450	আর কাঁদানে গ্যাস
f354e56d09	d9b11	জানাতে পারেননি সংশ্লিষ্টরা
f35519b859	121bd	বলতে পারল না
f3557fe16b	92f59	আদালত খারিজ আদেশ দেন
f35649f77d	2556b	তখন এতই ছোট ছিলাম
f356aa8a05	fd880	কাঠটা আঙুলের সঙ্গে
f356e0de6f	fda1a	তন্মধ্যে ষষ্ঠ সূক্তে
f356fd431c	9c8dd	প্রাধান্য দিতে চাই
f356ffe399	8c120	এক দরকারি হ্যান্ডবুকেও
f3572a8b78	b8ed8	বেতন বাড়ায়না
f357d4ab2a	adf01	পত্রিকায় বিজ্ঞাপনও দেয়া হয়
f357f8f706	11915	লিমন রাগে-অপমানে
f357fdb32b	11bd2	পরী মনির ছবি
f3581ad855	12702	এক ডাস্টবিন থেকে
f35832144d	efc0d	তাই আন্তর্জাতিক ক্রেতা প্রতিষ্ঠানের
f358752f5a	7e1d5	এক সহকারী রেজিস্ট্রার জানিয়েছেন
f3587fd0ba	ee4ad	চেষ্টা করেছেন সিইসি
f358afe2ec	24f73	যে রহিয়া গেল
f358f094fb	ec91c	সম-অংশে ভাড়া
f358f236c7	ca088	এভাবে আরও অনেক যুদ্ধে
f359729a55	59c73	বড় হওয়া
f359a0c493	7d133	এটা আমি বিশ্বাস করতে পারছি না
f359b00e5f	dba43	সেবার ফজলিখালা এসেছিলেন
f359bf8243	75936	আইন শাখার দায়িত্বশীল কর্মকর্তারা জানান
f35b9dd57c	6d129	সর্বশেষ ২০১০ সালের ২৭ জুলাই
f35baf5b51	ac0df	তিনি কৃত্তিবাস নামে
f35bdb46ff	d711f	ঝুড়িতে চিঁড়ামুড়ি, গুড়
f35bdbcc7a	82926	শাহিদ কার সঙ্গে
f35c03666e	ec91c	খবরটি তার এক বান্ধবী
f35c7246fe	23291	কাল তার ছুটি
f35ca24059	d2faf	মহানায়িকা হয়েই
f35ca9a79e	121bd	নিজেকে বামপন্থী চেতনার
f35cf83fec	351dd	বাঙালি তথা ভারতবর্ষবাসী মাত্রেরই
f35d37099d	2aecc	সুন্দরীর সংজ্ঞা
f35d49bb47	e9589	বলার কোনো দরকার নাই
f35d790eda	e55de	পিঁপড়ের বড্ড পরিশ্রম হয়েছিল
f35d89a218	9d46f	তোমার আশায়
f35da8c418	5d12f	মনে মনে নিজের নির্বুদ্ধিতাকে
f35ddf7e68	0606d	একটি বিশেষ শ্রেণী
f35dfb902f	77f82	রাজশাহীতে এই নির্বাচন
f35e696b22	bdfc1	দর্শকের সমাগম ঘটে
f35fb93d5c	121bd	প্রতিদিন আড়াইশো কোটি টাকা
f35ff96d14	2840e	অবরোধকারীরা সাতক্ষীরা খুলনা মহাসড়কের
f36003fdf1	2b883	আনন্দ মিছিল করেন
f3607d056d	ab946	উপজেলা চেয়ারম্যান এবং বিশেষজ্ঞরা
f3611e5cd5	24f73	হরতাল আহ্বানকারী সংগঠন
f3614ce178	0a7a0	ভাইস প্রেসিডেন্ট
f3615d5a95	0a7a0	বেশিদূর যেতে পারলেন না
f36167a244	17dcd	কখনো কখনো দুই নাকই
f3616ef9ba	b00ba	মনে করেছিলেন
f361750e99	e3f89	সবাই জানে যে
f361755121	dec2d	এখনো এদেশের বেশিরভাগ মানুষের
f361988b51	7e1d5	প্রতিবছর বইমেলার সময়
f361c554b7	16e96	ভাল লাগে
f361d72336	d9817	মিশরের সাথে নির্ধারিত
f3622f3415	dba43	আক্রমণাত্মক ব্যাটসম্যান ছিলেন
f3625bdeb1	42898	ভারতের তখনকার প্রধানমন্ত্রী
f362945522	ca088	তখনই ড্যানিয়েল স্টারিজ
f3629d80ac	43199	এই জিনিসগুলো সব সময়ই
f362b742e2	54e68	এরপর তিনি
f363204688	d2faf	শোকের চিহ্ন হিসেবে
f3634a2023	404ee	নিজেরা জামদানি পরতে পারেননি
f3636e9df7	2b883	দ্বাদশ শ্রেণির ছাত্র
f363c90521	bbb22	ওই এলাকায় না হওয়ায়
f3642040e2	18460	তখন তারা মেহেরাবকে
f3642943d8	e55de	লালন ছিলেন ‘জারজ’
f3645eb1ad	f0f95	আগে সমাজ
f364b4965f	7b900	পরবর্তীতে আত্মারামের
f364b832bd	16a17	সময়েই চেষ্টা হচ্ছে
f364de8653	b8bdd	ডিজিএফআই মহাপরিচালক
f36516b8a9	f2b7d	চল আছে
f365229324	17dcd	যথাযথ ক্ষতিপূরণের উদ্যোগ নেয়
f3653514c9	e2ff7	সে-কথা বলাই বাহুল্য
f3653a0b84	e55de	খুবই বিস্বাদ লাগল
f3663c7f50	a916a	নিরাপত্তার কারণে
f3664883c7	554fe	লেখক না হলে
f3664a5565	d136b	তবে তারা মনে করছেন
f366cacc76	4e900	পিসিবি এমন সিদ্ধান্ত নিয়েছে
f366cfa441	24f73	একজন অপ্সরা, তিলোত্তমা
f366fbab3a	60b9d	এক ধরনের ক্ষোভ আছে বাংলাদেশে
f3672594f0	e7230	হাইকোর্টে রিট
f3672698bb	f2097	বুধবার মারা গেছেন
f367551e3d	3faff	বলা যায় না
f3676fd845	f658d	ভারত অধিনায়ক মহেন্দ্র সিং ধোনি যেমন চেন্নাই দলের ক্যাপ্টেন, তেমনই তিনি শ্রীনিবাসনের কোম্পানী ইন্ডিয়া সিমেন্টসের কর্মীও।
f367e6fbe2	32c77	পা থেকে খুলে রাখা হয়েছে
f3682b3019	1de6c	নিয়ে উদ্বেগ রয়েছে
f3682d1eab	13b70	অভিযানের সঙ্গী ছিলেন
f36833d995	2d78f	তিন রাউন্ড মিলে
f36844a91b	46da4	ওই রকম মায়াভরা চোখ
f368f1e5e8	3fb17	নির্মোহ নির্যাস
f369631e7d	a06a1	এই সংঘর্ষে এখন পর্যন্ত
f369792981	cf82a	তল্লাশি চালিয়ে
f3698426bc	520fb	হাবীব হাওলাদার
f36a181b09	7f2ef	পেশায় চিকিৎসক
f36a319b06	e8dde	পারিবারিক
f36b26502f	8143b	বিশ শতকের পাঁচের দশক থেকে
f36b2d2f11	a3a6d	থরথর করে কাঁপে
f36ba61b86	ad2a0	চলাফেরা করতাম
f36bc86f6e	7b60a	১২০ থেকে ১৫০ টাকা দরের আদা
f36c3ebab6	dba43	কান উৎসবে
f36caf25b8	2bc73	কুলা
f36d0e1a10	b4ea7	এবং মুচকি হাসি দিয়ে
f36d6ab233	a1d4a	জিপি অফার
f36d6fadd8	3fce2	এই নারীদের সকলেই সুন্দরী
f36d957d1f	f2b7d	ফিক্সিং-এর অভিযোগ উঠেছে
f36dce1bfd	a8710	অধ্যাপক আনিসুজ্জামান ও সমরেশ মজুমদার
f36ddefc9d	d0c70	গল্পটা অতি সামান্য
f36e5bc6f1	58998	পূর্বে ম্যাক্রোমিডিয়া ফ্ল্যাশ
f36e962cf5	92bd8	সমাজ-ইতিহাসের সঙ্গে
f36edcc516	bdd05	২০ মাইল উত্তর-পশ্চিমে
f36ef88b6f	717bb	এসময় দুদক কর্মকর্তারা
f36f03e687	d9081	রপ্তানির আদেশ হারাচ্ছে আরেকটি গুরুত্বপূর্ণ খাত, চামড়া শিল্প।
f36f5f2ce0	cfc65	ওদের লাগিয়েছো
f36f856b02	4fd66	সুষ্ঠু নির্বাচন হবে
f36f86f7b6	d1a48	চিঠি পাঠিয়েছে
f36fed3645	d71a3	তিনি রয়াল সোসাইটির সভাপতি
f3707c2dcf	bcaa8	আলোচনার স্থান
f37081bc80	9d46f	এটি আরও জটিল
f371450a23	1b359	দুদিন থাকিয়া
f37182ba60	11bd2	অনেক লম্বা হয়ে গেছে
f371a19d3d	2bd99	এলাকার মতো মনে হয়েছিল
f372088590	8edea	গত দুই দশকে
f3721f0600	ef4f8	সাংবাদিকতা শুরু করেন
f3722e266d	6c6bf	প্রকাশ করা হবে
f37278e99f	ad69a	ক্ষুব্ধ হয়েই
f372a32423	ca088	কবুতরের টাইফয়েড
f372e4eacb	e6d83	ও গন্ধের জন্য আলোচিত
f372f43a68	a1d4a	দেখলাম,না
f3737c9abb	6da0a	নিষেধাজ্ঞা তুলে নেন উচ্চ আদালত
f374006495	f0f95	শুধু বাংলাদেশের নয়, সারা পৃথিবীর ইতিহাসে অন্যতম ভয়াবহ কারখানা দুর্ঘটনা।
f3740739a3	43b04	পূর্বাঞ্চলের এই উত্তপ্ত
f374b526d3	2d78f	নিহতদের স্মরণে
f374bd52f5	42898	দেশবিভাগ ইত্যাদিতে টলমল করছিল ভারতবর্ষ
f374c4cf4d	a274b	বাংলাদেশ লেখক শিবিরের
f375cb3dba	6fb36	অধিনায়ক হিসেবে
f376350bf4	ad2a0	দলটি গত কয়েক দিন ধরেই
f37769bb16	7f2ef	স্বাগত জানানোর পাশাপাশি
f37806153e	ea5be	ঘরোয়া প্রতিযোগিতা থেকে
f3780c7816	80505	আগুন আর গোলাগুলি
f378134fc8	e3d8b	যিনি বলেন
f37824f611	75f18	মোদির মন্ত্রিসভায়ও
f3782c87ee	404ee	পুলিশ-প্রশাসন সব কিছু
f37976b913	d8c80	তাদের ব্যবহার সে জানে না
f37a2cc2b7	cd3ac	তারা নিজেরাই ঘায়েল হতে পারে
f37a34a68a	75626	আবুলের প্রাণটা জুড়িয়ে যায়
f37a6d597e	fb4cb	ভারতীয় এজেন্ট
f37a77ba04	e55de	বেনাপোল স্থলবন্দরে
f37aaa23eb	717bb	নজরুলের কাব্যসাধনায়
f37ab4291b	52578	আমরা কেউ
f37ad7821a	256f5	সালমান শোকে ভাসছেন
f37b1a3373	0606d	আজ পড়ুন প্রথম পর্ব
f37b2b7264	c173f	সবাই ছিলেন নারী
f37b6d0c00	577fa	তার বিরুদ্ধে মিথ্যা, কাল্পনিক
f37ba814ce	2d98b	এশিয়া মহাদেশ
f37c3dc556	fcefa	তুমি ঘামছ কেন
f37d34c314	351dd	বিজিএমইএ’র মতে
f37d3bb9a0	07660	দায়িত্ব পালন করি
f37da86410	80539	ব্যাক্টেরিয়া ব্যবহার
f37e28d576	61820	নাইজার ১৯৫৮ সালের
f37e6516a3	d5213	প্রচার করা হয়েছিল
f37eb3bf0a	75936	পিছু হটার সময়ে
f37ebacf68	83c53	অশ্বিনীকুমার বলিয়া বিখ্যাত
f37f7a48d1	11915	ভালোভাবে চুল
f37fd209db	d2355	মাস্টার কার্ড
f380aa8620	d711f	সমকাল খবর
f380b4a9db	e2f12	রেশম পোকা
f380d1d6cc	1cb75	তাহা নয়
f380fe39e8	16cfb	ও অবকাঠামোগত নিরাপত্তা ব্যবস্থাও
f381438b88	0edef	রামকৃষ্ণ মিশনের
