1b00018b2f	e50f1	প্রাধান্য নাও দিতে পারেন
1b362ba404	c2082	স্টলে দাঁড়িয়ে আছি
1b36afae61	089ef	আগের থেকে এখন
1b36c3e218	355c1	সেই কারণে
1b374168c0	7ee9b	সবজি চাষী
1b37cb2524	cb1aa	বলা হত ক্যালেন্ডস
1b37fd2b71	68ab7	না হলে গজল হবে না
1b383fe56b	83c53	আমাকে নিয়ে
1b38558966	32b3e	আদালতের নজরে আনেন
1b3885a06e	cd3ac	ব্রিটেনে বহু মানুষ
1b388d4cd5	76329	পূজার বিশেষ
1b388e4530	fcc89	অফিসের গল্প
1b39220c02	21e54	ফলে আমাকে নিয়ে
1b396d52c2	6a35e	কিন্তু পাঠক সৃষ্টিতে
1b3a2db9ec	1f733	স্বাধীনতার পরই
1b3aa5149c	9b864	এক পর্যায়ে গুলির আঘাতে
1b3adf80bc	dfefa	এর ফলে যে শূন্যতার সৃষ্টি হলো
1b3b7c6940	7297e	আমাদের উদ্দেশ্য নহে
1b3bb674c0	ad050	সে সূত্রে সৌভাগ্য খানিকটা
1b3bc37c12	3b1f7	স্বাভাবিক পণ্য সরবরাহ
1b3be36063	9fa90	শাহেদ রেজা জানিয়েছেন
1b3c56cbac	91dff	তাসমানিয়া, ভিক্টোরিয়া
1b3c7c53e2	c463d	তাহাতে এক লক্ষ
1b3c973f59	a9a58	রসক্ষরণের রাস্তায়
1b3cb9d79f	d9081	গণদাবী নয়
1b3d590d96	ee4ad	মিথ্যা গল্প
1b3d59e0d8	404ee	বিতর্ক রয়েছে
1b3d7ef073	d1a48	হাসান মাহমুদ বলেন
1b3d893fba	948d3	পাকিস্তানের সব সমস্যার
1b3dd4b1ce	e9fa7	নিশাবসান হইল
1b3ea1fbfc	6e8cb	দামগাড়া
1b3eab609e	b9b98	শুরু হয় তন্ত্রমন্ত্র, ঝাড়ফুঁক
1b3ede19c7	33aef	ভূমি আইন
1b3eed719e	80518	তবে এই গ্রেপ্তারে
1b3fa2e32a	f143a	তারা যেন বিচার করেন
1b3fdc96e0	dafb6	প্রথম কবে
1b3fde03da	9fa90	নাকচ করতে পারছে না
1b3ffc116c	acb88	আনুষ্ঠানিক স্বীকৃতি দেওয়ার
1b40ae1628	1c618	বর্তমান কান্ট্রি ডিরেকটর তেরেসা খো
1b4149e8a5	3fc9d	কবিতার খাতা
1b4201b43b	1f733	বিজ্ঞাপনের দাবি অনুযায়ী
1b42318e1d	f2b7d	মাও না
1b42337be2	ca831	প্লেন
1b42c3c8f1	2d78f	অবস্থা গুরুতর
1b4313933d	a916a	অনেকেই জাতির পিতা হিসেবে
1b4338b545	a1d4a	এতে অন্তত তিন জন নিহত
1b4439b12f	1a2a1	আইপিওর মাধ্যমে উত্তোলিত টাকা
1b4443a1dc	24f73	ট্রেন ও ট্রেনের যাত্রীরা
1b445748b2	717bb	ওয়াহ্ ওয়াহ্ বলেন
1b449dae4d	aab0f	হাতে তুলে নেন
1b44b799cc	4f2ae	আমি বলে আসছি
1b44ffe1ea	717bb	বুঝতে বুঝতে বড় হবার সময়
1b4518b44b	f2780	কেন তাকে জেলে
1b45653b99	ff970	ক্লাইটোরিয়াস
1b45b212ea	db181	সত্কর্ম সত্য জ্ঞান অর্জনে
1b45d5aa5d	8cf95	আমরা অবশ্যই কোনো
1b45e75465	49d63	সন্দেহ করে আসছিলেন
1b465618e8	086dd	আমরা এখন যে পদার্থকে
1b465b52af	860f4	বিভিন্ন বেসরকারি সংস্থাগুলো বলছে
1b46a3f348	1a4a9	সকল বিষয়ই অলিম্পিক কমিটি
1b46d513af	6fb36	পরপর প্রকাশিত হয়
1b47807945	2ac82	সংগ্রহ করা টাকার জন্য
1b47961723	e89bb	সোফায় নয়, মেঝেতে
1b47c6c94b	db181	কবুতরের জাত
1b4813169b	717bb	পরবর্তী সময়ে
1b48afcce0	2de86	দাবী করতে থাকেন
1b48d5658e	37d7e	এদিক দিয়ে দেখতে গেলে
1b4944b605	16cfb	১১টা ৮ মিনিটে
1b4997bda1	e00db	প্রকাশ করেছেন অংশগ্রহণকারীরা
1b49a2d8be	e55de	মর্যাদাহীন
1b49e8182e	577fa	পাঠানোর নির্দেশ দেন
1b49fc5d4c	0606d	ঘুরে বেড়ায়
1b4a4309a6	46da4	কাল বিকেল চারটায়
1b4a83118c	f1ff2	কোন প্রাকৃতিক বা কৃত্রিম উপগ্রহের
1b4a8a874c	53396	জেলার পুলিশ সুপারকে জানানো হয়েছে
1b4a90cd57	acb88	তাদের অনেকে চিকিৎসা পাচ্ছে না
1b4b502cec	b8ed8	ঢাকার আশপাশে আমাদের
1b4b62dbb4	01e91	বেসুমার খিদে পেটে
1b4b7a923d	4a918	আমার টেবিলে রয়েছে
1b4bdac3c8	1e7c7	পরক্ষণে বয়াতি পুনরায়
1b4bfd1679	f7a7f	পাড়ার ছেলেরা
1b4c160e2a	bf530	গেরিলা শব্দটির
1b4c28011b	520fb	টি-টোয়েন্টি বিশেষজ্ঞ সাব্বির
1b4c2a8092	0d8c1	চুপচাপ স্বভাবের ছাত্রী
1b4c56e8c4	6fb36	তা আনোয়ার হোসেন
1b4c6e9c13	4c555	কৃমি
1b4d1dcdcf	09f0d	এই কারফিউ
1b4d721e74	c7a89	না ভোট ব্যাঙ্ক
1b4d7dddef	8cf95	জাকির মেম্বারকে গিয়ে বলেন
1b4d8b7d24	3fae0	সংস্থার তরফে
1b4e0c3fac	efc0d	না তুললে সম্ভবত
1b4e14257b	ff1c3	ক্ষমতা এমন একটি বিষয় যে
1b4e2ae40f	a4750	কার্যকর একটি ফল
1b4e3e2c74	cf82a	আর্ট ফিল্ম
1b4e6cbebe	6e6fa	এটা অবশ্য বিপুল রচনারই নিয়তি
1b4e78ae8a	321b6	রাজার আঙ্গুল
1b4ebc2593	2c9c5	ছেলেটির বয়স বছর চারেক
1b4f4d1182	8edea	মানববন্ধন কর্মসূচি
1b4f8c5c87	8cf95	এর অংশ হিসেবে
1b4fa2bea9	ff1c3	মাস
1b4ff3bb8a	c3cb3	কাজ করতে পেরে
1b503d932c	d3e06	প্রমাণিত হবে
1b5088308f	bcaa8	সিগন্যালিংএ ফ্রিকুয়েন্সি সিফট কিয়িং
1b50f992b3	bc81e	সেই সকাল থেকে
1b51110331	7ec1c	ডিগ্রি ভর্তি
1b514a978f	1e7c7	মেহেরদাদের সঙ্গে
1b516c72c4	16877	সমবেদনা জানান
1b518a0549	0606d	রকস্টার পরিচালনা করেছিলেন
1b529ee9bf	9fa90	বইমেলার মূল সুরের সঙ্গে
1b52dd0769	355c1	হোটেল কর্তৃপক্ষকে
1b5432bb61	64092	বৃন্দাবনবাসী গোপীদের সঙ্গে
1b54897e43	a1d4a	মেজর জেনারেল
1b54a5b4dc	29f8c	মহাপরিচালক হিসেবে
1b556c238d	4bd2c	তাই তাকে সামাল দিতে
1b55d85f89	01e91	সম্পূর্ণ হওয়ার পর
1b56bb9b55	778c0	কিন্তু বাবরি মসজিদ ভাঙার
1b57385bda	d9b11	তাঁর আর এই সাধের সিংহাসনে
1b57c6b831	2bc73	ছাত্রসংখ্যা খুব একটা
1b587bd107	554fe	ওয়াটারটাউনের একজন বাসিন্দা
1b58a3c05c	2aecc	গল্প এটি
1b5904cf06	80505	অর্থনৈতিক দিক দিয়ে
1b5968652b	6973e	সদ্য নিবন্ধন হারানো দলটি
1b59af46ab	93080	শুরু হয়ে যায়
1b59dea488	33814	আধাঘণ্টা রেখে দিন
1b5a086d62	e03ce	সংগ্রাম পরিষদের সভায়
1b5a413242	ee852	এগুনোর চেষ্টা করলে
1b5a91de54	a43b5	নারীর হৃদয় নিয়ে
1b5aa88989	7ee9b	হাজার হাজার মাইল
1b5b12366b	4c1eb	হারিয়ে ভীষণ বিমর্ষ ময়েস
1b5b872d86	4fbd1	তাদের অনেক
1b5b90683c	943de	১৮ বছরের কারাবাসের পর
1b5b9bb4cb	0a87a	রাজধানীর বাড্ডা
1b5bd0cc56	e03ce	আজাদ সম্পর্কে
1b5bfcc9a3	a9a58	নতুন চার মন্ত্রী, দুই প্রতিমন্ত্রি
1b5c159204	5639c	বটগাছের তলায়
1b5c22fd87	9c8dd	অ্যামেরিকার বিজ্ঞানীরা বলছেন যে
1b5c3efc9d	6ab59	এক প্রজন্ম ধরে
1b5c447eda	16877	এই পল্লীতে যারা থাকেন
1b5c52c7f9	79b06	একটি সংগ্রহশালা
1b5d204d49	4bede	দৈনিক নিয়মিত আট ঘণ্টা
1b5d936764	b7be9	যা সরকারী বিভিন্ন খাতের
1b5e44e5dd	adf01	সনাতনকে তারিফ করে বললেন
1b5e5e9705	3f875	কালের কন্ঠ
1b5e687117	ff970	পরিবেশের বহুবিধ ক্ষতি হচ্ছে
1b5e9f8b1f	809cd	মাস্টারমহাশয় চটিয়া গেলেন
1b5eaf2aab	0895a	বাংলা রসালো
1b5efb1193	18a52	পরীক্ষা চলছে
1b5f23466a	80be1	সেই নির্দেশের ওপর স্থগিতাদেশ চেয়ে
1b5f7725aa	c749e	ধানমন্ডি ১৫ নম্বরে
1b5f8d9a21	f1ff2	অবশেষে টিকফা চুক্তির খসড়া
1b5f90b04d	5dec6	বারি সিদ্দিকী
1b60262a39	6ab59	পুলিশের অপরাধ
1b6046c271	92f59	যে বিবর্তনের কথা আছে
1b606f4b20	93080	আসেন নি
1b608f3b79	e9589	দ্রৌপদী ইন্দ্রিয়সুখে নির্লিপ্ত
1b60b584ad	d136b	কোন বাইরের লোকের
1b60e99d8d	0b7ca	মাগুর মাছ
1b6137f598	3fb17	আই পি এল ফাইনাল
1b61e57a6e	d136b	মাল্টিপ্লেক্স নির্মাণকে উৎসাহ দিতে
1b61f5cab3	b8bf0	ভাগ্য ছিল
1b61f82af9	f0f95	ছয় জনের কাউকেই
1b62132125	5d80e	নেসলের উৎস-দেশ
1b628b23cc	2bd99	সময়ক্ষেপণ করে
1b62a6a280	29f8c	এবং একসময় তা শ্বাসকষ্টেও
1b62d2c9db	6c17f	অনেক সদস্য
1b63126a87	b8bf0	তবে তার মতে
1b632a761a	e2ff7	জাতীয় জীবনে
1b63e3b323	68ab7	এবারে ঈদের
1b6453c294	d71a3	অন্য দ্বীপগুলি হচ্ছে
1b64685c39	37e17	খালাস পাওয়ার পর
1b648e819d	dfefa	সম্প্রতি মজিনা বাংলাদেশের রাজনৈতিক পরিস্থিতি নিয়ে আলোচনার জন্য ভারত যান।
1b64990a98	88654	পরের বয়াতি এসে
1b653573f9	16cfb	আমরা থামাতে পারছি না
1b657745d9	a916a	কিছু মুখে দিয়ে যান
1b65941ee1	9d46f	এদেশে ফুটপাত নাই
1b65a69edf	16e96	মাহফুজ সময়ের বিচারে
1b6733ad42	943de	বলে নিজের কবিতাকে
1b67adc85b	5354e	তাকে নতুন করে
1b67b9654d	767ff	সোয়াহিলি বিভাগ
1b68be2ebb	08458	বইগুলো করতে পারেন
1b69656682	b8ed8	অসম্মান করেছেন
1b696d20e2	b7be9	একটি মেয়ের
1b6a73ea20	2fc12	পাড়ি দিয়ে এই বালি
1b6bd03162	693cb	কোন কোন বিষয়ে এক্ষণে
1b6c261ecd	f4ba7	স্থানীয়রা
1b6c3ebeec	9642e	তাহা দেখাইয়াছি
1b6c782c50	f4ba7	জোলি, যুক্তরাষ্ট্রের অভ্যন্তরে
1b6c7b166e	0a7a0	অনেকটা গিয়ে
1b6cf2ed2d	bc81e	বিচার দাবি করা হয় জামায়াত নিষিদ্ধের।
1b6cfd1544	dae88	তা না হলে পানির
1b6dc475bf	287bd	একটা ভয় রহিয়া গিয়াছিল
1b6dd6cf18	616ec	পানীয় জল নেই
1b6dfc74a2	75936	দ্বিতীয় বিবাহ বিচ্ছেদের পর
1b6e04cf12	ca088	যজ্ঞের গ্রহীতা
1b6e9fa6d0	4fbd1	বাড়ি ফিরেছি
1b6ebf8a0a	c9c19	ঢাকার উত্তরায়
1b6edab58f	7df87	নারী শ্রমিকদের অনেকেই গেছেন গৃহ-শ্রমিকের কাজে।
1b6f1aa654	778c0	বা অপরাধের সাথে
1b6f262970	4f450	গুরুত্বপূর্ণ একটি যৌথ শিল্প-কারখানায়
1b6f2b997e	b4ea7	অন্যের লেখা সম্পর্কেও
1b6f442030	d1a48	ভূমিষ্ঠ হয়
1b6f6d3f9e	24f73	সেই পরিচয় দিলেন
1b7018cc0c	eb179	দুই বা তিনজনের
1b7092fe12	e2ff7	পরিবারের এক মাত্র
1b71097a08	f2097	ফেরি শাহ মখদুম
1b712de6d5	08458	রক্তাক্ত অবস্থায়
1b7143fa07	52578	মহাসড়কের পাশে
1b7147ae98	93d3b	চিন্তা করবেন না
1b727d6511	b08d0	এদিকে, যুক্তরাষ্ট্রের
1b73080958	37e17	জেনারেটর
1b735eadb5	6aac8	বিয়ের বন্ধনে আবদ্ধ হন এই জুটি
1b73d8964d	43fc0	অরুণেশ ঘোষের নেতৃত্বে
1b748724a9	0edef	উপযোগী করে
1b7487d646	32b3e	শিল্পের ওপর নির্ভরশীল
1b74d41670	d1a48	বাংলামেইল২৪ডটকম/এসএম ঢাকা
1b74f7ecd9	590d0	প্রতিরক্ষা মন্ত্রী থাকাকালে
1b74fc547d	dfefa	বিদ্যুৎ কেন্দ্রের উদ্বোধন করেন
1b752847e3	509f6	শাকিল জাতিসংঘের মহাসচিব
1b75998e2f	404ee	অংশ হিসেবে
1b75b0f9e8	8845d	এই প্রকল্প থেকে
1b7635047d	1279e	ক্ষমতাচ্যুত হওয়ার পর থেকেই
1b76624064	d136b	হৃদয়ের বাবা এলাকায় রাজমিস্ত্রি
1b77283959	03284	তাদের রাজনীতি
1b782552ad	cc18a	কহিনুর বলেন
1b787bdee4	e6d83	রিট আবেদন দায়ের করেন
1b79e1e2aa	8406e	অনেক কিছু পাওয়ার
1b7a2bcf0c	58998	অনেক ঘাম ঝরাতে হয়েছিল
1b7aba9ae2	29bab	তার মায়ের সাথে
1b7ae5e6b2	ad69a	এহসানের অফিসে পৌঁছাতে
1b7b9da26b	d9817	এক অনুরোধ অনুমোদন করেছে
1b7b9f9737	eecdd	দশ দিন
1b7bc28c72	fbb81	তাকে সম্মান দিয়ে
1b7be79bd9	1279e	ভোট দিয়েছে
1b7bf4a88c	17dcd	তাদের বিরুদ্ধে ধর্মীয় অবমাননার
1b7cd0b0b2	28dfc	টি-টোয়েন্টি ওদের জন্য
1b7cd0c9cb	e00db	তা নীতিমালায় বলা হোক
1b7ce5db61	ee886	দুধের মধ্যে
1b7d0963d3	72649	পৃথিবী হয়ে ওঠে ম্রিয়মাণ
1b7dd2f0ff	8845d	উপপরিদর্শক রফিকুল ইসলাম
1b7e776140	a46e2	বিশ্বসাহিত্যই বল
1b7ee732bd	ee886	কিছু বন্দোবস্ত আছে
1b7f0e25c7	0f047	নির্মাতা হিসেবে মনে করি
1b7f2d70ac	80518	অনেক কথা উঠলেও
1b7f409207	80518	প্রিয় অভিনেতা
1b7f66d3b4	ce775	আবার সে বড়লোক হওয়ার কথা।
1b7f9acc1b	49d63	কীভাবে অনুসন্ধান করছেন তিনি
1b7fc69457	7e1d5	তবে হোমসকে নিয়ে
1b805fbc1c	f9dfb	শিক্ষার্থীরা প্রস্তুতি নিতে পারবে
1b80f9144c	ee886	সময় বেধে দিয়েছে
1b8100d4af	10a9f	সব মানুষের অংশগ্রহণে
1b812087dd	e03ce	মহিলা শ্রমিক রয়েছে
1b812a0d53	5d12f	প্রায় এক বছর ধরে
1b81514530	d8c80	ভূমি প্রদানপত্র
1b81c76123	80be1	যাঁহাদিগের কেবল রসনেন্দ্রিয়
1b820690d6	0d9f1	সমবেত কণ্ঠে গাওয়া হয়
1b82117b3b	16877	লাগার কথা
1b8242b957	8c07c	ইসলামিক গজল
1b826412b6	bcaa8	বিরোধী দল সমর্থিত প্রার্থী বুলবুল
1b82af242c	e9589	ময়দা আড়াই কাপ
1b82ee5e72	d7a68	অবসর
1b83041594	745b7	সেটা বোঝাতে গেলে
1b831582d1	e00db	একটি মূর্তি তৈরি করেছিল
1b84b42b4f	2ac82	আয়োজকরা জানিয়েছেন
1b8508a527	5354e	কৃষ্ণ সত্যই আসিয়াছেন
1b858a3bea	2c9c5	বন্ধ্যত্ব বাড়ছে
1b860b9475	84145	দক্ষতা বা কর্তৃত্ব
1b862b82f5	3ccf1	ভারত এই তালিকার
1b86c8a8c7	fbb81	নিয়োগ করেছেন মুখ্যমন্ত্রী
1b86ee36a9	0633a	ব্লাসফেমি আইনের আদলে
1b872c8114	d1b12	ভাল লাগা
1b87345b08	d2355	যেন আগুনের ভাঁটা
1b873a2d5a	321b6	জেলা সদরে
1b87ef7b5a	06736	মানিয়ে নিয়ে আধুনিকা
